"activities","Activities","Tegevused"
"black_3","My favorite color is black.","Minu lemmikvärv on must."
"black_4","Can you give me black paint?","Kas te annate mulle musta värvi?"
"white","White","Valge"
"white_2","It is white.","See on valge."
"white_3","My favorite color is white.","Minu lemmikvärv on valge."
"white_4","Can you give me white paint?","Kas te annate mulle valge värvi?"
"gray","Gray","Hall"
"gray_2","It is gray.","See on hall."
"gray_3","My favorite color is gray.","Minu lemmikvärv on hall."
"gray_4","Can you give me gray paint?","Kas te annate mulle halli värvi?"
"transparent","Transparent","Läbipaistev"
"transparent_2","It is transparent.","See on läbipaistev."
"transparent_3","I can see behind transparent color.","Ma näen läbipaistva värvi taga."
"transparent_4","Can you help me erase?","Kas saate aidata mul kustutada?"
"cyan","Cyan","Tsüaan"
"cyan_2","It is cyan.","See on sinine."
"cyan_3","My favorite color is cyan.","Minu lemmikvärv on sinine."
"cyan_4","Can you give me cyan paint?","Kas te saate mulle anda sinist värvi?"
"violet","Violet","violetne"
"violet_2","It is violet.","See on violetne."
"violet_3","My favorite color is violet.","Minu lemmikvärv on violetne."
"violet_4","Can you give me violet paint?","Kas saate mulle violetse värvi anda?"
"turquoise","Turquoise","Türkiissinine"
"turquoise_2","It is turquoise.","See on türkiissinine."
"turquoise_3","My favorite color is turquoise.","Minu lemmikvärv on türkiis."
"turquoise_4","Can you give me turquoise paint?","Kas te annate mulle türkiissinise värvi?"
"lime","Lime","Lubi"
"lime_2","It is lime.","See on lubi."
"lime_3","My favorite color is lime.","Minu lemmikvärv on lubi."
"lime_4","Can you give me lime paint?","Kas te annate mulle lubivärvi?"
"plum","Plum","Ploom"
"plum_2","It is plum.","See on ploom."
"plum_3","My favorite color is plum.","Minu lemmikvärv on ploom."
"plum_4","Can you give me plum paint?","Kas te annate mulle ploomimaali?"
"tan","Tan","Tan"
"tan_2","It is tan color.","See on punakasvärvi."
"tan_3","My favorite color is tan color.","Minu lemmikvärv on punakasvärv."
"tan_4","Can you give me tan color paint?","Kas te saaksite mulle päevituse värvi anda?"
"avocado","Avocado","Avokaado"
"avocado_2","It is avocado color.","See on avokaado värv."
"avocado_3","My favorite color is avocado color.","Minu lemmikvärv on avokaado värv."
"avocado_4","Can you give me avocado color paint?","Kas te saaksite mulle avokaadovärvi värvi anda?"
"barbie-pink","Barbie pink","Barbie roosa"
"barbie-pink_2","It is barbie pink color.","See on barbie roosa värv."
"barbie-pink_3","My favorite color is barbie pink.","Minu lemmikvärv on barbie roosa."
"barbie-pink_4","Can you give me barbie pink paint?","Kas sa saaksid mulle anda Barbie roosa värvi?"
"blizzard-blue","Blizzard blue","Pime sinine"
"blizzard-blue_2","It is blizzard blue color.","See on lumetorm sinine värv."
"blizzard-blue_3","My favorite color is blizzard blue color.","Minu lemmikvärv on blizzard blue."
"blizzard-blue_4","Can you give me blizzard blue paint?","Kas te saaksite mulle anda sinise värvi?"
"conversation","Conversation","Vestlus"
"me","Me","Mina"
"me_2","My name is {name}","Minu nimi on {nimi}"
"me_3","I'm {name}","Ma olen {nimi}"
"me_4","Do you know my name?","Kas sa tead mu nime?"
"me_5","What is your name?","Mis su nimi on?"
"me_6","Nice to meet you!","Meeldiv tutvuda!"
"me_7","Do you like me?","Kas ma meeldin sulle?"
"me_8","Can we be friends?","Kas me saame sõbrad olla?"
"me_9","I'm using assistive communication app.","Ma kasutan abistava suhtluse rakendust."
"me_10","Who are you?","Kes sa oled?"
"hello","Hello","Tere"
"hello_2","Hello.","Tere."
"hello_3","Hi.","Tere."
"hello_4","Greetings.","Tervitused."
"hello_5","How are you?","Kuidas sul läheb?"
"hello_6","Nice to meet you!","Meeldiv tutvuda!"
"help","Help","Abi"
"help_2","Help me.","Aita mind."
"help_3","Can you help me?","Kas sa saad mind aidata?"
"help_4","I need help","ma vajan abi"
"help_5","Do you need help?","Kas vajad abi?"
"yes","Yes","Jah"
"yes_2","Yes.","Jah."
"yes_3","Yes please.","Jah palun."
"yes_4","Alright.","Olgu."
"yes_5","Agreed.","Kokkulepitud."
"yes_6","I want to.","Ma tahan."
"yes_7","I would like to.","Mulle meeldiks."
"no","No","Ei"
"no_2","No.","Ei"
"no_3","Nope.","Ei."
"no_4","Never.","Mitte kunagi."
"no_5","I don't want to.","Ma ei taha."
"no_6","I don't like it.","Mulle see ei meeldi."
"no_7","You don't like it?","Sulle ei meeldi?"
"no_8","Why you don't like it?","Miks see sulle ei meeldi?"
"toilet","Toilet","Tualettruum"
"toilet_2","I need to go to the toilet.","Ma pean minema tualetti."
"toilet_3","I need to pee.","Ma pean pissima."
"toilet_4","I need to poop.","Ma pean kakama."
"toilet_5","Can you help me go to the toilet?","Kas saate mind tualetti minna?"
"toilet_6","Can you help me clean?","Kas saate mind puhastada?"
"toilet_7","I peed myself.","Pissisin ennast."
"toilet_8","I pooped myself.","Potsatasin ennast."
"what","What","Mida"
"what_2","What is that?","Mis see on?"
"what_3","What does it mean?","Mida see tähendab?"
"what_4","What do you mean?","Mida sa silmas pead?"
"what_5","Can you explain it?","Kas saate seda selgitada?"
"what_6","Can you repeat what you said?","Kas saate korrata seda, mida ütlesite?"
"what_7","I don't understand.","Ma ei saa aru."
"sleep","Sleep","Magama"
"sleep_2","I want to sleep.","Ma tahan magada."
"sleep_3","I don't want to sleep.","Ma ei taha magada."
"sleep_4","I'm tired.","Ma olen väsinud."
"sleep_5","Are you tired?","Oled sa väsinud?"
"sleep_6","When am I going to sleep?","Millal ma magama lähen?"
"sleep_7","I want to take a nap.","Ma tahan uinuda."
"bath","Bath","Vann"
"bath_2","I want to take a bath.","Ma tahan vanni minna."
"bath_3","I like taking a bath.","Mulle meeldib vannis käia."
"bath_4","I want to wash my hands.","Ma tahan käsi pesta."
"bath_5","I want to take a shower.","Ma tahan duši alla minna."
"bath_6","I want to clean myself.","Ma tahan ennast puhastada."
"bath_7","Can you help me take a bath?","Kas saate aidata mul vanni minna?"
"bath_8","I don't want to take a bath.","Ma ei taha vanni minna."
"listen","Listen","Kuulake"
"listen_2","Listen to me.","Kuula mind."
"listen_3","Can you listen to me?","Kas saate mind kuulata?"
"listen_4","Listen to music.","Kuula muusikat."
"listen_5","Listening to my parents.","Mu vanemate kuulamine."
"listen_6","Listen to what my application is saying!","Kuulake, mida mu taotlus ütleb!"
"morning","Morning","Hommik"
"morning_2","Good morning.","Tere hommikust."
"morning_3","I like mornings.","Mulle meeldivad hommikud."
"morning_4","In the morning.","Hommikul."
"morning_5","Morning time.","Hommikune aeg."
"morning_6","Is it morning?","Kas on hommik?"
"night","Night","Öö"
"night_2","Good night!","Head ööd!"
"night_3","I like nights.","Mulle meeldivad ööd."
"night_4","At night.","Öösel."
"night_5","Night time.","Öine aeg."
"night_6","Is it night?","Kas on öö?"
"look","Look","Vaata"
"look_2","Look at me.","Vaata mind."
"look_3","Look at this.","Vaata seda."
"look_4","Are you looking?","Kas otsite?"
"look_5","Look at my drawing.","Vaata minu joonist."
"look_6","How do I look?","Kuidas ma välja näen?"
"look_7","Look what I did.","Vaata, mis ma tegin."
"look_8","Let's look at that.","Vaatame seda."
"speak","Speak","Räägi"
"speak_2","I'm learning how to speak.","Ma õpin rääkima."
"speak_3","I want to speak.","Ma tahan rääkida."
"speak_4","Can I speak with you?","Kas ma saan sinuga rääkida?"
"speak_5","I like speaking.","Mulle meeldib rääkida."
"speak_6","I'm using assistive communication app.","Ma kasutan abistava suhtluse rakendust."
"play","Play","Mängi"
"play_2","I love playing.","Ma armastan mängida."
"play_3","Can you play with me?","Kas saate minuga mängida?"
"play_4","I want to play with you!","Ma tahan sinuga mängida!"
"play_5","I want to play with my friends.","Ma tahan oma sõpradega mängida."
"play_6","I don't want to play with you.","Ma ei taha sinuga mängida."
"outside","Outside","Õues"
"outside_2","I love going outside.","Ma armastan väljas käimist."
"outside_3","I want to go outside.","Ma tahan välja minna."
"outside_4","Is it cold outside?","Kas väljas on külm?"
"outside_5","I don't like outside.","Mulle ei meeldi väljas."
"outside_6","Can I go outside?","Kas ma saan väljas käia?"
"home","Home","Kodu"
"home_2","I love my home.","Ma armastan oma kodu."
"home_3","I want to go home.","Ma tahan koju minna."
"home_4","Where is your home?","Kus su kodu on?"
"home_5","Home sweet home.","Kodu armas kodu."
"home_6","I'm in the house.","Olen majas."
"home_7","I'm not in the house.","Ma pole majas."
"hurt","Hurt","Kahju"
"hurt_2","I'm hurt.","Mul on valus."
"hurt_3","Are you hurt?","Kas olete haiget saanud?"
"hurt_4","Did I hurt you?","Kas ma tegin sulle haiget?"
"hurt_5","I didn't mean to hurt you!","Ma ei tahtnud sulle haiget teha!"
"hurt_6","Is it going to hurt?","Kas see teeb haiget?"
"hurt_7","I have a headache.","Mul on peavalu."
"hurt_8","I have a stomach ache.","Mul on kõhuvalu."
"hurt_9","My genitals hurt.","Mu suguelundid valutavad."
"hurt_10","My foot hurts.","Mu jalg valutab."
"feelings","Feelings","Tunded"
"happy","Happy","Õnnelik"
"happy_2","I'm happy.","Ma olen õnnelik."
"happy_3","I feel happy.","Olen õnnelik."
"happy_4","Do you feel happy?","Kas tunnete end õnnelikuna?"
"happy_5","I want to feel happy.","Ma tahan tunda rõõmu."
"happy_6","You are making me happy.","Sa teed mind õnnelikuks."
"sad","Sad","Kurb"
"sad_2","I'm sad.","Ma olen kurb."
"sad_3","I feel sad.","Mul on kurb."
"sad_4","Do you feel sad?","Kas tunnete kurbust?"
"sad_5","I don't want to feel sad.","Ma ei taha kurb olla."
"sad_6","You are making me sad.","Sa teed mind kurvaks."
"exhausted","Exhausted","Kurnatud"
"exhausted_2","I'm exhausted.","Ma olen kurnatud."
"exhausted_3","I feel exhausted.","Tunnen end kurnatuna."
"exhausted_4","Do you feel exhausted?","Kas tunnete end kurnatud?"
"exhausted_5","I don't want to be exhausted.","Ma ei taha olla kurnatud."
"relaxed","Relaxed","Lõdvestunud"
"relaxed_2","I'm relaxed.","Olen lõdvestunud."
"relaxed_3","I feel relaxed.","Tunnen end pingevabalt."
"relaxed_4","Do you feel relaxed?","Kas tunnete end lõdvestunult?"
"relaxed_5","I want to feel relaxed.","Ma tahan tunda end pingevabalt."
"in-love","In love","Armunud"
"in-love_2","I'm in love.","Ma olen armunud."
"in-love_3","I feel in love.","Ma olen armunud."
"in-love_4","Are you in love?","Kas sa oled armunud?"
"in-love_5","I want to fall in love.","Ma tahan armuda."
"in-love_6","Do you love me?","Kas sa armastad mind?"
"stressed","Stressed","Stressis"
"stressed_2","I'm stressed.","Olen stressis."
"stressed_3","I feel stressed.","Tunnen end stressis."
"stressed_4","Do you feel stressed?","Kas tunnete stressi?"
"stressed_5","I don't want to feel stressed.","Ma ei taha end stressis tunda."
"thankful","Thankful","Tänulik"
"thankful_2","I'm thankful.","Olen tänulik."
"thankful_3","I feel thankful.","Olen tänulik."
"thankful_4","Do you feel thankful?","Kas olete tänulik?"
"thankful_5","I want to feel thankful.","Ma tahan olla tänulik."
"confused","Confused","Segaduses"
"confused_2","I'm confused.","Ma olen segaduses."
"confused_3","I feel confused.","Olen segaduses."
"confused_4","Do you feel confused?","Kas olete segaduses?"
"confused_5","You are confusing me.","Sa ajad mind segadusse."
"joyful","Joyful","Rõõmsameelne"
"joyful_2","I'm joyful.","Ma olen rõõmus."
"joyful_3","I feel joyful.","Tunnen rõõmu."
"joyful_4","Do you feel joyful?","Kas tunnete rõõmu?"
"joyful_5","I want to feel joyful.","Ma tahan tunda rõõmu."
"angry","Angry","Vihane"
"angry_2","I'm angry.","Ma olen vihane."
"angry_3","I feel angry.","Ma olen vihane."
"angry_4","Do you feel angry?","Kas tunnete viha?"
"angry_5","I'm angry at you.","Ma olen sinu peale vihane."
"angry_6","You are making me angry.","Sa ajad mind vihaseks."
"smart","Smart","Nutikad"
"smart_2","I'm smart.","Ma olen tark."
"smart_3","I feel smart.","Tunnen end targana."
"smart_4","Do you feel smart?","Kas tunnete end targana?"
"smart_5","Am I smart?","Kas ma olen tark?"
"smart_6","You are smart!","Sa oled tark!"
"afraid","Afraid","Kardan"
"afraid_2","I'm afraid.","Ma kardan."
"afraid_3","I feel afraid.","Ma kardan."
"afraid_4","Do you feel afraid?","Kas sa kardad?"
"afraid_5","I don't want to feel afraid.","Ma ei taha hirmu tunda."
"afraid_6","You are scaring me.","Sa hirmutad mind."
"ashamed","Ashamed","Häbi"
"ashamed_2","I'm ashamed.","Mul on häbi."
"ashamed_3","I feel ashamed.","Mul on häbi."
"ashamed_4","Do you feel ashamed?","Kas teil on häbi?"
"ashamed_5","I don't want to feel ashamed.","Ma ei taha häbi tunda."
"shocked","Shocked","Šokeeritud"
"shocked_2","I'm shocked.","Olen šokeeritud."
"shocked_3","I feel shocked.","Tunnen end šokeerituna."
"shocked_4","Do you feel shocked?","Kas tunnete end šokeerituna?"
"shocked_5","You shocked me.","Sa šokeerisid mind."
"sick","Sick","Haige"
"sick_2","I'm sick.","Ma olen haige."
"sick_3","I feel sick.","Ma tunnen end halvasti."
"sick_4","Do you feel sick?","Kas tunnete end haigena?"
"sick_5","I don't want to be sick.","Ma ei taha haige olla."
"sick_6","I'm sick of the food.","Olen toidust haige."
"frustrated","Frustrated","Pettunud"
"frustrated_2","I'm frustrated.","Olen pettunud."
"frustrated_3","I feel frustrated.","Tunnen pettumust."
"frustrated_4","Do you feel frustrated?","Kas tunnete pettumust?"
"frustrated_5","I don't want to feel frustrated.","Ma ei taha pettunud olla."
"excited","Excited","Erutatud"
"excited_2","I'm excited.","Ma olen põnevil."
"excited_3","I feel excited.","Tunnen põnevust."
"excited_4","Do you feel excited?","Kas tunnete põnevust?"
"excited_5","I don't want to feel excited.","Ma ei taha põnevust tunda."
"nauseated","Nauseated","Iiveldud"
"nauseated_2","I'm nauseated.","Ma olen iiveldatud."
"nauseated_3","I feel nauseated.","Tunnen iiveldust."
"nauseated_4","Do you feel nauseated?","Kas tunnete iiveldust?"
"nauseated_5","I don't want to feel nauseated.","Ma ei taha iiveldust tunda."
"agitated","Agitated","Ärritatud"
"agitated_2","I'm agitated.","Olen ärritunud."
"agitated_3","I feel agitated.","Ma olen ärritunud."
"agitated_4","Do you feel agitated?","Kas tunnete ärritust?"
"agitated_5","I don't want to feel agitated.","Ma ei taha olla ärritunud."
"food","Food","Toit"
"hungry","Hungry","Näljane"
"hungry_2","I'm hungry.","Ma olen näljane."
"hungry_3","Are you hungry?","Kas sa oled näljane?"
"hungry_4","Can you make me food?","Kas sa saad mulle süüa teha?"
"hungry_5","What is for dinner?","Mis õhtusöögiks on?"
"thirsty","Thirsty","Janus"
"thirsty_2","I'm thirsty.","Ma olen janune."
"thirsty_3","Can I have some water?","Kas mul on vett?"
"thirsty_4","Can I have a glass of water?","Kas mul võib olla klaas vett?"
"thirsty_5","I want something to drink.","Ma tahan midagi juua."
"cutlery","Cutlery","Söögiriistad"
"cutlery_2","I need cutlery.","Ma vajan söögiriistu."
"cutlery_3","Help me use cutlery.","Aidake mul söögiriistu kasutada."
"cutlery_4","I need a fork.","Mul on vaja kahvlit."
"cutlery_5","I need a spoon.","Mul on vaja lusikat."
"cutlery_6","I need chopsticks.","Ma vajan söögipulki."
"cutlery_7","I need a knife.","Mul on nuga vaja."
"cutlery_8","I need a napkin.","Mul on vaja salvrätikut."
"apple","Apple","Apple"
"apple_2","I like apple.","Mulle meeldib õun."
"apple_3","I don't like apple.","Mulle ei meeldi õun."
"apple_4","I want to eat an apple.","Ma tahan süüa õuna."
"carrot","Carrot","Porgand"
"carrot_2","I like carrot.","Mulle meeldib porgand."
"carrot_3","I don't like carrot.","Mulle ei meeldi porgand."
"carrot_4","I want to eat a carrot.","Ma tahan süüa porgandit."
"beans","Beans","Oad"
"beans_2","I like beans.","Mulle meeldivad oad."
"beans_3","I don't like beans.","Mulle ei meeldi oad."
"beans_4","I want to eat beans.","Ma tahan süüa ube."
"chicken_5","I want fried chicken.","Ma tahan praetud kana."
"chicken_6","I want boiled chicken.","Ma tahan keedetud kana."
"chocolate","Chocolate","Šokolaad"
"chocolate_2","I like chocolate.","Mulle meeldib šokolaad."
"chocolate_3","I don't like chocolate.","Mulle ei meeldi šokolaad."
"chocolate_4","I want to eat chocolate.","Ma tahan süüa šokolaadi."
"chocolate_5","I want dark chocolate.","Ma tahan tumedat šokolaadi."
"chocolate_6","I want white chocolate.","Ma tahan valget šokolaadi."
"milk","Milk","Piim"
"milk_2","I like milk.","Mulle meeldib piim."
"milk_3","I don't like milk.","Mulle ei meeldi piim."
"milk_4","I want to drink milk.","Ma tahan juua piima."
"milk_5","Can I have a glass of milk?","Kas mul võib olla klaas piima?"
"sandwich","Sandwich","Võileib"
"sandwich_2","I like sandwich.","Mulle meeldib võileib."
"sandwich_3","I don't like sandwich.","Mulle ei meeldi võileib."
"sandwich_4","I want to eat a sandwich.","Tahan süüa võileiba."
"sandwich_5","Can you make me a sandwich?","Kas sa saaksid mulle võileiba teha?"
"steak","Steak","Praad"
"steak_2","I like steak.","Mulle meeldib praad."
"steak_3","I don't like steak.","Mulle ei meeldi praad."
"steak_4","I want to eat steak.","Ma tahan süüa praadi."
"steak_5","Can you cook steak for me?","Kas saate minu jaoks praadi keeta?"
"banana","Banana","Banaan"
"banana_2","I like banana.","Mulle meeldib banaan."
"banana_3","I don't like banana.","Mulle ei meeldi banaan."
"banana_4","I want to eat a banana.","Ma tahan süüa banaani."
"pie","Pie","Pirukas"
"pie_2","I like pie.","Mulle meeldib pirukas."
"pie_3","I don't like pie.","Mulle pirukas ei meeldi."
"pie_4","I want to eat pie.","Ma tahan süüa pirukat."
"pie_5","Can you bake a pie for me?","Kas sa saad minu jaoks pirukat küpsetada?"
"egg","Egg","Muna"
"egg_2","I like egg.","Mulle meeldib muna."
"egg_3","I don't like egg.","Mulle muna ei meeldi."
"egg_4","I want to eat egg.","Ma tahan muna süüa."
"egg_5","I want fried eggs.","Ma tahan praetud mune."
"egg_6","I want boiled eggs.","Ma tahan keedetud mune."
"noodles","Noodles","Nuudlid"
"noodles_2","I like noodles.","Mulle meeldivad nuudlid."
"noodles_3","I don't like noodles.","Mulle ei meeldi nuudlid."
"noodles_4","I want to eat noodles.","Ma tahan süüa nuudleid."
"noodles_5","Can you cook noodles for me?","Kas sa oskad mulle nuudleid keeta?"
"salt","Salt","Sool"
"salt_2","I want salt.","Ma tahan soola."
"salt_3","Can you pass me the salt?","Kas saate mulle soola anda?"
"salt_4","Food is too salty.","Toit on liiga soolane."
"salt_5","My food needs some salt.","Minu toit vajab natuke soola."
"spices","Spices","Vürtsid"
"spices_2","I like spicy food.","Mulle meeldib vürtsikas toit."
"spices_3","I don't like spicy food.","Mulle ei meeldi vürtsikas toit."
"spices_4","I want paprika.","Ma tahan paprikat."
"spices_5","I want black pepper.","Ma tahan musta pipart."
"pizza","Pizza","Pitsa"
"pizza_2","I like pizza.","Mulle meeldib pitsa."
"pizza_3","I don't like pizza.","Mulle pitsa ei meeldi."
"pizza_4","I want to eat pizza.","Ma tahan pitsat süüa."
"pizza_5","Can you cook pizza for me?","Kas sa saad mulle pitsat keeta?"
"pizza_6","Can we order pizza?","Kas saab pitsat tellida?"
"cheese","Cheese","Juust"
"cheese_2","I like cheese.","Mulle meeldib juust."
"cheese_3","I don't like cheese.","Mulle juust ei meeldi."
"cheese_4","I want to eat cheese.","Ma tahan juustu süüa."
"ice-cream","Ice cream","Jäätis"
"ice-cream_2","I like ice cream.","Mulle meeldib jäätis."
"ice-cream_3","I don't like ice cream.","Mulle ei meeldi jäätis."
"ice-cream_4","I want to eat ice cream.","Ma tahan süüa jäätist."
"ice-cream_5","Can you buy ice cream for me?","Kas te saate mulle jäätist osta?"
"tea","Tea","Tee"
"tea_2","I like tea.","Mulle meeldib tee."
"tea_3","I don't like tea.","Mulle ei meeldi tee."
"tea_4","I want to drink tea.","Ma tahan juua teed."
"tea_5","Can you make tea for me?","Kas sa saad mulle teed teha?"
"coffee","Coffee","Kohv"
"coffee_2","I like coffee.","Mulle meeldib kohv."
"coffee_3","I don't like coffee.","Mulle ei meeldi kohv."
"coffee_4","I want to drink coffee.","Ma tahan kohvi juua."
"coffee_5","Can you make coffee for me?","Kas sa saad mulle kohvi teha?"
"tomato","Tomato","Tomat"
"tomato_2","I like tomato.","Mulle meeldib tomat."
"tomato_3","I don't like tomato.","Mulle ei meeldi tomat."
"tomato_4","I want to eat tomato.","Ma tahan süüa tomatit."
"cereal","Cereal","Teravili"
"cereal_2","I like cereal.","Mulle meeldib teravili."
"cereal_3","I don't like cereal.","Mulle ei meeldi teravili."
"cereal_4","I want to eat cereal.","Ma tahan süüa teravilja."
"cereal_5","Can you make my cereal?","Kas saate minu teravilja teha?"
"burger","Burger","Burger"
"burger_2","I like burger.","Mulle meeldib burger."
"burger_3","I don't like burger.","Mulle ei meeldi burger."
"burger_4","I want to eat burger.","Ma tahan süüa burgerit."
"burger_5","Can you cook burger for me?","Kas saate minu jaoks burgerit süüa?"
"burger_6","Can we order burger?","Kas me saame burgerit tellida?"
"french-fries","French fries","friikartulid"
"french-fries_2","I like french fries.","Mulle meeldivad friikartulid."
"french-fries_3","I don't like french fries.","Mulle friikartulid ei meeldi."
"french-fries_4","I want to eat french fries.","Ma tahan süüa friikartuleid."
"french-fries_5","Can you cook french fries for me?","Kas saate minu jaoks friikartuleid süüa?"
"french-fries_6","Can we order french fries?","Kas saab tellida friikartuleid?"
"spinach","Spinach","Spinat"
"spinach_2","I like spinach.","Mulle meeldib spinat."
"spinach_3","I don't like spinach.","Mulle spinat ei meeldi."
"spinach_4","I want to eat spinach.","Ma tahan süüa spinatit."
"rice","Rice","Riis"
"rice_2","I like rice.","Mulle meeldib riis."
"rice_3","I don't like rice.","Mulle ei meeldi riis."
"rice_4","I want to eat rice.","Ma tahan süüa riisi."
"rice_5","Can you cook rice for me?","Kas sa oskad mulle riisi keeta?"
"bread","Bread","Leib"
"bread_2","I like bread.","Mulle meeldib leib."
"bread_3","I don't like bread.","Mulle ei meeldi leib."
"bread_4","I want to eat bread.","Ma tahan leiba süüa."
"bread_5","Can you buy some bread?","Kas saate leiba osta?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Mulle meeldib pasta."
"pasta_3","I don't like pasta.","Mulle pasta ei meeldi."
"pasta_4","I want to eat pasta.","Ma tahan süüa pastat."
"pasta_5","Can you cook pasta for me?","Kas sa saad mulle pastat valmistada?"
"sauce","Sauce","Kastmeks"
"sauce_2","I like sauce.","Mulle meeldib kaste."
"sauce_3","I don't like sauce.","Mulle ei meeldi kaste."
"sauce_4","I want some sauce.","Ma tahan kastet."
"sauce_5","Can I have ketchup?","Kas mul on ketšupit?"
"sauce_6","Can I have mayonnaise?","Kas ma saan majoneesi?"
"sauce_7","Can I have mustard?","Kas mul võib olla sinepit?"
"sauce_8","Can I have ranch sauce?","Kas ma saan rantšokastme?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Mulle meeldib kebab."
"kebab_3","I don't like kebab.","Mulle ei meeldi kebab."
"kebab_4","I want to eat kebab.","Ma tahan süüa kebabi."
"kebab_5","Can you cook kebab for me?","Kas sa oskad mulle kebabi keeta?"
"kebab_6","Can we order kebab?","Kas me saame tellida kebabi?"
"numbers","Numbers","Numbrid"
"one","One","Üks"
"one_2","One comes before two.","Üks tuleb enne kahte."
"one_3","One comes after zero.","Üks tuleb pärast nulli."
"one_4","I want one.","Ma tahan ühte."
"two","Two","Kaks"
"two_2","Two comes before three.","Kaks tuleb enne kolme."
"two_3","Two comes after one.","Kaks tuleb pärast ühte."
"two_4","I want two.","Ma tahan kahte."
"three","Three","Kolm"
"three_2","Three comes before four.","Kolm tuleb enne nelja."
"three_3","Three comes after two.","Kolm tuleb pärast kahte."
"three_4","I want three.","Ma tahan kolme."
"four","Four","Neli"
"four_2","Four comes before five.","Neli tuleb enne viit."
"four_3","Four comes after three.","Neli tuleb pärast kolme."
"four_4","I want four.","Ma tahan nelja."
"five","Five","Viis"
"five_2","Five comes before six.","Viis tuleb enne kuut."
"five_3","Five comes after four.","Viis tuleb pärast nelja."
"five_4","I want five.","Ma tahan viit."
"six","Six","Kuus"
"six_2","Six comes before seven.","Kuus tuleb enne seitset."
"six_3","Six comes after five.","Kuus tuleb pärast viit."
"six_4","I want fix.","Ma tahan parandada."
"seven","Seven","Seitse"
"seven_2","Seven comes before eight.","Seitse tuleb enne kaheksat."
"seven_3","Seven comes after six.","Seitse tuleb pärast kuut."
"seven_4","I want seven.","Ma tahan seitset."
"eight","Eight","Kaheksa"
"eight_2","Eight comes before nine.","Kaheksa tuleb enne üheksat."
"eight_3","Eight comes after seven.","Kaheksa tuleb pärast seitset."
"eight_4","I want eight.","Tahan kaheksat."
"nine","Nine","Üheksa"
"nine_2","Nine comes before ten.","Üheksa tuleb enne kümmet."
"nine_3","Nine comes after eight.","Üheksa tuleb pärast kaheksat."
"nine_4","I want nine.","Ma tahan üheksa."
"ten","Ten","Kümme"
"ten_2","Ten comes before eleven.","Kümme tuleb enne üksteist."
"ten_3","Ten comes after nine.","Kümme tuleb pärast üheksat."
"ten_4","I want ten.","Ma tahan kümmet."
"eleven","Eleven","Üksteist"
"eleven_2","Eleven comes before thirteen.","Üksteist saab enne kolmteist."
"eleven_3","Eleven comes after ten.","Üksteist tuleb pärast kümmet."
"eleven_4","I want eleven.","Ma tahan üksteist."
"twenty","Twenty","Kakskümmend"
"twenty_2","I can count up to twenty.","Ma võin loota kuni kakskümmend."
"thirty","Thirty","Kolmkümmend"
"thirty_2","I can count up to thirty.","Ma võin loota kuni kolmkümmend."
"forty","Forty","Nelikümmend"
"forty_2","I can count up to forty.","Ma võin loota kuni nelikümmend."
"fifty","Fifty","Viiskümmend"
"fifty_2","I can count up to fifty.","Ma võin loota kuni viiskümmend."
"hundred","Hundred","Sada"
"hundred_2","I can count up to hundred.","Ma võin loota kuni sada."
"thousand","Thousand","Tuhat"
"thousand_2","I can count up to thousand.","Ma võin loota kuni tuhat."
"calculator","Calculator","Kalkulaator"
"calculator_2","I want to use a calculator.","Ma tahan kasutada kalkulaatorit."
"calculator_3","Can you teach me how to use a calculator?","Kas saate mulle kalkulaatori kasutamist õpetada?"
"calculator_4","Can I barrow your calculator?","Kas ma saan teie kalkulaatori kärpida?"
"people","People","Inimesed"
"mother","Mother","Ema"
"mother_2","Mommy!","Emme!"
"mother_3","I love my mother.","Ma armastan oma ema."
"mother_4","I love you mom.","Ma armastan sind, ema."
"mother_5","I miss my mom.","Ma igatsen oma ema."
"mother_6","Thank you for taking care of me.","Tänan, et minu eest hoolitsesite."
"mother_7","She is my mom.","Ta on minu ema."
"mother_8","Can you help me find my mother?","Kas saate aidata mul oma ema leida?"
"father","Father","Isa"
"father_2","Daddy!","Issi!"
"father_3","I love my father.","Ma armastan oma isa."
"father_4","I love you dad.","Ma armastan sind, isa."
"father_5","I miss my dad.","Ma igatsen oma isa."
"father_6","Thank you for taking care of me.","Tänan, et minu eest hoolitsesite."
"father_7","He is my dad.","Ta on minu isa."
"father_8","Can you help me find my father?","Kas saate aidata mul isa leida?"
"parents","Parents","Vanemad"
"parents_2","I love my parents.","Ma armastan oma vanemaid."
"parents_3","I love my parents.","Ma armastan oma vanemaid."
"parents_4","I miss my parents.","Ma igatsen oma vanemaid."
"parents_5","They are my parents.","Nad on minu vanemad."
"parents_6","My parents are taking care of me.","Mu vanemad hoolitsevad minu eest."
"parents_8","Can you help me find my parents?","Kas saate aidata mul oma vanemaid leida?"
"grandparents","Grandparents","Vanavanemad"
"grandparents_2","I love my grandparents.","Ma armastan oma vanavanemaid."
"grandparents_3","I love you grandparents.","Ma armastan sind vanavanemad."
"grandparents_4","I miss my grandparents.","Ma igatsen oma vanavanemaid."
"grandparents_5","They are my grandparents.","Nad on minu vanavanemad."
"grandparents_6","My grandparents are taking care of me.","Minu vanavanemad hoolitsevad minu eest."
