"activities","Activities","กิจกรรม"
"raincoat_3","Can you help me wear my raincoat?","คุณช่วยฉันใส่เสื้อกันฝนได้ไหม"
"bandana","Bandana","ผ้าพันคอ"
"bandana_2","I like wearing bandana.","ฉันชอบใส่ผ้าพันคอ"
"bandana_3","Can you help me wear my bandana?","คุณช่วยฉันใส่ผ้าพันคอได้ไหม"
"beret","Beret","หมวกผ้าไม่มีปีก"
"beret_2","I like wearing beret.","ฉันชอบใส่หมวกเบเร่ต์"
"beret_3","Can you help me wear my beret?","คุณช่วยฉันใส่หมวกเบเรต์ของฉันได้ไหม"
"knit-hat","Knit hat","หมวกถัก"
"knit-hat_2","I like wearing knit hat.","ฉันชอบใส่หมวกถัก"
"knit-hat_3","Can you help me wear my knit hat?","คุณช่วยฉันใส่หมวกถักไหม?"
"suspenders","Suspenders","suspenders"
"suspenders_2","I like wearing suspenders.","ฉันชอบใส่สายรัด"
"suspenders_3","Can you help me wear my suspenders?","คุณสามารถช่วยฉันใส่ชุดที่แขวนของฉันได้ไหม?"
"mitten","Mitten","นวม"
"mitten_2","I like wearing mitten.","ฉันชอบใส่นวม"
"mitten_3","Can you help me wear my mitten?","คุณช่วยฉันใส่นวมได้ไหม"
"suit","Suit","สูท"
"suit_2","I like wearing suit.","ฉันชอบใส่ชุดสูท"
"suit_3","Can you help me wear my suit?","คุณช่วยฉันใส่สูทได้ไหม"
"coat","Coat","เสื้อโค้ท"
"coat_2","I like wearing coat.","ฉันชอบใส่เสื้อโค้ท"
"coat_3","Can you help me wear my coat?","คุณช่วยฉันใส่เสื้อโค้ทได้ไหม"
"trench-coat","Trench coat","เสื้อฝน"
"trench-coat_2","I like wearing trench coat.","ฉันชอบใส่เสื้อโค้ท"
"trench-coat_3","Can you help me wear my trench coat?","คุณช่วยฉันใส่เสื้อโค้ทขนสลักได้หรือไม่?"
"colors","Colors","สี"
"crayons","Crayons","ดินสอสี"
"crayons_2","I like crayons.","ฉันชอบสีเทียน"
"crayons_3","Can you give me crayons?","คุณสามารถให้ดินสอสีฉันได้ไหม"
"crayons_4","I want to draw using my crayons.","ฉันต้องการวาดโดยใช้ดินสอสี"
"red","Red","สีแดง"
"red_2","It is red.","มันคือสีแดง."
"red_3","My favorite color is red.","สีโปรดของฉันคือสีแดง."
"red_4","Can you give me red paint?","คุณให้สีแดงกับฉันได้ไหม"
"blue","Blue","สีน้ำเงิน"
"blue_2","It is blue.","มันเป็นสีฟ้า."
"blue_3","My favorite color is blue.","สีโปรดของฉันคือสีฟ้า."
"blue_4","Can you give me blue paint?","คุณช่วยทาสีสีฟ้าให้ฉันได้ไหม"
"orange","Orange","ส้ม"
"orange_2","It is orange color.","เป็นสีส้ม"
"orange_3","My favorite color is orange.","สีที่ฉันชอบคือสีส้ม"
"orange_4","Can you give me orange paint?","คุณให้สีส้มกับฉันได้ไหม"
"green","Green","สีเขียว"
"green_2","It is green.","มันเป็นสีเขียว"
"green_3","My favorite color is green.","สีที่ฉันชอบคือสีเขียว"
"green_4","Can you give me green paint?","คุณช่วยทาสีเขียวให้ฉันได้ไหม"
"yellow","Yellow","สีเหลือง"
"yellow_2","It is yellow.","มันเป็นสีเหลือง"
"yellow_3","My favorite color is yellow.","สีที่ฉันชอบคือสีเหลือง"
"yellow_4","Can you give me yellow paint?","คุณให้สีเหลืองกับฉันได้ไหม"
"purple","Purple","สีม่วง"
"purple_2","It is purple.","มันเป็นสีม่วง"
"purple_3","My favorite color is purple.","สีที่ฉันชอบคือสีม่วง"
"purple_4","Can you give me purple paint?","คุณให้สีม่วงกับฉันได้ไหม"
"pink","Pink","สีชมพู"
"pink_2","It is pink.","มันเป็นสีชมพู"
"pink_3","My favorite color is pink.","สีที่ฉันชอบคือสีชมพู"
"pink_4","Can you give me pink paint?","คุณช่วยทาสีสีชมพูให้ฉันได้ไหม"
"brown","Brown","สีน้ำตาล"
"brown_2","It is brown.","มันเป็นสีน้ำตาล"
"brown_3","My favorite color is brown.","สีที่ฉันชอบคือสีน้ำตาล"
"brown_4","Can you give me brown paint?","คุณให้สีน้ำตาลแก่ฉันได้ไหม"
"black","Black","สีดำ"
"black_2","It is black.","มันสีดำ."
"black_3","My favorite color is black.","สีที่ฉันชอบคือสีดำ"
"black_4","Can you give me black paint?","คุณให้สีดำกับฉันได้ไหม"
"white","White","ขาว"
"white_2","It is white.","มันเป็นสีขาว"
"white_3","My favorite color is white.","สีที่ฉันชอบคือสีขาว"
"white_4","Can you give me white paint?","คุณช่วยทาสีขาวให้ฉันได้ไหม"
"gray","Gray","สีเทา"
"gray_2","It is gray.","มันเป็นสีเทา"
"gray_3","My favorite color is gray.","สีที่ฉันชอบคือสีเทา"
"gray_4","Can you give me gray paint?","คุณให้สีเทาแก่ฉันได้ไหม"
"transparent","Transparent","โปร่งใส"
"transparent_2","It is transparent.","มันโปร่งใส"
"transparent_3","I can see behind transparent color.","ฉันเห็นสีโปร่งใส"
"transparent_4","Can you help me erase?","คุณช่วยฉันลบได้ไหม"
"cyan","Cyan","สีฟ้า"
"cyan_2","It is cyan.","มันเป็นสีฟ้า"
"cyan_3","My favorite color is cyan.","สีที่ฉันชอบคือสีฟ้า"
"cyan_4","Can you give me cyan paint?","คุณช่วยทาสีสีฟ้าให้ฉันได้ไหม"
"violet","Violet","ม่วง"
"violet_2","It is violet.","มันเป็นสีม่วง"
"violet_3","My favorite color is violet.","สีที่ฉันชอบคือสีม่วง"
"violet_4","Can you give me violet paint?","คุณสามารถให้สีม่วงแก่ฉันได้หรือไม่"
"turquoise","Turquoise","มีสีเขียวขุ่น"
"turquoise_2","It is turquoise.","มันมีสีเขียวขุ่น"
"turquoise_3","My favorite color is turquoise.","สีที่ฉันชอบคือสีฟ้าคราม"
"turquoise_4","Can you give me turquoise paint?","คุณสามารถให้สีเทอร์ควอยซ์ได้หรือไม่"
"lime","Lime","มะนาว"
"lime_2","It is lime.","มันคือมะนาว"
"lime_3","My favorite color is lime.","สีที่ฉันชอบคือมะนาว"
"lime_4","Can you give me lime paint?","คุณช่วยทาสีมะนาวให้ฉันได้ไหม"
"plum","Plum","พลัม"
"plum_2","It is plum.","มันคือลูกพลัม"
"plum_3","My favorite color is plum.","สีที่ฉันชอบคือพลัม"
"plum_4","Can you give me plum paint?","คุณช่วยทาสีพลัมให้ฉันได้ไหม"
"tan","Tan","สีน้ำตาล"
"tan_2","It is tan color.","เป็นสีแทน"
"tan_3","My favorite color is tan color.","สีที่ฉันชอบคือสีแทน"
"tan_4","Can you give me tan color paint?","คุณช่วยให้ฉันทาสีสีแทน?"
"avocado","Avocado","อาโวคาโด"
"avocado_2","It is avocado color.","มันเป็นสีอะโวคาโด"
"avocado_3","My favorite color is avocado color.","สีที่ฉันชอบคือสีอะโวคาโด"
"avocado_4","Can you give me avocado color paint?","คุณช่วยทาสีอโวคาโดให้ฉันได้ไหม"
"barbie-pink","Barbie pink","ตุ๊กตาบาร์บี้สีชมพู"
"barbie-pink_2","It is barbie pink color.","เป็นตุ๊กตาบาร์บี้สีชมพู"
"barbie-pink_3","My favorite color is barbie pink.","สีที่ฉันชอบคือตุ๊กตาบาร์บี้สีชมพู"
"barbie-pink_4","Can you give me barbie pink paint?","คุณช่วยระบายสีตุ๊กตาบาร์บี้สีชมพูให้ฉันได้ไหม"
"blizzard-blue","Blizzard blue","พายุหิมะสีน้ำเงิน"
"blizzard-blue_2","It is blizzard blue color.","มันเป็นสีฟ้าพายุหิมะ"
"blizzard-blue_3","My favorite color is blizzard blue color.","สีที่ฉันชอบคือพายุหิมะสีฟ้า"
"blizzard-blue_4","Can you give me blizzard blue paint?","คุณช่วยเอาสีฟ้าพายุหิมะให้ฉันได้ไหม"
"conversation","Conversation","การสนทนา"
"me","Me","ผม"
"me_2","My name is {name}","ฉันชื่อ {ชื่อ}"
"me_3","I'm {name}","ฉัน {ชื่อ}"
"me_4","Do you know my name?","คุณรู้จักชื่อฉันไหม"
"me_5","What is your name?","คุณชื่ออะไร?"
"me_6","Nice to meet you!","ยินดีที่ได้พบคุณ!"
"me_7","Do you like me?","คุณชอบฉันไหม?"
"me_8","Can we be friends?","พวกเราเป็นเพื่อนกันได้ไหม?"
"me_9","I'm using assistive communication app.","ฉันใช้แอพการสื่อสารที่ให้ความช่วยเหลือ"
"me_10","Who are you?","คุณคือใคร?"
"hello","Hello","สวัสดี"
"hello_2","Hello.","สวัสดี."
"hello_3","Hi.","สวัสดี"
"hello_4","Greetings.","ทักทาย."
"hello_5","How are you?","คุณเป็นอย่างไร?"
"hello_6","Nice to meet you!","ยินดีที่ได้พบคุณ!"
"help","Help","ช่วยด้วย"
"help_2","Help me.","ช่วยฉันด้วย."
"help_3","Can you help me?","คุณสามารถช่วยฉันได้ไหม?"
"help_4","I need help","ฉันต้องการความช่วยเหลือ"
"help_5","Do you need help?","คุณต้องการความช่วยเหลือไหม?"
"yes","Yes","ใช่"
"yes_2","Yes.","ใช่."
"yes_3","Yes please.","ได้โปรด"
"yes_4","Alright.","Alright"
"yes_5","Agreed.","ตกลง"
"yes_6","I want to.","ฉันต้องการ"
"yes_7","I would like to.","ฉันอยากจะ."
"no","No","ไม่"
"no_2","No.","เลขที่"
"no_3","Nope.","Nope"
"no_4","Never.","ไม่เคย"
"no_5","I don't want to.","ฉันไม่ต้องการ"
"no_6","I don't like it.","ฉันไม่ชอบมัน"
"no_7","You don't like it?","คุณไม่ชอบหรือ"
"no_8","Why you don't like it?","ทำไมคุณไม่ชอบมัน"
"toilet","Toilet","ห้องน้ำ"
"toilet_2","I need to go to the toilet.","ฉันต้องไปเข้าห้องน้ำ"
"toilet_3","I need to pee.","ฉันปวดฉี่."
"toilet_4","I need to poop.","ฉันต้องเซ่อ"
"toilet_5","Can you help me go to the toilet?","คุณช่วยฉันไปห้องน้ำได้ไหม?"
"toilet_6","Can you help me clean?","คุณช่วยฉันทำความสะอาดได้ไหม"
"toilet_7","I peed myself.","ฉันปี๊ดเอง"
"toilet_8","I pooped myself.","ฉันเซ่อตัวเอง"
"what","What","อะไร"
"what_2","What is that?","นั่นคืออะไร?"
"what_3","What does it mean?","มันหมายความว่าอะไร?"
"what_4","What do you mean?","คุณหมายถึงอะไร"
"what_5","Can you explain it?","คุณอธิบายได้ไหม"
"what_6","Can you repeat what you said?","คุณสามารถทำซ้ำสิ่งที่คุณพูด?"
"what_7","I don't understand.","ฉันไม่เข้าใจ"
"sleep","Sleep","นอน"
"sleep_2","I want to sleep.","ฉันอยากนอน"
"sleep_3","I don't want to sleep.","ฉันไม่อยากนอน"
"sleep_4","I'm tired.","ฉันเหนื่อย."
"sleep_5","Are you tired?","คุณเหนื่อยไหม?"
"sleep_6","When am I going to sleep?","ฉันจะนอนเมื่อไหร่"
"sleep_7","I want to take a nap.","ฉันอยากงีบหลับ"
"bath","Bath","การอาบน้ำ"
"bath_2","I want to take a bath.","ฉันต้องการอาบน้ำ"
"bath_3","I like taking a bath.","ฉันชอบอาบน้ำ"
"bath_4","I want to wash my hands.","ฉันต้องการล้างมือ"
"bath_5","I want to take a shower.","ฉันต้องการอาบน้ำ"
"bath_6","I want to clean myself.","ฉันต้องการทำความสะอาดตัวเอง"
"bath_7","Can you help me take a bath?","คุณช่วยฉันอาบน้ำได้ไหม"
"bath_8","I don't want to take a bath.","ฉันไม่ต้องการอาบน้ำ"
"listen","Listen","ฟัง"
"listen_2","Listen to me.","ฟังฉันนะ."
"listen_3","Can you listen to me?","คุณฟังฉันไหม"
"listen_4","Listen to music.","ฟังเพลง."
"listen_5","Listening to my parents.","ฟังพ่อแม่ของฉัน"
"listen_6","Listen to what my application is saying!","ฟังสิ่งที่แอปพลิเคชันของฉันกำลังพูด!"
"morning","Morning","ตอนเช้า"
"morning_2","Good morning.","สวัสดีตอนเช้าค่ะ"
"morning_3","I like mornings.","ฉันชอบตอนเช้า"
"morning_4","In the morning.","ตอนเช้า."
"morning_5","Morning time.","เวลาเช้า"
"morning_6","Is it morning?","เช้านี้ไหม"
"night","Night","กลางคืน"
"night_2","Good night!","ราตรีสวัสดิ์!"
"night_3","I like nights.","ฉันชอบคืน"
"night_4","At night.","ตอนกลางคืน."
"night_5","Night time.","เวลากลางคืน"
"night_6","Is it night?","กลางคืนไหม"
"look","Look","ดู"
"look_2","Look at me.","มองฉันสิ."
"look_3","Look at this.","ดูนี่สิ."
"look_4","Are you looking?","คุณกำลังมองหา"
"look_5","Look at my drawing.","ดูรูปวาดของฉัน"
"look_6","How do I look?","ฉันดูเป็นยังไงบ้าง?"
"look_7","Look what I did.","ดูสิ่งที่ฉันทำ"
"look_8","Let's look at that.","ลองดูที่"
"speak","Speak","พูด"
"speak_2","I'm learning how to speak.","ฉันเรียนรู้ที่จะพูด"
"speak_3","I want to speak.","ฉันต้องการที่จะพูด."
"speak_4","Can I speak with you?","ฉันพูดกับคุณได้ไหม"
"speak_5","I like speaking.","ฉันชอบพูด"
"speak_6","I'm using assistive communication app.","ฉันใช้แอพการสื่อสารที่ให้ความช่วยเหลือ"
"play","Play","เล่น"
"play_2","I love playing.","ฉันรักการเล่น"
"play_3","Can you play with me?","คุณสามารถเล่นกับฉันได้ไหม"
"play_4","I want to play with you!","ฉันอยากเล่นกับเธอ!"
"play_5","I want to play with my friends.","ฉันต้องการเล่นกับเพื่อนของฉัน"
"play_6","I don't want to play with you.","ฉันไม่ต้องการเล่นกับคุณ"
"outside","Outside","ด้านนอก"
"outside_2","I love going outside.","ฉันชอบออกไปข้างนอก"
"outside_3","I want to go outside.","ฉันอยากออกไปข้างนอก"
"outside_4","Is it cold outside?","ข้างนอกหนาวไหม?"
"outside_5","I don't like outside.","ฉันไม่ชอบข้างนอก"
"outside_6","Can I go outside?","ฉันออกไปข้างนอกได้ไหม?"
"home","Home","บ้าน"
"home_2","I love my home.","ฉันรักบ้านของฉัน"
"home_3","I want to go home.","ฉันอยากกลับบ้าน."
"home_4","Where is your home?","บ้านคุณอยู่ที่ไหน?"
"home_5","Home sweet home.","บ้านที่แสนอบอุ่น."
"home_6","I'm in the house.","ฉันอยู่ในบ้าน"
"home_7","I'm not in the house.","ฉันไม่ได้อยู่ในบ้าน"
"hurt","Hurt","เจ็บ"
"hurt_2","I'm hurt.","ฉันเจ็บ."
"hurt_3","Are you hurt?","คุณเจ็บหรือเปล่า"
"hurt_4","Did I hurt you?","ฉันทำร้ายคุณหรือเปล่า"
"hurt_5","I didn't mean to hurt you!","ฉันไม่ได้ตั้งใจทำร้ายคุณ!"
"hurt_6","Is it going to hurt?","มันจะเจ็บหรือเปล่า?"
"hurt_7","I have a headache.","ฉันปวดหัว."
"hurt_8","I have a stomach ache.","ฉันปวดท้อง."
"hurt_9","My genitals hurt.","องคชาตของฉันเจ็บ"
"hurt_10","My foot hurts.","เท้าของฉันเจ็บ."
"feelings","Feelings","ความรู้สึก"
"happy","Happy","มีความสุข"
"happy_2","I'm happy.","ฉันมีความสุข"
"happy_3","I feel happy.","ฉันรู้สึกมีความสุข."
"happy_4","Do you feel happy?","คุณรู้สึกมีความสุขไหม"
"happy_5","I want to feel happy.","ฉันต้องการที่จะรู้สึกมีความสุข"
"happy_6","You are making me happy.","คุณทำให้ฉันมีความสุข"
"sad","Sad","เสียใจ"
"sad_2","I'm sad.","ฉันเศร้า."
"sad_3","I feel sad.","ฉันรู้สึกเศร้า."
"sad_4","Do you feel sad?","คุณรู้สึกเศร้าไหม"
"sad_5","I don't want to feel sad.","ฉันไม่อยากรู้สึกเศร้า"
"sad_6","You are making me sad.","คุณทำให้ฉันเศร้า"
"exhausted","Exhausted","เหนื่อย"
"exhausted_2","I'm exhausted.","ฉันเหนื่อย."
"exhausted_3","I feel exhausted.","ฉันรู้สึกเหนื่อย"
"exhausted_4","Do you feel exhausted?","คุณรู้สึกเหนื่อยไหม"
"exhausted_5","I don't want to be exhausted.","ฉันไม่อยากเหนื่อย"
"relaxed","Relaxed","ผ่อนคลาย"
"relaxed_2","I'm relaxed.","ฉันผ่อนคลาย"
"relaxed_3","I feel relaxed.","ฉันรู้สึกผ่อนคลาย"
"relaxed_4","Do you feel relaxed?","คุณรู้สึกผ่อนคลายหรือไม่?"
"relaxed_5","I want to feel relaxed.","ฉันต้องการที่จะรู้สึกผ่อนคลาย"
"in-love","In love","มีความรัก"
"in-love_2","I'm in love.","ฉันกำลังมีความรัก."
"in-love_3","I feel in love.","ฉันรู้สึกรัก"
"in-love_4","Are you in love?","คุณกำลังมีความรักหรือเปล่า?"
"in-love_5","I want to fall in love.","ฉันต้องการที่จะตกหลุมรัก."
"in-love_6","Do you love me?","คุณรักฉันไหม?"
"stressed","Stressed","เครียด"
"stressed_2","I'm stressed.","ผมเครียด."
"stressed_3","I feel stressed.","ฉันรู้สึกเครียด"
"stressed_4","Do you feel stressed?","คุณรู้สึกเครียดไหม?"
"stressed_5","I don't want to feel stressed.","ฉันไม่อยากรู้สึกเครียด"
"thankful","Thankful","กตัญญู"
"thankful_2","I'm thankful.","ฉันรู้สึกขอบคุณ"
"thankful_3","I feel thankful.","ฉันรู้สึกขอบคุณ"
"thankful_4","Do you feel thankful?","คุณรู้สึกขอบคุณหรือไม่"
"thankful_5","I want to feel thankful.","ฉันอยากรู้สึกขอบคุณ"
"confused","Confused","สับสน"
"confused_2","I'm confused.","ฉันสับสน"
"confused_3","I feel confused.","ฉันรู้สึกสับสน"
"confused_4","Do you feel confused?","คุณรู้สึกสับสนไหม"
"confused_5","You are confusing me.","คุณกำลังทำให้ฉันสับสน."
"joyful","Joyful","สนุกสนาน"
"joyful_2","I'm joyful.","ฉันดีใจ"
"joyful_3","I feel joyful.","ฉันรู้สึกมีความสุข"
"joyful_4","Do you feel joyful?","คุณรู้สึกมีความสุขหรือไม่?"
"joyful_5","I want to feel joyful.","ฉันต้องการที่จะรู้สึกมีความสุข"
"angry","Angry","โกรธ"
"angry_2","I'm angry.","ฉันโกรธ."
"angry_3","I feel angry.","ฉันรู้สึกโกรธ"
"angry_4","Do you feel angry?","คุณรู้สึกโกรธไหม?"
"angry_5","I'm angry at you.","ฉันโกรธคุณ"
"angry_6","You are making me angry.","คุณทำให้ฉันโกรธ"
"smart","Smart","ฉลาด"
"smart_2","I'm smart.","ฉันฉลาด"
"smart_3","I feel smart.","ฉันรู้สึกสมาร์ท"
"smart_4","Do you feel smart?","คุณรู้สึกฉลาดไหม"
"smart_5","Am I smart?","ฉันฉลาดไหม"
"smart_6","You are smart!","คุณฉลาด!"
"afraid","Afraid","เกรงกลัว"
"afraid_2","I'm afraid.","ฉันกลัว."
"afraid_3","I feel afraid.","ฉันรู้สึกกลัว"
"afraid_4","Do you feel afraid?","คุณรู้สึกกลัวไหม"
"afraid_5","I don't want to feel afraid.","ฉันไม่อยากรู้สึกกลัว"
"afraid_6","You are scaring me.","คุณทำให้ฉันกลัว"
"ashamed","Ashamed","ละอายใจ"
"ashamed_2","I'm ashamed.","ฉันละอายใจ."
"ashamed_3","I feel ashamed.","ฉันรู้สึกละอายใจ"
"ashamed_4","Do you feel ashamed?","คุณรู้สึกละอายใจไหม?"
"ashamed_5","I don't want to feel ashamed.","ฉันไม่อยากรู้สึกละอายใจ"
"shocked","Shocked","ตกใจ"
"shocked_2","I'm shocked.","ฉันตกใจ"
"shocked_3","I feel shocked.","ฉันรู้สึกตกใจ"
"shocked_4","Do you feel shocked?","คุณรู้สึกตกใจหรือไม่?"
"shocked_5","You shocked me.","คุณทำให้ฉันตกใจ"
"sick","Sick","ป่วย"
"sick_2","I'm sick.","ฉันป่วย."
"sick_3","I feel sick.","ฉันรู้สึกไม่สบาย."
"sick_4","Do you feel sick?","คุณรู้สึกไม่สบายหรือเปล่า?"
"sick_5","I don't want to be sick.","ฉันไม่อยากป่วย"
"sick_6","I'm sick of the food.","ฉันเบื่ออาหาร"
"frustrated","Frustrated","ผิดหวัง"
"frustrated_2","I'm frustrated.","ฉันผิดหวัง."
"frustrated_3","I feel frustrated.","ฉันรู้สึกท้อแท้"
"frustrated_4","Do you feel frustrated?","คุณรู้สึกท้อแท้หรือไม่"
"frustrated_5","I don't want to feel frustrated.","ฉันไม่ต้องการที่จะรู้สึกผิดหวัง"
"excited","Excited","ตื่นเต้น"
"excited_2","I'm excited.","ฉันตื่นเต้น."
"excited_3","I feel excited.","ฉันรู้สึกตื่นเต้น"
"excited_4","Do you feel excited?","คุณรู้สึกตื่นเต้นไหม"
"excited_5","I don't want to feel excited.","ฉันไม่อยากรู้สึกตื่นเต้น"
"nauseated","Nauseated","อืดผะอม"
"nauseated_2","I'm nauseated.","ฉันคลื่นไส้"
"nauseated_3","I feel nauseated.","ฉันรู้สึกคลื่นไส้"
"nauseated_4","Do you feel nauseated?","คุณรู้สึกคลื่นไส้ไหม"
"nauseated_5","I don't want to feel nauseated.","ฉันไม่ต้องการที่จะรู้สึกคลื่นไส้"
"agitated","Agitated","ตื่นเต้น"
"agitated_2","I'm agitated.","ฉันตื่นเต้น"
"agitated_3","I feel agitated.","ฉันรู้สึกไม่สบายใจ"
"agitated_4","Do you feel agitated?","คุณรู้สึกตื่นเต้นไหม"
"agitated_5","I don't want to feel agitated.","ฉันไม่ต้องการที่จะรู้สึกตื่นเต้น"
"food","Food","อาหาร"
"hungry","Hungry","หิว"
"hungry_2","I'm hungry.","ฉันหิว."
"hungry_3","Are you hungry?","คุณหิวไหม?"
"hungry_4","Can you make me food?","คุณสามารถทำอาหารให้ฉันได้ไหม"
"hungry_5","What is for dinner?","อะไรคืออาหารเย็น?"
"thirsty","Thirsty","กระหายน้ำ"
"thirsty_2","I'm thirsty.","ฉันกระหายน้ำ"
"thirsty_3","Can I have some water?","ฉันขอน้ำได้ไหม"
"thirsty_4","Can I have a glass of water?","ฉันขอน้ำหนึ่งแก้วได้ไหม"
"thirsty_5","I want something to drink.","ฉันต้องการดื่ม"
"cutlery","Cutlery","มีด"
"cutlery_2","I need cutlery.","ฉันต้องการมีด"
"cutlery_3","Help me use cutlery.","ช่วยฉันใช้มีด"
"cutlery_4","I need a fork.","ฉันต้องการส้อม"
"cutlery_5","I need a spoon.","ฉันต้องการช้อน"
"cutlery_6","I need chopsticks.","ฉันต้องการตะเกียบ"
"cutlery_7","I need a knife.","ฉันต้องการมีด"
"cutlery_8","I need a napkin.","ฉันต้องการผ้าเช็ดปาก"
"apple","Apple","แอปเปิ้ล"
"apple_2","I like apple.","ฉันชอบแอปเปิ้ล."
"apple_3","I don't like apple.","ฉันไม่ชอบแอปเปิ้ล"
"apple_4","I want to eat an apple.","ฉันต้องการกินแอปเปิ้ล"
"carrot","Carrot","แครอท"
"carrot_2","I like carrot.","ฉันชอบแครอท"
"carrot_3","I don't like carrot.","ฉันไม่ชอบแครอท"
"carrot_4","I want to eat a carrot.","ฉันต้องการกินแครอท"
"beans","Beans","ถั่ว"
"beans_2","I like beans.","ฉันชอบถั่ว"
"beans_3","I don't like beans.","ฉันไม่ชอบถั่ว"
"beans_4","I want to eat beans.","ฉันต้องการกินถั่ว"
"chicken_5","I want fried chicken.","ฉันต้องการไก่ทอด"
"chicken_6","I want boiled chicken.","ฉันต้องการไก่ต้ม"
"chocolate","Chocolate","ช็อคโกแลต"
"chocolate_2","I like chocolate.","ฉันชอบชอคโกแลต."
"chocolate_3","I don't like chocolate.","ฉันไม่ชอบช็อคโกแลต"
"chocolate_4","I want to eat chocolate.","ฉันต้องการกินช็อคโกแลต"
"chocolate_5","I want dark chocolate.","ฉันต้องการช็อคโกแลตสีเข้ม"
"chocolate_6","I want white chocolate.","ฉันต้องการช็อคโกแลตสีขาว"
"milk","Milk","นม"
"milk_2","I like milk.","ฉันชอบนม"
"milk_3","I don't like milk.","ฉันไม่ชอบนม"
"milk_4","I want to drink milk.","ฉันต้องการดื่มนม"
"milk_5","Can I have a glass of milk?","ฉันขอนมหนึ่งแก้วได้ไหม"
"sandwich","Sandwich","แซนด์วิช"
"sandwich_2","I like sandwich.","ฉันชอบแซนด์วิช"
"sandwich_3","I don't like sandwich.","ฉันไม่ชอบแซนด์วิช"
"sandwich_4","I want to eat a sandwich.","ฉันต้องการกินแซนด์วิช"
"sandwich_5","Can you make me a sandwich?","คุณทำให้ฉันเป็นแซนด์วิชได้ไหม"
"steak","Steak","สเต็ก"
"steak_2","I like steak.","ฉันชอบสเต็ก"
"steak_3","I don't like steak.","ฉันไม่ชอบสเต็ก"
"steak_4","I want to eat steak.","ฉันต้องการกินสเต็ก"
"steak_5","Can you cook steak for me?","คุณสามารถปรุงสเต็กให้ฉันได้ไหม"
"banana","Banana","กล้วย"
"banana_2","I like banana.","ฉันชอบกล้วย"
"banana_3","I don't like banana.","ฉันไม่ชอบกล้วย"
"banana_4","I want to eat a banana.","ฉันต้องการกินกล้วย"
"pie","Pie","พาย"
"pie_2","I like pie.","ผมชอบพาย."
"pie_3","I don't like pie.","ฉันไม่ชอบพาย"
"pie_4","I want to eat pie.","ฉันอยากกินพาย"
"pie_5","Can you bake a pie for me?","คุณสามารถอบพายให้ฉันได้ไหม"
"egg","Egg","ไข่"
"egg_2","I like egg.","ฉันชอบไข่"
"egg_3","I don't like egg.","ฉันไม่ชอบไข่"
"egg_4","I want to eat egg.","ฉันต้องการกินไข่"
"egg_5","I want fried eggs.","ฉันต้องการไข่ดาว"
"egg_6","I want boiled eggs.","ฉันต้องการไข่ต้ม"
"noodles","Noodles","ก๋วยเตี๋ยว"
"noodles_2","I like noodles.","ฉันชอบก๋วยเตี๋ยว"
"noodles_3","I don't like noodles.","ฉันไม่ชอบก๋วยเตี๋ยว"
"noodles_4","I want to eat noodles.","ฉันอยากกินก๋วยเตี๋ยว"
"noodles_5","Can you cook noodles for me?","คุณช่วยปรุงก๋วยเตี๋ยวให้ฉันได้ไหม"
"salt","Salt","เกลือ"
"salt_2","I want salt.","ฉันต้องการเกลือ"
"salt_3","Can you pass me the salt?","ส่งเกลือให้ฉันได้ไหม"
"salt_4","Food is too salty.","อาหารเค็มเกินไป"
"salt_5","My food needs some salt.","อาหารของฉันต้องการเกลือ"
"spices","Spices","เครื่องเทศ"
"spices_2","I like spicy food.","ฉันชอบอาหารรสเผ็ด"
"spices_3","I don't like spicy food.","ฉันไม่ชอบอาหารรสเผ็ด"
"spices_4","I want paprika.","ฉันต้องการพริกขี้หนู"
"spices_5","I want black pepper.","ฉันต้องการพริกไทยดำ"
"pizza","Pizza","พิซซ่า"
"pizza_2","I like pizza.","ฉันชอบพิซซ่า."
"pizza_3","I don't like pizza.","ฉันไม่ชอบพิซซ่า"
"pizza_4","I want to eat pizza.","ฉันต้องการกินพิซซ่า"
"pizza_5","Can you cook pizza for me?","คุณสามารถปรุงพิซซ่าให้ฉันได้ไหม"
"pizza_6","Can we order pizza?","สั่งพิซซ่าได้ไหม"
"cheese","Cheese","ชีส"
"cheese_2","I like cheese.","ผมชอบชีส."
"cheese_3","I don't like cheese.","ฉันไม่ชอบชีส"
"cheese_4","I want to eat cheese.","ฉันต้องการกินชีส"
"ice-cream","Ice cream","ไอศครีม"
"ice-cream_2","I like ice cream.","ฉันชอบไอศครีม."
"ice-cream_3","I don't like ice cream.","ฉันไม่ชอบไอศครีม"
"ice-cream_4","I want to eat ice cream.","ฉันอยากทานไอศกรีม"
"ice-cream_5","Can you buy ice cream for me?","คุณซื้อไอศกรีมให้ฉันได้ไหม"
"tea","Tea","ชา"
"tea_2","I like tea.","ฉันชอบชา"
"tea_3","I don't like tea.","ฉันไม่ชอบชา"
"tea_4","I want to drink tea.","ฉันต้องการดื่มชา"
"tea_5","Can you make tea for me?","คุณสามารถชงชาให้ฉันได้ไหม"
"coffee","Coffee","กาแฟ"
"coffee_2","I like coffee.","ฉันชอบกาแฟ."
"coffee_3","I don't like coffee.","ฉันไม่ชอบกาแฟ"
"coffee_4","I want to drink coffee.","ฉันต้องการดื่มกาแฟ"
