"activities","Activities","faaliyetler"
"gray_4","Can you give me gray paint?","Bana gri boya verebilir misin?"
"transparent","Transparent","Şeffaf"
"transparent_2","It is transparent.","Şeffaftır."
"transparent_3","I can see behind transparent color.","Saydam rengin arkasında görebiliyorum."
"transparent_4","Can you help me erase?","Silmeme yardım eder misin?"
"cyan","Cyan","Cam göbeği"
"cyan_2","It is cyan.","Camgöbeği."
"cyan_3","My favorite color is cyan.","En sevdiğim renk camgöbeği."
"cyan_4","Can you give me cyan paint?","Bana mavi boya verebilir misin?"
"violet","Violet","Menekşe"
"violet_2","It is violet.","Menekşe rengidir."
"violet_3","My favorite color is violet.","En sevdiğim renk menekşe rengidir."
"violet_4","Can you give me violet paint?","Bana mor boya verebilir misin?"
"turquoise","Turquoise","Turkuaz"
"turquoise_2","It is turquoise.","Turkuaz."
"turquoise_3","My favorite color is turquoise.","En sevdiğim renk turkuaz."
"turquoise_4","Can you give me turquoise paint?","Bana turkuaz boya verebilir misin?"
"lime","Lime","Misket Limonu"
"lime_2","It is lime.","Kireç."
"lime_3","My favorite color is lime.","En sevdiğim renk kireç."
"lime_4","Can you give me lime paint?","Bana kireç boyası verir misin?"
"plum","Plum","Erik"
"plum_2","It is plum.","Erik."
"plum_3","My favorite color is plum.","En sevdiğim renk erik."
"plum_4","Can you give me plum paint?","Bana erik boyası verir misin?"
"tan","Tan","taba rengi"
"tan_2","It is tan color.","Taba rengi."
"tan_3","My favorite color is tan color.","En sevdiğim renk ten rengi."
"tan_4","Can you give me tan color paint?","Taba rengi boya verebilir misin?"
"avocado","Avocado","Avokado"
"avocado_2","It is avocado color.","Avokado rengidir."
"avocado_3","My favorite color is avocado color.","En sevdiğim renk avokado rengidir."
"avocado_4","Can you give me avocado color paint?","Bana avokado renk boyası verir misin?"
"barbie-pink","Barbie pink","Barbie pembe"
"barbie-pink_2","It is barbie pink color.","Barbie pembe renktedir."
"barbie-pink_3","My favorite color is barbie pink.","En sevdiğim renk barbie pembesi."
"barbie-pink_4","Can you give me barbie pink paint?","Bana barbie pembe boya verebilir misin?"
"blizzard-blue","Blizzard blue","Blizzard mavisi"
"blizzard-blue_2","It is blizzard blue color.","Blizzard mavi renktedir."
"blizzard-blue_3","My favorite color is blizzard blue color.","En sevdiğim renk blizzard mavisi rengidir."
"blizzard-blue_4","Can you give me blizzard blue paint?","Blizzard mavi boya verebilir misin?"
"conversation","Conversation","konuşma"
"me","Me","Ben mi"
"me_2","My name is {name}","Benim adım {name}"
"me_3","I'm {name}","Ben isimim}"
"me_4","Do you know my name?","Adımı biliyor musun?"
"me_5","What is your name?","Adın ne?"
"me_6","Nice to meet you!","Tanıştığıma memnun oldum!"
"me_7","Do you like me?","Benden hoşlanıyor musun?"
"me_8","Can we be friends?","Arkadaş olabilir miyiz?"
"me_9","I'm using assistive communication app.","Yardımcı iletişim uygulaması kullanıyorum."
"me_10","Who are you?","Kimsin?"
"hello","Hello","Merhaba"
"hello_2","Hello.","Merhaba."
"hello_3","Hi.","Selam."
"hello_4","Greetings.","Selamlar."
"hello_5","How are you?","Nasılsın?"
"hello_6","Nice to meet you!","Tanıştığıma memnun oldum!"
"help","Help","Yardım"
"help_2","Help me.","Bana yardım et."
"help_3","Can you help me?","Bana yardımcı olabilir misiniz?"
"help_4","I need help","yardıma ihtiyacım var"
"help_5","Do you need help?","Yardıma ihtiyacın var mı?"
"yes","Yes","Evet"
"yes_2","Yes.","Evet."
"yes_3","Yes please.","Evet lütfen."
"yes_4","Alright.","Peki."
"yes_5","Agreed.","Kabul."
"yes_6","I want to.","İstiyorum."
"yes_7","I would like to.","İsterim."
"no","No","Hayır"
"no_2","No.","Hayır."
"no_3","Nope.","Hayır!"
"no_4","Never.","Asla."
"no_5","I don't want to.","İstemiyorum."
"no_6","I don't like it.","Sevmiyorum."
"no_7","You don't like it?","Hoşuna gitmedi mi?"
"no_8","Why you don't like it?","Neden sevmiyorsun?"
"toilet","Toilet","Tuvalet"
"toilet_2","I need to go to the toilet.","Tuvalete gitmem lazım."
"toilet_3","I need to pee.","İşemem lazım."
"toilet_4","I need to poop.","Kaka yapmam gerek."
"toilet_5","Can you help me go to the toilet?","Tuvalete gitmeme yardım eder misin?"
"toilet_6","Can you help me clean?","Temizlememe yardım eder misin?"
"toilet_7","I peed myself.","Altıma işedim."
"toilet_8","I pooped myself.","Altıma yaptım."
"what","What","Ne"
"what_2","What is that?","O nedir?"
"what_3","What does it mean?","Bunun anlamı ne?"
"what_4","What do you mean?","Ne demek istiyorsun?"
"what_5","Can you explain it?","Bunu açıklayabilir misin?"
"what_6","Can you repeat what you said?","Söylediklerini tekrar edebilir misin?"
"what_7","I don't understand.","Anlamıyorum."
"sleep","Sleep","Uyku"
"sleep_2","I want to sleep.","Uyumak istiyorum."
"sleep_3","I don't want to sleep.","Uyumak istemiyorum."
"sleep_4","I'm tired.","Yorgunum."
"sleep_5","Are you tired?","Yorgun musun?"
"sleep_6","When am I going to sleep?","Ne zaman uyuyacağım"
"sleep_7","I want to take a nap.","Kestirmek istiyorum."
"bath","Bath","Banyo"
"bath_2","I want to take a bath.","Duş almak istiyorum."
"bath_3","I like taking a bath.","Banyo yapmayı seviyorum."
"bath_4","I want to wash my hands.","Ellerimi yıkamak istiyorum."
"bath_5","I want to take a shower.","Ben bir duş almak istiyorum."
"bath_6","I want to clean myself.","Kendimi temizlemek istiyorum."
"bath_7","Can you help me take a bath?","Banyo yapmama yardım eder misin?"
"bath_8","I don't want to take a bath.","Banyo yapmak istemiyorum."
"listen","Listen","dinlemek"
"listen_2","Listen to me.","Beni dinle."
"listen_3","Can you listen to me?","Beni dinleyebilir misin?"
"listen_4","Listen to music.","Müzik dinlemek."
"listen_5","Listening to my parents.","Ailemi dinlemek."
"listen_6","Listen to what my application is saying!","Uygulamamın söylediklerini dinleyin!"
"morning","Morning","Sabah"
"morning_2","Good morning.","Günaydın."
"morning_3","I like mornings.","Sabahları severim."
"morning_4","In the morning.","Sabah."
"morning_5","Morning time.","Sabah zamanı."
"morning_6","Is it morning?","Sabah mı?"
"night","Night","Gece"
"night_2","Good night!","İyi geceler!"
"night_3","I like nights.","Geceleri severim."
"night_4","At night.","Geceleyin."
"night_5","Night time.","Gece vakti."
"night_6","Is it night?","Gece mi?"
"look","Look","Bak"
"look_2","Look at me.","Bana bak."
"look_3","Look at this.","Şuna bak."
"look_4","Are you looking?","Bakıyor musun?"
"look_5","Look at my drawing.","Çizime bak."
"look_6","How do I look?","Nasıl görünüyorum?"
"look_7","Look what I did.","Bak ne yaptım."
"look_8","Let's look at that.","Şuna bakalım."
"speak","Speak","Speak"
"speak_2","I'm learning how to speak.","Nasıl konuşacağımı öğreniyorum."
"speak_3","I want to speak.","Konuşmak istiyorum."
"speak_4","Can I speak with you?","Seninle konuşabilirmiyim?"
"speak_5","I like speaking.","Konuşmayı seviyorum."
"speak_6","I'm using assistive communication app.","Yardımcı iletişim uygulaması kullanıyorum."
"play","Play","Oyna"
"play_2","I love playing.","Oynamayı seviyorum."
"play_3","Can you play with me?","Benimle Oynar mısın?"
"play_4","I want to play with you!","Seninle oynamak istiyorum!"
"play_5","I want to play with my friends.","Arkadaşlarımla oynamak istiyorum."
"play_6","I don't want to play with you.","Seninle oynamak istemiyorum."
"outside","Outside","Dışarıda"
"outside_2","I love going outside.","Dışarı çıkmayı seviyorum."
"outside_3","I want to go outside.","Dışarı çıkmak istiyorum."
"outside_4","Is it cold outside?","Dışarısı soğuk?"
"outside_5","I don't like outside.","Dışarıdan hoşlanmıyorum."
"outside_6","Can I go outside?","Dışarı çıkabilir miyim?"
"home","Home","Ev"
"home_2","I love my home.","Evimi seviyorum."
"home_3","I want to go home.","Eve gitmek istiyorum."
"home_4","Where is your home?","Evin nerede?"
"home_5","Home sweet home.","Evim güzel evim."
"home_6","I'm in the house.","Evdeyim."
"home_7","I'm not in the house.","Evde değilim."
"hurt","Hurt","Canını yakmak"
"hurt_2","I'm hurt.","Ben yaralıyım."
"hurt_3","Are you hurt?","Yaralandın mı?"
"hurt_4","Did I hurt you?","Seni incittim mi?"
"hurt_5","I didn't mean to hurt you!","Sana zarar vermek istememiştim!"
"hurt_6","Is it going to hurt?","Acı olacak mı?"
"hurt_7","I have a headache.","Başım ağrıyor."
"hurt_8","I have a stomach ache.","Karnım ağrıyor."
"hurt_9","My genitals hurt.","Cinsel organlarım acıyor."
"hurt_10","My foot hurts.","Ayağım ağrıyor."
"feelings","Feelings","duygular"
"happy","Happy","Mutlu"
"happy_2","I'm happy.","Mutluyum."
"happy_3","I feel happy.","Mutlu hissediyorum."
"happy_4","Do you feel happy?","Mutlu hissediyor musun"
"happy_5","I want to feel happy.","Mutlu hissetmek istiyorum."
"happy_6","You are making me happy.","Beni mutlu ediyorsun."
"sad","Sad","Üzgün"
"sad_2","I'm sad.","Üzgünüm."
"sad_3","I feel sad.","Üzgün hissediyorum."
"sad_4","Do you feel sad?","Üzgün hissediyor musun"
"sad_5","I don't want to feel sad.","Üzgün hissetmek istemiyorum."
"sad_6","You are making me sad.","Beni üzüyorsun."
"exhausted","Exhausted","Yorgun"
"exhausted_2","I'm exhausted.","çok yoruldum."
"exhausted_3","I feel exhausted.","Yorgun hissediyorum."
"exhausted_4","Do you feel exhausted?","Yorgun mu hissediyorsun?"
"exhausted_5","I don't want to be exhausted.","Yorgun olmak istemiyorum."
"relaxed","Relaxed","rahat"
"relaxed_2","I'm relaxed.","Rahatım."
"relaxed_3","I feel relaxed.","Rahatlamış hissediyorum."
"relaxed_4","Do you feel relaxed?","Rahat hissediyor musun?"
"relaxed_5","I want to feel relaxed.","Kendimi rahat hissetmek istiyorum."
"in-love","In love","Aşık"
"in-love_2","I'm in love.","Aşığım."
"in-love_3","I feel in love.","Aşık oldum."
"in-love_4","Are you in love?","Aşık mısın?"
"in-love_5","I want to fall in love.","Aşık olmak istiyorum."
"in-love_6","Do you love me?","Beni seviyor musun?"
"stressed","Stressed","Stresli"
"stressed_2","I'm stressed.","Stresliyim."
"stressed_3","I feel stressed.","Stresli hissediyorum."
"stressed_4","Do you feel stressed?","Stresli hissediyor musun?"
"stressed_5","I don't want to feel stressed.","Stresli hissetmek istemiyorum."
"thankful","Thankful","müteşekkir"
"thankful_2","I'm thankful.","Çok müteşekkirim."
"thankful_3","I feel thankful.","Kendimi müteşekkir hissediyorum."
"thankful_4","Do you feel thankful?","Müteşekkir hissediyor musun?"
"thankful_5","I want to feel thankful.","Kendimi müteşekkir hissetmek istiyorum."
"confused","Confused","Şaşkın"
"confused_2","I'm confused.","Kafam karıştı."
"confused_3","I feel confused.","Kafam karışık."
"confused_4","Do you feel confused?","Kafanız karışıyor mu?"
"confused_5","You are confusing me.","Kafamı karıştırıyorsun."
"joyful","Joyful","Neşeli"
"joyful_2","I'm joyful.","Sevinçliyim."
"joyful_3","I feel joyful.","Kendimi neşeli hissediyorum."
"joyful_4","Do you feel joyful?","Neşeli hissediyor musun?"
"joyful_5","I want to feel joyful.","Kendimi neşeli hissetmek istiyorum."
"angry","Angry","kızgın"
"angry_2","I'm angry.","Sinirliyim."
"angry_3","I feel angry.","Kızgınım."
"angry_4","Do you feel angry?","Kızgın hissediyor musun?"
"angry_5","I'm angry at you.","Sana kızgınım."
"angry_6","You are making me angry.","Beni kızdırıyorsun."
"smart","Smart","Akıllı"
"smart_2","I'm smart.","Ben zekiyim."
"smart_3","I feel smart.","Akıllı hissediyorum."
"smart_4","Do you feel smart?","Zeki misin?"
"smart_5","Am I smart?","Akıllı mıyım?"
"smart_6","You are smart!","Akıllısın!"
"afraid","Afraid","Korkmuş"
"afraid_2","I'm afraid.","Korkarım."
"afraid_3","I feel afraid.","Korkuyorum."
"afraid_4","Do you feel afraid?","Korkuyor musun?"
"afraid_5","I don't want to feel afraid.","Korkmak istemiyorum."
"afraid_6","You are scaring me.","Beni korkutuyorsun."
"ashamed","Ashamed","utanmış"
"ashamed_2","I'm ashamed.","Utandım."
"ashamed_3","I feel ashamed.","Mahçup hissediyorum."
"ashamed_4","Do you feel ashamed?","Utanıyor musun?"
"ashamed_5","I don't want to feel ashamed.","Utanmak istemiyorum."
"shocked","Shocked","Şok"
"shocked_2","I'm shocked.","Şok oldum."
"shocked_3","I feel shocked.","Şok hissediyorum."
"shocked_4","Do you feel shocked?","Şok hissediyor musun?"
"shocked_5","You shocked me.","Beni şoke ettin."
"sick","Sick","Hasta"
"sick_2","I'm sick.","Hastayım."
"sick_3","I feel sick.","Kötü hissediyorum."
"sick_4","Do you feel sick?","Hasta hissediyor musunuz?"
"sick_5","I don't want to be sick.","Hasta olmak istemiyorum."
"sick_6","I'm sick of the food.","Yemeklerden bıktım."
"frustrated","Frustrated","Sinirli"
"frustrated_2","I'm frustrated.","Hayal kırıklığına uğradım."
"frustrated_3","I feel frustrated.","Kendimi sinirli hissediyorum."
"frustrated_4","Do you feel frustrated?","Sinirli hissediyor musun?"
"frustrated_5","I don't want to feel frustrated.","Sinirli hissetmek istemiyorum."
"excited","Excited","Uyarılmış"
"excited_2","I'm excited.","Heyecanlıyım."
"excited_3","I feel excited.","Heyecanlandım."
"excited_4","Do you feel excited?","Heyecanlı hissediyor musun?"
"excited_5","I don't want to feel excited.","Heyecanlı hissetmek istemiyorum."
"nauseated","Nauseated","midesi"
"nauseated_2","I'm nauseated.","Bulantılıyım."
"nauseated_3","I feel nauseated.","Bulantılı hissediyorum."
"nauseated_4","Do you feel nauseated?","Mide bulantısı hissediyor musunuz?"
"nauseated_5","I don't want to feel nauseated.","Bulantılı hissetmek istemiyorum."
"agitated","Agitated","Tedirgin"
"agitated_2","I'm agitated.","Tedirgin oldum."
"agitated_3","I feel agitated.","Tedirgin hissediyorum."
"agitated_4","Do you feel agitated?","Tedirgin misin?"
"agitated_5","I don't want to feel agitated.","Tedirgin hissetmek istemiyorum."
"food","Food","Gıda"
"hungry","Hungry","Aç"
"hungry_2","I'm hungry.","Açım."
"hungry_3","Are you hungry?","Aç mısın?"
"hungry_4","Can you make me food?","Bana yemek yapabilir misin?"
"hungry_5","What is for dinner?","Akşam yemeği için ne var?"
"thirsty","Thirsty","susuz"
"thirsty_2","I'm thirsty.","Susadım."
"thirsty_3","Can I have some water?","Biraz su alabilir miyim?"
"thirsty_4","Can I have a glass of water?","Bir bardak su alabilirmiyim?"
"thirsty_5","I want something to drink.","Bir şeyler içmek istiyorum."
"cutlery","Cutlery","Çatal bıçak takımı"
"cutlery_2","I need cutlery.","Çatal bıçak takımına ihtiyacım var."
"cutlery_3","Help me use cutlery.","Çatal bıçak takımı kullanmama yardım et."
"cutlery_4","I need a fork.","Çatala ihtiyacım var."
"cutlery_5","I need a spoon.","Bir kaşığa ihtiyacım var."
"cutlery_6","I need chopsticks.","Yemek çubuklarına ihtiyacım var."
"cutlery_7","I need a knife.","Bıçağa ihtiyacım var."
"cutlery_8","I need a napkin.","Peçeteye ihtiyacım var."
"apple","Apple","elma"
"apple_2","I like apple.","Elma severim."
"apple_3","I don't like apple.","Elmayı sevmiyorum."
"apple_4","I want to eat an apple.","Bir elma yemek istiyorum."
"carrot","Carrot","Havuç"
"carrot_2","I like carrot.","Havuç severim."
"carrot_3","I don't like carrot.","Havuç sevmem."
"carrot_4","I want to eat a carrot.","Havuç yemek istiyorum."
"beans","Beans","Fasulyeler"
"beans_2","I like beans.","Fasulyeyi severim."
"beans_3","I don't like beans.","Fasulyeyi sevmem."
"beans_4","I want to eat beans.","Fasulye yemek istiyorum."
"chicken_5","I want fried chicken.","Kızarmış tavuk istiyorum."
"chicken_6","I want boiled chicken.","Haşlanmış tavuk istiyorum."
"chocolate","Chocolate","Çikolata"
"chocolate_2","I like chocolate.","Çikolatayı severim."
"chocolate_3","I don't like chocolate.","Çikolatayı sevmem."
"chocolate_4","I want to eat chocolate.","Çikolata yemek istiyorum."
"chocolate_5","I want dark chocolate.","Bitter çikolata istiyorum."
"chocolate_6","I want white chocolate.","Beyaz çikolata istiyorum."
"milk","Milk","Süt"
"milk_2","I like milk.","Süt severim."
"milk_3","I don't like milk.","Süt sevmiyorum."
"milk_4","I want to drink milk.","Süt içmek istiyorum."
"milk_5","Can I have a glass of milk?","Bir bardak süt alabilir miyim?"
"sandwich","Sandwich","Sandviç"
"sandwich_2","I like sandwich.","Sandviç severim."
"sandwich_3","I don't like sandwich.","Sandviçten hoşlanmıyorum."
"sandwich_4","I want to eat a sandwich.","Sandviç yemek istiyorum."
"sandwich_5","Can you make me a sandwich?","Bana bir sandviç yapabilir misin?"
"steak","Steak","Biftek"
"steak_2","I like steak.","Biftek severim."
"steak_3","I don't like steak.","Biftek sevmiyorum."
"steak_4","I want to eat steak.","Biftek yemek istiyorum."
"steak_5","Can you cook steak for me?","Benim için biftek pişirebilir misin?"
"banana","Banana","Muz"
"banana_2","I like banana.","Ben muz severim."
"banana_3","I don't like banana.","Muz sevmem."
"banana_4","I want to eat a banana.","Muz yemek istiyorum."
"pie","Pie","Turta"
"pie_2","I like pie.","Turta severim."
"pie_3","I don't like pie.","Pasta sevmiyorum."
"pie_4","I want to eat pie.","Turta yemek istiyorum."
"pie_5","Can you bake a pie for me?","Benim için pasta yapabilir misin?"
"egg","Egg","Yumurta"
"egg_2","I like egg.","Yumurtayı severim."
"egg_3","I don't like egg.","Yumurtayı sevmem."
"egg_4","I want to eat egg.","Yumurta yemek istiyorum."
"egg_5","I want fried eggs.","Sahanda yumurta istiyorum."
"egg_6","I want boiled eggs.","Haşlanmış yumurta istiyorum."
"noodles","Noodles","Erişte"
"noodles_2","I like noodles.","Erişteler severim."
"noodles_3","I don't like noodles.","Erişte sevmiyorum."
"noodles_4","I want to eat noodles.","Erişte yemek istiyorum."
"noodles_5","Can you cook noodles for me?","Benim için erişte pişirebilir misin?"
"salt","Salt","Tuz"
"salt_2","I want salt.","Tuz istiyorum."
"salt_3","Can you pass me the salt?","Tuzu uzatabilirmisin?"
"salt_4","Food is too salty.","Yemek çok tuzlu."
"salt_5","My food needs some salt.","Yemeğimin biraz tuza ihtiyacı var."
"spices","Spices","Baharat"
"spices_2","I like spicy food.","Baharatlı yiyecekleri severim."
"spices_3","I don't like spicy food.","Baharatlı yiyecekleri sevmem."
"spices_4","I want paprika.","Kırmızı biber istiyorum."
"spices_5","I want black pepper.","Karabiber istiyorum."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Pizza severim."
"pizza_3","I don't like pizza.","Pizza sevmiyorum."
"pizza_4","I want to eat pizza.","Pizza yemek istiyorum."
"pizza_5","Can you cook pizza for me?","Benim için pizza pişirebilir misin?"
"pizza_6","Can we order pizza?","Pizza sipariş edebilir miyiz?"
"cheese","Cheese","Peynir"
"cheese_2","I like cheese.","Peyniri severim."
"cheese_3","I don't like cheese.","Peyniri sevmiyorum."
"cheese_4","I want to eat cheese.","Peynir yemek istiyorum."
"ice-cream","Ice cream","Dondurma"
"ice-cream_2","I like ice cream.","Dondurmayı severim."
"ice-cream_3","I don't like ice cream.","Dondurmayı sevmiyorum."
"ice-cream_4","I want to eat ice cream.","Ben dondurma yemek istiyorum."
"ice-cream_5","Can you buy ice cream for me?","Benim için dondurma alabilir misin?"
"tea","Tea","Çay"
"tea_2","I like tea.","Çay severim."
"tea_3","I don't like tea.","Çay sevmem."
"tea_4","I want to drink tea.","Ben çay içmek istiyorum."
"tea_5","Can you make tea for me?","Benim için çay yapabilir misin?"
"coffee","Coffee","Kahve"
"coffee_2","I like coffee.","Kahveyi severim."
"coffee_3","I don't like coffee.","Kahve sevmem."
"coffee_4","I want to drink coffee.","Kahve içmek istiyorum."
"coffee_5","Can you make coffee for me?","Benim için kahve yapabilir misin?"
"tomato","Tomato","Domates"
"tomato_2","I like tomato.","Domates severim."
"tomato_3","I don't like tomato.","Domates sevmiyorum."
"tomato_4","I want to eat tomato.","Domates yemek istiyorum."
"cereal","Cereal","Tahıl"
"cereal_2","I like cereal.","Tahıl severim."
"cereal_3","I don't like cereal.","Tahıl sevmiyorum."
"cereal_4","I want to eat cereal.","Tahıl yemek istiyorum."
"cereal_5","Can you make my cereal?","Benim gevrekimi yapabilir misin?"
"burger","Burger","Burger"
"burger_2","I like burger.","Burger severim."
"burger_3","I don't like burger.","Burger sevmiyorum."
"burger_4","I want to eat burger.","Burger yemek istiyorum."
"burger_5","Can you cook burger for me?","Benim için burger pişirebilir misin?"
"burger_6","Can we order burger?","Burger sipariş edebilir miyiz?"
"french-fries","French fries","patates kızartması"
"french-fries_2","I like french fries.","Patates kızartmasını severim."
"french-fries_3","I don't like french fries.","Patates kızartmasını sevmiyorum."
"french-fries_4","I want to eat french fries.","Patates kızartması yemek istiyorum."
"french-fries_5","Can you cook french fries for me?","Benim için patates kızartması yapabilir misin?"
"french-fries_6","Can we order french fries?","Patates kızartması sipariş edebilir miyiz?"
"spinach","Spinach","ıspanak"
"spinach_2","I like spinach.","Ispanak severim."
"spinach_3","I don't like spinach.","Ispanaktan hoşlanmıyorum."
"spinach_4","I want to eat spinach.","Ispanak yemek istiyorum."
"rice","Rice","Pirinç"
"rice_2","I like rice.","Pirinç severim."
"rice_3","I don't like rice.","Pirinçten hoşlanmam."
"rice_4","I want to eat rice.","Pilav yemek istiyorum."
"rice_5","Can you cook rice for me?","Benim için pirinç pişirebilir misin?"
"bread","Bread","Ekmek"
"bread_2","I like bread.","Ekmek severim."
"bread_3","I don't like bread.","Ekmek sevmiyorum."
"bread_4","I want to eat bread.","Ekmek yemek istiyorum."
"bread_5","Can you buy some bread?","Biraz ekmek alabilir misin?"
"pasta","Pasta","Makarna"
"pasta_2","I like pasta.","Makarnayı severim."
"pasta_3","I don't like pasta.","Makarnayı sevmiyorum."
"pasta_4","I want to eat pasta.","Makarna yemek istiyorum."
"pasta_5","Can you cook pasta for me?","Benim için makarna pişirebilir misin?"
"sauce","Sauce","Sos"
"sauce_2","I like sauce.","Sosu severim."
"sauce_3","I don't like sauce.","Sosu sevmiyorum."
"sauce_4","I want some sauce.","Biraz sos istiyorum."
"sauce_5","Can I have ketchup?","Ketçap alabilir miyim?"
"sauce_6","Can I have mayonnaise?","Mayonez alabilir miyim?"
"sauce_7","Can I have mustard?","Hardal alabilir miyim?"
"sauce_8","Can I have ranch sauce?","Çiftlik sosu alabilir miyim?"
"kebab","Kebab","Kebap"
"kebab_2","I like kebab.","Kebabı severim."
"kebab_3","I don't like kebab.","Kebabı sevmiyorum."
"kebab_4","I want to eat kebab.","Kebap yemek istiyorum."
"kebab_5","Can you cook kebab for me?","Benim için kebap yapabilir misin?"
"kebab_6","Can we order kebab?","Kebap sipariş edebilir miyiz?"
"numbers","Numbers","sayılar"
"one","One","Bir"
"one_2","One comes before two.","Biri ikiden önce gelir."
"one_3","One comes after zero.","Biri sıfırdan sonra gelir."
"one_4","I want one.","Bir tane istiyorum."
"two","Two","İki"
"two_2","Two comes before three.","İki, üçten önce gelir."
"two_3","Two comes after one.","İki tane peş peşe geliyor."
"two_4","I want two.","İki tane istiyorum."
"three","Three","Üç"
"three_2","Three comes before four.","Üç dördün önüne gelir."
"three_3","Three comes after two.","Üç, ikiden sonra gelir."
"three_4","I want three.","Üç tane istiyorum."
"four","Four","dört"
"four_2","Four comes before five.","Dördü beşten önce gelir."
"four_3","Four comes after three.","Dört, üçten sonra gelir."
"four_4","I want four.","Dört tane istiyorum."
"five","Five","Beş"
"five_2","Five comes before six.","Beş altıdan önce gelir."
"five_3","Five comes after four.","Beş dördünden sonra gelir."
"five_4","I want five.","Beş tane istiyorum."
"six","Six","Altı"
"six_2","Six comes before seven.","Altı, yediden önce gelir."
"six_3","Six comes after five.","Altı, beşten sonra gelir."
"six_4","I want fix.","Düzeltmek istiyorum."
"seven","Seven","Yedi"
"seven_2","Seven comes before eight.","Yedi sekizden önce gelir."
"seven_3","Seven comes after six.","Yedi altıdan sonra gelir."
"seven_4","I want seven.","Yedi tane istiyorum."
"eight","Eight","Sekiz"
"eight_2","Eight comes before nine.","Sekiz, dokuzdan önce gelir."
"eight_3","Eight comes after seven.","Sekiz yediden sonra gelir."
"eight_4","I want eight.","Sekiz tane istiyorum."
"nine","Nine","Dokuz"
"nine_2","Nine comes before ten.","Dokuz ondan önce gelir."
"nine_3","Nine comes after eight.","Dokuz sekizden sonra gelir."
"nine_4","I want nine.","Dokuz tane istiyorum."
"ten","Ten","On"
"ten_2","Ten comes before eleven.","On on birden önce gelir."
"ten_3","Ten comes after nine.","On dokuzdan sonra gelir."
"ten_4","I want ten.","On tane istiyorum."
"eleven","Eleven","on bir"
"eleven_2","Eleven comes before thirteen.","On bir on üçten önce gelir."
"eleven_3","Eleven comes after ten.","On bir ondan sonra gelir."
"eleven_4","I want eleven.","On bir tane istiyorum."
"twenty","Twenty","Yirmi"
"twenty_2","I can count up to twenty.","Yirmi kadar sayabilirim."
"thirty","Thirty","Otuz"
"thirty_2","I can count up to thirty.","Otuz taneye kadar sayabilirim."
"forty","Forty","Kırk"
"forty_2","I can count up to forty.","Kırk kadar sayabilirim."
"fifty","Fifty","Elli"
"fifty_2","I can count up to fifty.","Elli kadar sayabilirim."
"hundred","Hundred","Yüz"
"hundred_2","I can count up to hundred.","Yüze kadar sayabilirim."
"thousand","Thousand","Bin"
"thousand_2","I can count up to thousand.","Bin kadar sayabilirim."
"calculator","Calculator","Hesap makinesi"
"calculator_2","I want to use a calculator.","Hesap makinesi kullanmak istiyorum."
"calculator_3","Can you teach me how to use a calculator?","Bana hesap makinesini nasıl kullanacağımı öğretir misin?"
"calculator_4","Can I barrow your calculator?","Hesap makinenizi ayırabilir miyim?"
"people","People","İnsanlar"
"mother","Mother","anne"
"mother_2","Mommy!","Anne!"
"mother_3","I love my mother.","Annemi Seviyorum."
"mother_4","I love you mom.","Seni seviyorum anne."
"mother_5","I miss my mom.","Annemi özledim."
"mother_6","Thank you for taking care of me.","Benimle ilgilendigin için teşekkürler."
"mother_7","She is my mom.","O benim annem."
"mother_8","Can you help me find my mother?","Annemi bulmama yardım eder misin?"
"father","Father","baba"
"father_2","Daddy!","Baba!"
"father_3","I love my father.","Babamı seviyorum."
"father_4","I love you dad.","Seni seviyorum baba."
"father_5","I miss my dad.","Babamı özledim."
"father_6","Thank you for taking care of me.","Benimle ilgilendigin için teşekkürler."
"father_7","He is my dad.","Bu benim babam."
"father_8","Can you help me find my father?","Babamı bulmama yardım eder misin?"
"parents","Parents","Ebeveynler"
"parents_2","I love my parents.","Ebeveyinlerimi seviyorum."
"parents_3","I love my parents.","Ebeveyinlerimi seviyorum."
"parents_4","I miss my parents.","Ebeveynlerimi özledim."
"parents_5","They are my parents.","Onlar benim ailem."
"parents_6","My parents are taking care of me.","Ailem benimle ilgileniyor."
"parents_8","Can you help me find my parents?","Ailemi bulmama yardım eder misin?"
"grandparents","Grandparents","Dedesi"
"grandparents_2","I love my grandparents.","Büyükanne ve büyükbabamı seviyorum."
"grandparents_3","I love you grandparents.","Seni büyükanne ve büyükbabayı seviyorum."
"grandparents_4","I miss my grandparents.","Büyükanne ve büyükbabamı özledim."
"grandparents_5","They are my grandparents.","Onlar benim büyükannem ile büyükbabam."
"grandparents_6","My grandparents are taking care of me.","Büyükannem ve büyükbabam benimle ilgileniyor."
"grandparents_8","Can you help me find my grandparents?","Büyükannem ve büyükbabamı bulmama yardım eder misin?"
"brother","Brother","Erkek kardeş"
"brother_2","I love my brother.","Erkek kardeşimi seviyorum."
"brother_3","I love you brother.","Seni seviyorum kardeşim."
"brother_4","I miss my brother.","Kardeşimi özledim."
"brother_5","He is my brother.","O benim erkek kardeşim."
"brother_6","My brother is taking care of me.","Kardeşim benimle ilgileniyor."
"brother_8","Can you help me find my brother?","Kardeşimi bulmama yardım eder misin?"
"sister","Sister","Kız kardeş"
"sister_2","I love my sister.","Kızkardeşimi seviyorum."
