"activities","Activities","Kegiatan"
"black_3","My favorite color is black.","Warna favorit saya adalah hitam."
"black_4","Can you give me black paint?","Bisakah Anda memberi saya cat hitam?"
"white","White","putih"
"white_2","It is white.","Itu putih."
"white_3","My favorite color is white.","Warna favorit saya adalah putih."
"white_4","Can you give me white paint?","Bisakah Anda memberi saya cat putih?"
"gray","Gray","Abu-abu"
"gray_2","It is gray.","Warnanya abu-abu."
"gray_3","My favorite color is gray.","Warna favorit saya adalah abu-abu."
"gray_4","Can you give me gray paint?","Bisakah Anda memberi saya cat abu-abu?"
"transparent","Transparent","Transparan"
"transparent_2","It is transparent.","Itu transparan."
"transparent_3","I can see behind transparent color.","Saya bisa melihat di balik warna transparan."
"transparent_4","Can you help me erase?","Bisakah Anda membantu saya menghapus?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","Itu adalah cyan."
"cyan_3","My favorite color is cyan.","Warna favorit saya adalah cyan."
"cyan_4","Can you give me cyan paint?","Bisakah Anda memberi saya cat cyan?"
"violet","Violet","Violet"
"violet_2","It is violet.","Itu ungu."
"violet_3","My favorite color is violet.","Warna favorit saya adalah ungu."
"violet_4","Can you give me violet paint?","Bisakah Anda memberi saya cat ungu?"
"turquoise","Turquoise","Pirus"
"turquoise_2","It is turquoise.","Ini pirus."
"turquoise_3","My favorite color is turquoise.","Warna favorit saya adalah pirus."
"turquoise_4","Can you give me turquoise paint?","Bisakah Anda memberi saya cat pirus?"
"lime","Lime","jeruk nipis"
"lime_2","It is lime.","Itu adalah jeruk nipis."
"lime_3","My favorite color is lime.","Warna favorit saya adalah jeruk nipis."
"lime_4","Can you give me lime paint?","Bisakah Anda memberi saya cat kapur?"
"plum","Plum","Prem"
"plum_2","It is plum.","Itu adalah buah prem."
"plum_3","My favorite color is plum.","Warna favorit saya adalah prem."
"plum_4","Can you give me plum paint?","Bisakah Anda memberi saya cat prem?"
"tan","Tan","Berjemur"
"tan_2","It is tan color.","Itu adalah warna cokelat."
"tan_3","My favorite color is tan color.","Warna favorit saya adalah warna cokelat."
"tan_4","Can you give me tan color paint?","Bisakah Anda memberi saya cat warna cokelat?"
"avocado","Avocado","Alpukat"
"avocado_2","It is avocado color.","Itu adalah warna alpukat."
"avocado_3","My favorite color is avocado color.","Warna favorit saya adalah warna alpukat."
"avocado_4","Can you give me avocado color paint?","Bisakah Anda memberi saya cat warna alpukat?"
"barbie-pink","Barbie pink","Barbie pink"
"barbie-pink_2","It is barbie pink color.","Itu adalah warna merah muda barbie."
"barbie-pink_3","My favorite color is barbie pink.","Warna favorit saya adalah barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Bisakah Anda memberi saya cat merah muda barbie?"
"blizzard-blue","Blizzard blue","Biru badai salju"
"blizzard-blue_2","It is blizzard blue color.","Ini adalah warna biru badai salju."
"blizzard-blue_3","My favorite color is blizzard blue color.","Warna favorit saya adalah warna biru badai salju."
"blizzard-blue_4","Can you give me blizzard blue paint?","Bisakah Anda memberi saya cat biru badai salju?"
"conversation","Conversation","Percakapan"
"me","Me","Saya"
"me_2","My name is {name}","Nama saya {nama}"
"me_3","I'm {name}","Aku {nama}"
"me_4","Do you know my name?","Apakah kamu tahu namaku?"
"me_5","What is your name?","Siapa namamu?"
"me_6","Nice to meet you!","Senang bertemu denganmu!"
"me_7","Do you like me?","Apakah kamu menyukaiku?"
"me_8","Can we be friends?","Dapatkah kita menjadi teman?"
"me_9","I'm using assistive communication app.","Saya menggunakan aplikasi komunikasi bantu."
"me_10","Who are you?","Kamu siapa?"
"hello","Hello","Halo"
"hello_2","Hello.","Halo."
"hello_3","Hi.","Hai."
"hello_4","Greetings.","Salam pembuka."
"hello_5","How are you?","Apa kabar?"
"hello_6","Nice to meet you!","Senang bertemu denganmu!"
"help","Help","Tolong"
"help_2","Help me.","Tolong aku."
"help_3","Can you help me?","Bisakah kamu membantuku?"
"help_4","I need help","saya butuh bantuan"
"help_5","Do you need help?","Apakah Anda memerlukan bantuan?"
"yes","Yes","Iya"
"yes_2","Yes.","Iya."
"yes_3","Yes please.","Ya silahkan."
"yes_4","Alright.","Baik."
"yes_5","Agreed.","Sepakat."
"yes_6","I want to.","Aku ingin."
"yes_7","I would like to.","Aku ingin."
"no","No","Tidak"
"no_2","No.","Tidak."
"no_3","Nope.","Nggak."
"no_4","Never.","Tidak pernah."
"no_5","I don't want to.","Saya tidak mau."
"no_6","I don't like it.","Saya tidak suka itu."
"no_7","You don't like it?","Kamu tidak suka itu"
"no_8","Why you don't like it?","Kenapa kamu tidak menyukainya?"
"toilet","Toilet","Toilet"
"toilet_2","I need to go to the toilet.","Saya harus pergi ke toilet."
"toilet_3","I need to pee.","Saya ingin buang air kecil."
"toilet_4","I need to poop.","Saya harus buang air besar."
"toilet_5","Can you help me go to the toilet?","Bisakah Anda membantu saya pergi ke toilet?"
"toilet_6","Can you help me clean?","Bisakah kamu membantuku membersihkan?"
"toilet_7","I peed myself.","Saya pipis sendiri."
"toilet_8","I pooped myself.","Saya buang air besar sendiri."
"what","What","Apa"
"what_2","What is that?","Apa itu?"
"what_3","What does it mean?","Apa artinya?"
"what_4","What do you mean?","Apa maksudmu?"
"what_5","Can you explain it?","Bisakah Anda menjelaskannya?"
"what_6","Can you repeat what you said?","Bisakah Anda mengulangi apa yang Anda katakan?"
"what_7","I don't understand.","Saya tidak mengerti."
"sleep","Sleep","Tidur"
"sleep_2","I want to sleep.","Saya ingin tidur."
"sleep_3","I don't want to sleep.","Saya tidak ingin tidur."
"sleep_4","I'm tired.","Saya lelah."
"sleep_5","Are you tired?","Apa kau lelah?"
"sleep_6","When am I going to sleep?","Kapan saya akan tidur?"
"sleep_7","I want to take a nap.","Saya ingin tidur siang."
"bath","Bath","Mandi"
"bath_2","I want to take a bath.","Saya ingin mandi."
"bath_3","I like taking a bath.","Saya suka mandi."
"bath_4","I want to wash my hands.","Saya ingin mencuci tangan."
"bath_5","I want to take a shower.","Saya ingin mandi."
"bath_6","I want to clean myself.","Saya ingin membersihkan diri."
"bath_7","Can you help me take a bath?","Bisakah kamu membantuku mandi?"
"bath_8","I don't want to take a bath.","Saya tidak ingin mandi."
"listen","Listen","Mendengarkan"
"listen_2","Listen to me.","Dengarkan aku."
"listen_3","Can you listen to me?","Bisakah kamu mendengarkan saya?"
"listen_4","Listen to music.","Mendengarkan musik."
"listen_5","Listening to my parents.","Mendengarkan orang tua saya."
"listen_6","Listen to what my application is saying!","Dengarkan apa yang dikatakan aplikasi saya!"
"morning","Morning","Pagi"
"morning_2","Good morning.","Selamat pagi."
"morning_3","I like mornings.","Saya suka pagi hari."
"morning_4","In the morning.","Di pagi hari."
"morning_5","Morning time.","Waktu pagi."
"morning_6","Is it morning?","Apakah sudah pagi?"
"night","Night","Malam"
"night_2","Good night!","Selamat malam!"
"night_3","I like nights.","Saya suka malam."
"night_4","At night.","Di malam hari."
"night_5","Night time.","Waktu malam."
"night_6","Is it night?","Apakah ini malam?"
"look","Look","Lihat"
"look_2","Look at me.","Lihat saya."
"look_3","Look at this.","Lihat ini."
"look_4","Are you looking?","Apakah kamu melihat?"
"look_5","Look at my drawing.","Lihatlah gambar saya."
"look_6","How do I look?","Bagaimana penampilanku?"
"look_7","Look what I did.","Lihat apa yang saya lakukan."
"look_8","Let's look at that.","Mari kita lihat itu."
"speak","Speak","Berbicara"
"speak_2","I'm learning how to speak.","Saya belajar berbicara."
"speak_3","I want to speak.","Saya ingin berbicara"
"speak_4","Can I speak with you?","Bisakah saya berbicara dengan Anda?"
"speak_5","I like speaking.","Saya suka berbicara."
"speak_6","I'm using assistive communication app.","Saya menggunakan aplikasi komunikasi bantu."
"play","Play","Bermain"
"play_2","I love playing.","Saya suka bermain."
"play_3","Can you play with me?","Bisakah kau bermain denganku?"
"play_4","I want to play with you!","Saya ingin bermain denganmu!"
"play_5","I want to play with my friends.","Saya ingin bermain dengan teman-teman saya."
"play_6","I don't want to play with you.","Saya tidak ingin bermain dengan Anda."
"outside","Outside","Di luar"
"outside_2","I love going outside.","Saya suka pergi keluar."
"outside_3","I want to go outside.","Saya ingin keluar."
"outside_4","Is it cold outside?","Apakah di luar dingin?"
"outside_5","I don't like outside.","Saya tidak suka di luar."
"outside_6","Can I go outside?","Bisakah saya keluar?"
"home","Home","Rumah"
"home_2","I love my home.","Saya suka rumah saya."
"home_3","I want to go home.","Saya ingin pulang ke rumah."
"home_4","Where is your home?","Di mana rumahmu?"
"home_5","Home sweet home.","Rumahku Surgaku."
"home_6","I'm in the house.","Saya di rumah."
"home_7","I'm not in the house.","Saya tidak di rumah."
"hurt","Hurt","Menyakiti"
"hurt_2","I'm hurt.","Saya terluka."
"hurt_3","Are you hurt?","Apakah kamu terluka?"
"hurt_4","Did I hurt you?","Apa aku menyakitimu?"
"hurt_5","I didn't mean to hurt you!","Aku tidak bermaksud menyakitimu!"
"hurt_6","Is it going to hurt?","Apakah akan sakit?"
"hurt_7","I have a headache.","Aku sedang sakit kepala."
"hurt_8","I have a stomach ache.","Aku sakit perut."
"hurt_9","My genitals hurt.","Alat kelamin saya sakit."
"hurt_10","My foot hurts.","Kaki saya sakit."
"feelings","Feelings","Perasaan"
"happy","Happy","Senang"
"happy_2","I'm happy.","Saya senang."
"happy_3","I feel happy.","Saya merasa senang."
"happy_4","Do you feel happy?","Apakah kamu merasa bahagia?"
"happy_5","I want to feel happy.","Saya ingin merasa bahagia."
"happy_6","You are making me happy.","Anda membuat saya bahagia."
"sad","Sad","Sedih"
"sad_2","I'm sad.","Saya sedih."
"sad_3","I feel sad.","Saya merasa sedih."
"sad_4","Do you feel sad?","Apakah kamu merasa sedih?"
"sad_5","I don't want to feel sad.","Saya tidak ingin merasa sedih."
"sad_6","You are making me sad.","Anda membuat saya sedih."
"exhausted","Exhausted","Habis"
"exhausted_2","I'm exhausted.","Aku lelah."
"exhausted_3","I feel exhausted.","Saya merasa lelah."
"exhausted_4","Do you feel exhausted?","Apakah Anda merasa lelah?"
"exhausted_5","I don't want to be exhausted.","Saya tidak ingin kelelahan."
"relaxed","Relaxed","Santai"
"relaxed_2","I'm relaxed.","Aku santai."
"relaxed_3","I feel relaxed.","Saya merasa santai."
"relaxed_4","Do you feel relaxed?","Apakah kamu merasa santai?"
"relaxed_5","I want to feel relaxed.","Saya ingin merasa santai."
"in-love","In love","Kasmaran"
"in-love_2","I'm in love.","Saya sedang jatuh cinta."
"in-love_3","I feel in love.","Saya merasakan cinta."
"in-love_4","Are you in love?","Apakah kamu sedang jatuh cinta?"
"in-love_5","I want to fall in love.","Saya ingin jatuh cinta."
"in-love_6","Do you love me?","Apakah kamu mencintaiku?"
"stressed","Stressed","Tertekan"
"stressed_2","I'm stressed.","Aku stress."
"stressed_3","I feel stressed.","Saya merasa stres."
"stressed_4","Do you feel stressed?","Apakah Anda merasa stres?"
"stressed_5","I don't want to feel stressed.","Saya tidak ingin merasa stres."
"thankful","Thankful","Berterimakasih"
"thankful_2","I'm thankful.","Saya bersyukur."
"thankful_3","I feel thankful.","Saya merasa bersyukur."
"thankful_4","Do you feel thankful?","Apakah Anda merasa bersyukur?"
"thankful_5","I want to feel thankful.","Saya ingin merasa bersyukur."
"confused","Confused","Bingung"
"confused_2","I'm confused.","Saya bingung."
"confused_3","I feel confused.","Saya bingung."
"confused_4","Do you feel confused?","Apakah kamu merasa bingung?"
"confused_5","You are confusing me.","Kamu membuatku bingung."
"joyful","Joyful","Menyenangkan"
"joyful_2","I'm joyful.","Saya gembira"
"joyful_3","I feel joyful.","Saya merasa senang."
"joyful_4","Do you feel joyful?","Apakah kamu merasa gembira?"
"joyful_5","I want to feel joyful.","Saya ingin merasa gembira."
"angry","Angry","Marah"
"angry_2","I'm angry.","Aku marah."
"angry_3","I feel angry.","Saya merasa marah."
"angry_4","Do you feel angry?","Apakah kamu merasa marah?"
"angry_5","I'm angry at you.","Aku marah padamu."
"angry_6","You are making me angry.","Anda membuat saya marah."
"smart","Smart","Pintar"
"smart_2","I'm smart.","Saya cerdas."
"smart_3","I feel smart.","Saya merasa pintar."
"smart_4","Do you feel smart?","Apakah kamu merasa pintar?"
"smart_5","Am I smart?","Apakah saya pintar?"
"smart_6","You are smart!","Anda cerdas!"
"afraid","Afraid","Takut"
"afraid_2","I'm afraid.","Saya takut."
"afraid_3","I feel afraid.","Saya merasa takut."
"afraid_4","Do you feel afraid?","Apakah kamu merasa takut?"
"afraid_5","I don't want to feel afraid.","Saya tidak ingin merasa takut."
"afraid_6","You are scaring me.","Anda membuatku takut."
"ashamed","Ashamed","Malu"
"ashamed_2","I'm ashamed.","Aku malu."
"ashamed_3","I feel ashamed.","Saya merasa malu."
"ashamed_4","Do you feel ashamed?","Apakah kamu merasa malu?"
"ashamed_5","I don't want to feel ashamed.","Saya tidak ingin merasa malu."
"shocked","Shocked","Terkejut"
"shocked_2","I'm shocked.","Saya terkejut."
"shocked_3","I feel shocked.","Saya merasa kaget."
"shocked_4","Do you feel shocked?","Apakah Anda merasa kaget?"
"shocked_5","You shocked me.","Anda mengejutkan saya."
"sick","Sick","Sakit"
"sick_2","I'm sick.","Saya sakit."
"sick_3","I feel sick.","Aku merasa sakit."
"sick_4","Do you feel sick?","Apa anda merasa mual?"
"sick_5","I don't want to be sick.","Saya tidak ingin sakit."
"sick_6","I'm sick of the food.","Saya muak dengan makanan."
"frustrated","Frustrated","Frustrasi"
"frustrated_2","I'm frustrated.","Saya frustasi."
"frustrated_3","I feel frustrated.","Saya merasa frustasi."
"frustrated_4","Do you feel frustrated?","Apakah Anda merasa frustrasi?"
"frustrated_5","I don't want to feel frustrated.","Saya tidak ingin merasa frustrasi."
"excited","Excited","Bergairah"
"excited_2","I'm excited.","Saya senang."
"excited_3","I feel excited.","Saya merasa senang."
"excited_4","Do you feel excited?","Apakah kamu merasa bersemangat?"
"excited_5","I don't want to feel excited.","Saya tidak ingin merasa bersemangat."
"nauseated","Nauseated","Enek"
"nauseated_2","I'm nauseated.","Saya mual."
"nauseated_3","I feel nauseated.","Saya merasa mual."
"nauseated_4","Do you feel nauseated?","Apakah Anda merasa mual?"
"nauseated_5","I don't want to feel nauseated.","Saya tidak ingin merasa mual."
"agitated","Agitated","Gelisah"
"agitated_2","I'm agitated.","Saya gelisah."
"agitated_3","I feel agitated.","Saya merasa gelisah."
"agitated_4","Do you feel agitated?","Apakah Anda merasa gelisah?"
"agitated_5","I don't want to feel agitated.","Saya tidak ingin merasa gelisah."
"food","Food","Makanan"
"hungry","Hungry","Lapar"
"hungry_2","I'm hungry.","Saya lapar."
"hungry_3","Are you hungry?","Apa kau lapar?"
"hungry_4","Can you make me food?","Bisakah Anda membuatkan saya makanan?"
"hungry_5","What is for dinner?","Apa untuk makan malam?"
"thirsty","Thirsty","Haus"
"thirsty_2","I'm thirsty.","Aku haus."
"thirsty_3","Can I have some water?","Bisakah saya mendapatkan air?"
"thirsty_4","Can I have a glass of water?","Bisakah saya minum segelas air?"
"thirsty_5","I want something to drink.","Saya ingin minum."
"cutlery","Cutlery","Alat makan"
"cutlery_2","I need cutlery.","Saya butuh peralatan makan."
"cutlery_3","Help me use cutlery.","Bantu saya menggunakan peralatan makan."
"cutlery_4","I need a fork.","Saya butuh garpu."
"cutlery_5","I need a spoon.","Saya butuh sendok."
"cutlery_6","I need chopsticks.","Saya butuh sumpit."
"cutlery_7","I need a knife.","Saya butuh pisau."
"cutlery_8","I need a napkin.","Saya butuh serbet."
"apple","Apple","apel"
"apple_2","I like apple.","Saya suka apel."
"apple_3","I don't like apple.","Saya tidak suka apel."
"apple_4","I want to eat an apple.","Saya ingin makan apel."
"carrot","Carrot","Wortel"
"carrot_2","I like carrot.","Saya suka wortel."
"carrot_3","I don't like carrot.","Saya tidak suka wortel."
"carrot_4","I want to eat a carrot.","Saya ingin makan wortel."
"beans","Beans","kacang polong"
"beans_2","I like beans.","Saya suka kacang."
"beans_3","I don't like beans.","Saya tidak suka kacang."
"beans_4","I want to eat beans.","Saya ingin makan kacang."
"chicken_5","I want fried chicken.","Saya ingin ayam goreng."
"chicken_6","I want boiled chicken.","Saya ingin ayam rebus."
"chocolate","Chocolate","Cokelat"
"chocolate_2","I like chocolate.","Saya suka Coklat."
"chocolate_3","I don't like chocolate.","Saya tidak suka cokelat."
"chocolate_4","I want to eat chocolate.","Saya ingin makan cokelat."
"chocolate_5","I want dark chocolate.","Saya ingin cokelat hitam."
"chocolate_6","I want white chocolate.","Saya ingin cokelat putih."
"milk","Milk","susu"
"milk_2","I like milk.","Saya suka susu."
"milk_3","I don't like milk.","Saya tidak suka susu."
"milk_4","I want to drink milk.","Saya ingin minum susu."
"milk_5","Can I have a glass of milk?","Bisakah saya minum segelas susu?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Saya suka sandwich."
"sandwich_3","I don't like sandwich.","Saya tidak suka sandwich."
"sandwich_4","I want to eat a sandwich.","Saya ingin makan sandwich."
"sandwich_5","Can you make me a sandwich?","Bisakah Anda membuatkan saya roti isi?"
"steak","Steak","daging panggang"
"steak_2","I like steak.","Saya suka steak."
"steak_3","I don't like steak.","Saya tidak suka steak."
"steak_4","I want to eat steak.","Saya ingin makan steak."
"steak_5","Can you cook steak for me?","Bisakah kamu memasak steak untukku?"
"banana","Banana","pisang"
"banana_2","I like banana.","Saya suka pisang."
"banana_3","I don't like banana.","Saya tidak suka pisang."
"banana_4","I want to eat a banana.","Saya ingin makan pisang."
"pie","Pie","Pai"
"pie_2","I like pie.","Saya suka pai."
"pie_3","I don't like pie.","Saya tidak suka pai."
"pie_4","I want to eat pie.","Saya ingin makan pie."
"pie_5","Can you bake a pie for me?","Bisakah kamu membuatkan kue untukku?"
"egg","Egg","telur"
"egg_2","I like egg.","Saya suka telur."
"egg_3","I don't like egg.","Saya tidak suka telur."
"egg_4","I want to eat egg.","Saya ingin makan telur."
"egg_5","I want fried eggs.","Saya ingin telur goreng."
"egg_6","I want boiled eggs.","Saya ingin telur rebus."
"noodles","Noodles","Mie"
"noodles_2","I like noodles.","Saya suka mie."
"noodles_3","I don't like noodles.","Saya tidak suka mie."
"noodles_4","I want to eat noodles.","Saya ingin makan mie."
"noodles_5","Can you cook noodles for me?","Bisakah kamu memasak mie untukku?"
"salt","Salt","Garam"
"salt_2","I want salt.","Saya ingin garam."
"salt_3","Can you pass me the salt?","Bisakah Anda memberi saya garam?"
"salt_4","Food is too salty.","Makanan terlalu asin."
"salt_5","My food needs some salt.","Makanan saya butuh garam."
"spices","Spices","Rempah-rempah"
"spices_2","I like spicy food.","Saya suka makanan pedas."
"spices_3","I don't like spicy food.","Saya tidak suka makanan pedas."
"spices_4","I want paprika.","Saya mau paprika."
"spices_5","I want black pepper.","Saya ingin lada hitam."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Aku suka pizza."
"pizza_3","I don't like pizza.","Saya tidak suka pizza."
"pizza_4","I want to eat pizza.","Saya ingin makan pizza."
"pizza_5","Can you cook pizza for me?","Bisakah kamu memasak pizza untukku?"
"pizza_6","Can we order pizza?","Bisakah kita memesan pizza?"
"cheese","Cheese","Keju"
"cheese_2","I like cheese.","Saya suka keju."
"cheese_3","I don't like cheese.","Saya tidak suka keju."
"cheese_4","I want to eat cheese.","Saya ingin makan keju."
"ice-cream","Ice cream","Es krim"
"ice-cream_2","I like ice cream.","Saya suka es krim."
"ice-cream_3","I don't like ice cream.","Saya tidak suka es krim."
"ice-cream_4","I want to eat ice cream.","Saya ingin makan es krim."
"ice-cream_5","Can you buy ice cream for me?","Bisakah kamu membeli es krim untukku?"
"tea","Tea","teh"
"tea_2","I like tea.","Saya suka teh."
"tea_3","I don't like tea.","Saya tidak suka teh."
"tea_4","I want to drink tea.","Saya ingin minum teh."
"tea_5","Can you make tea for me?","Bisakah kamu membuatkan teh untukku?"
"coffee","Coffee","kopi"
"coffee_2","I like coffee.","Saya suka kopi."
"coffee_3","I don't like coffee.","Saya tidak suka kopi."
"coffee_4","I want to drink coffee.","Saya ingin minum kopi."
"coffee_5","Can you make coffee for me?","Bisakah kamu membuatkan kopi untukku?"
"tomato","Tomato","Tomat"
"tomato_2","I like tomato.","Saya suka tomat."
"tomato_3","I don't like tomato.","Saya tidak suka tomat."
"tomato_4","I want to eat tomato.","Saya ingin makan tomat."
"cereal","Cereal","Sereal"
"cereal_2","I like cereal.","Saya suka sereal."
"cereal_3","I don't like cereal.","Saya tidak suka sereal."
"cereal_4","I want to eat cereal.","Saya ingin makan sereal."
"cereal_5","Can you make my cereal?","Bisakah Anda membuat sereal saya?"
"burger","Burger","Burger"
"burger_2","I like burger.","Saya suka burger."
"burger_3","I don't like burger.","Saya tidak suka burger."
"burger_4","I want to eat burger.","Saya ingin makan burger."
"burger_5","Can you cook burger for me?","Bisakah kamu memasak burger untukku?"
"burger_6","Can we order burger?","Bisakah kita memesan burger?"
"french-fries","French fries","kentang goreng"
"french-fries_2","I like french fries.","Aku suka kentang goreng."
"french-fries_3","I don't like french fries.","Saya tidak suka kentang goreng."
"french-fries_4","I want to eat french fries.","Saya ingin makan kentang goreng."
"french-fries_5","Can you cook french fries for me?","Bisakah Anda memasak kentang goreng untuk saya?"
"french-fries_6","Can we order french fries?","Bisakah kita memesan kentang goreng?"
"spinach","Spinach","bayam"
"spinach_2","I like spinach.","Saya suka bayam."
"spinach_3","I don't like spinach.","Saya tidak suka bayam."
"spinach_4","I want to eat spinach.","Saya ingin makan bayam."
"rice","Rice","Nasi"
"rice_2","I like rice.","Saya suka nasi."
"rice_3","I don't like rice.","Saya tidak suka nasi."
"rice_4","I want to eat rice.","Saya ingin makan nasi."
"rice_5","Can you cook rice for me?","Bisakah kamu memasak nasi untukku?"
"bread","Bread","Roti"
"bread_2","I like bread.","Saya suka roti."
"bread_3","I don't like bread.","Saya tidak suka roti."
"bread_4","I want to eat bread.","Saya ingin makan roti."
"bread_5","Can you buy some bread?","Bisakah kamu membeli roti?"
"pasta","Pasta","Semacam spageti"
"pasta_2","I like pasta.","Saya suka pasta."
"pasta_3","I don't like pasta.","Saya tidak suka pasta."
"pasta_4","I want to eat pasta.","Saya ingin makan pasta."
"pasta_5","Can you cook pasta for me?","Bisakah kamu memasak pasta untukku?"
"sauce","Sauce","saus"
"sauce_2","I like sauce.","Saya suka saus."
"sauce_3","I don't like sauce.","Saya tidak suka saus."
"sauce_4","I want some sauce.","Saya mau saus."
"sauce_5","Can I have ketchup?","Bisakah saya memiliki kecap?"
"sauce_6","Can I have mayonnaise?","Bisakah saya makan mayones?"
"sauce_7","Can I have mustard?","Bisakah saya makan mustard?"
"sauce_8","Can I have ranch sauce?","Bisakah saya punya saus peternakan?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Saya suka kebab."
"kebab_3","I don't like kebab.","Saya tidak suka kebab."
"kebab_4","I want to eat kebab.","Saya ingin makan kebab."
"kebab_5","Can you cook kebab for me?","Bisakah kamu memasak kebab untukku?"
"kebab_6","Can we order kebab?","Bisakah kita memesan kebab?"
"numbers","Numbers","Angka"
"one","One","Satu"
"one_2","One comes before two.","Satu datang sebelum dua."
"one_3","One comes after zero.","Satu datang setelah nol."
"one_4","I want one.","Saya ingin satu."
"two","Two","Dua"
"two_2","Two comes before three.","Dua datang sebelum tiga."
"two_3","Two comes after one.","Dua datang setelah satu."
"two_4","I want two.","Saya mau dua."
"three","Three","Tiga"
"three_2","Three comes before four.","Tiga datang sebelum empat."
"three_3","Three comes after two.","Tiga datang setelah dua."
"three_4","I want three.","Saya mau tiga."
"four","Four","Empat"
"four_2","Four comes before five.","Empat datang sebelum lima."
"four_3","Four comes after three.","Empat datang setelah tiga."
"four_4","I want four.","Saya mau empat."
"five","Five","Lima"
"five_2","Five comes before six.","Lima datang sebelum enam."
"five_3","Five comes after four.","Lima datang setelah empat."
"five_4","I want five.","Saya mau lima."
"six","Six","Enam"
"six_2","Six comes before seven.","Enam datang sebelum tujuh."
"six_3","Six comes after five.","Enam datang setelah lima."
"six_4","I want fix.","Saya ingin memperbaikinya."
"seven","Seven","Tujuh"
"seven_2","Seven comes before eight.","Tujuh datang sebelum delapan."
"seven_3","Seven comes after six.","Tujuh datang setelah enam."
"seven_4","I want seven.","Saya mau tujuh."
"eight","Eight","Delapan"
"eight_2","Eight comes before nine.","Delapan datang sebelum sembilan."
"eight_3","Eight comes after seven.","Delapan datang setelah tujuh."
"eight_4","I want eight.","Saya mau delapan."
"nine","Nine","Sembilan"
"nine_2","Nine comes before ten.","Sembilan datang sebelum sepuluh."
"nine_3","Nine comes after eight.","Sembilan datang setelah delapan."
"nine_4","I want nine.","Saya mau sembilan."
"ten","Ten","Sepuluh"
"ten_2","Ten comes before eleven.","Sepuluh datang sebelum sebelas."
"ten_3","Ten comes after nine.","Sepuluh datang setelah sembilan."
"ten_4","I want ten.","Saya mau sepuluh."
"eleven","Eleven","Sebelas"
"eleven_2","Eleven comes before thirteen.","Sebelas datang sebelum tiga belas."
"eleven_3","Eleven comes after ten.","Sebelas datang setelah sepuluh."
"eleven_4","I want eleven.","Saya mau sebelas."
"twenty","Twenty","Dua puluh"
"twenty_2","I can count up to twenty.","Saya bisa menghitung hingga dua puluh."
"thirty","Thirty","Tigapuluh"
"thirty_2","I can count up to thirty.","Saya bisa menghitung hingga tiga puluh."
"forty","Forty","Empatpuluh"
"forty_2","I can count up to forty.","Saya bisa menghitung hingga empat puluh."
"fifty","Fifty","Lima puluh"
"fifty_2","I can count up to fifty.","Saya bisa menghitung hingga lima puluh."
"hundred","Hundred","Ratus"
"hundred_2","I can count up to hundred.","Saya bisa menghitung hingga ratusan."
"thousand","Thousand","Ribu"
"thousand_2","I can count up to thousand.","Saya bisa menghitung hingga ribuan."
"calculator","Calculator","Kalkulator"
"calculator_2","I want to use a calculator.","Saya ingin menggunakan kalkulator."
"calculator_3","Can you teach me how to use a calculator?","Bisakah Anda mengajari saya cara menggunakan kalkulator?"
"calculator_4","Can I barrow your calculator?","Bisakah saya menyimpan kalkulator Anda?"
"people","People","Orang-orang"
"mother","Mother","Ibu"
"mother_2","Mommy!","Mama!"
"mother_3","I love my mother.","Aku sayang ibuku."
"mother_4","I love you mom.","Aku cinta kamu ibu."
"mother_5","I miss my mom.","Aku merindukan ibuku."
"mother_6","Thank you for taking care of me.","Terima kasih telah merawat saya."
"mother_7","She is my mom.","Dia adalah ibuku."
"mother_8","Can you help me find my mother?","Bisakah Anda membantu saya menemukan ibu saya?"
"father","Father","Ayah"
"father_2","Daddy!","Ayah!"
"father_3","I love my father.","Saya mencintai ayah saya."
"father_4","I love you dad.","Saya mencintaimu ayah."
"father_5","I miss my dad.","Saya merindukan ayah saya."
"father_6","Thank you for taking care of me.","Terima kasih telah merawat saya."
"father_7","He is my dad.","Dia ayahku."
"father_8","Can you help me find my father?","Bisakah Anda membantu saya menemukan ayah saya?"
"parents","Parents","Orangtua"
"parents_2","I love my parents.","Saya mencintai orang tua saya."
"parents_3","I love my parents.","Saya mencintai orang tua saya."
"parents_4","I miss my parents.","Saya rindu orang tua saya."
"parents_5","They are my parents.","Mereka adalah orang tua ku."
"parents_6","My parents are taking care of me.","Orang tua saya merawat saya."
"parents_8","Can you help me find my parents?","Bisakah Anda membantu saya menemukan orang tua saya?"
"grandparents","Grandparents","Kakek dan nenek"
"grandparents_2","I love my grandparents.","Saya suka kakek nenek saya."
"grandparents_3","I love you grandparents.","Aku mencintaimu kakek nenek."
"grandparents_4","I miss my grandparents.","Saya merindukan kakek nenek saya."
"grandparents_5","They are my grandparents.","Mereka adalah kakek nenek saya."
"grandparents_6","My grandparents are taking care of me.","Kakek nenek saya merawat saya."
"grandparents_8","Can you help me find my grandparents?","Bisakah Anda membantu saya menemukan kakek nenek saya?"
"brother","Brother","Saudara"
"brother_2","I love my brother.","Aku sayang saudara laki-lakiku."
