"activities","Activities","toiminta"
"cyan_3","My favorite color is cyan.","Lempiväri on syaani."
"cyan_4","Can you give me cyan paint?","Voitko antaa syaanimaalia?"
"violet","Violet","Violetti"
"violet_2","It is violet.","Se on violetti."
"violet_3","My favorite color is violet.","Lempivärini on violetti."
"violet_4","Can you give me violet paint?","Voitko antaa minulle violetti maalin?"
"turquoise","Turquoise","Turkoosi"
"turquoise_2","It is turquoise.","Se on turkoosi."
"turquoise_3","My favorite color is turquoise.","Lempiväri on turkoosi."
"turquoise_4","Can you give me turquoise paint?","Voitko antaa minulle turkoosi maalin?"
"lime","Lime","Lime"
"lime_2","It is lime.","Se on kalkkia."
"lime_3","My favorite color is lime.","Lempiväri on kalkki."
"lime_4","Can you give me lime paint?","Voitko antaa minulle kalkkimaalia?"
"plum","Plum","Luumu"
"plum_2","It is plum.","Se on luumu."
"plum_3","My favorite color is plum.","Lempivärini on luumu."
"plum_4","Can you give me plum paint?","Voitko antaa minulle luumumaalia?"
"tan","Tan","rusketus"
"tan_2","It is tan color.","Se on ruskeanruskea."
"tan_3","My favorite color is tan color.","Lempivärini on rusketusväri."
"tan_4","Can you give me tan color paint?","Voitko antaa minulle ruskeanvärimaalin?"
"avocado","Avocado","Avokado"
"avocado_2","It is avocado color.","Se on avokadoväriä."
"avocado_3","My favorite color is avocado color.","Lempivärini on avokadoväri."
"avocado_4","Can you give me avocado color paint?","Voitko antaa minulle avokadovärimaalin?"
"barbie-pink","Barbie pink","Barbie vaaleanpunainen"
"barbie-pink_2","It is barbie pink color.","Se on vaaleanpunainen väri."
"barbie-pink_3","My favorite color is barbie pink.","Lempiväri on barbie pinkki."
"barbie-pink_4","Can you give me barbie pink paint?","Voitko antaa minulle barbie-vaaleanpunaisen maalin?"
"blizzard-blue","Blizzard blue","Blizzard sininen"
"blizzard-blue_2","It is blizzard blue color.","Se on lumimyrsky sininen."
"blizzard-blue_3","My favorite color is blizzard blue color.","Lempivärini on lumimusta sininen."
"blizzard-blue_4","Can you give me blizzard blue paint?","Voitko antaa sinisen maalin?"
"conversation","Conversation","Keskustelu"
"me","Me","Minä"
"me_2","My name is {name}","Nimeni on {nimi}"
"me_3","I'm {name}","Olen {nimi}"
"me_4","Do you know my name?","Tiedätkö nimeni?"
"me_5","What is your name?","Mikä sinun nimesi on?"
"me_6","Nice to meet you!","Hauska tavata!"
"me_7","Do you like me?","Pidätkö minusta?"
"me_8","Can we be friends?","Voimmeko olla ystäviä?"
"me_9","I'm using assistive communication app.","Käytän avustavaa viestintäsovellusta."
"me_10","Who are you?","Kuka sinä olet?"
"hello","Hello","Hei"
"hello_2","Hello.","Hei."
"hello_3","Hi.","Hei."
"hello_4","Greetings.","Terveisiä."
"hello_5","How are you?","Mitä kuuluu?"
"hello_6","Nice to meet you!","Hauska tavata!"
"help","Help","auta"
"help_2","Help me.","Auta minua."
"help_3","Can you help me?","Voitko auttaa minua?"
"help_4","I need help","tarvitsen apua"
"help_5","Do you need help?","Tarvitsetko apua?"
"yes","Yes","Joo"
"yes_2","Yes.","Joo."
"yes_3","Yes please.","Kyllä kiitos."
"yes_4","Alright.","Hyvä on."
"yes_5","Agreed.","Sovittu."
"yes_6","I want to.","Haluan."
"yes_7","I would like to.","Haluaisin."
"no","No","Ei"
"no_2","No.","Ei."
"no_3","Nope.","Ei."
"no_4","Never.","Ei koskaan."
"no_5","I don't want to.","En halua."
"no_6","I don't like it.","En pidä siitä."
"no_7","You don't like it?","Etkö pidä siitä?"
"no_8","Why you don't like it?","Miksi et pidä siitä?"
"toilet","Toilet","WC"
"toilet_2","I need to go to the toilet.","Minun pitää mennä vessaan."
"toilet_3","I need to pee.","Minulla on pissahätä."
"toilet_4","I need to poop.","Minun on katettava."
"toilet_5","Can you help me go to the toilet?","Voitko auttaa minua käymään wc: ssä?"
"toilet_6","Can you help me clean?","Voitko auttaa minua siivoamaan?"
"toilet_7","I peed myself.","Pissasin itseäni."
"toilet_8","I pooped myself.","Kappasin itseni."
"what","What","Mitä"
"what_2","What is that?","Mikä tuo on?"
"what_3","What does it mean?","Mitä se tarkoittaa?"
"what_4","What do you mean?","Mitä tarkoitat?"
"what_5","Can you explain it?","Voitko selittää sen?"
"what_6","Can you repeat what you said?","Voitko toistaa mitä sanoit?"
"what_7","I don't understand.","En ymmärrä."
"sleep","Sleep","Nukkua"
"sleep_2","I want to sleep.","Haluan nukkua."
"sleep_3","I don't want to sleep.","En halua nukkua."
"sleep_4","I'm tired.","Olen väsynyt."
"sleep_5","Are you tired?","Oletko väsynyt?"
"sleep_6","When am I going to sleep?","Milloin aion nukkua?"
"sleep_7","I want to take a nap.","Haluan nukkua."
"bath","Bath","Kylpy"
"bath_2","I want to take a bath.","Haluan käydä kylvyssä."
"bath_3","I like taking a bath.","Pidän kylpystä."
"bath_4","I want to wash my hands.","Haluan pestä käteni."
"bath_5","I want to take a shower.","Haluan mennä suihkuun."
"bath_6","I want to clean myself.","Haluan puhdistaa itseni."
"bath_7","Can you help me take a bath?","Voitko auttaa minua kylvyssä?"
"bath_8","I don't want to take a bath.","En halua käydä kylvyssä."
"listen","Listen","Kuunnella"
"listen_2","Listen to me.","Kuuntele minua."
"listen_3","Can you listen to me?","Voitko kuunnella minua?"
"listen_4","Listen to music.","Kuunnella musiikkia."
"listen_5","Listening to my parents.","Kuuntelin vanhempani."
"listen_6","Listen to what my application is saying!","Kuuntele, mitä sovellukseni sanoo!"
"morning","Morning","Aamu"
"morning_2","Good morning.","Hyvää huomenta."
"morning_3","I like mornings.","Pidän aamuista."
"morning_4","In the morning.","Aamulla."
"morning_5","Morning time.","Aamuaika."
"morning_6","Is it morning?","Onko aamua?"
"night","Night","Yö"
"night_2","Good night!","Hyvää yötä!"
"night_3","I like nights.","Pidän öistä."
"night_4","At night.","Yöllä."
"night_5","Night time.","Yö."
"night_6","Is it night?","Onko yö?"
"look","Look","Katso"
"look_2","Look at me.","Katso minua."
"look_3","Look at this.","Katso tätä."
"look_4","Are you looking?","Etsitkö?"
"look_5","Look at my drawing.","Katso piirustukseni."
"look_6","How do I look?","Miltä minä näytän?"
"look_7","Look what I did.","Katso mitä tein."
"look_8","Let's look at that.","Katsotaanpa sitä."
"speak","Speak","Puhua"
"speak_2","I'm learning how to speak.","Opit puhumaan."
"speak_3","I want to speak.","Haluan puhua."
"speak_4","Can I speak with you?","Voinko puhua kanssasi?"
"speak_5","I like speaking.","Pidän puhumisesta."
"speak_6","I'm using assistive communication app.","Käytän avustavaa viestintäsovellusta."
"play","Play","pelata"
"play_2","I love playing.","Rakastan pelaamista."
"play_3","Can you play with me?","Voitko pelata kanssani?"
"play_4","I want to play with you!","Haluan pelata kanssasi!"
"play_5","I want to play with my friends.","Haluan leikkiä ystävieni kanssa."
"play_6","I don't want to play with you.","En halua leikkiä kanssasi."
"outside","Outside","Ulkopuolella"
"outside_2","I love going outside.","Rakastan menoa ulos."
"outside_3","I want to go outside.","Haluan mennä ulos."
"outside_4","Is it cold outside?","Onko ulkona kylmä?"
"outside_5","I don't like outside.","En pidä ulkona."
"outside_6","Can I go outside?","Voinko mennä ulos?"
"home","Home","Koti"
"home_2","I love my home.","Rakastan kotini."
"home_3","I want to go home.","Haluan mennä kotiin."
"home_4","Where is your home?","Missä kotisi on?"
"home_5","Home sweet home.","Oma koti kullan kallis."
"home_6","I'm in the house.","Olen talossa."
"home_7","I'm not in the house.","En ole talossa."
"hurt","Hurt","Satuttaa"
"hurt_2","I'm hurt.","Olen loukkaantunut."
"hurt_3","Are you hurt?","Oletko loukkaantunut?"
"hurt_4","Did I hurt you?","Satutinko sinua?"
"hurt_5","I didn't mean to hurt you!","En tarkoittanut satuttaa sinua!"
"hurt_6","Is it going to hurt?","Aiheaako se satuttaa?"
"hurt_7","I have a headache.","Minulla on päänsärkyä."
"hurt_8","I have a stomach ache.","Minulla on vatsakipuja."
"hurt_9","My genitals hurt.","Sukupuolistoni loukkaantuneet."
"hurt_10","My foot hurts.","Jalkaani sattuu."
"feelings","Feelings","tunteet"
"happy","Happy","Onnellinen"
"happy_2","I'm happy.","Olen iloinen."
"happy_3","I feel happy.","Olen onnellinen."
"happy_4","Do you feel happy?","Tunnetko sinut onnelliseksi?"
"happy_5","I want to feel happy.","Haluan olla onnellinen."
"happy_6","You are making me happy.","Teet minut onnelliseksi."
"sad","Sad","Surullinen"
"sad_2","I'm sad.","Olen surullinen."
"sad_3","I feel sad.","Olen surullinen."
"sad_4","Do you feel sad?","Oletko surullinen?"
"sad_5","I don't want to feel sad.","En halua olla surullinen."
"sad_6","You are making me sad.","Teet minut surulliseksi."
"exhausted","Exhausted","Uupunut"
"exhausted_2","I'm exhausted.","Olen uupunut."
"exhausted_3","I feel exhausted.","Tunnen uupuneeni."
"exhausted_4","Do you feel exhausted?","Tunnetko itsesi uupuneeksi?"
"exhausted_5","I don't want to be exhausted.","En halua olla uupunut."
"relaxed","Relaxed","rento"
"relaxed_2","I'm relaxed.","Olen rento."
"relaxed_3","I feel relaxed.","Olen rento."
"relaxed_4","Do you feel relaxed?","Tunnetko olosi rento?"
"relaxed_5","I want to feel relaxed.","Haluan olla rento."
"in-love","In love","Rakastunut"
"in-love_2","I'm in love.","Olen rakastunut."
"in-love_3","I feel in love.","Tunnen rakkautta."
"in-love_4","Are you in love?","Oletko rakastunut?"
"in-love_5","I want to fall in love.","Haluan rakastua."
"in-love_6","Do you love me?","Rakastatko minua?"
"stressed","Stressed","stressaantunut"
"stressed_2","I'm stressed.","Olen stressaantunut."
"stressed_3","I feel stressed.","Tunnen stressiä."
"stressed_4","Do you feel stressed?","Tunnetko stressiä?"
"stressed_5","I don't want to feel stressed.","En halua tuntea stressiä."
"thankful","Thankful","Kiitollinen"
"thankful_2","I'm thankful.","Olen kiitollinen."
"thankful_3","I feel thankful.","Olen kiitollinen."
"thankful_4","Do you feel thankful?","Tunnetko olosi kiitollinen?"
"thankful_5","I want to feel thankful.","Haluan olla kiitollinen."
"confused","Confused","Hämmentynyt"
"confused_2","I'm confused.","Olen hämmentynyt."
"confused_3","I feel confused.","Olen hämmentynyt."
"confused_4","Do you feel confused?","Oletko hämmentynyt?"
"confused_5","You are confusing me.","Sinä hämmennät minua."
"joyful","Joyful","Iloinen"
"joyful_2","I'm joyful.","Olen iloinen."
"joyful_3","I feel joyful.","Olen iloinen."
"joyful_4","Do you feel joyful?","Tunnetko sinut iloisena?"
"joyful_5","I want to feel joyful.","Haluan olla iloinen."
"angry","Angry","Vihainen"
"angry_2","I'm angry.","Olen vihainen."
"angry_3","I feel angry.","Olen vihainen."
"angry_4","Do you feel angry?","Oletko vihainen?"
"angry_5","I'm angry at you.","Olen vihainen sinulle."
"angry_6","You are making me angry.","Teet minut vihaiseksi."
"smart","Smart","Fiksu"
"smart_2","I'm smart.","Olen fiksu."
"smart_3","I feel smart.","Tunnen olevani fiksu."
"smart_4","Do you feel smart?","Tuntuuko sinusta fiksu?"
"smart_5","Am I smart?","Olenko fiksu?"
"smart_6","You are smart!","Olet fiksu!"
"afraid","Afraid","peloissaan"
"afraid_2","I'm afraid.","Minä pelkään."
"afraid_3","I feel afraid.","Pelkään."
"afraid_4","Do you feel afraid?","Pelkäätkö sinä?"
"afraid_5","I don't want to feel afraid.","En halua pelätä."
"afraid_6","You are scaring me.","Pelotat minua."
"ashamed","Ashamed","häpeissään"
"ashamed_2","I'm ashamed.","Häpeän."
"ashamed_3","I feel ashamed.","Olen häpeissäni."
"ashamed_4","Do you feel ashamed?","Tunnetko häpeä?"
"ashamed_5","I don't want to feel ashamed.","En halua häpeä."
"shocked","Shocked","järkyttynyt"
"shocked_2","I'm shocked.","Olen järkyttynyt."
"shocked_3","I feel shocked.","Olen järkyttynyt."
"shocked_4","Do you feel shocked?","Tuntuuko sinusta shokki?"
"shocked_5","You shocked me.","Ymmärsit minut."
"sick","Sick","Sairas"
"sick_2","I'm sick.","Olen sairas."
"sick_3","I feel sick.","Minulla on huono olo."
"sick_4","Do you feel sick?","Tunnetko olosi sairaaksi?"
"sick_5","I don't want to be sick.","En halua olla sairas."
"sick_6","I'm sick of the food.","Olen kyllästynyt ruokaan."
"frustrated","Frustrated","turhautuneena"
"frustrated_2","I'm frustrated.","Olen turhautunut."
"frustrated_3","I feel frustrated.","Olen turhautunut."
"frustrated_4","Do you feel frustrated?","Oletko turhautunut?"
"frustrated_5","I don't want to feel frustrated.","En halua olla turhautunut."
"excited","Excited","Innoissaan"
"excited_2","I'm excited.","Olen innoissani."
"excited_3","I feel excited.","Olen innoissani."
"excited_4","Do you feel excited?","Oletko innostunut?"
"excited_5","I don't want to feel excited.","En halua olla innostunut."
"nauseated","Nauseated","pahoin"
"nauseated_2","I'm nauseated.","Olen pahoinvoinut."
"nauseated_3","I feel nauseated.","Tunnen pahoinvointia."
"nauseated_4","Do you feel nauseated?","Tunnetko pahoinvointia?"
"nauseated_5","I don't want to feel nauseated.","En halua tuntea pahoinvointia."
"agitated","Agitated","kiihtynyt"
"agitated_2","I'm agitated.","Olen levoton."
"agitated_3","I feel agitated.","Olen levoton."
"agitated_4","Do you feel agitated?","Tunnetko levottomuutta?"
"agitated_5","I don't want to feel agitated.","En halua olla levoton."
"food","Food","ruoka"
"hungry","Hungry","Nälkäinen"
"hungry_2","I'm hungry.","Olen nälkäinen."
"hungry_3","Are you hungry?","Oletko nälkäinen?"
"hungry_4","Can you make me food?","Voitko tehdä minulle ruokaa?"
"hungry_5","What is for dinner?","Mitä on päivälliseksi?"
"thirsty","Thirsty","Janoinen"
"thirsty_2","I'm thirsty.","Olen janoinen."
"thirsty_3","Can I have some water?","Saisinko vettä?"
"thirsty_4","Can I have a glass of water?","Saanko lasin vettä?"
"thirsty_5","I want something to drink.","Haluan jotain juotavaa."
"cutlery","Cutlery","Ruokailuvälineet"
"cutlery_2","I need cutlery.","Tarvitsen ruokailuvälineitä."
"cutlery_3","Help me use cutlery.","Auta minua käyttämään ruokailuvälineitä."
"cutlery_4","I need a fork.","Tarvitsen haarukan."
"cutlery_5","I need a spoon.","Tarvitsen lusikan."
"cutlery_6","I need chopsticks.","Tarvitsen syömäpuikot."
"cutlery_7","I need a knife.","Tarvitsen veitsen."
"cutlery_8","I need a napkin.","Tarvitsen lautasliinan."
"apple","Apple","Omena"
"apple_2","I like apple.","Pidän omenasta."
"apple_3","I don't like apple.","En pidä omenasta."
"apple_4","I want to eat an apple.","Haluan syödä omenaa."
"carrot","Carrot","Porkkana"
"carrot_2","I like carrot.","Pidän porkkanasta."
"carrot_3","I don't like carrot.","En pidä porkkanasta."
"carrot_4","I want to eat a carrot.","Haluan syödä porkkanaa."
"beans","Beans","Pavut"
"beans_2","I like beans.","Pidän papuista."
"beans_3","I don't like beans.","En pidä papuista."
"beans_4","I want to eat beans.","Haluan syödä papuja."
"chicken_5","I want fried chicken.","Haluan paistettua kanaa."
"chicken_6","I want boiled chicken.","Haluan keitetyn kanan."
"chocolate","Chocolate","Suklaa"
"chocolate_2","I like chocolate.","Minä pidän suklaasta."
"chocolate_3","I don't like chocolate.","En pidä suklaasta."
"chocolate_4","I want to eat chocolate.","Haluan syödä suklaata."
"chocolate_5","I want dark chocolate.","Haluan tummaa suklaata."
"chocolate_6","I want white chocolate.","Haluan valkoista suklaata."
"milk","Milk","Maito"
"milk_2","I like milk.","Minä pidän maidosta."
"milk_3","I don't like milk.","En pidä maidosta."
"milk_4","I want to drink milk.","Haluan juoda maitoa."
"milk_5","Can I have a glass of milk?","Voinko saada lasillisen maitoa?"
"sandwich","Sandwich","Voileipä"
"sandwich_2","I like sandwich.","Pidän voileipästä."
"sandwich_3","I don't like sandwich.","En pidä voileipästä."
"sandwich_4","I want to eat a sandwich.","Haluan syödä voileivän."
"sandwich_5","Can you make me a sandwich?","Voitko tehdä minulle voileivän?"
"steak","Steak","Pihvi"
"steak_2","I like steak.","Pidän pihvi."
"steak_3","I don't like steak.","En pidä pihvi."
"steak_4","I want to eat steak.","Haluan syödä pihvi."
"steak_5","Can you cook steak for me?","Voitko keittää pihvin minulle?"
"banana","Banana","Banaani"
"banana_2","I like banana.","Pidän banaanista."
"banana_3","I don't like banana.","En pidä banaanista."
"banana_4","I want to eat a banana.","Haluan syödä banaania."
"pie","Pie","Piirakka"
"pie_2","I like pie.","Pidän piirakasta."
"pie_3","I don't like pie.","En pidä piiraasta."
"pie_4","I want to eat pie.","Haluan syödä piirakkaa."
"pie_5","Can you bake a pie for me?","Voitko leipoa piirakan minulle?"
"egg","Egg","Kananmuna"
"egg_2","I like egg.","Pidän munasta."
"egg_3","I don't like egg.","En pidä munasta."
"egg_4","I want to eat egg.","Haluan syödä munaa."
"egg_5","I want fried eggs.","Haluan paistettuja munia."
"egg_6","I want boiled eggs.","Haluan keitetyt munat."
"noodles","Noodles","nuudelit"
"noodles_2","I like noodles.","Pidän nuudeleista."
"noodles_3","I don't like noodles.","En pidä nuudeleista."
"noodles_4","I want to eat noodles.","Haluan syödä nuudeleita."
"noodles_5","Can you cook noodles for me?","Voitko keittää nuudelit minulle?"
"salt","Salt","Suola"
"salt_2","I want salt.","Haluan suolaa."
"salt_3","Can you pass me the salt?","Voitko ojentaa suolan?"
"salt_4","Food is too salty.","Ruoka on liian suolaista."
"salt_5","My food needs some salt.","Ruokani tarvitsee suolaa."
"spices","Spices","Mausteet"
"spices_2","I like spicy food.","Pidän mausteisesta ruoasta."
"spices_3","I don't like spicy food.","En pidä mausteisesta ruuasta."
"spices_4","I want paprika.","Haluan paprikaa."
"spices_5","I want black pepper.","Haluan mustapippuria."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Pidän pizzasta."
"pizza_3","I don't like pizza.","En pidä pizzasta."
"pizza_4","I want to eat pizza.","Haluan syödä pizzaa."
"pizza_5","Can you cook pizza for me?","Voitko keittää pizzaa minulle?"
"pizza_6","Can we order pizza?","Voimmeko tilata pizzaa?"
"cheese","Cheese","Juusto"
"cheese_2","I like cheese.","Pidän juustosta."
"cheese_3","I don't like cheese.","En pidä juustosta."
"cheese_4","I want to eat cheese.","Haluan syödä juustoa."
"ice-cream","Ice cream","Jäätelö"
"ice-cream_2","I like ice cream.","Pidän jäätelöstä."
"ice-cream_3","I don't like ice cream.","En pidä jäätelöstä."
"ice-cream_4","I want to eat ice cream.","Haluan syödä jäätelöä."
"ice-cream_5","Can you buy ice cream for me?","Voitko ostaa jäätelöä minulle?"
"tea","Tea","tee"
"tea_2","I like tea.","Minä pidän teestä."
"tea_3","I don't like tea.","En pidä teestä."
"tea_4","I want to drink tea.","Haluan juoda teetä."
"tea_5","Can you make tea for me?","Voitko tehdä teetä minulle?"
"coffee","Coffee","kahvi"
"coffee_2","I like coffee.","Pidän kahvista."
"coffee_3","I don't like coffee.","En pidä kahvista."
"coffee_4","I want to drink coffee.","Haluan juoda kahvia."
"coffee_5","Can you make coffee for me?","Voitko tehdä kahvia minulle?"
"tomato","Tomato","Tomaatti"
"tomato_2","I like tomato.","Pidän tomaatista."
"tomato_3","I don't like tomato.","En pidä tomaatista."
"tomato_4","I want to eat tomato.","Haluan syödä tomaattia."
"cereal","Cereal","viljakasvien"
"cereal_2","I like cereal.","Pidän viljasta."
"cereal_3","I don't like cereal.","En pidä viljasta."
"cereal_4","I want to eat cereal.","Haluan syödä viljaa."
"cereal_5","Can you make my cereal?","Voitko tehdä viljani?"
"burger","Burger","Hampurilainen"
"burger_2","I like burger.","Pidän hampurilaisesta."
"burger_3","I don't like burger.","En pidä hampurilaisesta."
"burger_4","I want to eat burger.","Haluan syödä hampurilaista."
"burger_5","Can you cook burger for me?","Voitko keittää hampurilaista minulle?"
"burger_6","Can we order burger?","Voimmeko tilata hampurilaista?"
"french-fries","French fries","ranskanperunat"
"french-fries_2","I like french fries.","Pidän ranskalaisista."
"french-fries_3","I don't like french fries.","En pidä ranskalaisista."
"french-fries_4","I want to eat french fries.","Haluan syödä ranskalaisia perunoita."
"french-fries_5","Can you cook french fries for me?","Voitko keittää ranskalaisia perunoita minulle?"
"french-fries_6","Can we order french fries?","Voimmeko tilata ranskalaisia perunoita?"
"spinach","Spinach","Pinaatti"
"spinach_2","I like spinach.","Pidän pinaatista."
"spinach_3","I don't like spinach.","En pidä pinaatista."
"spinach_4","I want to eat spinach.","Haluan syödä pinaattia."
"rice","Rice","Riisi"
"rice_2","I like rice.","Pidän riisistä."
"rice_3","I don't like rice.","En pidä riisistä."
"rice_4","I want to eat rice.","Haluan syödä riisiä."
"rice_5","Can you cook rice for me?","Voitko keittää riisiä minulle?"
"bread","Bread","leipä"
"bread_2","I like bread.","Pidän leivästä."
"bread_3","I don't like bread.","En pidä leivästä."
"bread_4","I want to eat bread.","Haluan syödä leipää."
"bread_5","Can you buy some bread?","Voitko ostaa leipää?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Pidän pastasta."
"pasta_3","I don't like pasta.","En pidä pastasta."
"pasta_4","I want to eat pasta.","Haluan syödä pastaa."
"pasta_5","Can you cook pasta for me?","Voitko keittää pasta minulle?"
"sauce","Sauce","Kastike"
"sauce_2","I like sauce.","Pidän kastikkeesta."
"sauce_3","I don't like sauce.","En pidä kastikkeesta."
"sauce_4","I want some sauce.","Haluan kastikkeen."
"sauce_5","Can I have ketchup?","Voinko saada ketsuppia?"
"sauce_6","Can I have mayonnaise?","Voinko saada majoneesia?"
"sauce_7","Can I have mustard?","Voinko saada sinappia?"
"sauce_8","Can I have ranch sauce?","Voinko saada ranchikastiketta?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Pidän kebabista."
"kebab_3","I don't like kebab.","En pidä kebabista."
"kebab_4","I want to eat kebab.","Haluan syödä kebabia."
"kebab_5","Can you cook kebab for me?","Voitko keittää kebab minulle?"
"kebab_6","Can we order kebab?","Voimmeko tilata kebabia?"
"numbers","Numbers","numerot"
"one","One","Yksi"
"one_2","One comes before two.","Yksi tulee ennen kahta."
"one_3","One comes after zero.","Yksi tulee nollan jälkeen."
"one_4","I want one.","Haluan yhden."
"two","Two","Kaksi"
"two_2","Two comes before three.","Kaksi tulee ennen kolmea."
"two_3","Two comes after one.","Kaksi tulee yhden jälkeen."
"two_4","I want two.","Haluan kaksi."
"three","Three","Kolme"
"three_2","Three comes before four.","Kolme tulee ennen neljää."
"three_3","Three comes after two.","Kolme tulee kahden jälkeen."
"three_4","I want three.","Haluan kolme."
"four","Four","neljä"
"four_2","Four comes before five.","Neljä tulee ennen viittä."
"four_3","Four comes after three.","Neljä tulee kolmen jälkeen."
"four_4","I want four.","Haluan neljä."
"five","Five","Viisi"
"five_2","Five comes before six.","Viisi tulee ennen kuutta."
"five_3","Five comes after four.","Viisi tulee neljän jälkeen."
"five_4","I want five.","Haluan viisi."
"six","Six","Kuusi"
"six_2","Six comes before seven.","Kuusi tulee ennen seitsemää."
"six_3","Six comes after five.","Kuusi tulee viiden jälkeen."
"six_4","I want fix.","Haluan korjata."
"seven","Seven","seitsemän"
"seven_2","Seven comes before eight.","Seitsemän tulee ennen kahdeksan."
"seven_3","Seven comes after six.","Seitsemän tulee kuuden jälkeen."
"seven_4","I want seven.","Haluan seitsemän."
"eight","Eight","Kahdeksan"
"eight_2","Eight comes before nine.","Kahdeksan tulee ennen yhdeksää."
"eight_3","Eight comes after seven.","Kahdeksan tulee seitsemän jälkeen."
"eight_4","I want eight.","Haluan kahdeksan."
"nine","Nine","Yhdeksän"
"nine_2","Nine comes before ten.","Yhdeksän tulee ennen kymmentä."
"nine_3","Nine comes after eight.","Yhdeksän tulee kahdeksan jälkeen."
"nine_4","I want nine.","Haluan yhdeksän."
"ten","Ten","Kymmenen"
"ten_2","Ten comes before eleven.","Kymmenen tulee ennen yksitoista."
"ten_3","Ten comes after nine.","Kymmenen tulee yhdeksän jälkeen."
"ten_4","I want ten.","Haluan kymmenen."
"eleven","Eleven","Yksitoista"
"eleven_2","Eleven comes before thirteen.","Yksitoista tulee ennen kolmetoista."
"eleven_3","Eleven comes after ten.","Yksitoista tulee kymmenen jälkeen."
"eleven_4","I want eleven.","Haluan yksitoista."
"twenty","Twenty","Kaksikymmentä"
"twenty_2","I can count up to twenty.","Voin lukea jopa kaksikymmentä."
"thirty","Thirty","Kolmekymmentä"
"thirty_2","I can count up to thirty.","Voin lukea jopa kolmekymmentä."
"forty","Forty","Neljäkymmentä"
"forty_2","I can count up to forty.","Voin laskea jopa neljäkymmentä."
"fifty","Fifty","Viisikymmentä"
"fifty_2","I can count up to fifty.","Voin lukea jopa viisikymmentä."
"hundred","Hundred","Sata"
"hundred_2","I can count up to hundred.","Voin lukea jopa sata."
"thousand","Thousand","tuhat"
"thousand_2","I can count up to thousand.","Voin luottaa jopa tuhanteen."
"calculator","Calculator","Laskin"
"calculator_2","I want to use a calculator.","Haluan käyttää laskinta."
"calculator_3","Can you teach me how to use a calculator?","Voitko opettaa minulle laskimen käytön?"
"calculator_4","Can I barrow your calculator?","Voinko laittaa laskimen?"
"people","People","Ihmiset"
"mother","Mother","Äiti"
"mother_2","Mommy!","Äiti!"
"mother_3","I love my mother.","Rakastan äitiäni."
"mother_4","I love you mom.","Rakastan sinua äiti."
"mother_5","I miss my mom.","Ikävöin äitiäni."
"mother_6","Thank you for taking care of me.","Kiitos, että huolehdit minusta."
"mother_7","She is my mom.","Hän on äitini."
"mother_8","Can you help me find my mother?","Voitko auttaa minua löytämään äitini?"
"father","Father","Isä"
"father_2","Daddy!","Isä!"
"father_3","I love my father.","Minä rakastan isääni."
"father_4","I love you dad.","Rakastan sinua isi."
"father_5","I miss my dad.","Kaipaan isääni."
"father_6","Thank you for taking care of me.","Kiitos, että huolehdit minusta."
"father_7","He is my dad.","Hän on isäni."
"father_8","Can you help me find my father?","Voitko auttaa minua löytämään isäni?"
"parents","Parents","Vanhemmat"
"parents_2","I love my parents.","Rakastan vanhempiani."
"parents_3","I love my parents.","Rakastan vanhempiani."
"parents_4","I miss my parents.","Kaipaan vanhempani."
"parents_5","They are my parents.","He ovat vanhempani."
"parents_6","My parents are taking care of me.","Vanhempani hoitavat minua."
"parents_8","Can you help me find my parents?","Voitko auttaa minua löytämään vanhempani?"
"grandparents","Grandparents","Isovanhemmat"
"grandparents_2","I love my grandparents.","Rakastan isovanhempani."
"grandparents_3","I love you grandparents.","Rakastan sinua isovanhemmat."
"grandparents_4","I miss my grandparents.","Kaipaan isovanhempani."
"grandparents_5","They are my grandparents.","He ovat isovanhempani."
"grandparents_6","My grandparents are taking care of me.","Isovanhempani hoitavat minua."
"grandparents_8","Can you help me find my grandparents?","Voitko auttaa minua löytämään isovanhempani?"
"brother","Brother","Veli"
"brother_2","I love my brother.","Rakastan veljeäni."
"brother_3","I love you brother.","Rakastan sinua veli."
"brother_4","I miss my brother.","Kaipaan veljeäni."
"brother_5","He is my brother.","Hän on minun veljeni."
"brother_6","My brother is taking care of me.","Veljeni hoitaa minua."
"brother_8","Can you help me find my brother?","Voitko auttaa minua löytämään veljeni?"
"sister","Sister","Sisko"
"sister_2","I love my sister.","Rakastan siskoani."
"sister_3","I love you sister.","Rakastan siskoasi."
"sister_4","I miss my sister.","Kaipaan siskoni."
"sister_5","She is my sister.","Hän on minun sisareni."
"sister_6","My sister is taking care of me.","Sisareni pitää minusta huolta."
"sister_8","Can you help me find my sister?","Voitko auttaa minua löytämään siskoni?"
"uncle","Uncle","Setä"
"uncle_2","I love my uncle.","Rakastan setääni."
"uncle_3","I love you uncle.","Rakastan sinua setä."
"uncle_4","I miss my uncle.","Kaipaan setääni."
"uncle_5","He is my uncle.","Hän on setäni."
"uncle_8","Can you help me find my uncle?","Voitko auttaa minua löytämään setäni?"
"aunt","Aunt","Täti"
"aunt_2","I love my aunt.","Rakastan tätini."
"aunt_3","I love you aunt.","Rakastan sinua täti."
"aunt_4","I miss my aunt.","Kaipaan tätini."
