"activities","Activities","Діяльності"
"lime_3","My favorite color is lime.","Мій улюблений колір - вапно."
"lime_4","Can you give me lime paint?","Чи можете ви дати мені вапняну фарбу?"
"plum","Plum","Слива"
"plum_2","It is plum.","Це слива."
"plum_3","My favorite color is plum.","Мій улюблений колір - слива."
"plum_4","Can you give me plum paint?","Чи можете ви дати мені сливову фарбу?"
"tan","Tan","Засмага"
"tan_2","It is tan color.","Це засмаглий колір."
"tan_3","My favorite color is tan color.","Мій улюблений колір - колір засмаги."
"tan_4","Can you give me tan color paint?","Чи можете ви дати мені фарбу із засмагою?"
"avocado","Avocado","Авокадо"
"avocado_2","It is avocado color.","Це кольору авокадо."
"avocado_3","My favorite color is avocado color.","Мій улюблений колір - колір авокадо."
"avocado_4","Can you give me avocado color paint?","Чи можете ви подарувати мені фарбу авокадо?"
"barbie-pink","Barbie pink","Барбі рожева"
"barbie-pink_2","It is barbie pink color.","Це барбі рожевого кольору."
"barbie-pink_3","My favorite color is barbie pink.","Мій улюблений колір - рожевий барбі."
"barbie-pink_4","Can you give me barbie pink paint?","Чи можете ви подарувати мені барбі рожеву фарбу?"
"blizzard-blue","Blizzard blue","Завіру блакитний"
"blizzard-blue_2","It is blizzard blue color.","Це хуртовина синього кольору."
"blizzard-blue_3","My favorite color is blizzard blue color.","Мій улюблений колір - блакитний блакитний колір."
"blizzard-blue_4","Can you give me blizzard blue paint?","Чи можете ви дати мені блакитну фарбу?"
"conversation","Conversation","Бесіда"
"me","Me","Я"
"me_2","My name is {name}","Мене звуть {name}"
"me_3","I'm {name}","Я {ім'я}"
"me_4","Do you know my name?","Ви знаєте моє ім’я?"
"me_5","What is your name?","Як вас звати?"
"me_6","Nice to meet you!","Приємно познайомитись!"
"me_7","Do you like me?","Ти мені подобається?"
"me_8","Can we be friends?","Чи можемо ми бути друзями?"
"me_9","I'm using assistive communication app.","Я використовую допоміжний додаток для спілкування."
"me_10","Who are you?","Хто ти?"
"hello","Hello","Здравствуйте"
"hello_2","Hello.","Привіт."
"hello_3","Hi.","Привіт."
"hello_4","Greetings.","Привітання."
"hello_5","How are you?","Як справи?"
"hello_6","Nice to meet you!","Приємно познайомитись!"
"help","Help","Довідка"
"help_2","Help me.","Допоможи мені."
"help_3","Can you help me?","Можеш допомогти мені?"
"help_4","I need help","мені потрібна допомога"
"help_5","Do you need help?","Тобі потрібна допомога?"
"yes","Yes","Так"
"yes_2","Yes.","Так."
"yes_3","Yes please.","Так, будь ласка."
"yes_4","Alright.","Добре."
"yes_5","Agreed.","Домовились."
"yes_6","I want to.","Я хочу."
"yes_7","I would like to.","Я хотів би."
"no","No","Ні"
"no_2","No.","Ні."
"no_3","Nope.","Ні."
"no_4","Never.","Ніколи."
"no_5","I don't want to.","Я не хочу цього робити."
"no_6","I don't like it.","Мені це не подобається."
"no_7","You don't like it?","Вам це не подобається?"
"no_8","Why you don't like it?","Чому це вам не подобається?"
"toilet","Toilet","Туалет"
"toilet_2","I need to go to the toilet.","Мені потрібно в туалет."
"toilet_3","I need to pee.","Мені потрібно мочитися."
"toilet_4","I need to poop.","Мені потрібно пуститися."
"toilet_5","Can you help me go to the toilet?","Ви можете мені допомогти сходити в туалет?"
"toilet_6","Can you help me clean?","Чи можете ви допомогти мені прибрати?"
"toilet_7","I peed myself.","Я підглянув себе."
"toilet_8","I pooped myself.","Я копнувся."
"what","What","Що"
"what_2","What is that?","Що це?"
"what_3","What does it mean?","Що це означає?"
"what_4","What do you mean?","Що ви маєте на увазі?"
"what_5","Can you explain it?","Ви можете пояснити це?"
"what_6","Can you repeat what you said?","Чи можете ви повторити сказане?"
"what_7","I don't understand.","Я не розумію."
"sleep","Sleep","Сон"
"sleep_2","I want to sleep.","Я хочу спати."
"sleep_3","I don't want to sleep.","Я не хочу спати."
"sleep_4","I'm tired.","Я втомлений."
"sleep_5","Are you tired?","Ти втомився?"
"sleep_6","When am I going to sleep?","Коли я буду спати?"
"sleep_7","I want to take a nap.","Я хочу подрімати."
"bath","Bath","Ванна"
"bath_2","I want to take a bath.","Я хочу прийняти ванну."
"bath_3","I like taking a bath.","Мені подобається приймати ванну."
"bath_4","I want to wash my hands.","Я хочу помити руки."
"bath_5","I want to take a shower.","Я хочу прийняти душ."
"bath_6","I want to clean myself.","Я хочу очистити себе."
"bath_7","Can you help me take a bath?","Чи можете ви допомогти мені прийняти ванну?"
"bath_8","I don't want to take a bath.","Я не хочу приймати ванну."
"listen","Listen","Слухай"
"listen_2","Listen to me.","Послухай мене."
"listen_3","Can you listen to me?","Ви можете мене слухати?"
"listen_4","Listen to music.","Слухати музику."
"listen_5","Listening to my parents.","Слухаю своїх батьків."
"listen_6","Listen to what my application is saying!","Послухайте, що говорить моя заява!"
"morning","Morning","Ранок"
"morning_2","Good morning.","Добрий ранок."
"morning_3","I like mornings.","Мені подобаються ранки."
"morning_4","In the morning.","Вранці."
"morning_5","Morning time.","Ранковий час."
"morning_6","Is it morning?","Це ранок?"
"night","Night","Ніч"
"night_2","Good night!","Надобраніч!"
"night_3","I like nights.","Мені подобаються ночі."
"night_4","At night.","Вночі."
"night_5","Night time.","Нічний час."
"night_6","Is it night?","Це ніч?"
"look","Look","Подивіться"
"look_2","Look at me.","Подивись на мене."
"look_3","Look at this.","Подивись на це."
"look_4","Are you looking?","Ви шукаєте?"
"look_5","Look at my drawing.","Подивіться на мій малюнок."
"look_6","How do I look?","Як я виглядаю?"
"look_7","Look what I did.","Подивіться, що я зробив."
"look_8","Let's look at that.","Подивимось на це."
"speak","Speak","Говоріть"
"speak_2","I'm learning how to speak.","Я вчусь говорити."
"speak_3","I want to speak.","Я хочу говорити."
"speak_4","Can I speak with you?","Чи можу я поговорити з вами?"
"speak_5","I like speaking.","Мені подобається говорити."
"speak_6","I'm using assistive communication app.","Я використовую допоміжний додаток для спілкування."
"play","Play","Грати"
"play_2","I love playing.","Я люблю грати."
"play_3","Can you play with me?","Ти можеш зі мною пограти?"
"play_4","I want to play with you!","Я хочу пограти з тобою!"
"play_5","I want to play with my friends.","Я хочу пограти з друзями."
"play_6","I don't want to play with you.","Я не хочу грати з тобою."
"outside","Outside","Зовні"
"outside_2","I love going outside.","Я люблю виходити на вулицю."
"outside_3","I want to go outside.","Я хочу вийти на вулицю."
"outside_4","Is it cold outside?","Зовнішньо холодно?"
"outside_5","I don't like outside.","Мені не подобається надворі."
"outside_6","Can I go outside?","Чи можу я вийти на вулицю?"
"home","Home","Головна"
"home_2","I love my home.","Я люблю свій дім."
"home_3","I want to go home.","Я хочу піти додому."
"home_4","Where is your home?","Де твій дім?"
"home_5","Home sweet home.","Дім, милий дім."
"home_6","I'm in the house.","Я в хаті."
"home_7","I'm not in the house.","Я не в будинку."
"hurt","Hurt","Шкода"
"hurt_2","I'm hurt.","Я поранений."
"hurt_3","Are you hurt?","Ти болить?"
"hurt_4","Did I hurt you?","Я тебе зачепив?"
"hurt_5","I didn't mean to hurt you!","Я не хотів тебе зачепити!"
"hurt_6","Is it going to hurt?","Чи буде боляче?"
"hurt_7","I have a headache.","В мене болить голова."
"hurt_8","I have a stomach ache.","У мене болить шлунок."
"hurt_9","My genitals hurt.","Мої геніталії болять."
"hurt_10","My foot hurts.","Мене болить нога."
"feelings","Feelings","Почуття"
"happy","Happy","Щасливі"
"happy_2","I'm happy.","Я щасливий."
"happy_3","I feel happy.","Я відчуваю себе щасливим."
"happy_4","Do you feel happy?","Ти відчуваєш себе щасливим?"
"happy_5","I want to feel happy.","Я хочу відчувати себе щасливим."
"happy_6","You are making me happy.","Ти робиш мене щасливим."
"sad","Sad","Сумно"
"sad_2","I'm sad.","Я - сумний."
"sad_3","I feel sad.","Мені сумно."
"sad_4","Do you feel sad?","Ви сумуєте?"
"sad_5","I don't want to feel sad.","Я не хочу сумувати."
"sad_6","You are making me sad.","Ти мене сумуєш."
"exhausted","Exhausted","Виснажений"
"exhausted_2","I'm exhausted.","Я виснажений."
"exhausted_3","I feel exhausted.","Я відчуваю себе виснаженим."
"exhausted_4","Do you feel exhausted?","Ви відчуваєте себе виснаженими?"
"exhausted_5","I don't want to be exhausted.","Я не хочу бути виснаженим."
"relaxed","Relaxed","Розслаблено"
"relaxed_2","I'm relaxed.","Я розслаблений."
"relaxed_3","I feel relaxed.","Я відчуваю себе розслаблено."
"relaxed_4","Do you feel relaxed?","Ви відчуваєте себе розслаблено?"
"relaxed_5","I want to feel relaxed.","Я хочу відчувати себе розслабленим."
"in-love","In love","Закоханий"
"in-love_2","I'm in love.","Я закоханий."
"in-love_3","I feel in love.","Я відчуваю закоханість."
"in-love_4","Are you in love?","Ти закоханий?"
"in-love_5","I want to fall in love.","Я хочу закохатись."
"in-love_6","Do you love me?","Ти мене любиш?"
"stressed","Stressed","Підкреслили"
"stressed_2","I'm stressed.","Я підкреслений."
"stressed_3","I feel stressed.","Я відчуваю стрес."
"stressed_4","Do you feel stressed?","Ви відчуваєте стрес?"
"stressed_5","I don't want to feel stressed.","Я не хочу відчувати стрес."
"thankful","Thankful","Вдячний"
"thankful_2","I'm thankful.","Я вдячний"
"thankful_3","I feel thankful.","Я відчуваю вдячність."
"thankful_4","Do you feel thankful?","Ви відчуваєте вдячність?"
"thankful_5","I want to feel thankful.","Я хочу відчувати вдячність."
"confused","Confused","Плутати"
"confused_2","I'm confused.","Я збентежений."
"confused_3","I feel confused.","Я відчуваю розгубленість."
"confused_4","Do you feel confused?","Чи відчуваєте ви розгубленість?"
"confused_5","You are confusing me.","Ти мене плутаєш."
"joyful","Joyful","Радісний"
"joyful_2","I'm joyful.","Я радісний."
"joyful_3","I feel joyful.","Я відчуваю радість."
"joyful_4","Do you feel joyful?","Ви відчуваєте радість?"
"joyful_5","I want to feel joyful.","Я хочу відчути радість."
"angry","Angry","Злий"
"angry_2","I'm angry.","Я злий."
"angry_3","I feel angry.","Я серджусь."
"angry_4","Do you feel angry?","Ви гніваєтесь?"
"angry_5","I'm angry at you.","Я сердився на тебе."
"angry_6","You are making me angry.","Ти мене злиш."
"smart","Smart","Розумний"
"smart_2","I'm smart.","Я розумний."
"smart_3","I feel smart.","Я почуваюся розумною."
"smart_4","Do you feel smart?","Ви відчуваєте себе розумним?"
"smart_5","Am I smart?","Я розумний?"
"smart_6","You are smart!","Ви розумні!"
"afraid","Afraid","Боїться"
"afraid_2","I'm afraid.","Я боюся."
"afraid_3","I feel afraid.","Я боюся."
"afraid_4","Do you feel afraid?","Ви відчуваєте страх?"
"afraid_5","I don't want to feel afraid.","Я не хочу боятися."
"afraid_6","You are scaring me.","Ти мене лякаєш."
"ashamed","Ashamed","Соромно"
"ashamed_2","I'm ashamed.","Мені соромно."
"ashamed_3","I feel ashamed.","Мені соромно."
"ashamed_4","Do you feel ashamed?","Вам соромно?"
"ashamed_5","I don't want to feel ashamed.","Я не хочу соромитися."
"shocked","Shocked","Шокований"
"shocked_2","I'm shocked.","Я в шоці."
"shocked_3","I feel shocked.","Я відчуваю шок."
"shocked_4","Do you feel shocked?","Ви відчуваєте шок?"
"shocked_5","You shocked me.","Ви мене шокували."
"sick","Sick","Хворий"
"sick_2","I'm sick.","Я хворий."
"sick_3","I feel sick.","Я почуваюся хворим."
"sick_4","Do you feel sick?","Чи тобі нудно?"
"sick_5","I don't want to be sick.","Я не хочу хворіти."
"sick_6","I'm sick of the food.","Мені нудна їжа."
"frustrated","Frustrated","Розчарований"
"frustrated_2","I'm frustrated.","Я розчарований."
"frustrated_3","I feel frustrated.","Я відчуваю розчарування."
"frustrated_4","Do you feel frustrated?","Ви відчуваєте розчарування?"
"frustrated_5","I don't want to feel frustrated.","Я не хочу відчувати розчарування."
"excited","Excited","Збуджений"
"excited_2","I'm excited.","Я в захваті."
"excited_3","I feel excited.","Я відчуваю себе збудженим."
"excited_4","Do you feel excited?","Ви відчуваєте збудження?"
"excited_5","I don't want to feel excited.","Я не хочу відчувати себе схвильованим."
"nauseated","Nauseated","Нудота"
"nauseated_2","I'm nauseated.","Мене нудить."
"nauseated_3","I feel nauseated.","Я відчуваю нудоту."
"nauseated_4","Do you feel nauseated?","Ви відчуваєте нудоту?"
"nauseated_5","I don't want to feel nauseated.","Я не хочу відчувати нудоту."
"agitated","Agitated","Засмучений"
"agitated_2","I'm agitated.","Я схвильований."
"agitated_3","I feel agitated.","Я відчуваю збудження."
"agitated_4","Do you feel agitated?","Чи відчуваєте ви хвилювання?"
"agitated_5","I don't want to feel agitated.","Я не хочу відчувати хвилювання."
"food","Food","Їжа"
"hungry","Hungry","Голодний"
"hungry_2","I'm hungry.","Я голодний."
"hungry_3","Are you hungry?","Ти голодний?"
"hungry_4","Can you make me food?","Чи можете ви зробити мені їжу?"
"hungry_5","What is for dinner?","Що на обід?"
"thirsty","Thirsty","Спрагу"
"thirsty_2","I'm thirsty.","Я хочу пити."
"thirsty_3","Can I have some water?","Чи можу я трохи води?"
"thirsty_4","Can I have a glass of water?","Чи можу я випити склянку води?"
"thirsty_5","I want something to drink.","Я хочу щось випити."
"cutlery","Cutlery","Столові прибори"
"cutlery_2","I need cutlery.","Мені потрібні столові прилади."
"cutlery_3","Help me use cutlery.","Допоможіть мені використовувати столові прилади."
"cutlery_4","I need a fork.","Мені потрібна виделка."
"cutlery_5","I need a spoon.","Мені потрібна ложка."
"cutlery_6","I need chopsticks.","Мені потрібні палички для їжі."
"cutlery_7","I need a knife.","Мені потрібен ніж."
"cutlery_8","I need a napkin.","Мені потрібна серветка."
"apple","Apple","Apple"
"apple_2","I like apple.","Мені подобається яблуко."
"apple_3","I don't like apple.","Я не люблю яблуко."
"apple_4","I want to eat an apple.","Я хочу з’їсти яблуко."
"carrot","Carrot","Морква"
"carrot_2","I like carrot.","Мені подобається морква."
"carrot_3","I don't like carrot.","Мені не подобається морква."
"carrot_4","I want to eat a carrot.","Я хочу поїсти моркву."
"beans","Beans","Квасоля"
"beans_2","I like beans.","Мені подобається квасоля."
"beans_3","I don't like beans.","Мені не подобається квасоля."
"beans_4","I want to eat beans.","Я хочу їсти квасолю."
"chicken_5","I want fried chicken.","Я хочу смажену курку."
"chicken_6","I want boiled chicken.","Я хочу відварну курку."
"chocolate","Chocolate","Шоколад"
"chocolate_2","I like chocolate.","Я люблю шоколад."
"chocolate_3","I don't like chocolate.","Я не люблю шоколад."
"chocolate_4","I want to eat chocolate.","Я хочу їсти шоколад."
"chocolate_5","I want dark chocolate.","Я хочу темний шоколад."
"chocolate_6","I want white chocolate.","Я хочу білий шоколад."
"milk","Milk","Молоко"
"milk_2","I like milk.","Мені подобається молоко."
"milk_3","I don't like milk.","Я не люблю молоко."
"milk_4","I want to drink milk.","Я хочу пити молоко."
"milk_5","Can I have a glass of milk?","Чи можу я випити склянку молока?"
"sandwich","Sandwich","Сендвіч"
"sandwich_2","I like sandwich.","Мені подобається бутерброд."
"sandwich_3","I don't like sandwich.","Мені не подобається бутерброд."
"sandwich_4","I want to eat a sandwich.","Я хочу з'їсти бутерброд."
"sandwich_5","Can you make me a sandwich?","Ви можете зробити мені сендвіч?"
"steak","Steak","Стейк"
"steak_2","I like steak.","Мені подобається стейк."
"steak_3","I don't like steak.","Я не люблю стейк."
"steak_4","I want to eat steak.","Я хочу їсти стейк."
"steak_5","Can you cook steak for me?","Ви можете приготувати для мене стейк?"
"banana","Banana","Банан"
"banana_2","I like banana.","Мені подобається банан."
"banana_3","I don't like banana.","Мені не подобається банан."
"banana_4","I want to eat a banana.","Я хочу з'їсти банан."
"pie","Pie","Пиріг"
"pie_2","I like pie.","Я люблю пиріг."
"pie_3","I don't like pie.","Мені не подобається пиріг."
"pie_4","I want to eat pie.","Я хочу їсти пиріг."
"pie_5","Can you bake a pie for me?","Ви можете спекти пиріг для мене?"
"egg","Egg","Яйце"
"egg_2","I like egg.","Мені подобається яйце."
"egg_3","I don't like egg.","Я не люблю яйце."
"egg_4","I want to eat egg.","Я хочу з’їсти яйце."
"egg_5","I want fried eggs.","Я хочу смажені яйця."
"egg_6","I want boiled eggs.","Я хочу варені яйця."
"noodles","Noodles","Локшина"
"noodles_2","I like noodles.","Мені подобається локшина."
"noodles_3","I don't like noodles.","Я не люблю локшину."
"noodles_4","I want to eat noodles.","Я хочу їсти локшину."
"noodles_5","Can you cook noodles for me?","Чи можете ви приготувати локшину для мене?"
"salt","Salt","Сіль"
"salt_2","I want salt.","Я хочу сіль."
"salt_3","Can you pass me the salt?","Ти можеш передати мені сіль?"
"salt_4","Food is too salty.","Їжа занадто солона."
"salt_5","My food needs some salt.","Моя їжа потребує солі."
"spices","Spices","Спеції"
"spices_2","I like spicy food.","Мені подобається гостра їжа."
"spices_3","I don't like spicy food.","Я не люблю гостру їжу."
"spices_4","I want paprika.","Я хочу паприку."
"spices_5","I want black pepper.","Я хочу чорний перець."
"pizza","Pizza","Піца"
"pizza_2","I like pizza.","Я люблю піццу."
"pizza_3","I don't like pizza.","Я не люблю піцу."
"pizza_4","I want to eat pizza.","Я хочу їсти піцу."
"pizza_5","Can you cook pizza for me?","Ви можете приготувати піцу для мене?"
"pizza_6","Can we order pizza?","Чи можемо ми замовити піцу?"
"cheese","Cheese","Сир"
"cheese_2","I like cheese.","Я люблю сир."
"cheese_3","I don't like cheese.","Мені не подобається сир."
"cheese_4","I want to eat cheese.","Я хочу їсти сир."
"ice-cream","Ice cream","Морозиво"
"ice-cream_2","I like ice cream.","Я люблю морозиво."
"ice-cream_3","I don't like ice cream.","Мені не подобається морозиво."
"ice-cream_4","I want to eat ice cream.","Я хочу їсти морозиво."
"ice-cream_5","Can you buy ice cream for me?","Ви можете купити морозиво для мене?"
"tea","Tea","Чай"
"tea_2","I like tea.","Мені подобається чай."
"tea_3","I don't like tea.","Я не люблю чай."
"tea_4","I want to drink tea.","Я хочу пити чай."
"tea_5","Can you make tea for me?","Ви можете зробити мені чай?"
"coffee","Coffee","Кава"
"coffee_2","I like coffee.","Мені подобається кава."
"coffee_3","I don't like coffee.","Мені не подобається кава."
"coffee_4","I want to drink coffee.","Я хочу випити кави."
"coffee_5","Can you make coffee for me?","Ви можете зробити каву для мене?"
"tomato","Tomato","Помідор"
"tomato_2","I like tomato.","Мені подобається помідор."
"tomato_3","I don't like tomato.","Мені не подобається помідор."
"tomato_4","I want to eat tomato.","Я хочу з’їсти помідор."
"cereal","Cereal","Зернові"
"cereal_2","I like cereal.","Мені подобається крупа."
"cereal_3","I don't like cereal.","Мені не подобається крупа."
"cereal_4","I want to eat cereal.","Я хочу їсти крупу."
"cereal_5","Can you make my cereal?","Ви можете зробити мою крупу?"
"burger","Burger","Бургер"
"burger_2","I like burger.","Мені подобається бургер."
"burger_3","I don't like burger.","Мені не подобається бургер."
"burger_4","I want to eat burger.","Я хочу їсти бургер."
"burger_5","Can you cook burger for me?","Чи можете ви приготувати бургер для мене?"
"burger_6","Can we order burger?","Чи можемо ми замовити бургер?"
"french-fries","French fries","картопля фрі"
"french-fries_2","I like french fries.","Мені подобається картопля фрі."
"french-fries_3","I don't like french fries.","Я не люблю фрі."
"french-fries_4","I want to eat french fries.","Я хочу їсти картоплю фрі."
"french-fries_5","Can you cook french fries for me?","Чи можете ви приготувати фрі для мене?"
"french-fries_6","Can we order french fries?","Чи можемо ми замовити фрі?"
"spinach","Spinach","Шпинат"
"spinach_2","I like spinach.","Мені подобається шпинат."
"spinach_3","I don't like spinach.","Я не люблю шпинат."
"spinach_4","I want to eat spinach.","Я хочу їсти шпинат."
"rice","Rice","Рис"
"rice_2","I like rice.","Мені подобається рис."
"rice_3","I don't like rice.","Я не люблю рис."
"rice_4","I want to eat rice.","Я хочу їсти рис."
"rice_5","Can you cook rice for me?","Ви можете приготувати для мене рис?"
"bread","Bread","Хліб"
"bread_2","I like bread.","Мені подобається хліб."
"bread_3","I don't like bread.","Я не люблю хліба."
"bread_4","I want to eat bread.","Я хочу їсти хліб."
"bread_5","Can you buy some bread?","Ви можете придбати трохи хліба?"
"pasta","Pasta","Макаронні вироби"
"pasta_2","I like pasta.","Мені подобаються макарони."
"pasta_3","I don't like pasta.","Я не люблю макарони."
"pasta_4","I want to eat pasta.","Я хочу з'їсти макарони."
"pasta_5","Can you cook pasta for me?","Ви можете приготувати макарони для мене?"
"sauce","Sauce","Соус"
"sauce_2","I like sauce.","Мені подобається соус."
"sauce_3","I don't like sauce.","Мені не подобається соус."
"sauce_4","I want some sauce.","Я хочу трохи соусу."
"sauce_5","Can I have ketchup?","Чи можу я зробити кетчуп?"
"sauce_6","Can I have mayonnaise?","Чи можна майонезом?"
"sauce_7","Can I have mustard?","Чи можна мати гірчицю?"
"sauce_8","Can I have ranch sauce?","Чи можна їсти соус з ранчо?"
"kebab","Kebab","Кебаб"
"kebab_2","I like kebab.","Мені подобається шашлик."
"kebab_3","I don't like kebab.","Мені не подобається шашлик."
"kebab_4","I want to eat kebab.","Я хочу їсти шашлик."
"kebab_5","Can you cook kebab for me?","Чи можете ви приготувати шашлик для мене?"
"kebab_6","Can we order kebab?","Чи можемо ми замовити шашлик?"
"numbers","Numbers","Числа"
"one","One","Один"
"one_2","One comes before two.","Один приходить перед двома."
"one_3","One comes after zero.","Один приходить після нуля."
"one_4","I want one.","Я хочу один."
"two","Two","Два"
"two_2","Two comes before three.","Два приходять раніше трьох."
"two_3","Two comes after one.","Два приходять за одним."
"two_4","I want two.","Я хочу двох."
"three","Three","Три"
"three_2","Three comes before four.","Три приходять до чотирьох."
"three_3","Three comes after two.","Три приходять за двома."
"three_4","I want three.","Я хочу три."
"four","Four","Четверо"
"four_2","Four comes before five.","Чотири приходять до п'яти."
"four_3","Four comes after three.","Чотири приходять після трьох."
"four_4","I want four.","Я хочу чотирьох."
"five","Five","П’ять"
"five_2","Five comes before six.","П’ятеро приходить до шести."
"five_3","Five comes after four.","П’ять приходить після чотирьох."
"five_4","I want five.","Я хочу п’ять."
"six","Six","Шість"
"six_2","Six comes before seven.","Шість приходить до семи."
"six_3","Six comes after five.","Шість приходить після п’яти."
"six_4","I want fix.","Я хочу виправити."
"seven","Seven","Сім"
"seven_2","Seven comes before eight.","Сім приходить до восьми."
"seven_3","Seven comes after six.","Сім приходить після шести."
"seven_4","I want seven.","Я хочу сім."
"eight","Eight","Вісім"
"eight_2","Eight comes before nine.","Вісім приходить до дев'яти."
"eight_3","Eight comes after seven.","Вісім приходить після семи."
"eight_4","I want eight.","Я хочу вісім."
"nine","Nine","Дев'ять"
"nine_2","Nine comes before ten.","Дев'ять приходить до десяти."
"nine_3","Nine comes after eight.","Дев'ять приходить після восьми."
"nine_4","I want nine.","Я хочу дев'ять."
"ten","Ten","Десять"
"ten_2","Ten comes before eleven.","Десять приходять до одинадцяти."
"ten_3","Ten comes after nine.","Десять приходить після дев'яти."
"ten_4","I want ten.","Я хочу десять."
"eleven","Eleven","Одинадцять"
"eleven_2","Eleven comes before thirteen.","Одинадцять приходить до тринадцяти."
"eleven_3","Eleven comes after ten.","Одинадцять приходить після десяти."
"eleven_4","I want eleven.","Я хочу одинадцять."
"twenty","Twenty","Двадцять"
"twenty_2","I can count up to twenty.","Я можу налічити до двадцяти."
"thirty","Thirty","Тридцять"
"thirty_2","I can count up to thirty.","Я можу налічити до тридцяти."
"forty","Forty","Сорок"
"forty_2","I can count up to forty.","Я можу налічити до сорока."
"fifty","Fifty","П’ятдесят"
"fifty_2","I can count up to fifty.","Я можу налічити до п’ятдесяти."
"hundred","Hundred","Сотня"
"hundred_2","I can count up to hundred.","Я можу налічити до сотні."
"thousand","Thousand","Тисяча"
"thousand_2","I can count up to thousand.","Я можу налічити до тисячі."
"calculator","Calculator","Калькулятор"
"calculator_2","I want to use a calculator.","Я хочу використовувати калькулятор."
"calculator_3","Can you teach me how to use a calculator?","Чи можете ви навчити мене користуватися калькулятором?"
"calculator_4","Can I barrow your calculator?","Чи можу я заграти ваш калькулятор?"
"people","People","Люди"
"mother","Mother","Мати"
"mother_2","Mommy!","Мамочко!"
"mother_3","I love my mother.","Я люблю свою маму."
"mother_4","I love you mom.","Я люблю тебе мамо."
"mother_5","I miss my mom.","Я сумую за мамою."
"mother_6","Thank you for taking care of me.","Дякую, що піклувались про мене."
"mother_7","She is my mom.","Вона моя мама."
"mother_8","Can you help me find my mother?","Чи можете ви допомогти мені знайти маму?"
"father","Father","Батько"
"father_2","Daddy!","Тато!"
"father_3","I love my father.","Я люблю свого батька."
"father_4","I love you dad.","Я люблю тебе тато."
"father_5","I miss my dad.","Я сумую за своїм татом."
"father_6","Thank you for taking care of me.","Дякую, що піклувались про мене."
"father_7","He is my dad.","Він мій тато."
"father_8","Can you help me find my father?","Чи можете ви допомогти мені знайти мого батька?"
"parents","Parents","Батьки"
"parents_2","I love my parents.","Я люблю своїх батьків."
"parents_3","I love my parents.","Я люблю своїх батьків."
"parents_4","I miss my parents.","Я сумую за батьками."
"parents_5","They are my parents.","Вони мої батьки."
"parents_6","My parents are taking care of me.","Мої батьки піклуються про мене."
"parents_8","Can you help me find my parents?","Чи можете ви допомогти мені знайти моїх батьків?"
"grandparents","Grandparents","Бабусі та дідусі"
"grandparents_2","I love my grandparents.","Я люблю своїх бабусь і дідусів."
"grandparents_3","I love you grandparents.","Я люблю тебе бабусь і дідусів."
"grandparents_4","I miss my grandparents.","Я сумую за бабусями та дідусями."
"grandparents_5","They are my grandparents.","Вони мої бабусі та дідусі."
"grandparents_6","My grandparents are taking care of me.","Мої бабусі та дідусі доглядають за мною."
"grandparents_8","Can you help me find my grandparents?","Чи можете ви допомогти мені знайти моїх бабусь і дідусів?"
"brother","Brother","Брат"
"brother_2","I love my brother.","Я люблю свого брата."
"brother_3","I love you brother.","Я люблю тебе, брате."
"brother_4","I miss my brother.","Я сумую за братом."
"brother_5","He is my brother.","Він мій брат."
"brother_6","My brother is taking care of me.","Мій брат піклується про мене."
"brother_8","Can you help me find my brother?","Ви можете допомогти мені знайти мого брата?"
"sister","Sister","Сестра"
"sister_2","I love my sister.","Я люблю свою сестру."
"sister_3","I love you sister.","Я люблю тебе, сестра."
"sister_4","I miss my sister.","Я сумую за сестрою."
"sister_5","She is my sister.","Вона моя сестра."
"sister_6","My sister is taking care of me.","Моя сестра піклується про мене."
"sister_8","Can you help me find my sister?","Чи можете ви допомогти мені знайти мою сестру?"
"uncle","Uncle","Дядько"
"uncle_2","I love my uncle.","Я люблю свого дядька."
"uncle_3","I love you uncle.","Я люблю тебе дядько."
"uncle_4","I miss my uncle.","Я сумую за дядьком."
"uncle_5","He is my uncle.","Він мій дядько."
"uncle_8","Can you help me find my uncle?","Чи можете ви допомогти мені знайти дядька?"
"aunt","Aunt","Тітка"
"aunt_2","I love my aunt.","Я люблю свою тітку."
"aunt_3","I love you aunt.","Я люблю тебе тітка."
"aunt_4","I miss my aunt.","Я сумую за тіткою."
"aunt_5","She is my aunt.","Вона моя тітка."
"aunt_8","Can you help me find my aunt?","Чи можете ви допомогти мені знайти мою тітку?"
"teacher","Teacher","Вчитель"
"teacher_2","I love my teacher.","Я люблю свого вчителя."
"teacher_3","I love you teacher.","Я люблю тебе вчительку"
"teacher_4","I don't like my teacher.","Я не люблю свого вчителя."
"teacher_5","I miss my teacher.","Я сумую за своїм вчителем."
"teacher_6","Thank you for the lesson.","Дякую за урок"
"therapist","Therapist","Терапевт"
"therapist_2","I love my therapist.","Я люблю свого терапевта."
"therapist_3","I love you therapist.","Я люблю тебе терапевт."
"therapist_4","I don't like my therapist.","Мені не подобається мій терапевт."
"therapist_5","I miss my therapist.","Я сумую за своїм терапевтом."
"therapist_6","Thank you for the session.","Дякую за сесію"
"doctor","Doctor","Лікар"
"doctor_2","I love my doctor.","Я люблю свого лікаря."
"doctor_3","I love you doctor.","Я люблю тебе докторе."
"doctor_4","I don't like my doctor.","Мені не подобається мій лікар."
"doctor_5","I miss my doctor.","Я сумую за своїм лікарем."
