"activities","Activities","गतिविधिहरू"
"boxers_3","Can you help me wear my boxers?","के तपाई मलाई मेरो बक्सर लगाउन मद्दत गर्न सक्नुहुन्छ?"
"vest","Vest","भेस्ट"
"vest_2","I like wearing vest.","मलाई भिंडी लगाउन मन पर्छ।"
"vest_3","Can you help me wear my vest?","के तपाइँ मलाई मेरो बनियस्ट लगाउन सहयोग गर्न सक्नुहुन्छ?"
"pamela-hat","Pamela hat","पामेला टोपी"
"pamela-hat_2","I like wearing pamela hat.","मलाई पामेला टोपी लगाउन मन पर्छ।"
"pamela-hat_3","Can you help me wear my pamela hat?","के तपाई मलाई मेरो पामेला टोपी लगाउन सहयोग गर्न सक्नुहुन्छ?"
"high-heels","High heels","हाई हिल्स"
"high-heels_2","I like wearing high heels.","मलाई हाइ हिल लगाएको मन पर्छ।"
"high-heels_3","Can you help me wear my high heels?","के तपाईं मलाई मेरो हाइ हिल लगाउन सहयोग गर्न सक्नुहुन्छ?"
"overalls","Overalls","समग्र"
"overalls_2","I like wearing overalls.","मलाई चौंडा लगाउन मन पर्छ।"
"overalls_3","Can you help me wear my overalls?","के तपाईंले मलाई मेरो चौगुडा लगाउन सहयोग गर्न सक्नुहुन्छ?"
"kimono","Kimono","किमोनो"
"kimono_2","I like wearing kimono.","मलाई किमोनो लगाउनु मन पर्छ।"
"kimono_3","Can you help me wear my kimono?","के तपाईले मलाई किमोनो लगाउन सक्नुहुन्छ?"
"raincoat","Raincoat","रेनकोट"
"raincoat_2","I like wearing raincoat.","मलाई रेनकोट लगाउन मन पर्छ।"
"raincoat_3","Can you help me wear my raincoat?","के तपाई मलाई मेरो रेनकोट लगाउन सहयोग गर्न सक्नुहुन्छ?"
"bandana","Bandana","बडाना"
"bandana_2","I like wearing bandana.","मलाई बन्दना लगाउन मन पर्छ।"
"bandana_3","Can you help me wear my bandana?","के तपाईले मलाई मेरो बन्दना लगाउन मद्दत गर्न सक्नुहुन्छ?"
"beret","Beret","बेरेट"
"beret_2","I like wearing beret.","मलाई बेरेट लगाउन मन पर्छ।"
"beret_3","Can you help me wear my beret?","के तपाई मलाई मेरो बेरेट लगाउन सहयोग गर्न सक्नुहुन्छ?"
"knit-hat","Knit hat","बुनाई टोपी"
"knit-hat_2","I like wearing knit hat.","मलाई बुनेको टोपी लगाउन मन पर्छ।"
"knit-hat_3","Can you help me wear my knit hat?","के तपाइँले मेरो बुनाको टोपी लगाउन मद्दत गर्न सक्नुहुन्छ?"
"suspenders","Suspenders","निलम्बकहरू"
"suspenders_2","I like wearing suspenders.","मलाई सस्पेन्डर लगाउन मन पर्छ।"
"suspenders_3","Can you help me wear my suspenders?","के तपाईं मलाई मेरो निलम्बक लगाउन मद्दत गर्न सक्नुहुन्छ?"
"mitten","Mitten","Mitten"
"mitten_2","I like wearing mitten.","मलाई मिट्टिन लगाएको मन पर्छ।"
"mitten_3","Can you help me wear my mitten?","के तपाईले मेरो कपडा लगाउन सक्नुहुन्छ?"
"suit","Suit","सूट"
"suit_2","I like wearing suit.","मलाई सूट लगाउन मन पर्छ।"
"suit_3","Can you help me wear my suit?","के तपाई मलाई मेरो सूट लगाउन सहयोग गर्न सक्नुहुन्छ?"
"coat","Coat","कोट"
"coat_2","I like wearing coat.","मलाई कोट लगाउन मन पर्छ।"
"coat_3","Can you help me wear my coat?","के तिमी मलाई मेरो कोट लगाउन सहयोग गर्न सक्छौ?"
"trench-coat","Trench coat","खाई कोट"
"trench-coat_2","I like wearing trench coat.","मलाई खाई कोट लगाउन मन पर्छ।"
"trench-coat_3","Can you help me wear my trench coat?","के तपाईले मेरो खाडो कोट लगाउन सहयोग गर्न सक्नुहुन्छ?"
"colors","Colors","र .्ग"
"crayons","Crayons","Crayons"
"crayons_2","I like crayons.","मलाई क्रेयन्स मन पर्छ।"
"crayons_3","Can you give me crayons?","तपाईं मलाई crayons दिन सक्नुहुन्छ?"
"crayons_4","I want to draw using my crayons.","म मेरा crayons को प्रयोग गरी चित्र बनाउन चाहन्छु।"
"red","Red","रातो"
"red_2","It is red.","यो रातो छ।"
"red_3","My favorite color is red.","मेरो मनपर्ने रंग रातो छ।"
"red_4","Can you give me red paint?","के तपाई मलाई रातो रंग दिन सक्नुहुन्छ?"
"blue","Blue","निलो"
"blue_2","It is blue.","यो निलो छ।"
"blue_3","My favorite color is blue.","मेरो मनपर्ने रंग निलो छ।"
"blue_4","Can you give me blue paint?","के तिमी मलाई निलो पेन्ट दिन सक्छौ?"
"orange","Orange","सुन्तला रंग"
"orange_2","It is orange color.","यो सुन्तला रंग हो।"
"orange_3","My favorite color is orange.","मेरो मनपर्ने रंग सुन्तला रंगको छ।"
"orange_4","Can you give me orange paint?","के तपाई मलाई सुन्तला रंग दिन सक्नुहुन्छ?"
"green","Green","हरियो"
"green_2","It is green.","यो हरियो छ।"
"green_3","My favorite color is green.","मेरो मनपर्ने रंग हरियो छ।"
"green_4","Can you give me green paint?","के तपाई मलाई हरियो पेन्ट दिन सक्नुहुन्छ?"
"yellow","Yellow","पहेंलो"
"yellow_2","It is yellow.","यो पहेंलो छ।"
"yellow_3","My favorite color is yellow.","मेरो मनपर्ने रंग पहेंलो छ।"
"yellow_4","Can you give me yellow paint?","के तिमी मलाई पहेलो रंग दिन सक्छौ?"
"purple","Purple","बैजनी"
"purple_2","It is purple.","यो बैजनी हो।"
"purple_3","My favorite color is purple.","मेरो मनपर्ने रंग बैजनी हो।"
"purple_4","Can you give me purple paint?","के तपाई मलाई बैजनी रंग लगाउन सक्नुहुन्छ?"
"pink","Pink","गुलाबी"
"pink_2","It is pink.","यो गुलाबी छ।"
"pink_3","My favorite color is pink.","मेरो मनपर्ने रंग गुलाबी छ।"
"pink_4","Can you give me pink paint?","के तपाई मलाई गुलाबी रंग दिन सक्नुहुन्छ?"
"brown","Brown","खैरो"
"brown_2","It is brown.","यो खैरो छ।"
"brown_3","My favorite color is brown.","मेरो मनपर्ने रंग खैरो छ।"
"brown_4","Can you give me brown paint?","के तपाई मलाई ब्राउन पेन्ट दिन सक्नुहुन्छ?"
"black","Black","कालो"
"black_2","It is black.","यो कालो छ।"
"black_3","My favorite color is black.","मेरो मनपर्ने रंग कालो छ।"
"black_4","Can you give me black paint?","के तपाई मलाई कालो रंग दिन सक्नुहुन्छ?"
"white","White","सेतो"
"white_2","It is white.","यो सेतो छ।"
"white_3","My favorite color is white.","मेरो मनपर्ने रंग सेतो छ।"
"white_4","Can you give me white paint?","के तिमी मलाई सेतो पेन्ट दिन सक्छौ?"
"gray","Gray","खैरो"
"gray_2","It is gray.","यो खैरो छ"
"gray_3","My favorite color is gray.","मेरो मनपर्ने रंग खरानी छ।"
"gray_4","Can you give me gray paint?","तपाईं मलाई खैरो र give्ग दिन सक्नुहुन्छ?"
"transparent","Transparent","पारदर्शी"
"transparent_2","It is transparent.","यो पारदर्शी छ।"
"transparent_3","I can see behind transparent color.","म पारदर्शी र behind पछाडि देख्न सक्छु।"
"transparent_4","Can you help me erase?","के तपाई मलाई मेट्न मद्दत गर्न सक्नुहुन्छ?"
"cyan","Cyan","सियान"
"cyan_2","It is cyan.","यो सियान हो।"
"cyan_3","My favorite color is cyan.","मेरो मनपर्ने रंग स्यान हो।"
"cyan_4","Can you give me cyan paint?","के तपाई मलाई स्यान पेन्ट दिन सक्नुहुन्छ?"
"violet","Violet","बैंगनी"
"violet_2","It is violet.","यो बैजनी हो।"
"violet_3","My favorite color is violet.","मेरो मनपर्ने रंग बैजनी हो।"
"violet_4","Can you give me violet paint?","के तपाई मलाई बैजनी पेन्ट दिन सक्नुहुन्छ?"
"turquoise","Turquoise","फ़िरोज़ाइ"
"turquoise_2","It is turquoise.","यो फ़िरोज़ा हो।"
"turquoise_3","My favorite color is turquoise.","मेरो मनपर्ने रंग फ़िरोज़ाई हो।"
"turquoise_4","Can you give me turquoise paint?","के तपाई मलाई फ़िरोज़ा पेंट दिन सक्नुहुन्छ?"
"lime","Lime","लाइम"
"lime_2","It is lime.","यो चुना छ।"
"lime_3","My favorite color is lime.","मेरो मनपर्ने रंग चुना छ।"
"lime_4","Can you give me lime paint?","के तपाई मलाई चुना रंग दिन सक्नुहुन्छ?"
"plum","Plum","आलुबखडा"
"plum_2","It is plum.","यो बेर छ।"
"plum_3","My favorite color is plum.","मेरो मनपर्ने रंग प्लम हो।"
"plum_4","Can you give me plum paint?","के तपाई मलाई बेर पेन्ट दिन सक्नुहुन्छ?"
"tan","Tan","ट्यान"
"tan_2","It is tan color.","यो ट्यान रंग हो।"
"tan_3","My favorite color is tan color.","मेरो मनपर्ने रंग ट्यान रंग हो।"
"tan_4","Can you give me tan color paint?","के तपाई मलाई ट्यान कलर पेन्ट दिन सक्नुहुन्छ?"
"avocado","Avocado","एभोकैडो"
"avocado_2","It is avocado color.","यो avocado रंग हो।"
"avocado_3","My favorite color is avocado color.","मेरो मनपर्ने रंग avocado रंग हो।"
"avocado_4","Can you give me avocado color paint?","तपाईं मलाई avocado रंग रंग दिन सक्नुहुन्छ?"
"barbie-pink","Barbie pink","बार्बी गुलाबी"
"barbie-pink_2","It is barbie pink color.","यो बार्बी गुलाबी रंग हो।"
"barbie-pink_3","My favorite color is barbie pink.","मेरो मनपर्ने रंग बार्बी गुलाबी हो।"
"barbie-pink_4","Can you give me barbie pink paint?","के तपाइँ मलाई बार्बी गुलाबी रंग दिन सक्नुहुन्छ?"
"blizzard-blue","Blizzard blue","हिमपात निलो"
"blizzard-blue_2","It is blizzard blue color.","यो हिमपात निलो रंग हो।"
"blizzard-blue_3","My favorite color is blizzard blue color.","मेरो मनपर्ने रंग blizzard निलो रंग हो।"
"blizzard-blue_4","Can you give me blizzard blue paint?","के तपाई मलाई हिमपहिरो निलो पेन्ट दिन सक्नुहुन्छ?"
"conversation","Conversation","कुराकानी"
"me","Me","म"
"me_2","My name is {name}","मेरो नाम {name is हो"
"me_3","I'm {name}","म {नाम}"
"me_4","Do you know my name?","के तपाईंलाई मेरो नाम थाहा छ?"
"me_5","What is your name?","तिम्रो नाम के हो?"
"me_6","Nice to meet you!","तपाईँलाई भेटेर खुशी लाग्यो!"
"me_7","Do you like me?","के तिमी मलाई मन पराउछौ?"
"me_8","Can we be friends?","के हामी साथी बन्न सक्छौं?"
"me_9","I'm using assistive communication app.","म सहयोगी संचार अनुप्रयोग प्रयोग गर्दैछु।"
"me_10","Who are you?","तिमी को हौ?"
"hello","Hello","नमस्कार"
"hello_2","Hello.","नमस्कार"
"hello_3","Hi.","नमस्ते।"
"hello_4","Greetings.","अभिवादन।"
"hello_5","How are you?","तिमीलाई कस्तो छ?"
"hello_6","Nice to meet you!","तपाईँलाई भेटेर खुशी लाग्यो!"
"help","Help","मद्दत"
"help_2","Help me.","मलाई सहयोग गर।"
"help_3","Can you help me?","के तपाईँ मलाई मद्दत गर्न सक्नुहुन्छ?"
"help_4","I need help","मलाई सहयोग चाहियो"
"help_5","Do you need help?","के तिमीलाई सहयोग चाहिन्छ?"
"yes","Yes","हो"
"yes_2","Yes.","हो।"
"yes_3","Yes please.","हो, कृपया"
"yes_4","Alright.","ठिकै छ।"
"yes_5","Agreed.","सहमत"
"yes_6","I want to.","म चाहन्छु।"
"yes_7","I would like to.","म चाहन्छु।"
"no","No","होइन"
"no_2","No.","होईन"
"no_3","Nope.","होईन।"
"no_4","Never.","कहिले पनि हुँदैन।"
"no_5","I don't want to.","म गर्न चाहन्न।"
"no_6","I don't like it.","मलाई यो मन पर्दैन।"
"no_7","You don't like it?","तिमीलाई यो मन पर्दैन?"
"no_8","Why you don't like it?","किन तपाईंलाई यो मनपर्दैन?"
"toilet","Toilet","शौचालय"
"toilet_2","I need to go to the toilet.","मलाई शौचालय जानु पर्छ।"
"toilet_3","I need to pee.","मलाई पेशाब गर्नु पर्छ।"
"toilet_4","I need to poop.","मलाई पप गर्नु पर्छ।"
"toilet_5","Can you help me go to the toilet?","के तपाई मलाई शौचालय जान सहयोग गर्न सक्नुहुन्छ?"
"toilet_6","Can you help me clean?","के तपाई मलाई सफा गर्न मद्दत गर्न सक्नुहुन्छ?"
"toilet_7","I peed myself.","मैले आफैलाई हेरें।"
"toilet_8","I pooped myself.","मैले आफूलाई पोप गरें।"
"what","What","के"
"what_2","What is that?","त्यो के हो?"
"what_3","What does it mean?","यसको मतलब के हो?"
"what_4","What do you mean?","तपाईको मतलब के हो?"
"what_5","Can you explain it?","के तपाई यसलाई व्याख्या गर्न सक्नुहुन्छ?"
"what_6","Can you repeat what you said?","के तपाईले भनेको कुरा दोहोर्याउन सक्नुहुन्छ?"
"what_7","I don't understand.","मैले बुझिन"
"sleep","Sleep","निन्द्रा"
"sleep_2","I want to sleep.","म सुत्न चाहन्छु।"
"sleep_3","I don't want to sleep.","म सुत्न चाहन्न।"
"sleep_4","I'm tired.","म थाकेको छु।"
"sleep_5","Are you tired?","के तिमि थकित छौ?"
"sleep_6","When am I going to sleep?","म कहिले सुत्न जान्छु?"
"sleep_7","I want to take a nap.","म झोला लिन चाहन्छु।"
"bath","Bath","नुहाउनु"
"bath_2","I want to take a bath.","म नुहाउन चाहन्छु"
"bath_3","I like taking a bath.","मलाई नुहाउन मन पर्छ।"
"bath_4","I want to wash my hands.","म मेरो हात धुने चाहान्छु।"
"bath_5","I want to take a shower.","म नुहाउन चाहन्छु।"
"bath_6","I want to clean myself.","म आफूलाई सफा गर्न चाहन्छु।"
"bath_7","Can you help me take a bath?","के तपाई मलाई नुहाउन सक्नुहुन्छ?"
"bath_8","I don't want to take a bath.","म नुहाउन चाहन्न।"
"listen","Listen","सुन्नुहोस्"
"listen_2","Listen to me.","मेरो कुरा सुन्नुहोस्।"
"listen_3","Can you listen to me?","के तिमी मलाई सुन्न सक्छौ?"
"listen_4","Listen to music.","संगीतलाई सुन।"
"listen_5","Listening to my parents.","मेरो अभिभावकको कुरा सुन्दै।"
"listen_6","Listen to what my application is saying!","मेरो अनुप्रयोग के भनिरहेछ सुन्नुहोस्!"
"morning","Morning","बिहान"
"morning_2","Good morning.","शुभ - प्रभात।"
"morning_3","I like mornings.","मलाई बिहान मन पर्छ।"
"morning_4","In the morning.","बिहानी पख।"
"morning_5","Morning time.","बिहानको समय।"
"morning_6","Is it morning?","बिहान छ?"
"night","Night","रात"
"night_2","Good night!","शुभ रात्री!"
"night_3","I like nights.","मलाई रातहरू मन पर्छ।"
"night_4","At night.","रातमा।"
"night_5","Night time.","रातको समय"
"night_6","Is it night?","के यो रात हो?"
"look","Look","हेर"
"look_2","Look at me.","मलाई हेर।"
"look_3","Look at this.","यसलाई हेर त।"
"look_4","Are you looking?","के तपाई हेर्दै हुनुहुन्छ?"
"look_5","Look at my drawing.","मेरो चित्र हेरौं।"
"look_6","How do I look?","म कस्ताे देखिइरहेकाे छु?"
"look_7","Look what I did.","हेर मैले के गरे।"
"look_8","Let's look at that.","यसलाई हेरौं।"
"speak","Speak","बोल्नुहोस्"
"speak_2","I'm learning how to speak.","म कसरी बोल्ने भनेर सिक्दै छु।"
"speak_3","I want to speak.","म बोल्न चाहन्छु।"
"speak_4","Can I speak with you?","म तिमीसंग कुरा गर्न सक्छु?"
"speak_5","I like speaking.","मलाई बोल्न मन पर्छ।"
"speak_6","I'm using assistive communication app.","म सहयोगी संचार अनुप्रयोग प्रयोग गर्दैछु।"
"play","Play","खेल्नु"
"play_2","I love playing.","मलाई खेल्न मन पर्छ।"
"play_3","Can you play with me?","के तिमी मसँग खेल्न सक्छौ?"
"play_4","I want to play with you!","म तिमीसँग खेल्न चाहन्छु!"
"play_5","I want to play with my friends.","म मेरा साथीहरूसँग खेल्न चाहन्छु।"
"play_6","I don't want to play with you.","म तिमीसँग खेल्न चाहन्न।"
"outside","Outside","बाहिर"
"outside_2","I love going outside.","मलाई बाहिर जान मन पर्छ।"
"outside_3","I want to go outside.","म बाहिर जान चाहन्छु।"
"outside_4","Is it cold outside?","के बाहिर चिसो छ?"
"outside_5","I don't like outside.","मलाई बाहिर मन पर्दैन।"
"outside_6","Can I go outside?","के म बाहिर जान सक्छु?"
"home","Home","घर"
"home_2","I love my home.","मलाई मेरो घर मन पर्छ।"
"home_3","I want to go home.","म घर जान चाहन्छु।"
"home_4","Where is your home?","तिम्रो घर कहाँ छ?"
"home_5","Home sweet home.","घर प्यारो घर।"
"home_6","I'm in the house.","म घरमा छु"
"home_7","I'm not in the house.","म घरमा छैन।"
"hurt","Hurt","चोट"
"hurt_2","I'm hurt.","म दुखित छु"
"hurt_3","Are you hurt?","तपाईलाई चोट पुगेको छ?"
"hurt_4","Did I hurt you?","के मैले तिमीलाई चोट पुर्‍यायो?"
"hurt_5","I didn't mean to hurt you!","मैले तिमीलाई चोट पुर्याउनु भनेको होइन।"
"hurt_6","Is it going to hurt?","के यसले चोट पुर्‍याइरहेको छ?"
"hurt_7","I have a headache.","मेरो टाउको ढुखेको छ।"
"hurt_8","I have a stomach ache.","मलाई पेट दुख्ने छ।"
"hurt_9","My genitals hurt.","मेरो जननांगमा चोट लाग्यो।"
"hurt_10","My foot hurts.","मेरो खुट्टा दुख्छ।"
"feelings","Feelings","भावनाहरु"
"happy","Happy","खुशी"
"happy_2","I'm happy.","म खुसी छु।"
"happy_3","I feel happy.","म खुसी छु"
"happy_4","Do you feel happy?","के तपाई खुशी हुनुहुन्छ?"
"happy_5","I want to feel happy.","म खुशी महसुस गर्न चाहन्छु।"
"happy_6","You are making me happy.","तपाईंले मलाई खुशी पार्दै हुनुहुन्छ।"
"sad","Sad","दुखः"
"sad_2","I'm sad.","म दुखि छु; मलाई पिर परेको छ।"
"sad_3","I feel sad.","म दु: खी छु।"
"sad_4","Do you feel sad?","के तपाई दु: खी हुनुहुन्छ?"
"sad_5","I don't want to feel sad.","म दु: खी महसुस गर्न चाहन्न।"
"sad_6","You are making me sad.","तिमीले मलाई दु: खी बनाइरहेका छौ।"
"exhausted","Exhausted","थकित"
"exhausted_2","I'm exhausted.","म थाकेको छु।"
"exhausted_3","I feel exhausted.","म थाकेको महसुस गर्छु।"
"exhausted_4","Do you feel exhausted?","के तपाईं थाकेको महसुस गर्नुहुन्छ?"
"exhausted_5","I don't want to be exhausted.","म थकित हुन चाहन्न।"
"relaxed","Relaxed","आराम"
"relaxed_2","I'm relaxed.","म आराम पाएको छु"
"relaxed_3","I feel relaxed.","म ढुक्क महसुस गर्छु।"
"relaxed_4","Do you feel relaxed?","के तपाई सजिलो महसुस गर्नुहुन्छ?"
"relaxed_5","I want to feel relaxed.","म आराम महसुस गर्न चाहन्छु।"
"in-love","In love","मायामा"
"in-love_2","I'm in love.","म मायामा छु"
"in-love_3","I feel in love.","म मायामा महसुस गर्छु।"
"in-love_4","Are you in love?","के तिमी मायामा छौ?"
"in-love_5","I want to fall in love.","म प्रेममा पर्न चाहन्छु।"
"in-love_6","Do you love me?","के तिमी मलाई प्रेम गर्छौं?"
"stressed","Stressed","तनावग्रस्त"
"stressed_2","I'm stressed.","म तनावमा छु"
"stressed_3","I feel stressed.","म तनाव महसुस गर्छु।"
"stressed_4","Do you feel stressed?","के तपाईं तनाव महसुस गर्नुहुन्छ?"
"stressed_5","I don't want to feel stressed.","म तनाव महसुस गर्न चाहन्न।"
"thankful","Thankful","धन्यबाद"
"thankful_2","I'm thankful.","म धन्यवादी छु"
"thankful_3","I feel thankful.","म धन्यवादी छु।"
"thankful_4","Do you feel thankful?","के तपाईं धन्यवादी महसुस गर्नुहुन्छ?"
"thankful_5","I want to feel thankful.","म धन्यवादी हुन चाहन्छु।"
"confused","Confused","भ्रमित"
"confused_2","I'm confused.","मा दोधारमा छु।"
"confused_3","I feel confused.","म अलमल्लमा छु।"
"confused_4","Do you feel confused?","के तपाई अलमल्लमा पर्नुहुन्छ?"
"confused_5","You are confusing me.","तपाईं मलाई भ्रमित गर्दै हुनुहुन्छ।"
"joyful","Joyful","रमाईलो"
"joyful_2","I'm joyful.","म खुसी छु"
"joyful_3","I feel joyful.","म आनन्दित छु।"
"joyful_4","Do you feel joyful?","तपाईं आनन्दित महसुस गर्नुहुन्छ?"
"joyful_5","I want to feel joyful.","म रमाईलो गर्न चाहन्छु।"
"angry","Angry","रिसाएको"
"angry_2","I'm angry.","म रिसाएको छु।"
"angry_3","I feel angry.","म रिसाएको महसुस गर्छु।"
"angry_4","Do you feel angry?","के तपाई रिसाउनुहुन्छ?"
"angry_5","I'm angry at you.","म तिमीमा रिसाएको छु।"
"angry_6","You are making me angry.","तपाईं मलाई क्रोधित गर्दै हुनुहुन्छ।"
"smart","Smart","स्मार्ट"
"smart_2","I'm smart.","म चतुर छु"
"smart_3","I feel smart.","म चतुर छु"
"smart_4","Do you feel smart?","के तिमी चलाख छौ?"
"smart_5","Am I smart?","के म चलाख छु?"
"smart_6","You are smart!","तपाईं चलाख हुनुहुन्छ!"
"afraid","Afraid","डराएको"
"afraid_2","I'm afraid.","म डराउछु।"
"afraid_3","I feel afraid.","म डराउँछु।"
"afraid_4","Do you feel afraid?","के तपाई डराउनुहुन्छ?"
"afraid_5","I don't want to feel afraid.","म डराउन चाहन्न।"
"afraid_6","You are scaring me.","तिमी मलाई डराइरहेका छौ।"
"ashamed","Ashamed","लज्जित"
"ashamed_2","I'm ashamed.","म लज्जित छु"
"ashamed_3","I feel ashamed.","मलाई लाज लाग्छ।"
"ashamed_4","Do you feel ashamed?","के तपाईलाई लाज लाग्छ?"
"ashamed_5","I don't want to feel ashamed.","म लाज महसुस गर्न चाहन्न।"
"shocked","Shocked","स्तब्ध भयो"
"shocked_2","I'm shocked.","म स्तब्ध छु।"
"shocked_3","I feel shocked.","म स्तब्ध महसुस गर्छु।"
"shocked_4","Do you feel shocked?","के तपाईं स्तब्ध महसुस गर्नुहुन्छ?"
"shocked_5","You shocked me.","तपाईंले मलाई चकित पार्नुभयो।"
"sick","Sick","बिरामी"
"sick_2","I'm sick.","म बिरामी छु।"
"sick_3","I feel sick.","म विरामी महसुस गर्दैछु।"
"sick_4","Do you feel sick?","के तपाई बिरामी हुनुहुन्छ?"
"sick_5","I don't want to be sick.","म बिरामी हुन चाहन्न।"
"sick_6","I'm sick of the food.","म खानाबाट बिरामी छु।"
"frustrated","Frustrated","निराश"
"frustrated_2","I'm frustrated.","म निराश छु"
"frustrated_3","I feel frustrated.","म निराश महसुस गर्छु।"
"frustrated_4","Do you feel frustrated?","के तपाई निराश हुनुहुन्छ?"
"frustrated_5","I don't want to feel frustrated.","म निराश महसुस गर्न चाहान्दिन।"
"excited","Excited","उत्साहित"
"excited_2","I'm excited.","म उत्साहित छु।"
"excited_3","I feel excited.","म उत्साहित छु।"
"excited_4","Do you feel excited?","के तपाई उत्साहित हुनुहुन्छ?"
"excited_5","I don't want to feel excited.","म उत्साहित महसुस गर्न चाहन्न।"
"nauseated","Nauseated","उल्टो"
"nauseated_2","I'm nauseated.","मलाई मतली लाग्यो।"
"nauseated_3","I feel nauseated.","मलाई मतली लाग्यो।"
"nauseated_4","Do you feel nauseated?","के तपाई मतली महसुस गर्नुहुन्छ?"
"nauseated_5","I don't want to feel nauseated.","म मतली महसुस गर्न चाहन्न।"
"agitated","Agitated","आक्रोशित"
"agitated_2","I'm agitated.","म चिन्तित छु।"
"agitated_3","I feel agitated.","म चिन्तित छु।"
"agitated_4","Do you feel agitated?","के तपाई चिन्तित हुनुहुन्छ?"
"agitated_5","I don't want to feel agitated.","म चिन्तित महसुस गर्न चाहन्न।"
"food","Food","खाना"
"hungry","Hungry","भोक लाग्यो"
"hungry_2","I'm hungry.","मलाई भोक लागेको छ"
"hungry_3","Are you hungry?","के तिमीलाई भोक लगेको छ?"
"hungry_4","Can you make me food?","के तपाई मलाई खाना बनाउन सक्नुहुन्छ?"
"hungry_5","What is for dinner?","खानाको लागि के हो?"
"thirsty","Thirsty","तिर्खाएको"
"thirsty_2","I'm thirsty.","मलाई तिर्खा लागेको छ"
"thirsty_3","Can I have some water?","के म केही पानी लिन सक्छु?"
"thirsty_4","Can I have a glass of water?","के म एक गिलास पानी लिन सक्छु?"
"thirsty_5","I want something to drink.","म केहि पिउन चाहन्छु।"
"cutlery","Cutlery","कटलरी"
"cutlery_2","I need cutlery.","मलाई कटलरी चाहिन्छ।"
"cutlery_3","Help me use cutlery.","मलाई कटलरी प्रयोग गर्न मद्दत गर्नुहोस्।"
"cutlery_4","I need a fork.","मलाई काँटा चाहिन्छ"
"cutlery_5","I need a spoon.","मलाई एक चम्चा चाहिन्छ।"
"cutlery_6","I need chopsticks.","मलाई चपस्टिक आवश्यक छ।"
"cutlery_7","I need a knife.","मलाई चक्कु चाहिन्छ"
"cutlery_8","I need a napkin.","मलाई रुमाल चाहिन्छ।"
"apple","Apple","स्याऊ"
"apple_2","I like apple.","मलाई स्याउ मन पर्छ।"
"apple_3","I don't like apple.","मलाई स्याउ मनपर्दैन।"
"apple_4","I want to eat an apple.","मलाई स्याउ खान मन छ।"
"carrot","Carrot","गाजर"
"carrot_2","I like carrot.","मलाई गाजर मन पर्छ।"
"carrot_3","I don't like carrot.","मलाई गाजर मनपर्दैन।"
"carrot_4","I want to eat a carrot.","म गाजर खान चाहन्छु।"
"beans","Beans","सिमी"
"beans_2","I like beans.","मलाई सिमी मन पर्छ।"
"beans_3","I don't like beans.","मलाई सिमी मनपर्दैन।"
"beans_4","I want to eat beans.","म सिमी खान चाहन्छु।"
"chicken_5","I want fried chicken.","मलाई फ्राइड कुखुरा चाहिन्छ।"
"chicken_6","I want boiled chicken.","मलाई उमालेको कुखुरा चाहिन्छ।"
"chocolate","Chocolate","चकलेट"
"chocolate_2","I like chocolate.","मलाई चकलेट मन पर्छ।"
"chocolate_3","I don't like chocolate.","मलाई चकलेट मनपर्दैन।"
"chocolate_4","I want to eat chocolate.","म चकलेट खान चाहन्छु।"
"chocolate_5","I want dark chocolate.","मलाई गाढा चकलेट चाहिएको छ।"
"chocolate_6","I want white chocolate.","मलाई सेतो चकलेट चाहिएको छ।"
"milk","Milk","दूध"
"milk_2","I like milk.","मलाई दुध मन पर्छ।"
"milk_3","I don't like milk.","मलाई दुध मन पर्दैन।"
"milk_4","I want to drink milk.","म दुध पिउन चाहन्छु।"
"milk_5","Can I have a glass of milk?","के म एक गिलास दूध पाउन सक्छु?"
"sandwich","Sandwich","स्यान्डविच"
"sandwich_2","I like sandwich.","मलाई स्यान्डविच मन पर्छ।"
"sandwich_3","I don't like sandwich.","मलाई स्यान्डविच मन पर्दैन।"
"sandwich_4","I want to eat a sandwich.","म स्यान्डविच खान चाहन्छु।"
"sandwich_5","Can you make me a sandwich?","के तपाई मलाई स्यान्डविच बनाउन सक्नुहुन्छ?"
"steak","Steak","स्टेक"
"steak_2","I like steak.","मलाई स्टेक मन पर्छ।"
"steak_3","I don't like steak.","मलाई स्टेक मनपर्दैन"
"steak_4","I want to eat steak.","म स्टेक खान चाहन्छु।"
"steak_5","Can you cook steak for me?","के तपाई मेरो लागि स्टेक पकाउन सक्नुहुन्छ?"
"banana","Banana","केरा"
"banana_2","I like banana.","मलाई केरा मन पर्छ"
"banana_3","I don't like banana.","मलाई केरा मनपर्दैन।"
"banana_4","I want to eat a banana.","म एउटा केरा खान चाहन्छु।"
"pie","Pie","पाई"
"pie_2","I like pie.","मलाई केक मन पर्छ।"
"pie_3","I don't like pie.","मलाई पाई मन पर्दैन।"
"pie_4","I want to eat pie.","म पाई खान चाहन्छु।"
"pie_5","Can you bake a pie for me?","के तपाई मेरो लागि पाई बेच्न सक्नुहुन्छ?"
"egg","Egg","अण्डा"
"egg_2","I like egg.","मलाई अण्डा मन पर्छ।"
"egg_3","I don't like egg.","मलाई अण्डा मनपर्दैन।"
"egg_4","I want to eat egg.","म अण्डो खान चाहन्छु।"
"egg_5","I want fried eggs.","मलाई फ्राइड अण्डा चाहिन्छ।"
