"activities","Activities","Lelakon"
"transparent","Transparent","Transparan"
"transparent_2","It is transparent.","Iku transparan."
"transparent_3","I can see behind transparent color.","Aku bisa ndeleng konco warna transparan."
"transparent_4","Can you help me erase?","Sampeyan bisa ngewangi aku ngilang?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","Iku sian."
"cyan_3","My favorite color is cyan.","Werna favoritku yaiku cyan."
"cyan_4","Can you give me cyan paint?","Sampeyan bisa menehi cet cyan?"
"violet","Violet","Violet"
"violet_2","It is violet.","Iku violet."
"violet_3","My favorite color is violet.","Werna favoritku violet."
"violet_4","Can you give me violet paint?","Sampeyan bisa menehi cat violet?"
"turquoise","Turquoise","Pirus"
"turquoise_2","It is turquoise.","Kuwi pirus."
"turquoise_3","My favorite color is turquoise.","Werna favoritku yaiku pirus."
"turquoise_4","Can you give me turquoise paint?","Sampeyan bisa menehi cat pirus?"
"lime","Lime","Jeruk jeruk"
"lime_2","It is lime.","Iku jeruk."
"lime_3","My favorite color is lime.","Werna favoritku jeruk."
"lime_4","Can you give me lime paint?","Sampeyan bisa menehi kula cat jeruk?"
"plum","Plum","Plum"
"plum_2","It is plum.","Iku plum."
"plum_3","My favorite color is plum.","Werna favoritku iki plum."
"plum_4","Can you give me plum paint?","Sampeyan bisa menehi kula cat plum?"
"tan","Tan","Tan"
"tan_2","It is tan color.","Iki minangka warna tan."
"tan_3","My favorite color is tan color.","Werna favoritku yaiku warna tan."
"tan_4","Can you give me tan color paint?","Sampeyan bisa menehi kula cat warna tan?"
"avocado","Avocado","Avocado"
"avocado_2","It is avocado color.","Werna warna alpukat."
"avocado_3","My favorite color is avocado color.","Werna favoritku yaiku warna alpukat"
"avocado_4","Can you give me avocado color paint?","Sampeyan bisa menehi cat warna avocado?"
"barbie-pink","Barbie pink","Jambon jambon"
"barbie-pink_2","It is barbie pink color.","Iku warna pink pink."
"barbie-pink_3","My favorite color is barbie pink.","Werna favoritku yaiku barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Sampeyan bisa menehi kula cat pink pink?"
"blizzard-blue","Blizzard blue","Birune biru"
"blizzard-blue_2","It is blizzard blue color.","Werna biru blizzard."
"blizzard-blue_3","My favorite color is blizzard blue color.","Werna favoritku yaiku warna biru blizzard."
"blizzard-blue_4","Can you give me blizzard blue paint?","Sampeyan bisa menehi cet biru blizzard?"
"conversation","Conversation","Obrolan"
"me","Me","Aku"
"me_2","My name is {name}","Nami kula jenenge"
"me_3","I'm {name}","Aku jenenge"
"me_4","Do you know my name?","Apa kowe ngerti jenengku?"
"me_5","What is your name?","Sopo jenengmu"
"me_6","Nice to meet you!","Seneng ketemu kowe!"
"me_7","Do you like me?","Opo kowe seneng karo aku?"
"me_8","Can we be friends?","Apa kita bisa kekancan?"
"me_9","I'm using assistive communication app.","Aku nggunakake aplikasi komunikasi sing mbiyantu."
"me_10","Who are you?","Sopo kowe?"
"hello","Hello","Halo"
"hello_2","Hello.","Halo."
"hello_3","Hi.","Halo."
"hello_4","Greetings.","Salam."
"hello_5","How are you?","Piye kabare?"
"hello_6","Nice to meet you!","Seneng ketemu kowe!"
"help","Help","Pitulung"
"help_2","Help me.","Tulungi aku."
"help_3","Can you help me?","Isa nulungi aku ora?"
"help_4","I need help","Aku butuh pitulung"
"help_5","Do you need help?","Opo kowe butuh pitulungan?"
"yes","Yes","Ya"
"yes_2","Yes.","Ya."
"yes_3","Yes please.","Iyo, monggo."
"yes_4","Alright.","Ora apa-apa."
"yes_5","Agreed.","Setuju."
"yes_6","I want to.","Aku pengin."
"yes_7","I would like to.","Aku pengen."
"no","No","Ora"
"no_2","No.","Ora."
"no_3","Nope.","Ora."
"no_4","Never.","Ora bakal nate."
"no_5","I don't want to.","Aku ora pengin."
"no_6","I don't like it.","Aku ora seneng."
"no_7","You don't like it?","Sampeyan ora seneng?"
"no_8","Why you don't like it?","Napa sampeyan ora seneng?"
"toilet","Toilet","Tandhang"
"toilet_2","I need to go to the toilet.","Aku kudu menyang toilet."
"toilet_3","I need to pee.","Aku kudu nguyuh."
"toilet_4","I need to poop.","Aku kudu poop."
"toilet_5","Can you help me go to the toilet?","Sampeyan bisa mbantu aku menyang jamban?"
"toilet_6","Can you help me clean?","Sampeyan bisa mbantu aku ngresiki?"
"toilet_7","I peed myself.","Aku ngilo dhewe."
"toilet_8","I pooped myself.","Aku pooped dhewe."
"what","What","apa"
"what_2","What is that?","Apa kuwi?"
"what_3","What does it mean?","Maksuté Kepiyé?"
"what_4","What do you mean?","Apa tegese sampeyan?"
"what_5","Can you explain it?","Apa sampeyan bisa nerangake?"
"what_6","Can you repeat what you said?","Apa sampeyan bisa mbaleni apa sing sampeyan ucapake?"
"what_7","I don't understand.","Aku ora ngerti."
"sleep","Sleep","Turu"
"sleep_2","I want to sleep.","Aku pengin turu."
"sleep_3","I don't want to sleep.","Aku ora pengin turu."
"sleep_4","I'm tired.","Kula kesel."
"sleep_5","Are you tired?","Bosen banget?"
"sleep_6","When am I going to sleep?","Pas aku arep turu?"
"sleep_7","I want to take a nap.","Aku pengin njupuk turu."
"bath","Bath","Mandi"
"bath_2","I want to take a bath.","Aku kepengin banget siram."
"bath_3","I like taking a bath.","Aku seneng siram."
"bath_4","I want to wash my hands.","Aku pengin ngumbah tangan."
"bath_5","I want to take a shower.","Aku pengin mandhi."
"bath_6","I want to clean myself.","Aku pengin ngresiki dhewe."
"bath_7","Can you help me take a bath?","Apa sampeyan bisa ngewangi siram?"
"bath_8","I don't want to take a bath.","Aku ora arep adus."
"listen","Listen","Rungokake"
"listen_2","Listen to me.","Rungokake kula."
"listen_3","Can you listen to me?","Sampeyan bisa ngrungokake aku?"
"listen_4","Listen to music.","Rungokake musik."
"listen_5","Listening to my parents.","Ngrungokake wong tuwa."
"listen_6","Listen to what my application is saying!","Rungokake apa sing daklamakake!"
"morning","Morning","Enjing"
"morning_2","Good morning.","Sugeng enjang."
"morning_3","I like mornings.","Aku seneng enjing."
"morning_4","In the morning.","Ana esuk."
"morning_5","Morning time.","Wayah esuk."
"morning_6","Is it morning?","Apa esuk?"
"night","Night","Wengi"
"night_2","Good night!","Sugeng wengi!"
"night_3","I like nights.","Aku seneng wengi."
"night_4","At night.","Ing wayah wengi."
"night_5","Night time.","Wengi."
"night_6","Is it night?","Apa iku wengi?"
"look","Look","Lah"
"look_2","Look at me.","Nyawang aku."
"look_3","Look at this.","Delengen iki."
"look_4","Are you looking?","Apa sampeyan nggoleki?"
"look_5","Look at my drawing.","Deleng gambarku."
"look_6","How do I look?","Kepiye carane katon?"
"look_7","Look what I did.","Katon apa sing dak lakoni."
"look_8","Let's look at that.","Ayo goleki kasebut."
"speak","Speak","Ngomong"
"speak_2","I'm learning how to speak.","Aku sinau ngomong."
"speak_3","I want to speak.","Aku pengin ngomong."
"speak_4","Can I speak with you?","Apa bisa ngomong karo sampeyan?"
"speak_5","I like speaking.","Aku kaya ngomong."
"speak_6","I'm using assistive communication app.","Aku nggunakake aplikasi komunikasi sing mbiyantu."
"play","Play","Play"
"play_2","I love playing.","Aku seneng muter."
"play_3","Can you play with me?","Sampeyan bisa muter karo aku?"
"play_4","I want to play with you!","Aku pengin muter sampeyan!"
"play_5","I want to play with my friends.","Aku kepengin dolanan karo kanca-kancaku."
"play_6","I don't want to play with you.","Aku ora pengin muter sampeyan."
"outside","Outside","Ing njaba"
"outside_2","I love going outside.","Aku seneng njaba."
"outside_3","I want to go outside.","Aku pengin metu ing njaba."
"outside_4","Is it cold outside?","Apa njaba kadhemen ing njaba?"
"outside_5","I don't like outside.","Aku ora seneng ing njaba."
"outside_6","Can I go outside?","Apa aku bisa lunga ing njaba?"
"home","Home","Omah"
"home_2","I love my home.","Aku seneng omahku."
"home_3","I want to go home.","Aku pingin mulih."
"home_4","Where is your home?","Omah ngendi?"
"home_5","Home sweet home.","Omah manis."
"home_6","I'm in the house.","Aku ing omah."
"home_7","I'm not in the house.","Aku ora ing omah."
"hurt","Hurt","Babagan"
"hurt_2","I'm hurt.","Aku natoni."
"hurt_3","Are you hurt?","Apa sampeyan lara?"
"hurt_4","Did I hurt you?","Apa aku natoni sampeyan?"
"hurt_5","I didn't mean to hurt you!","Aku ora ateges kanggo ngganggu sampeyan!"
"hurt_6","Is it going to hurt?","Apa arep lara?"
"hurt_7","I have a headache.","Lara sirahku."
"hurt_8","I have a stomach ache.","Aku lara weteng."
"hurt_9","My genitals hurt.","Pendhaftaran alat kelamin."
"hurt_10","My foot hurts.","Sikilku nesu."
"feelings","Feelings","Rasa"
"happy","Happy","Sugeng"
"happy_2","I'm happy.","Aku seneng."
"happy_3","I feel happy.","Aku krasa seneng."
"happy_4","Do you feel happy?","Apa sampeyan seneng?"
"happy_5","I want to feel happy.","Aku pengen seneng."
"happy_6","You are making me happy.","Sampeyan nggawe aku seneng."
"sad","Sad","Sedhih"
"sad_2","I'm sad.","Aku sedhih."
"sad_3","I feel sad.","Aku rumangsa sedhih."
"sad_4","Do you feel sad?","Apa sampeyan rumangsa sedhih?"
"sad_5","I don't want to feel sad.","Aku ora pengin krasa sedhih."
"sad_6","You are making me sad.","Sampeyan nggawe aku sedih."
"exhausted","Exhausted","Kuwasa"
"exhausted_2","I'm exhausted.","Aku kesel."
"exhausted_3","I feel exhausted.","Aku krasa kesel."
"exhausted_4","Do you feel exhausted?","Apa sampeyan krasa kesel?"
"exhausted_5","I don't want to be exhausted.","Aku ora pengen kesel."
"relaxed","Relaxed","Kanthi santai"
"relaxed_2","I'm relaxed.","Aku santai."
"relaxed_3","I feel relaxed.","Aku rumangsa santai."
"relaxed_4","Do you feel relaxed?","Apa sampeyan rumangsa santai?"
"relaxed_5","I want to feel relaxed.","Aku pengin aran santai."
"in-love","In love","Ing katresnan"
"in-love_2","I'm in love.","Aku tresno."
"in-love_3","I feel in love.","Aku rasane tresna."
"in-love_4","Are you in love?","Apa sampeyan ana ing katresnan?"
"in-love_5","I want to fall in love.","Aku pengin jatuh cinta."
"in-love_6","Do you love me?","Apa kowe tresna karo aku?"
"stressed","Stressed","Ditekan"
"stressed_2","I'm stressed.","Aku ditekan."
"stressed_3","I feel stressed.","Aku rumangsa ditekan."
"stressed_4","Do you feel stressed?","Apa sampeyan aran stres?"
"stressed_5","I don't want to feel stressed.","Aku ora pengin aran ditekan."
"thankful","Thankful","Matur suwun"
"thankful_2","I'm thankful.","Aku matur nuwun."
"thankful_3","I feel thankful.","Aku rumangsa matur nuwun."
"thankful_4","Do you feel thankful?","Apa sampeyan aran matur nuwun?"
"thankful_5","I want to feel thankful.","Aku pengen rumangsa matur nuwun."
"confused","Confused","Bingung"
"confused_2","I'm confused.","Aku bingung."
"confused_3","I feel confused.","Aku krasa bingung."
"confused_4","Do you feel confused?","Apa sampeyan rumangsa bingung?"
"confused_5","You are confusing me.","Sampeyan mbingungake aku."
"joyful","Joyful","Bungah"
"joyful_2","I'm joyful.","Aku bungah."
"joyful_3","I feel joyful.","Aku rumangsa seneng."
"joyful_4","Do you feel joyful?","Apa sampeyan rumangsa bungah?"
"joyful_5","I want to feel joyful.","Aku pengen rumangsa seneng."
"angry","Angry","Duka"
"angry_2","I'm angry.","Aku nesu."
"angry_3","I feel angry.","Aku krasa duka."
"angry_4","Do you feel angry?","Apa sampeyan nesu?"
"angry_5","I'm angry at you.","Aku nesu karo sampeyan."
"angry_6","You are making me angry.","Kowe nggawe aku nesu."
"smart","Smart","Smart"
"smart_2","I'm smart.","Aku pinter."
"smart_3","I feel smart.","Aku rumangsa pinter."
"smart_4","Do you feel smart?","Apa sampeyan rumangsa pinter?"
"smart_5","Am I smart?","Apa aku pinter?"
"smart_6","You are smart!","Sampeyan pancen pinter!"
"afraid","Afraid","Wedi"
"afraid_2","I'm afraid.","Aku wedi."
"afraid_3","I feel afraid.","Aku krasa wedi."
"afraid_4","Do you feel afraid?","Apa sampeyan rumangsa wedi?"
"afraid_5","I don't want to feel afraid.","Aku ora pengin krasa wedi."
"afraid_6","You are scaring me.","Sampeyan wedi karo aku."
"ashamed","Ashamed","Kawirangan"
"ashamed_2","I'm ashamed.","Aku isin."
"ashamed_3","I feel ashamed.","Aku krasa isin."
"ashamed_4","Do you feel ashamed?","Apa sampeyan rumangsa isin?"
"ashamed_5","I don't want to feel ashamed.","Aku ora pengin krasa isin."
"shocked","Shocked","Kaget"
"shocked_2","I'm shocked.","Aku kaget."
"shocked_3","I feel shocked.","Aku rumangsa kaget."
"shocked_4","Do you feel shocked?","Apa sampeyan rumangsa kaget?"
"shocked_5","You shocked me.","Sampeyan kaget kula."
"sick","Sick","Sakit"
"sick_2","I'm sick.","Aku lara."
"sick_3","I feel sick.","Aku lara."
"sick_4","Do you feel sick?","Apa sampeyan lara?"
"sick_5","I don't want to be sick.","Aku ora pengin lara."
"sick_6","I'm sick of the food.","Aku lara panganan."
"frustrated","Frustrated","Frustasi"
"frustrated_2","I'm frustrated.","Aku frustasi."
"frustrated_3","I feel frustrated.","Aku krasa frustasi."
"frustrated_4","Do you feel frustrated?","Apa sampeyan krasa frustasi?"
"frustrated_5","I don't want to feel frustrated.","Aku ora pengin krasa frustasi."
"excited","Excited","Bungah"
"excited_2","I'm excited.","Aku bungah."
"excited_3","I feel excited.","Aku rumangsa bungah."
"excited_4","Do you feel excited?","Apa sampeyan rumangsa bungah?"
"excited_5","I don't want to feel excited.","Aku ora pengin rumangsa bungah."
"nauseated","Nauseated","Sakit"
"nauseated_2","I'm nauseated.","Aku mual."
"nauseated_3","I feel nauseated.","Ora krasa mual."
"nauseated_4","Do you feel nauseated?","Apa sampeyan krasa mual?"
"nauseated_5","I don't want to feel nauseated.","Aku ora pengin krasa mual."
"agitated","Agitated","Ageng"
"agitated_2","I'm agitated.","Aku keganggu."
"agitated_3","I feel agitated.","Aku rumangsa ganggu."
"agitated_4","Do you feel agitated?","Apa sampeyan rumangsa ganggu?"
"agitated_5","I don't want to feel agitated.","Aku ora pengin rumangsa ganggu."
"food","Food","Panganan"
"hungry","Hungry","Luwe"
"hungry_2","I'm hungry.","Aku luwe."
"hungry_3","Are you hungry?","Sampeyan luwe?"
"hungry_4","Can you make me food?","Sampeyan bisa nggawe panganan?"
"hungry_5","What is for dinner?","Apa nedha bengi?"
"thirsty","Thirsty","Ngelak"
"thirsty_2","I'm thirsty.","Aku ngelak."
"thirsty_3","Can I have some water?","Apa aku bisa nggolek banyu?"
"thirsty_4","Can I have a glass of water?","Bisa duwe kaca banyu?"
"thirsty_5","I want something to drink.","Aku pengin ngombe."
"cutlery","Cutlery","Motong"
"cutlery_2","I need cutlery.","Aku butuh cutlery."
"cutlery_3","Help me use cutlery.","Tulungi aku nganggo cutlery."
"cutlery_4","I need a fork.","Aku butuh garpu."
"cutlery_5","I need a spoon.","Aku butuh sendok."
"cutlery_6","I need chopsticks.","Aku butuh sumpit."
"cutlery_7","I need a knife.","Aku butuh piso."
"cutlery_8","I need a napkin.","Aku butuh serbet."
"apple","Apple","Apple"
"apple_2","I like apple.","Aku seneng apel."
"apple_3","I don't like apple.","Aku ora seneng apel."
"apple_4","I want to eat an apple.","Aku pingin mangan apel."
"carrot","Carrot","Wortel"
"carrot_2","I like carrot.","Aku seneng wortel."
"carrot_3","I don't like carrot.","Aku ora seneng wortel."
"carrot_4","I want to eat a carrot.","Aku arep mangan karot."
"beans","Beans","Kacang buncis"
"beans_2","I like beans.","Aku seneng kacang."
"beans_3","I don't like beans.","Aku ora seneng kacang."
"beans_4","I want to eat beans.","Aku pingin mangan kacang."
"chicken_5","I want fried chicken.","Aku pengin pitik goreng."
"chicken_6","I want boiled chicken.","Aku pengin pitik rebus."
"chocolate","Chocolate","Coklat"
"chocolate_2","I like chocolate.","Aku seneng coklat."
"chocolate_3","I don't like chocolate.","Aku ora seneng coklat."
"chocolate_4","I want to eat chocolate.","Aku pingin mangan coklat."
"chocolate_5","I want dark chocolate.","Aku pengin coklat peteng."
"chocolate_6","I want white chocolate.","Aku pengin coklat putih."
"milk","Milk","Susu"
"milk_2","I like milk.","Aku seneng susu."
"milk_3","I don't like milk.","Aku ora seneng susu."
"milk_4","I want to drink milk.","Aku pingin ngombe susu."
"milk_5","Can I have a glass of milk?","Bisa duwe segelas susu?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Aku seneng roti lapis."
"sandwich_3","I don't like sandwich.","Aku ora seneng roti lapis."
"sandwich_4","I want to eat a sandwich.","Aku arep mangan roti lapis."
"sandwich_5","Can you make me a sandwich?","Sampeyan bisa nggawe kula roti lapis?"
"steak","Steak","Steak"
"steak_2","I like steak.","Aku seneng steak."
"steak_3","I don't like steak.","Aku ora seneng steak."
"steak_4","I want to eat steak.","Aku kepengin mangan steak."
"steak_5","Can you cook steak for me?","Sampeyan bisa masak steak kanggo kula?"
"banana","Banana","Pisang"
"banana_2","I like banana.","Aku seneng banana."
"banana_3","I don't like banana.","Aku ora seneng gedhang."
"banana_4","I want to eat a banana.","Aku pengen mangan gedhang."
"pie","Pie","Kue sing bentuke bunder"
"pie_2","I like pie.","Aku seneng pai."
"pie_3","I don't like pie.","Aku ora seneng pai."
"pie_4","I want to eat pie.","Aku pengin mangan pie."
"pie_5","Can you bake a pie for me?","Sampeyan bisa panggang pie kanggo kula?"
"egg","Egg","Endhog"
"egg_2","I like egg.","Aku seneng karo endhog."
"egg_3","I don't like egg.","Aku ora seneng endhog."
"egg_4","I want to eat egg.","Aku kepengin mangan endhog."
"egg_5","I want fried eggs.","Aku pengin endhog goreng."
"egg_6","I want boiled eggs.","Aku pengin endhog rebus."
"noodles","Noodles","Mie"
"noodles_2","I like noodles.","Aku seneng nisan."
"noodles_3","I don't like noodles.","Aku ora seneng mie."
"noodles_4","I want to eat noodles.","Aku pingin mangan nus."
"noodles_5","Can you cook noodles for me?","Sampeyan bisa masak mi?"
"salt","Salt","Uyah"
"salt_2","I want salt.","Aku pengin uyah."
"salt_3","Can you pass me the salt?","Sampeyan bisa ngirim kula uyah?"
"salt_4","Food is too salty.","Pangane asin banget."
"salt_5","My food needs some salt.","Pangananku butuh uyah."
"spices","Spices","Rempah-rempah"
"spices_2","I like spicy food.","Aku seneng panganan pedhes."
"spices_3","I don't like spicy food.","Aku ora seneng panganan pedhes."
"spices_4","I want paprika.","Aku pengin paprika."
"spices_5","I want black pepper.","Aku pengin mrico ireng."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Aku seneng pizza."
"pizza_3","I don't like pizza.","Aku ora seneng pizza."
"pizza_4","I want to eat pizza.","Aku arep mangan pizza."
"pizza_5","Can you cook pizza for me?","Sampeyan bisa masak pizza kanggo kula?"
"pizza_6","Can we order pizza?","Apa kita bisa order pizza?"
"cheese","Cheese","Keju"
"cheese_2","I like cheese.","Aku seneng keju."
"cheese_3","I don't like cheese.","Aku ora seneng keju."
"cheese_4","I want to eat cheese.","Aku pingin mangan keju."
"ice-cream","Ice cream","Es krim"
"ice-cream_2","I like ice cream.","Aku seneng karo krim."
"ice-cream_3","I don't like ice cream.","Aku ora seneng karo krim."
"ice-cream_4","I want to eat ice cream.","Aku pingin mangan es krim."
"ice-cream_5","Can you buy ice cream for me?","Sampeyan bisa tuku es krim kanggo kula?"
"tea","Tea","Teh"
"tea_2","I like tea.","Aku seneng teh."
"tea_3","I don't like tea.","Aku ora seneng teh."
"tea_4","I want to drink tea.","Aku pengin ngombe teh."
"tea_5","Can you make tea for me?","Apa sampeyan bisa nggawe teh kanggo kula?"
"coffee","Coffee","Kopi"
"coffee_2","I like coffee.","Aku seneng karo kopi."
"coffee_3","I don't like coffee.","Aku ora seneng karo kopi."
"coffee_4","I want to drink coffee.","Aku arep ngombe kopi."
"coffee_5","Can you make coffee for me?","Apa sampeyan bisa nggawe kopi kanggo kula?"
"tomato","Tomato","Tomat"
"tomato_2","I like tomato.","Aku seneng tomat."
"tomato_3","I don't like tomato.","Aku ora seneng karo tomat."
"tomato_4","I want to eat tomato.","Aku pingin mangan tomat."
"cereal","Cereal","Sereal"
"cereal_2","I like cereal.","Aku seneng sereal."
"cereal_3","I don't like cereal.","Aku ora seneng karo sereal."
"cereal_4","I want to eat cereal.","Aku arep mangan sereal."
"cereal_5","Can you make my cereal?","Apa sampeyan bisa nggawe cereal?"
"burger","Burger","Burger"
"burger_2","I like burger.","Aku seneng burger."
"burger_3","I don't like burger.","Aku ora seneng karo burger."
"burger_4","I want to eat burger.","Aku arep mangan burger."
"burger_5","Can you cook burger for me?","Sampeyan bisa masak burger kanggo kula?"
"burger_6","Can we order burger?","Apa kita bisa ngirim burger?"
"french-fries","French fries","Kentang goreng Prancis"
"french-fries_2","I like french fries.","Aku seneng karo kacang goreng."
"french-fries_3","I don't like french fries.","Aku ora seneng kentang goreng."
"french-fries_4","I want to eat french fries.","Aku pengin mangan kentang goreng."
"french-fries_5","Can you cook french fries for me?","Sampeyan bisa masak kentang goreng kanggo kula?"
"french-fries_6","Can we order french fries?","Apa kita bisa nggawe kentang goreng?"
"spinach","Spinach","Bayam"
"spinach_2","I like spinach.","Aku seneng bayem."
"spinach_3","I don't like spinach.","Aku ora seneng bayem."
"spinach_4","I want to eat spinach.","Aku pingin mangan bayem."
"rice","Rice","Gabah"
"rice_2","I like rice.","Aku seneng beras."
"rice_3","I don't like rice.","Aku ora seneng nasi."
"rice_4","I want to eat rice.","Aku pingin mangan."
"rice_5","Can you cook rice for me?","Sampeyan bisa masak nasi kanggo kula?"
"bread","Bread","Roti roti"
"bread_2","I like bread.","Aku kaya roti."
"bread_3","I don't like bread.","Aku ora seneng roti."
"bread_4","I want to eat bread.","Aku pingin mangan roti."
"bread_5","Can you buy some bread?","Apa sampeyan bisa tuku roti?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Aku seneng pasta."
"pasta_3","I don't like pasta.","Aku ora seneng pasta."
"pasta_4","I want to eat pasta.","Aku pengin mangan pasta."
"pasta_5","Can you cook pasta for me?","Sampeyan bisa masak pasta kanggo kula?"
"sauce","Sauce","Sose"
"sauce_2","I like sauce.","Aku seneng saos."
"sauce_3","I don't like sauce.","Aku ora seneng saos."
"sauce_4","I want some sauce.","Aku pengin saus."
"sauce_5","Can I have ketchup?","Apa aku bisa duwe ketchup?"
"sauce_6","Can I have mayonnaise?","Bisa duwe mayonis?"
"sauce_7","Can I have mustard?","Apa ana mustar?"
"sauce_8","Can I have ranch sauce?","Apa aku bisa entuk saus?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Aku seneng kebab."
"kebab_3","I don't like kebab.","Aku ora seneng kebab."
"kebab_4","I want to eat kebab.","Aku pingin mangan kebab."
"kebab_5","Can you cook kebab for me?","Sampeyan bisa masak kebab kanggo aku?"
"kebab_6","Can we order kebab?","Apa kita bisa ngirim kebab?"
"numbers","Numbers","Nomer"
"one","One","Siji"
"one_2","One comes before two.","Siji teka sadurunge loro."
"one_3","One comes after zero.","Siji teka sawise nol."
"one_4","I want one.","Aku pengin siji."
"two","Two","Kalih"
"two_2","Two comes before three.","Rong teka sadurunge telu."
"two_3","Two comes after one.","Kaloro teka sawise siji."
"two_4","I want two.","Aku pengin loro."
"three","Three","Telu"
"three_2","Three comes before four.","Telu teka sadurunge papat."
"three_3","Three comes after two.","Telu teka sawise loro."
"three_4","I want three.","Aku pengin telu."
"four","Four","Sekawan"
"four_2","Four comes before five.","Papat rawuh sadurunge limang."
"four_3","Four comes after three.","Papat rawuh sawise telung."
"four_4","I want four.","Aku pengin papat."
"five","Five","Lima"
"five_2","Five comes before six.","Lima teka sadurunge enem."
"five_3","Five comes after four.","Limang teka sawise patang."
"five_4","I want five.","Aku pengin limang."
"six","Six","Ono"
"six_2","Six comes before seven.","Enem rawuh sadurunge pitu."
"six_3","Six comes after five.","Enem rawuh sawise limang."
"six_4","I want fix.","Aku pengin ndandani."
"seven","Seven","Pitu"
"seven_2","Seven comes before eight.","Pitu rawuh sadurunge wolung."
"seven_3","Seven comes after six.","Pitu rawuh sawise nem."
"seven_4","I want seven.","Kulo pitu."
"eight","Eight","Wolung"
"eight_2","Eight comes before nine.","Wolung rawuh sadurunge sangang."
"eight_3","Eight comes after seven.","Wolung teka sawise pitung."
"eight_4","I want eight.","Aku pengin wolung."
"nine","Nine","Nine"
"nine_2","Nine comes before ten.","Sangang rawuh sadurunge sepuluh."
"nine_3","Nine comes after eight.","Nine rawuh sawise wolung."
"nine_4","I want nine.","Aku pengin sangang."
"ten","Ten","Sepuluh"
"ten_2","Ten comes before eleven.","Sepuluh teka sadurunge sewelas."
"ten_3","Ten comes after nine.","Sepuluh teka sawise sangang."
"ten_4","I want ten.","Aku pengin sepuluh."
"eleven","Eleven","Sewelas"
"eleven_2","Eleven comes before thirteen.","Sewelas teka sadurunge telulas."
"eleven_3","Eleven comes after ten.","Sewelas teka sawise sepuluh."
"eleven_4","I want eleven.","Aku pengin sewelas."
"twenty","Twenty","Rong puluh"
"twenty_2","I can count up to twenty.","Aku bisa dietung nganti rong puluh."
"thirty","Thirty","Telung puluh"
"thirty_2","I can count up to thirty.","Aku bisa ngetung nganti telung puluh."
"forty","Forty","Patang puluh"
"forty_2","I can count up to forty.","Aku bisa ngetung nganti patang puluh taun."
"fifty","Fifty","Sèket"
"fifty_2","I can count up to fifty.","Aku bisa ngetung nganti sèket."
"hundred","Hundred","Atusan"
"hundred_2","I can count up to hundred.","Aku bisa ngetung nganti satus."
"thousand","Thousand","Ewonan"
"thousand_2","I can count up to thousand.","Aku bisa dietung nganti sewu."
"calculator","Calculator","Kalkulator"
"calculator_2","I want to use a calculator.","Aku pengin nggunakake kalkulator."
"calculator_3","Can you teach me how to use a calculator?","Apa sampeyan bisa mulang babagan cara nggunakake kalkulator?"
"calculator_4","Can I barrow your calculator?","Apa bisa ngalangi kalkulator sampeyan?"
"people","People","Wong"
"mother","Mother","Ibu"
"mother_2","Mommy!","Ibu!"
"mother_3","I love my mother.","Aku tresna marang ibuku."
"mother_4","I love you mom.","Aku tresna sampeyan ibu."
"mother_5","I miss my mom.","Aku kangen ibu."
"mother_6","Thank you for taking care of me.","Matur nuwun kanggo ngurus kula."
"mother_7","She is my mom.","Dheweke dadi ibuku."
"mother_8","Can you help me find my mother?","Apa sampeyan bisa mbantu nggoleki ibu?"
"father","Father","Rama"
"father_2","Daddy!","Bapakku!"
"father_3","I love my father.","Aku tresna karo bapakku."
"father_4","I love you dad.","Aku tresna sampeyan bapak."
"father_5","I miss my dad.","Aku kangen bapakku."
"father_6","Thank you for taking care of me.","Matur nuwun kanggo ngurus kula."
"father_7","He is my dad.","Dheweke bapakku."
"father_8","Can you help me find my father?","Apa sampeyan bisa nulungi bapakku?"
"parents","Parents","Para wong tuwa"
"parents_2","I love my parents.","Aku tresna marang wong tuwaku."
"parents_3","I love my parents.","Aku tresna marang wong tuwaku."
"parents_4","I miss my parents.","Aku kangen karo wong tuwa."
"parents_5","They are my parents.","Dheweke dadi wong tuwaku."
"parents_6","My parents are taking care of me.","Wong tuwaku ngrawat aku."
"parents_8","Can you help me find my parents?","Apa sampeyan bisa mbantu aku golek wong tuwa?"
"grandparents","Grandparents","Eyang kakung"
"grandparents_2","I love my grandparents.","Aku tresna marang simbah-simbahku."
"grandparents_3","I love you grandparents.","Aku tresna sampeyan simbah."
"grandparents_4","I miss my grandparents.","Aku kangen mbah-mbah."
"grandparents_5","They are my grandparents.","Dheweke iku simbahku."
"grandparents_6","My grandparents are taking care of me.","Simbah-simbahku wis nesu kula."
"grandparents_8","Can you help me find my grandparents?","Sampeyan bisa ngewangi aku golek simbahku?"
"brother","Brother","Sadulur"
"brother_2","I love my brother.","Aku tresna karo sedulurku."
"brother_3","I love you brother.","Aku tresna sampeyan sedulur."
"brother_4","I miss my brother.","Aku kangen sedulurku."
"brother_5","He is my brother.","Dheweke dadi sedulurku."
