"activities","Activities","Δραστηριότητες"
"pamela-hat","Pamela hat","Καπέλο Pamela"
"pamela-hat_2","I like wearing pamela hat.","Μου αρέσει να φοράω καπέλο pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Μπορείς να με βοηθήσεις να φορέσω το καπέλο μου;"
"high-heels","High heels","Ψηλοτάκουνα"
"high-heels_2","I like wearing high heels.","Μου αρέσει να φοράω ψηλά τακούνια."
"high-heels_3","Can you help me wear my high heels?","Μπορείτε να με βοηθήσετε να φορέσω τα ψηλά τακούνια μου;"
"overalls","Overalls","Φόρμα"
"overalls_2","I like wearing overalls.","Μου αρέσει να φοράω φόρμες."
"overalls_3","Can you help me wear my overalls?","Μπορείτε να με βοηθήσετε να φορέσω τις φόρμες μου;"
"kimono","Kimono","Κιμονό"
"kimono_2","I like wearing kimono.","Μου αρέσει να φοράω κιμονό."
"kimono_3","Can you help me wear my kimono?","Μπορείτε να με βοηθήσετε να φορέσω το κιμονό μου;"
"raincoat","Raincoat","Αδιάβροχο"
"raincoat_2","I like wearing raincoat.","Μου αρέσει να φοράω αδιάβροχο."
"raincoat_3","Can you help me wear my raincoat?","Μπορείς να με βοηθήσεις να φορέσω το αδιάβροχο μου;"
"bandana","Bandana","Φουλάρι"
"bandana_2","I like wearing bandana.","Μου αρέσει να φοράω μπαντάνα."
"bandana_3","Can you help me wear my bandana?","Μπορείς να με βοηθήσεις να φορέσω το μαντήλι μου;"
"beret","Beret","Μπερές"
"beret_2","I like wearing beret.","Μου αρέσει να φοράω μπερέ."
"beret_3","Can you help me wear my beret?","Μπορείς να με βοηθήσεις να φορέσω το μπερέ μου;"
"knit-hat","Knit hat","Πλεκτό καπέλο"
"knit-hat_2","I like wearing knit hat.","Μου αρέσει να φοράω πλεκτό καπέλο."
"knit-hat_3","Can you help me wear my knit hat?","Μπορείτε να με βοηθήσετε να φορέσω το πλεκτό καπέλο μου;"
"suspenders","Suspenders","Τιράντες"
"suspenders_2","I like wearing suspenders.","Μου αρέσει να φοράω τιράντες."
"suspenders_3","Can you help me wear my suspenders?","Μπορείτε να με βοηθήσετε να φορέσω τις ζαρτιέρες μου;"
"mitten","Mitten","Γάντι πυγμαχίας"
"mitten_2","I like wearing mitten.","Μου αρέσει να φοράω γάντι."
"mitten_3","Can you help me wear my mitten?","Μπορείτε να με βοηθήσετε να φορέσω το γάντι μου;"
"suit","Suit","Κοστούμι"
"suit_2","I like wearing suit.","Μου αρέσει να φοράω κοστούμι."
"suit_3","Can you help me wear my suit?","Μπορείς να με βοηθήσεις να φορέσω το κοστούμι μου;"
"coat","Coat","Παλτό"
"coat_2","I like wearing coat.","Μου αρέσει να φοράω παλτό."
"coat_3","Can you help me wear my coat?","Μπορείς να με βοηθήσεις να φορέσω το παλτό μου;"
"trench-coat","Trench coat","Καμπαρντίνα"
"trench-coat_2","I like wearing trench coat.","Μου αρέσει να φοράω καμπαρντίνα."
"trench-coat_3","Can you help me wear my trench coat?","Μπορείτε να με βοηθήσετε να φορέσω το παλτό μου;"
"colors","Colors","Χρωματιστά"
"crayons","Crayons","Κραγιόνια"
"crayons_2","I like crayons.","Μου αρέσουν τα κραγιόνια."
"crayons_3","Can you give me crayons?","Μπορείς να μου δώσεις κραγιόνια;"
"crayons_4","I want to draw using my crayons.","Θέλω να σχεδιάσω χρησιμοποιώντας τα κραγιόνια μου."
"red","Red","το κόκκινο"
"red_2","It is red.","Είναι κόκκινο."
"red_3","My favorite color is red.","Το αγαπημένο μου χρώμα είναι το κόκκινο."
"red_4","Can you give me red paint?","Μπορείς να μου δώσεις κόκκινο χρώμα;"
"blue","Blue","Μπλε"
"blue_2","It is blue.","Είναι μπλε."
"blue_3","My favorite color is blue.","Το αγαπημένο μου χρώμα είναι το μπλέ."
"blue_4","Can you give me blue paint?","Μπορείς να μου δώσεις μπλε χρώμα;"
"orange","Orange","Πορτοκάλι"
"orange_2","It is orange color.","Είναι πορτοκαλί χρώμα."
"orange_3","My favorite color is orange.","Το αγαπημένο μου χρώμα είναι πορτοκαλί."
"orange_4","Can you give me orange paint?","Μπορείτε να μου δώσετε πορτοκαλί χρώμα;"
"green","Green","Πράσινος"
"green_2","It is green.","Είναι πράσινο."
"green_3","My favorite color is green.","Το αγαπημενο μου χρωμα ειναι το πρασινο."
"green_4","Can you give me green paint?","Μπορείτε να μου δώσετε πράσινο χρώμα;"
"yellow","Yellow","Κίτρινος"
"yellow_2","It is yellow.","Είναι κίτρινο."
"yellow_3","My favorite color is yellow.","Το αγαπημένο μου χρώμα είναι κίτρινο."
"yellow_4","Can you give me yellow paint?","Μπορείς να μου δώσεις κίτρινο χρώμα;"
"purple","Purple","Μωβ"
"purple_2","It is purple.","Είναι μωβ."
"purple_3","My favorite color is purple.","Το αγαπημένο μου χρώμα είναι το μωβ."
"purple_4","Can you give me purple paint?","Μπορείς να μου δώσεις μοβ χρώμα;"
"pink","Pink","Ροζ"
"pink_2","It is pink.","Είναι ροζ."
"pink_3","My favorite color is pink.","Το αγαπημένο μου χρώμα είναι το ροζ."
"pink_4","Can you give me pink paint?","Μπορείς να μου δώσεις ροζ χρώμα;"
"brown","Brown","καφέ"
"brown_2","It is brown.","Αυτό είναι καφέ."
"brown_3","My favorite color is brown.","Το αγαπημένο μου χρώμα είναι καφέ."
"brown_4","Can you give me brown paint?","Μπορείς να μου δώσεις καφέ χρώμα;"
"black","Black","Μαύρος"
"black_2","It is black.","Είναι μαύρο."
"black_3","My favorite color is black.","Το αγαπημένο μου χρώμα είναι μαύρο."
"black_4","Can you give me black paint?","Μπορείς να μου δώσεις μαύρο χρώμα;"
"white","White","λευκό"
"white_2","It is white.","Είναι λευκό."
"white_3","My favorite color is white.","Το αγαπημένο μου χρώμα είναι λευκό."
"white_4","Can you give me white paint?","Μπορείτε να μου δώσετε λευκό χρώμα;"
"gray","Gray","Γκρί"
"gray_2","It is gray.","Είναι γκρι."
"gray_3","My favorite color is gray.","Το αγαπημένο μου χρώμα είναι γκρι."
"gray_4","Can you give me gray paint?","Μπορείτε να μου δώσετε γκρι χρώμα;"
"transparent","Transparent","Διαφανής"
"transparent_2","It is transparent.","Είναι διαφανές."
"transparent_3","I can see behind transparent color.","Μπορώ να δω πίσω από διαφανές χρώμα."
"transparent_4","Can you help me erase?","Μπορείτε να με βοηθήσετε να σβήσω;"
"cyan","Cyan","Κυανό"
"cyan_2","It is cyan.","Είναι κυανό."
"cyan_3","My favorite color is cyan.","Το αγαπημένο μου χρώμα είναι κυανό."
"cyan_4","Can you give me cyan paint?","Μπορείς να μου δώσεις κυανό χρώμα;"
"violet","Violet","Βιολέτα"
"violet_2","It is violet.","Είναι βιολετί."
"violet_3","My favorite color is violet.","Το αγαπημένο μου χρώμα είναι βιολετί."
"violet_4","Can you give me violet paint?","Μπορείς να μου δώσεις βιολετί χρώμα;"
"turquoise","Turquoise","Τουρκουάζ"
"turquoise_2","It is turquoise.","Είναι τυρκουάζ."
"turquoise_3","My favorite color is turquoise.","Το αγαπημένο μου χρώμα είναι τυρκουάζ."
"turquoise_4","Can you give me turquoise paint?","Μπορείτε να μου δώσετε τιρκουάζ χρώμα;"
"lime","Lime","Ασβεστος"
"lime_2","It is lime.","Είναι ασβέστης."
"lime_3","My favorite color is lime.","Το αγαπημένο μου χρώμα είναι ο ασβέστης."
"lime_4","Can you give me lime paint?","Μπορείς να μου δώσεις ασβέστη;"
"plum","Plum","Δαμάσκηνο"
"plum_2","It is plum.","Είναι δαμάσκηνο."
"plum_3","My favorite color is plum.","Το αγαπημένο μου χρώμα είναι το δαμάσκηνο."
"plum_4","Can you give me plum paint?","Μπορείς να μου δώσεις δαμάσκηνο;"
"tan","Tan","Ηλιοκαίω"
"tan_2","It is tan color.","Είναι μαύρισμα."
"tan_3","My favorite color is tan color.","Το αγαπημένο μου χρώμα είναι το μαύρο χρώμα."
"tan_4","Can you give me tan color paint?","Μπορείτε να μου δώσετε μαύρισμα χρώματος;"
"avocado","Avocado","Αβοκάντο"
"avocado_2","It is avocado color.","Είναι χρώμα αβοκάντο."
"avocado_3","My favorite color is avocado color.","Το αγαπημένο μου χρώμα είναι το χρώμα του αβοκάντο."
"avocado_4","Can you give me avocado color paint?","Μπορείς να μου δώσεις χρώμα αβοκάντο;"
"barbie-pink","Barbie pink","Μπάρμπι ροζ"
"barbie-pink_2","It is barbie pink color.","Έχει ροζ χρώμα barbie."
"barbie-pink_3","My favorite color is barbie pink.","Το αγαπημένο μου χρώμα είναι το ροζ barbie."
"barbie-pink_4","Can you give me barbie pink paint?","Μπορείτε να μου δώσετε ροζ χρώμα barbie;"
"blizzard-blue","Blizzard blue","Μπλε χιονοθύελλα"
"blizzard-blue_2","It is blizzard blue color.","Είναι μπλε χιονοθύελλα."
"blizzard-blue_3","My favorite color is blizzard blue color.","Το αγαπημένο μου χρώμα είναι το μπλε χρώμα της χιονοθύελλας."
"blizzard-blue_4","Can you give me blizzard blue paint?","Μπορείτε να μου δώσετε μπλε χρώμα χιονοθύελλας;"
"conversation","Conversation","Συνομιλία"
"me","Me","Μου"
"me_2","My name is {name}","Το όνομά μου είναι {name}"
"me_3","I'm {name}","Είμαι {όνομα}"
"me_4","Do you know my name?","Ξέρεις το όνομά μου?"
"me_5","What is your name?","Πως σε λένε?"
"me_6","Nice to meet you!","Χαίρομαι που σε γνωρίζω!"
"me_7","Do you like me?","Σου αρέσω?"
"me_8","Can we be friends?","Μπορουμε να ειμαστε φιλοι?"
"me_9","I'm using assistive communication app.","Χρησιμοποιώ εφαρμογή βοηθητικής επικοινωνίας."
"me_10","Who are you?","Ποιος είσαι?"
"hello","Hello","Χαίρετε"
"hello_2","Hello.","Χαίρετε."
"hello_3","Hi.","Γεια."
"hello_4","Greetings.","Χαιρετίσματα."
"hello_5","How are you?","Πώς είσαι;"
"hello_6","Nice to meet you!","Χαίρομαι που σε γνωρίζω!"
"help","Help","Βοήθεια"
"help_2","Help me.","Βοήθησέ με."
"help_3","Can you help me?","Μπορείς να με βοηθήσεις?"
"help_4","I need help","χρειάζομαι βοήθεια"
"help_5","Do you need help?","Χρειάζεσαι βοήθεια?"
"yes","Yes","Ναί"
"yes_2","Yes.","Ναί."
"yes_3","Yes please.","Ναι παρακαλώ."
"yes_4","Alright.","Καλώς."
"yes_5","Agreed.","Σύμφωνος."
"yes_6","I want to.","Θέλω να."
"yes_7","I would like to.","Θα ήθελα να."
"no","No","Οχι"
"no_2","No.","Οχι."
"no_3","Nope.","Οχι."
"no_4","Never.","Ποτέ."
"no_5","I don't want to.","Δεν θέλω."
"no_6","I don't like it.","Δεν μου αρέσει."
"no_7","You don't like it?","Δεν σου αρέσει;"
"no_8","Why you don't like it?","Γιατί δεν σου αρέσει;"
"toilet","Toilet","Τουαλέτα"
"toilet_2","I need to go to the toilet.","Πρέπει να πάω στην τουαλέτα."
"toilet_3","I need to pee.","Πρέπει να ουρήσω."
"toilet_4","I need to poop.","Θελω να χεσω."
"toilet_5","Can you help me go to the toilet?","Μπορείτε να με βοηθήσετε να πάω στην τουαλέτα;"
"toilet_6","Can you help me clean?","Μπορείς να με βοηθήσεις να καθαρίσω;"
"toilet_7","I peed myself.","Έκανα τον εαυτό μου."
"toilet_8","I pooped myself.","Εκάθηκα."
"what","What","Τι"
"what_2","What is that?","Τι ΕΙΝΑΙ ΑΥΤΟ?"
"what_3","What does it mean?","Τι σημαίνει?"
"what_4","What do you mean?","Τι εννοείς?"
"what_5","Can you explain it?","Μπορείτε να το εξηγήσετε;"
"what_6","Can you repeat what you said?","Μπορείτε να επαναλάβετε αυτό που είπατε;"
"what_7","I don't understand.","Δεν καταλαβαίνω"
"sleep","Sleep","Υπνος"
"sleep_2","I want to sleep.","Θέλω να κοιμηθώ."
"sleep_3","I don't want to sleep.","Δεν θέλω να κοιμηθώ."
"sleep_4","I'm tired.","Είμαι κουρασμένος."
"sleep_5","Are you tired?","Είσαι κουρασμένος?"
"sleep_6","When am I going to sleep?","Πότε θα κοιμηθώ;"
"sleep_7","I want to take a nap.","Θέλω να κοιμηθώ."
"bath","Bath","Λούτρο"
"bath_2","I want to take a bath.","Θελω να κανω μπανιο."
"bath_3","I like taking a bath.","Μου αρέσει να κάνω μπάνιο."
"bath_4","I want to wash my hands.","Θέλω να πλένω τα χέρια μου."
"bath_5","I want to take a shower.","Θέλω να κάνω ντους."
"bath_6","I want to clean myself.","Θέλω να καθαρίσω τον εαυτό μου."
"bath_7","Can you help me take a bath?","Μπορείς να με βοηθήσεις να κάνω μπάνιο;"
"bath_8","I don't want to take a bath.","Δεν θέλω να κάνω μπάνιο."
"listen","Listen","Ακούω"
"listen_2","Listen to me.","Ακουσε με."
"listen_3","Can you listen to me?","Μπορείς να με ακούσεις;"
"listen_4","Listen to music.","Ακούω μουσική."
"listen_5","Listening to my parents.","Ακούγοντας τους γονείς μου."
"listen_6","Listen to what my application is saying!","Ακούστε τι λέει η εφαρμογή μου!"
"morning","Morning","Πρωί"
"morning_2","Good morning.","Καλημέρα."
"morning_3","I like mornings.","Μου αρέσουν τα πρωινά."
"morning_4","In the morning.","Το πρωί."
"morning_5","Morning time.","Πρωινή ώρα."
"morning_6","Is it morning?","Είναι πρωί;"
"night","Night","Νύχτα"
"night_2","Good night!","Καληνυχτα!"
"night_3","I like nights.","Μου αρέσουν οι νύχτες."
"night_4","At night.","Τη νύχτα."
"night_5","Night time.","Νυχτερινή ώρα."
"night_6","Is it night?","Είναι νύχτα;"
"look","Look","Κοίτα"
"look_2","Look at me.","Κοίταξέ με."
"look_3","Look at this.","Κοίτα αυτό."
"look_4","Are you looking?","Κοιτάς?"
"look_5","Look at my drawing.","Κοίτα το σχέδιό μου."
"look_6","How do I look?","Πώς φαίνομαι?"
"look_7","Look what I did.","Κοίτα τι έκανα."
"look_8","Let's look at that.","Ας το δούμε."
"speak","Speak","Μιλώ"
"speak_2","I'm learning how to speak.","Μαθαίνω να μιλάω."
"speak_3","I want to speak.","Θέλω να μιλήσω."
"speak_4","Can I speak with you?","Μπορώ να σου μιλήσω?"
"speak_5","I like speaking.","Μου αρέσει να μιλάω."
"speak_6","I'm using assistive communication app.","Χρησιμοποιώ εφαρμογή βοηθητικής επικοινωνίας."
"play","Play","Παίζω"
"play_2","I love playing.","Μου αρέσει να παίζω."
"play_3","Can you play with me?","Μπορείς να παίξεις μαζί μου;"
"play_4","I want to play with you!","Θέλω να παίξω μαζί σου!"
"play_5","I want to play with my friends.","Θέλω να παίξω με τους φίλους μου."
"play_6","I don't want to play with you.","Δεν θέλω να παίξω μαζί σου."
"outside","Outside","Εξω απο"
"outside_2","I love going outside.","Μου αρέσει να πηγαίνω έξω."
"outside_3","I want to go outside.","Θέλω να πάω έξω."
"outside_4","Is it cold outside?","Είναι κρύο έξω;"
"outside_5","I don't like outside.","Δεν μου αρέσει το εξωτερικό."
"outside_6","Can I go outside?","Μπορώ να πάω έξω;"
"home","Home","Σπίτι"
"home_2","I love my home.","Λατρεύω το σπίτι μου."
"home_3","I want to go home.","Θέλω να πάω σπίτι."
"home_4","Where is your home?","Που είναι το σπίτι σου?"
"home_5","Home sweet home.","Σπίτι μου σπιτάκι μου."
"home_6","I'm in the house.","Είμαι στο σπίτι."
"home_7","I'm not in the house.","Δεν είμαι στο σπίτι."
"hurt","Hurt","Πλήγμα"
"hurt_2","I'm hurt.","Χτύπησα."
"hurt_3","Are you hurt?","Είσαι πληγωμένος?"
"hurt_4","Did I hurt you?","Σε πονεσα?"
"hurt_5","I didn't mean to hurt you!","Δεν ήθελα να σε πληγωθώ!"
"hurt_6","Is it going to hurt?","Θα πονάει;"
"hurt_7","I have a headache.","Εχω πονοκέφαλο."
"hurt_8","I have a stomach ache.","Εχω ένα στομαχόπονο."
"hurt_9","My genitals hurt.","Τα γεννητικά μου όργανα πονάνε."
"hurt_10","My foot hurts.","Το πόδι μου πονάει."
"feelings","Feelings","Συναισθήματα"
"happy","Happy","Χαρούμενος"
"happy_2","I'm happy.","Είμαι χαρούμενος."
"happy_3","I feel happy.","Αισθάνομαι ευτυχής."
"happy_4","Do you feel happy?","Νιώθεις χαρούμενος;"
"happy_5","I want to feel happy.","Θέλω να νιώθω χαρούμενος."
"happy_6","You are making me happy.","Με κάνεις χαρούμενο."
"sad","Sad","Λυπημένος"
"sad_2","I'm sad.","Είμαι λυπημένος."
"sad_3","I feel sad.","Αισθάνομαι λυπημένος."
"sad_4","Do you feel sad?","Νιώθεις λυπημένος;"
"sad_5","I don't want to feel sad.","Δεν θέλω να νιώθω λυπημένος."
"sad_6","You are making me sad.","Με κάνεις λυπημένο."
"exhausted","Exhausted","Εξαντλημένος"
"exhausted_2","I'm exhausted.","Είμαι εξαντλημένος."
"exhausted_3","I feel exhausted.","Νιώθω εξαντλημένος."
"exhausted_4","Do you feel exhausted?","Νιώθεις εξαντλημένος;"
"exhausted_5","I don't want to be exhausted.","Δεν θέλω να εξαντληθώ."
"relaxed","Relaxed","Χαλαρή"
"relaxed_2","I'm relaxed.","Είμαι χαλαρός."
"relaxed_3","I feel relaxed.","Νιώθω χαλαρή."
"relaxed_4","Do you feel relaxed?","Νιώθεις χαλαρή;"
"relaxed_5","I want to feel relaxed.","Θέλω να νιώθω χαλαρή."
"in-love","In love","Ερωτευμένος"
"in-love_2","I'm in love.","Είμαι ερωτευμένος."
"in-love_3","I feel in love.","Νιώθω ερωτευμένος."
"in-love_4","Are you in love?","Είσαι ερωτευμένος?"
"in-love_5","I want to fall in love.","Θέλω να ερωτευτώ."
"in-love_6","Do you love me?","Με αγαπάς?"
"stressed","Stressed","Τόνισε"
"stressed_2","I'm stressed.","Είμαι αγχωμένος."
"stressed_3","I feel stressed.","Νιώθω άγχος."
"stressed_4","Do you feel stressed?","Νιώθεις άγχος;"
"stressed_5","I don't want to feel stressed.","Δεν θέλω να νιώσω άγχος."
"thankful","Thankful","Ευγνώμων"
"thankful_2","I'm thankful.","Είμαι ευγνώμων."
"thankful_3","I feel thankful.","Νιώθω ευγνώμων."
"thankful_4","Do you feel thankful?","Νιώθεις ευγνώμων;"
"thankful_5","I want to feel thankful.","Θέλω να αισθάνομαι ευγνώμων."
"confused","Confused","Ταραγμένος"
"confused_2","I'm confused.","Είμαι μπερδεμένος."
"confused_3","I feel confused.","Νιώθω μπερδεμένος."
"confused_4","Do you feel confused?","Νιώθεις σύγχυση;"
"confused_5","You are confusing me.","Με μπερδεύεις."
"joyful","Joyful","Χαρούμενος"
"joyful_2","I'm joyful.","Είμαι χαρούμενη."
"joyful_3","I feel joyful.","Νιώθω χαρούμενη."
"joyful_4","Do you feel joyful?","Νιώθεις χαρούμενη;"
"joyful_5","I want to feel joyful.","Θέλω να νιώθω χαρούμενη."
"angry","Angry","Θυμωμένος"
"angry_2","I'm angry.","Είμαι θυμωμένος."
"angry_3","I feel angry.","Νιώθω θυμωμένος."
"angry_4","Do you feel angry?","Νιώθεις θυμωμένος;"
"angry_5","I'm angry at you.","Είμαι θυμωμένος σε σένα."
"angry_6","You are making me angry.","Με κάνεις θυμωμένο."
"smart","Smart","Εξυπνος"
"smart_2","I'm smart.","Είμαι έξυπνος."
"smart_3","I feel smart.","Νιώθω έξυπνος."
"smart_4","Do you feel smart?","Νιώθεις έξυπνος;"
"smart_5","Am I smart?","Είμαι έξυπνος;"
"smart_6","You are smart!","Είσαι έξυπνος!"
"afraid","Afraid","Φοβισμένος"
"afraid_2","I'm afraid.","Φοβάμαι."
"afraid_3","I feel afraid.","Νιώθω φοβισμένος."
"afraid_4","Do you feel afraid?","Νιώθεις φοβισμένος;"
"afraid_5","I don't want to feel afraid.","Δεν θέλω να φοβάμαι."
"afraid_6","You are scaring me.","Με τρομάζεις."
"ashamed","Ashamed","Ντροπιασμένος"
"ashamed_2","I'm ashamed.","Ντρέπομαι."
"ashamed_3","I feel ashamed.","Αισθάνομαι ντροπή."
"ashamed_4","Do you feel ashamed?","Νιώθεις ντροπή;"
"ashamed_5","I don't want to feel ashamed.","Δεν θέλω να νιώθω ντροπή."
"shocked","Shocked","Σοκαρισμένος"
"shocked_2","I'm shocked.","Είμαι σοκαρισμένος."
"shocked_3","I feel shocked.","Νιώθω σοκαρισμένος."
"shocked_4","Do you feel shocked?","Νιώθεις σοκαρισμένος;"
"shocked_5","You shocked me.","Με σοκαρίσατε."
"sick","Sick","Αρρωστος"
"sick_2","I'm sick.","Είμαι άρρωστος."
"sick_3","I feel sick.","Νιώθω άρρωστος."
"sick_4","Do you feel sick?","Νιώθεις άρρωστος?"
"sick_5","I don't want to be sick.","Δεν θέλω να είμαι άρρωστος."
"sick_6","I'm sick of the food.","Είμαι άρρωστος από το φαγητό."
"frustrated","Frustrated","Απογοητευμένοι"
"frustrated_2","I'm frustrated.","Είμαι απογοητευμένος."
"frustrated_3","I feel frustrated.","Νιώθω απογοητευμένος."
"frustrated_4","Do you feel frustrated?","Νιώθετε απογοητευμένοι;"
"frustrated_5","I don't want to feel frustrated.","Δεν θέλω να νιώθω απογοητευμένος."
"excited","Excited","Ενθουσιασμένος"
"excited_2","I'm excited.","Είμαι ενθουσιασμένος."
"excited_3","I feel excited.","Νιωθω ΕΝΘΟΥΣΙΑΣΜΕΝΟΣ."
"excited_4","Do you feel excited?","Νιώθεις ενθουσιασμένος;"
"excited_5","I don't want to feel excited.","Δεν θέλω να αισθάνομαι ενθουσιασμένος."
"nauseated","Nauseated","Ναυτία"
"nauseated_2","I'm nauseated.","Έχω ναυτία."
"nauseated_3","I feel nauseated.","Νιώθω ναυτία."
"nauseated_4","Do you feel nauseated?","Νιώθεις ναυτία;"
"nauseated_5","I don't want to feel nauseated.","Δεν θέλω να νιώθω ναυτία."
"agitated","Agitated","Ταραγμένος"
"agitated_2","I'm agitated.","Είμαι ταραγμένος."
"agitated_3","I feel agitated.","Νιώθω ταραγμένος."
"agitated_4","Do you feel agitated?","Νιώθεις ταραγμένος;"
"agitated_5","I don't want to feel agitated.","Δεν θέλω να αισθάνομαι ταραγμένος."
"food","Food","Τροφή"
"hungry","Hungry","Πεινασμένος"
"hungry_2","I'm hungry.","Πεινάω."
"hungry_3","Are you hungry?","Πεινάς?"
"hungry_4","Can you make me food?","Μπορείς να με φτιάξεις φαγητό;"
"hungry_5","What is for dinner?","Τι έχει για δείπνο?"
"thirsty","Thirsty","Διψασμένος"
"thirsty_2","I'm thirsty.","Διψάω."
"thirsty_3","Can I have some water?","Μπορω να εχω λιγο νερο?"
"thirsty_4","Can I have a glass of water?","Μπορώ να έχω ένα ποτήρι νερό?"
"thirsty_5","I want something to drink.","Θέλω κάτι να πιω."
"cutlery","Cutlery","Μαχαιρικά είδη"
"cutlery_2","I need cutlery.","Χρειάζομαι μαχαιροπίρουνα."
"cutlery_3","Help me use cutlery.","Βοηθήστε με να χρησιμοποιήσω μαχαιροπήρουνα."
"cutlery_4","I need a fork.","Χρειάζομαι ένα πιρούνι."
"cutlery_5","I need a spoon.","Χρειάζομαι ένα κουτάλι."
"cutlery_6","I need chopsticks.","Χρειάζομαι τσοπ στικς."
"cutlery_7","I need a knife.","Χρειάζομαι ένα μαχαίρι."
"cutlery_8","I need a napkin.","Χρειάζομαι μια χαρτοπετσέτα."
"apple","Apple","μήλο"
"apple_2","I like apple.","Μου αρέσει το μήλο."
"apple_3","I don't like apple.","Δεν μου αρέσει το μήλο."
"apple_4","I want to eat an apple.","Θέλω να φάω ένα μήλο."
"carrot","Carrot","Καρότο"
"carrot_2","I like carrot.","Μου αρέσει το καρότο."
"carrot_3","I don't like carrot.","Δεν μου αρέσει το καρότο."
"carrot_4","I want to eat a carrot.","Θέλω να φάω ένα καρότο."
"beans","Beans","Φασόλια"
"beans_2","I like beans.","Μου αρέσουν τα φασόλια."
"beans_3","I don't like beans.","Δεν μου αρέσουν τα φασόλια."
"beans_4","I want to eat beans.","Θέλω να φάω φασόλια."
"chicken_5","I want fried chicken.","Θέλω τηγανητό κοτόπουλο."
"chicken_6","I want boiled chicken.","Θέλω βραστό κοτόπουλο."
"chocolate","Chocolate","Σοκολάτα"
"chocolate_2","I like chocolate.","Μου αρέσει η σοκολάτα."
"chocolate_3","I don't like chocolate.","Δεν μου αρέσει η σοκολάτα."
"chocolate_4","I want to eat chocolate.","Θέλω να φάω σοκολάτα."
"chocolate_5","I want dark chocolate.","Θέλω μαύρη σοκολάτα."
"chocolate_6","I want white chocolate.","Θέλω λευκή σοκολάτα."
"milk","Milk","Γάλα"
"milk_2","I like milk.","Μου αρέσει το γάλα."
"milk_3","I don't like milk.","Δεν μου αρέσει το γάλα."
"milk_4","I want to drink milk.","Θέλω να πιω γάλα."
"milk_5","Can I have a glass of milk?","Μπορώ να έχω ένα ποτήρι γάλα;"
"sandwich","Sandwich","Σάντουιτς"
"sandwich_2","I like sandwich.","Μου αρέσει το σάντουιτς."
"sandwich_3","I don't like sandwich.","Δεν μου αρέσει το σάντουιτς."
"sandwich_4","I want to eat a sandwich.","Θέλω να φάω ένα σάντουιτς."
"sandwich_5","Can you make me a sandwich?","Μπορείς να με φτιάξεις σάντουιτς;"
"steak","Steak","Μπριζόλα"
"steak_2","I like steak.","Μου αρέσει η μπριζόλα."
"steak_3","I don't like steak.","Δεν μου αρέσει η μπριζόλα."
"steak_4","I want to eat steak.","Θέλω να φάω μπριζόλα."
"steak_5","Can you cook steak for me?","Μπορείτε να μαγειρέψετε μπριζόλα για μένα;"
"banana","Banana","Μπανάνα"
"banana_2","I like banana.","Μου αρέσει η μπανάνα."
"banana_3","I don't like banana.","Δεν μου αρέσει η μπανάνα."
"banana_4","I want to eat a banana.","Θέλω να φάω μπανάνα."
"pie","Pie","Πίτα"
"pie_2","I like pie.","Μου αρέσει η πιτα."
"pie_3","I don't like pie.","Δεν μου αρέσει η πίτα."
"pie_4","I want to eat pie.","Θέλω να φάω πίτα."
"pie_5","Can you bake a pie for me?","Μπορείς να φτιάξεις μια πίτα για μένα;"
"egg","Egg","Αυγό"
"egg_2","I like egg.","Μου αρέσει το αυγό."
"egg_3","I don't like egg.","Δεν μου αρέσει το αυγό."
"egg_4","I want to eat egg.","Θέλω να φάω αυγό."
"egg_5","I want fried eggs.","Θέλω τηγανητά αυγά."
"egg_6","I want boiled eggs.","Θέλω βραστά αυγά."
"noodles","Noodles","Λαζάνια"
"noodles_2","I like noodles.","Μου αρέσουν τα ζυμαρικά."
"noodles_3","I don't like noodles.","Δεν μου αρέσουν τα ζυμαρικά."
"noodles_4","I want to eat noodles.","Θέλω να φάω χυλοπίτες."
"noodles_5","Can you cook noodles for me?","Μπορείτε να μαγειρέψετε noodles για μένα;"
"salt","Salt","Αλας"
"salt_2","I want salt.","Θέλω αλάτι."
"salt_3","Can you pass me the salt?","Μπορείς να μου δώσεις το αλάτι;"
"salt_4","Food is too salty.","Το φαγητό είναι πολύ αλμυρό."
"salt_5","My food needs some salt.","Το φαγητό μου χρειάζεται λίγο αλάτι."
"spices","Spices","Μπαχαρικά"
"spices_2","I like spicy food.","Μου αρέσει το πικάντικο φαγητό."
"spices_3","I don't like spicy food.","Δεν μου αρέσει το πικάντικο φαγητό."
"spices_4","I want paprika.","Θέλω πάπρικα."
"spices_5","I want black pepper.","Θέλω μαύρο πιπέρι."
"pizza","Pizza","Πίτσα"
"pizza_2","I like pizza.","Μου αρέσει η πίτσα."
"pizza_3","I don't like pizza.","Δεν μου αρέσει η πίτσα."
"pizza_4","I want to eat pizza.","Θέλω να φάω πίτσα."
"pizza_5","Can you cook pizza for me?","Μπορείτε να μαγειρέψετε πίτσα για μένα;"
"pizza_6","Can we order pizza?","Μπορούμε να παραγγείλουμε πίτσα;"
"cheese","Cheese","Τυρί"
"cheese_2","I like cheese.","Μου αρέσει το τυρί."
"cheese_3","I don't like cheese.","Δεν μου αρέσει το τυρί."
