"activities","Activities","කටයුතු"
"hoodies_2","I like wearing hoodies.","මම හුඩීස් ඇඳීමට කැමතියි."
"hoodies_3","Can you help me wear my hoodie?","ඔබට මගේ හිස් වැස්ම පැළඳීමට උදව් කළ හැකිද?"
"swimming-shorts","Swimming shorts","පිහිනුම් කොට කලිසම්"
"swimming-shorts_2","My swimming shorts are dirty.","මගේ පිහිනුම් කොට කලිසම් අපිරිසිදුයි."
"swimming-shorts_3","Can you help me wear my swimming shorts?","මගේ පිහිනුම් කොට කලිසම ඇඳීමට ඔබට උදව් කළ හැකිද?"
"bow-tie","Bow tie","ටයි එක ගැටගහන්න"
"bow-tie_2","I like wearing bow tie.","මම දුන්න ටයි පටියක් ඇඳීමට කැමතියි."
"bow-tie_3","Can you help me wear my bow tie?","මගේ දුනු ටයි පටිය ඇඳීමට ඔබට උදව් කළ හැකිද?"
"leather-jacket","Leather jacket","හම් ජැකෙට්ටුව"
"leather-jacket_2","I like wearing leather jacket.","මම ලෙදර් ජැකට් ඇඳීමට කැමතියි."
"leather-jacket_3","Can you help me wear my leather jacket?","මගේ ලෙදර් ජැකට් ඇඳීමට ඔබට උදව් කළ හැකිද?"
"bathrobe","Bathrobe","නානකාමරය"
"bathrobe_2","I like wearing bathrobe.","මම නානකාමර ඇඳීමට කැමතියි."
"bathrobe_3","Can you help me wear my bathrobe?","ඔබට මගේ නාන කාමරය ඇඳීමට උදව් කළ හැකිද?"
"jumpsuit","Jumpsuit","ජම්ප් සූට්"
"jumpsuit_2","I like wearing jumpsuit.","මම ජම්ප් සූට් ඇඳීමට කැමතියි."
"jumpsuit_3","Can you help me wear my jumpsuit?","මගේ ජම්ප් සූට් ඇඳීමට ඔබට උදව් කළ හැකිද?"
"fedora-hat","Fedora hat","ෆෙඩෝරා තොප්පිය"
"fedora-hat_2","I like wearing fedora hat.","මම ෆෙඩෝරා තොප්පියක් ඇඳීමට කැමතියි."
"fedora-hat_3","Can you help me wear my fedora hat?","මගේ ෆෙඩෝරා තොප්පිය පැළඳීමට ඔබට උදව් කළ හැකිද?"
"t-shirt","T-shirt","ටී ෂර්ට්"
"t-shirt_2","I like wearing t-shirt.","මම ටී ෂර්ට් ඇඳීමට කැමතියි."
"t-shirt_3","Can you help me wear my t-shirt?","මගේ ටී ෂර්ට් ඇඳීමට ඔබට උදව් කළ හැකිද?"
"sleeveless","Sleeveless","අත් නැති"
"sleeveless_2","I like wearing sleeveless.","මම අත් නැති ඇඳීමට කැමතියි."
"sleeveless_3","Can you help me wear my sleeveless?","මගේ අත් නැති ඇඳුම ඇඳීමට ඔබට උදව් කළ හැකිද?"
"boxers","Boxers","බොක්සිං ක්‍රීඩකයින්"
"boxers_2","I like wearing boxers.","මම බොක්සිං ක්‍රීඩකයින් ඇඳීමට කැමතියි."
"boxers_3","Can you help me wear my boxers?","මගේ බොක්සිං ක්‍රීඩකයින් ඇඳීමට මට උදව් කළ හැකිද?"
"vest","Vest","වෙස්ට්"
"vest_2","I like wearing vest.","මම කබාය ඇඳීමට කැමතියි."
"vest_3","Can you help me wear my vest?","ඔබට මගේ කබාය ඇඳීමට උදව් කළ හැකිද?"
"pamela-hat","Pamela hat","පමෙලා තොප්පිය"
"pamela-hat_2","I like wearing pamela hat.","මම පැමෙලා තොප්පියක් ඇඳීමට කැමතියි."
"pamela-hat_3","Can you help me wear my pamela hat?","මගේ පැමෙලා තොප්පිය පැළඳීමට ඔබට උදව් කළ හැකිද?"
"high-heels","High heels","අඩි උස සපත්තු"
"high-heels_2","I like wearing high heels.","මම උස සපත්තු ඇඳීමට කැමතියි."
"high-heels_3","Can you help me wear my high heels?","මගේ උස සපත්තු පැළඳීමට මට උදව් කළ හැකිද?"
"overalls","Overalls","සමස්ත"
"overalls_2","I like wearing overalls.","මම කැමතියි ඇඳුම් ඇඳීමට."
"overalls_3","Can you help me wear my overalls?","මගේ ඇඳුම් ඇඳීමට මට උදව් කළ හැකිද?"
"kimono","Kimono","කිමෝනෝ"
"kimono_2","I like wearing kimono.","මම කිමෝනෝ ඇඳීමට කැමතියි."
"kimono_3","Can you help me wear my kimono?","මගේ කිමෝනෝ ඇඳීමට ඔබට උදව් කළ හැකිද?"
"raincoat","Raincoat","වැහි කබාය"
"raincoat_2","I like wearing raincoat.","මම වැහි කබායක් ඇඳීමට කැමතියි."
"raincoat_3","Can you help me wear my raincoat?","මගේ වැහි කබාය ඇඳීමට ඔබට උදව් කළ හැකිද?"
"bandana","Bandana","බණ්ඩානා"
"bandana_2","I like wearing bandana.","මම බණ්ඩානා ඇඳීමට කැමතියි."
"bandana_3","Can you help me wear my bandana?","ඔබට මගේ බණ්ඩානා ඇඳීමට උදව් කළ හැකිද?"
"beret","Beret","බෙරෙට්"
"beret_2","I like wearing beret.","මම බෙරෙට් ඇඳීමට කැමතියි."
"beret_3","Can you help me wear my beret?","ඔබට මගේ බෙරෙට් ඇඳීමට උදව් කළ හැකිද?"
"knit-hat","Knit hat","ගොතන ලද තොප්පිය"
"knit-hat_2","I like wearing knit hat.","මම ගොතන ලද තොප්පියක් ඇඳීමට කැමතියි."
"knit-hat_3","Can you help me wear my knit hat?","මගේ ගොතන ලද තොප්පිය පැළඳීමට ඔබට උදව් කළ හැකිද?"
"suspenders","Suspenders","අත්හිටුවන්නන්"
"suspenders_2","I like wearing suspenders.","මම අත්හිටුවීම් ඇඳීමට කැමතියි."
"suspenders_3","Can you help me wear my suspenders?","මගේ අත්හිටුවීම් පැළඳීමට මට උදව් කළ හැකිද?"
"mitten","Mitten","මිටන්"
"mitten_2","I like wearing mitten.","මම කැමතියි මිටන් ඇඳීමට."
"mitten_3","Can you help me wear my mitten?","ඔබට මගේ මිටන් ඇඳීමට උදව් කළ හැකිද?"
"suit","Suit","ඇඳුම් කට්ටලය"
"suit_2","I like wearing suit.","මම ඇඳුම ඇඳීමට කැමතියි."
"suit_3","Can you help me wear my suit?","මගේ ඇඳුම ඇඳීමට ඔබට උදව් කළ හැකිද?"
"coat","Coat","කබාය"
"coat_2","I like wearing coat.","මම කබාය ඇඳීමට කැමතියි."
"coat_3","Can you help me wear my coat?","මගේ කබාය ඇඳීමට ඔබට උදව් කළ හැකිද?"
"trench-coat","Trench coat","අගල කබාය"
"trench-coat_2","I like wearing trench coat.","මම කැමතියි අගල කබාය ඇඳීමට."
"trench-coat_3","Can you help me wear my trench coat?","මගේ අගල කබාය ඇඳීමට ඔබට උදව් කළ හැකිද?"
"colors","Colors","වර්ණ"
"crayons","Crayons","ක්රෙයොන්ස්"
"crayons_2","I like crayons.","මම ක්‍රෙයොන්ස් වලට කැමතියි."
"crayons_3","Can you give me crayons?","ඔයාට මට ක්‍රෙයොන්ස් දෙන්න පුළුවන්ද?"
"crayons_4","I want to draw using my crayons.","මගේ ඉරිතැලීම් භාවිතයෙන් ඇඳීමට මට අවශ්‍යයි."
"red","Red","රතු"
"red_2","It is red.","එය රතු ය."
"red_3","My favorite color is red.","මගේ ප්‍රියතම වර්ණය රතු ය."
"red_4","Can you give me red paint?","ඔබට මට රතු තීන්ත ලබා දිය හැකිද?"
"blue","Blue","නිල්"
"blue_2","It is blue.","එය නිල් ය."
"blue_3","My favorite color is blue.","මගේ ප්‍රියතම වර්ණය නිල්."
"blue_4","Can you give me blue paint?","මට නිල් පැහැති තීන්තයක් දෙන්න පුළුවන්ද?"
"orange","Orange","තැඹිලි"
"orange_2","It is orange color.","එය තැඹිලි පාටයි."
"orange_3","My favorite color is orange.","මගේ ප්‍රියතම වර්ණය තැඹිලි පාටයි."
"orange_4","Can you give me orange paint?","ඔබට මට තැඹිලි තීන්ත ලබා දිය හැකිද?"
"green","Green","කොළ"
"green_2","It is green.","එය කොළ පාටයි."
"green_3","My favorite color is green.","මගේ ප්‍රියතම වර්ණය කොළ පාටයි."
"green_4","Can you give me green paint?","ඔබට මට කොළ පැහැති තීන්ත ලබා දිය හැකිද?"
"yellow","Yellow","කහ"
"yellow_2","It is yellow.","එය කහ ය."
"yellow_3","My favorite color is yellow.","මගේ ප්‍රියතම වර්ණය කහ."
"yellow_4","Can you give me yellow paint?","ඔබට මට කහ තීන්ත ලබා දිය හැකිද?"
"purple","Purple","දම් පාට"
"purple_2","It is purple.","එය දම් පාටයි."
"purple_3","My favorite color is purple.","මගේ ප්‍රියතම වර්ණය දම් පාටයි."
"purple_4","Can you give me purple paint?","මට දම් පාට තීන්තයක් දෙන්න පුළුවන්ද?"
"pink","Pink","රෝස"
"pink_2","It is pink.","එය රෝස පැහැයකි."
"pink_3","My favorite color is pink.","මගේ ප්‍රියතම වර්ණය රෝස පාටයි."
"pink_4","Can you give me pink paint?","මට රෝස පැහැති තීන්තයක් දෙන්න පුළුවන්ද?"
"brown","Brown","දුඹුරු"
"brown_2","It is brown.","එය දුඹුරු ය."
"brown_3","My favorite color is brown.","මගේ ප්‍රියතම වර්ණය දුඹුරු."
"brown_4","Can you give me brown paint?","මට දුඹුරු තීන්ත දෙන්න පුළුවන්ද?"
"black","Black","කළු"
"black_2","It is black.","එය කළු ය."
"black_3","My favorite color is black.","මගේ ප්‍රියතම වර්ණය කළු ය."
"black_4","Can you give me black paint?","මට කළු තීන්ත දෙන්න පුළුවන්ද?"
"white","White","සුදු"
"white_2","It is white.","එය සුදු ය."
"white_3","My favorite color is white.","මගේ ප්‍රියතම වර්ණය සුදු ය."
"white_4","Can you give me white paint?","ඔබට මට සුදු තීන්ත ලබා දිය හැකිද?"
"gray","Gray","අළු"
"gray_2","It is gray.","එය අළු පැහැයකි."
"gray_3","My favorite color is gray.","මගේ ප්‍රියතම වර්ණය අළු පාටයි."
"gray_4","Can you give me gray paint?","මට අළු පාට දෙන්න පුළුවන්ද?"
"transparent","Transparent","විනිවිද පෙනෙන"
"transparent_2","It is transparent.","එය විනිවිද පෙනෙන ය."
"transparent_3","I can see behind transparent color.","විනිවිද පෙනෙන වර්ණය පිටුපස මට පෙනේ."
"transparent_4","Can you help me erase?","මකා දැමීමට මට උදව් කළ හැකිද?"
"cyan","Cyan","සයන්"
"cyan_2","It is cyan.","එය සයන් ය."
"cyan_3","My favorite color is cyan.","මගේ ප්‍රියතම වර්ණය සයන් ය."
"cyan_4","Can you give me cyan paint?","ඔබට මට සයන් තීන්ත ලබා දිය හැකිද?"
"violet","Violet","වයලට්"
"violet_2","It is violet.","එය වයලට් ය."
"violet_3","My favorite color is violet.","මගේ ප්‍රියතම වර්ණය වයලට් ය."
"violet_4","Can you give me violet paint?","ඔබට මට වයලට් තීන්ත ලබා දිය හැකිද?"
"turquoise","Turquoise","ටර්කියුයිස්"
"turquoise_2","It is turquoise.","එය ටර්කියුයිස් ය."
"turquoise_3","My favorite color is turquoise.","මගේ ප්‍රියතම වර්ණය ටර්කියුයිස් ය."
"turquoise_4","Can you give me turquoise paint?","ඔබට මට ටර්කියුයිස් තීන්ත ලබා දිය හැකිද?"
"lime","Lime","දෙහි"
"lime_2","It is lime.","එය දෙහි ය."
"lime_3","My favorite color is lime.","මගේ ප්‍රියතම වර්ණය දෙහි."
"lime_4","Can you give me lime paint?","මට දෙහි තීන්ත දෙන්න පුළුවන්ද?"
"plum","Plum","වියලි මිදි"
"plum_2","It is plum.","එය උගත් පන්තියකි."
"plum_3","My favorite color is plum.","මගේ ප්‍රියතම වර්ණය උගත් පන්තියයි."
"plum_4","Can you give me plum paint?","ඔබට මට ප්ලම් තීන්ත ලබා දිය හැකිද?"
"tan","Tan","ටැන්"
"tan_2","It is tan color.","එය ටැන් වර්ණයකි."
"tan_3","My favorite color is tan color.","මගේ ප්‍රියතම වර්ණය ටැන් වර්ණයයි."
"tan_4","Can you give me tan color paint?","ඔබට මට ටැන් වර්ණ තීන්ත ලබා දිය හැකිද?"
"avocado","Avocado","අලිගැටපේර"
"avocado_2","It is avocado color.","එය අලිගැට පේර වර්ණයයි."
"avocado_3","My favorite color is avocado color.","මගේ ප්‍රියතම වර්ණය අලිගැට පේර වර්ණයයි."
"avocado_4","Can you give me avocado color paint?","ඔබට මට අලිගැට පේර වර්ණ තීන්ත ලබා දිය හැකිද?"
"barbie-pink","Barbie pink","බාර්බි රෝස"
"barbie-pink_2","It is barbie pink color.","එය බාර්බි රෝස පැහැයයි."
"barbie-pink_3","My favorite color is barbie pink.","මගේ ප්‍රියතම වර්ණය බාර්බි රෝස ය."
"barbie-pink_4","Can you give me barbie pink paint?","ඔබට මට බාර්බි රෝස තීන්ත ලබා දිය හැකිද?"
"blizzard-blue","Blizzard blue","හිම කුණාටු නිල්"
"blizzard-blue_2","It is blizzard blue color.","එය හිම නිල් පැහැයකි."
"blizzard-blue_3","My favorite color is blizzard blue color.","මගේ ප්‍රියතම වර්ණය හිම කුණාටු නිල් පැහැයයි."
"blizzard-blue_4","Can you give me blizzard blue paint?","ඔබට මට නිල් පැහැති තීන්ත ලබා දිය හැකිද?"
"conversation","Conversation","සාකච්ඡාව"
"me","Me","මට"
"me_2","My name is {name}","මගේ නම {name}"
"me_3","I'm {name}","මම {නම}"
"me_4","Do you know my name?","ඔබ මගේ නම දන්නවාද?"
"me_5","What is your name?","ඔයාගේ නම කුමක් ද?"
"me_6","Nice to meet you!","ඔයාව හමුවීම සතුටක්!"
"me_7","Do you like me?","ඔබ මට කැමතිද?"
"me_8","Can we be friends?","අපිට මිතුරන් විය හැකි ද?"
"me_9","I'm using assistive communication app.","මම සහායක සන්නිවේදන යෙදුමක් භාවිතා කරමි."
"me_10","Who are you?","ඔබ කව්ද?"
"hello","Hello","හෙලෝ"
"hello_2","Hello.","හෙලෝ."
"hello_3","Hi.","හායි."
"hello_4","Greetings.","සුබ පැතුම්."
"hello_5","How are you?","ඔබට කෙසේද?"
"hello_6","Nice to meet you!","ඔයාව හමුවීම සතුටක්!"
"help","Help","උදව්"
"help_2","Help me.","මට උදව් කරන්න."
"help_3","Can you help me?","ඔයාට මට උදව් කළ හැකි ද?"
"help_4","I need help","මට උදව් අවශ්යයි"
"help_5","Do you need help?","ඔබට උදව්වක් අවශ්යද?"
"yes","Yes","ඔව්"
"yes_2","Yes.","ඔව්."
"yes_3","Yes please.","ඔව් කරුණාකරලා."
"yes_4","Alright.","හරි."
"yes_5","Agreed.","එකඟ විය."
"yes_6","I want to.","මට උවමනයි."
"yes_7","I would like to.","මම කැමතියි."
"no","No","නොමැත"
"no_2","No.","නොමැත."
"no_3","Nope.","නෑ."
"no_4","Never.","කවදාවත්."
"no_5","I don't want to.","මට අවශ්‍ය නැහැ."
"no_6","I don't like it.","මම එයට කැමති නැහැ."
"no_7","You don't like it?","ඔබ එයට කැමති නැද්ද?"
"no_8","Why you don't like it?","ඔබ එයට අකමැති ඇයි?"
"toilet","Toilet","වැසිකිළිය"
"toilet_2","I need to go to the toilet.","මට වැසිකිළියට යන්න ඕන."
"toilet_3","I need to pee.","මට මුත්‍රා කිරීමට අවශ්‍යයි."
"toilet_4","I need to poop.","මට අවශ්‍යයි."
"toilet_5","Can you help me go to the toilet?","වැසිකිළියට යාමට මට උදව් කළ හැකිද?"
"toilet_6","Can you help me clean?","ඔබට මට පිරිසිදු කිරීමට උදව් කළ හැකිද?"
"toilet_7","I peed myself.","මම මා දෙස බැලුවෙමි."
"toilet_8","I pooped myself.","මම මා ගැනම සිතුවෙමි."
"what","What","කුමක්ද"
"what_2","What is that?","එය කුමක් ද?"
"what_3","What does it mean?","එයින් අදහස් කරන්නේ කුමක් ද?"
"what_4","What do you mean?","ඔයා අදහස් කරන්නේ කුමක් ද?"
"what_5","Can you explain it?","ඔබට එය පැහැදිලි කළ හැකිද?"
"what_6","Can you repeat what you said?","ඔබ කියූ දේ නැවත කළ හැකිද?"
"what_7","I don't understand.","මට තේරෙන්නේ නැහැ."
"sleep","Sleep","නිදාගන්න"
"sleep_2","I want to sleep.","මට නිදියන්න ඕන."
"sleep_3","I don't want to sleep.","මට නිදාගන්න ඕන නෑ."
"sleep_4","I'm tired.","මට මහන්සියි."
"sleep_5","Are you tired?","ඔ බ ට ම හ න් සි ද?"
"sleep_6","When am I going to sleep?","මම නිදා ගන්නේ කවදාද?"
"sleep_7","I want to take a nap.","මට නිදාගන්න ඕන."
"bath","Bath","නාන"
"bath_2","I want to take a bath.","මට ස්නානය කිරීමට අවශ්‍යයි."
"bath_3","I like taking a bath.","මම ස්නානය කිරීමට කැමතියි."
"bath_4","I want to wash my hands.","මට අත් සේදීමට අවශ්‍යයි."
"bath_5","I want to take a shower.","මට ස්නානය කිරීමට අවශ්‍යයි."
"bath_6","I want to clean myself.","මට මාවම පිරිසිදු කරන්න ඕන."
"bath_7","Can you help me take a bath?","මට ස්නානය කිරීමට මට උදව් කළ හැකිද?"
"bath_8","I don't want to take a bath.","මට ස්නානය කිරීමට අවශ්‍ය නැත."
"listen","Listen","සවන් දෙන්න"
"listen_2","Listen to me.","මට සවන් දෙන්න."
"listen_3","Can you listen to me?","ඔබට මට ඇහුම්කන් දිය හැකිද?"
"listen_4","Listen to music.","සංගීතයට සවන් දෙන්න."
"listen_5","Listening to my parents.","මගේ දෙමාපියන්ට ඇහුම්කන් දීම."
"listen_6","Listen to what my application is saying!","මගේ යෙදුම පවසන දේට සවන් දෙන්න!"
"morning","Morning","උදෑසන"
"morning_2","Good morning.","සුභ උදෑසනක්."
"morning_3","I like mornings.","මම උදේට කැමතියි."
"morning_4","In the morning.","උදෑසන."
"morning_5","Morning time.","උදේ වේලාව."
"morning_6","Is it morning?","එය උදේ ද?"
"night","Night","රෑ"
"night_2","Good night!","සුභ රාත්රියක්!"
"night_3","I like nights.","මම රෑට කැමතියි."
"night_4","At night.","රාත්රියේදී."
"night_5","Night time.","රාත්‍රී කාලය."
"night_6","Is it night?","එය රාත්‍රියක්ද?"
"look","Look","බලන්න"
"look_2","Look at me.","මා දිහා බලන්න."
"look_3","Look at this.","මේ දෙස බලන්න."
"look_4","Are you looking?","ඔයා බලනවද?"
"look_5","Look at my drawing.","මගේ චිත්‍රය දෙස බලන්න."
"look_6","How do I look?","මගේ පෙනුම කොහොමද?"
"look_7","Look what I did.","බලන්න මම කරපු දේ."
"look_8","Let's look at that.","අපි ඒ දෙස බලමු."
"speak","Speak","කතා කරන්න"
"speak_2","I'm learning how to speak.","මම කතා කරන ආකාරය ඉගෙන ගන්නවා."
"speak_3","I want to speak.","මට කතා කරන්න ඕන."
"speak_4","Can I speak with you?","මට ඔබ සමඟ කතා කළ හැකිද?"
"speak_5","I like speaking.","මම කතා කරන්න කැමතියි."
"speak_6","I'm using assistive communication app.","මම සහායක සන්නිවේදන යෙදුමක් භාවිතා කරමි."
"play","Play","සෙල්ලම් කරන්න"
"play_2","I love playing.","මම සෙල්ලම් කිරීමට කැමතියි."
"play_3","Can you play with me?","ඔබට මා සමඟ සෙල්ලම් කළ හැකිද?"
"play_4","I want to play with you!","මට ඔබ සමඟ සෙල්ලම් කිරීමට අවශ්‍යයි!"
"play_5","I want to play with my friends.","මට මගේ මිතුරන් සමඟ සෙල්ලම් කිරීමට අවශ්‍යයි."
"play_6","I don't want to play with you.","මට ඔබ සමඟ සෙල්ලම් කිරීමට අවශ්‍ය නැත."
"outside","Outside","පිටත"
"outside_2","I love going outside.","මම පිටතට යාමට කැමතියි."
"outside_3","I want to go outside.","මට එළියට යන්න ඕන."
"outside_4","Is it cold outside?","පිටත සීතලද?"
"outside_5","I don't like outside.","මම පිටතින් කැමති නැහැ."
"outside_6","Can I go outside?","මට පිටතට යා හැකිද?"
"home","Home","නිවස"
"home_2","I love my home.","මම මගේ ගෙදරට ආදරෙයි."
"home_3","I want to go home.","මට ගෙදර යන්න ඕනෙ."
"home_4","Where is your home?","ඔයාගේ ගෙදර කොහෙද?"
"home_5","Home sweet home.","සුන්දර නිවස."
"home_6","I'm in the house.","මම ගෙදර ඉන්නේ"
"home_7","I'm not in the house.","මම ගෙදර නැහැ."
"hurt","Hurt","රිදෙනවා"
"hurt_2","I'm hurt.","මගේ හිත රිදුනා."
"hurt_3","Are you hurt?","ඔබට රිදෙනවාද?"
"hurt_4","Did I hurt you?","මම ඔයාට රිද්දන්නද?"
"hurt_5","I didn't mean to hurt you!","මම කිව්වේ ඔයාට රිද්දන්න නෙවෙයි!"
"hurt_6","Is it going to hurt?","එය රිදවනවාද?"
"hurt_7","I have a headache.","මට ඔලුවේ කැක්කුමයි."
"hurt_8","I have a stomach ache.","මට බඩේ අමාරුවක් තියෙනවා."
"hurt_9","My genitals hurt.","මගේ ලිංගේන්ද්‍රිය රිදෙනවා."
"hurt_10","My foot hurts.","මගේ පාදය රිදෙනවා."
"feelings","Feelings","හැඟීම්"
"happy","Happy","සතුටු"
"happy_2","I'm happy.","මම සතුටින්."
"happy_3","I feel happy.","මට සතුටක් දැනෙනවා."
"happy_4","Do you feel happy?","ඔබට සතුටක් දැනෙනවාද?"
"happy_5","I want to feel happy.","මට සතුටක් දැනෙන්න ඕන."
"happy_6","You are making me happy.","ඔබ මාව සතුටු කරනවා."
"sad","Sad","දුක"
"sad_2","I'm sad.","මම දුකින්."
"sad_3","I feel sad.","මට දුක හිතෙනවා."
"sad_4","Do you feel sad?","ඔබට දුකක් දැනෙනවාද?"
"sad_5","I don't want to feel sad.","මට දුකක් දැනීමට අවශ්‍ය නැත."
"sad_6","You are making me sad.","ඔබ මාව දුකට පත් කරනවා."
"exhausted","Exhausted","වෙහෙසට පත්ව ඇත"
"exhausted_2","I'm exhausted.","මම අතිශයින් වෙභෙසට පත් වී ඇත."
"exhausted_3","I feel exhausted.","මට මහන්සියි."
"exhausted_4","Do you feel exhausted?","ඔබට වෙහෙස දැනෙනවාද?"
"exhausted_5","I don't want to be exhausted.","මට වෙහෙසට පත්වීමට අවශ්‍ය නැත."
"relaxed","Relaxed","සැහැල්ලුවෙන්"
"relaxed_2","I'm relaxed.","මම සැහැල්ලුවෙන් සිටිමි."
"relaxed_3","I feel relaxed.","මට සැහැල්ලුවක් දැනෙනවා."
"relaxed_4","Do you feel relaxed?","ඔබට සැහැල්ලුවක් දැනෙනවාද?"
"relaxed_5","I want to feel relaxed.","මට සැහැල්ලුවක් දැනෙන්න ඕන."
"in-love","In love","ආදරයෙන්"
"in-love_2","I'm in love.","මම ඉන්නේ ආදරයෙන්."
"in-love_3","I feel in love.","මට ආදරයක් දැනෙනවා."
"in-love_4","Are you in love?","ඔබ ආදරය කරනවාද?"
"in-love_5","I want to fall in love.","මම ආදරය කරන්න ඕන."
"in-love_6","Do you love me?","ඔබ මට ආදරෙයි ද?"
"stressed","Stressed","ආතතිය"
"stressed_2","I'm stressed.","මම ආතතියෙන්."
"stressed_3","I feel stressed.","මට ආතතියක් දැනෙනවා."
"stressed_4","Do you feel stressed?","ඔබට ආතතියක් දැනෙනවාද?"
"stressed_5","I don't want to feel stressed.","මට ආතතිය දැනෙන්නට අවශ්‍ය නැත."
"thankful","Thankful","ස්තූතියි"
"thankful_2","I'm thankful.","මම ස්තූතිවන්ත වෙනවා."
"thankful_3","I feel thankful.","මට ස්තූතිවන්ත වෙනවා."
"thankful_4","Do you feel thankful?","ඔබට ස්තූතිවන්ත වෙනවාද?"
"thankful_5","I want to feel thankful.","මට ස්තූතිවන්ත වීමට අවශ්‍යයි."
"confused","Confused","ව්‍යාකූලයි"
"confused_2","I'm confused.","මම ව්යාකුලයි."
"confused_3","I feel confused.","මට ව්‍යාකූල බවක් දැනේ."
"confused_4","Do you feel confused?","ඔබට ව්‍යාකූල බවක් දැනෙනවාද?"
"confused_5","You are confusing me.","ඔබ මාව ව්‍යාකූල කරනවා."
"joyful","Joyful","ප්රීතිමත්"
"joyful_2","I'm joyful.","මම සතුටුයි."
"joyful_3","I feel joyful.","මට සතුටක් දැනෙනවා."
"joyful_4","Do you feel joyful?","ඔබට ප්‍රීතියක් දැනෙනවාද?"
"joyful_5","I want to feel joyful.","මට ප්රීතිය දැනීමට අවශ්යයි."
"angry","Angry","තරහයි"
"angry_2","I'm angry.","මම තරහින්."
"angry_3","I feel angry.","මට තරහක් දැනෙනවා."
"angry_4","Do you feel angry?","ඔබට තරහක් දැනෙනවාද?"
"angry_5","I'm angry at you.","මම ඔයාට තරහයි."
"angry_6","You are making me angry.","ඔයා මාව තරහ කරනවා."
"smart","Smart","ස්මාර්ට්"
"smart_2","I'm smart.","මම දක්ෂයි."
"smart_3","I feel smart.","මට බුද්ධිමත් බවක් දැනේ."
"smart_4","Do you feel smart?","ඔබට බුද්ධිමත් බවක් දැනෙනවාද?"
"smart_5","Am I smart?","මම දක්ෂද?"
"smart_6","You are smart!","ඔබ දක්ෂයි!"
"afraid","Afraid","බියෙන්"
"afraid_2","I'm afraid.","මට පුදුමයි."
"afraid_3","I feel afraid.","මට බයක් දැනෙනවා."
"afraid_4","Do you feel afraid?","ඔබට බියක් දැනෙනවාද?"
"afraid_5","I don't want to feel afraid.","මට බය වෙන්න ඕන නෑ."
"afraid_6","You are scaring me.","ඔයා මාව බය කරනවා."
"ashamed","Ashamed","ලැජ්ජයි"
"ashamed_2","I'm ashamed.","මට ලැජ්ජයි."
"ashamed_3","I feel ashamed.","මට ලැජ්ජාවක් දැනෙනවා."
"ashamed_4","Do you feel ashamed?","ඔබට ලැජ්ජාවක් දැනෙනවාද?"
"ashamed_5","I don't want to feel ashamed.","මට ලැජ්ජාවක් දැනෙන්නට අවශ්‍ය නැත."
"shocked","Shocked","කම්පනයට පත් විය"
"shocked_2","I'm shocked.","මම කම්පනයට පත්ව සිටිමි."
"shocked_3","I feel shocked.","මට කම්පනයක් දැනෙනවා."
"shocked_4","Do you feel shocked?","ඔබට කම්පනයක් දැනෙනවාද?"
"shocked_5","You shocked me.","ඔබ මාව කම්පනයට පත් කළා."
"sick","Sick","අසනීප"
"sick_2","I'm sick.","මම එපා වෙලා."
"sick_3","I feel sick.","මට අසනීප වගෙයි."
"sick_4","Do you feel sick?","ඔබ අසනිපයෙන්ද?"
"sick_5","I don't want to be sick.","මට අසනීප වෙන්න ඕන නෑ."
"sick_6","I'm sick of the food.","මට කෑම ගැන අසනීපයි."
"frustrated","Frustrated","කලකිරීමට පත් විය"
"frustrated_2","I'm frustrated.","මම කලකිරුණා."
"frustrated_3","I feel frustrated.","මට කලකිරීමක් දැනෙනවා."
"frustrated_4","Do you feel frustrated?","ඔබට කලකිරීමක් දැනෙනවාද?"
"frustrated_5","I don't want to feel frustrated.","මට කලකිරීමක් දැනෙන්නට අවශ්‍ය නැත."
"excited","Excited","කලබලයි"
"excited_2","I'm excited.","මම කලබලයි."
"excited_3","I feel excited.","මට සතුටක් දැනෙනවා."
"excited_4","Do you feel excited?","ඔබට කලබලයක් දැනෙනවාද?"
"excited_5","I don't want to feel excited.","මට කලබල වීමට අවශ්‍ය නැත."
"nauseated","Nauseated","ඔක්කාරය"
"nauseated_2","I'm nauseated.","මට ඔක්කාරය."
"nauseated_3","I feel nauseated.","මට ඔක්කාරය දැනෙනවා."
"nauseated_4","Do you feel nauseated?","ඔබට ඔක්කාරය දැනෙනවාද?"
"nauseated_5","I don't want to feel nauseated.","මට ඔක්කාරය දැනෙන්නට අවශ්‍ය නැත."
"agitated","Agitated","කලබල විය"
"agitated_2","I'm agitated.","මම කලබල වෙලා."
"agitated_3","I feel agitated.","මට කලබලයක් දැනෙනවා."
"agitated_4","Do you feel agitated?","ඔබට කලබලයක් දැනෙනවාද?"
"agitated_5","I don't want to feel agitated.","මට කලබල වීමට අවශ්‍ය නැත."
"food","Food","කෑම"
"hungry","Hungry","කුසගින්න"
"hungry_2","I'm hungry.","මට බඩගිනියි."
"hungry_3","Are you hungry?","ඔයාට බඩගිනි ද?"
"hungry_4","Can you make me food?","ඔයාට පුළුවන්ද මට කෑම හදන්න?"
"hungry_5","What is for dinner?","රෑ කෑමට මොනවද?"
"thirsty","Thirsty","පිපාසය"
"thirsty_2","I'm thirsty.","මට තිබහයි."
