"activities","Activities","활동"
"pink_2","It is pink.","분홍색입니다."
"pink_3","My favorite color is pink.","내가 제일 좋아하는 색은 분홍색이야."
"pink_4","Can you give me pink paint?","나에게 분홍색 페인트를 줄 수 있습니까?"
"brown","Brown","갈색"
"brown_2","It is brown.","그것은 갈색이다."
"brown_3","My favorite color is brown.","내가 가장 좋아하는 색은 갈색입니다."
"brown_4","Can you give me brown paint?","갈색 페인트를 줄 수 있습니까?"
"black","Black","검은"
"black_2","It is black.","검은 색이야."
"black_3","My favorite color is black.","내가 가장 좋아하는 색은 검은 색입니다."
"black_4","Can you give me black paint?","검은 페인트를 줄 수 있습니까?"
"white","White","하얀"
"white_2","It is white.","흰색입니다."
"white_3","My favorite color is white.","내가 가장 좋아하는 색은 흰색입니다."
"white_4","Can you give me white paint?","하얀 페인트를 줄 수 있습니까?"
"gray","Gray","회색"
"gray_2","It is gray.","회색입니다."
"gray_3","My favorite color is gray.","내가 가장 좋아하는 색은 회색입니다."
"gray_4","Can you give me gray paint?","나에게 회색 페인트를 줄 수 있습니까?"
"transparent","Transparent","투명한"
"transparent_2","It is transparent.","투명하다."
"transparent_3","I can see behind transparent color.","투명한 색 뒤에서 볼 수 있습니다."
"transparent_4","Can you help me erase?","당신은 내가 지울 수 있습니까?"
"cyan","Cyan","청록"
"cyan_2","It is cyan.","청록색입니다."
"cyan_3","My favorite color is cyan.","내가 가장 좋아하는 색은 청록색입니다."
"cyan_4","Can you give me cyan paint?","청록색 페인트 좀 주실 래요?"
"violet","Violet","제비꽃"
"violet_2","It is violet.","보라색입니다."
"violet_3","My favorite color is violet.","내가 가장 좋아하는 색은 보라색입니다."
"violet_4","Can you give me violet paint?","보라색 페인트를 줄 수 있습니까?"
"turquoise","Turquoise","터키 옥"
"turquoise_2","It is turquoise.","청록색입니다."
"turquoise_3","My favorite color is turquoise.","내가 가장 좋아하는 색은 청록색입니다."
"turquoise_4","Can you give me turquoise paint?","청록색 페인트를 주실 수 있습니까?"
"lime","Lime","라임"
"lime_2","It is lime.","라임입니다."
"lime_3","My favorite color is lime.","내가 가장 좋아하는 색은 라임입니다."
"lime_4","Can you give me lime paint?","라임 페인트 좀 주실 래요?"
"plum","Plum","자두"
"plum_2","It is plum.","매실입니다."
"plum_3","My favorite color is plum.","내가 가장 좋아하는 색은 매화입니다."
"plum_4","Can you give me plum paint?","매화 페인트를 줄 수 있습니까?"
"tan","Tan","탠 껍질"
"tan_2","It is tan color.","황갈색입니다."
"tan_3","My favorite color is tan color.","내가 가장 좋아하는 색은 황갈색입니다."
"tan_4","Can you give me tan color paint?","황갈색의 페인트를 줄 수 있습니까?"
"avocado","Avocado","아보카도"
"avocado_2","It is avocado color.","아보카도 색입니다."
"avocado_3","My favorite color is avocado color.","내가 가장 좋아하는 색은 아보카도 색입니다."
"avocado_4","Can you give me avocado color paint?","아보카도 컬러 페인트를 주실 수 있습니까?"
"barbie-pink","Barbie pink","바비 핑크"
"barbie-pink_2","It is barbie pink color.","바비 핑크색입니다."
"barbie-pink_3","My favorite color is barbie pink.","내가 가장 좋아하는 색은 바비 핑크입니다."
"barbie-pink_4","Can you give me barbie pink paint?","바비 핑크 페인트를 주실 수 있습니까?"
"blizzard-blue","Blizzard blue","블리자드 블루"
"blizzard-blue_2","It is blizzard blue color.","눈 보라색입니다."
"blizzard-blue_3","My favorite color is blizzard blue color.","내가 가장 좋아하는 색은 눈 보라색입니다."
"blizzard-blue_4","Can you give me blizzard blue paint?","블리자드 블루 페인트를 주실 수 있습니까?"
"conversation","Conversation","대화"
"me","Me","나를"
"me_2","My name is {name}","내 이름은 {name}입니다"
"me_3","I'm {name}","나는 {name}입니다"
"me_4","Do you know my name?","제 이름을 아세요?"
"me_5","What is your name?","당신의 이름은 무엇입니까?"
"me_6","Nice to meet you!","만나서 반갑습니다!"
"me_7","Do you like me?","너 나 좋아하니?"
"me_8","Can we be friends?","우리는 친구가 될 수 있습니까?"
"me_9","I'm using assistive communication app.","보조 커뮤니케이션 앱을 사용하고 있습니다."
"me_10","Who are you?","누구세요?"
"hello","Hello","여보세요"
"hello_2","Hello.","안녕하세요."
"hello_3","Hi.","안녕."
"hello_4","Greetings.","인사말."
"hello_5","How are you?","어떻게 지내?"
"hello_6","Nice to meet you!","만나서 반갑습니다!"
"help","Help","도움"
"help_2","Help me.","도와 줘요."
"help_3","Can you help me?","도와주세요?"
"help_4","I need help","도움이 필요해"
"help_5","Do you need help?","도움이 필요하십니까?"
"yes","Yes","예"
"yes_2","Yes.","예."
"yes_3","Yes please.","예, 부탁합니다."
"yes_4","Alright.","좋구나."
"yes_5","Agreed.","동의했다."
"yes_6","I want to.","하고 싶다"
"yes_7","I would like to.","하고 싶습니다."
"no","No","아니"
"no_2","No.","아니."
"no_3","Nope.","아니."
"no_4","Never.","못."
"no_5","I don't want to.","하고 싶지 않아"
"no_6","I don't like it.","나는 그것을 좋아하지 않는다."
"no_7","You don't like it?","당신은 그것을 좋아하지 않습니까?"
"no_8","Why you don't like it?","왜 좋아하지 않습니까?"
"toilet","Toilet","화장실"
"toilet_2","I need to go to the toilet.","화장실에 가야 해요"
"toilet_3","I need to pee.","나 오줌 싸야 돼."
"toilet_4","I need to poop.","응가가 마려워 요."
"toilet_5","Can you help me go to the toilet?","화장실가는 거 도와 줄래?"
"toilet_6","Can you help me clean?","청소 좀 도와 줄래?"
"toilet_7","I peed myself.","나 자신을 오줌."
"toilet_8","I pooped myself.","나는 똥을 냈다."
"what","What","뭐"
"what_2","What is that?","그게 뭐야?"
"what_3","What does it mean?","무슨 뜻이에요?"
"what_4","What do you mean?","무슨 소리 야?"
"what_5","Can you explain it?","설명 할 수 있습니까?"
"what_6","Can you repeat what you said?","당신이 말한 것을 반복 할 수 있습니까?"
"what_7","I don't understand.","이해가 안 돼요"
"sleep","Sleep","자다"
"sleep_2","I want to sleep.","나는 자고 싶다."
"sleep_3","I don't want to sleep.","나는 자고 싶지 않다."
"sleep_4","I'm tired.","피곤 해요"
"sleep_5","Are you tired?","피곤하십니까?"
"sleep_6","When am I going to sleep?","언제 잠을 자나요?"
"sleep_7","I want to take a nap.","낮잠을 자고 싶습니다."
"bath","Bath","목욕"
"bath_2","I want to take a bath.","목욕하고 싶다."
"bath_3","I like taking a bath.","나는 목욕을 좋아합니다."
"bath_4","I want to wash my hands.","손을 씻고 싶습니다."
"bath_5","I want to take a shower.","샤워하고 싶어요."
"bath_6","I want to clean myself.","나는 나 자신을 청소하고 싶다."
"bath_7","Can you help me take a bath?","목욕 좀 도와 줄래?"
"bath_8","I don't want to take a bath.","나는 목욕을하고 싶지 않다."
"listen","Listen","들리다"
"listen_2","Listen to me.","잘 들어"
"listen_3","Can you listen to me?","내 말 들려요?"
"listen_4","Listen to music.","음악을 듣습니다."
"listen_5","Listening to my parents.","부모님의 말씀을 듣고 있습니다."
"listen_6","Listen to what my application is saying!","내 응용 프로그램이 말하는 것을 들어보십시오!"
"morning","Morning","아침"
"morning_2","Good morning.","좋은 아침."
"morning_3","I like mornings.","나는 아침을 좋아한다."
"morning_4","In the morning.","아침에."
"morning_5","Morning time.","아침 시간."
"morning_6","Is it morning?","아침이야?"
"night","Night","밤"
"night_2","Good night!","안녕히 주무세요!"
"night_3","I like nights.","나는 밤을 좋아한다."
"night_4","At night.","밤에."
"night_5","Night time.","밤 시간."
"night_6","Is it night?","밤인가요?"
"look","Look","보기"
"look_2","Look at me.","날 봐."
"look_3","Look at this.","이것 좀봐."
"look_4","Are you looking?","찾고 있습니까?"
"look_5","Look at my drawing.","내 그림을 봐"
"look_6","How do I look?","나 어때 보여?"
"look_7","Look what I did.","내가 한 짓을 봐"
"look_8","Let's look at that.","그것을 보자."
"speak","Speak","말하다"
"speak_2","I'm learning how to speak.","말하는 법을 배우고 있습니다."
"speak_3","I want to speak.","말하고 싶어"
"speak_4","Can I speak with you?","당신과 대화 할 수 있습니까?"
"speak_5","I like speaking.","나는 말하기를 좋아합니다."
"speak_6","I'm using assistive communication app.","보조 커뮤니케이션 앱을 사용하고 있습니다."
"play","Play","플레이"
"play_2","I love playing.","나는 연주를 좋아합니다."
"play_3","Can you play with me?","나랑 놀아 줄래?"
"play_4","I want to play with you!","너랑 놀고 싶어!"
"play_5","I want to play with my friends.","친구들과 놀고 싶어요."
"play_6","I don't want to play with you.","나는 당신과 놀고 싶지 않습니다."
"outside","Outside","외부"
"outside_2","I love going outside.","나는 밖에 나가는 것을 좋아합니다."
"outside_3","I want to go outside.","밖에 나가고 싶어"
"outside_4","Is it cold outside?","밖에 추워요?"
"outside_5","I don't like outside.","나는 외부를 좋아하지 않는다."
"outside_6","Can I go outside?","밖에 나가도 되나요?"
"home","Home","집"
"home_2","I love my home.","나는 내 집을 좋아한다."
"home_3","I want to go home.","집에 가고 싶어."
"home_4","Where is your home?","당신의 집은 어디에 있습니까?"
"home_5","Home sweet home.","집이 좋아."
"home_6","I'm in the house.","나는 집에있다."
"home_7","I'm not in the house.","나는 집에 없다."
"hurt","Hurt","상처"
"hurt_2","I'm hurt.","다 쳤어요"
"hurt_3","Are you hurt?","다 쳤어요?"
"hurt_4","Did I hurt you?","내가 너를 다치게 했니?"
"hurt_5","I didn't mean to hurt you!","난 당신을 다치게하지 않았다!"
"hurt_6","Is it going to hurt?","다칠까요?"
"hurt_7","I have a headache.","두통이 있습니다."
"hurt_8","I have a stomach ache.","나는 복통이있다."
"hurt_9","My genitals hurt.","내 생식기가 아프다."
"hurt_10","My foot hurts.","발이 아파요."
"feelings","Feelings","감정"
"happy","Happy","행복"
"happy_2","I'm happy.","나는 행복하다."
"happy_3","I feel happy.","난 행복 해요."
"happy_4","Do you feel happy?","당신은 행복하다고 느끼십니까?"
"happy_5","I want to feel happy.","나는 행복하다고 느끼고 싶다."
"happy_6","You are making me happy.","당신은 나를 행복하게 만들고 있습니다."
"sad","Sad","슬퍼"
"sad_2","I'm sad.","나는 슬프다."
"sad_3","I feel sad.","내가 슬퍼."
"sad_4","Do you feel sad?","슬퍼하니?"
"sad_5","I don't want to feel sad.","슬퍼하고 싶지 않습니다."
"sad_6","You are making me sad.","당신은 나를 슬프게 만들고 있습니다."
"exhausted","Exhausted","소진"
"exhausted_2","I'm exhausted.","난 지쳤어."
"exhausted_3","I feel exhausted.","나는 지친 느낌."
"exhausted_4","Do you feel exhausted?","지친 느낌이 있습니까?"
"exhausted_5","I don't want to be exhausted.","나는 지치고 싶지 않다."
"relaxed","Relaxed","편안한"
"relaxed_2","I'm relaxed.","편안합니다."
"relaxed_3","I feel relaxed.","편안한 느낌입니다."
"relaxed_4","Do you feel relaxed?","편안하다고 느끼십니까?"
"relaxed_5","I want to feel relaxed.","편안한 느낌을 원합니다."
"in-love","In love","사랑에"
"in-love_2","I'm in love.","난 사랑에 빠졌어"
"in-love_3","I feel in love.","사랑에 빠졌어요"
"in-love_4","Are you in love?","당신은 사랑에 있습니까?"
"in-love_5","I want to fall in love.","나는 사랑에 빠지고 싶다."
"in-love_6","Do you love me?","날 사랑하니?"
"stressed","Stressed","스트레스"
"stressed_2","I'm stressed.","나는 스트레스를 받았어."
"stressed_3","I feel stressed.","나는 스트레스를 받는다."
"stressed_4","Do you feel stressed?","스트레스를 받습니까?"
"stressed_5","I don't want to feel stressed.","스트레스를 받고 싶지 않습니다."
"thankful","Thankful","고마워"
"thankful_2","I'm thankful.","고마워"
"thankful_3","I feel thankful.","고마워"
"thankful_4","Do you feel thankful?","고마워요?"
"thankful_5","I want to feel thankful.","고마워요"
"confused","Confused","혼란"
"confused_2","I'm confused.","혼란 스러워요."
"confused_3","I feel confused.","혼란 스러워요."
"confused_4","Do you feel confused?","혼란스러워합니까?"
"confused_5","You are confusing me.","너는 나를 했 갈리 게 해."
"joyful","Joyful","즐거운"
"joyful_2","I'm joyful.","나는 기쁘다."
"joyful_3","I feel joyful.","나는 기분이 좋다."
"joyful_4","Do you feel joyful?","기분이 좋습니까?"
"joyful_5","I want to feel joyful.","나는 기분이 좋았습니다."
"angry","Angry","성난"
"angry_2","I'm angry.","나는 화가 해요."
"angry_3","I feel angry.","화 났어요"
"angry_4","Do you feel angry?","화나 시나요?"
"angry_5","I'm angry at you.","화 났어요"
"angry_6","You are making me angry.","당신은 나를 화나게 만들고 있습니다."
"smart","Smart","똑똑한"
"smart_2","I'm smart.","나는 똑똑해."
"smart_3","I feel smart.","똑똑하다"
"smart_4","Do you feel smart?","똑똑하다고 느끼십니까?"
"smart_5","Am I smart?","내가 똑똑해?"
"smart_6","You are smart!","당신은 똑똑!"
"afraid","Afraid","두려워"
"afraid_2","I'm afraid.","두렵습니다."
"afraid_3","I feel afraid.","두렵습니다."
"afraid_4","Do you feel afraid?","두렵습니까?"
"afraid_5","I don't want to feel afraid.","나는 두려움을 느끼고 싶지 않습니다."
"afraid_6","You are scaring me.","넌 날 무섭게하고있어"
"ashamed","Ashamed","부끄러워"
"ashamed_2","I'm ashamed.","나는 부끄러워 해요."
"ashamed_3","I feel ashamed.","부끄러워"
"ashamed_4","Do you feel ashamed?","부끄러워합니까?"
"ashamed_5","I don't want to feel ashamed.","부끄러워하고 싶지 않습니다."
"shocked","Shocked","충격"
"shocked_2","I'm shocked.","나는 충격을 받았다."
"shocked_3","I feel shocked.","나는 충격을 받는다."
"shocked_4","Do you feel shocked?","당신은 충격을 느끼십니까?"
"shocked_5","You shocked me.","당신은 나를 놀라게했다."
"sick","Sick","병든"
"sick_2","I'm sick.","아파요"
"sick_3","I feel sick.","나는 아프다."
"sick_4","Do you feel sick?","너 어디 아프니?"
"sick_5","I don't want to be sick.","나는 아프고 싶지 않습니다."
"sick_6","I'm sick of the food.","나는 음식이 아프다."
"frustrated","Frustrated","실망한"
"frustrated_2","I'm frustrated.","나는 좌절했다."
"frustrated_3","I feel frustrated.","나는 좌절감을 느낀다."
"frustrated_4","Do you feel frustrated?","좌절감을 느끼십니까?"
"frustrated_5","I don't want to feel frustrated.","나는 좌절감을 느끼고 싶지 않다."
"excited","Excited","흥분한"
"excited_2","I'm excited.","나는 신이 난다."
"excited_3","I feel excited.","나는 흥분을 느낀다."
"excited_4","Do you feel excited?","흥분 되나요?"
"excited_5","I don't want to feel excited.","나는 흥분을 느끼고 싶지 않습니다."
"nauseated","Nauseated","구역질"
"nauseated_2","I'm nauseated.","메스꺼움"
"nauseated_3","I feel nauseated.","메스꺼움"
"nauseated_4","Do you feel nauseated?","메스꺼움을 느끼십니까?"
"nauseated_5","I don't want to feel nauseated.","메스꺼움을 느끼고 싶지 않습니다."
"agitated","Agitated","흥분한"
"agitated_2","I'm agitated.","나는 흥분했다."
"agitated_3","I feel agitated.","나는 기분이 동요된다."
"agitated_4","Do you feel agitated?","당신은 흥분 느끼십니까?"
"agitated_5","I don't want to feel agitated.","나는 느끼고 싶지 않다."
"food","Food","음식"
"hungry","Hungry","배고픈"
"hungry_2","I'm hungry.","배고파."
"hungry_3","Are you hungry?","너 배고프 니?"
"hungry_4","Can you make me food?","음식 좀 만들어 줄래?"
"hungry_5","What is for dinner?","저녁 메뉴는 무엇인가요?"
"thirsty","Thirsty","물기 없는"
"thirsty_2","I'm thirsty.","목이 말라 요."
"thirsty_3","Can I have some water?","저 물 좀 주실 래요?"
"thirsty_4","Can I have a glass of water?","물 한잔 좀주세요?"
"thirsty_5","I want something to drink.","마실 것을 원합니다."
"cutlery","Cutlery","주방용 칼"
"cutlery_2","I need cutlery.","나는 칼이 필요합니다."
"cutlery_3","Help me use cutlery.","칼을 쓰도록 도와주세요."
"cutlery_4","I need a fork.","포크가 필요합니다."
"cutlery_5","I need a spoon.","숟가락이 필요합니다."
"cutlery_6","I need chopsticks.","젓가락이 필요합니다."
"cutlery_7","I need a knife.","칼이 필요해"
"cutlery_8","I need a napkin.","냅킨이 필요합니다."
"apple","Apple","사과"
"apple_2","I like apple.","나는 사과를 좋아한다."
"apple_3","I don't like apple.","나는 사과를 좋아하지 않는다."
"apple_4","I want to eat an apple.","사과를 먹고 싶어요."
"carrot","Carrot","당근"
"carrot_2","I like carrot.","나는 당근을 좋아한다."
"carrot_3","I don't like carrot.","나는 당근을 좋아하지 않습니다."
"carrot_4","I want to eat a carrot.","나는 당근을 먹고 싶어."
"beans","Beans","콩"
"beans_2","I like beans.","나는 콩을 좋아한다."
"beans_3","I don't like beans.","나는 콩을 좋아하지 않는다."
"beans_4","I want to eat beans.","콩을 먹고 싶어요."
"chicken_5","I want fried chicken.","나는 프라이드 치킨을 원한다."
"chicken_6","I want boiled chicken.","삶은 닭고기를 원합니다."
"chocolate","Chocolate","초콜릿"
"chocolate_2","I like chocolate.","나는 초콜릿을 좋아한다."
"chocolate_3","I don't like chocolate.","나는 초콜릿을 좋아하지 않는다."
"chocolate_4","I want to eat chocolate.","나는 초콜릿을 먹고 싶어."
"chocolate_5","I want dark chocolate.","다크 초콜릿을 원합니다."
"chocolate_6","I want white chocolate.","화이트 초콜릿을 원합니다."
"milk","Milk","우유"
"milk_2","I like milk.","나는 우유를 좋아한다."
"milk_3","I don't like milk.","나는 우유를 좋아하지 않습니다."
"milk_4","I want to drink milk.","우유를 마시고 싶습니다."
"milk_5","Can I have a glass of milk?","우유 한잔 할 수 있습니까?"
"sandwich","Sandwich","샌드위치"
"sandwich_2","I like sandwich.","나는 샌드위치를 좋아한다."
"sandwich_3","I don't like sandwich.","나는 샌드위치를 좋아하지 않습니다."
"sandwich_4","I want to eat a sandwich.","샌드위치를 먹고 싶어요."
"sandwich_5","Can you make me a sandwich?","샌드위치 좀 만들어 줄래?"
"steak","Steak","스테이크"
"steak_2","I like steak.","나는 스테이크를 좋아한다."
"steak_3","I don't like steak.","나는 스테이크를 좋아하지 않는다."
"steak_4","I want to eat steak.","스테이크를 먹고 싶어요."
"steak_5","Can you cook steak for me?","나를 위해 스테이크를 요리 할 수 있습니까?"
"banana","Banana","바나나"
"banana_2","I like banana.","나는 바나나를 좋아한다."
"banana_3","I don't like banana.","나는 바나나를 좋아하지 않습니다."
"banana_4","I want to eat a banana.","바나나를 먹고 싶어요."
"pie","Pie","파이"
"pie_2","I like pie.","나는 파이를 좋아한다."
"pie_3","I don't like pie.","나는 파이를 좋아하지 않습니다."
"pie_4","I want to eat pie.","나는 파이를 먹고 싶어."
"pie_5","Can you bake a pie for me?","나를 위해 파이를 구울 수 있습니까?"
"egg","Egg","계란"
"egg_2","I like egg.","나는 계란을 좋아한다."
"egg_3","I don't like egg.","나는 계란을 좋아하지 않는다."
"egg_4","I want to eat egg.","계란을 먹고 싶어요."
"egg_5","I want fried eggs.","나는 계란 후라이를 원한다."
"egg_6","I want boiled eggs.","삶은 계란을 원합니다."
"noodles","Noodles","국수"
"noodles_2","I like noodles.","나는 국수를 좋아한다."
"noodles_3","I don't like noodles.","나는 국수를 좋아하지 않습니다."
"noodles_4","I want to eat noodles.","국수를 먹고 싶어요."
"noodles_5","Can you cook noodles for me?","국수 좀 만들어 줄래요?"
"salt","Salt","소금"
"salt_2","I want salt.","나는 소금을 원한다."
"salt_3","Can you pass me the salt?","소금 좀 건네주세요?"
"salt_4","Food is too salty.","음식이 너무 짜다."
"salt_5","My food needs some salt.","내 음식에는 약간의 소금이 필요합니다."
"spices","Spices","향료"
"spices_2","I like spicy food.","나는 매운 음식을 좋아한다."
"spices_3","I don't like spicy food.","나는 매운 음식을 좋아하지 않습니다."
"spices_4","I want paprika.","나는 파프리카를 원한다."
"spices_5","I want black pepper.","나는 후추를 원한다."
"pizza","Pizza","피자"
"pizza_2","I like pizza.","나는 피자를 좋아한다."
"pizza_3","I don't like pizza.","나는 피자를 좋아하지 않는다."
"pizza_4","I want to eat pizza.","나는 피자를 먹고 싶어."
"pizza_5","Can you cook pizza for me?","피자 좀 줄래요?"
"pizza_6","Can we order pizza?","피자를 주문할 수 있습니까?"
"cheese","Cheese","치즈"
"cheese_2","I like cheese.","나는 치즈를 좋아하는."
"cheese_3","I don't like cheese.","나는 치즈를 좋아하지 않습니다."
"cheese_4","I want to eat cheese.","치즈를 먹고 싶어요."
"ice-cream","Ice cream","아이스크림"
"ice-cream_2","I like ice cream.","나는 아이스크림을 좋아한다."
"ice-cream_3","I don't like ice cream.","나는 아이스크림을 좋아하지 않습니다."
"ice-cream_4","I want to eat ice cream.","아이스크림을 먹고 싶어요."
"ice-cream_5","Can you buy ice cream for me?","아이스크림 좀 사 주실 래요?"
"tea","Tea","차"
"tea_2","I like tea.","나는 차를 좋아한다."
"tea_3","I don't like tea.","나는 차를 좋아하지 않는다."
"tea_4","I want to drink tea.","차를 마시고 싶습니다."
"tea_5","Can you make tea for me?","나를 위해 차를 만들 수 있습니까?"
"coffee","Coffee","커피"
"coffee_2","I like coffee.","저는 커피를 좋아합니다."
"coffee_3","I don't like coffee.","나는 커피를 좋아하지 않는다."
"coffee_4","I want to drink coffee.","커피를 마시고 싶습니다."
"coffee_5","Can you make coffee for me?","나를 위해 커피를 만들 수 있습니까?"
"tomato","Tomato","토마토"
"tomato_2","I like tomato.","나는 토마토를 좋아한다."
"tomato_3","I don't like tomato.","나는 토마토를 좋아하지 않습니다."
"tomato_4","I want to eat tomato.","토마토를 먹고 싶어요."
"cereal","Cereal","시리얼"
"cereal_2","I like cereal.","나는 시리얼을 좋아한다."
"cereal_3","I don't like cereal.","나는 시리얼을 좋아하지 않는다."
"cereal_4","I want to eat cereal.","시리얼을 먹고 싶어요."
"cereal_5","Can you make my cereal?","내 시리얼을 만들 수 있습니까?"
"burger","Burger","버거"
"burger_2","I like burger.","나는 햄버거를 좋아한다."
"burger_3","I don't like burger.","나는 햄버거를 좋아하지 않는다."
"burger_4","I want to eat burger.","햄버거를 먹고 싶어요."
"burger_5","Can you cook burger for me?","나를 위해 햄버거를 요리 할 수 있습니까?"
"burger_6","Can we order burger?","햄버거를 주문할 수 있습니까?"
"french-fries","French fries","감자 튀김"
"french-fries_2","I like french fries.","나는 감자 튀김을 좋아합니다."
"french-fries_3","I don't like french fries.","나는 감자 튀김을 좋아하지 않습니다."
"french-fries_4","I want to eat french fries.","감자 튀김을 먹고 싶어요."
"french-fries_5","Can you cook french fries for me?","감자 튀김 요리 해 줄래요?"
"french-fries_6","Can we order french fries?","감자 튀김을 주문할 수 있습니까?"
"spinach","Spinach","시금치"
"spinach_2","I like spinach.","나는 시금치를 좋아한다."
"spinach_3","I don't like spinach.","나는 시금치를 좋아하지 않습니다."
"spinach_4","I want to eat spinach.","시금치를 먹고 싶습니다."
"rice","Rice","쌀"
"rice_2","I like rice.","나는 밥을 좋아한다."
"rice_3","I don't like rice.","나는 쌀을 좋아하지 않는다."
"rice_4","I want to eat rice.","밥을 먹고 싶어요."
"rice_5","Can you cook rice for me?","밥 좀 줄래요?"
"bread","Bread","빵"
"bread_2","I like bread.","나는 빵을 좋아한다."
"bread_3","I don't like bread.","나는 빵을 좋아하지 않습니다."
"bread_4","I want to eat bread.","빵을 먹고 싶어요."
"bread_5","Can you buy some bread?","빵 좀 사 줄래?"
"pasta","Pasta","파스타"
"pasta_2","I like pasta.","나는 파스타를 좋아한다."
"pasta_3","I don't like pasta.","나는 파스타를 좋아하지 않는다."
"pasta_4","I want to eat pasta.","파스타를 먹고 싶어요."
"pasta_5","Can you cook pasta for me?","나를 위해 파스타를 요리 할 수 있습니까?"
"sauce","Sauce","소스"
"sauce_2","I like sauce.","나는 소스를 좋아한다."
"sauce_3","I don't like sauce.","나는 소스를 좋아하지 않는다."
"sauce_4","I want some sauce.","나는 소스를 원한다."
"sauce_5","Can I have ketchup?","케첩을 먹을 수 있습니까?"
"sauce_6","Can I have mayonnaise?","마요네즈를 먹을 수 있습니까?"
"sauce_7","Can I have mustard?","겨자를 먹을 수 있습니까?"
"sauce_8","Can I have ranch sauce?","목장 소스를 먹을 수 있습니까?"
"kebab","Kebab","케밥"
"kebab_2","I like kebab.","나는 케밥을 좋아한다."
"kebab_3","I don't like kebab.","나는 케밥을 좋아하지 않습니다."
"kebab_4","I want to eat kebab.","케밥 먹고 싶어요."
"kebab_5","Can you cook kebab for me?","나를 위해 케밥을 요리 할 수 있습니까?"
"kebab_6","Can we order kebab?","케밥을 주문할 수 있습니까?"
"numbers","Numbers","번호"
"one","One","하나"
"one_2","One comes before two.","하나는 두 앞에옵니다."
"one_3","One comes after zero.","하나는 0 뒤에옵니다."
"one_4","I want one.","내가 하나를 원하는."
"two","Two","두"
"two_2","Two comes before three.","둘은 셋 앞에옵니다."
"two_3","Two comes after one.","두 개가 하나씩옵니다."
"two_4","I want two.","둘이 필요해"
"three","Three","세"
"three_2","Three comes before four.","3은 4보다 먼저옵니다."
"three_3","Three comes after two.","세 개는 두 개 뒤에옵니다."
"three_4","I want three.","나는 3을 원한다."
"four","Four","네"
"four_2","Four comes before five.","4는 5보다 먼저옵니다."
"four_3","Four comes after three.","4는 3 다음에옵니다."
"four_4","I want four.","나는 4를 원한다."
"five","Five","다섯"
"five_2","Five comes before six.","다섯이 여섯 앞에옵니다."
"five_3","Five comes after four.","5는 4 다음에옵니다."
"five_4","I want five.","나는 다섯을 원한다."
"six","Six","육"
"six_2","Six comes before seven.","여섯은 일곱 앞에옵니다."
"six_3","Six comes after five.","6은 5 다음에옵니다."
"six_4","I want fix.","나는 고침을 원한다."
"seven","Seven","일곱"
"seven_2","Seven comes before eight.","일곱은 여덟 전에옵니다."
"seven_3","Seven comes after six.","일곱은 여섯 뒤에옵니다."
"seven_4","I want seven.","나는 일곱을 원한다."
"eight","Eight","여덟"
"eight_2","Eight comes before nine.","여덟이 아홉 앞에옵니다."
"eight_3","Eight comes after seven.","여덟은 일곱 후에 온다."
"eight_4","I want eight.","나는 8을 원한다."
"nine","Nine","아홉"
"nine_2","Nine comes before ten.","아홉은 열 전에 온다."
"nine_3","Nine comes after eight.","아홉은 여덟 뒤에옵니다."
"nine_4","I want nine.","나는 9를 원한다."
"ten","Ten","십"
"ten_2","Ten comes before eleven.","열은 열한 전에옵니다."
"ten_3","Ten comes after nine.","아홉 뒤에 열이 온다."
"ten_4","I want ten.","10이 필요합니다."
"eleven","Eleven","열한"
"eleven_2","Eleven comes before thirteen.","열한은 열세 전에옵니다."
"eleven_3","Eleven comes after ten.","열한이 열 후에 온다."
"eleven_4","I want eleven.","나는 11을 원한다."
"twenty","Twenty","스물"
"twenty_2","I can count up to twenty.","최대 20 명까지 셀 수 있습니다."
"thirty","Thirty","서른"
"thirty_2","I can count up to thirty.","최대 30 명까지 셀 수 있습니다."
"forty","Forty","사십"
"forty_2","I can count up to forty.","나는 40까지 셀 수 있습니다."
"fifty","Fifty","오십"
"fifty_2","I can count up to fifty.","최대 50 명까지 셀 수 있습니다."
"hundred","Hundred","백"
"hundred_2","I can count up to hundred.","나는 백까지 셀 수 있습니다."
"thousand","Thousand","천"
"thousand_2","I can count up to thousand.","나는 수천까지 셀 수 있습니다."
"calculator","Calculator","계산자"
"calculator_2","I want to use a calculator.","계산기를 사용하고 싶습니다."
"calculator_3","Can you teach me how to use a calculator?","계산기 사용법을 가르쳐 주실 수 있습니까?"
"calculator_4","Can I barrow your calculator?","계산기를 버릴 수 있습니까?"
"people","People","사람들"
"mother","Mother","어머니"
"mother_2","Mommy!","엄마!"
"mother_3","I love my mother.","나는 어머니를 사랑합니다."
"mother_4","I love you mom.","엄마 사랑 해요"
"mother_5","I miss my mom.","엄마가 그립습니다."
"mother_6","Thank you for taking care of me.","돌봐 줘서 고마워"
"mother_7","She is my mom.","그녀는 엄마입니다."
"mother_8","Can you help me find my mother?","어머니를 찾도록 도와 줄 수 있습니까?"
"father","Father","아버지"
"father_2","Daddy!","아버지!"
"father_3","I love my father.","나는 아버지를 사랑합니다."
"father_4","I love you dad.","아빠 사랑 해요."
"father_5","I miss my dad.","아빠가 그리워요."
"father_6","Thank you for taking care of me.","돌봐 줘서 고마워"
