"activities","Activities","سرگرمیاں"
"t-shirt_2","I like wearing t-shirt.","مجھے ٹی شرٹ پہننا پسند ہے۔"
"t-shirt_3","Can you help me wear my t-shirt?","کیا آپ میری ٹی شرٹ پہننے میں میری مدد کرسکتے ہیں؟"
"sleeveless","Sleeveless","آستین"
"sleeveless_2","I like wearing sleeveless.","مجھے بغیر آستین پہننا پسند ہے۔"
"sleeveless_3","Can you help me wear my sleeveless?","کیا آپ مجھے بغیر آستین پہننے میں مدد کر سکتے ہیں؟"
"boxers","Boxers","باکسر"
"boxers_2","I like wearing boxers.","مجھے باکسر پہننا پسند ہے۔"
"boxers_3","Can you help me wear my boxers?","کیا آپ میرے باکسر پہننے میں میری مدد کر سکتے ہیں؟"
"vest","Vest","بنیان"
"vest_2","I like wearing vest.","مجھے بنیان پہنا پسند ہے"
"vest_3","Can you help me wear my vest?","کیا آپ میری بنیان پہننے میں میری مدد کر سکتے ہیں؟"
"pamela-hat","Pamela hat","پامیلا ٹوپی"
"pamela-hat_2","I like wearing pamela hat.","مجھے پامیلا ہیٹ پہننا پسند ہے۔"
"pamela-hat_3","Can you help me wear my pamela hat?","کیا آپ میری پامیلا ہیٹ پہننے میں مدد کر سکتے ہیں؟"
"high-heels","High heels","اونچی ایڑی"
"high-heels_2","I like wearing high heels.","مجھے اونچی ایڑیاں پہننا پسند ہے۔"
"high-heels_3","Can you help me wear my high heels?","کیا آپ میری اونچی ایڑیاں پہننے میں میری مدد کر سکتے ہیں؟"
"overalls","Overalls","مجموعی طور پر"
"overalls_2","I like wearing overalls.","میں بولڈ پہننا پسند کرتا ہوں۔"
"overalls_3","Can you help me wear my overalls?","کیا آپ میری چمڑے پہننے میں میری مدد کرسکتے ہیں؟"
"kimono","Kimono","کیمونو"
"kimono_2","I like wearing kimono.","مجھے کیمونو پہننا پسند ہے"
"kimono_3","Can you help me wear my kimono?","کیا آپ میری کیمونو پہننے میں میری مدد کر سکتے ہیں؟"
"raincoat","Raincoat","برساتی"
"raincoat_2","I like wearing raincoat.","مجھے برساتی پہنا پسند ہے۔"
"raincoat_3","Can you help me wear my raincoat?","کیا آپ میری برساتی پہننے میں میری مدد کر سکتے ہیں؟"
"bandana","Bandana","بندانہ"
"bandana_2","I like wearing bandana.","مجھے بندنا پہننا پسند ہے۔"
"bandana_3","Can you help me wear my bandana?","کیا آپ میری بندھن پہننے میں میری مدد کرسکتے ہیں؟"
"beret","Beret","بیریٹ"
"beret_2","I like wearing beret.","مجھے بریٹ پہننا پسند ہے۔"
"beret_3","Can you help me wear my beret?","کیا آپ میری بریٹ پہننے میں میری مدد کر سکتے ہیں؟"
"knit-hat","Knit hat","بنا ہوا ٹوپی"
"knit-hat_2","I like wearing knit hat.","مجھے بنا ہوا ٹوپی پہننا پسند ہے۔"
"knit-hat_3","Can you help me wear my knit hat?","کیا آپ میری بنا ہوا ٹوپی پہننے میں مدد کر سکتے ہیں؟"
"suspenders","Suspenders","معطل"
"suspenders_2","I like wearing suspenders.","مجھے معطلی پہننا پسند ہے۔"
"suspenders_3","Can you help me wear my suspenders?","کیا آپ مجھے میرے معطل کرنے والوں کو پہننے میں مدد کر سکتے ہیں؟"
"mitten","Mitten","گھٹا ہوا"
"mitten_2","I like wearing mitten.","مجھے پگھلا دینا پسند ہے۔"
"mitten_3","Can you help me wear my mitten?","کیا آپ میری چمٹی پہننے میں میری مدد کر سکتے ہیں؟"
"suit","Suit","سوٹ"
"suit_2","I like wearing suit.","مجھے سوٹ پہننا پسند ہے"
"suit_3","Can you help me wear my suit?","کیا آپ مجھے اپنا سوٹ پہننے میں مدد کر سکتے ہیں؟"
"coat","Coat","کوٹ"
"coat_2","I like wearing coat.","مجھے کوٹ پہننا پسند ہے۔"
"coat_3","Can you help me wear my coat?","کیا آپ میرا کوٹ پہننے میں میری مدد کرسکتے ہیں؟"
"trench-coat","Trench coat","بارش کا کوٹ"
"trench-coat_2","I like wearing trench coat.","مجھے خندق کوٹ پہننا پسند ہے۔"
"trench-coat_3","Can you help me wear my trench coat?","کیا آپ مجھے اپنا خندق کوٹ پہننے میں مدد کر سکتے ہیں؟"
"colors","Colors","رنگ"
"crayons","Crayons","کریونس"
"crayons_2","I like crayons.","مجھے کریون پسند ہے"
"crayons_3","Can you give me crayons?","کیا آپ مجھے کریون دے سکتے ہیں؟"
"crayons_4","I want to draw using my crayons.","میں اپنے کریون کا استعمال کرتے ہوئے اپنی طرف متوجہ کرنا چاہتا ہوں۔"
"red","Red","سرخ"
"red_2","It is red.","یہ سرخ ہے."
"red_3","My favorite color is red.","میرا پسندیدہ رنگ لال ہے."
"red_4","Can you give me red paint?","کیا آپ مجھے سرخ رنگ دے سکتے ہیں؟"
"blue","Blue","نیلا"
"blue_2","It is blue.","یہ نیلا هے."
"blue_3","My favorite color is blue.","میرا پسندیدہ رنگ نیلا ہے."
"blue_4","Can you give me blue paint?","کیا آپ مجھے نیلی رنگ دے سکتے ہیں؟"
"orange","Orange","کینو"
"orange_2","It is orange color.","یہ سنتری کا رنگ ہے۔"
"orange_3","My favorite color is orange.","میرا پسندیدہ رنگ نارنگی ہے۔"
"orange_4","Can you give me orange paint?","کیا آپ مجھے اورنج پینٹ دے سکتے ہیں؟"
"green","Green","سبز"
"green_2","It is green.","یہ سبز ہے۔"
"green_3","My favorite color is green.","میرا پسندیدہ رنگ سبز ہے."
"green_4","Can you give me green paint?","کیا آپ مجھے گرین پینٹ دے سکتے ہیں؟"
"yellow","Yellow","پیلا"
"yellow_2","It is yellow.","یہ زرد ہے۔"
"yellow_3","My favorite color is yellow.","میرا پسندیدہ رنگ زرد ہے۔"
"yellow_4","Can you give me yellow paint?","کیا آپ مجھے پیلا رنگ دے سکتے ہیں؟"
"purple","Purple","ارغوانی"
"purple_2","It is purple.","یہ ارغوانی ہے۔"
"purple_3","My favorite color is purple.","میرا پسندیدہ رنگ جامنی ہے."
"purple_4","Can you give me purple paint?","کیا آپ مجھے ارغوانی رنگ دے سکتے ہیں؟"
"pink","Pink","گلابی"
"pink_2","It is pink.","یہ گلابی ہے"
"pink_3","My favorite color is pink.","میرا پسندیدہ رنگ گلابی ہے."
"pink_4","Can you give me pink paint?","کیا آپ مجھے گلابی رنگ دے سکتے ہیں؟"
"brown","Brown","براؤن"
"brown_2","It is brown.","یہ بھوری ہے۔"
"brown_3","My favorite color is brown.","میرا پسندیدہ رنگ بھورا ہے۔"
"brown_4","Can you give me brown paint?","کیا آپ مجھے براؤن پینٹ دے سکتے ہیں؟"
"black","Black","سیاہ"
"black_2","It is black.","یہ کالا ہے."
"black_3","My favorite color is black.","میرا پسندیدہ رنگ کالا ہے۔"
"black_4","Can you give me black paint?","کیا آپ مجھے سیاہ رنگ دے سکتے ہیں؟"
"white","White","سفید"
"white_2","It is white.","یہ سفید ہے۔"
"white_3","My favorite color is white.","میرا پسندیدہ رنگ سفید ہے۔"
"white_4","Can you give me white paint?","کیا آپ مجھے سفید رنگ دے سکتے ہیں؟"
"gray","Gray","سرمئی"
"gray_2","It is gray.","یہ بھوری رنگ ہے"
"gray_3","My favorite color is gray.","میرا پسندیدہ رنگ گرے ہے۔"
"gray_4","Can you give me gray paint?","کیا آپ مجھے گرے رنگ دے سکتے ہیں؟"
"transparent","Transparent","شفاف"
"transparent_2","It is transparent.","یہ شفاف ہے۔"
"transparent_3","I can see behind transparent color.","میں شفاف رنگ کے پیچھے دیکھ سکتا ہوں۔"
"transparent_4","Can you help me erase?","کیا آپ مٹانے میں میری مدد کرسکتے ہیں؟"
"cyan","Cyan","سیان"
"cyan_2","It is cyan.","یہ سوان ہے۔"
"cyan_3","My favorite color is cyan.","میرا پسندیدہ رنگ سائیں ہے۔"
"cyan_4","Can you give me cyan paint?","کیا آپ مجھے سائین پینٹ دے سکتے ہیں؟"
"violet","Violet","وایلیٹ"
"violet_2","It is violet.","یہ وایلیٹ ہے۔"
"violet_3","My favorite color is violet.","میرا پسندیدہ رنگ وایلیٹ ہے۔"
"violet_4","Can you give me violet paint?","کیا آپ مجھے وایلیٹ پینٹ دے سکتے ہیں؟"
"turquoise","Turquoise","فیروزی"
"turquoise_2","It is turquoise.","یہ فیروزی ہے۔"
"turquoise_3","My favorite color is turquoise.","میرا پسندیدہ رنگ فیروزی ہے۔"
"turquoise_4","Can you give me turquoise paint?","کیا آپ مجھے فیروزی پینٹ دے سکتے ہیں؟"
"lime","Lime","لیموں"
"lime_2","It is lime.","چونا ہے۔"
"lime_3","My favorite color is lime.","میرا پسندیدہ رنگ چونا ہے۔"
"lime_4","Can you give me lime paint?","کیا آپ مجھے چونے کا رنگ دے سکتے ہیں؟"
"plum","Plum","آلوبخارہ"
"plum_2","It is plum.","یہ بیر ہے۔"
"plum_3","My favorite color is plum.","میرا پسندیدہ رنگ بیر ہے۔"
"plum_4","Can you give me plum paint?","کیا آپ مجھے پلم پینٹ دے سکتے ہیں؟"
"tan","Tan","ٹین"
"tan_2","It is tan color.","یہ ٹین کلر ہے۔"
"tan_3","My favorite color is tan color.","میرا پسندیدہ رنگ ٹین کلر ہے۔"
"tan_4","Can you give me tan color paint?","کیا آپ مجھے ٹین کلر پینٹ دے سکتے ہیں؟"
"avocado","Avocado","ایواکاڈو"
"avocado_2","It is avocado color.","یہ ایوکاڈو رنگ ہے۔"
"avocado_3","My favorite color is avocado color.","میرا پسندیدہ رنگ ایوکاڈو رنگ ہے۔"
"avocado_4","Can you give me avocado color paint?","کیا آپ مجھے ایوکاڈو کلر پینٹ دے سکتے ہیں؟"
"barbie-pink","Barbie pink","باربی گلابی"
"barbie-pink_2","It is barbie pink color.","یہ باربی گلابی رنگ ہے۔"
"barbie-pink_3","My favorite color is barbie pink.","میرا پسندیدہ رنگ باربی گلابی ہے۔"
"barbie-pink_4","Can you give me barbie pink paint?","کیا آپ مجھے باربی گلابی رنگ دے سکتے ہیں؟"
"blizzard-blue","Blizzard blue","برفانی طوفان نیلے"
"blizzard-blue_2","It is blizzard blue color.","یہ برفانی طوفان نیلے رنگ کا ہے۔"
"blizzard-blue_3","My favorite color is blizzard blue color.","میرا پسندیدہ رنگ برفانی طوفان نیلے رنگ کا ہے۔"
"blizzard-blue_4","Can you give me blizzard blue paint?","کیا آپ مجھے برفانی طوفان نیلی رنگ دے سکتے ہیں؟"
"conversation","Conversation","گفتگو"
"me","Me","میں"
"me_2","My name is {name}","میرا نام {نام} ہے"
"me_3","I'm {name}","میں {نام} ہوں"
"me_4","Do you know my name?","کیا آپ میرا نام جانتے ہیں؟"
"me_5","What is your name?","آپ کا نام کیا ہے؟"
"me_6","Nice to meet you!","آپ سے مل کر خوشی ہوئی!"
"me_7","Do you like me?","کیا آپ مجھے پسندکرتے ہیں؟"
"me_8","Can we be friends?","کیا ہم دوست بن سکتے ہیں؟"
"me_9","I'm using assistive communication app.","میں مددگار مواصلت ایپ استعمال کر رہا ہوں۔"
"me_10","Who are you?","تم کون ہو؟"
"hello","Hello","ہیلو"
"hello_2","Hello.","ہیلو."
"hello_3","Hi.","ہائے"
"hello_4","Greetings.","سلام۔"
"hello_5","How are you?","آپ کیسے ہو؟"
"hello_6","Nice to meet you!","آپ سے مل کر خوشی ہوئی!"
"help","Help","مدد"
"help_2","Help me.","میری مدد کرو."
"help_3","Can you help me?","کیا آپ میری مدد کر سکتے ہیں؟"
"help_4","I need help","مجھے مدد کی ضرورت ہے"
"help_5","Do you need help?","کیا آپ کو مدد کی ضرورت ہے؟"
"yes","Yes","جی ہاں"
"yes_2","Yes.","جی ہاں."
"yes_3","Yes please.","جی ہاں برائے مہربانی."
"yes_4","Alright.","ٹھیک ہے۔"
"yes_5","Agreed.","متفق"
"yes_6","I want to.","میں چاہتا ہوں."
"yes_7","I would like to.","میں چاہوں گا کہ."
"no","No","نہیں"
"no_2","No.","نہیں."
"no_3","Nope.","Nope کیا."
"no_4","Never.","کبھی نہیں"
"no_5","I don't want to.","میں نہیں چاہتا۔"
"no_6","I don't like it.","مجھے یہ پسند نہیں ہے۔"
"no_7","You don't like it?","آپ کو یہ پسند نہیں ہے؟"
"no_8","Why you don't like it?","آپ کو یہ کیوں پسند نہیں ہے؟"
"toilet","Toilet","بیت الخلاء"
"toilet_2","I need to go to the toilet.","مجھے ٹوائلٹ جانے کی ضرورت ہے۔"
"toilet_3","I need to pee.","مجھے پیشاب کرنے کی ضرورت ہے."
"toilet_4","I need to poop.","مجھے poop کرنے کی ضرورت ہے۔"
"toilet_5","Can you help me go to the toilet?","کیا آپ مجھے ٹوائلٹ جانے میں مدد کر سکتے ہیں؟"
"toilet_6","Can you help me clean?","کیا آپ میری مدد کر سکتے ہیں"
"toilet_7","I peed myself.","میں نے خود ہی جھانک لیا۔"
"toilet_8","I pooped myself.","میں نے خود کو pooped."
"what","What","کیا"
"what_2","What is that?","وہ کیا ہے؟"
"what_3","What does it mean?","اس کا کیا مطلب ہے؟"
"what_4","What do you mean?","آپ کا کیا مطلب ہے؟"
"what_5","Can you explain it?","کیا آپ اس کی وضاحت کرسکتے ہیں؟"
"what_6","Can you repeat what you said?","کیا آپ نے جو کہا اس کو دہرا سکتے ہو؟"
"what_7","I don't understand.","میری سمجھ میں نہیں آتا"
"sleep","Sleep","سوئے"
"sleep_2","I want to sleep.","میں سونا چاہتا ہوں."
"sleep_3","I don't want to sleep.","میں سونا نہیں چاہتا۔"
"sleep_4","I'm tired.","میں تھکا ہوا ہوں."
"sleep_5","Are you tired?","کیا تم تھکے ہوئے ہو؟"
"sleep_6","When am I going to sleep?","میں کب سونے جا رہا ہوں؟"
"sleep_7","I want to take a nap.","میں جھپٹنا چاہتا ہوں"
"bath","Bath","نہانا"
"bath_2","I want to take a bath.","میں نہانا چاہتا ہوں"
"bath_3","I like taking a bath.","مجھے نہانا پسند ہے۔"
"bath_4","I want to wash my hands.","میں اپنے ہاتھ دھونے چاہتا ہوں"
"bath_5","I want to take a shower.","میں نہانا چاہتا ہوں"
"bath_6","I want to clean myself.","میں خود کو صاف کرنا چاہتا ہوں۔"
"bath_7","Can you help me take a bath?","کیا آپ مجھے نہانے میں مدد کر سکتے ہیں؟"
"bath_8","I don't want to take a bath.","میں نہانا چاہتا ہوں۔"
"listen","Listen","سنو"
"listen_2","Listen to me.","میری بات سنو."
"listen_3","Can you listen to me?","کیا تم میری بات سن سکتے ہو؟"
"listen_4","Listen to music.","موسیقی سنئے."
"listen_5","Listening to my parents.","والدین کی باتیں سن رہا ہوں۔"
"listen_6","Listen to what my application is saying!","میری درخواست کیا کہہ رہی ہے سنو!"
"morning","Morning","صبح"
"morning_2","Good morning.","صبح بخیر."
"morning_3","I like mornings.","مجھے صبح کی طرح پسند ہے"
"morning_4","In the morning.","صبح کے وقت."
"morning_5","Morning time.","صبح کا وقت۔"
"morning_6","Is it morning?","کیا صبح ہے؟"
"night","Night","رات"
"night_2","Good night!","شب بخیر!"
"night_3","I like nights.","مجھے راتیں پسند ہیں"
"night_4","At night.","رات کو."
"night_5","Night time.","رات کا وقت۔"
"night_6","Is it night?","کیا رات ہے؟"
"look","Look","دیکھو"
"look_2","Look at me.","میری طرف دیکھو."
"look_3","Look at this.","اسے دیکھو."
"look_4","Are you looking?","آپ تلاش کر رہے ہیں؟"
"look_5","Look at my drawing.","میری ڈرائنگ دیکھو۔"
"look_6","How do I look?","میں کیسا لگتا ہوں؟"
"look_7","Look what I did.","دیکھو میں نے کیا کیا۔"
"look_8","Let's look at that.","آئیے اس پر نظر ڈالیں۔"
"speak","Speak","بولیں"
"speak_2","I'm learning how to speak.","میں بولنا سیکھ رہا ہوں۔"
"speak_3","I want to speak.","میں بولنا چاہتا ہوں"
"speak_4","Can I speak with you?","کیا میں آپ کے ساتھ بات کرسکتا ہوں؟"
"speak_5","I like speaking.","مجھے بولنے میں اچھا لگتا ہے۔"
"speak_6","I'm using assistive communication app.","میں مددگار مواصلت ایپ استعمال کر رہا ہوں۔"
"play","Play","کھیلیں"
"play_2","I love playing.","مجھے کھیلنا پسند ہے۔"
"play_3","Can you play with me?","کیا تم میرے ساتھ کھیل سکتے ہو؟"
"play_4","I want to play with you!","میں آپکے ساتھ کھیلنا چاہتا ہوں!"
"play_5","I want to play with my friends.","میں اپنے دوستوں کے ساتھ کھیلنا چاہتا ہوں۔"
"play_6","I don't want to play with you.","میں آپ کے ساتھ کھیلنا نہیں چاہتا ہوں۔"
"outside","Outside","باہر"
"outside_2","I love going outside.","مجھے باہر جانا پسند ہے۔"
"outside_3","I want to go outside.","میں باہر جانا چاہتا ہوں"
"outside_4","Is it cold outside?","کیا باہر سردی ہے؟"
"outside_5","I don't like outside.","مجھے باہر پسند نہیں ہے۔"
"outside_6","Can I go outside?","کیا میں باہر جاسکتا ہوں؟"
"home","Home","گھر"
"home_2","I love my home.","مجھے اپنے گھر سے پیار ہے۔"
"home_3","I want to go home.","میں گھر جانا چاہتا ہوں."
"home_4","Where is your home?","آپ کا گھر کہاں ہے؟"
"home_5","Home sweet home.","گھر پیارا گھر."
"home_6","I'm in the house.","میں گھر میں ہوں۔"
"home_7","I'm not in the house.","میں گھر میں نہیں ہوں۔"
"hurt","Hurt","تکلیف دینا"
"hurt_2","I'm hurt.","مجھے تکلیف ہے۔"
"hurt_3","Are you hurt?","کیا تمھیں برا لگا؟"
"hurt_4","Did I hurt you?","کیا میں نے آپ کو تکلیف دی؟"
"hurt_5","I didn't mean to hurt you!","میرا مطلب آپ کو تکلیف دینا نہیں تھا!"
"hurt_6","Is it going to hurt?","کیا تکلیف ہو رہی ہے؟"
"hurt_7","I have a headache.","میرے سر میں درد ہے."
"hurt_8","I have a stomach ache.","مجھے پیٹ میں درد ہے."
"hurt_9","My genitals hurt.","میرے جننانگوں کو تکلیف ہے۔"
"hurt_10","My foot hurts.","میرے پاؤں میں تکلیف ہے۔"
"feelings","Feelings","احساسات"
"happy","Happy","خوش"
"happy_2","I'm happy.","میں خوش ہوں."
"happy_3","I feel happy.","میں خوشی محسوس کر رہا ہوں."
"happy_4","Do you feel happy?","کیا آپ خوشی محسوس کرتے ہیں؟"
"happy_5","I want to feel happy.","میں خوش ہونا چاہتا ہوں"
"happy_6","You are making me happy.","تم مجھے خوش کر رہے ہو۔"
"sad","Sad","اداس"
"sad_2","I'm sad.","میں اداس ہوں."
"sad_3","I feel sad.","میں افسردہ ہوں۔"
"sad_4","Do you feel sad?","کیا آپ کو رنج ہے؟"
"sad_5","I don't want to feel sad.","میں اداس نہیں ہونا چاہتا ہوں۔"
"sad_6","You are making me sad.","تم مجھے غمزدہ کر رہے ہو۔"
"exhausted","Exhausted","تھکا ہوا"
"exhausted_2","I'm exhausted.","میں تھک چکا ہوں۔"
"exhausted_3","I feel exhausted.","میں تھکن محسوس کرتا ہوں۔"
"exhausted_4","Do you feel exhausted?","کیا آپ کو تھکاوٹ محسوس ہوتی ہے؟"
"exhausted_5","I don't want to be exhausted.","میں ختم نہیں ہونا چاہتا ہوں۔"
"relaxed","Relaxed","آرام سے"
"relaxed_2","I'm relaxed.","میں آرام سے ہوں۔"
"relaxed_3","I feel relaxed.","مجھے سکون محسوس ہوتا ہے۔"
"relaxed_4","Do you feel relaxed?","کیا آپ کو سکون محسوس ہوتا ہے؟"
"relaxed_5","I want to feel relaxed.","میں سکون محسوس کرنا چاہتا ہوں"
"in-love","In love","پیار میں"
"in-love_2","I'm in love.","مجھے محبت ھو گئی ہے."
"in-love_3","I feel in love.","مجھے پیار ہو رہا ہے۔"
"in-love_4","Are you in love?","کیا تم محبت کرتے ہو؟"
"in-love_5","I want to fall in love.","میں محبت کرنا چاہتا ہوں."
"in-love_6","Do you love me?","کیا تم مجھے پیار کرتی ہو؟"
"stressed","Stressed","زور دیا"
"stressed_2","I'm stressed.","میں پریشان ہوں."
"stressed_3","I feel stressed.","میں دباؤ محسوس کرتا ہوں۔"
"stressed_4","Do you feel stressed?","کیا آپ تناؤ محسوس کرتے ہیں؟"
"stressed_5","I don't want to feel stressed.","میں تناؤ محسوس نہیں کرنا چاہتا۔"
"thankful","Thankful","شکر گزار"
"thankful_2","I'm thankful.","میں شکر گزار ہوں۔"
"thankful_3","I feel thankful.","میں شکر گزار ہوں۔"
"thankful_4","Do you feel thankful?","کیا آپ شکر گزار ہیں؟"
"thankful_5","I want to feel thankful.","میں شکریہ ادا کرنا چاہتا ہوں"
"confused","Confused","الجھن میں"
"confused_2","I'm confused.","میں الجھن میں ہوں."
"confused_3","I feel confused.","میں الجھتا ہوں۔"
"confused_4","Do you feel confused?","کیا آپ کو الجھن ہو رہی ہے؟"
"confused_5","You are confusing me.","آپ مجھے الجھا رہے ہیں"
"joyful","Joyful","خوشگوار"
"joyful_2","I'm joyful.","میں خوش ہوں"
"joyful_3","I feel joyful.","مجھے خوشی محسوس ہوتی ہے۔"
"joyful_4","Do you feel joyful?","کیا آپ کو خوشی محسوس ہوتی ہے؟"
"joyful_5","I want to feel joyful.","میں خوشی محسوس کرنا چاہتا ہوں۔"
"angry","Angry","ناراض"
"angry_2","I'm angry.","میں غصے میں ہوں."
"angry_3","I feel angry.","مجھے غصہ آتا ہے۔"
"angry_4","Do you feel angry?","کیا آپ کو غصہ آتا ہے؟"
"angry_5","I'm angry at you.","میں تم سے ناراض ہوں۔"
"angry_6","You are making me angry.","تم مجھے ناراض کررہے ہو۔"
"smart","Smart","اسمارٹ"
"smart_2","I'm smart.","میں ہوشیار ہوں"
"smart_3","I feel smart.","مجھے ہوشیار محسوس ہوتا ہے۔"
"smart_4","Do you feel smart?","کیا آپ ہوشیار محسوس کرتے ہیں؟"
"smart_5","Am I smart?","کیا میں ہوشیار ہوں؟"
"smart_6","You are smart!","آپ ہوشیار ہیں!"
"afraid","Afraid","خوف زدہ"
"afraid_2","I'm afraid.","مجھے ڈر ہے"
"afraid_3","I feel afraid.","مجھے خوف محسوس ہوتا ہے۔"
"afraid_4","Do you feel afraid?","کیا آپ کو ڈر لگتا ہے؟"
"afraid_5","I don't want to feel afraid.","میں خوف محسوس نہیں کرنا چاہتا۔"
"afraid_6","You are scaring me.","تم مجھے ڈرا رہے ہو۔"
"ashamed","Ashamed","شرم آتی ہے"
"ashamed_2","I'm ashamed.","میں شرمندہ ہوں."
"ashamed_3","I feel ashamed.","مجھے شرم آتی ہے."
"ashamed_4","Do you feel ashamed?","کیا آپ کو شرم آتی ہے؟"
"ashamed_5","I don't want to feel ashamed.","میں شرم محسوس نہیں کرنا چاہتا۔"
"shocked","Shocked","حیران"
"shocked_2","I'm shocked.","میں حیران ہوں."
"shocked_3","I feel shocked.","میں حیران ہوں۔"
"shocked_4","Do you feel shocked?","کیا آپ حیران ہیں؟"
"shocked_5","You shocked me.","تم نے مجھے چونکا۔"
"sick","Sick","بیمار"
"sick_2","I'm sick.","میں بیمار ہوں."
"sick_3","I feel sick.","میں بیمار محسوس کرتا ہوں."
"sick_4","Do you feel sick?","کیا آپ کو بیمار لگ رہا ہے؟"
"sick_5","I don't want to be sick.","میں بیمار نہیں ہونا چاہتا ہوں۔"
"sick_6","I'm sick of the food.","میں کھانے سے بیمار ہوں۔"
"frustrated","Frustrated","مایوس"
"frustrated_2","I'm frustrated.","میں مایوس ہوں۔"
"frustrated_3","I feel frustrated.","میں مایوسی کا شکار ہوں۔"
"frustrated_4","Do you feel frustrated?","کیا آپ مایوسی کا شکار ہیں؟"
"frustrated_5","I don't want to feel frustrated.","میں مایوس نہیں ہونا چاہتا ہوں۔"
"excited","Excited","بہت پرجوش"
"excited_2","I'm excited.","میں پرجوش ہوں"
"excited_3","I feel excited.","میں پرجوش محسوس کرتا ہوں۔"
"excited_4","Do you feel excited?","کیا آپ کو جوش محسوس ہوتا ہے؟"
"excited_5","I don't want to feel excited.","میں پرجوش محسوس نہیں کرنا چاہتا۔"
"nauseated","Nauseated","متلی"
"nauseated_2","I'm nauseated.","مجھے متلی آرہی ہے۔"
"nauseated_3","I feel nauseated.","مجھے متلی محسوس ہوتی ہے۔"
"nauseated_4","Do you feel nauseated?","کیا آپ کو متلی محسوس ہوتی ہے؟"
"nauseated_5","I don't want to feel nauseated.","میں متلی محسوس نہیں کرنا چاہتا۔"
"agitated","Agitated","مشتعل"
"agitated_2","I'm agitated.","میں مشتعل ہوں۔"
"agitated_3","I feel agitated.","میں پریشان ہوں۔"
"agitated_4","Do you feel agitated?","کیا آپ پریشان ہیں؟"
"agitated_5","I don't want to feel agitated.","میں مشتعل نہیں ہونا چاہتا ہوں۔"
"food","Food","کھانا"
"hungry","Hungry","بھوک لگی ہے"
"hungry_2","I'm hungry.","میں بھوکا ہوں."
"hungry_3","Are you hungry?","کیا تم بھوکے ہو؟"
"hungry_4","Can you make me food?","کیا آپ مجھے کھانا بنا سکتے ہو؟"
"hungry_5","What is for dinner?","کھانے میں کیا ہے؟"
"thirsty","Thirsty","پیاسا"
"thirsty_2","I'm thirsty.","مجھے پیاس لگی ہے."
"thirsty_3","Can I have some water?","کیا مجھے کچھ پانی مل سکتا ہے؟"
"thirsty_4","Can I have a glass of water?","کیا میں ایک گلاس پانی لے سکتا ہوں؟"
"thirsty_5","I want something to drink.","مجھے کچھ پینا چاہئے۔"
"cutlery","Cutlery","کٹلری"
"cutlery_2","I need cutlery.","مجھے کٹلری کی ضرورت ہے۔"
"cutlery_3","Help me use cutlery.","کٹلری استعمال کرنے میں میری مدد کریں۔"
"cutlery_4","I need a fork.","مجھے کانٹے کی ضرورت ہے"
"cutlery_5","I need a spoon.","مجھے ایک چمچ چاہئے۔"
"cutlery_6","I need chopsticks.","مجھے کپلسٹکس کی ضرورت ہے۔"
"cutlery_7","I need a knife.","مجھے چاقو چاہئے۔"
"cutlery_8","I need a napkin.","مجھے رومال کی ضرورت ہے۔"
"apple","Apple","سیب"
"apple_2","I like apple.","مجھے سیب پسند ہے۔"
"apple_3","I don't like apple.","مجھے سیب پسند نہیں ہے"
"apple_4","I want to eat an apple.","میں ایک سیب کھانا چاہتا ہوں"
"carrot","Carrot","گاجر"
"carrot_2","I like carrot.","مجھے گاجر پسند ہے۔"
"carrot_3","I don't like carrot.","مجھے گاجر پسند نہیں ہے"
"carrot_4","I want to eat a carrot.","میں گاجر کھانا چاہتا ہوں"
"beans","Beans","پھلیاں"
"beans_2","I like beans.","مجھے پھلیاں پسند ہیں"
"beans_3","I don't like beans.","مجھے پھلیاں پسند نہیں ہیں"
"beans_4","I want to eat beans.","میں پھلیاں کھانا چاہتا ہوں۔"
"chicken_5","I want fried chicken.","مجھے تلی ہوئی مرغی چاہئے۔"
"chicken_6","I want boiled chicken.","میں ابلا ہوا مرغی چاہتا ہوں۔"
"chocolate","Chocolate","چاکلیٹ"
"chocolate_2","I like chocolate.","مجھے چاکلیٹ پسند ہے."
"chocolate_3","I don't like chocolate.","مجھے چاکلیٹ پسند نہیں ہے"
"chocolate_4","I want to eat chocolate.","میں چاکلیٹ کھانا چاہتا ہوں"
"chocolate_5","I want dark chocolate.","مجھے ڈارک چاکلیٹ چاہئے۔"
"chocolate_6","I want white chocolate.","مجھے سفید چاکلیٹ چاہئے۔"
"milk","Milk","دودھ"
"milk_2","I like milk.","مجھے دودھ پسند ہے"
"milk_3","I don't like milk.","مجھے دودھ پسند نہیں ہے"
"milk_4","I want to drink milk.","میں دودھ پینا چاہتا ہوں"
"milk_5","Can I have a glass of milk?","کیا میں ایک گلاس دودھ لے سکتا ہوں؟"
"sandwich","Sandwich","سینڈوچ"
"sandwich_2","I like sandwich.","مجھے سینڈویچ پسند ہے۔"
"sandwich_3","I don't like sandwich.","مجھے سینڈوچ پسند نہیں ہے۔"
"sandwich_4","I want to eat a sandwich.","میں سینڈویچ کھانا چاہتا ہوں"
"sandwich_5","Can you make me a sandwich?","کیا آپ مجھے سینڈویچ بنا سکتے ہیں؟"
"steak","Steak","اسٹیک"
