"activities","Activities","क्रियाएँ"
"high-heels","High heels","ऊँची एड़ी के जूते"
"high-heels_2","I like wearing high heels.","मुझे हाई हील्स पहनना पसंद है।"
"high-heels_3","Can you help me wear my high heels?","क्या आप मुझे अपनी ऊँची एड़ी के जूते पहनने में मदद कर सकते हैं?"
"overalls","Overalls","चौग़ा"
"overalls_2","I like wearing overalls.","मुझे चौग़ा पहनना पसंद है।"
"overalls_3","Can you help me wear my overalls?","क्या आप मुझे मेरे चौग़ा पहनने में मदद कर सकते हैं?"
"kimono","Kimono","कीमोनो"
"kimono_2","I like wearing kimono.","मुझे किमोनो पहनना पसंद है।"
"kimono_3","Can you help me wear my kimono?","क्या आप मुझे मेरी किमोनो पहनने में मदद कर सकते हैं?"
"raincoat","Raincoat","रेनकोट"
"raincoat_2","I like wearing raincoat.","मुझे रेनकोट पहनना पसंद है।"
"raincoat_3","Can you help me wear my raincoat?","क्या आप मुझे अपना रेनकोट पहनने में मदद कर सकते हैं?"
"bandana","Bandana","बान्दाना"
"bandana_2","I like wearing bandana.","मुझे बंदना पहनना पसंद है।"
"bandana_3","Can you help me wear my bandana?","क्या आप मुझे अपना बाना पहनने में मदद कर सकते हैं?"
"beret","Beret","बेरेत"
"beret_2","I like wearing beret.","मुझे बर्थ पहनना पसंद है।"
"beret_3","Can you help me wear my beret?","क्या आप मुझे मेरी बर्थ पहनने में मदद कर सकते हैं?"
"knit-hat","Knit hat","टोपी बुनो"
"knit-hat_2","I like wearing knit hat.","मुझे नाइट हैट पहनना पसंद है।"
"knit-hat_3","Can you help me wear my knit hat?","क्या आप मेरी नाइट टोपी पहनने में मेरी मदद कर सकते हैं?"
"suspenders","Suspenders","ब्रेसिज़"
"suspenders_2","I like wearing suspenders.","मुझे सस्पेंडर्स पहनना पसंद है।"
"suspenders_3","Can you help me wear my suspenders?","क्या आप मुझे मेरे सस्पेंडर्स पहनने में मदद कर सकते हैं?"
"mitten","Mitten","एक प्रकार का दस्ताना"
"mitten_2","I like wearing mitten.","मुझे मटन पहनना पसंद है।"
"mitten_3","Can you help me wear my mitten?","क्या आप मुझे मेरा मटन पहनने में मदद कर सकते हैं?"
"suit","Suit","सूट"
"suit_2","I like wearing suit.","मुझे सूट पहनना पसंद है।"
"suit_3","Can you help me wear my suit?","क्या आप मुझे अपना सूट पहनने में मदद कर सकते हैं?"
"coat","Coat","कोट"
"coat_2","I like wearing coat.","मुझे कोट पहनना पसंद है।"
"coat_3","Can you help me wear my coat?","क्या आप मुझे अपना कोट पहनने में मदद कर सकते हैं?"
"trench-coat","Trench coat","बरसाती"
"trench-coat_2","I like wearing trench coat.","मुझे ट्रेंच कोट पहनना पसंद है।"
"trench-coat_3","Can you help me wear my trench coat?","क्या आप मुझे अपना ट्रेंच कोट पहनने में मदद कर सकते हैं?"
"colors","Colors","रंग की"
"crayons","Crayons","crayons"
"crayons_2","I like crayons.","मुझे क्रेयॉन पसंद हैं।"
"crayons_3","Can you give me crayons?","क्या आप मुझे क्रेयॉन दे सकते हैं?"
"crayons_4","I want to draw using my crayons.","मैं अपने क्रेयॉन का उपयोग करना चाहता हूं।"
"red","Red","लाल"
"red_2","It is red.","यह लाल है।"
"red_3","My favorite color is red.","मेरा मनपसंद रंग लाल है।"
"red_4","Can you give me red paint?","क्या आप मुझे लाल रंग दे सकते हैं?"
"blue","Blue","नीला"
"blue_2","It is blue.","यह नीला है।"
"blue_3","My favorite color is blue.","मेरा पसंदीदा रंग नीला है।"
"blue_4","Can you give me blue paint?","क्या आप मुझे ब्लू पेंट दे सकते हैं?"
"orange","Orange","संतरा"
"orange_2","It is orange color.","यह नारंगी रंग है।"
"orange_3","My favorite color is orange.","मेरा प्रिय रंग नारंगी है।"
"orange_4","Can you give me orange paint?","क्या आप मुझे नारंगी रंग दे सकते हैं?"
"green","Green","हरा"
"green_2","It is green.","यह हरे रंग का है।"
"green_3","My favorite color is green.","मेरा पसंदीदा रंग हरा है।"
"green_4","Can you give me green paint?","क्या आप मुझे हरा रंग दे सकते हैं?"
"yellow","Yellow","पीला"
"yellow_2","It is yellow.","यह पीला है।"
"yellow_3","My favorite color is yellow.","मेरा पसंदीदा रंग पीला है।"
"yellow_4","Can you give me yellow paint?","क्या आप मुझे पीला पेंट दे सकते हैं?"
"purple","Purple","बैंगनी"
"purple_2","It is purple.","यह बैंगनी है।"
"purple_3","My favorite color is purple.","मेरा पसंदीदा रंग बैंगनी है।"
"purple_4","Can you give me purple paint?","क्या आप मुझे पर्पल पेंट दे सकते हैं?"
"pink","Pink","गुलाबी"
"pink_2","It is pink.","यह गुलाबी है।"
"pink_3","My favorite color is pink.","मेरा पसंदीदा रंग गुलाबी है।"
"pink_4","Can you give me pink paint?","क्या आप मुझे गुलाबी रंग दे सकते हैं?"
"brown","Brown","भूरा"
"brown_2","It is brown.","ये भूरा हैं।"
"brown_3","My favorite color is brown.","मेरा पसंदीदा रंग भूरा है।"
"brown_4","Can you give me brown paint?","क्या आप मुझे ब्राउन पेंट दे सकते हैं?"
"black","Black","काली"
"black_2","It is black.","यह काला है।"
"black_3","My favorite color is black.","मेरा पसंदीदा रंग काला है।"
"black_4","Can you give me black paint?","क्या आप मुझे काला पेंट दे सकते हैं?"
"white","White","सफेद"
"white_2","It is white.","यह सफेद है।"
"white_3","My favorite color is white.","मेरा पसंदीदा रंग सफेद है।"
"white_4","Can you give me white paint?","क्या आप मुझे सफेद पेंट दे सकते हैं?"
"gray","Gray","धूसर"
"gray_2","It is gray.","यह धूसर होता है।"
"gray_3","My favorite color is gray.","मेरा पसंदीदा रंग ग्रे है।"
"gray_4","Can you give me gray paint?","क्या आप मुझे ग्रे पेंट दे सकते हैं?"
"transparent","Transparent","पारदर्शक"
"transparent_2","It is transparent.","यह पारदर्शी है।"
"transparent_3","I can see behind transparent color.","मैं पारदर्शी रंग के पीछे देख सकता हूं।"
"transparent_4","Can you help me erase?","क्या आप मुझे मिटाने में मदद कर सकते हैं?"
"cyan","Cyan","सियान"
"cyan_2","It is cyan.","यह सियान है।"
"cyan_3","My favorite color is cyan.","मेरा पसंदीदा रंग सियान है।"
"cyan_4","Can you give me cyan paint?","क्या आप मुझे सियान पेंट दे सकते हैं?"
"violet","Violet","बैंगनी"
"violet_2","It is violet.","यह वायलेट है।"
"violet_3","My favorite color is violet.","मेरा पसंदीदा रंग बैंगनी है।"
"violet_4","Can you give me violet paint?","क्या आप मुझे वायलेट पेंट दे सकते हैं?"
"turquoise","Turquoise","फ़िरोज़ा"
"turquoise_2","It is turquoise.","यह फ़िरोज़ा है।"
"turquoise_3","My favorite color is turquoise.","मेरा पसंदीदा रंग फ़िरोज़ा है।"
"turquoise_4","Can you give me turquoise paint?","क्या आप मुझे फ़िरोज़ा पेंट दे सकते हैं?"
"lime","Lime","चूना"
"lime_2","It is lime.","यह चूना है।"
"lime_3","My favorite color is lime.","मेरा पसंदीदा रंग चूना है।"
"lime_4","Can you give me lime paint?","क्या आप मुझे चूना पेंट दे सकते हैं?"
"plum","Plum","बेर"
"plum_2","It is plum.","यह बेर है।"
"plum_3","My favorite color is plum.","मेरा पसंदीदा रंग बेर है।"
"plum_4","Can you give me plum paint?","क्या आप मुझे बेर पेंट दे सकते हैं?"
"tan","Tan","टैन"
"tan_2","It is tan color.","यह टैन रंग है।"
"tan_3","My favorite color is tan color.","मेरा पसंदीदा रंग तन रंग है।"
"tan_4","Can you give me tan color paint?","क्या आप मुझे टैन कलर पेंट दे सकते हैं?"
"avocado","Avocado","एवोकाडो"
"avocado_2","It is avocado color.","यह एवोकैडो रंग है।"
"avocado_3","My favorite color is avocado color.","मेरा पसंदीदा रंग एवोकैडो रंग है।"
"avocado_4","Can you give me avocado color paint?","क्या आप मुझे एवोकैडो रंग पेंट दे सकते हैं?"
"barbie-pink","Barbie pink","बार्बी गुलाबी"
"barbie-pink_2","It is barbie pink color.","यह बार्बी गुलाबी रंग है।"
"barbie-pink_3","My favorite color is barbie pink.","मेरा पसंदीदा रंग बार्बी गुलाबी है।"
"barbie-pink_4","Can you give me barbie pink paint?","क्या आप मुझे बार्बी गुलाबी पेंट दे सकते हैं?"
"blizzard-blue","Blizzard blue","बर्फानी नीला"
"blizzard-blue_2","It is blizzard blue color.","यह बर्फानी नीला रंग है।"
"blizzard-blue_3","My favorite color is blizzard blue color.","मेरा पसंदीदा रंग नीला रंग है।"
"blizzard-blue_4","Can you give me blizzard blue paint?","क्या आप मुझे ब्लिज़र्ड ब्लू पेंट दे सकते हैं?"
"conversation","Conversation","बातचीत"
"me","Me","मुझे"
"me_2","My name is {name}","मेरा नाम {नाम} है"
"me_3","I'm {name}","मेरा नाम है}"
"me_4","Do you know my name?","क्या तुम मेरा नाम जानते हो?"
"me_5","What is your name?","तुम्हारा नाम क्या हे?"
"me_6","Nice to meet you!","आपसे मिलकर अच्छा लगा!"
"me_7","Do you like me?","क्या आप मुझे पसंद करते ह?"
"me_8","Can we be friends?","क्या हम दोस्त बन सकते हैं?"
"me_9","I'm using assistive communication app.","मैं सहायक संचार एप्लिकेशन का उपयोग कर रहा हूं।"
"me_10","Who are you?","तुम कौन हो?"
"hello","Hello","हैलो"
"hello_2","Hello.","हैलो।"
"hello_3","Hi.","नमस्ते।"
"hello_4","Greetings.","अभिवादन।"
"hello_5","How are you?","क्या हाल है?"
"hello_6","Nice to meet you!","आपसे मिलकर अच्छा लगा!"
"help","Help","मदद"
"help_2","Help me.","मेरी मदद करो।"
"help_3","Can you help me?","क्या आप मेरी मदद कर सकते हैं?"
"help_4","I need help","मुझे मदद की ज़रूरत है"
"help_5","Do you need help?","क्या आपको मदद की ज़रूरत है?"
"yes","Yes","हाँ"
"yes_2","Yes.","हाँ।"
"yes_3","Yes please.","हाँ कृपया।"
"yes_4","Alright.","ठीक है।"
"yes_5","Agreed.","माना।"
"yes_6","I want to.","में चाहता हूं।"
"yes_7","I would like to.","मैं।"
"no","No","नहीं"
"no_2","No.","नहीं।"
"no_3","Nope.","नहीं।"
"no_4","Never.","कभी नहीँ।"
"no_5","I don't want to.","मैं नहीं करना चाहता।"
"no_6","I don't like it.","मुझे यह पसंद नहीं है।"
"no_7","You don't like it?","आपको यह पसंद नहीं है?"
"no_8","Why you don't like it?","आपको यह पसंद क्यों नहीं है?"
"toilet","Toilet","शौचालय"
"toilet_2","I need to go to the toilet.","मुझे शौचालय जाने की जरूरत है।"
"toilet_3","I need to pee.","मुझे टॉयलेट जाना है।"
"toilet_4","I need to poop.","मुझे शौच जाना है।"
"toilet_5","Can you help me go to the toilet?","क्या आप मुझे शौचालय जाने में मदद कर सकते हैं?"
"toilet_6","Can you help me clean?","क्या आप मुझे साफ करने में मदद कर सकते हैं?"
"toilet_7","I peed myself.","मैंने मूत्र त्याग किया।"
"toilet_8","I pooped myself.","मैंने अपना शिकार बनाया।"
"what","What","क्या"
"what_2","What is that?","वो क्या है?"
"what_3","What does it mean?","इसका क्या मतलब है?"
"what_4","What do you mean?","क्या मतलब?"
"what_5","Can you explain it?","क्या आप इसे समझा सकते हैं?"
"what_6","Can you repeat what you said?","क्या आपने जो कहा उसे दोहरा सकते हैं?"
"what_7","I don't understand.","मुझे समझ नहीं आ रहा है।"
"sleep","Sleep","नींद"
"sleep_2","I want to sleep.","मै सोना चाहता हूँ।"
"sleep_3","I don't want to sleep.","मैं सोना नहीं चाहता।"
"sleep_4","I'm tired.","मैं थक गया हूँ।"
"sleep_5","Are you tired?","क्या तुम थके हुए हो?"
"sleep_6","When am I going to sleep?","मैं कब सोने जा रहा हूँ?"
"sleep_7","I want to take a nap.","मैं एक झपकी लेना चाहता हूँ।"
"bath","Bath","स्नान"
"bath_2","I want to take a bath.","मैं स्नान करना चाहता हूँ।"
"bath_3","I like taking a bath.","मुझे नहाना पसंद है।"
"bath_4","I want to wash my hands.","मैं अपने हाथ धोना चाहता हूं।"
"bath_5","I want to take a shower.","मेरी नहाने की इच्छा है।"
"bath_6","I want to clean myself.","मैं खुद को साफ करना चाहता हूं।"
"bath_7","Can you help me take a bath?","क्या आप मुझे नहाने में मदद कर सकते हैं?"
"bath_8","I don't want to take a bath.","मैं स्नान नहीं करना चाहता।"
"listen","Listen","बात सुनो"
"listen_2","Listen to me.","मेरी बात सुनो।"
"listen_3","Can you listen to me?","क्या तुम मेरी बात सुन सकते हो?"
"listen_4","Listen to music.","संगीत सुनें।"
"listen_5","Listening to my parents.","मेरे माता-पिता की बात सुनकर।"
"listen_6","Listen to what my application is saying!","मेरा आवेदन क्या कह रहा है सुनो!"
"morning","Morning","सुबह"
"morning_2","Good morning.","शुभ प्रभात।"
"morning_3","I like mornings.","मुझे सुबह पसंद है।"
"morning_4","In the morning.","सुबह में।"
"morning_5","Morning time.","सुबह का समय।"
"morning_6","Is it morning?","क्या यह सुबह है?"
"night","Night","रात"
"night_2","Good night!","शुभ रात्रि!"
"night_3","I like nights.","मुझे रातें पसंद हैं।"
"night_4","At night.","रात को।"
"night_5","Night time.","रात का समय।"
"night_6","Is it night?","रात हो गई?"
"look","Look","देखो"
"look_2","Look at me.","मुझे देखो।"
"look_3","Look at this.","इसे देखो।"
"look_4","Are you looking?","क्या आप देख रहे हो?"
"look_5","Look at my drawing.","मेरे ड्राइंग को देखो।"
"look_6","How do I look?","मैं कैसा दिखता हूँ?"
"look_7","Look what I did.","देखो मैंने क्या किया।"
"look_8","Let's look at that.","आइए उस पर नजर डालते हैं।"
"speak","Speak","बोले"
"speak_2","I'm learning how to speak.","मैं बोलना सीख रहा हूं।"
"speak_3","I want to speak.","मैं बोलना चाहता हूँ।"
"speak_4","Can I speak with you?","क्या मैं आपसे बात कर सकता हूं?"
"speak_5","I like speaking.","मुझे बोलना पसंद है।"
"speak_6","I'm using assistive communication app.","मैं सहायक संचार एप्लिकेशन का उपयोग कर रहा हूं।"
"play","Play","खेल"
"play_2","I love playing.","मुझे खेलना पसंद है।"
"play_3","Can you play with me?","क्या तुम मेरे साथ खेल सकते हो?"
"play_4","I want to play with you!","मै तुम्हारे साथ खेलना चाहता हु!"
"play_5","I want to play with my friends.","मैं अपने दोस्तों के साथ खेलना चाहता हूं।"
"play_6","I don't want to play with you.","मैं तुम्हारे साथ नहीं खेलना चाहता।"
"outside","Outside","बाहर"
"outside_2","I love going outside.","मुझे बाहर जाना बहुत पसंद है।"
"outside_3","I want to go outside.","मैं बाहर की ओर जाना चाहता हूँ।"
"outside_4","Is it cold outside?","बाहर ठंड है?"
"outside_5","I don't like outside.","मुझे बाहर पसंद नहीं है।"
"outside_6","Can I go outside?","क्या मैं बाहर जा सकता हूं?"
"home","Home","घर"
"home_2","I love my home.","मुझे अपने घर से प्यार है।"
"home_3","I want to go home.","मुझे घर जाना है।"
"home_4","Where is your home?","तुम्हारा घर कहाँ है?"
"home_5","Home sweet home.","घर प्यारा घर।"
"home_6","I'm in the house.","मैं घर पर हूँ।"
"home_7","I'm not in the house.","मैं घर में नहीं हूं।"
"hurt","Hurt","चोट"
"hurt_2","I'm hurt.","मुझे चोट लगी है।"
"hurt_3","Are you hurt?","चोट तो नहीं लगी?"
"hurt_4","Did I hurt you?","क्या मैंने आपको चोट पहुँचाई?"
"hurt_5","I didn't mean to hurt you!","मैं तुम्हें चोट करने के लिए मतलब नहीं था!"
"hurt_6","Is it going to hurt?","क्या यह दुख देने वाला है?"
"hurt_7","I have a headache.","मुझे सिर दर्द है।"
"hurt_8","I have a stomach ache.","मुझे पेट दर्द हैं।"
"hurt_9","My genitals hurt.","मेरे गुप्तांग पर चोट लगी।"
"hurt_10","My foot hurts.","मेरे पैर में दर्द है।"
"feelings","Feelings","भावना"
"happy","Happy","खुश"
"happy_2","I'm happy.","में खुश हूँ।"
"happy_3","I feel happy.","मुझे खुशी महसूस हो रही है।"
"happy_4","Do you feel happy?","क्या आप खुश महसूस करते हैं?"
"happy_5","I want to feel happy.","मैं खुश महसूस करना चाहता हूं।"
"happy_6","You are making me happy.","आप मुझे खुश कर रहे हैं।"
"sad","Sad","उदास"
"sad_2","I'm sad.","मैं दुखी हूँ।"
"sad_3","I feel sad.","मुझे दुख हो रहा है।"
"sad_4","Do you feel sad?","क्या आपको दुःख होता है?"
"sad_5","I don't want to feel sad.","मैं दुखी महसूस नहीं करना चाहता।"
"sad_6","You are making me sad.","आप मुझे दुखी कर रहे हैं।"
"exhausted","Exhausted","थक"
"exhausted_2","I'm exhausted.","मैं थक गया हूँ।"
"exhausted_3","I feel exhausted.","मैं थका हुआ महसूस कर रहा हूँ।"
"exhausted_4","Do you feel exhausted?","क्या आपको थकावट महसूस होती है?"
"exhausted_5","I don't want to be exhausted.","मैं थकना नहीं चाहता।"
"relaxed","Relaxed","ढील"
"relaxed_2","I'm relaxed.","मैं आराम से हूं।"
"relaxed_3","I feel relaxed.","मैं आराम महसूस करता हूँ।"
"relaxed_4","Do you feel relaxed?","क्या आप आराम महसूस करते हैं?"
"relaxed_5","I want to feel relaxed.","मैं आराम महसूस करना चाहता हूं।"
"in-love","In love","प्यार हुआ इकरार हुआ"
"in-love_2","I'm in love.","मुझे प्यार हो गया है।"
"in-love_3","I feel in love.","मुझे प्यार हो गया।"
"in-love_4","Are you in love?","क्या आप प्यार में हैं?"
"in-love_5","I want to fall in love.","मैं प्यार में पड़ना चाहता हूँ।"
"in-love_6","Do you love me?","क्या तुम मुझे प्यार करती?"
"stressed","Stressed","पर बल दिया"
"stressed_2","I'm stressed.","मैं तनाव में हूं।"
"stressed_3","I feel stressed.","मैं अत्यधिक थका हुआ हूँ।"
"stressed_4","Do you feel stressed?","क्या आप तनाव महसूस करते हैं?"
"stressed_5","I don't want to feel stressed.","मैं तनाव महसूस नहीं करना चाहता।"
"thankful","Thankful","कृतज्ञ"
"thankful_2","I'm thankful.","मैं आभारी हूँ।"
"thankful_3","I feel thankful.","मैं आभारी महसूस करता हूं।"
"thankful_4","Do you feel thankful?","क्या आप आभारी महसूस करते हैं?"
"thankful_5","I want to feel thankful.","मैं आभारी महसूस करना चाहता हूं।"
"confused","Confused","उलझन में"
"confused_2","I'm confused.","मैं उलझन में हूं।"
"confused_3","I feel confused.","मुझे उलझन मसहूस हो रही है।"
"confused_4","Do you feel confused?","क्या आप भ्रमित महसूस करते हैं?"
"confused_5","You are confusing me.","तुम मुझे संदेह में डाल रहे हो।"
"joyful","Joyful","आनंदपूर्ण"
"joyful_2","I'm joyful.","मैं हर्षित हूं।"
"joyful_3","I feel joyful.","मुझे खुशी महसूस होती है।"
"joyful_4","Do you feel joyful?","क्या आप आनंदित महसूस करते हैं?"
"joyful_5","I want to feel joyful.","मैं खुशी महसूस करना चाहता हूं।"
"angry","Angry","गुस्सा"
"angry_2","I'm angry.","मैं नाराज़ हूँ।"
"angry_3","I feel angry.","मुझे गुस्सा आ रहा है।"
"angry_4","Do you feel angry?","क्या आपको गुस्सा आता है?"
"angry_5","I'm angry at you.","मैं तुम से नाराज हूं।"
"angry_6","You are making me angry.","आप मुझे क्रोधित कर रहे हैं।"
"smart","Smart","होशियार"
"smart_2","I'm smart.","मई हुशार हुँ।"
"smart_3","I feel smart.","मैं स्मार्ट महसूस करता हूं।"
"smart_4","Do you feel smart?","क्या आप स्मार्ट महसूस करते हैं?"
"smart_5","Am I smart?","क्या मैं स्मार्ट हूँ?"
"smart_6","You are smart!","आप होशियार हो!"
"afraid","Afraid","डरा हुआ"
"afraid_2","I'm afraid.","मुझे डर लग रहा है।"
"afraid_3","I feel afraid.","मुझे डर लगता है।"
"afraid_4","Do you feel afraid?","क्या आपको डर लगता है?"
"afraid_5","I don't want to feel afraid.","मैं डर महसूस नहीं करना चाहता।"
"afraid_6","You are scaring me.","आप मुझे डरा रहे हैं।"
"ashamed","Ashamed","शर्मिंदा"
"ashamed_2","I'm ashamed.","मैं शर्मिंदा हूँ।"
"ashamed_3","I feel ashamed.","मैं शर्मिंदा हूँ।"
"ashamed_4","Do you feel ashamed?","क्या आपको शर्म आती है?"
"ashamed_5","I don't want to feel ashamed.","मैं शर्मिंदा महसूस नहीं करना चाहता।"
"shocked","Shocked","हैरान"
"shocked_2","I'm shocked.","मैं हैरान हूँ।"
"shocked_3","I feel shocked.","मुझे धक्का लगा।"
"shocked_4","Do you feel shocked?","क्या आपको धक्का लगा है?"
"shocked_5","You shocked me.","तुमने मुझे झटका दिया।"
"sick","Sick","बीमार"
"sick_2","I'm sick.","मै बीमार हूँ।"
"sick_3","I feel sick.","मैं बीमार महसूस कर रहा हूँ।"
"sick_4","Do you feel sick?","क्या आप बीमार हो?"
"sick_5","I don't want to be sick.","मैं बीमार नहीं होना चाहता।"
"sick_6","I'm sick of the food.","मैं भोजन से बीमार हूँ।"
"frustrated","Frustrated","हताश होकर"
"frustrated_2","I'm frustrated.","मैं निराश हूँ।"
"frustrated_3","I feel frustrated.","मैं ऊबाउ अनुभव किया।"
"frustrated_4","Do you feel frustrated?","क्या आप निराश महसूस करते हैं?"
"frustrated_5","I don't want to feel frustrated.","मैं निराश महसूस नहीं करना चाहता।"
"excited","Excited","उत्साहित"
"excited_2","I'm excited.","में उत्साहित हु।"
"excited_3","I feel excited.","मैं उत्साहित महसूस।"
"excited_4","Do you feel excited?","क्या आप उत्साहित महसूस करते हैं?"
"excited_5","I don't want to feel excited.","मैं उत्साहित महसूस नहीं करना चाहता।"
"nauseated","Nauseated","मिचली"
"nauseated_2","I'm nauseated.","मुझे मतली हो रही है।"
"nauseated_3","I feel nauseated.","मुझे मतली महसूस होती है।"
"nauseated_4","Do you feel nauseated?","क्या आप मतली महसूस करते हैं?"
"nauseated_5","I don't want to feel nauseated.","मैं मतली महसूस नहीं करना चाहता।"
"agitated","Agitated","उत्तेजित"
"agitated_2","I'm agitated.","मैं आंदोलित हूं।"
"agitated_3","I feel agitated.","मैं उत्तेजित महसूस करता हूं।"
"agitated_4","Do you feel agitated?","क्या आप उत्तेजित महसूस करते हैं?"
"agitated_5","I don't want to feel agitated.","मैं उत्तेजित महसूस नहीं करना चाहता।"
"food","Food","खाना"
"hungry","Hungry","भूखे पेट"
"hungry_2","I'm hungry.","मुझे भूख लगी है।"
"hungry_3","Are you hungry?","क्या आप भूखे हैं?"
"hungry_4","Can you make me food?","क्या आप मुझे खाना बना सकते हैं?"
"hungry_5","What is for dinner?","रात के खाने में क्या है?"
"thirsty","Thirsty","प्यासे"
"thirsty_2","I'm thirsty.","मैं प्यासा हूँ।"
"thirsty_3","Can I have some water?","क्या मुझे पानी मिल सकता है?"
"thirsty_4","Can I have a glass of water?","क्या मुझे एक गिलास पानी मिल सकता है?"
"thirsty_5","I want something to drink.","मुझे पीने के लिए कुछ चाहिए।"
"cutlery","Cutlery","कटलरी"
"cutlery_2","I need cutlery.","मुझे कटलरी चाहिए।"
"cutlery_3","Help me use cutlery.","कटलरी का उपयोग करने में मेरी मदद करें।"
"cutlery_4","I need a fork.","मुझे कांटा चाहिए।"
"cutlery_5","I need a spoon.","मुझे एक चम्मच चाहिए।"
"cutlery_6","I need chopsticks.","मुझे चॉपस्टिक की जरूरत है।"
"cutlery_7","I need a knife.","मुझे चाकू चाहिए।"
"cutlery_8","I need a napkin.","मुझे रुमाल चाहिए।"
"apple","Apple","सेब"
"apple_2","I like apple.","मुझे सेब पसंद है।"
"apple_3","I don't like apple.","मुझे सेब पसंद नहीं है।"
"apple_4","I want to eat an apple.","मैं एक सेब खाना चाहता हूं।"
"carrot","Carrot","गाजर"
"carrot_2","I like carrot.","मुझे गाजर पसंद है।"
"carrot_3","I don't like carrot.","मुझे गाजर पसंद नहीं है।"
"carrot_4","I want to eat a carrot.","मैं एक गाजर खाना चाहता हूं।"
"beans","Beans","फलियां"
"beans_2","I like beans.","मुझे फलियाँ पसंद हैं।"
"beans_3","I don't like beans.","मुझे फलियाँ पसंद नहीं हैं।"
"beans_4","I want to eat beans.","मैं बीन्स खाना चाहता हूं।"
"chicken_5","I want fried chicken.","मुझे तला हुआ चिकन चाहिए।"
"chicken_6","I want boiled chicken.","मुझे उबला हुआ चिकन चाहिए।"
"chocolate","Chocolate","चॉकलेट"
"chocolate_2","I like chocolate.","मुझे चॉकलेट पसंद है।"
"chocolate_3","I don't like chocolate.","मुझे चॉकलेट पसंद नहीं है।"
"chocolate_4","I want to eat chocolate.","मैं चॉकलेट खाना चाहता हूं।"
"chocolate_5","I want dark chocolate.","मुझे डार्क चॉकलेट चाहिए।"
"chocolate_6","I want white chocolate.","मुझे व्हाइट चॉकलेट चाहिए।"
"milk","Milk","दूध"
"milk_2","I like milk.","मुझे दूध पसंद है।"
"milk_3","I don't like milk.","मुझे दूध पसंद नहीं है।"
"milk_4","I want to drink milk.","मुझे दूध पीना हे।"
"milk_5","Can I have a glass of milk?","क्या मुझे एक गिलास दूध मिल सकता है?"
"sandwich","Sandwich","सैंडविच"
"sandwich_2","I like sandwich.","मुझे सैंडविच पसंद है।"
"sandwich_3","I don't like sandwich.","मुझे सैंडविच पसंद नहीं है।"
"sandwich_4","I want to eat a sandwich.","मैं एक सैंडविच खाना चाहता हूं।"
"sandwich_5","Can you make me a sandwich?","क्या आप मुझे सैंडविच बना सकते हैं?"
"steak","Steak","स्टेक"
"steak_2","I like steak.","मुझे स्टेक पसंद है।"
"steak_3","I don't like steak.","मुझे स्टेक पसंद नहीं है।"
"steak_4","I want to eat steak.","मैं स्टेक खाना चाहता हूं।"
"steak_5","Can you cook steak for me?","क्या आप मेरे लिए स्टेक बना सकते हैं?"
"banana","Banana","केला"
"banana_2","I like banana.","मुझे केला पसंद है।"
"banana_3","I don't like banana.","मुझे केला पसंद नहीं है।"
"banana_4","I want to eat a banana.","मैं एक केला खाना चाहता हूं।"
"pie","Pie","पाई"
"pie_2","I like pie.","मुझे पाई पसंद है।"
"pie_3","I don't like pie.","मुझे पाई पसंद नहीं है।"
"pie_4","I want to eat pie.","मैं पाई खाना चाहता हूं।"
"pie_5","Can you bake a pie for me?","क्या आप मेरे लिए एक पाई बेक कर सकते हैं?"
"egg","Egg","अंडा"
"egg_2","I like egg.","मुझे अंडा पसंद है।"
"egg_3","I don't like egg.","मुझे अंडा पसंद नहीं है।"
"egg_4","I want to eat egg.","मैं अंडा खाना चाहता हूं।"
"egg_5","I want fried eggs.","मुझे तले हुए अंडे चाहिए।"
"egg_6","I want boiled eggs.","मुझे उबले हुए अंडे चाहिए।"
"noodles","Noodles","नूडल्स"
"noodles_2","I like noodles.","मुझे नूडल्स पसंद हैं।"
"noodles_3","I don't like noodles.","मुझे नूडल्स पसंद नहीं है।"
"noodles_4","I want to eat noodles.","मैं नूडल्स खाना चाहता हूं।"
"noodles_5","Can you cook noodles for me?","क्या आप मेरे लिए नूडल्स बना सकते हैं?"
"salt","Salt","नमक"
"salt_2","I want salt.","मुझे नमक चाहिए।"
"salt_3","Can you pass me the salt?","क्या आप मुझे नमक दे सकते हैं?"
"salt_4","Food is too salty.","खाना बहुत नमकीन है।"
"salt_5","My food needs some salt.","मेरे भोजन में कुछ नमक की जरूरत है।"
"spices","Spices","मसाले"
"spices_2","I like spicy food.","मुझे मसालेदार खाना अच्छा लगता है।"
"spices_3","I don't like spicy food.","मुझे मसालेदार खाना पसंद नहीं है।"
"spices_4","I want paprika.","मुझे पप्रिका चाहिए।"
"spices_5","I want black pepper.","मुझे काली मिर्च चाहिए।"
"pizza","Pizza","पिज़्ज़ा"
"pizza_2","I like pizza.","मैं पिज्जा पसंद करता हूँ।"
"pizza_3","I don't like pizza.","मुझे पिज्जा पसंद नहीं है।"
"pizza_4","I want to eat pizza.","मैं पिज़्जा खाना चाहता हूँ।"
"pizza_5","Can you cook pizza for me?","क्या आप मेरे लिए पिज़्ज़ा बना सकते हैं?"
"pizza_6","Can we order pizza?","क्या हम पिज्जा ऑर्डर कर सकते हैं?"
"cheese","Cheese","पनीर"
