"activities","Activities","פעילויות"
"purple_4","Can you give me purple paint?","אתה יכול לתת לי צבע סגול?"
"pink","Pink","ורוד"
"pink_2","It is pink.","הוא ורוד."
"pink_3","My favorite color is pink.","הצבע האהוב עליי הוא ורוד."
"pink_4","Can you give me pink paint?","אתה יכול לתת לי צבע ורוד?"
"brown","Brown","חום"
"brown_2","It is brown.","האם זה חום."
"brown_3","My favorite color is brown.","הצבע האהוב עלי הוא חום."
"brown_4","Can you give me brown paint?","אתה יכול לתת לי צבע חום?"
"black","Black","שחור"
"black_2","It is black.","זה שחור."
"black_3","My favorite color is black.","הצבע האהוב עלי הוא שחור."
"black_4","Can you give me black paint?","אתה יכול לתת לי צבע שחור?"
"white","White","לבן"
"white_2","It is white.","זה לבן."
"white_3","My favorite color is white.","הצבע האהוב עלי הוא לבן."
"white_4","Can you give me white paint?","אתה יכול לתת לי צבע לבן?"
"gray","Gray","אפור"
"gray_2","It is gray.","הוא אפור."
"gray_3","My favorite color is gray.","הצבע האהוב עלי הוא אפור."
"gray_4","Can you give me gray paint?","אתה יכול לתת לי צבע אפור?"
"transparent","Transparent","שקוף"
"transparent_2","It is transparent.","זה שקוף."
"transparent_3","I can see behind transparent color.","אני יכול לראות מאחורי צבע שקוף."
"transparent_4","Can you help me erase?","אתה יכול לעזור לי למחוק?"
"cyan","Cyan","טורקיז"
"cyan_2","It is cyan.","זה ציאן."
"cyan_3","My favorite color is cyan.","הצבע האהוב עלי הוא ציאן."
"cyan_4","Can you give me cyan paint?","אתה יכול לתת לי צבע ציאן?"
"violet","Violet","סגול"
"violet_2","It is violet.","זה סגול."
"violet_3","My favorite color is violet.","הצבע האהוב עלי הוא סגול."
"violet_4","Can you give me violet paint?","אתה יכול לתת לי צבע סגול?"
"turquoise","Turquoise","טורקיז"
"turquoise_2","It is turquoise.","זה טורקיז."
"turquoise_3","My favorite color is turquoise.","הצבע האהוב עלי הוא טורקיז."
"turquoise_4","Can you give me turquoise paint?","אתה יכול לתת לי צבע טורקיז?"
"lime","Lime","ליים"
"lime_2","It is lime.","זה סיד."
"lime_3","My favorite color is lime.","הצבע האהוב עלי הוא סיד."
"lime_4","Can you give me lime paint?","אתה יכול לתת לי צבע סיד?"
"plum","Plum","שזיף"
"plum_2","It is plum.","זה שזיף."
"plum_3","My favorite color is plum.","הצבע האהוב עלי הוא שזיף."
"plum_4","Can you give me plum paint?","אתה יכול לתת לי צבע שזיף?"
"tan","Tan","שזוף"
"tan_2","It is tan color.","זה צבע שזוף."
"tan_3","My favorite color is tan color.","הצבע האהוב עלי הוא צבע שזוף."
"tan_4","Can you give me tan color paint?","אתה יכול לתת לי צבע שזוף?"
"avocado","Avocado","אבוקדו"
"avocado_2","It is avocado color.","זה צבע אבוקדו."
"avocado_3","My favorite color is avocado color.","הצבע האהוב עלי הוא צבע אבוקדו."
"avocado_4","Can you give me avocado color paint?","אתה יכול לתת לי צבע אבוקדו בצבע?"
"barbie-pink","Barbie pink","ורוד ברבי"
"barbie-pink_2","It is barbie pink color.","זה צבע ורוד ברבי."
"barbie-pink_3","My favorite color is barbie pink.","הצבע האהוב עלי הוא ורבי ברבי."
"barbie-pink_4","Can you give me barbie pink paint?","אתה יכול לתת לי צבע ורבי ברבי?"
"blizzard-blue","Blizzard blue","סופת שלגים"
"blizzard-blue_2","It is blizzard blue color.","זה צבע כחול סופת שלג."
"blizzard-blue_3","My favorite color is blizzard blue color.","הצבע האהוב עלי הוא צבע כחול סופת שלג."
"blizzard-blue_4","Can you give me blizzard blue paint?","אתה יכול לתת לי צבע כחול סופת שלג?"
"conversation","Conversation","שיחה"
"me","Me","אני"
"me_2","My name is {name}","שמי {שם}"
"me_3","I'm {name}","אני שם}"
"me_4","Do you know my name?","האם אתה יודע את שמי?"
"me_5","What is your name?","מה השם שלך?"
"me_6","Nice to meet you!","נעים להכיר אותך!"
"me_7","Do you like me?","אתה מחבב אותי?"
"me_8","Can we be friends?","אנחנו יכולים להיות חברים?"
"me_9","I'm using assistive communication app.","אני משתמש באפליקציית תקשורת מסייעת."
"me_10","Who are you?","מי אתה?"
"hello","Hello","שלום"
"hello_2","Hello.","שלום."
"hello_3","Hi.","היי."
"hello_4","Greetings.","ברכות."
"hello_5","How are you?","מה שלומך?"
"hello_6","Nice to meet you!","נעים להכיר אותך!"
"help","Help","עזרה"
"help_2","Help me.","תעזור לי."
"help_3","Can you help me?","אתה יכול לעזור לי?"
"help_4","I need help","אני צריך עזרה"
"help_5","Do you need help?","אתה צריך עזרה?"
"yes","Yes","כן"
"yes_2","Yes.","כן."
"yes_3","Yes please.","כן בבקשה."
"yes_4","Alright.","בסדר."
"yes_5","Agreed.","מוסכם."
"yes_6","I want to.","אני רוצה."
"yes_7","I would like to.","הייתי רוצה ל."
"no","No","לא"
"no_2","No.","לא."
"no_3","Nope.","לא."
"no_4","Never.","לעולם לא."
"no_5","I don't want to.","אני לא רוצה."
"no_6","I don't like it.","אני לא אוהב את זה."
"no_7","You don't like it?","אתה לא אוהב את זה?"
"no_8","Why you don't like it?","למה אתה לא אוהב את זה?"
"toilet","Toilet","שירותים"
"toilet_2","I need to go to the toilet.","אני צריך ללכת לשירותים."
"toilet_3","I need to pee.","אני צריך להשתין."
"toilet_4","I need to poop.","אני צריך לחרבן."
"toilet_5","Can you help me go to the toilet?","אתה יכול לעזור לי ללכת לשירותים?"
"toilet_6","Can you help me clean?","אתה יכול לעזור לי לנקות?"
"toilet_7","I peed myself.","השתנתי."
"toilet_8","I pooped myself.","קפצתי את עצמי."
"what","What","מה"
"what_2","What is that?","מה זה?"
"what_3","What does it mean?","מה זה אומר?"
"what_4","What do you mean?","למה את מתכוונת?"
"what_5","Can you explain it?","אתה יכול להסביר את זה?"
"what_6","Can you repeat what you said?","אתה יכול לחזור על מה שאמרת?"
"what_7","I don't understand.","אני לא מבין."
"sleep","Sleep","שינה"
"sleep_2","I want to sleep.","אני רוצה לישון."
"sleep_3","I don't want to sleep.","אני לא רוצה לישון."
"sleep_4","I'm tired.","אני עייף."
"sleep_5","Are you tired?","האם אתה עייף?"
"sleep_6","When am I going to sleep?","מתי אני הולך לישון?"
"sleep_7","I want to take a nap.","אני רוצה לנמנם."
"bath","Bath","אמבטיה"
"bath_2","I want to take a bath.","אני רוצה אמבטיה."
"bath_3","I like taking a bath.","אני אוהבת לעשות אמבטיה."
"bath_4","I want to wash my hands.","אני רוצה לשטוף ידיים."
"bath_5","I want to take a shower.","אני רוצה להתקלח."
"bath_6","I want to clean myself.","אני רוצה לנקות את עצמי."
"bath_7","Can you help me take a bath?","אתה יכול לעזור לי להתקלח?"
"bath_8","I don't want to take a bath.","אני לא רוצה לעשות אמבטיה."
"listen","Listen","להקשיב"
"listen_2","Listen to me.","תקשיב לי."
"listen_3","Can you listen to me?","אתה יכול להקשיב לי?"
"listen_4","Listen to music.","הקשב למוסיקה."
"listen_5","Listening to my parents.","מקשיב להורי."
"listen_6","Listen to what my application is saying!","תקשיב למה שהיישום שלי אומר!"
"morning","Morning","בוקר"
"morning_2","Good morning.","בוקר טוב."
"morning_3","I like mornings.","אני אוהב בוקר."
"morning_4","In the morning.","בבוקר."
"morning_5","Morning time.","זמן בוקר."
"morning_6","Is it morning?","האם זה בוקר?"
"night","Night","לילה"
"night_2","Good night!","לילה טוב!"
"night_3","I like nights.","אני אוהב לילות."
"night_4","At night.","בלילה."
"night_5","Night time.","זמן לילה."
"night_6","Is it night?","האם זה לילה?"
"look","Look","תראה"
"look_2","Look at me.","תסתכל עלי."
"look_3","Look at this.","תסתכל על זה."
"look_4","Are you looking?","אתה מסתכל?"
"look_5","Look at my drawing.","הביטו ברישום שלי."
"look_6","How do I look?","איך אני נראה?"
"look_7","Look what I did.","תראה מה עשיתי."
"look_8","Let's look at that.","בואו נסתכל על זה."
"speak","Speak","דבר"
"speak_2","I'm learning how to speak.","אני לומד לדבר."
"speak_3","I want to speak.","אני רוצה לדבר."
"speak_4","Can I speak with you?","אני יכול לדבר איתך?"
"speak_5","I like speaking.","אני אוהב לדבר."
"speak_6","I'm using assistive communication app.","אני משתמש באפליקציית תקשורת מסייעת."
"play","Play","שחק"
"play_2","I love playing.","אני אוהב לשחק."
"play_3","Can you play with me?","אתה יכול לשחק איתי?"
"play_4","I want to play with you!","אני רוצה לשחק איתך!"
"play_5","I want to play with my friends.","אני רוצה לשחק עם החברים שלי."
"play_6","I don't want to play with you.","אני לא רוצה לשחק איתך."
"outside","Outside","בחוץ"
"outside_2","I love going outside.","אני אוהבת לצאת החוצה."
"outside_3","I want to go outside.","אני רוצה לצאת החוצה."
"outside_4","Is it cold outside?","קר בחוץ?"
"outside_5","I don't like outside.","אני לא אוהב בחוץ."
"outside_6","Can I go outside?","האם אוכל לצאת החוצה?"
"home","Home","בית"
"home_2","I love my home.","אני אוהב את הבית שלי."
"home_3","I want to go home.","אני רוצה ללכת הביתה."
"home_4","Where is your home?","איפה הבית שלך?"
"home_5","Home sweet home.","אין כמו בבית."
"home_6","I'm in the house.","אני בבית."
"home_7","I'm not in the house.","אני לא בבית."
"hurt","Hurt","כאב"
"hurt_2","I'm hurt.","אני פגוע."
"hurt_3","Are you hurt?","נפגעת?"
"hurt_4","Did I hurt you?","האם פגעתי בך?"
"hurt_5","I didn't mean to hurt you!","לא התכוונתי לפגוע בך!"
"hurt_6","Is it going to hurt?","האם זה הולך להזיק?"
"hurt_7","I have a headache.","יש לי כאב ראש."
"hurt_8","I have a stomach ache.","יש לי כאב בטן."
"hurt_9","My genitals hurt.","איברי המין שלי כאבו."
"hurt_10","My foot hurts.","הרגל שלי כואבת."
"feelings","Feelings","רגשות"
"happy","Happy","שמח"
"happy_2","I'm happy.","אני שמח."
"happy_3","I feel happy.","אני מרגיש מאושר."
"happy_4","Do you feel happy?","האם אתה מרגיש מאושר?"
"happy_5","I want to feel happy.","אני רוצה להרגיש מאושר."
"happy_6","You are making me happy.","אתה משמח אותי."
"sad","Sad","עצוב"
"sad_2","I'm sad.","אני עצוב."
"sad_3","I feel sad.","אני מרגיש עצוב."
"sad_4","Do you feel sad?","האם אתה מרגיש עצוב?"
"sad_5","I don't want to feel sad.","אני לא רוצה להרגיש עצוב."
"sad_6","You are making me sad.","אתה מעציב אותי."
"exhausted","Exhausted","מותש"
"exhausted_2","I'm exhausted.","אני מותש."
"exhausted_3","I feel exhausted.","אני מרגיש מותש."
"exhausted_4","Do you feel exhausted?","האם אתה מרגיש מותש?"
"exhausted_5","I don't want to be exhausted.","אני לא רוצה להיות מותש."
"relaxed","Relaxed","נרגע"
"relaxed_2","I'm relaxed.","אני רגוע."
"relaxed_3","I feel relaxed.","אני מרגיש רגוע."
"relaxed_4","Do you feel relaxed?","האם אתה מרגיש רגוע?"
"relaxed_5","I want to feel relaxed.","אני רוצה להרגיש נינוח."
"in-love","In love","מאוהב"
"in-love_2","I'm in love.","אני מאוהב."
"in-love_3","I feel in love.","אני מרגיש מאוהב."
"in-love_4","Are you in love?","האם אתה מאוהב?"
"in-love_5","I want to fall in love.","אני רוצה להתאהב."
"in-love_6","Do you love me?","אתה אוהב אותי?"
"stressed","Stressed","לחוץ"
"stressed_2","I'm stressed.","אני לחוץ."
"stressed_3","I feel stressed.","אני מרגיש מתוח."
"stressed_4","Do you feel stressed?","האם אתה מרגיש לחוץ?"
"stressed_5","I don't want to feel stressed.","אני לא רוצה להרגיש לחוץ."
"thankful","Thankful","אסיר תודה"
"thankful_2","I'm thankful.","אני אסיר תודה."
"thankful_3","I feel thankful.","אני מרגיש אסיר תודה."
"thankful_4","Do you feel thankful?","האם אתה מרגיש אסיר תודה?"
"thankful_5","I want to feel thankful.","אני רוצה להרגיש אסיר תודה."
"confused","Confused","מבולבל"
"confused_2","I'm confused.","אני מבולבל."
"confused_3","I feel confused.","אני מרגיש מבולבל."
"confused_4","Do you feel confused?","האם אתה מרגיש מבולבל?"
"confused_5","You are confusing me.","אתה מבלבל אותי."
"joyful","Joyful","מלא שמחה"
"joyful_2","I'm joyful.","אני שמחה."
"joyful_3","I feel joyful.","אני מרגישה שמחה."
"joyful_4","Do you feel joyful?","האם אתה מרגיש שמחה?"
"joyful_5","I want to feel joyful.","אני רוצה להרגיש שמחה."
"angry","Angry","כועסת"
"angry_2","I'm angry.","אני כועס."
"angry_3","I feel angry.","אני מרגיש כועס."
"angry_4","Do you feel angry?","האם אתה מרגיש כועס?"
"angry_5","I'm angry at you.","אני כועס עליך."
"angry_6","You are making me angry.","אתה מכעיס אותי."
"smart","Smart","חכם"
"smart_2","I'm smart.","אני חכם."
"smart_3","I feel smart.","אני מרגיש חכם."
"smart_4","Do you feel smart?","האם אתה מרגיש חכם?"
"smart_5","Am I smart?","האם אני חכם?"
"smart_6","You are smart!","אתה חכם!"
"afraid","Afraid","מפחד"
"afraid_2","I'm afraid.","אני מפחד."
"afraid_3","I feel afraid.","אני מרגיש פחד."
"afraid_4","Do you feel afraid?","האם אתה חשש?"
"afraid_5","I don't want to feel afraid.","אני לא רוצה להרגיש פחד."
"afraid_6","You are scaring me.","אתה מפחיד אותי."
"ashamed","Ashamed","מתביישת"
"ashamed_2","I'm ashamed.","אני מתבייש."
"ashamed_3","I feel ashamed.","אני מתביישת."
"ashamed_4","Do you feel ashamed?","האם אתה מתבייש?"
"ashamed_5","I don't want to feel ashamed.","אני לא רוצה להתבייש."
"shocked","Shocked","המום"
"shocked_2","I'm shocked.","אני המום."
"shocked_3","I feel shocked.","אני מרגיש המום."
"shocked_4","Do you feel shocked?","האם אתה מרגיש המום?"
"shocked_5","You shocked me.","אתה הלם אותי."
"sick","Sick","חולה"
"sick_2","I'm sick.","אני חולה."
"sick_3","I feel sick.","אני מרגיש חולה."
"sick_4","Do you feel sick?","האם אתה מרגיש חולה?"
"sick_5","I don't want to be sick.","אני לא רוצה להיות חולה."
"sick_6","I'm sick of the food.","נמאס לי מהאוכל."
"frustrated","Frustrated","מתוסכל"
"frustrated_2","I'm frustrated.","אני מתוסכל."
"frustrated_3","I feel frustrated.","אני מרגיש מתוסכל."
"frustrated_4","Do you feel frustrated?","האם אתה מרגיש מתוסכל?"
"frustrated_5","I don't want to feel frustrated.","אני לא רוצה להרגיש מתוסכל."
"excited","Excited","נרגש"
"excited_2","I'm excited.","אני מתרגש."
"excited_3","I feel excited.","אני מרגיש נרגש."
"excited_4","Do you feel excited?","האם אתה מרגיש נרגש?"
"excited_5","I don't want to feel excited.","אני לא רוצה להרגיש נרגש."
"nauseated","Nauseated","בחילה"
"nauseated_2","I'm nauseated.","אני בחילה."
"nauseated_3","I feel nauseated.","אני מרגיש בחילה."
"nauseated_4","Do you feel nauseated?","האם אתה מרגיש בחילה?"
"nauseated_5","I don't want to feel nauseated.","אני לא רוצה להרגיש בחילה."
"agitated","Agitated","נסער"
"agitated_2","I'm agitated.","אני נסער."
"agitated_3","I feel agitated.","אני מרגיש נסער."
"agitated_4","Do you feel agitated?","האם אתה מרגיש נסער?"
"agitated_5","I don't want to feel agitated.","אני לא רוצה להרגיש נסער."
"food","Food","מזון"
"hungry","Hungry","רעב"
"hungry_2","I'm hungry.","אני רעב."
"hungry_3","Are you hungry?","האם אתה רעב?"
"hungry_4","Can you make me food?","אתה יכול להכין לי אוכל?"
"hungry_5","What is for dinner?","מה יש לארוחת ערב?"
"thirsty","Thirsty","צמא"
"thirsty_2","I'm thirsty.","אני צמא."
"thirsty_3","Can I have some water?","האם אוכל לשתות מים?"
"thirsty_4","Can I have a glass of water?","האם אוכל לקבל כוס מים?"
"thirsty_5","I want something to drink.","אני רוצה לשתות משהו."
"cutlery","Cutlery","סכו"ם"
"cutlery_2","I need cutlery.","אני צריך סכו"ם."
"cutlery_3","Help me use cutlery.","עזור לי להשתמש בסכו"ם."
"cutlery_4","I need a fork.","אני צריך מזלג."
"cutlery_5","I need a spoon.","אני צריך כף."
"cutlery_6","I need chopsticks.","אני צריך מקלות אכילה."
"cutlery_7","I need a knife.","אני צריך סכין."
"cutlery_8","I need a napkin.","אני צריך מפית."
"apple","Apple","תפוח עץ"
"apple_2","I like apple.","אני אוהב תפוח."
"apple_3","I don't like apple.","אני לא אוהב תפוח."
"apple_4","I want to eat an apple.","אני רוצה לאכול תפוח."
"carrot","Carrot","גזר"
"carrot_2","I like carrot.","אני אוהב גזר."
"carrot_3","I don't like carrot.","אני לא אוהב גזר."
"carrot_4","I want to eat a carrot.","אני רוצה לאכול גזר."
"beans","Beans","שעועית"
"beans_2","I like beans.","אני אוהב שעועית."
"beans_3","I don't like beans.","אני לא אוהב שעועית."
"beans_4","I want to eat beans.","אני רוצה לאכול שעועית."
"chicken_5","I want fried chicken.","אני רוצה עוף מטוגן."
"chicken_6","I want boiled chicken.","אני רוצה עוף מבושל."
"chocolate","Chocolate","שוקולד"
"chocolate_2","I like chocolate.","אני אוהב שוקולד."
"chocolate_3","I don't like chocolate.","אני לא אוהב שוקולד."
"chocolate_4","I want to eat chocolate.","אני רוצה לאכול שוקולד."
"chocolate_5","I want dark chocolate.","אני רוצה שוקולד מריר."
"chocolate_6","I want white chocolate.","אני רוצה שוקולד לבן."
"milk","Milk","חלב"
"milk_2","I like milk.","אני אוהב חלב."
"milk_3","I don't like milk.","אני לא אוהב חלב."
"milk_4","I want to drink milk.","אני רוצה לשתות חלב."
"milk_5","Can I have a glass of milk?","האם אוכל לשתות כוס חלב?"
"sandwich","Sandwich","כריך"
"sandwich_2","I like sandwich.","אני אוהב כריך."
"sandwich_3","I don't like sandwich.","אני לא אוהב כריך."
"sandwich_4","I want to eat a sandwich.","אני רוצה לאכול כריך."
"sandwich_5","Can you make me a sandwich?","אתה יכול להכין לי כריך?"
"steak","Steak","סטייק"
"steak_2","I like steak.","אני אוהב סטייק."
"steak_3","I don't like steak.","אני לא אוהב סטייק."
"steak_4","I want to eat steak.","אני רוצה לאכול סטייק."
"steak_5","Can you cook steak for me?","אתה יכול לבשל סטייק בשבילי?"
"banana","Banana","בננה"
"banana_2","I like banana.","אני אוהבת בננה."
"banana_3","I don't like banana.","אני לא אוהב בננה."
"banana_4","I want to eat a banana.","אני רוצה לאכול בננה."
"pie","Pie","עוגה"
"pie_2","I like pie.","אני אוהב עוגה."
"pie_3","I don't like pie.","אני לא אוהב פאי."
"pie_4","I want to eat pie.","אני רוצה לאכול פשטידה."
"pie_5","Can you bake a pie for me?","אתה יכול לאפות פשטידה בשבילי?"
"egg","Egg","ביצה"
"egg_2","I like egg.","אני אוהב ביצה."
"egg_3","I don't like egg.","אני לא אוהב ביצה."
"egg_4","I want to eat egg.","אני רוצה לאכול ביצה."
"egg_5","I want fried eggs.","אני רוצה ביצים מטוגנות."
"egg_6","I want boiled eggs.","אני רוצה ביצים מבושלות."
"noodles","Noodles","נודלס"
"noodles_2","I like noodles.","אני אוהב נודלס."
"noodles_3","I don't like noodles.","אני לא אוהב נודלס."
"noodles_4","I want to eat noodles.","אני רוצה לאכול נודלס."
"noodles_5","Can you cook noodles for me?","אתה יכול לבשל אטריות בשבילי?"
"salt","Salt","מלח"
"salt_2","I want salt.","אני רוצה מלח."
"salt_3","Can you pass me the salt?","אתה יכול להעביר לי את המלח?"
"salt_4","Food is too salty.","האוכל מלוח מדי."
"salt_5","My food needs some salt.","האוכל שלי זקוק למעט מלח."
"spices","Spices","תבלינים"
"spices_2","I like spicy food.","אני אוהב אוכל חריף."
"spices_3","I don't like spicy food.","אני לא אוהב אוכל חריף."
"spices_4","I want paprika.","אני רוצה פפריקה."
"spices_5","I want black pepper.","אני רוצה פלפל שחור."
"pizza","Pizza","פיצה"
"pizza_2","I like pizza.","אני אוהב פיצה."
"pizza_3","I don't like pizza.","אני לא אוהב פיצה."
"pizza_4","I want to eat pizza.","אני רוצה לאכול פיצה."
"pizza_5","Can you cook pizza for me?","אתה יכול לבשל פיצה בשבילי?"
"pizza_6","Can we order pizza?","האם נוכל להזמין פיצה?"
"cheese","Cheese","גבינה"
"cheese_2","I like cheese.","אני אוהב גבינה."
"cheese_3","I don't like cheese.","אני לא אוהב גבינה."
"cheese_4","I want to eat cheese.","אני רוצה לאכול גבינה."
"ice-cream","Ice cream","גלידה"
"ice-cream_2","I like ice cream.","אני אוהב גלידה."
"ice-cream_3","I don't like ice cream.","אני לא אוהבת גלידה."
"ice-cream_4","I want to eat ice cream.","אני רוצה לאכול גלידה."
"ice-cream_5","Can you buy ice cream for me?","אתה יכול לקנות גלידה בשבילי?"
"tea","Tea","תה"
"tea_2","I like tea.","אני אוהב תה."
"tea_3","I don't like tea.","אני לא אוהב תה."
"tea_4","I want to drink tea.","אני רוצה לשתות תה."
"tea_5","Can you make tea for me?","אתה יכול להכין לי תה?"
"coffee","Coffee","קפה"
"coffee_2","I like coffee.","אני אוהב קפה."
"coffee_3","I don't like coffee.","אני לא אוהב קפה."
"coffee_4","I want to drink coffee.","אני רוצה לשתות קפה."
"coffee_5","Can you make coffee for me?","אתה יכול להכין קפה בשבילי?"
"tomato","Tomato","עגבנייה"
"tomato_2","I like tomato.","אני אוהב עגבניה."
"tomato_3","I don't like tomato.","אני לא אוהב עגבניה."
"tomato_4","I want to eat tomato.","אני רוצה לאכול עגבניה."
"cereal","Cereal","דגני בוקר"
"cereal_2","I like cereal.","אני אוהב דגני בוקר."
"cereal_3","I don't like cereal.","אני לא אוהב דגני בוקר."
"cereal_4","I want to eat cereal.","אני רוצה לאכול דגני בוקר."
"cereal_5","Can you make my cereal?","אתה יכול להכין את הדגנים שלי?"
"burger","Burger","בורגר"
"burger_2","I like burger.","אני אוהבת המבורגר."
"burger_3","I don't like burger.","אני לא אוהב המבורגר."
"burger_4","I want to eat burger.","אני רוצה לאכול המבורגר."
"burger_5","Can you cook burger for me?","אתה יכול לבשל המבורגר בשבילי?"
"burger_6","Can we order burger?","האם נוכל להזמין המבורגר?"
"french-fries","French fries","צ'יפס"
"french-fries_2","I like french fries.","אני אוהב צ'יפס."
"french-fries_3","I don't like french fries.","אני לא אוהב צ'יפס."
"french-fries_4","I want to eat french fries.","אני רוצה לאכול צ'יפס."
"french-fries_5","Can you cook french fries for me?","האם אתה יכול לבשל צ'יפס בשבילי?"
"french-fries_6","Can we order french fries?","האם נוכל להזמין צ'יפס?"
"spinach","Spinach","תרד"
"spinach_2","I like spinach.","אני אוהב תרד."
"spinach_3","I don't like spinach.","אני לא אוהב תרד."
"spinach_4","I want to eat spinach.","אני רוצה לאכול תרד."
"rice","Rice","אורז"
"rice_2","I like rice.","אני אוהב אורז."
"rice_3","I don't like rice.","אני לא אוהב אורז."
"rice_4","I want to eat rice.","אני רוצה לאכול אורז."
"rice_5","Can you cook rice for me?","אתה יכול לבשל אורז בשבילי?"
"bread","Bread","לחם"
"bread_2","I like bread.","אני אוהב לחם."
"bread_3","I don't like bread.","אני לא אוהב לחם."
"bread_4","I want to eat bread.","אני רוצה לאכול לחם."
"bread_5","Can you buy some bread?","אתה יכול לקנות קצת לחם?"
"pasta","Pasta","פסטה"
"pasta_2","I like pasta.","אני אוהב פסטה."
"pasta_3","I don't like pasta.","אני לא אוהב פסטה."
"pasta_4","I want to eat pasta.","אני רוצה לאכול פסטה."
"pasta_5","Can you cook pasta for me?","האם אתה יכול לבשל פסטה בשבילי?"
"sauce","Sauce","רוטב"
"sauce_2","I like sauce.","אני אוהב רוטב."
"sauce_3","I don't like sauce.","אני לא אוהב רוטב."
"sauce_4","I want some sauce.","אני רוצה קצת רוטב."
"sauce_5","Can I have ketchup?","האם אוכל לקבל קטשופ?"
"sauce_6","Can I have mayonnaise?","אני יכול לקבל מיונז?"
"sauce_7","Can I have mustard?","האם אוכל לקבל חרדל?"
"sauce_8","Can I have ranch sauce?","האם אוכל לקבל רוטב חווה?"
"kebab","Kebab","קבב"
"kebab_2","I like kebab.","אני אוהב קבב."
"kebab_3","I don't like kebab.","אני לא אוהב קבב."
"kebab_4","I want to eat kebab.","אני רוצה לאכול קבב."
"kebab_5","Can you cook kebab for me?","האם אתה יכול לבשל קבב בשבילי?"
"kebab_6","Can we order kebab?","האם נוכל להזמין קבב?"
"numbers","Numbers","מספרים"
"one","One","אחד"
"one_2","One comes before two.","אחד בא לפני שניים."
"one_3","One comes after zero.","אחד בא אחרי אפס."
"one_4","I want one.","אני רוצה אחד."
"two","Two","שתיים"
"two_2","Two comes before three.","שתיים מגיעות לפני שלוש."
"two_3","Two comes after one.","שניים באים אחרי אחד."
"two_4","I want two.","אני רוצה שניים."
"three","Three","שלוש"
"three_2","Three comes before four.","שלוש מגיע לפני ארבע."
"three_3","Three comes after two.","שלוש מגיעות אחרי שתיים."
"three_4","I want three.","אני רוצה שלושה."
"four","Four","ארבע"
"four_2","Four comes before five.","ארבע מגיע לפני חמש."
"four_3","Four comes after three.","ארבע מגיע אחרי שלוש."
"four_4","I want four.","אני רוצה ארבעה."
"five","Five","חמש"
"five_2","Five comes before six.","חמש מגיע לפני שש."
"five_3","Five comes after four.","חמש מגיע אחרי ארבע."
"five_4","I want five.","אני רוצה חמישה."
"six","Six","שש"
"six_2","Six comes before seven.","שש מגיע לפני שבע."
"six_3","Six comes after five.","שש מגיע אחרי חמש."
"six_4","I want fix.","אני רוצה לתקן."
"seven","Seven","שבע"
"seven_2","Seven comes before eight.","שבע מגיע לפני שמונה."
"seven_3","Seven comes after six.","שבע מגיע אחרי שש."
"seven_4","I want seven.","אני רוצה שבעה."
"eight","Eight","שמונה"
"eight_2","Eight comes before nine.","שמונה מגיעים לפני תשע."
"eight_3","Eight comes after seven.","שמונה מגיעים אחרי שבע."
"eight_4","I want eight.","אני רוצה שמונה."
"nine","Nine","תשע"
"nine_2","Nine comes before ten.","תשע מגיע לפני עשר."
"nine_3","Nine comes after eight.","תשע מגיע אחרי שמונה."
"nine_4","I want nine.","אני רוצה תשע."
"ten","Ten","עשר"
"ten_2","Ten comes before eleven.","עשר מגיע לפני אחת עשרה."
"ten_3","Ten comes after nine.","עשר מגיע אחרי תשע."
"ten_4","I want ten.","אני רוצה עשרה."
"eleven","Eleven","אחת עשרה"
"eleven_2","Eleven comes before thirteen.","אחת עשרה מגיעה לפני שלוש עשרה."
"eleven_3","Eleven comes after ten.","אחת עשרה מגיעה אחרי עשר."
"eleven_4","I want eleven.","אני רוצה אחת עשרה."
"twenty","Twenty","עשרים"
"twenty_2","I can count up to twenty.","אני יכול לספור עד עשרים."
"thirty","Thirty","שלושים"
"thirty_2","I can count up to thirty.","אני יכול לספור עד שלושים."
"forty","Forty","ארבעים"
"forty_2","I can count up to forty.","אני יכול לספור עד ארבעים."
"fifty","Fifty","חמישים"
"fifty_2","I can count up to fifty.","אני יכול לספור עד חמישים."
"hundred","Hundred","מאה"
"hundred_2","I can count up to hundred.","אני יכול לספור עד מאה."
"thousand","Thousand","אלף"
"thousand_2","I can count up to thousand.","אני יכול לספור עד אלף."
"calculator","Calculator","מחשבון"
"calculator_2","I want to use a calculator.","אני רוצה להשתמש במחשבון."
"calculator_3","Can you teach me how to use a calculator?","האם אתה יכול ללמד אותי להשתמש במחשבון?"
"calculator_4","Can I barrow your calculator?","האם אוכל לחסום את המחשבון שלך?"
"people","People","אנשים"
"mother","Mother","אמא"
"mother_2","Mommy!","אמא!"
"mother_3","I love my mother.","אני אוהב את אמא שלי."
"mother_4","I love you mom.","אני אוהב אותך אמא."
"mother_5","I miss my mom.","אני מתגעגע לאמא שלי."
"mother_6","Thank you for taking care of me.","תודה שדאגת לי."
"mother_7","She is my mom.","היא אמא שלי."
"mother_8","Can you help me find my mother?","אתה יכול לעזור לי למצוא את אמא שלי?"
"father","Father","אבא"
"father_2","Daddy!","אבא!"
"father_3","I love my father.","אני אוהב את אבא שלי."
"father_4","I love you dad.","אני אוהב אותך אבא."
"father_5","I miss my dad.","אני מתגעגע לאבא שלי."
"father_6","Thank you for taking care of me.","תודה שדאגת לי."
