"activities","Activities","Ocupaciones"
"lime","Lime","Lima"
"lime_2","It is lime.","Es lima."
"lime_3","My favorite color is lime.","Mi color favorito es la lima."
"lime_4","Can you give me lime paint?","¿Me puede dar pintura de cal?"
"plum","Plum","ciruela"
"plum_2","It is plum.","Es ciruela"
"plum_3","My favorite color is plum.","Mi color favorito es la ciruela."
"plum_4","Can you give me plum paint?","¿Me puede dar pintura de ciruela?"
"tan","Tan","Bronceado"
"tan_2","It is tan color.","Es de color tostado."
"tan_3","My favorite color is tan color.","Mi color favorito es el color tostado."
"tan_4","Can you give me tan color paint?","¿Me puede dar pintura de color tostado?"
"avocado","Avocado","Aguacate"
"avocado_2","It is avocado color.","Es de color aguacate."
"avocado_3","My favorite color is avocado color.","Mi color favorito es el color aguacate."
"avocado_4","Can you give me avocado color paint?","¿Me puede dar pintura de color aguacate?"
"barbie-pink","Barbie pink","Rosa Barbie"
"barbie-pink_2","It is barbie pink color.","Es de color rosa barbie."
"barbie-pink_3","My favorite color is barbie pink.","Mi color favorito es el rosa barbie."
"barbie-pink_4","Can you give me barbie pink paint?","¿Me puedes dar pintura rosa barbie?"
"blizzard-blue","Blizzard blue","Ventisca azul"
"blizzard-blue_2","It is blizzard blue color.","Es de color azul ventisca."
"blizzard-blue_3","My favorite color is blizzard blue color.","Mi color favorito es el color azul de ventisca."
"blizzard-blue_4","Can you give me blizzard blue paint?","¿Me puede dar pintura azul de ventisca?"
"conversation","Conversation","Conversacion"
"me","Me","Yo"
"me_2","My name is {name}","Mi nombre es {nombre}"
"me_3","I'm {name}","Soy {nombre}"
"me_4","Do you know my name?","¿Sabes mi nombre?"
"me_5","What is your name?","¿Cuál es su nombre?"
"me_6","Nice to meet you!","Encantada de conocerte!"
"me_7","Do you like me?","¿Le agrado?"
"me_8","Can we be friends?","¿Podemos ser amigos?"
"me_9","I'm using assistive communication app.","Estoy usando la aplicación de comunicación de asistencia."
"me_10","Who are you?","¿Quién eres tú?"
"hello","Hello","Hola"
"hello_2","Hello.","Hola."
"hello_3","Hi.","Hola."
"hello_4","Greetings.","Saludos."
"hello_5","How are you?","¿Cómo estás?"
"hello_6","Nice to meet you!","Encantada de conocerte!"
"help","Help","Ayuda"
"help_2","Help me.","Ayuadame."
"help_3","Can you help me?","¿Me puedes ayudar?"
"help_4","I need help","necesito ayuda"
"help_5","Do you need help?","¿Necesitas ayuda?"
"yes","Yes","si"
"yes_2","Yes.","Si."
"yes_3","Yes please.","Sí por favor."
"yes_4","Alright.","Bien."
"yes_5","Agreed.","Convenido."
"yes_6","I want to.","Quiero."
"yes_7","I would like to.","Me gustaría."
"no","No","No"
"no_2","No.","No."
"no_3","Nope.","No"
"no_4","Never.","Nunca."
"no_5","I don't want to.","No quiero"
"no_6","I don't like it.","No me gusta"
"no_7","You don't like it?","No te gusta"
"no_8","Why you don't like it?","¿Por qué no te gusta?"
"toilet","Toilet","Baño"
"toilet_2","I need to go to the toilet.","Necesito ir al baño."
"toilet_3","I need to pee.","Necesito orinar."
"toilet_4","I need to poop.","Necesito hacer popó."
"toilet_5","Can you help me go to the toilet?","¿Me pueden ayudar a ir al baño?"
"toilet_6","Can you help me clean?","¿Me pueden ayudar a limpiar?"
"toilet_7","I peed myself.","Me oriné."
"toilet_8","I pooped myself.","Me hice popó."
"what","What","Qué"
"what_2","What is that?","¿Que es eso?"
"what_3","What does it mean?","Qué significa eso?"
"what_4","What do you mean?","¿Qué quieres decir?"
"what_5","Can you explain it?","¿Puedes explicarlo?"
"what_6","Can you repeat what you said?","¿Puedes repetir lo que dijiste?"
"what_7","I don't understand.","No entiendo."
"sleep","Sleep","Dormir"
"sleep_2","I want to sleep.","Quiero dormir."
"sleep_3","I don't want to sleep.","No quiero dormir"
"sleep_4","I'm tired.","Estoy cansado."
"sleep_5","Are you tired?","¿Estás cansado?"
"sleep_6","When am I going to sleep?","¿Cuándo me voy a dormir?"
"sleep_7","I want to take a nap.","Quiero tomar una siesta."
"bath","Bath","Bañera"
"bath_2","I want to take a bath.","Quiero tomar un baño."
"bath_3","I like taking a bath.","Me gusta bañarme."
"bath_4","I want to wash my hands.","Quiero lavarme las manos."
"bath_5","I want to take a shower.","Quiero tomar una ducha."
"bath_6","I want to clean myself.","Quiero limpiarme"
"bath_7","Can you help me take a bath?","¿Me pueden ayudar a tomar un baño?"
"bath_8","I don't want to take a bath.","No quiero bañarme."
"listen","Listen","Escucha"
"listen_2","Listen to me.","Escúchame."
"listen_3","Can you listen to me?","¿Puedes escucharme?"
"listen_4","Listen to music.","Escuchar música."
"listen_5","Listening to my parents.","Escuchando a mis padres."
"listen_6","Listen to what my application is saying!","¡Escucha lo que dice mi solicitud!"
"morning","Morning","Mañana"
"morning_2","Good morning.","Buenos días."
"morning_3","I like mornings.","Me gustan las mañanas"
"morning_4","In the morning.","Por la mañana."
"morning_5","Morning time.","Hora de la mañana"
"morning_6","Is it morning?","¿Es de mañana?"
"night","Night","Noche"
"night_2","Good night!","¡Buenas noches!"
"night_3","I like nights.","Me gustan las noches"
"night_4","At night.","Por la noche."
"night_5","Night time.","Noche."
"night_6","Is it night?","¿Es de noche?"
"look","Look","Mira"
"look_2","Look at me.","Mírame."
"look_3","Look at this.","Mira esto."
"look_4","Are you looking?","¿Estás viendo?"
"look_5","Look at my drawing.","Mira mi dibujo."
"look_6","How do I look?","¿Como me veo?"
"look_7","Look what I did.","Mira lo que hice"
"look_8","Let's look at that.","Miremos eso."
"speak","Speak","Hablar"
"speak_2","I'm learning how to speak.","Estoy aprendiendo a hablar."
"speak_3","I want to speak.","Quiero hablar."
"speak_4","Can I speak with you?","¿Puedo hablar contigo?"
"speak_5","I like speaking.","Me gusta hablar"
"speak_6","I'm using assistive communication app.","Estoy usando la aplicación de comunicación de asistencia."
"play","Play","Jugar"
"play_2","I love playing.","Me encanta jugar."
"play_3","Can you play with me?","¿Puedes jugar conmigo?"
"play_4","I want to play with you!","¡Quiero jugar contigo!"
"play_5","I want to play with my friends.","Quiero jugar con mis amigos"
"play_6","I don't want to play with you.","No quiero jugar contigo"
"outside","Outside","Fuera de"
"outside_2","I love going outside.","Me encanta ir afuera"
"outside_3","I want to go outside.","Quiero ir afuera."
"outside_4","Is it cold outside?","¿Hace frío afuera?"
"outside_5","I don't like outside.","No me gusta afuera"
"outside_6","Can I go outside?","¿Puedo salir?"
"home","Home","Casa"
"home_2","I love my home.","Amo mi hogar."
"home_3","I want to go home.","Quiero ir a casa."
"home_4","Where is your home?","¿Donde esta tu casa?"
"home_5","Home sweet home.","Hogar dulce hogar."
"home_6","I'm in the house.","Estoy en la casa."
"home_7","I'm not in the house.","No estoy en la casa"
"hurt","Hurt","Herir"
"hurt_2","I'm hurt.","Estoy herido."
"hurt_3","Are you hurt?","¿Estás herido?"
"hurt_4","Did I hurt you?","¿Te lastimé?"
"hurt_5","I didn't mean to hurt you!","¡No quise lastimarte!"
"hurt_6","Is it going to hurt?","¿Te va a doler?"
"hurt_7","I have a headache.","Me duele la cabeza."
"hurt_8","I have a stomach ache.","Me duele la barriga."
"hurt_9","My genitals hurt.","Me duelen los genitales."
"hurt_10","My foot hurts.","Me duele el pie."
"feelings","Feelings","Sentimientos"
"happy","Happy","Contento"
"happy_2","I'm happy.","Estoy feliz."
"happy_3","I feel happy.","Me siento feliz."
"happy_4","Do you feel happy?","¿Te sientes feliz?"
"happy_5","I want to feel happy.","Quiero sentirme feliz"
"happy_6","You are making me happy.","Me estas haciendo feliz"
"sad","Sad","Triste"
"sad_2","I'm sad.","Estoy triste."
"sad_3","I feel sad.","Me siento triste."
"sad_4","Do you feel sad?","Te sientes triste"
"sad_5","I don't want to feel sad.","No quiero sentirme triste"
"sad_6","You are making me sad.","Me estás poniendo triste."
"exhausted","Exhausted","Agotado"
"exhausted_2","I'm exhausted.","Estoy agotado."
"exhausted_3","I feel exhausted.","Me siento agotado."
"exhausted_4","Do you feel exhausted?","¿Te sientes agotado?"
"exhausted_5","I don't want to be exhausted.","No quiero estar agotado."
"relaxed","Relaxed","Relajado"
"relaxed_2","I'm relaxed.","Estoy relajado."
"relaxed_3","I feel relaxed.","Me siento relajado."
"relaxed_4","Do you feel relaxed?","¿Te sientes relajado?"
"relaxed_5","I want to feel relaxed.","Quiero sentirme relajado"
"in-love","In love","Enamorado"
"in-love_2","I'm in love.","Estoy enamorado."
"in-love_3","I feel in love.","Me siento enamorado."
"in-love_4","Are you in love?","¿Estas enamorado?"
"in-love_5","I want to fall in love.","Quiero enamorarme."
"in-love_6","Do you love me?","¿Me amas?"
"stressed","Stressed","Estresado"
"stressed_2","I'm stressed.","Estoy estresado."
"stressed_3","I feel stressed.","Me siento estresado."
"stressed_4","Do you feel stressed?","¿Te sientes estresado?"
"stressed_5","I don't want to feel stressed.","No quiero sentirme estresado."
"thankful","Thankful","Agradecido"
"thankful_2","I'm thankful.","Estoy agradecido."
"thankful_3","I feel thankful.","Me siento agradecido"
"thankful_4","Do you feel thankful?","¿Te sientes agradecido?"
"thankful_5","I want to feel thankful.","Quiero sentirme agradecido"
"confused","Confused","Confuso"
"confused_2","I'm confused.","Estoy confundido."
"confused_3","I feel confused.","Me siento confundido."
"confused_4","Do you feel confused?","¿Te sientes confundido?"
"confused_5","You are confusing me.","Me estás confundiendo."
"joyful","Joyful","Alegre"
"joyful_2","I'm joyful.","Estoy alegre"
"joyful_3","I feel joyful.","Me siento alegre"
"joyful_4","Do you feel joyful?","¿Te sientes alegre?"
"joyful_5","I want to feel joyful.","Quiero sentirme alegre"
"angry","Angry","Enojado"
"angry_2","I'm angry.","Estoy enojado."
"angry_3","I feel angry.","Me siento enojado."
"angry_4","Do you feel angry?","¿Te sientes enojado?"
"angry_5","I'm angry at you.","Estoy enojado contigo."
"angry_6","You are making me angry.","Me estas haciendo enojar."
"smart","Smart","Inteligente"
"smart_2","I'm smart.","Soy inteligente."
"smart_3","I feel smart.","Me siento inteligente"
"smart_4","Do you feel smart?","Te sientes inteligente?"
"smart_5","Am I smart?","¿Soy inteligente?"
"smart_6","You are smart!","¡Eres inteligente!"
"afraid","Afraid","Asustado"
"afraid_2","I'm afraid.","Me temo que."
"afraid_3","I feel afraid.","Tengo miedo."
"afraid_4","Do you feel afraid?","¿Tienes miedo?"
"afraid_5","I don't want to feel afraid.","No quiero sentir miedo."
"afraid_6","You are scaring me.","Me estás asustando."
"ashamed","Ashamed","Avergonzado"
"ashamed_2","I'm ashamed.","Estoy avergonzado."
"ashamed_3","I feel ashamed.","Me siento avergonzado."
"ashamed_4","Do you feel ashamed?","Te sientes avergonzado?"
"ashamed_5","I don't want to feel ashamed.","No quiero sentir vergüenza."
"shocked","Shocked","Conmocionado"
"shocked_2","I'm shocked.","Estoy sorprendido"
"shocked_3","I feel shocked.","Me siento conmocionado"
"shocked_4","Do you feel shocked?","¿Te sientes conmocionado?"
"shocked_5","You shocked me.","Me sorprendiste."
"sick","Sick","Enfermo"
"sick_2","I'm sick.","Estoy enfermado."
"sick_3","I feel sick.","Me siento enfermo."
"sick_4","Do you feel sick?","¿Te siente mal?"
"sick_5","I don't want to be sick.","No quiero estar enfermo"
"sick_6","I'm sick of the food.","Estoy harto de la comida."
"frustrated","Frustrated","Frustrado"
"frustrated_2","I'm frustrated.","Estoy frustrado."
"frustrated_3","I feel frustrated.","Me siento frustrado."
"frustrated_4","Do you feel frustrated?","¿Te sientes frustrado?"
"frustrated_5","I don't want to feel frustrated.","No quiero sentirme frustrado."
"excited","Excited","Emocionado"
"excited_2","I'm excited.","Estoy emocionado."
"excited_3","I feel excited.","Estoy emocionado."
"excited_4","Do you feel excited?","¿Te sientes emocionado?"
"excited_5","I don't want to feel excited.","No quiero sentirme emocionado."
"nauseated","Nauseated","Náuseas"
"nauseated_2","I'm nauseated.","Tengo náuseas"
"nauseated_3","I feel nauseated.","Siento náuseas"
"nauseated_4","Do you feel nauseated?","¿Tienes náuseas?"
"nauseated_5","I don't want to feel nauseated.","No quiero sentir náuseas."
"agitated","Agitated","Agitado"
"agitated_2","I'm agitated.","Estoy agitado"
"agitated_3","I feel agitated.","Me siento agitado"
"agitated_4","Do you feel agitated?","¿Te sientes agitado?"
"agitated_5","I don't want to feel agitated.","No quiero sentirme agitado."
"food","Food","Comida"
"hungry","Hungry","Hambriento"
"hungry_2","I'm hungry.","Tengo hambre."
"hungry_3","Are you hungry?","¿Tienes hambre?"
"hungry_4","Can you make me food?","¿Me puedes hacer comida?"
"hungry_5","What is for dinner?","¿Que hay para cenar?"
"thirsty","Thirsty","Sediento"
"thirsty_2","I'm thirsty.","Estoy sediento."
"thirsty_3","Can I have some water?","¿Puedo tomar un poco de agua?"
"thirsty_4","Can I have a glass of water?","¿Puedo tener un vaso de agua?"
"thirsty_5","I want something to drink.","Quiero algo de beber"
"cutlery","Cutlery","Cuchillería"
"cutlery_2","I need cutlery.","Necesito cubiertos"
"cutlery_3","Help me use cutlery.","Ayúdame a usar cubiertos."
"cutlery_4","I need a fork.","Necesito un tenedor"
"cutlery_5","I need a spoon.","Necesito una cuchara"
"cutlery_6","I need chopsticks.","Necesito palillos chinos"
"cutlery_7","I need a knife.","Necesito un cuchillo"
"cutlery_8","I need a napkin.","Necesito una servilleta"
"apple","Apple","manzana"
"apple_2","I like apple.","Me gusta la manzana."
"apple_3","I don't like apple.","No me gusta la manzana"
"apple_4","I want to eat an apple.","Quiero comer una manzana."
"carrot","Carrot","Zanahoria"
"carrot_2","I like carrot.","Me gusta la zanahoria"
"carrot_3","I don't like carrot.","No me gusta la zanahoria"
"carrot_4","I want to eat a carrot.","Quiero comer una zanahoria"
"beans","Beans","Frijoles"
"beans_2","I like beans.","Me gustan los frijoles"
"beans_3","I don't like beans.","No me gustan los frijoles."
"beans_4","I want to eat beans.","Quiero comer frijoles"
"chicken_5","I want fried chicken.","Quiero pollo frito"
"chicken_6","I want boiled chicken.","Quiero pollo hervido"
"chocolate","Chocolate","Chocolate"
"chocolate_2","I like chocolate.","Me gusta el chocolate."
"chocolate_3","I don't like chocolate.","No me gusta el chocolate"
"chocolate_4","I want to eat chocolate.","Quiero comer chocolate."
"chocolate_5","I want dark chocolate.","Quiero chocolate negro"
"chocolate_6","I want white chocolate.","Quiero chocolate blanco"
"milk","Milk","Leche"
"milk_2","I like milk.","Me gusta la leche."
"milk_3","I don't like milk.","No me gusta la leche"
"milk_4","I want to drink milk.","Quiero beber leche."
"milk_5","Can I have a glass of milk?","¿Puedo tomar un vaso de leche?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Me gusta el sandwich"
"sandwich_3","I don't like sandwich.","No me gusta el sandwich"
"sandwich_4","I want to eat a sandwich.","Quiero comer un sandwich"
"sandwich_5","Can you make me a sandwich?","¿Me puedes hacer un sandwich?"
"steak","Steak","filete"
"steak_2","I like steak.","Me gusta el bistec"
"steak_3","I don't like steak.","No me gusta el bistec."
"steak_4","I want to eat steak.","Quiero comer carne"
"steak_5","Can you cook steak for me?","¿Puedes cocinar carne para mí?"
"banana","Banana","Plátano"
"banana_2","I like banana.","Me gusta el platano."
"banana_3","I don't like banana.","No me gusta el plátano"
"banana_4","I want to eat a banana.","Quiero comer un plátano"
"pie","Pie","Tarta"
"pie_2","I like pie.","Me gusta la tarta."
"pie_3","I don't like pie.","No me gusta el pastel"
"pie_4","I want to eat pie.","Quiero comer pastel"
"pie_5","Can you bake a pie for me?","¿Puedes hornear un pastel para mí?"
"egg","Egg","Huevo"
"egg_2","I like egg.","Me gusta el huevo"
"egg_3","I don't like egg.","No me gusta el huevo"
"egg_4","I want to eat egg.","Quiero comer huevo"
"egg_5","I want fried eggs.","Quiero huevos fritos"
"egg_6","I want boiled eggs.","Quiero huevos cocidos."
"noodles","Noodles","Tallarines"
"noodles_2","I like noodles.","Me gustan los fideos."
"noodles_3","I don't like noodles.","No me gustan los fideos."
"noodles_4","I want to eat noodles.","Quiero comer fideos"
"noodles_5","Can you cook noodles for me?","¿Puedes cocinar fideos para mí?"
"salt","Salt","sal"
"salt_2","I want salt.","Quiero sal"
"salt_3","Can you pass me the salt?","¿Puedes pasarme la sal?"
"salt_4","Food is too salty.","La comida es muy salada."
"salt_5","My food needs some salt.","Mi comida necesita un poco de sal."
"spices","Spices","Especias"
"spices_2","I like spicy food.","Me gusta la comida picante."
"spices_3","I don't like spicy food.","No me gusta la comida picante."
"spices_4","I want paprika.","Quiero pimentón"
"spices_5","I want black pepper.","Quiero pimienta negra"
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Me gusta la pizza."
"pizza_3","I don't like pizza.","No me gusta la pizza"
"pizza_4","I want to eat pizza.","Quiero comer pizza."
"pizza_5","Can you cook pizza for me?","¿Puedes cocinar pizza para mí?"
"pizza_6","Can we order pizza?","¿Podemos pedir pizza?"
"cheese","Cheese","Queso"
"cheese_2","I like cheese.","Me gusta el queso."
"cheese_3","I don't like cheese.","No me gusta el queso"
"cheese_4","I want to eat cheese.","Quiero comer queso"
"ice-cream","Ice cream","Helado"
"ice-cream_2","I like ice cream.","Me gusta el helado."
"ice-cream_3","I don't like ice cream.","No me gusta el helado"
"ice-cream_4","I want to eat ice cream.","Quiero comer helado."
"ice-cream_5","Can you buy ice cream for me?","¿Puedes comprar helado para mí?"
"tea","Tea","Té"
"tea_2","I like tea.","Me gusta el té."
"tea_3","I don't like tea.","No me gusta el te"
"tea_4","I want to drink tea.","Quiero tomar te"
"tea_5","Can you make tea for me?","¿Puedes hacer té para mí?"
"coffee","Coffee","café"
"coffee_2","I like coffee.","Me gusta el café."
"coffee_3","I don't like coffee.","No me gusta el cafe"
"coffee_4","I want to drink coffee.","Quiero beber café."
"coffee_5","Can you make coffee for me?","¿Puedes hacer café para mí?"
"tomato","Tomato","Tomate"
"tomato_2","I like tomato.","Me gusta el tomate"
"tomato_3","I don't like tomato.","No me gusta el tomate"
"tomato_4","I want to eat tomato.","Quiero comer tomate"
"cereal","Cereal","Cereal"
"cereal_2","I like cereal.","Me gusta el cereal."
"cereal_3","I don't like cereal.","No me gusta el cereal"
"cereal_4","I want to eat cereal.","Quiero comer cereal"
"cereal_5","Can you make my cereal?","¿Puedes hacer mi cereal?"
"burger","Burger","Hamburguesa"
"burger_2","I like burger.","Me gusta la hamburguesa"
"burger_3","I don't like burger.","No me gusta la hamburguesa"
"burger_4","I want to eat burger.","Quiero comer hamburguesa"
"burger_5","Can you cook burger for me?","¿Puedes cocinar hamburguesas para mí?"
"burger_6","Can we order burger?","¿Podemos pedir una hamburguesa?"
"french-fries","French fries","papas fritas"
"french-fries_2","I like french fries.","Me gustan las papas fritas."
"french-fries_3","I don't like french fries.","No me gustan las papas fritas."
"french-fries_4","I want to eat french fries.","Quiero comer papas fritas."
"french-fries_5","Can you cook french fries for me?","¿Puedes cocinar papas fritas para mí?"
"french-fries_6","Can we order french fries?","¿Podemos pedir papas fritas?"
"spinach","Spinach","Espinacas"
"spinach_2","I like spinach.","Me gustan las espinacas"
"spinach_3","I don't like spinach.","No me gustan las espinacas."
"spinach_4","I want to eat spinach.","Quiero comer espinacas"
"rice","Rice","Arroz"
"rice_2","I like rice.","Me gusta el arroz."
"rice_3","I don't like rice.","No me gusta el arroz"
"rice_4","I want to eat rice.","Quiero comer arroz."
"rice_5","Can you cook rice for me?","¿Puedes cocinar arroz para mí?"
"bread","Bread","Un pan"
"bread_2","I like bread.","Me gusta el pan."
"bread_3","I don't like bread.","No me gusta el pan"
"bread_4","I want to eat bread.","Quiero comer pan"
"bread_5","Can you buy some bread?","¿Puedes comprar un poco de pan?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Me gusta la pasta."
"pasta_3","I don't like pasta.","No me gusta la pasta"
"pasta_4","I want to eat pasta.","Quiero comer pasta"
"pasta_5","Can you cook pasta for me?","¿Puedes cocinar pasta para mí?"
"sauce","Sauce","Salsa"
"sauce_2","I like sauce.","Me gusta la salsa"
"sauce_3","I don't like sauce.","No me gusta la salsa"
"sauce_4","I want some sauce.","Quiero un poco de salsa"
"sauce_5","Can I have ketchup?","¿Puedo tomar ketchup?"
"sauce_6","Can I have mayonnaise?","¿Puedo comer mayonesa?"
"sauce_7","Can I have mustard?","¿Puedo tener mostaza?"
"sauce_8","Can I have ranch sauce?","¿Puedo tener salsa ranch?"
"kebab","Kebab","Brocheta"
"kebab_2","I like kebab.","Me gusta el kebab"
"kebab_3","I don't like kebab.","No me gusta el kebab."
"kebab_4","I want to eat kebab.","Quiero comer kebab"
"kebab_5","Can you cook kebab for me?","¿Puedes cocinar kebab para mí?"
"kebab_6","Can we order kebab?","¿Podemos pedir kebab?"
"numbers","Numbers","Números"
"one","One","Uno"
"one_2","One comes before two.","Uno viene antes que los dos."
"one_3","One comes after zero.","Uno viene después de cero."
"one_4","I want one.","Quiero uno."
"two","Two","Dos"
"two_2","Two comes before three.","Dos vienen antes que las tres."
"two_3","Two comes after one.","Dos vienen después de uno."
"two_4","I want two.","Quiero dos."
"three","Three","Tres"
"three_2","Three comes before four.","Tres vienen antes que las cuatro."
"three_3","Three comes after two.","Tres vienen después de las dos."
"three_4","I want three.","Quiero tres"
"four","Four","Cuatro"
"four_2","Four comes before five.","Cuatro viene antes de las cinco."
"four_3","Four comes after three.","Cuatro viene después de las tres."
"four_4","I want four.","Quiero cuatro"
"five","Five","Cinco"
"five_2","Five comes before six.","Cinco viene antes de las seis."
"five_3","Five comes after four.","Cinco viene después de las cuatro."
"five_4","I want five.","Quiero cinco"
"six","Six","Seis"
"six_2","Six comes before seven.","Seis viene antes de las siete."
"six_3","Six comes after five.","Seis viene después de las cinco."
"six_4","I want fix.","Quiero arreglarlo"
"seven","Seven","Siete"
"seven_2","Seven comes before eight.","Siete viene antes de las ocho."
"seven_3","Seven comes after six.","Siete viene después de las seis."
"seven_4","I want seven.","Quiero siete"
"eight","Eight","Ocho"
"eight_2","Eight comes before nine.","Ocho viene antes de las nueve."
"eight_3","Eight comes after seven.","Ocho viene después de las siete."
"eight_4","I want eight.","Quiero ocho"
"nine","Nine","Nueve"
"nine_2","Nine comes before ten.","Nueve viene antes de las diez."
"nine_3","Nine comes after eight.","Nueve viene después de las ocho."
"nine_4","I want nine.","Quiero nueve"
"ten","Ten","Diez"
"ten_2","Ten comes before eleven.","Diez viene antes de las once."
"ten_3","Ten comes after nine.","Diez viene después de las nueve."
"ten_4","I want ten.","Quiero diez"
"eleven","Eleven","Once"
"eleven_2","Eleven comes before thirteen.","Once viene antes de los trece."
"eleven_3","Eleven comes after ten.","Once viene después de las diez."
"eleven_4","I want eleven.","Quiero once."
"twenty","Twenty","Veinte"
"twenty_2","I can count up to twenty.","Puedo contar hasta veinte."
"thirty","Thirty","Treinta"
"thirty_2","I can count up to thirty.","Puedo contar hasta treinta."
"forty","Forty","Cuarenta"
"forty_2","I can count up to forty.","Puedo contar hasta cuarenta."
"fifty","Fifty","Cincuenta"
"fifty_2","I can count up to fifty.","Puedo contar hasta cincuenta."
"hundred","Hundred","Cien"
"hundred_2","I can count up to hundred.","Puedo contar hasta cien."
"thousand","Thousand","Mil"
"thousand_2","I can count up to thousand.","Puedo contar hasta mil."
"calculator","Calculator","Calculadora"
"calculator_2","I want to use a calculator.","Quiero usar una calculadora."
"calculator_3","Can you teach me how to use a calculator?","¿Me puede enseñar cómo usar una calculadora?"
"calculator_4","Can I barrow your calculator?","¿Puedo cambiar tu calculadora?"
"people","People","Personas"
"mother","Mother","Madre"
"mother_2","Mommy!","¡Mamá!"
"mother_3","I love my mother.","Amo a mi madre."
"mother_4","I love you mom.","Te quiero, mamá."
"mother_5","I miss my mom.","Extraño a mi mamá."
"mother_6","Thank you for taking care of me.","Gracias por cuidarme."
"mother_7","She is my mom.","Ella es mi mama."
"mother_8","Can you help me find my mother?","¿Me pueden ayudar a encontrar a mi madre?"
"father","Father","Padre"
"father_2","Daddy!","¡Papi!"
"father_3","I love my father.","Yo quiero a mi padre."
"father_4","I love you dad.","Te amo, papá."
"father_5","I miss my dad.","Extraño a mi papá."
"father_6","Thank you for taking care of me.","Gracias por cuidarme."
"father_7","He is my dad.","El es mi papa."
"father_8","Can you help me find my father?","¿Me pueden ayudar a encontrar a mi padre?"
"parents","Parents","Padres"
"parents_2","I love my parents.","Amo a mis papas."
"parents_3","I love my parents.","Amo a mis papas."
"parents_4","I miss my parents.","Extraño a mis Padres."
"parents_5","They are my parents.","Ellos son mis padres."
"parents_6","My parents are taking care of me.","Mis padres me están cuidando."
"parents_8","Can you help me find my parents?","¿Me pueden ayudar a encontrar a mis padres?"
"grandparents","Grandparents","Abuelos"
"grandparents_2","I love my grandparents.","Amo a mis abuelos."
"grandparents_3","I love you grandparents.","Los amo abuelos"
"grandparents_4","I miss my grandparents.","Extraño a mis abuelos."
"grandparents_5","They are my grandparents.","Ellos son mis abuelos."
"grandparents_6","My grandparents are taking care of me.","Mis abuelos me están cuidando."
"grandparents_8","Can you help me find my grandparents?","¿Me pueden ayudar a encontrar a mis abuelos?"
"brother","Brother","Hermano"
"brother_2","I love my brother.","Amo a mi hermano."
"brother_3","I love you brother.","Te amo hermano."
"brother_4","I miss my brother.","Extraño a mi hermano."
"brother_5","He is my brother.","Él es mi hermano."
"brother_6","My brother is taking care of me.","Mi hermano me está cuidando."
"brother_8","Can you help me find my brother?","¿Me pueden ayudar a encontrar a mi hermano?"
"sister","Sister","Hermana"
"sister_2","I love my sister.","Yo quiero a mi hermana."
"sister_3","I love you sister.","Te amo hermana"
"sister_4","I miss my sister.","Extraño a mi hermana."
"sister_5","She is my sister.","Ella es mi hermana."
"sister_6","My sister is taking care of me.","Mi hermana me está cuidando."
"sister_8","Can you help me find my sister?","¿Me pueden ayudar a encontrar a mi hermana?"
"uncle","Uncle","Tío"
"uncle_2","I love my uncle.","Amo mi tio."
"uncle_3","I love you uncle.","Te amo tio"
"uncle_4","I miss my uncle.","Extraño a mi tío."
"uncle_5","He is my uncle.","Él es mi tío."
"uncle_8","Can you help me find my uncle?","¿Me pueden ayudar a encontrar a mi tío?"
"aunt","Aunt","Tía"
"aunt_2","I love my aunt.","Amo a mi tia."
"aunt_3","I love you aunt.","Te amo tia"
"aunt_4","I miss my aunt.","Extraño a mi tia."
"aunt_5","She is my aunt.","Ella es mi tía."
"aunt_8","Can you help me find my aunt?","¿Me pueden ayudar a encontrar a mi tía?"
"teacher","Teacher","Profesor"
"teacher_2","I love my teacher.","Quiero a mi profesor."
"teacher_3","I love you teacher.","Te quiero profesor."
"teacher_4","I don't like my teacher.","No me gusta mi maestra."
"teacher_5","I miss my teacher.","Extraño a mi maestra."
"teacher_6","Thank you for the lesson.","Gracias por la leccion."
"therapist","Therapist","Terapeuta"
"therapist_2","I love my therapist.","Amo a mi terapeuta"
"therapist_3","I love you therapist.","Te amo terapeuta"
"therapist_4","I don't like my therapist.","No me gusta mi terapeuta."
"therapist_5","I miss my therapist.","Extraño a mi terapeuta."
"therapist_6","Thank you for the session.","Gracias por la sesion."
"doctor","Doctor","Médico"
"doctor_2","I love my doctor.","Amo a mi doctor"
"doctor_3","I love you doctor.","Te amo doctor"
"doctor_4","I don't like my doctor.","No me gusta mi doctor."
"doctor_5","I miss my doctor.","Extraño a mi doctor."
"doctor_6","Thank you for healing me.","Gracias por curarme."
"friends","Friends","Amigos"
"friends_2","I love my friends.","Quiero a mis amigos."
"friends_3","Do you want to be my friend?","¿Quieres ser mi amigo?"
"friends_4","I don't like my friends.","No me gustan mis amigos"
"friends_5","I miss my friends.","Echo de menos a mis amigos."
"friends_6","They are my friends.","Ellos son mis amigos."
"friends_7","Thank you for playing with me.","Gracias por jugar conmigo."
"cousins","Cousins","Primos"
"cousins_2","I love my cousins.","Amo a mis primos"
"cousins_3","I don't have cousins.","No tengo primos"
"cousins_4","I miss my cousins.","Echo de menos a mis primos."
