"activities","Activities","Zajęcia"
"transparent_4","Can you help me erase?","Czy możesz mi pomóc usunąć?"
"cyan","Cyan","Cyjan"
"cyan_2","It is cyan.","To jest cyjan."
"cyan_3","My favorite color is cyan.","Mój ulubiony kolor to błękitny."
"cyan_4","Can you give me cyan paint?","Czy możesz podać mi cyjanową farbę?"
"violet","Violet","Fioletowy"
"violet_2","It is violet.","Jest fioletowy."
"violet_3","My favorite color is violet.","Mój ulubiony kolor to fioletowy."
"violet_4","Can you give me violet paint?","Czy możesz mi podać fioletową farbę?"
"turquoise","Turquoise","Turkus"
"turquoise_2","It is turquoise.","To jest turkus."
"turquoise_3","My favorite color is turquoise.","Mój ulubiony kolor to turkus."
"turquoise_4","Can you give me turquoise paint?","Czy możesz mi podać turkusową farbę?"
"lime","Lime","Limonka"
"lime_2","It is lime.","To jest wapno."
"lime_3","My favorite color is lime.","Mój ulubiony kolor to limonka."
"lime_4","Can you give me lime paint?","Czy możesz mi podać farbę wapienną?"
"plum","Plum","Śliwka"
"plum_2","It is plum.","To jest śliwka."
"plum_3","My favorite color is plum.","Mój ulubiony kolor to śliwka."
"plum_4","Can you give me plum paint?","Czy możesz podać mi śliwkową farbę?"
"tan","Tan","Dębnik"
"tan_2","It is tan color.","Ma kolor podpalany."
"tan_3","My favorite color is tan color.","Mój ulubiony kolor to podpalany."
"tan_4","Can you give me tan color paint?","Czy możesz mi podać kolor podpalany?"
"avocado","Avocado","Awokado"
"avocado_2","It is avocado color.","Ma kolor awokado."
"avocado_3","My favorite color is avocado color.","Moim ulubionym kolorem jest kolor awokado."
"avocado_4","Can you give me avocado color paint?","Czy możesz mi podać kolor awokado?"
"barbie-pink","Barbie pink","Barbie różowy"
"barbie-pink_2","It is barbie pink color.","To jest barbie różowy kolor."
"barbie-pink_3","My favorite color is barbie pink.","Mój ulubiony kolor to barbie różowy."
"barbie-pink_4","Can you give me barbie pink paint?","Czy możesz dać mi różową farbę Barbie?"
"blizzard-blue","Blizzard blue","Blizzard Blue"
"blizzard-blue_2","It is blizzard blue color.","Ma śnieżnobiały kolor niebieski."
"blizzard-blue_3","My favorite color is blizzard blue color.","Moim ulubionym kolorem jest zamieć niebieski."
"blizzard-blue_4","Can you give me blizzard blue paint?","Czy możesz mi podać niebieską farbę zamieciową?"
"conversation","Conversation","Rozmowa"
"me","Me","Mnie"
"me_2","My name is {name}","Nazywam się {name}"
"me_3","I'm {name}","Jestem {name}"
"me_4","Do you know my name?","Czy znasz moje imię?"
"me_5","What is your name?","Jak masz na imię?"
"me_6","Nice to meet you!","Miło cię poznać!"
"me_7","Do you like me?","Lubisz mnie?"
"me_8","Can we be friends?","Czy możemy być przyjaciółmi?"
"me_9","I'm using assistive communication app.","Korzystam z aplikacji komunikacji wspomagającej."
"me_10","Who are you?","Kim jesteś?"
"hello","Hello","Witaj"
"hello_2","Hello.","Witaj."
"hello_3","Hi.","Cześć."
"hello_4","Greetings.","Pozdrowienia."
"hello_5","How are you?","Jak się masz?"
"hello_6","Nice to meet you!","Miło cię poznać!"
"help","Help","Wsparcie"
"help_2","Help me.","Pomóż mi."
"help_3","Can you help me?","Możesz mi pomóc?"
"help_4","I need help","potrzebuję pomocy"
"help_5","Do you need help?","Potrzebujesz pomocy?"
"yes","Yes","tak"
"yes_2","Yes.","Tak."
"yes_3","Yes please.","Tak proszę."
"yes_4","Alright.","W porządku."
"yes_5","Agreed.","Zgoda."
"yes_6","I want to.","Chcę."
"yes_7","I would like to.","Chciałbym."
"no","No","Nie"
"no_2","No.","Nie."
"no_3","Nope.","Nie."
"no_4","Never.","Nigdy."
"no_5","I don't want to.","Nie chcę"
"no_6","I don't like it.","Nie podoba mi się"
"no_7","You don't like it?","Nie podoba ci się"
"no_8","Why you don't like it?","Dlaczego ci się nie podoba?"
"toilet","Toilet","Toaleta"
"toilet_2","I need to go to the toilet.","Muszę iść do toalety."
"toilet_3","I need to pee.","Muszę się wysikać."
"toilet_4","I need to poop.","Muszę kupować."
"toilet_5","Can you help me go to the toilet?","Czy możesz mi pomóc iść do toalety?"
"toilet_6","Can you help me clean?","Czy możesz mi pomóc oczyścić?"
"toilet_7","I peed myself.","Sikam sama."
"toilet_8","I pooped myself.","Kupiłem się."
"what","What","Co"
"what_2","What is that?","Co to jest?"
"what_3","What does it mean?","Co to znaczy?"
"what_4","What do you mean?","Co masz na myśli?"
"what_5","Can you explain it?","Możesz to wyjaśnić?"
"what_6","Can you repeat what you said?","Czy możesz powtórzyć to, co powiedziałeś?"
"what_7","I don't understand.","Nie rozumiem."
"sleep","Sleep","Sen"
"sleep_2","I want to sleep.","Chcę spać."
"sleep_3","I don't want to sleep.","Nie chcę spać"
"sleep_4","I'm tired.","Jestem zmęczony."
"sleep_5","Are you tired?","Jesteś zmęczony?"
"sleep_6","When am I going to sleep?","Kiedy idę spać?"
"sleep_7","I want to take a nap.","Chcę się zdrzemnąć."
"bath","Bath","Kąpiel"
"bath_2","I want to take a bath.","Chcę wziąć kąpiel."
"bath_3","I like taking a bath.","Lubię się kąpać."
"bath_4","I want to wash my hands.","Chcę umyć ręce."
"bath_5","I want to take a shower.","Chcę wziąć prysznic."
"bath_6","I want to clean myself.","Chcę się umyć."
"bath_7","Can you help me take a bath?","Czy możesz mi pomóc się wykąpać?"
"bath_8","I don't want to take a bath.","Nie chcę się kąpać."
"listen","Listen","słuchać"
"listen_2","Listen to me.","Posłuchaj mnie."
"listen_3","Can you listen to me?","Możesz mnie posłuchać"
"listen_4","Listen to music.","Posłuchać muzyki."
"listen_5","Listening to my parents.","Słucham moich rodziców."
"listen_6","Listen to what my application is saying!","Posłuchaj, co mówi moja aplikacja!"
"morning","Morning","Ranek"
"morning_2","Good morning.","Dzień dobry."
"morning_3","I like mornings.","Lubię poranki."
"morning_4","In the morning.","Rankiem."
"morning_5","Morning time.","Poranny czas."
"morning_6","Is it morning?","Czy to rano"
"night","Night","Noc"
"night_2","Good night!","Dobranoc!"
"night_3","I like nights.","Lubię noce"
"night_4","At night.","W nocy."
"night_5","Night time.","Pora nocna"
"night_6","Is it night?","Czy jest noc"
"look","Look","Popatrz"
"look_2","Look at me.","Spójrz na mnie."
"look_3","Look at this.","Spójrz na to."
"look_4","Are you looking?","Czy patrzysz?"
"look_5","Look at my drawing.","Spójrz na mój rysunek."
"look_6","How do I look?","Jak wyglądam?"
"look_7","Look what I did.","Zobacz co zrobiłem."
"look_8","Let's look at that.","Spójrzmy na to."
"speak","Speak","Mówić"
"speak_2","I'm learning how to speak.","Uczę się mówić."
"speak_3","I want to speak.","Chcę mówić."
"speak_4","Can I speak with you?","Czy mogę z tobą porozmawiać?"
"speak_5","I like speaking.","Lubię mówić"
"speak_6","I'm using assistive communication app.","Korzystam z aplikacji komunikacji wspomagającej."
"play","Play","Grać"
"play_2","I love playing.","Kocham grać."
"play_3","Can you play with me?","Czy możesz ze mną zagrać?"
"play_4","I want to play with you!","Chcę z tobą zagrać!"
"play_5","I want to play with my friends.","Chcę grać z moimi przyjaciółmi."
"play_6","I don't want to play with you.","Nie chcę się z tobą bawić."
"outside","Outside","Na zewnątrz"
"outside_2","I love going outside.","Uwielbiam wychodzić na zewnątrz."
"outside_3","I want to go outside.","Chcę wyjść na zewnątrz."
"outside_4","Is it cold outside?","Czy na zewnątrz jest zimno?"
"outside_5","I don't like outside.","Nie lubię na zewnątrz."
"outside_6","Can I go outside?","Czy mogę wyjść na zewnątrz?"
"home","Home","Dom"
"home_2","I love my home.","Kocham mój dom."
"home_3","I want to go home.","Chcę iść do domu."
"home_4","Where is your home?","Gdzie jest twój dom?"
"home_5","Home sweet home.","Nie ma to jak w domu."
"home_6","I'm in the house.","Jestem w domu."
"home_7","I'm not in the house.","Nie ma mnie w domu"
"hurt","Hurt","Ból"
"hurt_2","I'm hurt.","Jestem zraniony."
"hurt_3","Are you hurt?","Jesteś ranny?"
"hurt_4","Did I hurt you?","Czy cię zraniłam?"
"hurt_5","I didn't mean to hurt you!","Nie chciałem cię skrzywdzić!"
"hurt_6","Is it going to hurt?","Czy to będzie bolało?"
"hurt_7","I have a headache.","Boli mnie głowa."
"hurt_8","I have a stomach ache.","Mam ból brzucha."
"hurt_9","My genitals hurt.","Bolą mnie genitalia."
"hurt_10","My foot hurts.","Boli mnie stopa."
"feelings","Feelings","Uczucia"
"happy","Happy","Szczęśliwy"
"happy_2","I'm happy.","Jestem szczęśliwy."
"happy_3","I feel happy.","Czuje się szczęśliwy."
"happy_4","Do you feel happy?","Czy czujesz się szczęśliwy?"
"happy_5","I want to feel happy.","Chcę czuć się szczęśliwy."
"happy_6","You are making me happy.","Sprawiasz mi radość."
"sad","Sad","Smutny"
"sad_2","I'm sad.","Jestem smutny."
"sad_3","I feel sad.","Czuję się smutny."
"sad_4","Do you feel sad?","Czy czujesz się smutny?"
"sad_5","I don't want to feel sad.","Nie chcę czuć smutku."
"sad_6","You are making me sad.","Zasmucasz mnie."
"exhausted","Exhausted","Wyczerpany"
"exhausted_2","I'm exhausted.","Jestem zmęczony."
"exhausted_3","I feel exhausted.","Czuję się wyczerpany."
"exhausted_4","Do you feel exhausted?","Czy czujesz się wyczerpany?"
"exhausted_5","I don't want to be exhausted.","Nie chcę być wyczerpany."
"relaxed","Relaxed","Zrelaksowany"
"relaxed_2","I'm relaxed.","Jestem zrelaksowany."
"relaxed_3","I feel relaxed.","Czuję się zrelaksowany."
"relaxed_4","Do you feel relaxed?","Czy czujesz się zrelaksowany?"
"relaxed_5","I want to feel relaxed.","Chcę się zrelaksować."
"in-love","In love","Zakochany"
"in-love_2","I'm in love.","Jestem zakochany."
"in-love_3","I feel in love.","Ja czuje się zakochany."
"in-love_4","Are you in love?","Czy jesteś zakochany?"
"in-love_5","I want to fall in love.","Chciałbym się zakochać."
"in-love_6","Do you love me?","Kochasz mnie?"
"stressed","Stressed","Akcentowany"
"stressed_2","I'm stressed.","Jestem zestresowany."
"stressed_3","I feel stressed.","Czuję się zestresowany."
"stressed_4","Do you feel stressed?","Czy czujesz się zestresowany?"
"stressed_5","I don't want to feel stressed.","Nie chcę się stresować."
"thankful","Thankful","Wdzięczny"
"thankful_2","I'm thankful.","Jestem wdzięczny."
"thankful_3","I feel thankful.","Czuję się wdzięczny."
"thankful_4","Do you feel thankful?","Czy czujesz się wdzięczny?"
"thankful_5","I want to feel thankful.","Chcę być wdzięczny."
"confused","Confused","zmieszany"
"confused_2","I'm confused.","Jestem zmieszany."
"confused_3","I feel confused.","Czuje się zagubiony."
"confused_4","Do you feel confused?","Czy czujesz się zdezorientowany?"
"confused_5","You are confusing me.","Dezorientujesz mnie."
"joyful","Joyful","Radosny"
"joyful_2","I'm joyful.","Jestem radosna"
"joyful_3","I feel joyful.","Czuję się radosny"
"joyful_4","Do you feel joyful?","Czy czujesz się radosny?"
"joyful_5","I want to feel joyful.","Chcę się radować."
"angry","Angry","Zły"
"angry_2","I'm angry.","Jestem zły."
"angry_3","I feel angry.","Czuję się zły"
"angry_4","Do you feel angry?","Czy czujesz się zły?"
"angry_5","I'm angry at you.","Jestem na Ciebie wściekły."
"angry_6","You are making me angry.","Rozzłościłeś mnie."
"smart","Smart","Mądry"
"smart_2","I'm smart.","Jestem bystry."
"smart_3","I feel smart.","Czuję się mądry."
"smart_4","Do you feel smart?","Czy czujesz się mądry?"
"smart_5","Am I smart?","Czy jestem mądry?"
"smart_6","You are smart!","Jesteś mądry!"
"afraid","Afraid","Przestraszony"
"afraid_2","I'm afraid.","Obawiam się."
"afraid_3","I feel afraid.","Boję się."
"afraid_4","Do you feel afraid?","Czy boisz się?"
"afraid_5","I don't want to feel afraid.","Nie chcę się bać."
"afraid_6","You are scaring me.","Przerażasz mnie."
"ashamed","Ashamed","Zawstydzony"
"ashamed_2","I'm ashamed.","Wstydzę się."
"ashamed_3","I feel ashamed.","Czuję się zawstydzony."
"ashamed_4","Do you feel ashamed?","Wstydzisz się?"
"ashamed_5","I don't want to feel ashamed.","Nie chcę się wstydzić."
"shocked","Shocked","Wstrząśnięty"
"shocked_2","I'm shocked.","Jestem zszokowany."
"shocked_3","I feel shocked.","Czuję się zszokowany."
"shocked_4","Do you feel shocked?","Czy czujesz się zszokowany?"
"shocked_5","You shocked me.","Zszokowałeś mnie."
"sick","Sick","Chory"
"sick_2","I'm sick.","Jestem chory."
"sick_3","I feel sick.","Czuję się chory."
"sick_4","Do you feel sick?","Czy czujesz się chory?"
"sick_5","I don't want to be sick.","Nie chcę być chora"
"sick_6","I'm sick of the food.","Mam dość jedzenia."
"frustrated","Frustrated","Sfrustrowany"
"frustrated_2","I'm frustrated.","Jestem sfrustrowany."
"frustrated_3","I feel frustrated.","Czuję się sfrustrowany."
"frustrated_4","Do you feel frustrated?","Czy czujesz się sfrustrowany?"
"frustrated_5","I don't want to feel frustrated.","Nie chcę czuć się sfrustrowanym."
"excited","Excited","Podekscytowany"
"excited_2","I'm excited.","Jestem podekscytowany."
"excited_3","I feel excited.","Czuję się podekscytowany."
"excited_4","Do you feel excited?","Czy jesteś podekscytowany?"
"excited_5","I don't want to feel excited.","Nie chcę się ekscytować."
"nauseated","Nauseated","Nudności"
"nauseated_2","I'm nauseated.","Mam mdłości."
"nauseated_3","I feel nauseated.","Czuję mdłości."
"nauseated_4","Do you feel nauseated?","Czy czujesz mdłości?"
"nauseated_5","I don't want to feel nauseated.","Nie chcę czuć mdłości."
"agitated","Agitated","Poruszony"
"agitated_2","I'm agitated.","Jestem podekscytowana."
"agitated_3","I feel agitated.","Czuję się poruszony."
"agitated_4","Do you feel agitated?","Czy czujesz się poruszony?"
"agitated_5","I don't want to feel agitated.","Nie chcę się denerwować."
"food","Food","jedzenie"
"hungry","Hungry","Głodny"
"hungry_2","I'm hungry.","Jestem głodny."
"hungry_3","Are you hungry?","Czy jesteś głodny?"
"hungry_4","Can you make me food?","Czy możesz zrobić mi jedzenie?"
"hungry_5","What is for dinner?","Co jest na obiad?"
"thirsty","Thirsty","Spragniony"
"thirsty_2","I'm thirsty.","Jestem spragniony."
"thirsty_3","Can I have some water?","Czy mogę dostać trochę wody?"
"thirsty_4","Can I have a glass of water?","Czy mogę prosić o szklankę wody?"
"thirsty_5","I want something to drink.","Chcę coś do picia."
"cutlery","Cutlery","Sztućce"
"cutlery_2","I need cutlery.","Potrzebuję sztućców."
"cutlery_3","Help me use cutlery.","Pomóż mi użyć sztućców."
"cutlery_4","I need a fork.","Potrzebuję widelca."
"cutlery_5","I need a spoon.","Potrzebuję łyżki."
"cutlery_6","I need chopsticks.","Potrzebuję pałeczek."
"cutlery_7","I need a knife.","Potrzebuję noża."
"cutlery_8","I need a napkin.","Potrzebuję serwetki."
"apple","Apple","jabłko"
"apple_2","I like apple.","Lubię jabłka."
"apple_3","I don't like apple.","Nie lubię jabłka."
"apple_4","I want to eat an apple.","Chcę zjeść jabłko."
"carrot","Carrot","Marchewka"
"carrot_2","I like carrot.","Lubię marchewkę."
"carrot_3","I don't like carrot.","Nie lubię marchewki."
"carrot_4","I want to eat a carrot.","Chcę zjeść marchewkę."
"beans","Beans","fasolki"
"beans_2","I like beans.","Lubię fasolę."
"beans_3","I don't like beans.","Nie lubię fasoli."
"beans_4","I want to eat beans.","Chcę jeść fasolę."
"chicken_5","I want fried chicken.","Chcę smażonego kurczaka."
"chicken_6","I want boiled chicken.","Chcę gotowanego kurczaka."
"chocolate","Chocolate","Czekolada"
"chocolate_2","I like chocolate.","Ja lubię czekoladę."
"chocolate_3","I don't like chocolate.","Nie lubię czekolady."
"chocolate_4","I want to eat chocolate.","Chcę jeść czekoladę."
"chocolate_5","I want dark chocolate.","Chcę ciemnej czekolady."
"chocolate_6","I want white chocolate.","Chcę białą czekoladę."
"milk","Milk","mleko"
"milk_2","I like milk.","Lubię mleko."
"milk_3","I don't like milk.","Nie lubię mleka."
"milk_4","I want to drink milk.","Chcę pić mleko."
"milk_5","Can I have a glass of milk?","Czy mogę dostać szklankę mleka?"
"sandwich","Sandwich","Kanapka"
"sandwich_2","I like sandwich.","Lubię kanapkę."
"sandwich_3","I don't like sandwich.","Nie lubię kanapek."
"sandwich_4","I want to eat a sandwich.","Chcę zjeść kanapkę."
"sandwich_5","Can you make me a sandwich?","Czy możesz zrobić mi kanapkę?"
"steak","Steak","stek"
"steak_2","I like steak.","Lubię stek."
"steak_3","I don't like steak.","Nie lubię steków."
"steak_4","I want to eat steak.","Chcę zjeść stek."
"steak_5","Can you cook steak for me?","Czy potrafisz dla mnie gotować stek?"
"banana","Banana","Banan"
"banana_2","I like banana.","Lubię banana."
"banana_3","I don't like banana.","Nie lubię banana."
"banana_4","I want to eat a banana.","Chcę zjeść banana."
"pie","Pie","Ciasto"
"pie_2","I like pie.","Lubię ciasto."
"pie_3","I don't like pie.","Nie lubię ciasta."
"pie_4","I want to eat pie.","Chcę zjeść ciasto."
"pie_5","Can you bake a pie for me?","Czy możesz upiec ciasto dla mnie?"
"egg","Egg","jajko"
"egg_2","I like egg.","Ja lubie jajka"
"egg_3","I don't like egg.","Nie lubię jajka."
"egg_4","I want to eat egg.","Chcę zjeść jajko."
"egg_5","I want fried eggs.","Chcę smażone jajka."
"egg_6","I want boiled eggs.","Chcę gotowane jajka."
"noodles","Noodles","Makaron"
"noodles_2","I like noodles.","Lubię makaron."
"noodles_3","I don't like noodles.","Nie lubię makaronu."
"noodles_4","I want to eat noodles.","Chcę jeść makaron."
"noodles_5","Can you cook noodles for me?","Czy możesz gotować dla mnie makaron?"
"salt","Salt","Sól"
"salt_2","I want salt.","Chcę sól"
"salt_3","Can you pass me the salt?","Czy możesz podać mi sól?"
"salt_4","Food is too salty.","Jedzenie jest zbyt słone."
"salt_5","My food needs some salt.","Moje jedzenie potrzebuje soli."
"spices","Spices","Przyprawy"
"spices_2","I like spicy food.","Lubię ostre jedzenie."
"spices_3","I don't like spicy food.","Nie lubię pikantnych potraw."
"spices_4","I want paprika.","Chcę paprykę."
"spices_5","I want black pepper.","Chcę czarnego pieprzu."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Lubię pizze."
"pizza_3","I don't like pizza.","Nie lubię pizzy."
"pizza_4","I want to eat pizza.","Chcę zjeść pizzę."
"pizza_5","Can you cook pizza for me?","Czy możesz ugotować dla mnie pizzę?"
"pizza_6","Can we order pizza?","Czy możemy zamówić pizzę?"
"cheese","Cheese","Ser"
"cheese_2","I like cheese.","Lubię ser."
"cheese_3","I don't like cheese.","Nie lubię sera."
"cheese_4","I want to eat cheese.","Chcę jeść ser."
"ice-cream","Ice cream","Lody"
"ice-cream_2","I like ice cream.","Lubię lody."
"ice-cream_3","I don't like ice cream.","Nie lubię lodów."
"ice-cream_4","I want to eat ice cream.","Chcę zjeść lody."
"ice-cream_5","Can you buy ice cream for me?","Czy możesz kupić dla mnie lody?"
"tea","Tea","Herbata"
"tea_2","I like tea.","Lubię herbatę."
"tea_3","I don't like tea.","Nie lubię herbaty."
"tea_4","I want to drink tea.","Chcę pić herbatę."
"tea_5","Can you make tea for me?","Czy możesz dla mnie zrobić herbatę?"
"coffee","Coffee","Kawa"
"coffee_2","I like coffee.","Lubię kawę."
"coffee_3","I don't like coffee.","Nie lubię kawy."
"coffee_4","I want to drink coffee.","Chcę się napić kawy."
"coffee_5","Can you make coffee for me?","Czy możesz dla mnie zrobić kawę?"
"tomato","Tomato","Pomidor"
"tomato_2","I like tomato.","Lubię pomidorów."
"tomato_3","I don't like tomato.","Nie lubię pomidorów."
"tomato_4","I want to eat tomato.","Chcę zjeść pomidora."
"cereal","Cereal","Płatki śniadaniowe"
"cereal_2","I like cereal.","Lubię płatki."
"cereal_3","I don't like cereal.","Nie lubię płatków."
"cereal_4","I want to eat cereal.","Chcę jeść płatki."
"cereal_5","Can you make my cereal?","Czy możesz zrobić moje płatki?"
"burger","Burger","Burger"
"burger_2","I like burger.","Lubię burgera."
"burger_3","I don't like burger.","Nie lubię burgera."
"burger_4","I want to eat burger.","Chcę zjeść burgera."
"burger_5","Can you cook burger for me?","Czy potrafisz dla mnie ugotować burgera?"
"burger_6","Can we order burger?","Czy możemy zamówić burgera?"
"french-fries","French fries","frytki"
"french-fries_2","I like french fries.","Lubię frytki."
"french-fries_3","I don't like french fries.","Nie lubię frytek."
"french-fries_4","I want to eat french fries.","Chcę jeść frytki."
"french-fries_5","Can you cook french fries for me?","Czy potrafisz dla mnie gotować frytki?"
"french-fries_6","Can we order french fries?","Czy możemy zamówić frytki?"
"spinach","Spinach","szpinak"
"spinach_2","I like spinach.","Lubię szpinak."
"spinach_3","I don't like spinach.","Nie lubię szpinaku."
"spinach_4","I want to eat spinach.","Chcę jeść szpinak."
"rice","Rice","Ryż"
"rice_2","I like rice.","Lubię ryż."
"rice_3","I don't like rice.","Nie lubię ryżu."
"rice_4","I want to eat rice.","Chcę zjeść ryż."
"rice_5","Can you cook rice for me?","Czy możesz gotować dla mnie ryż?"
"bread","Bread","Chleb"
"bread_2","I like bread.","Lubię chleb."
"bread_3","I don't like bread.","Nie lubię chleba."
"bread_4","I want to eat bread.","Chcę jeść chleb."
"bread_5","Can you buy some bread?","Czy możesz kupić chleb?"
"pasta","Pasta","Makaron"
"pasta_2","I like pasta.","Lubię makaron."
"pasta_3","I don't like pasta.","Nie lubię makaronu."
"pasta_4","I want to eat pasta.","Chcę zjeść makaron."
"pasta_5","Can you cook pasta for me?","Czy potrafisz dla mnie ugotować makaron?"
"sauce","Sauce","sos"
"sauce_2","I like sauce.","Lubie sos"
"sauce_3","I don't like sauce.","Nie lubię sosu."
"sauce_4","I want some sauce.","Chcę sos."
"sauce_5","Can I have ketchup?","Czy mogę dostać keczup?"
"sauce_6","Can I have mayonnaise?","Czy mogę prosić majonez?"
"sauce_7","Can I have mustard?","Czy mogę dostać musztardę?"
"sauce_8","Can I have ranch sauce?","Czy mogę dostać sos ranch?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Lubię kebab."
"kebab_3","I don't like kebab.","Nie lubię kebaba."
"kebab_4","I want to eat kebab.","Chcę zjeść kebab."
"kebab_5","Can you cook kebab for me?","Czy potrafisz dla mnie ugotować kebab?"
"kebab_6","Can we order kebab?","Czy możemy zamówić kebab?"
"numbers","Numbers","Liczby"
"one","One","Jeden"
"one_2","One comes before two.","Jeden przychodzi przed drugim."
"one_3","One comes after zero.","Jeden przychodzi po zero."
"one_4","I want one.","Chcę taki."
"two","Two","Dwa"
"two_2","Two comes before three.","Dwa są przed trzecim."
"two_3","Two comes after one.","Dwa przychodzą po jednym."
"two_4","I want two.","Chcę dwóch."
"three","Three","Trzy"
"three_2","Three comes before four.","Trzecia jest przed czwartą."
"three_3","Three comes after two.","Trzy przychodzą po drugiej."
"three_4","I want three.","Chcę trzy."
"four","Four","Cztery"
"four_2","Four comes before five.","Czwarta jest przed piątą."
"four_3","Four comes after three.","Cztery przychodzą po trzeciej."
"four_4","I want four.","Chcę czterech."
"five","Five","Pięć"
"five_2","Five comes before six.","Pięć jest przed szóstą."
"five_3","Five comes after four.","Pięć przychodzi po czwartej."
"five_4","I want five.","Chcę pięć."
"six","Six","Sześć"
"six_2","Six comes before seven.","Szósta jest przed siódmą."
"six_3","Six comes after five.","Szósta przychodzi po piątej."
"six_4","I want fix.","Chcę to naprawić."
"seven","Seven","Siedem"
"seven_2","Seven comes before eight.","Siódma przychodzi przed ósmą."
"seven_3","Seven comes after six.","Siódma przychodzi po szóstej."
"seven_4","I want seven.","Chcę siedem."
"eight","Eight","Osiem"
"eight_2","Eight comes before nine.","Ósma przychodzi przed dziewiątą."
"eight_3","Eight comes after seven.","Ósemka przychodzi po siódmej."
"eight_4","I want eight.","Chcę osiem."
"nine","Nine","Dziewięć"
"nine_2","Nine comes before ten.","Dziewiąta jest przed dziesiątą."
"nine_3","Nine comes after eight.","Dziewiąta przychodzi po ósmej."
"nine_4","I want nine.","Chcę dziewięć."
"ten","Ten","Dziesięć"
"ten_2","Ten comes before eleven.","Dziesięć jest przed jedenastą."
"ten_3","Ten comes after nine.","Dziesięć jest po dziewiątej."
"ten_4","I want ten.","Chcę dziesięć."
"eleven","Eleven","Jedenaście"
"eleven_2","Eleven comes before thirteen.","Jedenaście przychodzi przed trzynastą."
"eleven_3","Eleven comes after ten.","Jedenaście przychodzi po dziesiątej."
"eleven_4","I want eleven.","Chcę jedenaście."
"twenty","Twenty","20"
"twenty_2","I can count up to twenty.","Mogę policzyć do dwudziestu."
"thirty","Thirty","Trzydzieści"
"thirty_2","I can count up to thirty.","Mogę policzyć do trzydziestu."
"forty","Forty","Czterdzieści"
"forty_2","I can count up to forty.","Mogę policzyć do czterdziestu."
"fifty","Fifty","Pięćdziesiąt"
"fifty_2","I can count up to fifty.","Mogę policzyć do pięćdziesięciu."
"hundred","Hundred","Sto"
"hundred_2","I can count up to hundred.","Mogę policzyć do stu."
"thousand","Thousand","Tysiąc"
"thousand_2","I can count up to thousand.","Mogę policzyć do tysiąca."
"calculator","Calculator","Kalkulator"
"calculator_2","I want to use a calculator.","Chcę użyć kalkulatora."
"calculator_3","Can you teach me how to use a calculator?","Czy możesz mnie nauczyć, jak korzystać z kalkulatora?"
"calculator_4","Can I barrow your calculator?","Czy mogę spłacić kalkulator?"
"people","People","Ludzie"
"mother","Mother","Mama"
"mother_2","Mommy!","Mamusia!"
"mother_3","I love my mother.","Kocham moją matkę."
"mother_4","I love you mom.","Kocham Cię Mamo."
"mother_5","I miss my mom.","Tęsknię za moją mamą."
"mother_6","Thank you for taking care of me.","Dziękuję za opiekę nad mną."
"mother_7","She is my mom.","Ona jest moją mamą."
"mother_8","Can you help me find my mother?","Czy możesz mi pomóc znaleźć moją matkę?"
"father","Father","Ojciec"
"father_2","Daddy!","Tatuś!"
"father_3","I love my father.","Kocham mojego ojca."
"father_4","I love you dad.","Kocham Cię tato."
"father_5","I miss my dad.","Tęsknię za moim tatą."
"father_6","Thank you for taking care of me.","Dziękuję za opiekę nad mną."
"father_7","He is my dad.","On jest moim tatą."
"father_8","Can you help me find my father?","Czy możesz mi pomóc znaleźć mojego ojca?"
"parents","Parents","Rodzice"
"parents_2","I love my parents.","Kocham moich rodziców."
"parents_3","I love my parents.","Kocham moich rodziców."
"parents_4","I miss my parents.","Tęsknie za moimi rodzicami."
"parents_5","They are my parents.","To są moi rodzice."
"parents_6","My parents are taking care of me.","Moi rodzice się mną opiekują."
"parents_8","Can you help me find my parents?","Czy możesz mi pomóc znaleźć moich rodziców?"
"grandparents","Grandparents","Dziadkowie"
"grandparents_2","I love my grandparents.","Kocham moich dziadków."
"grandparents_3","I love you grandparents.","Kocham was, dziadkowie."
"grandparents_4","I miss my grandparents.","Tęsknię za moimi dziadkami."
"grandparents_5","They are my grandparents.","Oni są moimi dziadkami."
"grandparents_6","My grandparents are taking care of me.","Moi dziadkowie się mną opiekują."
"grandparents_8","Can you help me find my grandparents?","Czy możesz mi pomóc znaleźć moich dziadków?"
"brother","Brother","Brat"
"brother_2","I love my brother.","Kocham mojego brata."
"brother_3","I love you brother.","Kocham Cię bracie."
"brother_4","I miss my brother.","Tęsknię za moim bratem."
"brother_5","He is my brother.","On jest moim bratem."
"brother_6","My brother is taking care of me.","Mój brat się mną opiekuje."
"brother_8","Can you help me find my brother?","Czy możesz mi pomóc znaleźć mojego brata?"
"sister","Sister","Siostra"
"sister_2","I love my sister.","Kocham moją siostrę."
"sister_3","I love you sister.","Kocham twoja siostre."
"sister_4","I miss my sister.","Tęsknię za moją siostrą."
"sister_5","She is my sister.","Ona jest moją siostrą."
"sister_6","My sister is taking care of me.","Moja siostra się mną opiekuje."
"sister_8","Can you help me find my sister?","Czy możesz mi pomóc znaleźć moją siostrę?"
"uncle","Uncle","Wujek"
"uncle_2","I love my uncle.","Kocham mojego wujka."
"uncle_3","I love you uncle.","Kocham cię wujku."
