"activities","Activities","សកម្មភាព"
"shoes_3","Can you help me wear my shoes?","តើអ្នកអាចជួយខ្ញុំពាក់ស្បែកជើងបានទេ?"
"boots","Boots","ស្បែកជើងកវែង"
"boots_2","My boots are dirty.","ស្បែកជើងកវែងរបស់ខ្ញុំកខ្វក់។"
"boots_3","Can you help me wear my boots?","តើអ្នកអាចជួយខ្ញុំពាក់ស្បែកជើងកវែងបានទេ?"
"sneakers","Sneakers","ស្បែកជើងប៉ាតា"
"sneakers_2","I want to wear my sneakers.","ខ្ញុំចង់ពាក់ស្បែកជើងប៉ាតារបស់ខ្ញុំ។"
"sneakers_3","Can you help me wear my sneakers?","តើអ្នកអាចជួយខ្ញុំឱ្យពាក់ស្បែកជើងប៉ាតារបស់ខ្ញុំបានទេ?"
"slippers","Slippers","ស្បែកជើង"
"slippers_2","I want to wear my slippers.","ខ្ញុំចង់ពាក់ស្បែកជើងរបស់ខ្ញុំ។"
"slippers_3","Can you help me wear my slippers?","តើអ្នកអាចជួយខ្ញុំពាក់ស្បែកជើងរបស់ខ្ញុំបានទេ?"
"belt","Belt","ខ្សែក្រវ៉ាត់"
"belt_2","I like wearing belt.","ខ្ញុំចូលចិត្តពាក់ខ្សែក្រវ៉ាត់។"
"belt_3","Can you help me wear my belt?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់ខ្សែក្រវ៉ាត់បានទេ?"
"socks","Socks","ស្រោមជើង"
"socks_2","My socks are dirty.","ស្រោមជើងរបស់ខ្ញុំកខ្វក់។"
"socks_3","Can you help me wear my socks?","តើអ្នកអាចជួយខ្ញុំពាក់ស្រោមជើងបានទេ?"
"swimsuit","Swimsuit","ឈុត​ហែលទឹក"
"swimsuit_2","I want to wear my swimsuit.","ខ្ញុំចង់ស្លៀកឈុតហែលទឹករបស់ខ្ញុំ។"
"swimsuit_3","Can you help me wear my swimsuit?","តើអ្នកអាចជួយឱ្យខ្ញុំស្លៀកឈុតហែលទឹករបស់ខ្ញុំបានទេ?"
"sweater","Sweater","អាវយឺត"
"sweater_2","My sweater is dirty.","អាវយឺតរបស់ខ្ញុំកខ្វក់។"
"sweater_3","Can you help me wear my sweater?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់អាវយឺតរបស់ខ្ញុំបានទេ?"
"scarf","Scarf","ក្រម៉ា"
"scarf_2","I like wearing scarf.","ខ្ញុំចូលចិត្តពាក់ក្រម៉ា។"
"scarf_3","Can you help me wear my scarf?","តើអ្នកអាចជួយខ្ញុំពាក់ក្រម៉ាបានទេ?"
"denim-shorts","Denim shorts","ខោខ្លី Denim"
"denim-shorts_2","My denim shorts are dirty.","ខោខូវប៊យខ្លីរបស់ខ្ញុំគឺកខ្វក់។"
"denim-shorts_3","Can you help me wear my denim shorts?","តើអ្នកអាចជួយខ្ញុំស្លៀកខោខ្លីរបស់ខ្ញុំបានទេ?"
"hoodies","Hoodies","ក្រណាត់"
"hoodies_2","I like wearing hoodies.","ខ្ញុំចូលចិត្តស្លៀកសម្លៀកបំពាក់។"
"hoodies_3","Can you help me wear my hoodie?","តើអ្នកអាចជួយខ្ញុំឱ្យពាក់អាវរបស់ខ្ញុំបានទេ?"
"swimming-shorts","Swimming shorts","ហែលទឹកខ្លី"
"swimming-shorts_2","My swimming shorts are dirty.","ខោហែលទឹករបស់ខ្ញុំកខ្វក់ណាស់។"
"swimming-shorts_3","Can you help me wear my swimming shorts?","តើអ្នកអាចជួយខ្ញុំស្លៀកខោខ្លីហែលទឹករបស់ខ្ញុំបានទេ?"
"bow-tie","Bow tie","ក្រវ៉ាត់"
"bow-tie_2","I like wearing bow tie.","ខ្ញុំចូលចិត្តពាក់ក្រវ៉ាត់។"
"bow-tie_3","Can you help me wear my bow tie?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់ក្រវ៉ាត់របស់ខ្ញុំទេ?"
"leather-jacket","Leather jacket","អាវ​ស្បែក"
"leather-jacket_2","I like wearing leather jacket.","ខ្ញុំចូលចិត្តពាក់អាវស្បែក។"
"leather-jacket_3","Can you help me wear my leather jacket?","តើអ្នកអាចជួយខ្ញុំពាក់អាវស្បែករបស់ខ្ញុំបានទេ?"
"bathrobe","Bathrobe","កន្សែងពោះគោ"
"bathrobe_2","I like wearing bathrobe.","ខ្ញុំចូលចិត្តពាក់អាវងូតទឹក។"
"bathrobe_3","Can you help me wear my bathrobe?","តើអ្នកអាចជួយខ្ញុំឱ្យពាក់អាវងូតទឹករបស់ខ្ញុំបានទេ?"
"jumpsuit","Jumpsuit","Jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","ខ្ញុំចូលចិត្តស្លៀកខោខ្លី។"
"jumpsuit_3","Can you help me wear my jumpsuit?","តើអ្នកអាចជួយឱ្យខ្ញុំស្លៀកឈុតលោតរបស់ខ្ញុំបានទេ?"
"fedora-hat","Fedora hat","មួករបស់ Fedora"
"fedora-hat_2","I like wearing fedora hat.","ខ្ញុំចូលចិត្តពាក់មួកចូដូ។"
"fedora-hat_3","Can you help me wear my fedora hat?","តើអ្នកអាចជួយខ្ញុំឱ្យពាក់មួកចុកដូរបស់ខ្ញុំបានទេ?"
"t-shirt","T-shirt","អាវយឺត"
"t-shirt_2","I like wearing t-shirt.","ខ្ញុំចូលចិត្តពាក់អាវយឺត។"
"t-shirt_3","Can you help me wear my t-shirt?","តើអ្នកអាចជួយខ្ញុំពាក់អាវយឺតរបស់ខ្ញុំបានទេ?"
"sleeveless","Sleeveless","ដៃអាវ"
"sleeveless_2","I like wearing sleeveless.","ខ្ញុំចូលចិត្តស្លៀកខោអាវ។"
"sleeveless_3","Can you help me wear my sleeveless?","តើអ្នកអាចជួយខ្ញុំឱ្យពាក់អាវរបស់ខ្ញុំបានទេ?"
"boxers","Boxers","អ្នកប្រដាល់"
"boxers_2","I like wearing boxers.","ខ្ញុំចូលចិត្តពាក់អ្នកប្រដាល់។"
"boxers_3","Can you help me wear my boxers?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់អ្នកប្រដាល់របស់ខ្ញុំបានទេ?"
"vest","Vest","អាវផាយ"
"vest_2","I like wearing vest.","ខ្ញុំចូលចិត្តពាក់អាវកាក់។"
"vest_3","Can you help me wear my vest?","តើអ្នកអាចជួយខ្ញុំពាក់អាវកាក់បានទេ?"
"pamela-hat","Pamela hat","មួក Pamela"
"pamela-hat_2","I like wearing pamela hat.","ខ្ញុំចូលចិត្តពាក់មួក pamela ។"
"pamela-hat_3","Can you help me wear my pamela hat?","តើអ្នកអាចជួយខ្ញុំពាក់មួក pamela របស់ខ្ញុំបានទេ?"
"high-heels","High heels","ស្បែកជើង​កែង"
"high-heels_2","I like wearing high heels.","ខ្ញុំចូលចិត្តពាក់ស្បែកជើងកែងខ្ពស់។"
"high-heels_3","Can you help me wear my high heels?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់ស្បែកជើងកែងខ្ពស់របស់ខ្ញុំបានទេ?"
"overalls","Overalls","សរុប"
"overalls_2","I like wearing overalls.","ខ្ញុំចូលចិត្តស្លៀកសម្លៀកបំពាក់រួម។"
"overalls_3","Can you help me wear my overalls?","តើអ្នកអាចជួយឱ្យខ្ញុំស្លៀកពាក់ជារួមបានទេ?"
"kimono","Kimono","គីម៉ូណូ"
"kimono_2","I like wearing kimono.","ខ្ញុំចូលចិត្តស្លៀកសំលៀកបំពាក់គីម៉ូណូ។"
"kimono_3","Can you help me wear my kimono?","តើអ្នកអាចជួយខ្ញុំស្លៀកគីម៉ូណូបានទេ?"
"raincoat","Raincoat","អាវភ្លៀង"
"raincoat_2","I like wearing raincoat.","ខ្ញុំចូលចិត្តពាក់អាវភ្លៀង។"
"raincoat_3","Can you help me wear my raincoat?","តើអ្នកអាចជួយខ្ញុំពាក់អាវភ្លៀងរបស់ខ្ញុំបានទេ?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","ខ្ញុំចូលចិត្តពាក់ bandana ។"
"bandana_3","Can you help me wear my bandana?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់ bandana របស់ខ្ញុំបានទេ?"
"beret","Beret","បេរេ"
"beret_2","I like wearing beret.","ខ្ញុំចូលចិត្តស្លៀកខោ។"
"beret_3","Can you help me wear my beret?","តើអ្នកអាចជួយខ្ញុំឱ្យពាក់ពុកមាត់របស់ខ្ញុំបានទេ?"
"knit-hat","Knit hat","មួកប៉ាក់"
"knit-hat_2","I like wearing knit hat.","ខ្ញុំចូលចិត្តពាក់មួកប៉ាក់។"
"knit-hat_3","Can you help me wear my knit hat?","តើអ្នកអាចជួយខ្ញុំពាក់មួកប៉ាក់របស់ខ្ញុំបានទេ?"
"suspenders","Suspenders","អ្នកផ្អាក"
"suspenders_2","I like wearing suspenders.","ខ្ញុំចូលចិត្តស្លៀកខោខូវប៊យ។"
"suspenders_3","Can you help me wear my suspenders?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់ឧបករណ៍ព្យួររបស់ខ្ញុំបានទេ?"
"mitten","Mitten","ម៉ែត"
"mitten_2","I like wearing mitten.","ខ្ញុំចូលចិត្តពាក់មី។"
"mitten_3","Can you help me wear my mitten?","តើអ្នកអាចជួយខ្ញុំពាក់មីរបស់ខ្ញុំបានទេ?"
"suit","Suit","ឈុត"
"suit_2","I like wearing suit.","ខ្ញុំចូលចិត្តស្លៀកឈុត។"
"suit_3","Can you help me wear my suit?","តើអ្នកអាចជួយឱ្យខ្ញុំស្លៀកឈុតរបស់ខ្ញុំបានទេ?"
"coat","Coat","ថ្នាំកូត"
"coat_2","I like wearing coat.","ខ្ញុំចូលចិត្តពាក់អាវ។"
"coat_3","Can you help me wear my coat?","តើអ្នកអាចជួយខ្ញុំពាក់អាវរបស់ខ្ញុំបានទេ?"
"trench-coat","Trench coat","ថ្នាំកូត Trench"
"trench-coat_2","I like wearing trench coat.","ខ្ញុំចូលចិត្តពាក់អាវធំ។"
"trench-coat_3","Can you help me wear my trench coat?","តើអ្នកអាចជួយឱ្យខ្ញុំពាក់អាវធំរបស់ខ្ញុំបានទេ?"
"colors","Colors","ពណ៌"
"crayons","Crayons","ក្រវែល"
"crayons_2","I like crayons.","ខ្ញុំចូលចិត្តក្រញាំ។"
"crayons_3","Can you give me crayons?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវក្រញាំទេ?"
"crayons_4","I want to draw using my crayons.","ខ្ញុំចង់គូរដោយប្រើក្រញាំរបស់ខ្ញុំ។"
"red","Red","ក្រហម"
"red_2","It is red.","វាមានពណ៌ក្រហម។"
"red_3","My favorite color is red.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ក្រហម។"
"red_4","Can you give me red paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបក្រហមទេ?"
"blue","Blue","ខៀវ"
"blue_2","It is blue.","វាមានពណ៌ខៀវ។"
"blue_3","My favorite color is blue.","ព​ណ៍​ដែល​ខ្ញុំ​ចូលចិត្ត​គឺ​ព​ណ៍​ខៀវ។"
"blue_4","Can you give me blue paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌ខៀវទេ?"
"orange","Orange","ទឹកក្រូច"
"orange_2","It is orange color.","វាជាពណ៌ទឹកក្រូច។"
"orange_3","My favorite color is orange.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ទឹកក្រូច។"
"orange_4","Can you give me orange paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌ទឹកក្រូចបានទេ?"
"green","Green","បៃតង"
"green_2","It is green.","វាមានពណ៌បៃតង។"
"green_3","My favorite color is green.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌បៃតង។"
"green_4","Can you give me green paint?","តើអ្នកអាចផ្តល់ថ្នាំលាបពណ៌បៃតងដល់ខ្ញុំបានទេ?"
"yellow","Yellow","លឿង"
"yellow_2","It is yellow.","វាមានពណ៌លឿង។"
"yellow_3","My favorite color is yellow.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌លឿង។"
"yellow_4","Can you give me yellow paint?","តើអ្នកអាចឱ្យថ្នាំលាបពណ៌លឿងដល់ខ្ញុំបានទេ?"
"purple","Purple","ស្វាយ"
"purple_2","It is purple.","វាគឺពណ៌ស្វាយ។"
"purple_3","My favorite color is purple.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ស្វាយ។"
"purple_4","Can you give me purple paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌ស្វាយទេ?"
"pink","Pink","ពណ៌ផ្កាឈូក"
"pink_2","It is pink.","វាជាពណ៌ផ្កាឈូក។"
"pink_3","My favorite color is pink.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ផ្កាឈូក។"
"pink_4","Can you give me pink paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌ផ្កាឈូកបានទេ?"
"brown","Brown","ត្នោត"
"brown_2","It is brown.","វាមានពណ៌ត្នោត។"
"brown_3","My favorite color is brown.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ត្នោត។"
"brown_4","Can you give me brown paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌ត្នោតបានទេ?"
"black","Black","ខ្មៅ"
"black_2","It is black.","វាខ្មៅ។"
"black_3","My favorite color is black.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ខ្មៅ។"
"black_4","Can you give me black paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបខ្មៅបានទេ?"
"white","White","ស"
"white_2","It is white.","វាមានពណ៌ស។"
"white_3","My favorite color is white.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ស។"
"white_4","Can you give me white paint?","តើអ្នកអាចផ្តល់ថ្នាំលាបឱ្យខ្ញុំបានទេ?"
"gray","Gray","ពណ៌ប្រផេះ"
"gray_2","It is gray.","វាជាពណ៌ប្រផេះ។"
"gray_3","My favorite color is gray.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ប្រផេះ។"
"gray_4","Can you give me gray paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌ប្រផេះបានទេ?"
"transparent","Transparent","ថ្លា"
"transparent_2","It is transparent.","វាមានតម្លាភាព។"
"transparent_3","I can see behind transparent color.","ខ្ញុំអាចមើលឃើញនៅពីក្រោយពណ៌ថ្លា។"
"transparent_4","Can you help me erase?","តើអ្នកអាចជួយខ្ញុំលុបបានទេ?"
"cyan","Cyan","ខៀវ"
"cyan_2","It is cyan.","វាគឺជាសណ្តែក។"
"cyan_3","My favorite color is cyan.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ខៀវ។"
"cyan_4","Can you give me cyan paint?","តើអ្នកអាចផ្តល់ថ្នាំលាបដល់ខ្ញុំបានទេ?"
"violet","Violet","វីយ៉ូឡែត"
"violet_2","It is violet.","វាជាវីយូឡុង។"
"violet_3","My favorite color is violet.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺវីយូឡុង។"
"violet_4","Can you give me violet paint?","តើអ្នកអាចផ្តល់ថ្នាំលាបពណ៌លឿងដល់ខ្ញុំបានទេ?"
"turquoise","Turquoise","រមៀត"
"turquoise_2","It is turquoise.","វាគឺជាមុជទឹក។"
"turquoise_3","My favorite color is turquoise.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺមុជទឹក។"
"turquoise_4","Can you give me turquoise paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបខៀវទេ?"
"lime","Lime","កំបោរ"
"lime_2","It is lime.","វាជាកំបោរ។"
"lime_3","My favorite color is lime.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺកំបោរ។"
"lime_4","Can you give me lime paint?","តើអ្នកអាចលាបថ្នាំកំបោរឱ្យខ្ញុំបានទេ?"
"plum","Plum","ផ្លែព្រូន"
"plum_2","It is plum.","វាគឺជាផ្លែព្រូន។"
"plum_3","My favorite color is plum.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺ plum ។"
"plum_4","Can you give me plum paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាប plum បានទេ?"
"tan","Tan","តាន់"
"tan_2","It is tan color.","វាជាពណ៌តាន់។"
"tan_3","My favorite color is tan color.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌តាន់។"
"tan_4","Can you give me tan color paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌តាន់បានទេ?"
"avocado","Avocado","ផ្លែបឺរ"
"avocado_2","It is avocado color.","វាជាពណ៌ផ្លែបឺរ។"
"avocado_3","My favorite color is avocado color.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ផ្លែបឺរ។"
"avocado_4","Can you give me avocado color paint?","តើអ្នកអាចផ្តល់ថ្នាំលាបពណ៌ផ្លែបឺរឱ្យខ្ញុំបានទេ?"
"barbie-pink","Barbie pink","Barbie ពណ៌ផ្កាឈូក"
"barbie-pink_2","It is barbie pink color.","វាជាពណ៌ពណ៌ផ្កាឈូក។"
"barbie-pink_3","My favorite color is barbie pink.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ផ្កាឈូក។"
"barbie-pink_4","Can you give me barbie pink paint?","តើអ្នកអាចផ្តល់ឱ្យខ្ញុំនូវថ្នាំលាបពណ៌ផ្កាឈូកប៊ឺរីបានទេ?"
"blizzard-blue","Blizzard blue","Blizzard ពណ៌ខៀវ"
"blizzard-blue_2","It is blizzard blue color.","វាជាពណ៌ខៀវស្រអាប់។"
"blizzard-blue_3","My favorite color is blizzard blue color.","ពណ៌ដែលខ្ញុំចូលចិត្តជាងគេគឺពណ៌ខៀវពណ៌ខៀវ។"
"blizzard-blue_4","Can you give me blizzard blue paint?","តើអ្នកអាចផ្តល់ថ្នាំលាបពណ៌ខៀវឱ្យខ្ញុំបានទេ?"
"conversation","Conversation","ការសន្ទនា"
"me","Me","ខ្ញុំ"
"me_2","My name is {name}","ខ្ញុំឈ្មោះ {ឈ្មោះ}"
"me_3","I'm {name}","ខ្ញុំ {ឈ្មោះ}"
"me_4","Do you know my name?","តើអ្នកស្គាល់ឈ្មោះខ្ញុំទេ?"
"me_5","What is your name?","តើ​អ្នក​មាន​ឈ្មោះ​អ្វី?"
"me_6","Nice to meet you!","រីករាយ​ដែល​បាន​ជួប​អ្នក!"
"me_7","Do you like me?","តើ​អ្នក​ចូលចិត្ត​ខ្ញុំ​ទេ?"
"me_8","Can we be friends?","តើយើងអាចធ្វើជាមិត្តបានទេ?"
"me_9","I'm using assistive communication app.","ខ្ញុំកំពុងប្រើកម្មវិធីទំនាក់ទំនងជំនួយ។"
"me_10","Who are you?","អ្នក​ជា​នរណា?"
"hello","Hello","សួស្តី"
"hello_2","Hello.","សួស្តី។"
"hello_3","Hi.","សួស្តី។"
"hello_4","Greetings.","ស្វាគមន៍។"
"hello_5","How are you?","អ្នក​សុខសប្បាយ​ទេ?"
"hello_6","Nice to meet you!","រីករាយ​ដែល​បាន​ជួប​អ្នក!"
"help","Help","ជំនួយ"
"help_2","Help me.","ជួយ​ខ្ញុំ​ផង។"
"help_3","Can you help me?","តើ​អ្នក​អាច​ជួយ​ខ្ញុំ​បាន​ទេ?"
"help_4","I need help","ខ្ញុំ​ត្រូវការ​ជំនួយ"
"help_5","Do you need help?","តើអ្នកត្រូវការជំនួយទេ?"
"yes","Yes","ត្រូវហើយ"
"yes_2","Yes.","ត្រូវហើយ។"
"yes_3","Yes please.","បាទសូម។"
"yes_4","Alright.","មិនអីទេ។"
"yes_5","Agreed.","យល់ស្រប។"
"yes_6","I want to.","ខ្ញុំ​ចង់។"
"yes_7","I would like to.","ខ្ញុំ​ចង់។"
"no","No","ទេ"
"no_2","No.","ទេ"
"no_3","Nope.","ទេ។"
"no_4","Never.","មិនដែល"
"no_5","I don't want to.","ខ្ញុំមិនចង់ទេ។"
"no_6","I don't like it.","ខ្ញុំមិនចូលចិត្តវាទេ។"
"no_7","You don't like it?","អ្នកមិនចូលចិត្តវាទេ?"
"no_8","Why you don't like it?","ហេតុអ្វីបានជាអ្នកមិនចូលចិត្តវា?"
"toilet","Toilet","បង្គន់"
"toilet_2","I need to go to the toilet.","ខ្ញុំត្រូវទៅបង្គន់។"
"toilet_3","I need to pee.","ខ្ញុំ​ត្រូវ​ទៅ pee។"
"toilet_4","I need to poop.","ខ្ញុំត្រូវការ។"
"toilet_5","Can you help me go to the toilet?","តើអ្នកអាចជួយខ្ញុំទៅបង្គន់បានទេ?"
"toilet_6","Can you help me clean?","តើអ្នកអាចជួយខ្ញុំឱ្យស្អាតបានទេ?"
"toilet_7","I peed myself.","ខ្ញុំលួងចិត្តខ្លួនឯង។"
"toilet_8","I pooped myself.","ខ្ញុំបានធ្វើឱ្យខ្លួនខ្ញុំទន់ខ្សោយ។"
"what","What","អ្វី"
"what_2","What is that?","តើ​នោះ​ជា​អ្វី?"
"what_3","What does it mean?","តើ​វា​មានន័យ​យ៉ាង​ដូចម្តេច?"
"what_4","What do you mean?","តើ​អ្នក​ចង់​មានន័យថា​យ៉ាងម៉េច?"
"what_5","Can you explain it?","តើអ្នកអាចពន្យល់បានទេ?"
"what_6","Can you repeat what you said?","តើអ្នកអាចនិយាយអ្វីដែលអ្នកបាននិយាយឡើងវិញទេ?"
"what_7","I don't understand.","ខ្ញុំមិនយល់ទេ។"
"sleep","Sleep","គេង"
"sleep_2","I want to sleep.","ខ្ញុំ​ចង់​គេង។"
"sleep_3","I don't want to sleep.","ខ្ញុំមិនចង់គេងទេ។"
"sleep_4","I'm tired.","ខ្ញុំ​ុំ​ហត់​ណាស់។"
"sleep_5","Are you tired?","តើ​អ្នក​នឿយហត់​ទេ?"
"sleep_6","When am I going to sleep?","តើខ្ញុំនឹងគេងនៅពេលណា?"
"sleep_7","I want to take a nap.","ខ្ញុំចង់គេងលក់។"
"bath","Bath","ងូតទឹក"
"bath_2","I want to take a bath.","ខ្ញុំចង់ងូតទឹក។"
"bath_3","I like taking a bath.","ខ្ញុំចូលចិត្តងូតទឹក។"
"bath_4","I want to wash my hands.","ខ្ញុំចង់លាងដៃរបស់ខ្ញុំ។"
"bath_5","I want to take a shower.","ខ្ញុំចង់ងូតទឹក។"
"bath_6","I want to clean myself.","ខ្ញុំចង់សម្អាតខ្លួនឯង។"
"bath_7","Can you help me take a bath?","តើអ្នកអាចជួយខ្ញុំងូតទឹកបានទេ?"
"bath_8","I don't want to take a bath.","ខ្ញុំមិនចង់ងូតទឹកទេ។"
"listen","Listen","ស្តាប់"
"listen_2","Listen to me.","ស្តាប់ខ្ញុំ។"
"listen_3","Can you listen to me?","តើអ្នកអាចស្តាប់ខ្ញុំបានទេ?"
"listen_4","Listen to music.","ស្តាប់តន្ត្រី។"
"listen_5","Listening to my parents.","ស្តាប់ឪពុកម្តាយខ្ញុំ។"
"listen_6","Listen to what my application is saying!","ស្តាប់នូវអ្វីដែលពាក្យស្នើសុំរបស់ខ្ញុំកំពុងនិយាយ!"
"morning","Morning","ពេលព្រឹក"
"morning_2","Good morning.","អរុណ​សួស្តី។"
"morning_3","I like mornings.","ខ្ញុំចូលចិត្តពេលព្រឹក។"
"morning_4","In the morning.","នៅ​ពេលព្រឹក។"
"morning_5","Morning time.","ពេលព្រឹក។"
"morning_6","Is it morning?","តើពេលព្រឹកមែនទេ?"
"night","Night","រាត្រី"
"night_2","Good night!","រាត្រី​សួស្តី!"
"night_3","I like nights.","ខ្ញុំចូលចិត្តរាត្រី។"
"night_4","At night.","នៅ​ពេលយប់។"
"night_5","Night time.","ពេលរាត្រី។"
"night_6","Is it night?","តើយប់ទេ?"
"look","Look","រកមើល"
"look_2","Look at me.","មើល​មក​ខ្ញុំ។"
"look_3","Look at this.","រកមើលនៅនេះ។"
"look_4","Are you looking?","តើអ្នកកំពុងស្វែងរកទេ?"
"look_5","Look at my drawing.","សូមក្រឡេកមើលគំនូររបស់ខ្ញុំ។"
"look_6","How do I look?","តើខ្ញុំមើលទៅយ៉ាងដូចម្តេច?"
"look_7","Look what I did.","រកមើលអ្វីដែលខ្ញុំបានធ្វើ។"
"look_8","Let's look at that.","សូមក្រឡេកមើល។"
"speak","Speak","និយាយ"
"speak_2","I'm learning how to speak.","ខ្ញុំកំពុងរៀននិយាយ។"
"speak_3","I want to speak.","ខ្ញុំចង់និយាយ។"
"speak_4","Can I speak with you?","តើខ្ញុំអាចនិយាយជាមួយអ្នកបានទេ?"
"speak_5","I like speaking.","ខ្ញុំចូលចិត្តនិយាយ។"
"speak_6","I'm using assistive communication app.","ខ្ញុំកំពុងប្រើកម្មវិធីទំនាក់ទំនងជំនួយ។"
"play","Play","ចាក់"
"play_2","I love playing.","ខ្ញុំចូលចិត្តលេង។"
"play_3","Can you play with me?","តើអ្នកអាចលេងជាមួយខ្ញុំបានទេ?"
"play_4","I want to play with you!","ខ្ញុំចង់លេងជាមួយអ្នក!"
"play_5","I want to play with my friends.","ខ្ញុំចង់លេងជាមួយមិត្តភក្តិរបស់ខ្ញុំ។"
"play_6","I don't want to play with you.","ខ្ញុំមិនចង់លេងជាមួយអ្នកទេ។"
"outside","Outside","នៅខាងក្រៅ"
"outside_2","I love going outside.","ខ្ញុំចូលចិត្តចេញទៅខាងក្រៅ។"
"outside_3","I want to go outside.","ខ្ញុំចង់ទៅខាងក្រៅ។"
"outside_4","Is it cold outside?","តើវាត្រជាក់នៅខាងក្រៅទេ?"
"outside_5","I don't like outside.","ខ្ញុំមិនចូលចិត្តនៅខាងក្រៅទេ។"
"outside_6","Can I go outside?","តើខ្ញុំអាចចេញទៅក្រៅបានទេ?"
"home","Home","ផ្ទះ"
"home_2","I love my home.","ខ្ញុំស្រឡាញ់ផ្ទះរបស់ខ្ញុំ។"
"home_3","I want to go home.","ខ្ញុំ​ចង់​ទៅផ្ទះ។"
"home_4","Where is your home?","តើ​ផ្ទះ​របស់​អ្នក​នៅ​ទីណា?"
"home_5","Home sweet home.","ផ្ទះផ្អែមនៅផ្ទះ។"
"home_6","I'm in the house.","ខ្ញុំនៅក្នុងផ្ទះ។"
"home_7","I'm not in the house.","ខ្ញុំមិននៅក្នុងផ្ទះទេ។"
"hurt","Hurt","ឈឺចាប់"
"hurt_2","I'm hurt.","ខ្ញុំ​ឈឺចាប់។"
"hurt_3","Are you hurt?","តើ​អ្នក​ឈឺ​ទេ?"
"hurt_4","Did I hurt you?","តើខ្ញុំបានធ្វើឱ្យអ្នកឈឺចាប់ទេ?"
"hurt_5","I didn't mean to hurt you!","ខ្ញុំមិនចង់ធ្វើបាបអ្នកទេ!"
"hurt_6","Is it going to hurt?","តើវានឹងឈឺចាប់ទេ?"
"hurt_7","I have a headache.","ខ្ញុំ​ឈឺក្បាល។"
"hurt_8","I have a stomach ache.","ខ្ញុំ​ឈឺពោះ។"
"hurt_9","My genitals hurt.","ប្រដាប់បន្តពូជរបស់ខ្ញុំឈឺចាប់។"
"hurt_10","My foot hurts.","ជើងខ្ញុំឈឺណាស់។"
"feelings","Feelings","អារម្មណ៍"
"happy","Happy","រីករាយ"
"happy_2","I'm happy.","ខ្ញុំ​សប្បាយ​ចិត្ត។"
"happy_3","I feel happy.","ខ្ញុំ​មាន​អារម្មណ៍​សប្បាយរីករាយ។"
"happy_4","Do you feel happy?","តើអ្នកមានអារម្មណ៍សប្បាយរីករាយទេ?"
