"activities","Activities","aktivity"
"plum","Plum","slivka"
"plum_2","It is plum.","Je to slivka."
"plum_3","My favorite color is plum.","Moja obľúbená farba je slivka."
"plum_4","Can you give me plum paint?","Môžete mi dať slivku?"
"tan","Tan","opálenie"
"tan_2","It is tan color.","Je to hnedá farba."
"tan_3","My favorite color is tan color.","Moja obľúbená farba je hnedastá."
"tan_4","Can you give me tan color paint?","Môžete mi dať hnedú farbu?"
"avocado","Avocado","avokádo"
"avocado_2","It is avocado color.","Je to avokádová farba."
"avocado_3","My favorite color is avocado color.","Moja obľúbená farba je avokádová farba."
"avocado_4","Can you give me avocado color paint?","Môžete mi dať avokádové farebné farby?"
"barbie-pink","Barbie pink","Barbie ružová"
"barbie-pink_2","It is barbie pink color.","Je to barbie ružová farba."
"barbie-pink_3","My favorite color is barbie pink.","Moja obľúbená farba je barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Môžete mi dať barbie ružovú farbu?"
"blizzard-blue","Blizzard blue","Blizzard blue"
"blizzard-blue_2","It is blizzard blue color.","Je blizzard modrá farba."
"blizzard-blue_3","My favorite color is blizzard blue color.","Moja obľúbená farba je blizzard blue color."
"blizzard-blue_4","Can you give me blizzard blue paint?","Môžete mi dať blizzard blue paint?"
"conversation","Conversation","konverzácia"
"me","Me","ma"
"me_2","My name is {name}","Moje meno je {name}"
"me_3","I'm {name}","Volám sa {name}"
"me_4","Do you know my name?","Poznáš moje meno?"
"me_5","What is your name?","Ako sa voláš?"
"me_6","Nice to meet you!","Teší ma!"
"me_7","Do you like me?","Máš ma rád?"
"me_8","Can we be friends?","Môžeme byť priatelia?"
"me_9","I'm using assistive communication app.","Používam pomocnú komunikačnú aplikáciu."
"me_10","Who are you?","Kto si?"
"hello","Hello","Ahoj"
"hello_2","Hello.","Ahoj."
"hello_3","Hi.","Ahoj."
"hello_4","Greetings.","Pozdravy."
"hello_5","How are you?","Ako sa máš?"
"hello_6","Nice to meet you!","Teší ma!"
"help","Help","Pomoc"
"help_2","Help me.","Pomôž mi."
"help_3","Can you help me?","Môžeš mi pomôcť?"
"help_4","I need help","potrebujem pomoc"
"help_5","Do you need help?","Potrebuješ pomoc?"
"yes","Yes","Áno"
"yes_2","Yes.","Áno."
"yes_3","Yes please.","Áno prosím."
"yes_4","Alright.","Poriadku."
"yes_5","Agreed.","Súhlasil."
"yes_6","I want to.","Chcem."
"yes_7","I would like to.","Rád by som."
"no","No","žiadny"
"no_2","No.","Nie."
"no_3","Nope.","Nie."
"no_4","Never.","Nikdy."
"no_5","I don't want to.","Nechcem."
"no_6","I don't like it.","Nepáči sa mi to."
"no_7","You don't like it?","Nepáči sa ti to?"
"no_8","Why you don't like it?","Prečo sa vám to nepáči?"
"toilet","Toilet","Toaleta, WC"
"toilet_2","I need to go to the toilet.","Musím ísť na záchod."
"toilet_3","I need to pee.","Potrebujem cikať."
"toilet_4","I need to poop.","Potrebujem kakať."
"toilet_5","Can you help me go to the toilet?","Môžete mi pomôcť ísť na záchod?"
"toilet_6","Can you help me clean?","Môžete mi pomôcť vyčistiť?"
"toilet_7","I peed myself.","Nakukoval som."
"toilet_8","I pooped myself.","Nasadil som sa."
"what","What","Čo"
"what_2","What is that?","Čo je to?"
"what_3","What does it mean?","Čo to znamená?"
"what_4","What do you mean?","Čo tým myslíte?"
"what_5","Can you explain it?","Môžete to vysvetliť?"
"what_6","Can you repeat what you said?","Môžete zopakovať, čo ste povedali?"
"what_7","I don't understand.","Nerozumiem."
"sleep","Sleep","spánok"
"sleep_2","I want to sleep.","Chcem spať."
"sleep_3","I don't want to sleep.","Nechcem spať."
"sleep_4","I'm tired.","Som unavený."
"sleep_5","Are you tired?","Si unavený?"
"sleep_6","When am I going to sleep?","Kedy idem spať?"
"sleep_7","I want to take a nap.","Chcem si zdriemnuť."
"bath","Bath","kúpeľ"
"bath_2","I want to take a bath.","Chcem sa vykúpať."
"bath_3","I like taking a bath.","Rád sa vykúpam."
"bath_4","I want to wash my hands.","Chcem si umyť ruky."
"bath_5","I want to take a shower.","Chcem sa osprchovať."
"bath_6","I want to clean myself.","Chcem sa vyčistiť."
"bath_7","Can you help me take a bath?","Môžete mi pomôcť vykúpať sa?"
"bath_8","I don't want to take a bath.","Nechcem sa vykúpať."
"listen","Listen","počúvať"
"listen_2","Listen to me.","Počúvaj ma."
"listen_3","Can you listen to me?","Počúvaš ma?"
"listen_4","Listen to music.","Počúvať hudbu."
"listen_5","Listening to my parents.","Počúvanie mojich rodičov."
"listen_6","Listen to what my application is saying!","Vypočujte si, čo hovorí moja žiadosť!"
"morning","Morning","dopoludnia"
"morning_2","Good morning.","Dobré ráno."
"morning_3","I like mornings.","Páči sa mi ráno."
"morning_4","In the morning.","Ráno."
"morning_5","Morning time.","Ráno čas."
"morning_6","Is it morning?","Je ráno?"
"night","Night","nočné"
"night_2","Good night!","Dobrú noc!"
"night_3","I like nights.","Mám rád noci."
"night_4","At night.","V noci."
"night_5","Night time.","Nočný čas."
"night_6","Is it night?","Je noc?"
"look","Look","Pozrite sa"
"look_2","Look at me.","Pozri sa na mňa."
"look_3","Look at this.","Pozri sa na toto."
"look_4","Are you looking?","Pozeráš sa?"
"look_5","Look at my drawing.","Pozrite sa na moju kresbu."
"look_6","How do I look?","Ako vyzerám?"
"look_7","Look what I did.","Pozri, čo som urobil."
"look_8","Let's look at that.","Pozrime sa na to."
"speak","Speak","speak"
"speak_2","I'm learning how to speak.","Učím sa hovoriť."
"speak_3","I want to speak.","Chcem hovoriť."
"speak_4","Can I speak with you?","Môžem s tebou hovoriť?"
"speak_5","I like speaking.","Rada hovorím."
"speak_6","I'm using assistive communication app.","Používam pomocnú komunikačnú aplikáciu."
"play","Play","hrať"
"play_2","I love playing.","Milujem hranie."
"play_3","Can you play with me?","Môžete si so mnou zahrať?"
"play_4","I want to play with you!","Chcem sa s tebou hrať!"
"play_5","I want to play with my friends.","Chcem hrať so svojimi priateľmi."
"play_6","I don't want to play with you.","Nechcem s tebou hrať."
"outside","Outside","zvonka"
"outside_2","I love going outside.","Milujem ísť von."
"outside_3","I want to go outside.","Chcem ísť von."
"outside_4","Is it cold outside?","Je vonku chladno?"
"outside_5","I don't like outside.","Nemám rád vonku."
"outside_6","Can I go outside?","Môžem ísť von?"
"home","Home","Domov"
"home_2","I love my home.","Milujem svoj domov."
"home_3","I want to go home.","Chcem ísť domov."
"home_4","Where is your home?","Kde je tvoj domov?"
"home_5","Home sweet home.","Domov, sladký domov."
"home_6","I'm in the house.","Som v dome."
"home_7","I'm not in the house.","Nie som v dome."
"hurt","Hurt","hurt"
"hurt_2","I'm hurt.","Som zranený."
"hurt_3","Are you hurt?","Si zranený?"
"hurt_4","Did I hurt you?","Ublížil som ti?"
"hurt_5","I didn't mean to hurt you!","Nechcel som ti ublížiť!"
"hurt_6","Is it going to hurt?","Bude to bolieť?"
"hurt_7","I have a headache.","Bolí ma hlava."
"hurt_8","I have a stomach ache.","Mám bolesti brucha."
"hurt_9","My genitals hurt.","Moje pohlavné orgány bolia."
"hurt_10","My foot hurts.","Bolí ma noha."
"feelings","Feelings","city"
"happy","Happy","Šťasný"
"happy_2","I'm happy.","Som šťastný."
"happy_3","I feel happy.","Cítim sa štastne."
"happy_4","Do you feel happy?","Cítiš sa šťastný?"
"happy_5","I want to feel happy.","Chcem sa cítiť šťastný."
"happy_6","You are making me happy.","Robíš ma šťastným."
"sad","Sad","smutný"
"sad_2","I'm sad.","Som smutný."
"sad_3","I feel sad.","Je mi smutno."
"sad_4","Do you feel sad?","Cítiš sa smutný?"
"sad_5","I don't want to feel sad.","Nechcem sa cítiť smutne."
"sad_6","You are making me sad.","Znepokojuješ ma."
"exhausted","Exhausted","vyčerpaný"
"exhausted_2","I'm exhausted.","Som vyčerpaný."
"exhausted_3","I feel exhausted.","Cítim sa vyčerpaný."
"exhausted_4","Do you feel exhausted?","Cítiš sa vyčerpaný?"
"exhausted_5","I don't want to be exhausted.","Nechcem byť vyčerpaný."
"relaxed","Relaxed","uvoľnená"
"relaxed_2","I'm relaxed.","Som uvoľnený."
"relaxed_3","I feel relaxed.","Cítim sa uvoľnene."
"relaxed_4","Do you feel relaxed?","Cítiš sa uvoľnene?"
"relaxed_5","I want to feel relaxed.","Chcem sa cítiť uvoľnene."
"in-love","In love","Zaľúbený"
"in-love_2","I'm in love.","Som zamilovaný."
"in-love_3","I feel in love.","Cítim sa v láske."
"in-love_4","Are you in love?","Si zamilovaný?"
"in-love_5","I want to fall in love.","Chcem sa zamilovať."
"in-love_6","Do you love me?","Miluješ ma?"
"stressed","Stressed","zdôraznil"
"stressed_2","I'm stressed.","Som vystresovaný."
"stressed_3","I feel stressed.","Cítim sa v strese."
"stressed_4","Do you feel stressed?","Cítiš sa v strese?"
"stressed_5","I don't want to feel stressed.","Nechcem sa cítiť v strese."
"thankful","Thankful","vďačný"
"thankful_2","I'm thankful.","Som vďačný."
"thankful_3","I feel thankful.","Cítim sa vďačný."
"thankful_4","Do you feel thankful?","Cítiš sa vďačný?"
"thankful_5","I want to feel thankful.","Chcem sa cítiť vďačný."
"confused","Confused","zmätený"
"confused_2","I'm confused.","Som zmätený."
"confused_3","I feel confused.","Cítim sa zmätený."
"confused_4","Do you feel confused?","Cítiš sa zmätený?"
"confused_5","You are confusing me.","Mätiš ma."
"joyful","Joyful","rozradostněný"
"joyful_2","I'm joyful.","Som radostná."
"joyful_3","I feel joyful.","Cítim sa radostne."
"joyful_4","Do you feel joyful?","Cítiš sa radostne?"
"joyful_5","I want to feel joyful.","Chcem sa cítiť radostne."
"angry","Angry","nahnevaný"
"angry_2","I'm angry.","Som naštvaný."
"angry_3","I feel angry.","Cítim sa nahnevaný."
"angry_4","Do you feel angry?","Cítiš sa nahnevaný?"
"angry_5","I'm angry at you.","Som na teba nahnevaný."
"angry_6","You are making me angry.","Rozčuľuješ ma."
"smart","Smart","šikovný"
"smart_2","I'm smart.","Som bystrý."
"smart_3","I feel smart.","Cítim sa inteligentný."
"smart_4","Do you feel smart?","Cítiš sa múdro?"
"smart_5","Am I smart?","Som chytrý?"
"smart_6","You are smart!","Ste chytrí!"
"afraid","Afraid","báť"
"afraid_2","I'm afraid.","Bojím sa."
"afraid_3","I feel afraid.","Mám strach."
"afraid_4","Do you feel afraid?","Máte strach?"
"afraid_5","I don't want to feel afraid.","Nechcem sa báť."
"afraid_6","You are scaring me.","Děsíš ma."
"ashamed","Ashamed","zahanbený"
"ashamed_2","I'm ashamed.","Hanbím."
"ashamed_3","I feel ashamed.","Cítim sa zahanbený."
"ashamed_4","Do you feel ashamed?","Cítiš sa hanbiť?"
"ashamed_5","I don't want to feel ashamed.","Nechcem sa hanbiť."
"shocked","Shocked","šokovaný"
"shocked_2","I'm shocked.","Som šokovaný."
"shocked_3","I feel shocked.","Cítim sa šokovaný."
"shocked_4","Do you feel shocked?","Cítiš sa šokovaný?"
"shocked_5","You shocked me.","Šokoval si ma."
"sick","Sick","chorý"
"sick_2","I'm sick.","Som chorý."
"sick_3","I feel sick.","Nie je mi dobre."
"sick_4","Do you feel sick?","Cítiš sa chorý?"
"sick_5","I don't want to be sick.","Nechcem byť chorý."
"sick_6","I'm sick of the food.","Je mi zle jedlo."
"frustrated","Frustrated","Frustrovaný"
"frustrated_2","I'm frustrated.","Som frustrovaný."
"frustrated_3","I feel frustrated.","Cítim sa frustrovaný."
"frustrated_4","Do you feel frustrated?","Cítiš sa frustrovaný?"
"frustrated_5","I don't want to feel frustrated.","Nechcem sa cítiť frustrovaný."
"excited","Excited","vzrušený"
"excited_2","I'm excited.","Som nadšený."
"excited_3","I feel excited.","Cítim sa nadšený."
"excited_4","Do you feel excited?","Cítiš sa nadšený?"
"excited_5","I don't want to feel excited.","Nechcem sa cítiť nadšený."
"nauseated","Nauseated","zhnusený"
"nauseated_2","I'm nauseated.","Som nevoľný."
"nauseated_3","I feel nauseated.","Cítim sa nevoľne."
"nauseated_4","Do you feel nauseated?","Cítiš sa nevoľne?"
"nauseated_5","I don't want to feel nauseated.","Nechcem sa cítiť nevoľne."
"agitated","Agitated","rozrušený"
"agitated_2","I'm agitated.","Som rozrušený."
"agitated_3","I feel agitated.","Cítim sa rozrušený."
"agitated_4","Do you feel agitated?","Cítiš sa vzrušený?"
"agitated_5","I don't want to feel agitated.","Nechcem sa cítiť rozrušený."
"food","Food","jedlo"
"hungry","Hungry","hladný"
"hungry_2","I'm hungry.","Som hladný."
"hungry_3","Are you hungry?","Si hladný?"
"hungry_4","Can you make me food?","Môžete mi dať jedlo?"
"hungry_5","What is for dinner?","Čo je na večeru?"
"thirsty","Thirsty","smädný"
"thirsty_2","I'm thirsty.","Som smädný."
"thirsty_3","Can I have some water?","Môžem dostať vodu?"
"thirsty_4","Can I have a glass of water?","Môžem mať pohár vody?"
"thirsty_5","I want something to drink.","Chcem niečo piť."
"cutlery","Cutlery","príbory"
"cutlery_2","I need cutlery.","Potrebujem príbory."
"cutlery_3","Help me use cutlery.","Pomôžte mi používať príbory."
"cutlery_4","I need a fork.","Potrebujem vidličku."
"cutlery_5","I need a spoon.","Potrebujem lyžicu."
"cutlery_6","I need chopsticks.","Potrebujem paličky."
"cutlery_7","I need a knife.","Potrebujem nôž."
"cutlery_8","I need a napkin.","Potrebujem servítku."
"apple","Apple","jablko"
"apple_2","I like apple.","Mám rád jablko."
"apple_3","I don't like apple.","Nemám rád jablko."
"apple_4","I want to eat an apple.","Chcem jesť jablko."
"carrot","Carrot","mrkva"
"carrot_2","I like carrot.","Páči sa mi mrkva."
"carrot_3","I don't like carrot.","Nepáči sa mi mrkva."
"carrot_4","I want to eat a carrot.","Chcem jesť mrkvu."
"beans","Beans","fazuľa"
"beans_2","I like beans.","Mám rád fazuľa."
"beans_3","I don't like beans.","Nepáči sa mi fazuľa."
"beans_4","I want to eat beans.","Chcem jesť fazuľa."
"chicken_5","I want fried chicken.","Chcem vyprážané kurča."
"chicken_6","I want boiled chicken.","Chcem varené kurča."
"chocolate","Chocolate","čokoláda"
"chocolate_2","I like chocolate.","Mám rád čokoládu."
"chocolate_3","I don't like chocolate.","Nemám rád čokoládu."
"chocolate_4","I want to eat chocolate.","Chcem jesť čokoládu."
"chocolate_5","I want dark chocolate.","Chcem horkú čokoládu."
"chocolate_6","I want white chocolate.","Chcem bielu čokoládu."
"milk","Milk","mlieko"
"milk_2","I like milk.","Mám rada mlieko."
"milk_3","I don't like milk.","Nemám rada mlieko."
"milk_4","I want to drink milk.","Chcem piť mlieko."
"milk_5","Can I have a glass of milk?","Môžem si dať pohár mlieka?"
"sandwich","Sandwich","sendvič"
"sandwich_2","I like sandwich.","Páči sa mi sendvič."
"sandwich_3","I don't like sandwich.","Nemám rád sendvič."
"sandwich_4","I want to eat a sandwich.","Chcem jesť sendvič."
"sandwich_5","Can you make me a sandwich?","Môžete mi urobiť sendvič?"
"steak","Steak","steak"
"steak_2","I like steak.","Páči sa mi steak."
"steak_3","I don't like steak.","Nemám rád steaky."
"steak_4","I want to eat steak.","Chcem jesť steak."
"steak_5","Can you cook steak for me?","Môžete mi variť steaky?"
"banana","Banana","banán"
"banana_2","I like banana.","Páči sa mi banán."
"banana_3","I don't like banana.","Nepáči sa mi banán."
"banana_4","I want to eat a banana.","Chcem jesť banán."
"pie","Pie","koláč"
"pie_2","I like pie.","Mám rád koláč."
"pie_3","I don't like pie.","Nemám rád koláč."
"pie_4","I want to eat pie.","Chcem jesť koláč."
"pie_5","Can you bake a pie for me?","Môžete mi upiecť koláč?"
"egg","Egg","vajíčko"
"egg_2","I like egg.","Mám rada vajce."
"egg_3","I don't like egg.","Nepáči sa mi vajce."
"egg_4","I want to eat egg.","Chcem jesť vajce."
"egg_5","I want fried eggs.","Chcem vyprážané vajcia."
"egg_6","I want boiled eggs.","Chcem varené vajcia."
"noodles","Noodles","rezance"
"noodles_2","I like noodles.","Mám rád rezance."
"noodles_3","I don't like noodles.","Nemám rád rezance."
"noodles_4","I want to eat noodles.","Chcem jesť rezance."
"noodles_5","Can you cook noodles for me?","Môžete mi variť rezance?"
"salt","Salt","soľ"
"salt_2","I want salt.","Chcem soľ."
"salt_3","Can you pass me the salt?","Môžeš mi podať soľ?"
"salt_4","Food is too salty.","Jedlo je príliš slané."
"salt_5","My food needs some salt.","Moje jedlo potrebuje trochu soli."
"spices","Spices","korenie"
"spices_2","I like spicy food.","Mám rád korenené jedlo."
"spices_3","I don't like spicy food.","Nepáči sa mi pikantné jedlo."
"spices_4","I want paprika.","Chcem papriku."
"spices_5","I want black pepper.","Chcem čierne korenie."
"pizza","Pizza","pizza"
"pizza_2","I like pizza.","Mám rád pizzu."
"pizza_3","I don't like pizza.","Nemám rád pizzu."
"pizza_4","I want to eat pizza.","Chcem jesť pizzu."
"pizza_5","Can you cook pizza for me?","Môžete mi variť pizzu?"
"pizza_6","Can we order pizza?","Môžeme si objednať pizzu?"
"cheese","Cheese","syr"
"cheese_2","I like cheese.","Mám rád syr."
"cheese_3","I don't like cheese.","Nemám rád syr."
"cheese_4","I want to eat cheese.","Chcem jesť syr."
"ice-cream","Ice cream","Zmrzlina"
"ice-cream_2","I like ice cream.","Mám rád Zmrzlinu."
"ice-cream_3","I don't like ice cream.","Nemám rada zmrzlinu."
"ice-cream_4","I want to eat ice cream.","Chcem jesť zmrzlinu."
"ice-cream_5","Can you buy ice cream for me?","Môžete mi kúpiť zmrzlinu?"
"tea","Tea","Čaj"
"tea_2","I like tea.","Mám rád čaj."
"tea_3","I don't like tea.","Nemám rád čaj."
"tea_4","I want to drink tea.","Chcem piť čaj."
"tea_5","Can you make tea for me?","Môžete mi pripraviť čaj?"
"coffee","Coffee","káva"
"coffee_2","I like coffee.","Mám rád kávu."
"coffee_3","I don't like coffee.","Nepáči sa mi káva."
"coffee_4","I want to drink coffee.","Chcem piť kávu."
"coffee_5","Can you make coffee for me?","Môžeš pre mňa pripraviť kávu?"
"tomato","Tomato","Paradajka"
"tomato_2","I like tomato.","Páči sa mi paradajka."
"tomato_3","I don't like tomato.","Paradajky sa mi nepáčia."
"tomato_4","I want to eat tomato.","Chcem jesť paradajky."
"cereal","Cereal","obilnina"
"cereal_2","I like cereal.","Páči sa mi cereálie."
"cereal_3","I don't like cereal.","Nepáči sa mi obilnina."
"cereal_4","I want to eat cereal.","Chcem jesť obilniny."
"cereal_5","Can you make my cereal?","Dokážete pripraviť moju obilninu?"
"burger","Burger","hamburger"
"burger_2","I like burger.","Páči sa mi hamburger."
"burger_3","I don't like burger.","Nemám rád hamburger."
"burger_4","I want to eat burger.","Chcem jesť hamburger."
"burger_5","Can you cook burger for me?","Môžete mi variť hamburger?"
"burger_6","Can we order burger?","Môžeme si objednať hamburger?"
"french-fries","French fries","hranolky"
"french-fries_2","I like french fries.","Mám rád hranolky."
"french-fries_3","I don't like french fries.","Nemám rád hranolky."
"french-fries_4","I want to eat french fries.","Chcem jesť hranolky."
"french-fries_5","Can you cook french fries for me?","Môžeš pre mňa variť hranolky?"
"french-fries_6","Can we order french fries?","Môžeme si objednať hranolky?"
"spinach","Spinach","špenát"
"spinach_2","I like spinach.","Páči sa mi špenát."
"spinach_3","I don't like spinach.","Nemám rád špenát."
"spinach_4","I want to eat spinach.","Chcem jesť špenát."
"rice","Rice","ryža"
"rice_2","I like rice.","Mám rád ryžu."
"rice_3","I don't like rice.","Nepáči sa mi ryža."
"rice_4","I want to eat rice.","Chcem jesť ryžu."
"rice_5","Can you cook rice for me?","Môžeš pre mňa uvariť ryžu?"
"bread","Bread","chlieb"
"bread_2","I like bread.","Mám rád chlieb."
"bread_3","I don't like bread.","Nemám rád chlieb."
"bread_4","I want to eat bread.","Chcem jesť chlieb."
"bread_5","Can you buy some bread?","Môžete si kúpiť nejaký chlieb?"
"pasta","Pasta","cestoviny"
"pasta_2","I like pasta.","Páči sa mi cestoviny."
"pasta_3","I don't like pasta.","Nemám rád cestoviny."
"pasta_4","I want to eat pasta.","Chcem jesť cestoviny."
"pasta_5","Can you cook pasta for me?","Môžeš pre mňa variť cestoviny?"
"sauce","Sauce","omáčka"
"sauce_2","I like sauce.","Páči sa mi omáčka."
"sauce_3","I don't like sauce.","Nemám rada omáčku."
"sauce_4","I want some sauce.","Chcem omáčku."
"sauce_5","Can I have ketchup?","Môžem mať kečup?"
"sauce_6","Can I have mayonnaise?","Môžem mať majonézu?"
"sauce_7","Can I have mustard?","Môžem mať horčicu?"
"sauce_8","Can I have ranch sauce?","Môžem mať rančovú omáčku?"
"kebab","Kebab","kebab"
"kebab_2","I like kebab.","Páči sa mi kebab."
"kebab_3","I don't like kebab.","Nepáči sa mi kebab."
"kebab_4","I want to eat kebab.","Chcem jesť kebab."
"kebab_5","Can you cook kebab for me?","Môžeš pre mňa uvariť kebab?"
"kebab_6","Can we order kebab?","Môžeme si objednať kebab?"
"numbers","Numbers","čísla"
"one","One","jeden"
"one_2","One comes before two.","Jeden prichádza pred dvoma."
"one_3","One comes after zero.","Jeden prichádza po nule."
"one_4","I want one.","Chcem jeden."
"two","Two","Dva"
"two_2","Two comes before three.","Dva prichádzajú pred tromi."
"two_3","Two comes after one.","Dva prichádzajú po jednom."
"two_4","I want two.","Chcem dve."
"three","Three","tri"
"three_2","Three comes before four.","Tri prichádzajú pred štyrmi."
"three_3","Three comes after two.","Tri prichádzajú po dvoch."
"three_4","I want three.","Chcem tri."
"four","Four","štyri"
"four_2","Four comes before five.","Štyri prichádzajú pred piatimi."
"four_3","Four comes after three.","Štyri prichádzajú po troch."
"four_4","I want four.","Chcem štyri."
"five","Five","Päť"
"five_2","Five comes before six.","Päť prichádza pred šiestimi."
"five_3","Five comes after four.","Päť prichádza po štyroch."
"five_4","I want five.","Chcem päť."
"six","Six","šesť"
"six_2","Six comes before seven.","Šesť prichádza pred siedmimi."
"six_3","Six comes after five.","Šesť prichádza po piatich."
"six_4","I want fix.","Chcem to opraviť."
"seven","Seven","sedem"
"seven_2","Seven comes before eight.","Sedem prichádza pred ôsmimi."
"seven_3","Seven comes after six.","Sedem prichádza po šiestich."
"seven_4","I want seven.","Chcem sedem."
"eight","Eight","Osem"
"eight_2","Eight comes before nine.","Osem prichádza pred deviatimi."
"eight_3","Eight comes after seven.","Osem príde po siedmich."
"eight_4","I want eight.","Chcem osem."
"nine","Nine","deväť"
"nine_2","Nine comes before ten.","Deväť prichádza pred desiatimi."
"nine_3","Nine comes after eight.","Deväť prichádza po ôsmich."
"nine_4","I want nine.","Chcem deväť."
"ten","Ten","desať"
"ten_2","Ten comes before eleven.","Desať prichádza pred jedenástimi."
"ten_3","Ten comes after nine.","Desať prichádza po deviatej."
"ten_4","I want ten.","Chcem desať."
"eleven","Eleven","jedenásť"
"eleven_2","Eleven comes before thirteen.","Jedenásť prichádza pred trinástimi."
"eleven_3","Eleven comes after ten.","Jedenásť prichádza po desiatej."
"eleven_4","I want eleven.","Chcem jedenásť."
"twenty","Twenty","dvadsať"
"twenty_2","I can count up to twenty.","Môžem počítať až dvadsať."
"thirty","Thirty","tridsať"
"thirty_2","I can count up to thirty.","Môžem počítať až tridsať."
"forty","Forty","štyridsať"
"forty_2","I can count up to forty.","Môžem počítať štyridsať."
"fifty","Fifty","päťdesiat"
"fifty_2","I can count up to fifty.","Môžem počítať až päťdesiat."
"hundred","Hundred","Sto"
"hundred_2","I can count up to hundred.","Môžem počítať až sto."
"thousand","Thousand","Tisíc"
"thousand_2","I can count up to thousand.","Môžem počítať až tisíc."
"calculator","Calculator","kalkulačka"
"calculator_2","I want to use a calculator.","Chcem používať kalkulačku."
"calculator_3","Can you teach me how to use a calculator?","Môžete ma naučiť, ako používať kalkulačku?"
"calculator_4","Can I barrow your calculator?","Môžem kaliť kalkulačku?"
"people","People","ľudia"
"mother","Mother","matka"
"mother_2","Mommy!","Mamina!"
"mother_3","I love my mother.","Milujem svoju matku."
"mother_4","I love you mom.","Milujem ťa mami."
"mother_5","I miss my mom.","Chýba mi moja mama."
"mother_6","Thank you for taking care of me.","Ďakujem za starostlivosť o mňa."
"mother_7","She is my mom.","Je to moja mama."
"mother_8","Can you help me find my mother?","Môžete mi pomôcť nájsť moju matku?"
"father","Father","otec"
"father_2","Daddy!","Tati!"
"father_3","I love my father.","Milujem svojho otca."
"father_4","I love you dad.","Milujem ťa otec."
"father_5","I miss my dad.","Chýba mi môj otec."
"father_6","Thank you for taking care of me.","Ďakujem za starostlivosť o mňa."
"father_7","He is my dad.","Je to môj otec."
"father_8","Can you help me find my father?","Môžete mi pomôcť nájsť môjho otca?"
"parents","Parents","rodičia"
"parents_2","I love my parents.","Milujem mojich rodičov."
"parents_3","I love my parents.","Milujem mojich rodičov."
"parents_4","I miss my parents.","Chýbajú mi rodičia."
"parents_5","They are my parents.","Oni sú moji rodičia."
"parents_6","My parents are taking care of me.","Moji rodičia sa o mňa starajú."
"parents_8","Can you help me find my parents?","Môžete mi pomôcť nájsť mojich rodičov?"
"grandparents","Grandparents","prarodičia"
"grandparents_2","I love my grandparents.","Milujem svojich starých rodičov."
"grandparents_3","I love you grandparents.","Milujem vás starí rodičia."
"grandparents_4","I miss my grandparents.","Chýbajú mi starí rodičia."
"grandparents_5","They are my grandparents.","Sú to moji starí rodičia."
"grandparents_6","My grandparents are taking care of me.","Moji starí rodičia sa o mňa starajú."
"grandparents_8","Can you help me find my grandparents?","Môžete mi pomôcť nájsť svojich starých rodičov?"
"brother","Brother","brat"
"brother_2","I love my brother.","Milujem svojho brata."
"brother_3","I love you brother.","Milujem ťa brat."
"brother_4","I miss my brother.","Chýba mi môj brat."
"brother_5","He is my brother.","On je môj brat."
"brother_6","My brother is taking care of me.","Môj brat sa o mňa stará."
"brother_8","Can you help me find my brother?","Môžete mi pomôcť nájsť môjho brata?"
"sister","Sister","sestra"
"sister_2","I love my sister.","Milujem svoju sestru."
"sister_3","I love you sister.","Ľúbim ťa sestra."
"sister_4","I miss my sister.","Chýba mi moja sestra."
"sister_5","She is my sister.","Je to moja sestra."
"sister_6","My sister is taking care of me.","Moja sestra sa o mňa stará."
"sister_8","Can you help me find my sister?","Môžete mi pomôcť nájsť moju sestru?"
"uncle","Uncle","strýko"
"uncle_2","I love my uncle.","Milujem svojho strýka."
"uncle_3","I love you uncle.","Milujem ťa strýko."
"uncle_4","I miss my uncle.","Chýba mi môj strýko."
"uncle_5","He is my uncle.","Je to môj strýko."
"uncle_8","Can you help me find my uncle?","Môžete mi pomôcť nájsť môjho strýka?"
"aunt","Aunt","teta"
"aunt_2","I love my aunt.","Milujem svoju tetu."
"aunt_3","I love you aunt.","Milujem ťa teta."
"aunt_4","I miss my aunt.","Chýba mi moja teta."
"aunt_5","She is my aunt.","Je to moja teta."
"aunt_8","Can you help me find my aunt?","Môžete mi pomôcť nájsť tetu?"
"teacher","Teacher","učiteľ"
"teacher_2","I love my teacher.","Milujem svojho učiteľa."
"teacher_3","I love you teacher.","Milujem ťa učiteľ."
"teacher_4","I don't like my teacher.","Nepáči sa mi môj učiteľ."
"teacher_5","I miss my teacher.","Chýba mi môj učiteľ."
"teacher_6","Thank you for the lesson.","Ďakujem za lekciu."
"therapist","Therapist","terapeut"
"therapist_2","I love my therapist.","Milujem svojho terapeuta."
"therapist_3","I love you therapist.","Milujem ťa terapeuta."
"therapist_4","I don't like my therapist.","Nepáči sa mi môj terapeut."
"therapist_5","I miss my therapist.","Chýba mi môj terapeut."
"therapist_6","Thank you for the session.","Ďakujem za stretnutie."
"doctor","Doctor","lekár"
"doctor_2","I love my doctor.","Milujem svojho lekára."
"doctor_3","I love you doctor.","Milujem ťa doktor."
"doctor_4","I don't like my doctor.","Nepáči sa mi môj doktor."
"doctor_5","I miss my doctor.","Chýba mi doktor."
"doctor_6","Thank you for healing me.","Ďakujem, že si ma uzdravil."
"friends","Friends","Priatelia"
