"activities","Activities","Activități"
"turquoise_4","Can you give me turquoise paint?","Îmi poți oferi vopsea turcoaz?"
"lime","Lime","Lămâie verde"
"lime_2","It is lime.","Este var."
"lime_3","My favorite color is lime.","Culoarea mea preferată este varul."
"lime_4","Can you give me lime paint?","Îmi poți da vopsea de var?"
"plum","Plum","Prună"
"plum_2","It is plum.","Este pruna."
"plum_3","My favorite color is plum.","Culoarea mea preferată este pruna."
"plum_4","Can you give me plum paint?","Îmi poți da vopsea cu prune?"
"tan","Tan","Bronza"
"tan_2","It is tan color.","Este culoare bronzată."
"tan_3","My favorite color is tan color.","Culoarea mea preferată este culoarea bronzată."
"tan_4","Can you give me tan color paint?","Îmi poți oferi vopsea de culoare bronzată?"
"avocado","Avocado","Avocado"
"avocado_2","It is avocado color.","Este de culoare avocado."
"avocado_3","My favorite color is avocado color.","Culoarea mea preferată este culoarea de avocado."
"avocado_4","Can you give me avocado color paint?","Îmi poți oferi vopsea de culoare avocado?"
"barbie-pink","Barbie pink","Barbie roz"
"barbie-pink_2","It is barbie pink color.","Este culoarea roz barbie."
"barbie-pink_3","My favorite color is barbie pink.","Culoarea mea preferată este rozul barbie."
"barbie-pink_4","Can you give me barbie pink paint?","Îmi poți oferi vopsea roz barbie?"
"blizzard-blue","Blizzard blue","Blizzard albastru"
"blizzard-blue_2","It is blizzard blue color.","Este de culoare albastru viscol."
"blizzard-blue_3","My favorite color is blizzard blue color.","Culoarea mea preferată este culoarea albastru viscol."
"blizzard-blue_4","Can you give me blizzard blue paint?","Îmi poți oferi vopsea albastru viscol?"
"conversation","Conversation","Conversaţie"
"me","Me","Pe mine"
"me_2","My name is {name}","Numele meu este {name}"
"me_3","I'm {name}","Sunt {nume}"
"me_4","Do you know my name?","Îmi cunoști numele?"
"me_5","What is your name?","Cum te numești?"
"me_6","Nice to meet you!","Încântat de cunoștință!"
"me_7","Do you like me?","Ma placi?"
"me_8","Can we be friends?","Putem fi prieteni?"
"me_9","I'm using assistive communication app.","Folosesc aplicația de comunicare asistativă."
"me_10","Who are you?","Cine ești tu?"
"hello","Hello","buna"
"hello_2","Hello.","Buna."
"hello_3","Hi.","Salut."
"hello_4","Greetings.","Salutari."
"hello_5","How are you?","Ce mai faci?"
"hello_6","Nice to meet you!","Încântat de cunoștință!"
"help","Help","Ajutor"
"help_2","Help me.","Ajuta-ma."
"help_3","Can you help me?","Ma poti ajuta?"
"help_4","I need help","am nevoie de ajutor"
"help_5","Do you need help?","Ai nevoie de ajutor?"
"yes","Yes","da"
"yes_2","Yes.","Da."
"yes_3","Yes please.","Da, te rog."
"yes_4","Alright.","În regulă."
"yes_5","Agreed.","De acord."
"yes_6","I want to.","Vreau sa."
"yes_7","I would like to.","Mi-ar placea sa."
"no","No","Nu"
"no_2","No.","Nu."
"no_3","Nope.","Nu."
"no_4","Never.","Nu."
"no_5","I don't want to.","Nu vreau."
"no_6","I don't like it.","Nu-mi place."
"no_7","You don't like it?","Nu-ți place?"
"no_8","Why you don't like it?","De ce nu îți place?"
"toilet","Toilet","Toaletă"
"toilet_2","I need to go to the toilet.","Am nevoie să merg la toaletă."
"toilet_3","I need to pee.","Eu am nevoie să fac pipi."
"toilet_4","I need to poop.","Am nevoie să cânt."
"toilet_5","Can you help me go to the toilet?","Mă poți ajuta să merg la toaletă?"
"toilet_6","Can you help me clean?","Ma poti ajuta sa curat?"
"toilet_7","I peed myself.","M-am făcut pipi."
"toilet_8","I pooped myself.","M-am poezat."
"what","What","Ce"
"what_2","What is that?","Ce este asta?"
"what_3","What does it mean?","Ce înseamnă?"
"what_4","What do you mean?","Ce vrei sa spui?"
"what_5","Can you explain it?","Îl poți explica?"
"what_6","Can you repeat what you said?","Poți repeta ceea ce ai spus?"
"what_7","I don't understand.","Nu inteleg."
"sleep","Sleep","Dormi"
"sleep_2","I want to sleep.","Vreau sa dorm."
"sleep_3","I don't want to sleep.","Nu vreau să dorm."
"sleep_4","I'm tired.","Sunt obosit."
"sleep_5","Are you tired?","Ești obosit?"
"sleep_6","When am I going to sleep?","Când mă culc?"
"sleep_7","I want to take a nap.","Vreau sa trag un pui de somn."
"bath","Bath","Baie"
"bath_2","I want to take a bath.","Vreau să fac o baie."
"bath_3","I like taking a bath.","Îmi place să fac baie."
"bath_4","I want to wash my hands.","Vreau să mă spăl pe mâini."
"bath_5","I want to take a shower.","Eu vreau sa fac un dus."
"bath_6","I want to clean myself.","Vreau să mă curăț."
"bath_7","Can you help me take a bath?","Mă poți ajuta să fac baie?"
"bath_8","I don't want to take a bath.","Nu vreau să fac baie."
"listen","Listen","Asculta"
"listen_2","Listen to me.","Asculta-ma."
"listen_3","Can you listen to me?","Mă poți asculta?"
"listen_4","Listen to music.","Asculta muzica."
"listen_5","Listening to my parents.","Ascultându-mi părinții."
"listen_6","Listen to what my application is saying!","Ascultă ce spune aplicația mea!"
"morning","Morning","Dimineaţă"
"morning_2","Good morning.","Buna dimineata."
"morning_3","I like mornings.","Îmi plac diminețile."
"morning_4","In the morning.","Dimineața."
"morning_5","Morning time.","Dimineața."
"morning_6","Is it morning?","Este dimineață?"
"night","Night","Noapte"
"night_2","Good night!","Noapte bună!"
"night_3","I like nights.","Îmi plac nopțile."
"night_4","At night.","Noaptea."
"night_5","Night time.","Noaptea."
"night_6","Is it night?","E noapte?"
"look","Look","Uite"
"look_2","Look at me.","Uita-te la mine."
"look_3","Look at this.","Uita-te la asta."
"look_4","Are you looking?","Te uiti?"
"look_5","Look at my drawing.","Uită-te la desenul meu."
"look_6","How do I look?","Cum arăt?"
"look_7","Look what I did.","Uite ce am făcut."
"look_8","Let's look at that.","Să ne uităm la asta."
"speak","Speak","Vorbi"
"speak_2","I'm learning how to speak.","Învăț cum să vorbesc."
"speak_3","I want to speak.","Vreau sa vorbesc."
"speak_4","Can I speak with you?","Pot vorbi cu tine?"
"speak_5","I like speaking.","Îmi place să vorbesc."
"speak_6","I'm using assistive communication app.","Folosesc aplicația de comunicare asistativă."
"play","Play","Joaca"
"play_2","I love playing.","Imi place sa ma joc."
"play_3","Can you play with me?","Te poți juca cu mine?"
"play_4","I want to play with you!","Vreau să mă joc cu tine!"
"play_5","I want to play with my friends.","Vreau să mă joc cu prietenii mei."
"play_6","I don't want to play with you.","Nu vreau să mă joc cu tine."
"outside","Outside","In afara"
"outside_2","I love going outside.","Îmi place să merg afară."
"outside_3","I want to go outside.","Vreau să ies afară."
"outside_4","Is it cold outside?","Este frig afară?"
"outside_5","I don't like outside.","Nu-mi place afară."
"outside_6","Can I go outside?","Pot ieși afară?"
"home","Home","Acasă"
"home_2","I love my home.","Îmi iubesc casa."
"home_3","I want to go home.","Vreau să mă duc acasă."
"home_4","Where is your home?","Unde este casa ta?"
"home_5","Home sweet home.","Casă dulce casă."
"home_6","I'm in the house.","Sunt în casă."
"home_7","I'm not in the house.","Nu sunt în casă."
"hurt","Hurt","Rănit"
"hurt_2","I'm hurt.","Eu sunt rănit."
"hurt_3","Are you hurt?","Ești rănit?"
"hurt_4","Did I hurt you?","Te-am rănit?"
"hurt_5","I didn't mean to hurt you!","N-am vrut să-ți fac rău!"
"hurt_6","Is it going to hurt?","O să doară?"
"hurt_7","I have a headache.","Mă doare capul."
"hurt_8","I have a stomach ache.","Mă doare stomacul."
"hurt_9","My genitals hurt.","Genitalele mele mă doare."
"hurt_10","My foot hurts.","Ma dor picioarele."
"feelings","Feelings","sentimente"
"happy","Happy","Fericit"
"happy_2","I'm happy.","Sunt fericit."
"happy_3","I feel happy.","Ma simt bucuros."
"happy_4","Do you feel happy?","Te simți fericit?"
"happy_5","I want to feel happy.","Vreau să mă simt fericit."
"happy_6","You are making me happy.","Mă faci fericită."
"sad","Sad","Trist"
"sad_2","I'm sad.","Sunt trist."
"sad_3","I feel sad.","Ma simt trist."
"sad_4","Do you feel sad?","Te simți trist?"
"sad_5","I don't want to feel sad.","Nu vreau să mă simt trist."
"sad_6","You are making me sad.","Mă faci trist."
"exhausted","Exhausted","Epuizat"
"exhausted_2","I'm exhausted.","Sunt extenuat."
"exhausted_3","I feel exhausted.","Mă simt epuizat."
"exhausted_4","Do you feel exhausted?","Te simți epuizat?"
"exhausted_5","I don't want to be exhausted.","Nu vreau să fiu epuizat."
"relaxed","Relaxed","Relaxat"
"relaxed_2","I'm relaxed.","Sunt relaxat."
"relaxed_3","I feel relaxed.","Mă simt relaxat."
"relaxed_4","Do you feel relaxed?","Te simți relaxat?"
"relaxed_5","I want to feel relaxed.","Vreau să mă simt relaxat."
"in-love","In love","Îndrăgostit"
"in-love_2","I'm in love.","Sunt îndrăgostit."
"in-love_3","I feel in love.","Ma simt indragostit."
"in-love_4","Are you in love?","Esti indragostit?"
"in-love_5","I want to fall in love.","Vreau sa ma indragostesc."
"in-love_6","Do you love me?","Ma iubesti?"
"stressed","Stressed","Accentuat"
"stressed_2","I'm stressed.","Sunt stresat."
"stressed_3","I feel stressed.","Ma simt stresat."
"stressed_4","Do you feel stressed?","Te simți stresat?"
"stressed_5","I don't want to feel stressed.","Nu vreau să mă simt stresat."
"thankful","Thankful","Recunoscător"
"thankful_2","I'm thankful.","Sunt recunoscator."
"thankful_3","I feel thankful.","Mă simt recunoscător."
"thankful_4","Do you feel thankful?","Te simți recunoscător?"
"thankful_5","I want to feel thankful.","Vreau să mă simt recunoscător."
"confused","Confused","Confuz"
"confused_2","I'm confused.","Sunt derutat."
"confused_3","I feel confused.","Ma simt confuz."
"confused_4","Do you feel confused?","Te simți confuz?"
"confused_5","You are confusing me.","Tu mă confunzi."
"joyful","Joyful","Vesel"
"joyful_2","I'm joyful.","Sunt vesel."
"joyful_3","I feel joyful.","Mă simt bucuroasă."
"joyful_4","Do you feel joyful?","Te simți bucuros?"
"joyful_5","I want to feel joyful.","Vreau să mă simt bucuroasă."
"angry","Angry","Furios"
"angry_2","I'm angry.","Sunt furios."
"angry_3","I feel angry.","Sunt nervos."
"angry_4","Do you feel angry?","Te simți supărat?"
"angry_5","I'm angry at you.","Sunt supărat pe tine."
"angry_6","You are making me angry.","Mă enervezi."
"smart","Smart","Inteligent"
"smart_2","I'm smart.","Sunt destept."
"smart_3","I feel smart.","Mă simt inteligent."
"smart_4","Do you feel smart?","Te simți inteligent?"
"smart_5","Am I smart?","Sunt inteligent?"
"smart_6","You are smart!","Esti destept!"
"afraid","Afraid","speriat"
"afraid_2","I'm afraid.","Mă tem."
"afraid_3","I feel afraid.","Mi-e frică."
"afraid_4","Do you feel afraid?","Te simți frică?"
"afraid_5","I don't want to feel afraid.","Nu vreau să mă simt frică."
"afraid_6","You are scaring me.","Tu ma sperii."
"ashamed","Ashamed","Ruşinat"
"ashamed_2","I'm ashamed.","Sunt rusinat."
"ashamed_3","I feel ashamed.","Ma simt rusinat."
"ashamed_4","Do you feel ashamed?","Te simți rușinat?"
"ashamed_5","I don't want to feel ashamed.","Nu vreau să mă simt rușinat."
"shocked","Shocked","şocat"
"shocked_2","I'm shocked.","Sunt șocat."
"shocked_3","I feel shocked.","Mă simt șocat."
"shocked_4","Do you feel shocked?","Te simți șocat?"
"shocked_5","You shocked me.","M-ai șocat."
"sick","Sick","Bolnav"
"sick_2","I'm sick.","Sunt bolnav."
"sick_3","I feel sick.","Ma simt rau."
"sick_4","Do you feel sick?","Te simți rău?"
"sick_5","I don't want to be sick.","Nu vreau să fiu bolnav."
"sick_6","I'm sick of the food.","M-am săturat de mâncare."
"frustrated","Frustrated","Frustrat"
"frustrated_2","I'm frustrated.","Sunt frustrat."
"frustrated_3","I feel frustrated.","Mă simt frustrat."
"frustrated_4","Do you feel frustrated?","Te simți frustrat?"
"frustrated_5","I don't want to feel frustrated.","Nu vreau să mă simt frustrat."
"excited","Excited","Excitat"
"excited_2","I'm excited.","Sunt entuziasmat."
"excited_3","I feel excited.","Mă simt entuziasmat."
"excited_4","Do you feel excited?","Te simți emoționat?"
"excited_5","I don't want to feel excited.","Nu vreau să mă simt entuziasmat."
"nauseated","Nauseated","nauseated"
"nauseated_2","I'm nauseated.","Sunt greață."
"nauseated_3","I feel nauseated.","Mă simt greață."
"nauseated_4","Do you feel nauseated?","Te simți greață?"
"nauseated_5","I don't want to feel nauseated.","Nu vreau să mă simt greață."
"agitated","Agitated","Agitat"
"agitated_2","I'm agitated.","Sunt agitat."
"agitated_3","I feel agitated.","Mă simt agitat."
"agitated_4","Do you feel agitated?","Te simți agitat?"
"agitated_5","I don't want to feel agitated.","Nu vreau să mă simt agitat."
"food","Food","Alimente"
"hungry","Hungry","înfometat"
"hungry_2","I'm hungry.","Sunt infometat."
"hungry_3","Are you hungry?","Iti este foame?"
"hungry_4","Can you make me food?","Îmi poți face mâncare?"
"hungry_5","What is for dinner?","Ce avem la cina?"
"thirsty","Thirsty","Însetat"
"thirsty_2","I'm thirsty.","Imi este sete."
"thirsty_3","Can I have some water?","Pot avea apă?"
"thirsty_4","Can I have a glass of water?","Pot să beau un pahar cu apă?"
"thirsty_5","I want something to drink.","Vreau ceva de băut."
"cutlery","Cutlery","Tacâmuri"
"cutlery_2","I need cutlery.","Am nevoie de tacâmuri."
"cutlery_3","Help me use cutlery.","Ajută-mă să folosesc tacâmuri."
"cutlery_4","I need a fork.","Am nevoie de o furculiță."
"cutlery_5","I need a spoon.","Am nevoie de o lingură."
"cutlery_6","I need chopsticks.","Am nevoie de betisoare."
"cutlery_7","I need a knife.","Am nevoie de un cuțit."
"cutlery_8","I need a napkin.","Am nevoie de un șervețel."
"apple","Apple","măr"
"apple_2","I like apple.","Îmi plac merele."
"apple_3","I don't like apple.","Nu-mi place mărul."
"apple_4","I want to eat an apple.","Vreau să mănânc un măr."
"carrot","Carrot","Morcov"
"carrot_2","I like carrot.","Imi place morcovul."
"carrot_3","I don't like carrot.","Nu-mi place morcovul."
"carrot_4","I want to eat a carrot.","Vreau să mănânc morcov."
"beans","Beans","Fasole"
"beans_2","I like beans.","Îmi plac fasolea."
"beans_3","I don't like beans.","Nu-mi plac fasolea."
"beans_4","I want to eat beans.","Vreau să mănânc fasole."
"chicken_5","I want fried chicken.","Vreau pui prăjit."
"chicken_6","I want boiled chicken.","Vreau pui fiert."
"chocolate","Chocolate","Ciocolată"
"chocolate_2","I like chocolate.","Imi place ciocolata."
"chocolate_3","I don't like chocolate.","Nu-mi place ciocolata."
"chocolate_4","I want to eat chocolate.","Vreau să mănânc ciocolată."
"chocolate_5","I want dark chocolate.","Vreau ciocolata neagra."
"chocolate_6","I want white chocolate.","Vreau ciocolata alba."
"milk","Milk","Lapte"
"milk_2","I like milk.","Imi place laptele."
"milk_3","I don't like milk.","Nu-mi place laptele."
"milk_4","I want to drink milk.","Vreau să beau lapte."
"milk_5","Can I have a glass of milk?","Pot să beau un pahar de lapte?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Îmi place sandvișul."
"sandwich_3","I don't like sandwich.","Nu-mi place sandvișul."
"sandwich_4","I want to eat a sandwich.","Vreau să mănânc un sandviș."
"sandwich_5","Can you make me a sandwich?","Poți să-mi faci un sandwich?"
"steak","Steak","Friptură"
"steak_2","I like steak.","Îmi place friptura."
"steak_3","I don't like steak.","Nu-mi place friptura."
"steak_4","I want to eat steak.","Vreau să mănânc friptură."
"steak_5","Can you cook steak for me?","Puteți găti friptura pentru mine?"
"banana","Banana","Banană"
"banana_2","I like banana.","Imi place banana."
"banana_3","I don't like banana.","Nu-mi place banana."
"banana_4","I want to eat a banana.","Vreau să mănânc o banană."
"pie","Pie","Plăcintă"
"pie_2","I like pie.","Îmi place plăcinta."
"pie_3","I don't like pie.","Nu-mi place plăcinta."
"pie_4","I want to eat pie.","Vreau să mănânc plăcintă."
"pie_5","Can you bake a pie for me?","Puteți coace o plăcintă pentru mine?"
"egg","Egg","Ou"
"egg_2","I like egg.","Îmi place oul."
"egg_3","I don't like egg.","Nu-mi place oul."
"egg_4","I want to eat egg.","Vreau să mănânc ou."
"egg_5","I want fried eggs.","Vreau ouă prăjite."
"egg_6","I want boiled eggs.","Vreau ouă fierte."
"noodles","Noodles","tăiței"
"noodles_2","I like noodles.","Îmi plac tăiței."
"noodles_3","I don't like noodles.","Nu-mi plac fideaua."
"noodles_4","I want to eat noodles.","Vreau să mănânc tăiței."
"noodles_5","Can you cook noodles for me?","Poți să gătești tăiței pentru mine?"
"salt","Salt","Sare"
"salt_2","I want salt.","Vreau sare."
"salt_3","Can you pass me the salt?","Poți să-mi treci sarea?"
"salt_4","Food is too salty.","Mâncarea este prea sărată."
"salt_5","My food needs some salt.","Mâncarea mea are nevoie de puțină sare."
"spices","Spices","condimente"
"spices_2","I like spicy food.","Îmi place mâncarea condimentată."
"spices_3","I don't like spicy food.","Nu-mi place mâncarea condimentată."
"spices_4","I want paprika.","Vreau paprika."
"spices_5","I want black pepper.","Vreau piper negru."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Imi place pizza."
"pizza_3","I don't like pizza.","Nu-mi place pizza."
"pizza_4","I want to eat pizza.","Vreau sa mananc pizza."
"pizza_5","Can you cook pizza for me?","Puteți găti pizza pentru mine?"
"pizza_6","Can we order pizza?","Putem comanda pizza?"
"cheese","Cheese","Brânză"
"cheese_2","I like cheese.","Îmi place brânza."
"cheese_3","I don't like cheese.","Nu-mi place brânza."
"cheese_4","I want to eat cheese.","Vreau să mănânc brânză."
"ice-cream","Ice cream","Inghetata"
"ice-cream_2","I like ice cream.","Imi place inghetata."
"ice-cream_3","I don't like ice cream.","Nu-mi place înghețata."
"ice-cream_4","I want to eat ice cream.","Vreau să mănânc înghețată."
"ice-cream_5","Can you buy ice cream for me?","Puteți cumpăra înghețată pentru mine?"
"tea","Tea","Ceai"
"tea_2","I like tea.","Imi place ceaiul."
"tea_3","I don't like tea.","Nu-mi place ceaiul."
"tea_4","I want to drink tea.","Vreau să beau ceai."
"tea_5","Can you make tea for me?","Puteți face ceai pentru mine?"
"coffee","Coffee","Cafea"
"coffee_2","I like coffee.","Imi place cafeaua."
"coffee_3","I don't like coffee.","Nu-mi place cafeaua."
"coffee_4","I want to drink coffee.","Vreau să beau cafea."
"coffee_5","Can you make coffee for me?","Îmi poți face cafea?"
"tomato","Tomato","Roșie"
"tomato_2","I like tomato.","Îmi place roșia."
"tomato_3","I don't like tomato.","Nu-mi place roșia."
"tomato_4","I want to eat tomato.","Vreau să mănânc roșii."
"cereal","Cereal","Cereale"
"cereal_2","I like cereal.","Îmi plac cerealele."
"cereal_3","I don't like cereal.","Nu-mi plac cerealele."
"cereal_4","I want to eat cereal.","Vreau să mănânc cereale."
"cereal_5","Can you make my cereal?","Îmi poți face cereale?"
"burger","Burger","Burger"
"burger_2","I like burger.","Îmi place burgerul."
"burger_3","I don't like burger.","Nu-mi place burgerul."
"burger_4","I want to eat burger.","Vreau să mănânc burger."
"burger_5","Can you cook burger for me?","Poți să gătești burger pentru mine?"
"burger_6","Can we order burger?","Putem comanda burger?"
"french-fries","French fries","cartofi prăjiți"
"french-fries_2","I like french fries.","Îmi plac cartofii prăjiți."
"french-fries_3","I don't like french fries.","Nu-mi plac cartofii prăjiți."
"french-fries_4","I want to eat french fries.","Vreau să mănânc cartofi prăjiți."
"french-fries_5","Can you cook french fries for me?","Puteți găti cartofi prăjiți pentru mine?"
"french-fries_6","Can we order french fries?","Putem comanda cartofi prăjiți?"
"spinach","Spinach","Spanac"
"spinach_2","I like spinach.","Îmi plac spanacul."
"spinach_3","I don't like spinach.","Nu-mi place spanacul."
"spinach_4","I want to eat spinach.","Vreau să mănânc spanac."
"rice","Rice","Orez"
"rice_2","I like rice.","Imi place orezul."
"rice_3","I don't like rice.","Nu-mi place orezul."
"rice_4","I want to eat rice.","Vreau să mănânc orez."
"rice_5","Can you cook rice for me?","Poți găti orez pentru mine?"
"bread","Bread","Pâine"
"bread_2","I like bread.","Imi place painea."
"bread_3","I don't like bread.","Nu-mi place pâinea."
"bread_4","I want to eat bread.","Vreau să mănânc pâine."
"bread_5","Can you buy some bread?","Puteți cumpăra niște pâine?"
"pasta","Pasta","Paste"
"pasta_2","I like pasta.","Îmi plac pastele."
"pasta_3","I don't like pasta.","Nu-mi plac pastele."
"pasta_4","I want to eat pasta.","Vreau să mănânc paste."
"pasta_5","Can you cook pasta for me?","Poți să gătești paste pentru mine?"
"sauce","Sauce","Sos"
"sauce_2","I like sauce.","Îmi place sosul."
"sauce_3","I don't like sauce.","Nu-mi place sosul."
"sauce_4","I want some sauce.","Vreau sos."
"sauce_5","Can I have ketchup?","Pot avea ketchup?"
"sauce_6","Can I have mayonnaise?","Pot avea maioneză?"
"sauce_7","Can I have mustard?","Pot avea muștar?"
"sauce_8","Can I have ranch sauce?","Pot să am sos de ranch?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Îmi place kebabul."
"kebab_3","I don't like kebab.","Nu-mi place kebabul."
"kebab_4","I want to eat kebab.","Vreau să mănânc kebab."
"kebab_5","Can you cook kebab for me?","Poți să gătești kebab pentru mine?"
"kebab_6","Can we order kebab?","Putem comanda kebab?"
"numbers","Numbers","numere"
"one","One","unu"
"one_2","One comes before two.","Unul vine înainte de două."
"one_3","One comes after zero.","Unul vine după zero."
"one_4","I want one.","Vreau una."
"two","Two","Două"
"two_2","Two comes before three.","Doi vin înainte de trei."
"two_3","Two comes after one.","Doi vin după unul."
"two_4","I want two.","Vreau două."
"three","Three","Trei"
"three_2","Three comes before four.","Trei vin înainte de patru."
"three_3","Three comes after two.","Trei vin după două."
"three_4","I want three.","Vreau trei."
"four","Four","patru"
"four_2","Four comes before five.","Patru vine înainte de cinci."
"four_3","Four comes after three.","Patru vine după trei."
"four_4","I want four.","Vreau patru."
"five","Five","Cinci"
"five_2","Five comes before six.","Cinci vin înainte de șase."
"five_3","Five comes after four.","Cinci vin după patru."
"five_4","I want five.","Vreau cinci."
"six","Six","Şase"
"six_2","Six comes before seven.","Șase vine înainte de șapte."
"six_3","Six comes after five.","Șase vine după cinci."
"six_4","I want fix.","Vreau remediere."
"seven","Seven","Șapte"
"seven_2","Seven comes before eight.","Șapte vin înainte de opt."
"seven_3","Seven comes after six.","Șapte vin după șase."
"seven_4","I want seven.","Vreau șapte."
"eight","Eight","Opt"
"eight_2","Eight comes before nine.","Opt vin înainte de nouă."
"eight_3","Eight comes after seven.","Opt vin după șapte."
"eight_4","I want eight.","Vreau opt."
"nine","Nine","Nouă"
"nine_2","Nine comes before ten.","Nouă vine înainte de zece."
"nine_3","Nine comes after eight.","Nouă vine după opt."
"nine_4","I want nine.","Vreau nouă."
"ten","Ten","Zece"
"ten_2","Ten comes before eleven.","Zece vine înainte de unsprezece."
"ten_3","Ten comes after nine.","Zece vine după nouă."
"ten_4","I want ten.","Vreau zece."
"eleven","Eleven","Unsprezece"
"eleven_2","Eleven comes before thirteen.","Unsprezece vine înainte de treisprezece ani."
"eleven_3","Eleven comes after ten.","Unsprezece vine după zece."
"eleven_4","I want eleven.","Vreau unsprezece."
"twenty","Twenty","Douăzeci"
"twenty_2","I can count up to twenty.","Pot număra până la douăzeci."
"thirty","Thirty","Treizeci"
"thirty_2","I can count up to thirty.","Pot număra până la treizeci."
"forty","Forty","Patruzeci"
"forty_2","I can count up to forty.","Pot număra până la patruzeci."
"fifty","Fifty","Cincizeci"
"fifty_2","I can count up to fifty.","Pot număra până la cincizeci."
"hundred","Hundred","Sută"
"hundred_2","I can count up to hundred.","Pot număra până la sute."
"thousand","Thousand","Mie"
"thousand_2","I can count up to thousand.","Pot număra până la mii."
"calculator","Calculator","Calculator"
"calculator_2","I want to use a calculator.","Vreau să folosesc un calculator."
"calculator_3","Can you teach me how to use a calculator?","Poți să mă înveți cum să folosesc un calculator?"
"calculator_4","Can I barrow your calculator?","Pot să vă calculez calculatorul?"
"people","People","oameni"
"mother","Mother","Mamă"
"mother_2","Mommy!","Mami!"
"mother_3","I love my mother.","Îmi place mama mea."
"mother_4","I love you mom.","Te iubesc mama."
"mother_5","I miss my mom.","Îmi este dor de mama mea."
"mother_6","Thank you for taking care of me.","Mulțumesc că ai grijă de mine."
"mother_7","She is my mom.","Ea este mama mea."
"mother_8","Can you help me find my mother?","Mă poți ajuta să-mi găsesc mama?"
"father","Father","Tată"
"father_2","Daddy!","Tati!"
"father_3","I love my father.","Îmi iubesc tatăl."
"father_4","I love you dad.","Te iubesc tata."
"father_5","I miss my dad.","Mi-e dor de tatăl meu."
"father_6","Thank you for taking care of me.","Mulțumesc că ai grijă de mine."
"father_7","He is my dad.","El este tatăl meu."
"father_8","Can you help me find my father?","Mă poți ajuta să-mi găsesc tatăl?"
"parents","Parents","Părinţi"
"parents_2","I love my parents.","Îmi iubesc părinții."
"parents_3","I love my parents.","Îmi iubesc părinții."
"parents_4","I miss my parents.","Mi-e dor de părinții mei."
"parents_5","They are my parents.","Ei sunt parintii mei."
"parents_6","My parents are taking care of me.","Părinții mei au grijă de mine."
"parents_8","Can you help me find my parents?","Mă poți ajuta să-mi găsesc părinții?"
"grandparents","Grandparents","bunici"
"grandparents_2","I love my grandparents.","Îmi iubesc bunicii."
"grandparents_3","I love you grandparents.","Te iubesc bunici."
"grandparents_4","I miss my grandparents.","Mi-e dor de bunici."
"grandparents_5","They are my grandparents.","Sunt bunicii mei."
"grandparents_6","My grandparents are taking care of me.","Bunicii mei au grijă de mine."
"grandparents_8","Can you help me find my grandparents?","Mă poți ajuta să-mi găsesc bunicii?"
"brother","Brother","Frate"
"brother_2","I love my brother.","Imi iubesc fratele."
"brother_3","I love you brother.","Te iubesc, frate."
"brother_4","I miss my brother.","Mi-e dor de fratele meu."
"brother_5","He is my brother.","El este fratele meu."
"brother_6","My brother is taking care of me.","Fratele meu are grijă de mine."
"brother_8","Can you help me find my brother?","Mă poți ajuta să-mi găsesc fratele?"
"sister","Sister","soră"
"sister_2","I love my sister.","O iubesc pe sora mea."
"sister_3","I love you sister.","Te iubesc sora."
"sister_4","I miss my sister.","Mi-e dor de sora mea."
"sister_5","She is my sister.","Ea este sora mea."
"sister_6","My sister is taking care of me.","Sora mea are grijă de mine."
"sister_8","Can you help me find my sister?","Mă poți ajuta să-mi găsesc sora?"
"uncle","Uncle","unchi"
"uncle_2","I love my uncle.","Îl iubesc pe unchiul meu."
"uncle_3","I love you uncle.","Te iubesc unchiule."
"uncle_4","I miss my uncle.","Mi-e dor de unchiul meu."
"uncle_5","He is my uncle.","El este unchiul meu."
"uncle_8","Can you help me find my uncle?","Mă poți ajuta să-mi găsesc unchiul?"
"aunt","Aunt","Mătuşă"
"aunt_2","I love my aunt.","O iubesc pe matusa mea."
"aunt_3","I love you aunt.","Te iubesc matusa."
"aunt_4","I miss my aunt.","Mi-e dor de mătușa mea."
"aunt_5","She is my aunt.","Ea este matusa mea."
"aunt_8","Can you help me find my aunt?","Mă poți ajuta să-mi găsesc mătușa?"
"teacher","Teacher","Profesor"
"teacher_2","I love my teacher.","Imi iubesc profesoara."
"teacher_3","I love you teacher.","Te iubesc profesor."
"teacher_4","I don't like my teacher.","Nu-mi place profesorul meu."
"teacher_5","I miss my teacher.","Mi-e dor de profesorul meu."
"teacher_6","Thank you for the lesson.","Vă mulțumim pentru lecție."
"therapist","Therapist","Terapeut"
"therapist_2","I love my therapist.","Îmi iubesc terapeutul."
"therapist_3","I love you therapist.","Te iubesc terapeut."
"therapist_4","I don't like my therapist.","Nu-mi place terapeutul meu."
"therapist_5","I miss my therapist.","Mi-e dor de terapeutul meu."
"therapist_6","Thank you for the session.","Vă mulțumim pentru sesiune."
"doctor","Doctor","Doctor"
"doctor_2","I love my doctor.","Îmi iubesc doctorul."
"doctor_3","I love you doctor.","Te iubesc doctore."
"doctor_4","I don't like my doctor.","Nu-mi place doctorul meu."
"doctor_5","I miss my doctor.","Mi-e dor de doctor."
"doctor_6","Thank you for healing me.","Mulțumesc că m-ai vindecat."
