"activities","Activities","Aktiviteter"
"gray_3","My favorite color is gray.","Min yndlingsfarve er grå."
"gray_4","Can you give me gray paint?","Kan du give mig grå maling?"
"transparent","Transparent","Gennemsigtig"
"transparent_2","It is transparent.","Det er gennemsigtigt."
"transparent_3","I can see behind transparent color.","Jeg kan se bag gennemsigtig farve."
"transparent_4","Can you help me erase?","Kan du hjælpe mig med at slette?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","Det er cyan."
"cyan_3","My favorite color is cyan.","Min yndlingsfarve er cyan."
"cyan_4","Can you give me cyan paint?","Kan du give mig cyanmaling?"
"violet","Violet","Violet"
"violet_2","It is violet.","Det er violet."
"violet_3","My favorite color is violet.","Min yndlingsfarve er violet."
"violet_4","Can you give me violet paint?","Kan du give mig violet maling?"
"turquoise","Turquoise","turkis"
"turquoise_2","It is turquoise.","Det er turkis."
"turquoise_3","My favorite color is turquoise.","Min yndlingsfarve er turkis."
"turquoise_4","Can you give me turquoise paint?","Kan du give mig turkis maling?"
"lime","Lime","Citron"
"lime_2","It is lime.","Det er kalk."
"lime_3","My favorite color is lime.","Min yndlingsfarve er kalk."
"lime_4","Can you give me lime paint?","Kan du give mig kalkmaling?"
"plum","Plum","Blomme"
"plum_2","It is plum.","Det er blomme."
"plum_3","My favorite color is plum.","Min yndlingsfarve er blomme."
"plum_4","Can you give me plum paint?","Kan du give mig blomme maling?"
"tan","Tan","Tan"
"tan_2","It is tan color.","Det er lysbrun farve."
"tan_3","My favorite color is tan color.","Min yndlingsfarve er tan farve."
"tan_4","Can you give me tan color paint?","Kan du give mig solbrun farvemaling?"
"avocado","Avocado","Avocado"
"avocado_2","It is avocado color.","Det er avocadofarve."
"avocado_3","My favorite color is avocado color.","Min yndlingsfarve er avocadofarve."
"avocado_4","Can you give me avocado color paint?","Kan du give mig avocado-farve maling?"
"barbie-pink","Barbie pink","Barbie pink"
"barbie-pink_2","It is barbie pink color.","Det er barbie lyserød farve."
"barbie-pink_3","My favorite color is barbie pink.","Min yndlingsfarve er barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Kan du give mig barbie lyserød maling?"
"blizzard-blue","Blizzard blue","Blizzard blå"
"blizzard-blue_2","It is blizzard blue color.","Det er snøstorm blå farve."
"blizzard-blue_3","My favorite color is blizzard blue color.","Min favoritfarve er blizzardblå farve."
"blizzard-blue_4","Can you give me blizzard blue paint?","Kan du give mig blizzardblå maling?"
"conversation","Conversation","Samtale"
"me","Me","Mig"
"me_2","My name is {name}","Mit navn er {navn}"
"me_3","I'm {name}","Jeg er {navn}"
"me_4","Do you know my name?","Kender du mit navn?"
"me_5","What is your name?","Hvad hedder du?"
"me_6","Nice to meet you!","Dejligt at møde dig!"
"me_7","Do you like me?","Kan du lide mig?"
"me_8","Can we be friends?","Kan vi være venner?"
"me_9","I'm using assistive communication app.","Jeg bruger app til hjælpekommunikation."
"me_10","Who are you?","Hvem er du?"
"hello","Hello","Hej"
"hello_2","Hello.","Hej."
"hello_3","Hi.","Hej."
"hello_4","Greetings.","Vær hilset."
"hello_5","How are you?","Hvordan har du det?"
"hello_6","Nice to meet you!","Dejligt at møde dig!"
"help","Help","Hjælp"
"help_2","Help me.","Hjælp mig."
"help_3","Can you help me?","Kan du hjælpe mig?"
"help_4","I need help","jeg har brug for hjælp"
"help_5","Do you need help?","Har du brug for hjælp?"
"yes","Yes","Ja"
"yes_2","Yes.","Ja."
"yes_3","Yes please.","Ja tak."
"yes_4","Alright.","I orden."
"yes_5","Agreed.","Var enige."
"yes_6","I want to.","Jeg vil gerne."
"yes_7","I would like to.","Jeg vil gerne."
"no","No","Ingen"
"no_2","No.","Ingen."
"no_3","Nope.","Nix."
"no_4","Never.","Aldrig."
"no_5","I don't want to.","Jeg vil ikke."
"no_6","I don't like it.","Jeg kan ikke lide det."
"no_7","You don't like it?","Kan du ikke lide det?"
"no_8","Why you don't like it?","Hvorfor kan du ikke lide det?"
"toilet","Toilet","Toilet"
"toilet_2","I need to go to the toilet.","Jeg skal på toilettet."
"toilet_3","I need to pee.","Jeg har brug for at tisse."
"toilet_4","I need to poop.","Jeg er nødt til at bøje."
"toilet_5","Can you help me go to the toilet?","Kan du hjælpe mig med at gå på toilettet?"
"toilet_6","Can you help me clean?","Kan du hjælpe mig med at rense?"
"toilet_7","I peed myself.","Jeg kiggede mig selv."
"toilet_8","I pooped myself.","Jeg sprang mig selv."
"what","What","Hvad"
"what_2","What is that?","Hvad er det?"
"what_3","What does it mean?","Hvad betyder det?"
"what_4","What do you mean?","Hvad mener du?"
"what_5","Can you explain it?","Kan du forklare det?"
"what_6","Can you repeat what you said?","Kan du gentage det, du sagde?"
"what_7","I don't understand.","Jeg forstår det ikke."
"sleep","Sleep","Søvn"
"sleep_2","I want to sleep.","Jeg vil sove."
"sleep_3","I don't want to sleep.","Jeg vil ikke sove."
"sleep_4","I'm tired.","Jeg er træt."
"sleep_5","Are you tired?","Er du træt?"
"sleep_6","When am I going to sleep?","Hvornår skal jeg sove?"
"sleep_7","I want to take a nap.","Jeg vil tage en lur."
"bath","Bath","Bad"
"bath_2","I want to take a bath.","Jeg vil tage et bad."
"bath_3","I like taking a bath.","Jeg kan godt lide at tage et bad."
"bath_4","I want to wash my hands.","Jeg vil vaske mine hænder."
"bath_5","I want to take a shower.","Jeg vil tage et bad."
"bath_6","I want to clean myself.","Jeg vil rense mig selv."
"bath_7","Can you help me take a bath?","Kan du hjælpe mig med at tage et bad?"
"bath_8","I don't want to take a bath.","Jeg vil ikke tage et bad."
"listen","Listen","Lyt"
"listen_2","Listen to me.","Lyt til mig."
"listen_3","Can you listen to me?","Kan du lytte til mig?"
"listen_4","Listen to music.","Høre musik."
"listen_5","Listening to my parents.","Lytter til mine forældre."
"listen_6","Listen to what my application is saying!","Lyt til hvad min ansøgning siger!"
"morning","Morning","Morgen"
"morning_2","Good morning.","God morgen."
"morning_3","I like mornings.","Jeg kan godt lide morgener."
"morning_4","In the morning.","Om morgenen."
"morning_5","Morning time.","Morgentid."
"morning_6","Is it morning?","Er det morgen?"
"night","Night","Nat"
"night_2","Good night!","Godnat!"
"night_3","I like nights.","Jeg kan godt lide nætter."
"night_4","At night.","Om natten."
"night_5","Night time.","Nattid."
"night_6","Is it night?","Er det nat?"
"look","Look","Se"
"look_2","Look at me.","Se på mig."
"look_3","Look at this.","Se det her."
"look_4","Are you looking?","Leder du efter?"
"look_5","Look at my drawing.","Se på min tegning."
"look_6","How do I look?","Hvordan ser jeg ud?"
"look_7","Look what I did.","Se hvad jeg gjorde."
"look_8","Let's look at that.","Lad os se på det."
"speak","Speak","Tale"
"speak_2","I'm learning how to speak.","Jeg lærer at tale."
"speak_3","I want to speak.","Jeg vil tale."
"speak_4","Can I speak with you?","Kan jeg tale med dig?"
"speak_5","I like speaking.","Jeg kan godt lide at tale."
"speak_6","I'm using assistive communication app.","Jeg bruger app til hjælpekommunikation."
"play","Play","Spil"
"play_2","I love playing.","Jeg elsker at lege."
"play_3","Can you play with me?","Kan du lege med mig?"
"play_4","I want to play with you!","Jeg vil lege med dig!"
"play_5","I want to play with my friends.","Jeg vil lege med mine venner."
"play_6","I don't want to play with you.","Jeg vil ikke lege med dig."
"outside","Outside","Uden for"
"outside_2","I love going outside.","Jeg elsker at gå udenfor."
"outside_3","I want to go outside.","Jeg vil gå ud."
"outside_4","Is it cold outside?","Er det koldt udenfor?"
"outside_5","I don't like outside.","Jeg kan ikke lide udenfor."
"outside_6","Can I go outside?","Kan jeg gå udenfor?"
"home","Home","Hjem"
"home_2","I love my home.","Jeg elsker mit hjem."
"home_3","I want to go home.","Jeg vil gerne hjem."
"home_4","Where is your home?","Hvor er dit hjem?"
"home_5","Home sweet home.","Hjem kære hjem."
"home_6","I'm in the house.","Jeg er i huset."
"home_7","I'm not in the house.","Jeg er ikke i huset."
"hurt","Hurt","Gøre ondt"
"hurt_2","I'm hurt.","Jeg er såret."
"hurt_3","Are you hurt?","Er du såret?"
"hurt_4","Did I hurt you?","Har jeg skadet dig?"
"hurt_5","I didn't mean to hurt you!","Jeg mente ikke at skade dig!"
"hurt_6","Is it going to hurt?","Vil det skade?"
"hurt_7","I have a headache.","Jeg har hovedpine."
"hurt_8","I have a stomach ache.","Jeg har ondt i maven."
"hurt_9","My genitals hurt.","Mine kønsorganer gør ondt."
"hurt_10","My foot hurts.","Min fod gør ondt."
"feelings","Feelings","Følelser"
"happy","Happy","Lykkelig"
"happy_2","I'm happy.","Jeg er glad."
"happy_3","I feel happy.","Jeg føler mig lykkelig."
"happy_4","Do you feel happy?","Føler du dig lykkelig?"
"happy_5","I want to feel happy.","Jeg vil føle mig lykkelig."
"happy_6","You are making me happy.","Du gør mig glad."
"sad","Sad","Trist"
"sad_2","I'm sad.","Jeg er ked af det."
"sad_3","I feel sad.","Jeg føler mig trist."
"sad_4","Do you feel sad?","Føler du dig trist?"
"sad_5","I don't want to feel sad.","Jeg vil ikke føle mig trist."
"sad_6","You are making me sad.","Du gør mig trist."
"exhausted","Exhausted","Udmattet"
"exhausted_2","I'm exhausted.","Jeg er udmattet."
"exhausted_3","I feel exhausted.","Jeg føler mig udmattet."
"exhausted_4","Do you feel exhausted?","Føler du dig udmattet?"
"exhausted_5","I don't want to be exhausted.","Jeg vil ikke være udmattet."
"relaxed","Relaxed","Afslappet"
"relaxed_2","I'm relaxed.","Jeg er afslappet."
"relaxed_3","I feel relaxed.","Jeg føler mig afslappet."
"relaxed_4","Do you feel relaxed?","Føler du dig afslappet?"
"relaxed_5","I want to feel relaxed.","Jeg vil føle mig afslappet."
"in-love","In love","Forelsket"
"in-love_2","I'm in love.","Jeg er forelsket."
"in-love_3","I feel in love.","Jeg føler mig forelsket."
"in-love_4","Are you in love?","Er du forelsket?"
"in-love_5","I want to fall in love.","Jeg vil gerne forelske mig."
"in-love_6","Do you love me?","Elsker du mig?"
"stressed","Stressed","stressede"
"stressed_2","I'm stressed.","Jeg er stresset."
"stressed_3","I feel stressed.","Jeg føler mig stresset."
"stressed_4","Do you feel stressed?","Føler du dig stresset?"
"stressed_5","I don't want to feel stressed.","Jeg vil ikke føle mig stresset."
"thankful","Thankful","Taknemmelig"
"thankful_2","I'm thankful.","Jeg er taknemmelig."
"thankful_3","I feel thankful.","Jeg føler mig taknemmelig."
"thankful_4","Do you feel thankful?","Føler du dig taknemmelig?"
"thankful_5","I want to feel thankful.","Jeg vil føle mig taknemmelig."
"confused","Confused","Forvirret"
"confused_2","I'm confused.","Jeg er forvirret."
"confused_3","I feel confused.","Jeg føler mig forvirret."
"confused_4","Do you feel confused?","Føler du dig forvirret?"
"confused_5","You are confusing me.","Du forvirrer mig."
"joyful","Joyful","Glad"
"joyful_2","I'm joyful.","Jeg er glad."
"joyful_3","I feel joyful.","Jeg føler mig glad."
"joyful_4","Do you feel joyful?","Føler du dig glad?"
"joyful_5","I want to feel joyful.","Jeg vil føle mig glad."
"angry","Angry","Vred"
"angry_2","I'm angry.","Jeg er vred."
"angry_3","I feel angry.","Jeg føler mig vred."
"angry_4","Do you feel angry?","Føler du dig vred?"
"angry_5","I'm angry at you.","Jeg er vred på dig."
"angry_6","You are making me angry.","Du gør mig vred."
"smart","Smart","Smart"
"smart_2","I'm smart.","Jeg er klog."
"smart_3","I feel smart.","Jeg føler mig smart."
"smart_4","Do you feel smart?","Føler du dig smart?"
"smart_5","Am I smart?","Er jeg smart?"
"smart_6","You are smart!","Du er klog!"
"afraid","Afraid","Bange"
"afraid_2","I'm afraid.","Jeg er bange."
"afraid_3","I feel afraid.","Jeg føler mig bange."
"afraid_4","Do you feel afraid?","Føler du dig bange?"
"afraid_5","I don't want to feel afraid.","Jeg vil ikke være bange."
"afraid_6","You are scaring me.","Du skræmmer mig."
"ashamed","Ashamed","Skamme sig"
"ashamed_2","I'm ashamed.","Jeg skammer mig."
"ashamed_3","I feel ashamed.","Jeg skammer mig."
"ashamed_4","Do you feel ashamed?","Føler du dig skam?"
"ashamed_5","I don't want to feel ashamed.","Jeg vil ikke skamme mig."
"shocked","Shocked","chokeret"
"shocked_2","I'm shocked.","Jeg er chokeret."
"shocked_3","I feel shocked.","Jeg føler mig chokeret."
"shocked_4","Do you feel shocked?","Føler du dig chokeret?"
"shocked_5","You shocked me.","Du chokerede mig."
"sick","Sick","Syg"
"sick_2","I'm sick.","Jeg er syg."
"sick_3","I feel sick.","Jeg føler mig syg."
"sick_4","Do you feel sick?","Føler du dig syg?"
"sick_5","I don't want to be sick.","Jeg vil ikke være syg."
"sick_6","I'm sick of the food.","Jeg er træt af maden."
"frustrated","Frustrated","frustreret"
"frustrated_2","I'm frustrated.","Jeg er frustreret."
"frustrated_3","I feel frustrated.","Jeg føler mig frustreret."
"frustrated_4","Do you feel frustrated?","Føler du dig frustreret?"
"frustrated_5","I don't want to feel frustrated.","Jeg vil ikke føle mig frustreret."
"excited","Excited","Begejstret"
"excited_2","I'm excited.","Jeg er spændt."
"excited_3","I feel excited.","Jeg føler mig ophidset."
"excited_4","Do you feel excited?","Føler du dig ophidset?"
"excited_5","I don't want to feel excited.","Jeg vil ikke føle mig ophidset."
"nauseated","Nauseated","kvalmende"
"nauseated_2","I'm nauseated.","Jeg er kvalm."
"nauseated_3","I feel nauseated.","Jeg føler mig kvalm."
"nauseated_4","Do you feel nauseated?","Føler du dig kvalm?"
"nauseated_5","I don't want to feel nauseated.","Jeg vil ikke føle sig kvalm."
"agitated","Agitated","agiteret"
"agitated_2","I'm agitated.","Jeg er ophørt."
"agitated_3","I feel agitated.","Jeg føler mig ophidset."
"agitated_4","Do you feel agitated?","Føler du dig ophidset?"
"agitated_5","I don't want to feel agitated.","Jeg vil ikke føle mig agiteret."
"food","Food","Mad"
"hungry","Hungry","Sulten"
"hungry_2","I'm hungry.","Jeg er sulten."
"hungry_3","Are you hungry?","Er du sulten?"
"hungry_4","Can you make me food?","Kan du lave mad?"
"hungry_5","What is for dinner?","Hvad skal vi have til aftensmad?"
"thirsty","Thirsty","Tørstig"
"thirsty_2","I'm thirsty.","Jeg er tørstig."
"thirsty_3","Can I have some water?","Må jeg bede om noget vand?"
"thirsty_4","Can I have a glass of water?","Må jeg få et glas vand?"
"thirsty_5","I want something to drink.","Jeg vil have noget at drikke."
"cutlery","Cutlery","bestik"
"cutlery_2","I need cutlery.","Jeg har brug for bestik."
"cutlery_3","Help me use cutlery.","Hjælp mig med at bruge bestik."
"cutlery_4","I need a fork.","Jeg har brug for en gaffel."
"cutlery_5","I need a spoon.","Jeg har brug for en ske."
"cutlery_6","I need chopsticks.","Jeg har brug for spisepinde."
"cutlery_7","I need a knife.","Jeg har brug for en kniv."
"cutlery_8","I need a napkin.","Jeg har brug for et serviet."
"apple","Apple","Æble"
"apple_2","I like apple.","Jeg kan godt lide æble."
"apple_3","I don't like apple.","Jeg kan ikke lide æble."
"apple_4","I want to eat an apple.","Jeg vil spise et æble."
"carrot","Carrot","Gulerod"
"carrot_2","I like carrot.","Jeg kan godt lide gulerod."
"carrot_3","I don't like carrot.","Jeg kan ikke lide gulerod."
"carrot_4","I want to eat a carrot.","Jeg vil spise en gulerod."
"beans","Beans","bønner"
"beans_2","I like beans.","Jeg kan godt lide bønner."
"beans_3","I don't like beans.","Jeg kan ikke lide bønner."
"beans_4","I want to eat beans.","Jeg vil spise bønner."
"chicken_5","I want fried chicken.","Jeg vil have stegt kylling."
"chicken_6","I want boiled chicken.","Jeg vil have kogt kylling."
"chocolate","Chocolate","Chokolade"
"chocolate_2","I like chocolate.","Jeg kan lide chokolade."
"chocolate_3","I don't like chocolate.","Jeg kan ikke lide chokolade."
"chocolate_4","I want to eat chocolate.","Jeg vil gerne spise chokolade."
"chocolate_5","I want dark chocolate.","Jeg vil have mørk chokolade."
"chocolate_6","I want white chocolate.","Jeg vil have hvid chokolade."
"milk","Milk","Mælk"
"milk_2","I like milk.","Jeg kan godt lide mælk."
"milk_3","I don't like milk.","Jeg kan ikke lide mælk."
"milk_4","I want to drink milk.","Jeg vil drikke mælk."
"milk_5","Can I have a glass of milk?","Kan jeg få et glas mælk?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Jeg kan godt lide sandwich."
"sandwich_3","I don't like sandwich.","Jeg kan ikke lide sandwich."
"sandwich_4","I want to eat a sandwich.","Jeg vil gerne spise en sandwich."
"sandwich_5","Can you make me a sandwich?","Kan du lave en sandwich?"
"steak","Steak","bøf"
"steak_2","I like steak.","Jeg kan godt lide bøf."
"steak_3","I don't like steak.","Jeg kan ikke lide bøf."
"steak_4","I want to eat steak.","Jeg vil spise bøf."
"steak_5","Can you cook steak for me?","Kan du lave bøf til mig?"
"banana","Banana","Banan"
"banana_2","I like banana.","Jeg kan godt lide banan."
"banana_3","I don't like banana.","Jeg kan ikke lide banan."
"banana_4","I want to eat a banana.","Jeg vil spise en banan."
"pie","Pie","Pie"
"pie_2","I like pie.","Jeg kan godt lide tærte."
"pie_3","I don't like pie.","Jeg kan ikke lide kage."
"pie_4","I want to eat pie.","Jeg vil spise kage."
"pie_5","Can you bake a pie for me?","Kan du bage en tærte til mig?"
"egg","Egg","Æg"
"egg_2","I like egg.","Jeg kan godt lide æg."
"egg_3","I don't like egg.","Jeg kan ikke lide æg."
"egg_4","I want to eat egg.","Jeg vil spise æg."
"egg_5","I want fried eggs.","Jeg vil gerne stegte æg."
"egg_6","I want boiled eggs.","Jeg vil have kogt æg."
"noodles","Noodles","nudler"
"noodles_2","I like noodles.","Jeg kan godt lide nudler."
"noodles_3","I don't like noodles.","Jeg kan ikke lide nudler."
"noodles_4","I want to eat noodles.","Jeg vil spise nudler."
"noodles_5","Can you cook noodles for me?","Kan du lave nudler til mig?"
"salt","Salt","Salt"
"salt_2","I want salt.","Jeg vil have salt."
"salt_3","Can you pass me the salt?","Kan du give mig saltet?"
"salt_4","Food is too salty.","Maden er for salt."
"salt_5","My food needs some salt.","Min mad har brug for noget salt."
"spices","Spices","krydderier"
"spices_2","I like spicy food.","Jeg kan godt lide krydret mad."
"spices_3","I don't like spicy food.","Jeg kan ikke lide krydret mad."
"spices_4","I want paprika.","Jeg vil have paprika."
"spices_5","I want black pepper.","Jeg vil have sort peber."
"pizza","Pizza","pizza"
"pizza_2","I like pizza.","Jeg kan godt lide pizza."
"pizza_3","I don't like pizza.","Jeg kan ikke lide pizza."
"pizza_4","I want to eat pizza.","Jeg vil spise pizza."
"pizza_5","Can you cook pizza for me?","Kan du lave pizza til mig?"
"pizza_6","Can we order pizza?","Kan vi bestille pizza?"
"cheese","Cheese","Ost"
"cheese_2","I like cheese.","Jeg kan godt lide ost."
"cheese_3","I don't like cheese.","Jeg kan ikke lide ost."
"cheese_4","I want to eat cheese.","Jeg vil gerne spise ost."
"ice-cream","Ice cream","Is"
"ice-cream_2","I like ice cream.","Jeg kan godt lide is."
"ice-cream_3","I don't like ice cream.","Jeg kan ikke lide is."
"ice-cream_4","I want to eat ice cream.","Jeg vil spise is."
"ice-cream_5","Can you buy ice cream for me?","Kan du købe is til mig?"
"tea","Tea","Te"
"tea_2","I like tea.","Jeg kan godt lide te."
"tea_3","I don't like tea.","Jeg kan ikke lide te."
"tea_4","I want to drink tea.","Jeg vil drikke te."
"tea_5","Can you make tea for me?","Kan du lave te til mig?"
"coffee","Coffee","Kaffe"
"coffee_2","I like coffee.","Jeg kan lide kaffe."
"coffee_3","I don't like coffee.","Jeg kan ikke lide kaffe."
"coffee_4","I want to drink coffee.","Jeg vil drikke kaffe."
"coffee_5","Can you make coffee for me?","Kan du lave kaffe til mig?"
"tomato","Tomato","Tomat"
"tomato_2","I like tomato.","Jeg kan godt lide tomat."
"tomato_3","I don't like tomato.","Jeg kan ikke lide tomat."
"tomato_4","I want to eat tomato.","Jeg vil spise tomat."
"cereal","Cereal","Korn"
"cereal_2","I like cereal.","Jeg kan godt lide korn."
"cereal_3","I don't like cereal.","Jeg kan ikke lide korn."
"cereal_4","I want to eat cereal.","Jeg vil spise korn."
"cereal_5","Can you make my cereal?","Kan du lave min korn?"
"burger","Burger","Burger"
"burger_2","I like burger.","Jeg kan godt lide burger."
"burger_3","I don't like burger.","Jeg kan ikke lide burger."
"burger_4","I want to eat burger.","Jeg vil gerne spise burger."
"burger_5","Can you cook burger for me?","Kan du lave burger til mig?"
"burger_6","Can we order burger?","Kan vi bestille burger?"
"french-fries","French fries","pommes frites"
"french-fries_2","I like french fries.","Jeg kan godt lide pommes frites."
"french-fries_3","I don't like french fries.","Jeg kan ikke lide pommes frites."
"french-fries_4","I want to eat french fries.","Jeg vil spise pommes frites."
"french-fries_5","Can you cook french fries for me?","Kan du lave pommes frites til mig?"
"french-fries_6","Can we order french fries?","Kan vi bestille pommes frites?"
"spinach","Spinach","Spinat"
"spinach_2","I like spinach.","Jeg kan godt lide spinat."
"spinach_3","I don't like spinach.","Jeg kan ikke lide spinat."
"spinach_4","I want to eat spinach.","Jeg vil spise spinat."
"rice","Rice","Ris"
"rice_2","I like rice.","Jeg kan godt lide ris."
"rice_3","I don't like rice.","Jeg kan ikke lide ris."
"rice_4","I want to eat rice.","Jeg vil spise ris."
"rice_5","Can you cook rice for me?","Kan du lave ris til mig?"
"bread","Bread","Brød"
"bread_2","I like bread.","Jeg kan godt lide brød."
"bread_3","I don't like bread.","Jeg kan ikke lide brød."
"bread_4","I want to eat bread.","Jeg vil spise brød."
"bread_5","Can you buy some bread?","Kan du købe noget brød?"
"pasta","Pasta","pasta"
"pasta_2","I like pasta.","Jeg kan godt lide pasta."
"pasta_3","I don't like pasta.","Jeg kan ikke lide pasta."
"pasta_4","I want to eat pasta.","Jeg vil spise pasta."
"pasta_5","Can you cook pasta for me?","Kan du lave pasta til mig?"
"sauce","Sauce","Sovs"
"sauce_2","I like sauce.","Jeg kan godt lide sauce."
"sauce_3","I don't like sauce.","Jeg kan ikke lide sauce."
"sauce_4","I want some sauce.","Jeg vil have noget sauce."
"sauce_5","Can I have ketchup?","Kan jeg have ketchup?"
"sauce_6","Can I have mayonnaise?","Kan jeg få mayonnaise?"
"sauce_7","Can I have mustard?","Kan jeg få sennep?"
"sauce_8","Can I have ranch sauce?","Kan jeg få ranchesauce?"
"kebab","Kebab","kebab"
"kebab_2","I like kebab.","Jeg kan godt lide kebab."
"kebab_3","I don't like kebab.","Jeg kan ikke lide kebab."
"kebab_4","I want to eat kebab.","Jeg vil spise kebab."
"kebab_5","Can you cook kebab for me?","Kan du lave kebab til mig?"
"kebab_6","Can we order kebab?","Kan vi bestille kebab?"
"numbers","Numbers","numre"
"one","One","En"
"one_2","One comes before two.","Den ene kommer foran to."
"one_3","One comes after zero.","Den ene kommer efter nul."
"one_4","I want one.","Jeg ønsker en."
"two","Two","To"
"two_2","Two comes before three.","To kommer før tre."
"two_3","Two comes after one.","To kommer efter en."
"two_4","I want two.","Jeg vil have to."
"three","Three","Tre"
"three_2","Three comes before four.","Tre kommer før fire."
"three_3","Three comes after two.","Tre kommer efter to."
"three_4","I want three.","Jeg vil have tre."
"four","Four","fire"
"four_2","Four comes before five.","Fire kommer før fem."
"four_3","Four comes after three.","Fire kommer efter tre."
"four_4","I want four.","Jeg vil have fire."
"five","Five","Fem"
"five_2","Five comes before six.","Fem kommer før seks."
"five_3","Five comes after four.","Fem kommer efter fire."
"five_4","I want five.","Jeg vil have fem."
"six","Six","Seks"
"six_2","Six comes before seven.","Seks kommer før syv."
"six_3","Six comes after five.","Seks kommer efter fem."
"six_4","I want fix.","Jeg vil have rettet."
"seven","Seven","syv"
"seven_2","Seven comes before eight.","Syv kommer før otte."
"seven_3","Seven comes after six.","Syv kommer efter seks."
"seven_4","I want seven.","Jeg vil have syv."
"eight","Eight","otte"
"eight_2","Eight comes before nine.","Otte kommer før ni."
"eight_3","Eight comes after seven.","Otte kommer efter syv."
"eight_4","I want eight.","Jeg vil have otte."
"nine","Nine","Ni"
"nine_2","Nine comes before ten.","Ni kommer før ti."
"nine_3","Nine comes after eight.","Ni kommer efter otte."
"nine_4","I want nine.","Jeg vil have ni."
"ten","Ten","Ti"
"ten_2","Ten comes before eleven.","Ti kommer før elleve."
"ten_3","Ten comes after nine.","Ti kommer efter ni."
"ten_4","I want ten.","Jeg vil have ti."
"eleven","Eleven","Elleve"
"eleven_2","Eleven comes before thirteen.","Elleve kommer før tretten."
"eleven_3","Eleven comes after ten.","Elleve kommer efter ti."
"eleven_4","I want eleven.","Jeg vil have elleve."
"twenty","Twenty","Tyve"
"twenty_2","I can count up to twenty.","Jeg kan tælle op til tyve."
"thirty","Thirty","Tredive"
"thirty_2","I can count up to thirty.","Jeg kan tælle op til tredive."
"forty","Forty","Fyrre"
"forty_2","I can count up to forty.","Jeg kan tælle op til fyrre."
"fifty","Fifty","Halvtreds"
"fifty_2","I can count up to fifty.","Jeg kan tælle op til halvtreds."
"hundred","Hundred","Hundrede"
"hundred_2","I can count up to hundred.","Jeg kan tælle op til hundrede."
"thousand","Thousand","Tusind"
"thousand_2","I can count up to thousand.","Jeg kan tælle op til tusind."
"calculator","Calculator","Lommeregner"
"calculator_2","I want to use a calculator.","Jeg vil bruge en lommeregner."
"calculator_3","Can you teach me how to use a calculator?","Kan du lære mig hvordan man bruger en lommeregner?"
"calculator_4","Can I barrow your calculator?","Kan jeg spærre din regnemaskine?"
"people","People","Mennesker"
"mother","Mother","Mor"
"mother_2","Mommy!","Mor!"
"mother_3","I love my mother.","Jeg elsker min mor."
"mother_4","I love you mom.","Jeg elsker dig mor."
"mother_5","I miss my mom.","Jeg savner min mor."
"mother_6","Thank you for taking care of me.","Tak for at passe på mig."
"mother_7","She is my mom.","Hun er min mor."
"mother_8","Can you help me find my mother?","Kan du hjælpe mig med at finde min mor?"
"father","Father","Far"
"father_2","Daddy!","Far!"
"father_3","I love my father.","Jeg elsker min far."
"father_4","I love you dad.","Jeg elsker dig far."
"father_5","I miss my dad.","Jeg savner min far."
"father_6","Thank you for taking care of me.","Tak for at passe på mig."
"father_7","He is my dad.","Han er min far."
"father_8","Can you help me find my father?","Kan du hjælpe mig med at finde min far?"
"parents","Parents","Forældre"
"parents_2","I love my parents.","Jeg elsker mine forældre."
"parents_3","I love my parents.","Jeg elsker mine forældre."
"parents_4","I miss my parents.","Jeg savner mine forældre."
"parents_5","They are my parents.","De er mine forældre."
"parents_6","My parents are taking care of me.","Mine forældre tager sig af mig."
"parents_8","Can you help me find my parents?","Kan du hjælpe mig med at finde mine forældre?"
"grandparents","Grandparents","Bedsteforældre"
"grandparents_2","I love my grandparents.","Jeg elsker mine bedsteforældre."
"grandparents_3","I love you grandparents.","Jeg elsker dig bedsteforældre."
"grandparents_4","I miss my grandparents.","Jeg savner mine bedsteforældre."
"grandparents_5","They are my grandparents.","De er mine bedsteforældre."
"grandparents_6","My grandparents are taking care of me.","Mine bedsteforældre tager sig af mig."
"grandparents_8","Can you help me find my grandparents?","Kan du hjælpe mig med at finde mine bedsteforældre?"
"brother","Brother","Bror"
"brother_2","I love my brother.","Jeg elsker min bror."
"brother_3","I love you brother.","Jeg elsker dig bror."
"brother_4","I miss my brother.","Jeg savner min bror."
"brother_5","He is my brother.","Han er min bror."
"brother_6","My brother is taking care of me.","Min bror tager sig af mig."
"brother_8","Can you help me find my brother?","Kan du hjælpe mig med at finde min bror?"
"sister","Sister","søster"
"sister_2","I love my sister.","Jeg elsker min søster."
"sister_3","I love you sister.","Jeg elsker dig søster."
"sister_4","I miss my sister.","Jeg savner min søster."
"sister_5","She is my sister.","Hun er min søster."
"sister_6","My sister is taking care of me.","Min søster tager sig af mig."
"sister_8","Can you help me find my sister?","Kan du hjælpe mig med at finde min søster?"
"uncle","Uncle","onkel"
"uncle_2","I love my uncle.","Jeg elsker min onkel."
"uncle_3","I love you uncle.","Jeg elsker dig onkel."
