"activities","Activities","Activités"
"violet_3","My favorite color is violet.","Ma couleur préférée est le violet."
"violet_4","Can you give me violet paint?","Pouvez-vous me donner de la peinture violette?"
"turquoise","Turquoise","Turquoise"
"turquoise_2","It is turquoise.","C'est turquoise."
"turquoise_3","My favorite color is turquoise.","Ma couleur préférée est le turquoise."
"turquoise_4","Can you give me turquoise paint?","Pouvez-vous me donner de la peinture turquoise?"
"lime","Lime","Citron vert"
"lime_2","It is lime.","C'est de la chaux."
"lime_3","My favorite color is lime.","Ma couleur préférée est le citron vert."
"lime_4","Can you give me lime paint?","Pouvez-vous me donner de la peinture à la chaux?"
"plum","Plum","prune"
"plum_2","It is plum.","C'est de la prune."
"plum_3","My favorite color is plum.","Ma couleur préférée est la prune."
"plum_4","Can you give me plum paint?","Pouvez-vous me donner de la peinture prune?"
"tan","Tan","bronzer"
"tan_2","It is tan color.","C'est de couleur beige."
"tan_3","My favorite color is tan color.","Ma couleur préférée est la couleur beige."
"tan_4","Can you give me tan color paint?","Pouvez-vous me donner de la peinture de couleur beige?"
"avocado","Avocado","Avocat"
"avocado_2","It is avocado color.","Il est de couleur avocat."
"avocado_3","My favorite color is avocado color.","Ma couleur préférée est la couleur avocat."
"avocado_4","Can you give me avocado color paint?","Pouvez-vous me donner de la peinture couleur avocat?"
"barbie-pink","Barbie pink","Barbie rose"
"barbie-pink_2","It is barbie pink color.","Il est de couleur rose barbie."
"barbie-pink_3","My favorite color is barbie pink.","Ma couleur préférée est le rose barbie."
"barbie-pink_4","Can you give me barbie pink paint?","Pouvez-vous me donner de la peinture rose barbie?"
"blizzard-blue","Blizzard blue","Bleu Blizzard"
"blizzard-blue_2","It is blizzard blue color.","Il est de couleur bleu blizzard."
"blizzard-blue_3","My favorite color is blizzard blue color.","Ma couleur préférée est la couleur bleu blizzard."
"blizzard-blue_4","Can you give me blizzard blue paint?","Pouvez-vous me donner de la peinture bleu blizzard?"
"conversation","Conversation","Conversation"
"me","Me","Moi"
"me_2","My name is {name}","Je m'appelle {name}"
"me_3","I'm {name}","Je suis {nom}"
"me_4","Do you know my name?","Connais-tu mon nom?"
"me_5","What is your name?","Quel est votre nom?"
"me_6","Nice to meet you!","Ravi de vous rencontrer!"
"me_7","Do you like me?","M'aimez-vous?"
"me_8","Can we be friends?","Peut-on être amis?"
"me_9","I'm using assistive communication app.","J'utilise une application de communication assistée."
"me_10","Who are you?","Qui êtes vous?"
"hello","Hello","Bonjour"
"hello_2","Hello.","Bonjour."
"hello_3","Hi.","Salut."
"hello_4","Greetings.","Salutations."
"hello_5","How are you?","Comment ça va?"
"hello_6","Nice to meet you!","Ravi de vous rencontrer!"
"help","Help","Aidez-moi"
"help_2","Help me.","Aidez moi."
"help_3","Can you help me?","Pouvez-vous m'aider?"
"help_4","I need help","j'ai besoin d'aide"
"help_5","Do you need help?","As-tu besoin d'aide?"
"yes","Yes","Oui"
"yes_2","Yes.","Oui."
"yes_3","Yes please.","Oui s'il vous plaît."
"yes_4","Alright.","Bien."
"yes_5","Agreed.","D'accord."
"yes_6","I want to.","Je veux."
"yes_7","I would like to.","J'aimerais."
"no","No","Non"
"no_2","No.","Non."
"no_3","Nope.","Nan."
"no_4","Never.","Jamais."
"no_5","I don't want to.","Je ne veux pas."
"no_6","I don't like it.","Je n'aime pas ça."
"no_7","You don't like it?","Vous ne l'aimez pas?"
"no_8","Why you don't like it?","Pourquoi tu n'aimes pas ça?"
"toilet","Toilet","Toilette"
"toilet_2","I need to go to the toilet.","J'ai besoin d'aller aux toilettes."
"toilet_3","I need to pee.","Je dois faire pipi."
"toilet_4","I need to poop.","J'ai besoin de faire caca."
"toilet_5","Can you help me go to the toilet?","Pouvez-vous m'aider à aller aux toilettes?"
"toilet_6","Can you help me clean?","Pouvez-vous m'aider à nettoyer?"
"toilet_7","I peed myself.","Je me suis pissé dessus."
"toilet_8","I pooped myself.","Je me suis fait caca."
"what","What","Quoi"
"what_2","What is that?","Qu'est-ce que c'est?"
"what_3","What does it mean?","Qu'est-ce que ça veut dire?"
"what_4","What do you mean?","Que voulez-vous dire?"
"what_5","Can you explain it?","Pouvez-vous l'expliquer?"
"what_6","Can you repeat what you said?","Pouvez-vous répéter ce que vous avez dit?"
"what_7","I don't understand.","Je ne comprends pas."
"sleep","Sleep","Dormir"
"sleep_2","I want to sleep.","Je veux dormir."
"sleep_3","I don't want to sleep.","Je ne veux pas dormir."
"sleep_4","I'm tired.","Je suis fatigué."
"sleep_5","Are you tired?","Êtes vous fatigué?"
"sleep_6","When am I going to sleep?","Quand vais-je dormir?"
"sleep_7","I want to take a nap.","Je veux faire une sieste."
"bath","Bath","Une baignoire"
"bath_2","I want to take a bath.","Je veux prendre un bain."
"bath_3","I like taking a bath.","J'aime prendre un bain."
"bath_4","I want to wash my hands.","Je veux me laver les mains."
"bath_5","I want to take a shower.","Je veux prendre une douche."
"bath_6","I want to clean myself.","Je veux me nettoyer."
"bath_7","Can you help me take a bath?","Pouvez-vous m'aider à prendre un bain?"
"bath_8","I don't want to take a bath.","Je ne veux pas prendre de bain."
"listen","Listen","Ecoutez"
"listen_2","Listen to me.","Écoute moi."
"listen_3","Can you listen to me?","Pouvez-vous m'écouter?"
"listen_4","Listen to music.","Écouter de la musique."
"listen_5","Listening to my parents.","À l'écoute de mes parents."
"listen_6","Listen to what my application is saying!","Écoutez ce que dit ma candidature!"
"morning","Morning","Matin"
"morning_2","Good morning.","Bonjour."
"morning_3","I like mornings.","J'aime les matins."
"morning_4","In the morning.","Du matin."
"morning_5","Morning time.","Heure du matin."
"morning_6","Is it morning?","C'est le matin?"
"night","Night","Nuit"
"night_2","Good night!","Bonne nuit!"
"night_3","I like nights.","J'aime les nuits."
"night_4","At night.","La nuit."
"night_5","Night time.","La nuit."
"night_6","Is it night?","C'est la nuit?"
"look","Look","Regardez"
"look_2","Look at me.","Regarde moi."
"look_3","Look at this.","Regarde ça."
"look_4","Are you looking?","Est-ce que tu regardes?"
"look_5","Look at my drawing.","Regardez mon dessin."
"look_6","How do I look?","A quoi je ressemble?"
"look_7","Look what I did.","Regardez ce que j'ai fait."
"look_8","Let's look at that.","Regardons ça."
"speak","Speak","Parler"
"speak_2","I'm learning how to speak.","J'apprends à parler."
"speak_3","I want to speak.","Je veux parler."
"speak_4","Can I speak with you?","Puis-je parler avec toi?"
"speak_5","I like speaking.","J'aime parler."
"speak_6","I'm using assistive communication app.","J'utilise une application de communication assistée."
"play","Play","Jouer"
"play_2","I love playing.","J'aime jouer."
"play_3","Can you play with me?","Pouvez-vous jouer avec moi?"
"play_4","I want to play with you!","Je veux jouer avec toi!"
"play_5","I want to play with my friends.","Je veux jouer avec mes amis."
"play_6","I don't want to play with you.","Je ne veux pas jouer avec toi."
"outside","Outside","À l'extérieur"
"outside_2","I love going outside.","J'adore aller dehors."
"outside_3","I want to go outside.","Je veux sortir."
"outside_4","Is it cold outside?","Il fait froid dehors?"
"outside_5","I don't like outside.","Je n'aime pas dehors."
"outside_6","Can I go outside?","Puis-je sortir?"
"home","Home","Accueil"
"home_2","I love my home.","J'aime ma maison."
"home_3","I want to go home.","Je veux aller a la maison."
"home_4","Where is your home?","Où est ta maison?"
"home_5","Home sweet home.","La douceur du foyer."
"home_6","I'm in the house.","Je suis dans la maison."
"home_7","I'm not in the house.","Je ne suis pas dans la maison."
"hurt","Hurt","Blesser"
"hurt_2","I'm hurt.","Je suis blessé."
"hurt_3","Are you hurt?","Es-tu blessé?"
"hurt_4","Did I hurt you?","Est ce que je t'ai blessé?"
"hurt_5","I didn't mean to hurt you!","Je ne voulais pas te faire de mal!"
"hurt_6","Is it going to hurt?","Est-ce que ça va faire mal?"
"hurt_7","I have a headache.","J'ai mal à la tête."
"hurt_8","I have a stomach ache.","J'ai mal à l'estomac."
"hurt_9","My genitals hurt.","Mes organes génitaux me font mal."
"hurt_10","My foot hurts.","J'ai mal au pied."
"feelings","Feelings","Sentiments"
"happy","Happy","Heureux"
"happy_2","I'm happy.","Je suis heureux."
"happy_3","I feel happy.","Je suis heureux."
"happy_4","Do you feel happy?","Vous sentez-vous heureux?"
"happy_5","I want to feel happy.","Je veux me sentir heureuse."
"happy_6","You are making me happy.","Tu me rends heureux."
"sad","Sad","Triste"
"sad_2","I'm sad.","Je suis triste."
"sad_3","I feel sad.","Je me sens triste."
"sad_4","Do you feel sad?","Vous sentez-vous triste?"
"sad_5","I don't want to feel sad.","Je ne veux pas me sentir triste."
"sad_6","You are making me sad.","Tu me rends triste."
"exhausted","Exhausted","Épuisé"
"exhausted_2","I'm exhausted.","Je suis épuisé."
"exhausted_3","I feel exhausted.","Je me sens épuisé."
"exhausted_4","Do you feel exhausted?","Vous sentez-vous épuisé?"
"exhausted_5","I don't want to be exhausted.","Je ne veux pas être épuisé."
"relaxed","Relaxed","Détendu"
"relaxed_2","I'm relaxed.","Je suis relaxé."
"relaxed_3","I feel relaxed.","Je me sens relaxé."
"relaxed_4","Do you feel relaxed?","Vous sentez-vous détendu?"
"relaxed_5","I want to feel relaxed.","Je veux me sentir détendu."
"in-love","In love","Amoureux"
"in-love_2","I'm in love.","Je suis amoureux."
"in-love_3","I feel in love.","Je me sens amoureux."
"in-love_4","Are you in love?","Es tu amoureuse?"
"in-love_5","I want to fall in love.","Je veux tomber amoureux."
"in-love_6","Do you love me?","Est-ce que tu m'aimes?"
"stressed","Stressed","Souligné"
"stressed_2","I'm stressed.","Je suis stressé."
"stressed_3","I feel stressed.","Je me sens stressé."
"stressed_4","Do you feel stressed?","Vous sentez-vous stressé?"
"stressed_5","I don't want to feel stressed.","Je ne veux pas me sentir stressé."
"thankful","Thankful","Reconnaissant"
"thankful_2","I'm thankful.","Je suis reconnaissant."
"thankful_3","I feel thankful.","Je me sens reconnaissant."
"thankful_4","Do you feel thankful?","Vous sentez-vous reconnaissant?"
"thankful_5","I want to feel thankful.","Je veux me sentir reconnaissant."
"confused","Confused","Confus"
"confused_2","I'm confused.","Je suis confus."
"confused_3","I feel confused.","Je suis confus."
"confused_4","Do you feel confused?","Vous sentez-vous confus?"
"confused_5","You are confusing me.","Vous me confondez."
"joyful","Joyful","Joyeux"
"joyful_2","I'm joyful.","Je suis joyeuse."
"joyful_3","I feel joyful.","Je me sens joyeuse."
"joyful_4","Do you feel joyful?","Vous sentez-vous joyeux?"
"joyful_5","I want to feel joyful.","Je veux me sentir joyeux."
"angry","Angry","En colère"
"angry_2","I'm angry.","Je suis en colère."
"angry_3","I feel angry.","Je suis en colère."
"angry_4","Do you feel angry?","Vous sentez-vous en colère?"
"angry_5","I'm angry at you.","Je suis fachée contre toi."
"angry_6","You are making me angry.","Vous me mettez en colère."
"smart","Smart","Intelligent"
"smart_2","I'm smart.","Je suis intelligente."
"smart_3","I feel smart.","Je me sens malin."
"smart_4","Do you feel smart?","Vous sentez-vous intelligent?"
"smart_5","Am I smart?","Suis-je intelligent?"
"smart_6","You are smart!","Tu es intelligent!"
"afraid","Afraid","Peur"
"afraid_2","I'm afraid.","J'ai peur."
"afraid_3","I feel afraid.","Je suis effrayé."
"afraid_4","Do you feel afraid?","Avez-vous peur?"
"afraid_5","I don't want to feel afraid.","Je ne veux pas avoir peur."
"afraid_6","You are scaring me.","Tu me fais peur."
"ashamed","Ashamed","Honteux"
"ashamed_2","I'm ashamed.","J'ai honte."
"ashamed_3","I feel ashamed.","Je me sens honteux."
"ashamed_4","Do you feel ashamed?","Avez-vous honte?"
"ashamed_5","I don't want to feel ashamed.","Je ne veux pas avoir honte."
"shocked","Shocked","Choqué"
"shocked_2","I'm shocked.","Je suis choqué."
"shocked_3","I feel shocked.","Je me sens choqué."
"shocked_4","Do you feel shocked?","Vous sentez-vous choqué?"
"shocked_5","You shocked me.","Tu m'as choqué."
"sick","Sick","Malade"
"sick_2","I'm sick.","Je suis malade."
"sick_3","I feel sick.","Je me sens malade."
"sick_4","Do you feel sick?","Vous sentez-vous malade?"
"sick_5","I don't want to be sick.","Je ne veux pas être malade."
"sick_6","I'm sick of the food.","J'en ai marre de la nourriture."
"frustrated","Frustrated","Frustré"
"frustrated_2","I'm frustrated.","Je suis frustre."
"frustrated_3","I feel frustrated.","Je me sens frustré."
"frustrated_4","Do you feel frustrated?","Vous sentez-vous frustré?"
"frustrated_5","I don't want to feel frustrated.","Je ne veux pas me sentir frustré."
"excited","Excited","Excité"
"excited_2","I'm excited.","Je suis surexcité."
"excited_3","I feel excited.","Je me sens excité."
"excited_4","Do you feel excited?","Vous sentez-vous excité?"
"excited_5","I don't want to feel excited.","Je ne veux pas me sentir excité."
"nauseated","Nauseated","Nauseated"
"nauseated_2","I'm nauseated.","J'ai la nausée."
"nauseated_3","I feel nauseated.","J'ai la nausée."
"nauseated_4","Do you feel nauseated?","Vous sentez-vous nauséeux?"
"nauseated_5","I don't want to feel nauseated.","Je ne veux pas me sentir nauséeux."
"agitated","Agitated","Agité"
"agitated_2","I'm agitated.","Je suis agité."
"agitated_3","I feel agitated.","Je me sens agité."
"agitated_4","Do you feel agitated?","Vous sentez-vous agité?"
"agitated_5","I don't want to feel agitated.","Je ne veux pas me sentir agité."
"food","Food","Aliments"
"hungry","Hungry","Faim"
"hungry_2","I'm hungry.","J'ai faim."
"hungry_3","Are you hungry?","Avez-vous faim?"
"hungry_4","Can you make me food?","Pouvez-vous me faire de la nourriture?"
"hungry_5","What is for dinner?","Qu'est-ce qu'on mange?"
"thirsty","Thirsty","Assoiffé"
"thirsty_2","I'm thirsty.","J'ai soif."
"thirsty_3","Can I have some water?","Puis-je avoir de l'eau?"
"thirsty_4","Can I have a glass of water?","Puis-je avoir un verre d'eau?"
"thirsty_5","I want something to drink.","Je veux quelque chose à boire."
"cutlery","Cutlery","Coutellerie"
"cutlery_2","I need cutlery.","J'ai besoin de couverts."
"cutlery_3","Help me use cutlery.","Aidez-moi à utiliser des couverts."
"cutlery_4","I need a fork.","J'ai besoin d'une fourchette."
"cutlery_5","I need a spoon.","J'ai besoin d'une cuillère."
"cutlery_6","I need chopsticks.","J'ai besoin de baguettes."
"cutlery_7","I need a knife.","J'ai besoin d'un couteau."
"cutlery_8","I need a napkin.","J'ai besoin d'une serviette."
"apple","Apple","Pomme"
"apple_2","I like apple.","J'aime les pommes."
"apple_3","I don't like apple.","Je n'aime pas la pomme."
"apple_4","I want to eat an apple.","Je veux manger une pomme."
"carrot","Carrot","Carotte"
"carrot_2","I like carrot.","J'aime la carotte."
"carrot_3","I don't like carrot.","Je n'aime pas la carotte."
"carrot_4","I want to eat a carrot.","Je veux manger une carotte."
"beans","Beans","Des haricots"
"beans_2","I like beans.","J'aime les haricots."
"beans_3","I don't like beans.","Je n'aime pas les haricots."
"beans_4","I want to eat beans.","Je veux manger des haricots."
"chicken_5","I want fried chicken.","Je veux du poulet frit."
"chicken_6","I want boiled chicken.","Je veux du poulet bouilli."
"chocolate","Chocolate","Chocolat"
"chocolate_2","I like chocolate.","J'aime le chocolat."
"chocolate_3","I don't like chocolate.","Je n'aime pas le chocolat."
"chocolate_4","I want to eat chocolate.","Je veux manger du chocolat."
"chocolate_5","I want dark chocolate.","Je veux du chocolat noir."
"chocolate_6","I want white chocolate.","Je veux du chocolat blanc."
"milk","Milk","Lait"
"milk_2","I like milk.","J'aime le lait."
"milk_3","I don't like milk.","Je n'aime pas le lait."
"milk_4","I want to drink milk.","Je veux boire du lait."
"milk_5","Can I have a glass of milk?","Puis-je avoir un verre de lait?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","J'aime le sandwich."
"sandwich_3","I don't like sandwich.","Je n'aime pas le sandwich."
"sandwich_4","I want to eat a sandwich.","Je veux manger un sandwich."
"sandwich_5","Can you make me a sandwich?","Tu peux me faire un sandwich?"
"steak","Steak","Steak"
"steak_2","I like steak.","J'aime le steak."
"steak_3","I don't like steak.","Je n'aime pas le steak."
"steak_4","I want to eat steak.","Je veux manger du steak."
"steak_5","Can you cook steak for me?","Pouvez-vous me préparer un steak?"
"banana","Banana","banane"
"banana_2","I like banana.","J'aime la banane."
"banana_3","I don't like banana.","Je n'aime pas la banane."
"banana_4","I want to eat a banana.","Je veux manger une banane."
"pie","Pie","Tarte"
"pie_2","I like pie.","J'aime la tarte."
"pie_3","I don't like pie.","Je n'aime pas la tarte."
"pie_4","I want to eat pie.","Je veux manger une tarte."
"pie_5","Can you bake a pie for me?","Peux-tu faire une tarte pour moi?"
"egg","Egg","Oeuf"
"egg_2","I like egg.","J'aime l'œuf."
"egg_3","I don't like egg.","Je n'aime pas l'oeuf."
"egg_4","I want to eat egg.","Je veux manger un œuf."
"egg_5","I want fried eggs.","Je veux des œufs au plat."
"egg_6","I want boiled eggs.","Je veux des œufs durs."
"noodles","Noodles","Nouilles"
"noodles_2","I like noodles.","J'aime les nouilles."
"noodles_3","I don't like noodles.","Je n'aime pas les nouilles."
"noodles_4","I want to eat noodles.","Je veux manger des nouilles."
"noodles_5","Can you cook noodles for me?","Pouvez-vous me faire des nouilles?"
"salt","Salt","Sel"
"salt_2","I want salt.","Je veux du sel."
"salt_3","Can you pass me the salt?","Peux-tu me passer le sel?"
"salt_4","Food is too salty.","La nourriture est trop salée."
"salt_5","My food needs some salt.","Ma nourriture a besoin de sel."
"spices","Spices","Épices"
"spices_2","I like spicy food.","J'aime des nourritures épicées."
"spices_3","I don't like spicy food.","Je n'aime pas la nourriture épicée."
"spices_4","I want paprika.","Je veux du paprika."
"spices_5","I want black pepper.","Je veux du poivre noir."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","J'aime la pizza."
"pizza_3","I don't like pizza.","Je n'aime pas la pizza."
"pizza_4","I want to eat pizza.","Je veux manger de la pizza."
"pizza_5","Can you cook pizza for me?","Pouvez-vous me cuisiner une pizza?"
"pizza_6","Can we order pizza?","Pouvons-nous commander une pizza?"
"cheese","Cheese","Fromage"
"cheese_2","I like cheese.","J'aime le fromage."
"cheese_3","I don't like cheese.","Je n'aime pas le fromage."
"cheese_4","I want to eat cheese.","Je veux manger du fromage."
"ice-cream","Ice cream","Crème glacée"
"ice-cream_2","I like ice cream.","J'aime la glace."
"ice-cream_3","I don't like ice cream.","Je n'aime pas la glace."
"ice-cream_4","I want to eat ice cream.","Je veux manger de la glace."
"ice-cream_5","Can you buy ice cream for me?","Pouvez-vous acheter des glaces pour moi?"
"tea","Tea","thé"
"tea_2","I like tea.","J'aime le thé."
"tea_3","I don't like tea.","Je n'aime pas le thé."
"tea_4","I want to drink tea.","Je veux boire du thé."
"tea_5","Can you make tea for me?","Pouvez-vous me faire du thé?"
"coffee","Coffee","café"
"coffee_2","I like coffee.","J'aime le café."
"coffee_3","I don't like coffee.","Je n'aime pas le café."
"coffee_4","I want to drink coffee.","Je veux boire du café."
"coffee_5","Can you make coffee for me?","Pouvez-vous me faire du café?"
"tomato","Tomato","Tomate"
"tomato_2","I like tomato.","J'aime la tomate."
"tomato_3","I don't like tomato.","Je n'aime pas la tomate."
"tomato_4","I want to eat tomato.","Je veux manger de la tomate."
"cereal","Cereal","Céréale"
"cereal_2","I like cereal.","J'aime les céréales."
"cereal_3","I don't like cereal.","Je n'aime pas les céréales."
"cereal_4","I want to eat cereal.","Je veux manger des céréales."
"cereal_5","Can you make my cereal?","Pouvez-vous faire mes céréales?"
"burger","Burger","Burger"
"burger_2","I like burger.","J'aime le burger."
"burger_3","I don't like burger.","Je n'aime pas le burger."
"burger_4","I want to eat burger.","Je veux manger un burger."
"burger_5","Can you cook burger for me?","Pouvez-vous me cuisiner un burger?"
"burger_6","Can we order burger?","Pouvons-nous commander un burger?"
"french-fries","French fries","frites"
"french-fries_2","I like french fries.","J'aime les frites."
"french-fries_3","I don't like french fries.","Je n'aime pas les frites."
"french-fries_4","I want to eat french fries.","Je veux manger des frites."
"french-fries_5","Can you cook french fries for me?","Pouvez-vous me préparer des frites?"
"french-fries_6","Can we order french fries?","Pouvons-nous commander des frites?"
"spinach","Spinach","épinard"
"spinach_2","I like spinach.","J'aime les épinards."
"spinach_3","I don't like spinach.","Je n'aime pas les épinards."
"spinach_4","I want to eat spinach.","Je veux manger des épinards."
"rice","Rice","Riz"
"rice_2","I like rice.","Jaime le riz."
"rice_3","I don't like rice.","Je n'aime pas le riz."
"rice_4","I want to eat rice.","Je veux manger du riz."
"rice_5","Can you cook rice for me?","Pouvez-vous me faire du riz?"
"bread","Bread","Pain"
"bread_2","I like bread.","J'aime le pain."
"bread_3","I don't like bread.","Je n'aime pas le pain."
"bread_4","I want to eat bread.","Je veux manger du pain."
"bread_5","Can you buy some bread?","Pouvez-vous acheter du pain?"
"pasta","Pasta","Pâtes"
"pasta_2","I like pasta.","J'aime les pâtes."
"pasta_3","I don't like pasta.","Je n'aime pas les pâtes."
"pasta_4","I want to eat pasta.","Je veux manger des pâtes."
"pasta_5","Can you cook pasta for me?","Pouvez-vous me faire des pâtes?"
"sauce","Sauce","sauce"
"sauce_2","I like sauce.","J'aime la sauce."
"sauce_3","I don't like sauce.","Je n'aime pas la sauce."
"sauce_4","I want some sauce.","Je veux de la sauce."
"sauce_5","Can I have ketchup?","Puis-je avoir du ketchup?"
"sauce_6","Can I have mayonnaise?","Puis-je avoir de la mayonnaise?"
"sauce_7","Can I have mustard?","Puis-je avoir de la moutarde?"
"sauce_8","Can I have ranch sauce?","Puis-je avoir de la sauce ranch?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","J'aime le kebab."
"kebab_3","I don't like kebab.","Je n'aime pas le kebab."
"kebab_4","I want to eat kebab.","Je veux manger du kebab."
"kebab_5","Can you cook kebab for me?","Pouvez-vous cuisiner du kebab pour moi?"
"kebab_6","Can we order kebab?","Pouvons-nous commander du kebab?"
"numbers","Numbers","Nombres"
"one","One","Une"
"one_2","One comes before two.","Un vient avant deux."
"one_3","One comes after zero.","On vient après zéro."
"one_4","I want one.","J'en veux un."
"two","Two","Deux"
"two_2","Two comes before three.","Deux avant trois."
"two_3","Two comes after one.","Deux vient après un."
"two_4","I want two.","J'en veux deux."
"three","Three","Trois"
"three_2","Three comes before four.","Trois avant quatre."
"three_3","Three comes after two.","Trois vient après deux."
"three_4","I want three.","J'en veux trois."
"four","Four","Quatre"
"four_2","Four comes before five.","Quatre avant cinq."
"four_3","Four comes after three.","Quatre vient après trois."
"four_4","I want four.","J'en veux quatre."
"five","Five","Cinq"
"five_2","Five comes before six.","Cinq avant six."
"five_3","Five comes after four.","Cinq vient après quatre."
"five_4","I want five.","J'en veux cinq."
"six","Six","Six"
"six_2","Six comes before seven.","Six avant sept."
"six_3","Six comes after five.","Six vient après cinq."
"six_4","I want fix.","Je veux réparer."
"seven","Seven","Sept"
"seven_2","Seven comes before eight.","Sept avant huit."
"seven_3","Seven comes after six.","Sept après six."
"seven_4","I want seven.","J'en veux sept."
"eight","Eight","Huit"
"eight_2","Eight comes before nine.","Huit vient avant neuf."
"eight_3","Eight comes after seven.","Huit vient après sept."
"eight_4","I want eight.","J'en veux huit."
"nine","Nine","Neuf"
"nine_2","Nine comes before ten.","Neuf avant dix."
"nine_3","Nine comes after eight.","Neuf vient après huit."
"nine_4","I want nine.","J'en veux neuf."
"ten","Ten","Dix"
"ten_2","Ten comes before eleven.","Dix avant onze."
"ten_3","Ten comes after nine.","Dix vient après neuf."
"ten_4","I want ten.","J'en veux dix."
"eleven","Eleven","Onze"
"eleven_2","Eleven comes before thirteen.","Onze vient avant treize."
"eleven_3","Eleven comes after ten.","Onze vient après dix."
"eleven_4","I want eleven.","J'en veux onze."
"twenty","Twenty","Vingt"
"twenty_2","I can count up to twenty.","Je peux compter jusqu'à vingt."
"thirty","Thirty","Trente"
"thirty_2","I can count up to thirty.","Je peux compter jusqu'à trente."
"forty","Forty","Quarante"
"forty_2","I can count up to forty.","Je peux compter jusqu'à quarante."
"fifty","Fifty","Cinquante"
"fifty_2","I can count up to fifty.","Je peux compter jusqu'à cinquante."
"hundred","Hundred","Cent"
"hundred_2","I can count up to hundred.","Je peux compter jusqu'à cent."
"thousand","Thousand","Mille"
"thousand_2","I can count up to thousand.","Je peux compter jusqu'à mille."
"calculator","Calculator","Calculatrice"
"calculator_2","I want to use a calculator.","Je veux utiliser une calculatrice."
"calculator_3","Can you teach me how to use a calculator?","Pouvez-vous m'apprendre à utiliser une calculatrice?"
"calculator_4","Can I barrow your calculator?","Puis-je utiliser votre calculatrice?"
"people","People","Gens"
"mother","Mother","Mère"
"mother_2","Mommy!","Maman!"
"mother_3","I love my mother.","J'aime ma mère."
"mother_4","I love you mom.","Je t'aime maman."
"mother_5","I miss my mom.","Ma mère me manque."
"mother_6","Thank you for taking care of me.","Merci de prendre soin de moi."
"mother_7","She is my mom.","Elle est ma maman."
"mother_8","Can you help me find my mother?","Pouvez-vous m'aider à retrouver ma mère?"
"father","Father","Père"
"father_2","Daddy!","Papa!"
"father_3","I love my father.","J'aime mon père."
"father_4","I love you dad.","Je t'aime papa."
"father_5","I miss my dad.","Je manque mon père."
"father_6","Thank you for taking care of me.","Merci de prendre soin de moi."
"father_7","He is my dad.","Il est mon père."
"father_8","Can you help me find my father?","Pouvez-vous m'aider à retrouver mon père?"
"parents","Parents","Parents"
"parents_2","I love my parents.","Je aime mes parents."
"parents_3","I love my parents.","Je aime mes parents."
"parents_4","I miss my parents.","Mes parents me manquent."
"parents_5","They are my parents.","Ce sont mes parents."
"parents_6","My parents are taking care of me.","Mes parents prennent soin de moi."
"parents_8","Can you help me find my parents?","Pouvez-vous m'aider à retrouver mes parents?"
"grandparents","Grandparents","Grands-parents"
"grandparents_2","I love my grandparents.","J'adore mes grands-parents."
"grandparents_3","I love you grandparents.","Je t'aime grands-parents."
"grandparents_4","I miss my grandparents.","Mes grands-parents me manquent."
"grandparents_5","They are my grandparents.","Ce sont mes grands-parents."
"grandparents_6","My grandparents are taking care of me.","Mes grands-parents prennent soin de moi."
"grandparents_8","Can you help me find my grandparents?","Pouvez-vous m'aider à retrouver mes grands-parents?"
"brother","Brother","Frère"
"brother_2","I love my brother.","J'aime mon frère."
"brother_3","I love you brother.","J'aime ton frère."
"brother_4","I miss my brother.","Mon frère me manque."
"brother_5","He is my brother.","C'est mon frère."
"brother_6","My brother is taking care of me.","Mon frère prend soin de moi."
"brother_8","Can you help me find my brother?","Pouvez-vous m'aider à retrouver mon frère?"
"sister","Sister","Sœur"
"sister_2","I love my sister.","J'aime ma soeur."
"sister_3","I love you sister.","Je t'aime ma soeur."
"sister_4","I miss my sister.","Ma soeur me manque."
"sister_5","She is my sister.","Elle est ma soeur."
"sister_6","My sister is taking care of me.","Ma sœur prend soin de moi."
"sister_8","Can you help me find my sister?","Pouvez-vous m'aider à retrouver ma sœur?"
"uncle","Uncle","Oncle"
"uncle_2","I love my uncle.","J'adore mon oncle."
"uncle_3","I love you uncle.","Je t'aime mon oncle."
"uncle_4","I miss my uncle.","Mon oncle me manque."
"uncle_5","He is my uncle.","Il est mon oncle."
"uncle_8","Can you help me find my uncle?","Pouvez-vous m'aider à retrouver mon oncle?"
"aunt","Aunt","Tante"
"aunt_2","I love my aunt.","J'aime ma tante."
"aunt_3","I love you aunt.","Je t'aime tante."
"aunt_4","I miss my aunt.","Ma tante me manque."
"aunt_5","She is my aunt.","Elle est ma tante."
"aunt_8","Can you help me find my aunt?","Pouvez-vous m'aider à retrouver ma tante?"
"teacher","Teacher","Prof"
"teacher_2","I love my teacher.","J'aime ma prof."
"teacher_3","I love you teacher.","Je t'aime professeur."
"teacher_4","I don't like my teacher.","Je n'aime pas mon professeur."
"teacher_5","I miss my teacher.","Mon professeur me manque."
"teacher_6","Thank you for the lesson.","Merci pour la leçon."
"therapist","Therapist","Thérapeute"
"therapist_2","I love my therapist.","J'adore mon thérapeute."
"therapist_3","I love you therapist.","Je t'aime thérapeute."
