"activities","Activities","Aktivitäten"
"pink","Pink","Rosa"
"pink_2","It is pink.","Es ist pink."
"pink_3","My favorite color is pink.","Meine Lieblingsfarbe ist pink."
"pink_4","Can you give me pink paint?","Kannst du mir rosa Farbe geben?"
"brown","Brown","Braun"
"brown_2","It is brown.","Es ist braun."
"brown_3","My favorite color is brown.","Meine Lieblingsfarbe ist braun."
"brown_4","Can you give me brown paint?","Kannst du mir braune Farbe geben?"
"black","Black","Schwarz"
"black_2","It is black.","Es ist schwarz."
"black_3","My favorite color is black.","Meine Lieblingsfarbe ist schwarz."
"black_4","Can you give me black paint?","Kannst du mir schwarze Farbe geben?"
"white","White","Weiß"
"white_2","It is white.","Es ist weiss."
"white_3","My favorite color is white.","Meine Lieblingsfarbe ist weiß."
"white_4","Can you give me white paint?","Kannst du mir weiße Farbe geben?"
"gray","Gray","Grau"
"gray_2","It is gray.","Es ist grau."
"gray_3","My favorite color is gray.","Meine Lieblingsfarbe ist grau."
"gray_4","Can you give me gray paint?","Kannst du mir graue Farbe geben?"
"transparent","Transparent","Transparent"
"transparent_2","It is transparent.","Es ist transparent."
"transparent_3","I can see behind transparent color.","Ich kann hinter transparente Farbe sehen."
"transparent_4","Can you help me erase?","Kannst du mir beim Löschen helfen?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","Es ist Cyan."
"cyan_3","My favorite color is cyan.","Meine Lieblingsfarbe ist Cyan."
"cyan_4","Can you give me cyan paint?","Kannst du mir Cyanfarbe geben?"
"violet","Violet","Violett"
"violet_2","It is violet.","Es ist violett."
"violet_3","My favorite color is violet.","Meine Lieblingsfarbe ist violett."
"violet_4","Can you give me violet paint?","Kannst du mir violette Farbe geben?"
"turquoise","Turquoise","Türkis"
"turquoise_2","It is turquoise.","Es ist türkis."
"turquoise_3","My favorite color is turquoise.","Meine Lieblingsfarbe ist Türkis."
"turquoise_4","Can you give me turquoise paint?","Kannst du mir türkisfarbene Farbe geben?"
"lime","Lime","Limette"
"lime_2","It is lime.","Es ist Kalk."
"lime_3","My favorite color is lime.","Meine Lieblingsfarbe ist Limette."
"lime_4","Can you give me lime paint?","Kannst du mir Kalkfarbe geben?"
"plum","Plum","Pflaume"
"plum_2","It is plum.","Es ist Pflaume."
"plum_3","My favorite color is plum.","Meine Lieblingsfarbe ist Pflaume."
"plum_4","Can you give me plum paint?","Kannst du mir Pflaumenfarbe geben?"
"tan","Tan","Bräunen"
"tan_2","It is tan color.","Es ist braune Farbe."
"tan_3","My favorite color is tan color.","Meine Lieblingsfarbe ist braune Farbe."
"tan_4","Can you give me tan color paint?","Kannst du mir braune Farbe geben?"
"avocado","Avocado","Avocado"
"avocado_2","It is avocado color.","Es ist Avocadofarbe."
"avocado_3","My favorite color is avocado color.","Meine Lieblingsfarbe ist Avocadofarbe."
"avocado_4","Can you give me avocado color paint?","Können Sie mir Avocado-Farbe geben?"
"barbie-pink","Barbie pink","Barbie pink"
"barbie-pink_2","It is barbie pink color.","Es ist barbie rosa Farbe."
"barbie-pink_3","My favorite color is barbie pink.","Meine Lieblingsfarbe ist Barbie Pink."
"barbie-pink_4","Can you give me barbie pink paint?","Kannst du mir Barbie Pink Farbe geben?"
"blizzard-blue","Blizzard blue","Schneesturm blau"
"blizzard-blue_2","It is blizzard blue color.","Es ist schneesturmblaue Farbe."
"blizzard-blue_3","My favorite color is blizzard blue color.","Meine Lieblingsfarbe ist Schneesturmblau."
"blizzard-blue_4","Can you give me blizzard blue paint?","Kannst du mir blizzardblaue Farbe geben?"
"conversation","Conversation","Konversation"
"me","Me","Mir"
"me_2","My name is {name}","Mein Name ist {Name}"
"me_3","I'm {name}","Im Namen}"
"me_4","Do you know my name?","Kennst du meinen Namen?"
"me_5","What is your name?","Wie heißen Sie?"
"me_6","Nice to meet you!","Freut mich, dich kennenzulernen!"
"me_7","Do you like me?","Magst du mich?"
"me_8","Can we be friends?","Können wir Freunde sein?"
"me_9","I'm using assistive communication app.","Ich benutze die App für unterstützende Kommunikation."
"me_10","Who are you?","Wer bist du?"
"hello","Hello","Hallo"
"hello_2","Hello.","Hallo."
"hello_3","Hi.","Hallo."
"hello_4","Greetings.","Schöne Grüße."
"hello_5","How are you?","Wie geht es dir?"
"hello_6","Nice to meet you!","Freut mich, dich kennenzulernen!"
"help","Help","Hilfe"
"help_2","Help me.","Hilf mir."
"help_3","Can you help me?","Können Sie mir helfen?"
"help_4","I need help","Ich brauche Hilfe"
"help_5","Do you need help?","Brauchst du Hilfe?"
"yes","Yes","Ja"
"yes_2","Yes.","Ja."
"yes_3","Yes please.","Ja bitte."
"yes_4","Alright.","In Ordung."
"yes_5","Agreed.","Einverstanden."
"yes_6","I want to.","Ich will."
"yes_7","I would like to.","Ich würde gerne."
"no","No","Nein"
"no_2","No.","Nein."
"no_3","Nope.","Nee."
"no_4","Never.","Noch nie."
"no_5","I don't want to.","Ich will nicht"
"no_6","I don't like it.","Ich mag es nicht."
"no_7","You don't like it?","Du magst es nicht?"
"no_8","Why you don't like it?","Warum magst du es nicht?"
"toilet","Toilet","Toilette"
"toilet_2","I need to go to the toilet.","Ich muss auf die Toilette."
"toilet_3","I need to pee.","Ich muss pinkeln."
"toilet_4","I need to poop.","Ich muss aufs Klo."
"toilet_5","Can you help me go to the toilet?","Kannst du mir helfen, auf die Toilette zu gehen?"
"toilet_6","Can you help me clean?","Kannst du mir beim Putzen helfen?"
"toilet_7","I peed myself.","Ich habe mir in die Hose gemacht."
"toilet_8","I pooped myself.","Ich habe mich gekackt."
"what","What","Was"
"what_2","What is that?","Was ist das?"
"what_3","What does it mean?","Was bedeutet das?"
"what_4","What do you mean?","Was meinst du?"
"what_5","Can you explain it?","Kannst du es erklären?"
"what_6","Can you repeat what you said?","Können Sie wiederholen, was Sie gesagt haben?"
"what_7","I don't understand.","Ich verstehe nicht"
"sleep","Sleep","Schlaf"
"sleep_2","I want to sleep.","Ich will schlafen."
"sleep_3","I don't want to sleep.","Ich will nicht schlafen"
"sleep_4","I'm tired.","Ich bin müde."
"sleep_5","Are you tired?","Bist du müde?"
"sleep_6","When am I going to sleep?","Wann gehe ich schlafen"
"sleep_7","I want to take a nap.","Ich möchte ein Schläfchen machen."
"bath","Bath","Bad"
"bath_2","I want to take a bath.","Ich möchte ein Bad nehmen."
"bath_3","I like taking a bath.","Ich nehme gerne ein Bad."
"bath_4","I want to wash my hands.","Ich möchte meine Hände waschen."
"bath_5","I want to take a shower.","Ich möchte duschen."
"bath_6","I want to clean myself.","Ich möchte mich reinigen."
"bath_7","Can you help me take a bath?","Kannst du mir helfen, ein Bad zu nehmen?"
"bath_8","I don't want to take a bath.","Ich möchte kein Bad nehmen."
"listen","Listen","Hör mal zu"
"listen_2","Listen to me.","Hör mir zu."
"listen_3","Can you listen to me?","Kannst du mir zuhören?"
"listen_4","Listen to music.","Musik hören."
"listen_5","Listening to my parents.","Ich höre meinen Eltern zu."
"listen_6","Listen to what my application is saying!","Hören Sie, was meine Bewerbung sagt!"
"morning","Morning","Morgen"
"morning_2","Good morning.","Guten Morgen."
"morning_3","I like mornings.","Ich mag Morgen."
"morning_4","In the morning.","Am Morgen."
"morning_5","Morning time.","Morgens."
"morning_6","Is it morning?","Ist es morgen"
"night","Night","Nacht"
"night_2","Good night!","Gute Nacht!"
"night_3","I like nights.","Ich mag Nächte."
"night_4","At night.","In der Nacht."
"night_5","Night time.","Nachtzeit."
"night_6","Is it night?","Ist es Nacht?"
"look","Look","Aussehen"
"look_2","Look at me.","Sieh mich an."
"look_3","Look at this.","Schau dir das an."
"look_4","Are you looking?","Schaust du?"
"look_5","Look at my drawing.","Schau dir meine Zeichnung an."
"look_6","How do I look?","Wie sehe ich aus?"
"look_7","Look what I did.","Schau was ich getan habe."
"look_8","Let's look at that.","Schauen wir uns das an."
"speak","Speak","Sprechen"
"speak_2","I'm learning how to speak.","Ich lerne sprechen."
"speak_3","I want to speak.","Ich möchte sprechen."
"speak_4","Can I speak with you?","Kann ich mit dir reden?"
"speak_5","I like speaking.","Ich spreche gern."
"speak_6","I'm using assistive communication app.","Ich benutze die App für unterstützende Kommunikation."
"play","Play","abspielen"
"play_2","I love playing.","Ich liebe es zu spielen."
"play_3","Can you play with me?","Kannst du mit mir spielen?"
"play_4","I want to play with you!","Ich will mit dir spielen!"
"play_5","I want to play with my friends.","Ich möchte mit meinen Freunden spielen."
"play_6","I don't want to play with you.","Ich will nicht mit dir spielen."
"outside","Outside","Draußen"
"outside_2","I love going outside.","Ich gehe gerne nach draußen."
"outside_3","I want to go outside.","Ich möchte nach draußen gehen."
"outside_4","Is it cold outside?","Es ist kalt draußen?"
"outside_5","I don't like outside.","Ich mag es nicht draußen."
"outside_6","Can I go outside?","Kann ich raus gehen?"
"home","Home","Zuhause"
"home_2","I love my home.","Ich liebe meine Heimat."
"home_3","I want to go home.","Ich möchte nach Hause gehen."
"home_4","Where is your home?","Wo ist dein Zuhause?"
"home_5","Home sweet home.","Trautes Heim, Glück allein."
"home_6","I'm in the house.","Ich bin im Haus."
"home_7","I'm not in the house.","Ich bin nicht im haus"
"hurt","Hurt","Verletzt"
"hurt_2","I'm hurt.","Ich bin verletzt."
"hurt_3","Are you hurt?","Sind Sie verletzt?"
"hurt_4","Did I hurt you?","Habe ich dich verletzt?"
"hurt_5","I didn't mean to hurt you!","Ich wollte dich nicht verletzen!"
"hurt_6","Is it going to hurt?","Wird es weh tun?"
"hurt_7","I have a headache.","Ich habe Kopfschmerzen."
"hurt_8","I have a stomach ache.","Ich habe Bauchschmerzen."
"hurt_9","My genitals hurt.","Meine Genitalien tun weh."
"hurt_10","My foot hurts.","Mein Fuß tut weh."
"feelings","Feelings","Gefühle"
"happy","Happy","glücklich"
"happy_2","I'm happy.","Ich bin froh."
"happy_3","I feel happy.","Ich bin glücklich."
"happy_4","Do you feel happy?","Fühlst du dich glücklich"
"happy_5","I want to feel happy.","Ich möchte glücklich sein."
"happy_6","You are making me happy.","Du machst mich glücklich."
"sad","Sad","Traurig"
"sad_2","I'm sad.","Ich bin traurig."
"sad_3","I feel sad.","Ich bin traurig."
"sad_4","Do you feel sad?","Fühlst du dich traurig"
"sad_5","I don't want to feel sad.","Ich möchte nicht traurig sein."
"sad_6","You are making me sad.","Du machst mich traurig."
"exhausted","Exhausted","Erschöpft"
"exhausted_2","I'm exhausted.","Ich bin erschöpft."
"exhausted_3","I feel exhausted.","Ich fühle mich erschöpft."
"exhausted_4","Do you feel exhausted?","Fühlst du dich erschöpft?"
"exhausted_5","I don't want to be exhausted.","Ich möchte nicht erschöpft sein."
"relaxed","Relaxed","Entspannt"
"relaxed_2","I'm relaxed.","Ich bin entspannt."
"relaxed_3","I feel relaxed.","Ich fühle mich entspannt."
"relaxed_4","Do you feel relaxed?","Fühlst du dich entspannt?"
"relaxed_5","I want to feel relaxed.","Ich möchte mich entspannt fühlen."
"in-love","In love","Verliebt"
"in-love_2","I'm in love.","Ich bin verliebt."
"in-love_3","I feel in love.","Ich fühle mich verliebt."
"in-love_4","Are you in love?","Bist du verliebt?"
"in-love_5","I want to fall in love.","Ich möchte mich verlieben."
"in-love_6","Do you love me?","Liebst du mich?"
"stressed","Stressed","Betont"
"stressed_2","I'm stressed.","Ich bin gestresst."
"stressed_3","I feel stressed.","Ich fühle mich gestresst."
"stressed_4","Do you feel stressed?","Fühlst du dich gestresst?"
"stressed_5","I don't want to feel stressed.","Ich möchte mich nicht gestresst fühlen."
"thankful","Thankful","Dankbar"
"thankful_2","I'm thankful.","Ich bin dankbar."
"thankful_3","I feel thankful.","Ich bin dankbar."
"thankful_4","Do you feel thankful?","Fühlst du dich dankbar?"
"thankful_5","I want to feel thankful.","Ich möchte dankbar sein."
"confused","Confused","Verwirrt"
"confused_2","I'm confused.","Ich bin verwirrt."
"confused_3","I feel confused.","Ich bin verwirrt."
"confused_4","Do you feel confused?","Fühlst du dich verwirrt?"
"confused_5","You are confusing me.","Du verwirrst mich."
"joyful","Joyful","Froh"
"joyful_2","I'm joyful.","Ich bin fröhlich."
"joyful_3","I feel joyful.","Ich fühle mich fröhlich."
"joyful_4","Do you feel joyful?","Fühlst du dich fröhlich?"
"joyful_5","I want to feel joyful.","Ich möchte mich freudig fühlen."
"angry","Angry","Wütend"
"angry_2","I'm angry.","Ich bin verärgert."
"angry_3","I feel angry.","Ich bin wütend."
"angry_4","Do you feel angry?","Fühlst du dich wütend"
"angry_5","I'm angry at you.","Ich bin sauer auf dich."
"angry_6","You are making me angry.","Du machst mich wütend."
"smart","Smart","Clever"
"smart_2","I'm smart.","Ich bin schlau."
"smart_3","I feel smart.","Ich fühle mich schlau."
"smart_4","Do you feel smart?","Fühlst du dich schlau?"
"smart_5","Am I smart?","Bin ich schlau"
"smart_6","You are smart!","Du bist schlau!"
"afraid","Afraid","Angst"
"afraid_2","I'm afraid.","Ich fürchte."
"afraid_3","I feel afraid.","Ich habe Angst."
"afraid_4","Do you feel afraid?","Hast du angst"
"afraid_5","I don't want to feel afraid.","Ich möchte keine Angst haben."
"afraid_6","You are scaring me.","Du machst mir Angst."
"ashamed","Ashamed","Beschämt"
"ashamed_2","I'm ashamed.","Ich schäme mich."
"ashamed_3","I feel ashamed.","Ich schäme mich."
"ashamed_4","Do you feel ashamed?","Schämst du dich?"
"ashamed_5","I don't want to feel ashamed.","Ich möchte mich nicht schämen."
"shocked","Shocked","Schockiert"
"shocked_2","I'm shocked.","Ich bin geschockt."
"shocked_3","I feel shocked.","Ich bin schockiert."
"shocked_4","Do you feel shocked?","Fühlst du dich schockiert?"
"shocked_5","You shocked me.","Du hast mich schockiert."
"sick","Sick","Krank"
"sick_2","I'm sick.","Ich bin krank."
"sick_3","I feel sick.","Mir ist schlecht."
"sick_4","Do you feel sick?","Fühlst du dich nicht wohl?"
"sick_5","I don't want to be sick.","Ich will nicht krank sein."
"sick_6","I'm sick of the food.","Ich habe das Essen satt."
"frustrated","Frustrated","Frustriert"
"frustrated_2","I'm frustrated.","Ich bin frustriert."
"frustrated_3","I feel frustrated.","Ich bin frustriert."
"frustrated_4","Do you feel frustrated?","Fühlst du dich frustriert?"
"frustrated_5","I don't want to feel frustrated.","Ich möchte nicht frustriert sein."
"excited","Excited","Aufgeregt"
"excited_2","I'm excited.","Ich bin aufgeregt."
"excited_3","I feel excited.","Ich bin aufgeregt."
"excited_4","Do you feel excited?","Fühlst du dich aufgeregt?"
"excited_5","I don't want to feel excited.","Ich möchte nicht aufgeregt sein."
"nauseated","Nauseated","Übelkeit"
"nauseated_2","I'm nauseated.","Mir ist übel."
"nauseated_3","I feel nauseated.","Mir ist übel."
"nauseated_4","Do you feel nauseated?","Fühlst du dich übel?"
"nauseated_5","I don't want to feel nauseated.","Ich möchte mich nicht übel fühlen."
"agitated","Agitated","Aufgeregt"
"agitated_2","I'm agitated.","Ich bin aufgeregt."
"agitated_3","I feel agitated.","Ich bin aufgeregt."
"agitated_4","Do you feel agitated?","Fühlst du dich aufgeregt?"
"agitated_5","I don't want to feel agitated.","Ich möchte mich nicht aufgeregt fühlen."
"food","Food","Essen"
"hungry","Hungry","Hungrig"
"hungry_2","I'm hungry.","Ich habe Hunger."
"hungry_3","Are you hungry?","Bist du hungrig?"
"hungry_4","Can you make me food?","Kannst du mir Essen machen?"
"hungry_5","What is for dinner?","Was gibt es zum Mittagessen?"
"thirsty","Thirsty","Durstig"
"thirsty_2","I'm thirsty.","Ich habe Durst."
"thirsty_3","Can I have some water?","Kann ich etwas Wasser haben?"
"thirsty_4","Can I have a glass of water?","Kann ich ein Glas Wasser haben?"
"thirsty_5","I want something to drink.","Ich möchte etwas zu trinken."
"cutlery","Cutlery","Besteck"
"cutlery_2","I need cutlery.","Ich brauche Besteck."
"cutlery_3","Help me use cutlery.","Hilf mir, Besteck zu benutzen."
"cutlery_4","I need a fork.","Ich brauche eine Gabel."
"cutlery_5","I need a spoon.","Ich brauche einen Löffel."
"cutlery_6","I need chopsticks.","Ich brauche Stäbchen."
"cutlery_7","I need a knife.","Ich brauche ein Messer."
"cutlery_8","I need a napkin.","Ich brauche eine Serviette."
"apple","Apple","Apfel"
"apple_2","I like apple.","Ich mag Apple."
"apple_3","I don't like apple.","Ich mag keinen Apfel."
"apple_4","I want to eat an apple.","Ich möchte einen Apfel zu essen."
"carrot","Carrot","Karotte"
"carrot_2","I like carrot.","Ich mag Karotten."
"carrot_3","I don't like carrot.","Ich mag keine Karotten."
"carrot_4","I want to eat a carrot.","Ich möchte eine Karotte essen."
"beans","Beans","Bohnen"
"beans_2","I like beans.","Ich mag Bohnen."
"beans_3","I don't like beans.","Ich mag keine Bohnen."
"beans_4","I want to eat beans.","Ich möchte Bohnen essen."
"chicken_5","I want fried chicken.","Ich möchte gebratenes Huhn."
"chicken_6","I want boiled chicken.","Ich möchte gekochtes Huhn."
"chocolate","Chocolate","Schokolade"
"chocolate_2","I like chocolate.","Ich mag Schokolade."
"chocolate_3","I don't like chocolate.","Ich mag keine Schokolade."
"chocolate_4","I want to eat chocolate.","Ich möchte Schokolade essen."
"chocolate_5","I want dark chocolate.","Ich will dunkle Schokolade."
"chocolate_6","I want white chocolate.","Ich will weiße Schokolade."
"milk","Milk","Milch"
"milk_2","I like milk.","Ich mag Milch."
"milk_3","I don't like milk.","Ich mag keine Milch."
"milk_4","I want to drink milk.","Ich möchte Milch trinken."
"milk_5","Can I have a glass of milk?","Kann ich ein Glas Milch haben?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Ich mag Sandwich."
"sandwich_3","I don't like sandwich.","Ich mag kein Sandwich."
"sandwich_4","I want to eat a sandwich.","Ich möchte ein Sandwich essen."
"sandwich_5","Can you make me a sandwich?","Kannst du mir ein Sandwich machen?"
"steak","Steak","Steak"
"steak_2","I like steak.","Ich mag Steak."
"steak_3","I don't like steak.","Ich mag kein Steak."
"steak_4","I want to eat steak.","Ich möchte Steak essen."
"steak_5","Can you cook steak for me?","Kannst du Steak für mich kochen?"
"banana","Banana","Banane"
"banana_2","I like banana.","Ich mag Bananen."
"banana_3","I don't like banana.","Ich mag keine Banane."
"banana_4","I want to eat a banana.","Ich möchte eine Banane essen."
"pie","Pie","Kuchen"
"pie_2","I like pie.","Ich mag Kuchen."
"pie_3","I don't like pie.","Ich mag keinen Kuchen."
"pie_4","I want to eat pie.","Ich möchte Kuchen essen."
"pie_5","Can you bake a pie for me?","Kannst du mir einen Kuchen backen?"
"egg","Egg","Ei"
"egg_2","I like egg.","Ich mag Ei."
"egg_3","I don't like egg.","Ich mag kein Ei."
"egg_4","I want to eat egg.","Ich möchte Ei essen."
"egg_5","I want fried eggs.","Ich möchte Spiegeleier."
"egg_6","I want boiled eggs.","Ich möchte gekochte Eier."
"noodles","Noodles","Nudeln"
"noodles_2","I like noodles.","Ich mag Nudeln."
"noodles_3","I don't like noodles.","Ich mag keine Nudeln."
"noodles_4","I want to eat noodles.","Ich möchte Nudeln essen."
"noodles_5","Can you cook noodles for me?","Kannst du Nudeln für mich kochen?"
"salt","Salt","Salz"
"salt_2","I want salt.","Ich will Salz."
"salt_3","Can you pass me the salt?","Kannst du mir das Salz geben?"
"salt_4","Food is too salty.","Das Essen ist zu salzig."
"salt_5","My food needs some salt.","Mein Essen braucht etwas Salz."
"spices","Spices","Gewürze"
"spices_2","I like spicy food.","Ich mag scharfes Essen."
"spices_3","I don't like spicy food.","Ich mag kein scharfes Essen."
"spices_4","I want paprika.","Ich will Paprika."
"spices_5","I want black pepper.","Ich will schwarzen Pfeffer."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Ich mag Pizza."
"pizza_3","I don't like pizza.","Ich mag keine Pizza."
"pizza_4","I want to eat pizza.","Ich will Pizza essen."
"pizza_5","Can you cook pizza for me?","Kannst du Pizza für mich kochen?"
"pizza_6","Can we order pizza?","Können wir Pizza bestellen?"
"cheese","Cheese","Käse"
"cheese_2","I like cheese.","Ich mag Käse."
"cheese_3","I don't like cheese.","Ich mag keinen Käse."
"cheese_4","I want to eat cheese.","Ich möchte Käse essen."
"ice-cream","Ice cream","Eiscreme"
"ice-cream_2","I like ice cream.","Ich mag Eis."
"ice-cream_3","I don't like ice cream.","Ich mag kein Eis."
"ice-cream_4","I want to eat ice cream.","Ich möchte Eis essen."
"ice-cream_5","Can you buy ice cream for me?","Kannst du mir Eis kaufen?"
"tea","Tea","Tee"
"tea_2","I like tea.","Ich mag Tee."
"tea_3","I don't like tea.","Ich mag keinen Tee."
"tea_4","I want to drink tea.","Ich möchte Tee trinken."
"tea_5","Can you make tea for me?","Kannst du mir Tee machen?"
"coffee","Coffee","Kaffee"
"coffee_2","I like coffee.","Ich mag Kaffee."
"coffee_3","I don't like coffee.","Ich mag keinen Kaffee."
"coffee_4","I want to drink coffee.","Ich möchte Kaffee trinken."
"coffee_5","Can you make coffee for me?","Kannst du mir Kaffee machen?"
"tomato","Tomato","Tomate"
"tomato_2","I like tomato.","Ich mag Tomaten."
"tomato_3","I don't like tomato.","Ich mag keine Tomaten."
"tomato_4","I want to eat tomato.","Ich möchte Tomate essen."
"cereal","Cereal","Müsli"
"cereal_2","I like cereal.","Ich mag Müsli."
"cereal_3","I don't like cereal.","Ich mag kein Müsli."
"cereal_4","I want to eat cereal.","Ich möchte Müsli essen."
"cereal_5","Can you make my cereal?","Kannst du mein Müsli machen?"
"burger","Burger","Burger"
"burger_2","I like burger.","Ich mag Burger."
"burger_3","I don't like burger.","Ich mag keinen Burger."
"burger_4","I want to eat burger.","Ich möchte Burger essen."
"burger_5","Can you cook burger for me?","Kannst du Burger für mich kochen?"
"burger_6","Can we order burger?","Können wir Burger bestellen?"
"french-fries","French fries","Pommes frittes"
"french-fries_2","I like french fries.","Ich mag Pommes frites."
"french-fries_3","I don't like french fries.","Ich mag keine Pommes."
"french-fries_4","I want to eat french fries.","Ich möchte Pommes essen."
"french-fries_5","Can you cook french fries for me?","Kannst du Pommes für mich kochen?"
"french-fries_6","Can we order french fries?","Können wir Pommes bestellen?"
"spinach","Spinach","Spinat"
"spinach_2","I like spinach.","Ich mag Spinat."
"spinach_3","I don't like spinach.","Ich mag keinen Spinat."
"spinach_4","I want to eat spinach.","Ich möchte Spinat essen."
"rice","Rice","Reis"
"rice_2","I like rice.","Ich mag Reis."
"rice_3","I don't like rice.","Ich mag keinen Reis."
"rice_4","I want to eat rice.","Ich will Reis essen."
"rice_5","Can you cook rice for me?","Kannst du Reis für mich kochen?"
"bread","Bread","Brot"
"bread_2","I like bread.","Ich mag Brot."
"bread_3","I don't like bread.","Ich mag kein Brot."
"bread_4","I want to eat bread.","Ich möchte Brot essen."
"bread_5","Can you buy some bread?","Kannst du etwas Brot kaufen?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Ich mag Pasta."
"pasta_3","I don't like pasta.","Ich mag keine Pasta."
"pasta_4","I want to eat pasta.","Ich möchte Pasta essen."
"pasta_5","Can you cook pasta for me?","Kannst du mir Nudeln kochen?"
"sauce","Sauce","Soße"
"sauce_2","I like sauce.","Ich mag Sauce."
"sauce_3","I don't like sauce.","Ich mag keine Sauce."
"sauce_4","I want some sauce.","Ich will etwas Sauce."
"sauce_5","Can I have ketchup?","Kann ich Ketchup haben?"
"sauce_6","Can I have mayonnaise?","Kann ich Mayonnaise haben?"
"sauce_7","Can I have mustard?","Kann ich Senf haben?"
"sauce_8","Can I have ranch sauce?","Kann ich Ranch Sauce haben?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Ich mag Kebab."
"kebab_3","I don't like kebab.","Ich mag keinen Kebab."
"kebab_4","I want to eat kebab.","Ich möchte Kebab essen."
"kebab_5","Can you cook kebab for me?","Kannst du Kebab für mich kochen?"
"kebab_6","Can we order kebab?","Können wir Kebab bestellen?"
"numbers","Numbers","Zahlen"
"one","One","Eins"
"one_2","One comes before two.","Eins kommt vor zwei."
"one_3","One comes after zero.","Eins kommt nach Null."
"one_4","I want one.","Ich will eins."
"two","Two","Zwei"
"two_2","Two comes before three.","Zwei kommt vor drei."
"two_3","Two comes after one.","Zwei kommen nach einem."
"two_4","I want two.","Ich will zwei."
"three","Three","Drei"
"three_2","Three comes before four.","Drei kommt vor vier."
"three_3","Three comes after two.","Drei kommt nach zwei."
"three_4","I want three.","Ich will drei."
"four","Four","Vier"
"four_2","Four comes before five.","Vier kommt vor fünf."
"four_3","Four comes after three.","Vier kommt nach drei."
"four_4","I want four.","Ich will vier."
"five","Five","Fünf"
"five_2","Five comes before six.","Fünf kommt vor sechs."
"five_3","Five comes after four.","Fünf kommt nach vier."
"five_4","I want five.","Ich will fünf."
"six","Six","Sechs"
"six_2","Six comes before seven.","Sechs kommt vor sieben."
"six_3","Six comes after five.","Sechs kommt nach fünf."
"six_4","I want fix.","Ich möchte reparieren."
"seven","Seven","Sieben"
"seven_2","Seven comes before eight.","Sieben kommt vor acht."
"seven_3","Seven comes after six.","Sieben kommt nach sechs."
"seven_4","I want seven.","Ich will sieben."
"eight","Eight","Acht"
"eight_2","Eight comes before nine.","Acht kommt vor neun."
"eight_3","Eight comes after seven.","Acht kommt nach sieben."
"eight_4","I want eight.","Ich will acht."
"nine","Nine","Neun"
"nine_2","Nine comes before ten.","Neun kommt vor zehn."
"nine_3","Nine comes after eight.","Neun kommt nach acht."
"nine_4","I want nine.","Ich will neun."
"ten","Ten","Zehn"
"ten_2","Ten comes before eleven.","Zehn kommt vor elf."
"ten_3","Ten comes after nine.","Zehn kommt nach neun."
"ten_4","I want ten.","Ich will zehn."
"eleven","Eleven","Elf"
"eleven_2","Eleven comes before thirteen.","Elf kommt vor dreizehn."
"eleven_3","Eleven comes after ten.","Elf kommt nach zehn."
"eleven_4","I want eleven.","Ich will elf."
"twenty","Twenty","Zwanzig"
"twenty_2","I can count up to twenty.","Ich kann bis zu zwanzig zählen."
"thirty","Thirty","Dreißig"
"thirty_2","I can count up to thirty.","Ich kann bis zu dreißig zählen."
"forty","Forty","Vierzig"
"forty_2","I can count up to forty.","Ich kann bis zu vierzig zählen."
"fifty","Fifty","Fünfzig"
"fifty_2","I can count up to fifty.","Ich kann bis zu fünfzig zählen."
"hundred","Hundred","Hundert"
"hundred_2","I can count up to hundred.","Ich kann bis zu hundert zählen."
"thousand","Thousand","Tausend"
"thousand_2","I can count up to thousand.","Ich kann bis zu tausend zählen."
"calculator","Calculator","Taschenrechner"
"calculator_2","I want to use a calculator.","Ich möchte einen Taschenrechner benutzen."
"calculator_3","Can you teach me how to use a calculator?","Können Sie mir den Umgang mit einem Taschenrechner beibringen?"
"calculator_4","Can I barrow your calculator?","Kann ich Ihren Taschenrechner karren?"
"people","People","Menschen"
"mother","Mother","Mutter"
"mother_2","Mommy!","Mama!"
"mother_3","I love my mother.","Ich liebe meine Mutter."
"mother_4","I love you mom.","Ich liebe dich, Mami."
"mother_5","I miss my mom.","Ich vermisse meine Mutter."
"mother_6","Thank you for taking care of me.","Danke, dass du dich um mich gekümmert hast."
"mother_7","She is my mom.","Sie ist meine Mutter."
"mother_8","Can you help me find my mother?","Kannst du mir helfen, meine Mutter zu finden?"
"father","Father","Vater"
"father_2","Daddy!","Vati!"
"father_3","I love my father.","Ich liebe meinen Vater."
"father_4","I love you dad.","Ich liebe dich Papa."
"father_5","I miss my dad.","Ich vermisse meinen Vater."
"father_6","Thank you for taking care of me.","Danke, dass du dich um mich gekümmert hast."
"father_7","He is my dad.","Er ist mein Vater."
"father_8","Can you help me find my father?","Kannst du mir helfen, meinen Vater zu finden?"
"parents","Parents","Eltern"
"parents_2","I love my parents.","Ich liebe meine Eltern."
"parents_3","I love my parents.","Ich liebe meine Eltern."
"parents_4","I miss my parents.","Ich vermisse meine Eltern."
"parents_5","They are my parents.","Sie sind meine Eltern."
"parents_6","My parents are taking care of me.","Meine Eltern kümmern sich um mich."
