"activities","Activities","ক্রিয়াকলাপ"
"pamela-hat_2","I like wearing pamela hat.","আমি পামেলার টুপি পছন্দ করি।"
"pamela-hat_3","Can you help me wear my pamela hat?","আপনি আমার পামেলা টুপি পরতে সাহায্য করতে পারেন?"
"high-heels","High heels","হাই হিলস"
"high-heels_2","I like wearing high heels.","আমি হাই হিল পরতে পছন্দ করি।"
"high-heels_3","Can you help me wear my high heels?","আপনি আমার হাই হিল পরতে সাহায্য করতে পারেন?"
"overalls","Overalls","overalls"
"overalls_2","I like wearing overalls.","আমি চকচকে পরতে পছন্দ করি"
"overalls_3","Can you help me wear my overalls?","আপনি আমার চটপটি পরতে সাহায্য করতে পারেন?"
"kimono","Kimono","কিমোনো"
"kimono_2","I like wearing kimono.","আমি কিমনো পরতে পছন্দ করি।"
"kimono_3","Can you help me wear my kimono?","আপনি কি আমার কিমনো পরতে সাহায্য করতে পারেন?"
"raincoat","Raincoat","রেইনকোট"
"raincoat_2","I like wearing raincoat.","আমি রেইনকোট পরা পছন্দ করি।"
"raincoat_3","Can you help me wear my raincoat?","আপনি আমার রেইনকোট পরতে সাহায্য করতে পারেন?"
"bandana","Bandana","পট্টি"
"bandana_2","I like wearing bandana.","আমি বন্দনা পরতে পছন্দ করি।"
"bandana_3","Can you help me wear my bandana?","তুমি কি আমাকে আমার বন্দনা পরতে সাহায্য করতে পারবে?"
"beret","Beret","টুপিবিশেষ"
"beret_2","I like wearing beret.","আমি ব্রেট পরতে পছন্দ করি"
"beret_3","Can you help me wear my beret?","আপনি আমার ব্রেট পরতে সাহায্য করতে পারেন?"
"knit-hat","Knit hat","বুনা টুপি"
"knit-hat_2","I like wearing knit hat.","আমি বোনা টুপি পরতে পছন্দ করি।"
"knit-hat_3","Can you help me wear my knit hat?","আপনি কি আমার বোনা টুপি পরতে সাহায্য করতে পারেন?"
"suspenders","Suspenders","suspenders"
"suspenders_2","I like wearing suspenders.","আমি সাসপেন্ডার পরা পছন্দ করি।"
"suspenders_3","Can you help me wear my suspenders?","আপনি কি আমাকে আমার সাসপেন্ডার্স পরতে সাহায্য করতে পারেন?"
"mitten","Mitten","দস্তানাবিশেষ"
"mitten_2","I like wearing mitten.","আমি mitten পরা পছন্দ।"
"mitten_3","Can you help me wear my mitten?","তুমি কি আমাকে আমার টুকরো টুকরো পরতে সাহায্য করতে পারবে?"
"suit","Suit","মামলা"
"suit_2","I like wearing suit.","আমি স্যুট পরতে পছন্দ করি"
"suit_3","Can you help me wear my suit?","আপনি আমার স্যুট পরতে সাহায্য করতে পারেন?"
"coat","Coat","কোট"
"coat_2","I like wearing coat.","আমি কোট পরতে পছন্দ করি"
"coat_3","Can you help me wear my coat?","আপনি আমার জামা পরতে সাহায্য করতে পারেন?"
"trench-coat","Trench coat","সৈন্যদের জলাভেদ্য কোট"
"trench-coat_2","I like wearing trench coat.","আমি ট্রেঞ্চ কোট পরতে পছন্দ করি।"
"trench-coat_3","Can you help me wear my trench coat?","আপনি কি আমাকে আমার পরিখা কোট পরতে সাহায্য করতে পারেন?"
"colors","Colors","রং"
"crayons","Crayons","crayons"
"crayons_2","I like crayons.","আমি ক্রাইওন পছন্দ করি"
"crayons_3","Can you give me crayons?","আপনি আমাকে crayons দিতে পারেন?"
"crayons_4","I want to draw using my crayons.","আমি আমার ক্রেয়নগুলি ব্যবহার করে আঁকতে চাই।"
"red","Red","লাল"
"red_2","It is red.","এটা লাল."
"red_3","My favorite color is red.","আমার প্রিয় রঙ হয় লাল."
"red_4","Can you give me red paint?","আপনি আমাকে লাল পেইন্ট দিতে পারেন?"
"blue","Blue","নীল"
"blue_2","It is blue.","এটা নীল."
"blue_3","My favorite color is blue.","আমার প্রিয় রঙ নীল।"
"blue_4","Can you give me blue paint?","আপনি আমাকে নীল রঙ দিতে পারেন?"
"orange","Orange","কমলা"
"orange_2","It is orange color.","এটি কমলা রঙের।"
"orange_3","My favorite color is orange.","আমার প্রিয় রঙ কমলা।"
"orange_4","Can you give me orange paint?","আপনি আমাকে কমলা রঙ দিতে পারেন?"
"green","Green","সবুজ"
"green_2","It is green.","এটা সবুজ."
"green_3","My favorite color is green.","আমার প্রিয় রঙ সবুজ."
"green_4","Can you give me green paint?","আপনি আমাকে সবুজ পেইন্ট দিতে পারেন?"
"yellow","Yellow","হলুদ"
"yellow_2","It is yellow.","এটা হলুদ."
"yellow_3","My favorite color is yellow.","আমার প্রিয় রঙ হলুদ।"
"yellow_4","Can you give me yellow paint?","আপনি কি আমাকে হলুদ রঙ দিতে পারেন?"
"purple","Purple","রক্তবর্ণ"
"purple_2","It is purple.","এটি বেগুনি।"
"purple_3","My favorite color is purple.","বেগুনি রং আমার পছন্দের রং."
"purple_4","Can you give me purple paint?","আপনি আমাকে বেগুনি পেইন্ট দিতে পারেন?"
"pink","Pink","পরাকাষ্ঠা"
"pink_2","It is pink.","এটি গোলাপী।"
"pink_3","My favorite color is pink.","আমার প্রিয় রঙ গোলাপী।"
"pink_4","Can you give me pink paint?","আপনি আমাকে গোলাপী রঙ দিতে পারেন?"
"brown","Brown","বাদামী"
"brown_2","It is brown.","এটা বাদামী."
"brown_3","My favorite color is brown.","আমার প্রিয় রঙ বাদামী।"
"brown_4","Can you give me brown paint?","আপনি আমাকে ব্রাউন পেইন্ট দিতে পারেন?"
"black","Black","কালো"
"black_2","It is black.","এটা কালো."
"black_3","My favorite color is black.","আমার প্রিয় রঙ কালো।"
"black_4","Can you give me black paint?","আপনি আমাকে কালো পেইন্ট দিতে পারেন?"
"white","White","সাদা"
"white_2","It is white.","ইহা সাদা."
"white_3","My favorite color is white.","আমার প্রিয় রঙ সাদা।"
"white_4","Can you give me white paint?","আপনি আমাকে সাদা পেইন্ট দিতে পারেন?"
"gray","Gray","ধূসর"
"gray_2","It is gray.","এটি ধূসর।"
"gray_3","My favorite color is gray.","আমার প্রিয় রঙ ধূসর।"
"gray_4","Can you give me gray paint?","আপনি আমাকে ধূসর রঙ দিতে পারেন?"
"transparent","Transparent","স্বচ্ছ"
"transparent_2","It is transparent.","এটা স্বচ্ছ।"
"transparent_3","I can see behind transparent color.","আমি স্বচ্ছ রঙের পিছনে দেখতে পাচ্ছি।"
"transparent_4","Can you help me erase?","আপনি আমাকে মুছতে সাহায্য করতে পারেন?"
"cyan","Cyan","সায়ান"
"cyan_2","It is cyan.","এটা সায়ান।"
"cyan_3","My favorite color is cyan.","আমার প্রিয় রঙ সায়ান।"
"cyan_4","Can you give me cyan paint?","আপনি আমাকে সায়ান পেইন্ট দিতে পারেন?"
"violet","Violet","বেগুনী"
"violet_2","It is violet.","এটি বেগুনি হয়।"
"violet_3","My favorite color is violet.","আমার প্রিয় রঙটি বেগুনি।"
"violet_4","Can you give me violet paint?","আপনি আমাকে ভায়োলেট পেইন্ট দিতে পারেন?"
"turquoise","Turquoise","ফিরোজা"
"turquoise_2","It is turquoise.","এটি ফিরোজা।"
"turquoise_3","My favorite color is turquoise.","আমার প্রিয় রঙ ফিরোজা।"
"turquoise_4","Can you give me turquoise paint?","আপনি আমাকে ফিরোজা পেইন্ট দিতে পারেন?"
"lime","Lime","চুন"
"lime_2","It is lime.","এটা চুন।"
"lime_3","My favorite color is lime.","আমার প্রিয় রঙ চুন।"
"lime_4","Can you give me lime paint?","আপনি আমাকে চুন পেইন্ট দিতে পারেন?"
"plum","Plum","বরই"
"plum_2","It is plum.","এটা বরই।"
"plum_3","My favorite color is plum.","আমার প্রিয় রঙ বরই।"
"plum_4","Can you give me plum paint?","আমাকে প্লাম পেইন্ট দিতে পারেন?"
"tan","Tan","কষা"
"tan_2","It is tan color.","এটি ট্যান কালার।"
"tan_3","My favorite color is tan color.","আমার প্রিয় রঙ ট্যান রঙ।"
"tan_4","Can you give me tan color paint?","আপনি আমাকে ট্যান রঙের পেইন্ট দিতে পারেন?"
"avocado","Avocado","আভাকাডো"
"avocado_2","It is avocado color.","এটি অ্যাভোকাডো রঙ।"
"avocado_3","My favorite color is avocado color.","আমার প্রিয় রঙ অ্যাভোকাডো রঙ।"
"avocado_4","Can you give me avocado color paint?","আপনি আমাকে অ্যাভোকাডো রঙিন পেইন্ট দিতে পারেন?"
"barbie-pink","Barbie pink","বার্বি গোলাপী"
"barbie-pink_2","It is barbie pink color.","এটি বারবি গোলাপী রঙ।"
"barbie-pink_3","My favorite color is barbie pink.","আমার প্রিয় রঙটি বার্বি গোলাপী।"
"barbie-pink_4","Can you give me barbie pink paint?","আপনি আমাকে বার্বি গোলাপী পেইন্ট দিতে পারেন?"
"blizzard-blue","Blizzard blue","বরফ ঝর্ণা নীল"
"blizzard-blue_2","It is blizzard blue color.","এটি বরফখণ্ড নীল বর্ণের।"
"blizzard-blue_3","My favorite color is blizzard blue color.","আমার প্রিয় রঙ হ'ল ব্লিজার্ড নীল রঙ।"
"blizzard-blue_4","Can you give me blizzard blue paint?","তুমি কি আমাকে ব্লিজার্ড ব্লু পেইন্ট দিতে পারবে?"
"conversation","Conversation","কথোপকথন"
"me","Me","আমাকে"
"me_2","My name is {name}","আমার নাম {নাম}"
"me_3","I'm {name}","আমি {নাম"
"me_4","Do you know my name?","তুমি কি আমার নাম জানো?"
"me_5","What is your name?","আপনার নাম কি?"
"me_6","Nice to meet you!","তোমার সাথে দেখা করে ভালো লাগলো!"
"me_7","Do you like me?","তুমি কি আমাকে পছন্দ কর?"
"me_8","Can we be friends?","আমরা কি বন্ধু হতে পারি?"
"me_9","I'm using assistive communication app.","আমি সহায়ক যোগাযোগ অ্যাপ্লিকেশন ব্যবহার করছি।"
"me_10","Who are you?","তুমি কে?"
"hello","Hello","হ্যালো"
"hello_2","Hello.","হ্যালো."
"hello_3","Hi.","ওহে."
"hello_4","Greetings.","গ্রিটিংস।"
"hello_5","How are you?","আপনি কেমন আছেন?"
"hello_6","Nice to meet you!","তোমার সাথে দেখা করে ভালো লাগলো!"
"help","Help","সাহায্য"
"help_2","Help me.","আমাকে সাহায্য কর."
"help_3","Can you help me?","আপনি কি আমাকে সাহায্য করতে পারেন?"
"help_4","I need help","আমার সাহায্য দরকার"
"help_5","Do you need help?","তোমার কি সাহায্য দরকার?"
"yes","Yes","হ্যাঁ"
"yes_2","Yes.","হ্যাঁ."
"yes_3","Yes please.","হ্যাঁ."
"yes_4","Alright.","ঠিক আছে."
"yes_5","Agreed.","একমত।"
"yes_6","I want to.","আমি চাই."
"yes_7","I would like to.","আমি চাই।"
"no","No","না"
"no_2","No.","না।"
"no_3","Nope.","নাঃ।"
"no_4","Never.","কখনও।"
"no_5","I don't want to.","আমি চাই না।"
"no_6","I don't like it.","আমি এটা পছন্দ করি না।"
"no_7","You don't like it?","আপনি এটা পছন্দ করেন না?"
"no_8","Why you don't like it?","কেন আপনি এটি পছন্দ করেন না?"
"toilet","Toilet","টয়লেট"
"toilet_2","I need to go to the toilet.","আমার টয়লেটে যেতে হবে"
"toilet_3","I need to pee.","আমার প্রস্রাব করা দরকার."
"toilet_4","I need to poop.","আমি গুলি চালানো প্রয়োজন."
"toilet_5","Can you help me go to the toilet?","আপনি আমাকে টয়লেট যেতে সাহায্য করতে পারেন?"
"toilet_6","Can you help me clean?","আপনি আমাকে পরিষ্কার করতে সাহায্য করতে পারেন?"
"toilet_7","I peed myself.","আমি নিজেই উঁকি দিলাম।"
"toilet_8","I pooped myself.","আমি নিজেকে pooped।"
"what","What","কি"
"what_2","What is that?","এটা কি?"
"what_3","What does it mean?","এর মানে কী?"
"what_4","What do you mean?","আপনি কি বোঝাতে চেয়েছেন?"
"what_5","Can you explain it?","তুমি কি এটা ব্যাখ্যা করতে পারবে?"
"what_6","Can you repeat what you said?","আপনি যা বলেছিলেন তা কি পুনরাবৃত্তি করতে পারেন?"
"what_7","I don't understand.","আমি বুঝতে পারছি না।"
"sleep","Sleep","ঘুম"
"sleep_2","I want to sleep.","আমি ঘুমাতে চাই."
"sleep_3","I don't want to sleep.","আমি ঘুমাতে চাই না"
"sleep_4","I'm tired.","আমি ক্লান্ত."
"sleep_5","Are you tired?","তুমি কি ক্লান্ত?"
"sleep_6","When am I going to sleep?","আমি কখন ঘুমাবো?"
"sleep_7","I want to take a nap.","আমি একটু ঘুমাতে চাই."
"bath","Bath","স্নান"
"bath_2","I want to take a bath.","আমি একটু গোসল করতে চাই."
"bath_3","I like taking a bath.","আমি গোসল করতে পছন্দ করি"
"bath_4","I want to wash my hands.","আমি হাত ধুতে চাই"
"bath_5","I want to take a shower.","আমি গোসল করতে চাই."
"bath_6","I want to clean myself.","আমি নিজেকে পরিষ্কার করতে চাই"
"bath_7","Can you help me take a bath?","আপনি আমাকে স্নান করতে সাহায্য করতে পারেন?"
"bath_8","I don't want to take a bath.","আমি গোসল করতে চাই না"
"listen","Listen","শোনা"
"listen_2","Listen to me.","আমার কথা শোন."
"listen_3","Can you listen to me?","আপনি আমার কথা শুনতে পারেন?"
"listen_4","Listen to music.","গান শোনো."
"listen_5","Listening to my parents.","আমার মা-বাবার কথা শুনছি।"
"listen_6","Listen to what my application is saying!","আমার আবেদন কি বলছেন শুনুন!"
"morning","Morning","সকাল"
"morning_2","Good morning.","সুপ্রভাত."
"morning_3","I like mornings.","আমি সকাল পছন্দ করি"
"morning_4","In the morning.","সকালে."
"morning_5","Morning time.","সকাল বেলা."
"morning_6","Is it morning?","সকাল?"
"night","Night","রাত"
"night_2","Good night!","শুভ রাত্রি!"
"night_3","I like nights.","আমি রাত পছন্দ করি।"
"night_4","At night.","রাতে."
"night_5","Night time.","রাতের সময়।"
"night_6","Is it night?","রাত কি?"
"look","Look","লুক"
"look_2","Look at me.","আমার দিকে তাকাও."
"look_3","Look at this.","এটা দেখ."
"look_4","Are you looking?","কি খুঁজছ?"
"look_5","Look at my drawing.","আমার অঙ্কন দেখুন।"
"look_6","How do I look?","আমাকে কেমন দেখাচ্ছে?"
"look_7","Look what I did.","আমি কি করেছি দেখুন।"
"look_8","Let's look at that.","চলুন এটি তাকান।"
"speak","Speak","বলো"
"speak_2","I'm learning how to speak.","আমি কথা বলতে শিখছি।"
"speak_3","I want to speak.","আমি কথা বলতে চাই."
"speak_4","Can I speak with you?","আমি কি তোমার সাথে কথা বলতে পারি?"
"speak_5","I like speaking.","আমি কথা বলতে পছন্দ করি।"
"speak_6","I'm using assistive communication app.","আমি সহায়ক যোগাযোগ অ্যাপ্লিকেশন ব্যবহার করছি।"
"play","Play","প্লে"
"play_2","I love playing.","আমি খেলতে ভালোবাসি."
"play_3","Can you play with me?","তুমি কি আমার সাথে খেলতে পারো?"
"play_4","I want to play with you!","আমি তোমার সাথে খেলতে চাই!"
"play_5","I want to play with my friends.","আমি আমার বন্ধুদের সাথে খেলতে চাই"
"play_6","I don't want to play with you.","আমি তোমার সাথে খেলতে চাই না"
"outside","Outside","বাহিরে"
"outside_2","I love going outside.","আমি বাইরে যেতে পছন্দ করি।"
"outside_3","I want to go outside.","আমি বাইরে যেতে চাই"
"outside_4","Is it cold outside?","বাইরে কি খুব ঠাণ্ডা?"
"outside_5","I don't like outside.","আমি বাইরে পছন্দ করি না।"
"outside_6","Can I go outside?","আমি কি বাইরে যেতে পারি?"
"home","Home","বাড়ি"
"home_2","I love my home.","আমি আমার বাড়ি ভালবাসি।"
"home_3","I want to go home.","আমি ঘরে যেতে চাই."
"home_4","Where is your home?","তোমার বাড়ি কোথায়?"
"home_5","Home sweet home.","সুখের নিবাস."
"home_6","I'm in the house.","আমি বাড়িতে আছি."
"home_7","I'm not in the house.","আমি ঘরে নেই।"
"hurt","Hurt","আঘাতপ্রাপ্ত"
"hurt_2","I'm hurt.","আমি আহত."
"hurt_3","Are you hurt?","তুমি কি আহত?"
"hurt_4","Did I hurt you?","আমি কি তোমাকে ব্যাথা দিলাম?"
"hurt_5","I didn't mean to hurt you!","আমি আপনাকে আঘাত করতে চাইনি!"
"hurt_6","Is it going to hurt?","এতে কি ব্যাথা হচ্ছে?"
"hurt_7","I have a headache.","আমার মাথাব্যথা."
"hurt_8","I have a stomach ache.","আমার এক্তা পাকস্থলী আছে."
"hurt_9","My genitals hurt.","আমার যৌনাঙ্গে ব্যথা হয়।"
"hurt_10","My foot hurts.","আমার পায়ে ব্যাথা."
"feelings","Feelings","অনুভূতি"
"happy","Happy","খুশি"
"happy_2","I'm happy.","আমি খুশি."
"happy_3","I feel happy.","আমি সুখী অনুভব করছি."
"happy_4","Do you feel happy?","আপনি কি খুশি মনে করেন?"
"happy_5","I want to feel happy.","আমি খুশি বোধ করতে চাই"
"happy_6","You are making me happy.","তুমি আমাকে খুশি করছ"
"sad","Sad","দু: খিত"
"sad_2","I'm sad.","আমি দু: খিত"
"sad_3","I feel sad.","আমি দুঃখ অনুভব করছি."
"sad_4","Do you feel sad?","তুমি কি খারাপ লাগছে?"
"sad_5","I don't want to feel sad.","আমি দুঃখ বোধ করতে চাই না।"
"sad_6","You are making me sad.","তুমি আমাকে দুঃখ দিচ্ছ"
"exhausted","Exhausted","ক্লান্ত"
"exhausted_2","I'm exhausted.","আমি প্রচুর ক্লান্ত."
"exhausted_3","I feel exhausted.","আমি ক্লান্ত বোধ করছি."
"exhausted_4","Do you feel exhausted?","আপনি ক্লান্ত বোধ করেন?"
"exhausted_5","I don't want to be exhausted.","আমি ক্লান্ত হতে চাই না।"
"relaxed","Relaxed","নিরুদ্বেগ"
"relaxed_2","I'm relaxed.","আমি নিশ্চিন্ত."
"relaxed_3","I feel relaxed.","আমি স্বাচ্ছন্দ্য বোধ করি"
"relaxed_4","Do you feel relaxed?","আপনি কি স্বাচ্ছন্দবোধ করেন?"
"relaxed_5","I want to feel relaxed.","আমি স্বাচ্ছন্দ্য বোধ করতে চাই"
"in-love","In love","প্রণয়াসক্ত"
"in-love_2","I'm in love.","আমি প্রেমে পড়েছি."
"in-love_3","I feel in love.","আমি প্রেমে অনুভব করি"
"in-love_4","Are you in love?","আপনি প্রেমে আছেন?"
"in-love_5","I want to fall in love.","আমি প্রেমে পড়তে চাই"
"in-love_6","Do you love me?","তুমি কি আমাকে ভালোবাসো?"
"stressed","Stressed","জোর"
"stressed_2","I'm stressed.","আমি চাপ অনুভব করছি."
"stressed_3","I feel stressed.","আমি মানুষিক চাপ অনুভব করছি."
"stressed_4","Do you feel stressed?","আপনি কি স্ট্রেস অনুভব করছেন?"
"stressed_5","I don't want to feel stressed.","আমি মানসিক চাপ বোধ করতে চাই না।"
"thankful","Thankful","কৃতজ্ঞ"
"thankful_2","I'm thankful.","আমি কৃতজ্ঞ."
"thankful_3","I feel thankful.","আমি কৃতজ্ঞতা বোধ করছি।"
"thankful_4","Do you feel thankful?","আপনি কি কৃতজ্ঞতা বোধ করেন?"
"thankful_5","I want to feel thankful.","আমি কৃতজ্ঞতা বোধ করতে চাই"
"confused","Confused","বিভ্রান্ত"
"confused_2","I'm confused.","আমি বিভ্রান্ত"
"confused_3","I feel confused.","আমি বিভ্রান্ত বোধ."
"confused_4","Do you feel confused?","আপনি কি বিভ্রান্ত বোধ করেন?"
"confused_5","You are confusing me.","আপনি আমাকে বিভ্রান্ত করছেন।"
"joyful","Joyful","আনন্দদায়ক"
"joyful_2","I'm joyful.","আমি আনন্দিত"
"joyful_3","I feel joyful.","আমি আনন্দিত বোধ করি।"
"joyful_4","Do you feel joyful?","আপনি কি আনন্দ বোধ করেন?"
"joyful_5","I want to feel joyful.","আমি আনন্দিত বোধ করতে চাই"
"angry","Angry","ক্রুদ্ধ"
"angry_2","I'm angry.","আমি রাগান্বিত."
"angry_3","I feel angry.","আমার রাগ হচ্ছে."
"angry_4","Do you feel angry?","তোমার কি রাগ লাগছে?"
"angry_5","I'm angry at you.","আমি তোমার উপর রাগান্বিত."
"angry_6","You are making me angry.","আপনি আমাকে রাগ করছেন।"
"smart","Smart","স্মার্ট"
"smart_2","I'm smart.","আমি বিচক্ষণ."
"smart_3","I feel smart.","আমি স্মার্ট বোধ করি।"
"smart_4","Do you feel smart?","আপনি কি স্মার্ট বোধ করেন?"
"smart_5","Am I smart?","আমি কি স্মার্ট?"
"smart_6","You are smart!","তুমি স্মার্ট!"
"afraid","Afraid","ভীত"
"afraid_2","I'm afraid.","আমি আশংকা করছি."
"afraid_3","I feel afraid.","আমার ভয় লাগে"
"afraid_4","Do you feel afraid?","তুমি কি ভয় পাচ্ছ?"
"afraid_5","I don't want to feel afraid.","আমি ভয় পেতে চাই না।"
"afraid_6","You are scaring me.","তুমি আমাকে ভয় দিচ্ছ"
"ashamed","Ashamed","লজ্জিত"
"ashamed_2","I'm ashamed.","আমি লজ্জিত."
"ashamed_3","I feel ashamed.","আমি লজ্জিত বোধ করি."
"ashamed_4","Do you feel ashamed?","আপনি কি লজ্জা বোধ করেন?"
"ashamed_5","I don't want to feel ashamed.","আমি লজ্জা পেতে চাই না।"
"shocked","Shocked","বিস্মিত"
"shocked_2","I'm shocked.","আমি বিষ্মিত."
"shocked_3","I feel shocked.","আমি হতবাক বোধ করি"
"shocked_4","Do you feel shocked?","আপনি কি হতবাক বোধ করেন?"
"shocked_5","You shocked me.","তুমি আমাকে হতবাক করে দিয়েছ।"
"sick","Sick","অসুস্থ"
"sick_2","I'm sick.","আমি অসুস্থ"
"sick_3","I feel sick.","আমি অসুস্থবোধ করছি."
"sick_4","Do you feel sick?","আপনি কি অসুস্থ বোধ করছেন?"
"sick_5","I don't want to be sick.","আমি অসুস্থ হতে চাই না।"
"sick_6","I'm sick of the food.","আমি খাবারে অসুস্থ।"
"frustrated","Frustrated","হতাশ"
"frustrated_2","I'm frustrated.","আমি হতাশ"
"frustrated_3","I feel frustrated.","আমি হতাশ বোধ করছি।"
"frustrated_4","Do you feel frustrated?","আপনি হতাশ বোধ করেন?"
"frustrated_5","I don't want to feel frustrated.","আমি হতাশ বোধ করতে চাই না।"
"excited","Excited","উত্তেজিত"
"excited_2","I'm excited.","আমি উত্তেজিত."
"excited_3","I feel excited.","আমি উত্তেজিত অনুভব করছি."
"excited_4","Do you feel excited?","আপনি কি উত্তেজিত বোধ করেন?"
"excited_5","I don't want to feel excited.","আমি উত্তেজিত বোধ করতে চাই না।"
"nauseated","Nauseated","Nauseated"
"nauseated_2","I'm nauseated.","আমি বমি বমি ভাব করছি।"
"nauseated_3","I feel nauseated.","আমি বমি বমি ভাব বোধ করছি।"
"nauseated_4","Do you feel nauseated?","আপনি কি বমি বমি বোধ করছেন?"
"nauseated_5","I don't want to feel nauseated.","আমি বমি বমি ভাব অনুভব করতে চাই না।"
"agitated","Agitated","ক্ষুব্ধ"
"agitated_2","I'm agitated.","আমি বিক্ষুব্ধ"
"agitated_3","I feel agitated.","আমি বিরক্ত বোধ করছি।"
"agitated_4","Do you feel agitated?","আপনি কি বিরক্ত বোধ করেন?"
"agitated_5","I don't want to feel agitated.","আমি বিরক্ত বোধ করতে চাই না।"
"food","Food","খাদ্য"
"hungry","Hungry","ক্ষুধার্ত"
"hungry_2","I'm hungry.","আমি ক্ষুধার্ত."
"hungry_3","Are you hungry?","তুমি কী ক্ষুধার্ত?"
"hungry_4","Can you make me food?","আপনি আমাকে খাবার করতে পারেন?"
"hungry_5","What is for dinner?","রাতের খাবারের জন্য কী?"
"thirsty","Thirsty","তৃষ্ণার্ত"
"thirsty_2","I'm thirsty.","আমি তৃষ্ণার্ত."
"thirsty_3","Can I have some water?","আমি কি পানি পেতে পারি?"
"thirsty_4","Can I have a glass of water?","আমি কি এক গ্লাস পানি পেতে পারি?"
"thirsty_5","I want something to drink.","আমি কিছু পান করতে চাই"
"cutlery","Cutlery","ছুরি-কাঁচির ব্যবসায়"
"cutlery_2","I need cutlery.","আমার কাটলারি দরকার"
"cutlery_3","Help me use cutlery.","আমাকে কাটলারি ব্যবহার করতে সহায়তা করুন।"
"cutlery_4","I need a fork.","আমার কাঁটাচামচ লাগবে"
"cutlery_5","I need a spoon.","আমার এক চামচ দরকার।"
"cutlery_6","I need chopsticks.","আমার চপস্টিক লাগবে।"
"cutlery_7","I need a knife.","আমার একটা ছুরি লাগবে"
"cutlery_8","I need a napkin.","আমার একটা ন্যাপকিন দরকার"
"apple","Apple","আপেল"
"apple_2","I like apple.","আমি আপেল পছন্দ করি."
"apple_3","I don't like apple.","আমি আপেল পছন্দ করি না"
"apple_4","I want to eat an apple.","আমি একটি আপেল খেতে চাই"
"carrot","Carrot","গাজর"
"carrot_2","I like carrot.","আমি গাজর পছন্দ করি"
"carrot_3","I don't like carrot.","আমি গাজর পছন্দ করি না"
"carrot_4","I want to eat a carrot.","আমি একটি গাজর খেতে চাই"
"beans","Beans","মটরশুটি"
"beans_2","I like beans.","আমি মটরশুটি পছন্দ করি।"
"beans_3","I don't like beans.","আমি মটরশুটি পছন্দ করি না।"
"beans_4","I want to eat beans.","আমি মটরশুটি খেতে চাই।"
"chicken_5","I want fried chicken.","আমি ভাজা চিকেন চাই"
"chicken_6","I want boiled chicken.","আমি সিদ্ধ মুরগি চাই"
"chocolate","Chocolate","চকলেট"
"chocolate_2","I like chocolate.","আমি চকলেট পছন্দ করি."
"chocolate_3","I don't like chocolate.","আমি চকোলেট পছন্দ করি না"
"chocolate_4","I want to eat chocolate.","আমি চকোলেট খেতে চাই"
"chocolate_5","I want dark chocolate.","আমি ডার্ক চকোলেট চাই"
"chocolate_6","I want white chocolate.","আমি সাদা চকোলেট চাই"
"milk","Milk","দুধ"
"milk_2","I like milk.","আমি দুধ পছন্দ করি."
"milk_3","I don't like milk.","আমি দুধ পছন্দ করি না"
"milk_4","I want to drink milk.","আমি দুধ পান করতে চাই"
"milk_5","Can I have a glass of milk?","আমি কি এক গ্লাস দুধ পেতে পারি?"
"sandwich","Sandwich","স্যান্ডউইচ"
"sandwich_2","I like sandwich.","আমি স্যান্ডউইচ পছন্দ করি"
"sandwich_3","I don't like sandwich.","আমি স্যান্ডউইচ পছন্দ করি না"
"sandwich_4","I want to eat a sandwich.","আমি একটি স্যান্ডউইচ খেতে চাই"
"sandwich_5","Can you make me a sandwich?","আপনি কি আমাকে স্যান্ডউইচ বানাতে পারেন?"
"steak","Steak","মাংসের ফালি"
"steak_2","I like steak.","আমি স্টেক পছন্দ করি"
"steak_3","I don't like steak.","আমি স্টেক পছন্দ করি না"
"steak_4","I want to eat steak.","আমি স্টেক খেতে চাই"
"steak_5","Can you cook steak for me?","আপনি কি আমার জন্য স্টেক রান্না করতে পারেন?"
"banana","Banana","কলা"
"banana_2","I like banana.","আমি কলা পছন্দ করি."
"banana_3","I don't like banana.","আমি কলা পছন্দ করি না"
"banana_4","I want to eat a banana.","আমি কলা খেতে চাই।"
"pie","Pie","পাই"
"pie_2","I like pie.","পাই পাই"
"pie_3","I don't like pie.","পাই পাই না।"
"pie_4","I want to eat pie.","আমি পাই খেতে চাই"
"pie_5","Can you bake a pie for me?","আপনি কি আমার জন্য পাই বেক করতে পারেন?"
"egg","Egg","ডিম"
"egg_2","I like egg.","আমি ডিম পছন্দ করি"
"egg_3","I don't like egg.","আমি ডিম পছন্দ করি না"
"egg_4","I want to eat egg.","আমি ডিম খেতে চাই"
"egg_5","I want fried eggs.","আমি ভাজা ডিম চাই"
"egg_6","I want boiled eggs.","আমি সিদ্ধ ডিম চাই"
"noodles","Noodles","নুডলস"
"noodles_2","I like noodles.","আমি নুডলস পছন্দ করি"
"noodles_3","I don't like noodles.","আমি নুডলস পছন্দ করি না"
"noodles_4","I want to eat noodles.","আমি নুডলস খেতে চাই"
"noodles_5","Can you cook noodles for me?","আপনি কি আমার জন্য নুডলস রান্না করতে পারেন?"
"salt","Salt","লবণ"
"salt_2","I want salt.","আমি নুন চাই"
"salt_3","Can you pass me the salt?","আপনি আমাকে লবণ প্রেরণ করতে পারেন?"
"salt_4","Food is too salty.","খাবার খুব নোনতা।"
"salt_5","My food needs some salt.","আমার খাবারে কিছুটা নুন দরকার।"
"spices","Spices","মসলা"
