"activities","Activities","aktiviteter"
"turquoise_3","My favorite color is turquoise.","Min favorittfarge er turkis."
"turquoise_4","Can you give me turquoise paint?","Kan du gi meg turkis maling?"
"lime","Lime","lime"
"lime_2","It is lime.","Det er kalk."
"lime_3","My favorite color is lime.","Min favorittfarge er kalk."
"lime_4","Can you give me lime paint?","Kan du gi meg kalkmaling?"
"plum","Plum","Plomme"
"plum_2","It is plum.","Det er plomme."
"plum_3","My favorite color is plum.","Min favorittfarge er plomme."
"plum_4","Can you give me plum paint?","Kan du gi meg plommelakk?"
"tan","Tan","Tan"
"tan_2","It is tan color.","Det er solbrune farger."
"tan_3","My favorite color is tan color.","Min favorittfarge er solbrune farger."
"tan_4","Can you give me tan color paint?","Kan du gi meg brunfarge maling?"
"avocado","Avocado","avokado"
"avocado_2","It is avocado color.","Det er avokadofarge."
"avocado_3","My favorite color is avocado color.","Min favorittfarge er avokadofarge."
"avocado_4","Can you give me avocado color paint?","Kan du gi meg avokadofarge maling?"
"barbie-pink","Barbie pink","Barbie rosa"
"barbie-pink_2","It is barbie pink color.","Det er barbie rosa farge."
"barbie-pink_3","My favorite color is barbie pink.","Min favorittfarge er barbie rosa."
"barbie-pink_4","Can you give me barbie pink paint?","Kan du gi meg barbie rosa maling?"
"blizzard-blue","Blizzard blue","Snøstorm blå"
"blizzard-blue_2","It is blizzard blue color.","Det er snøstormblå farge."
"blizzard-blue_3","My favorite color is blizzard blue color.","Min favorittfarge er snøstormblå farge."
"blizzard-blue_4","Can you give me blizzard blue paint?","Kan du gi meg snøstormblå maling?"
"conversation","Conversation","Samtale"
"me","Me","Meg"
"me_2","My name is {name}","Jeg heter {name}"
"me_3","I'm {name}","Jeg er {name}"
"me_4","Do you know my name?","Vet du navnet mitt?"
"me_5","What is your name?","Hva heter du?"
"me_6","Nice to meet you!","Hyggelig å møte deg!"
"me_7","Do you like me?","Liker du meg?"
"me_8","Can we be friends?","Kan vi være venner?"
"me_9","I'm using assistive communication app.","Jeg bruker hjelpeapparat for kommunikasjon."
"me_10","Who are you?","Hvem er du?"
"hello","Hello","Hallo"
"hello_2","Hello.","Hallo."
"hello_3","Hi.","Hei."
"hello_4","Greetings.","Hilsener."
"hello_5","How are you?","Hvordan har du det?"
"hello_6","Nice to meet you!","Hyggelig å møte deg!"
"help","Help","Hjelp"
"help_2","Help me.","Hjelp meg."
"help_3","Can you help me?","Kan du hjelpe meg?"
"help_4","I need help","jeg trenger hjelp"
"help_5","Do you need help?","Trenger du hjelp?"
"yes","Yes","Ja"
"yes_2","Yes.","Ja."
"yes_3","Yes please.","Ja takk."
"yes_4","Alright.","Ok."
"yes_5","Agreed.","Avtalt."
"yes_6","I want to.","Jeg vil."
"yes_7","I would like to.","Jeg vil."
"no","No","Nei"
"no_2","No.","Nei."
"no_3","Nope.","Nei."
"no_4","Never.","Aldri."
"no_5","I don't want to.","Jeg vil ikke."
"no_6","I don't like it.","Jeg liker det ikke."
"no_7","You don't like it?","Liker du ikke det?"
"no_8","Why you don't like it?","Hvorfor liker du ikke det?"
"toilet","Toilet","Toalett"
"toilet_2","I need to go to the toilet.","Jeg må på toalettet."
"toilet_3","I need to pee.","Jeg må tisse."
"toilet_4","I need to poop.","Jeg trenger å bæsje."
"toilet_5","Can you help me go to the toilet?","Kan du hjelpe meg med å gå på toalettet?"
"toilet_6","Can you help me clean?","Kan du hjelpe meg med å rydde?"
"toilet_7","I peed myself.","Jeg tisset meg selv."
"toilet_8","I pooped myself.","Jeg spratt meg."
"what","What","Hva"
"what_2","What is that?","Hva er det?"
"what_3","What does it mean?","Hva betyr det?"
"what_4","What do you mean?","Hva mener du?"
"what_5","Can you explain it?","Kan du forklare det?"
"what_6","Can you repeat what you said?","Kan du gjenta det du sa?"
"what_7","I don't understand.","Jeg forstår ikke."
"sleep","Sleep","Sove"
"sleep_2","I want to sleep.","Jeg vil sove."
"sleep_3","I don't want to sleep.","Jeg vil ikke sove."
"sleep_4","I'm tired.","Jeg er trøtt."
"sleep_5","Are you tired?","Er du sliten?"
"sleep_6","When am I going to sleep?","Når skal jeg sove?"
"sleep_7","I want to take a nap.","Jeg vil ta en lur."
"bath","Bath","Bad"
"bath_2","I want to take a bath.","Jeg vil ta et bad."
"bath_3","I like taking a bath.","Jeg liker å ta et bad."
"bath_4","I want to wash my hands.","Jeg vil vaske hendene."
"bath_5","I want to take a shower.","Jeg vil ta meg en dusj."
"bath_6","I want to clean myself.","Jeg vil rense meg selv."
"bath_7","Can you help me take a bath?","Kan du hjelpe meg å ta et bad?"
"bath_8","I don't want to take a bath.","Jeg vil ikke ta et bad."
"listen","Listen","Lytte"
"listen_2","Listen to me.","Hør på meg."
"listen_3","Can you listen to me?","Kan du høre på meg?"
"listen_4","Listen to music.","Høre på musikk."
"listen_5","Listening to my parents.","Lytter til foreldrene mine."
"listen_6","Listen to what my application is saying!","Hør hva søknaden min sier!"
"morning","Morning","Morgen"
"morning_2","Good morning.","God morgen."
"morning_3","I like mornings.","Jeg liker morgener."
"morning_4","In the morning.","Om morgenen."
"morning_5","Morning time.","Morgen tid."
"morning_6","Is it morning?","Er det morgen?"
"night","Night","Natt"
"night_2","Good night!","God natt!"
"night_3","I like nights.","Jeg liker netter."
"night_4","At night.","Om natten."
"night_5","Night time.","Natt."
"night_6","Is it night?","Er det natt?"
"look","Look","Se"
"look_2","Look at me.","Se på meg."
"look_3","Look at this.","Se på dette."
"look_4","Are you looking?","Ser du etter?"
"look_5","Look at my drawing.","Se på tegningen min."
"look_6","How do I look?","Hvordan ser jeg ut?"
"look_7","Look what I did.","Se hva jeg gjorde."
"look_8","Let's look at that.","La oss se på det."
"speak","Speak","Snakke"
"speak_2","I'm learning how to speak.","Jeg lærer å snakke."
"speak_3","I want to speak.","Jeg vil snakke."
"speak_4","Can I speak with you?","Kan jeg snakke med deg?"
"speak_5","I like speaking.","Jeg liker å snakke."
"speak_6","I'm using assistive communication app.","Jeg bruker hjelpeapparat for kommunikasjon."
"play","Play","Spille"
"play_2","I love playing.","Jeg elsker å spille."
"play_3","Can you play with me?","Kan du leke med meg?"
"play_4","I want to play with you!","Jeg vil spille med deg!"
"play_5","I want to play with my friends.","Jeg vil leke med vennene mine."
"play_6","I don't want to play with you.","Jeg vil ikke leke med deg."
"outside","Outside","Utenfor"
"outside_2","I love going outside.","Jeg elsker å gå utenfor."
"outside_3","I want to go outside.","Jeg vil ut."
"outside_4","Is it cold outside?","Er det kaldt ute?"
"outside_5","I don't like outside.","Jeg liker ikke ute."
"outside_6","Can I go outside?","Kan jeg gå utenfor?"
"home","Home","Hjem"
"home_2","I love my home.","Jeg elsker hjemmet mitt."
"home_3","I want to go home.","Jeg vil hjem."
"home_4","Where is your home?","Hvor bor du?"
"home_5","Home sweet home.","Hjem kjære hjem."
"home_6","I'm in the house.","Jeg er i huset."
"home_7","I'm not in the house.","Jeg er ikke i huset."
"hurt","Hurt","Skade"
"hurt_2","I'm hurt.","Jeg er såret."
"hurt_3","Are you hurt?","Er du såret?"
"hurt_4","Did I hurt you?","Skadet jeg deg?"
"hurt_5","I didn't mean to hurt you!","Jeg mente ikke å skade deg!"
"hurt_6","Is it going to hurt?","Kommer det til å gjøre vondt?"
"hurt_7","I have a headache.","Jeg har hodepine."
"hurt_8","I have a stomach ache.","Jeg har vondt i magen."
"hurt_9","My genitals hurt.","Kjønnsorganene mine gjorde vondt."
"hurt_10","My foot hurts.","Foten min gjør vondt."
"feelings","Feelings","følelser"
"happy","Happy","Lykkelig"
"happy_2","I'm happy.","Jeg er glad."
"happy_3","I feel happy.","Jeg føler meg lykkelig."
"happy_4","Do you feel happy?","Føler du deg lykkelig?"
"happy_5","I want to feel happy.","Jeg vil føle meg lykkelig."
"happy_6","You are making me happy.","Du gjør meg lykkelig."
"sad","Sad","lei seg"
"sad_2","I'm sad.","Jeg er trist."
"sad_3","I feel sad.","Jeg føler meg trist."
"sad_4","Do you feel sad?","Føler du deg trist?"
"sad_5","I don't want to feel sad.","Jeg vil ikke være trist."
"sad_6","You are making me sad.","Du gjør meg trist."
"exhausted","Exhausted","Utslitt"
"exhausted_2","I'm exhausted.","Jeg er utslitt."
"exhausted_3","I feel exhausted.","Jeg føler meg utslitt."
"exhausted_4","Do you feel exhausted?","Føler du deg utslitt?"
"exhausted_5","I don't want to be exhausted.","Jeg vil ikke være utslitt."
"relaxed","Relaxed","Avslappet"
"relaxed_2","I'm relaxed.","Jeg er avslappet."
"relaxed_3","I feel relaxed.","Jeg føler meg avslappet."
"relaxed_4","Do you feel relaxed?","Føler du deg avslappet?"
"relaxed_5","I want to feel relaxed.","Jeg vil føle meg avslappet."
"in-love","In love","Forelsket"
"in-love_2","I'm in love.","Jeg er forelsket."
"in-love_3","I feel in love.","Jeg føler meg forelsket."
"in-love_4","Are you in love?","Er du forelsket?"
"in-love_5","I want to fall in love.","Jeg vil bli forelsket."
"in-love_6","Do you love me?","Elsker du meg?"
"stressed","Stressed","stresset"
"stressed_2","I'm stressed.","Jeg er stresset."
"stressed_3","I feel stressed.","Jeg føler meg stresset."
"stressed_4","Do you feel stressed?","Føler du deg stresset?"
"stressed_5","I don't want to feel stressed.","Jeg vil ikke føle meg stresset."
"thankful","Thankful","Takknemlig"
"thankful_2","I'm thankful.","Jeg er takknemlig."
"thankful_3","I feel thankful.","Jeg føler meg takknemlig."
"thankful_4","Do you feel thankful?","Føler du deg takknemlig?"
"thankful_5","I want to feel thankful.","Jeg vil føle meg takknemlig."
"confused","Confused","forvirret"
"confused_2","I'm confused.","Jeg er forvirret."
"confused_3","I feel confused.","Jeg føler meg forvirret."
"confused_4","Do you feel confused?","Føler du deg forvirret?"
"confused_5","You are confusing me.","Du forvirrer meg."
"joyful","Joyful","Joyful"
"joyful_2","I'm joyful.","Jeg er glad."
"joyful_3","I feel joyful.","Jeg føler meg glad."
"joyful_4","Do you feel joyful?","Føler du deg glad?"
"joyful_5","I want to feel joyful.","Jeg vil føle meg glad."
"angry","Angry","Sint"
"angry_2","I'm angry.","Jeg er sint."
"angry_3","I feel angry.","Jeg føler meg sint."
"angry_4","Do you feel angry?","Føler du deg sint?"
"angry_5","I'm angry at you.","Jeg er sint på deg."
"angry_6","You are making me angry.","Du gjør meg sint."
"smart","Smart","Smart"
"smart_2","I'm smart.","Jeg er smart."
"smart_3","I feel smart.","Jeg føler meg smart."
"smart_4","Do you feel smart?","Føler du deg smart?"
"smart_5","Am I smart?","Er jeg smart?"
"smart_6","You are smart!","Du er smart!"
"afraid","Afraid","Redd"
"afraid_2","I'm afraid.","Jeg er redd."
"afraid_3","I feel afraid.","Jeg føler meg redd."
"afraid_4","Do you feel afraid?","Føler du deg redd?"
"afraid_5","I don't want to feel afraid.","Jeg vil ikke være redd."
"afraid_6","You are scaring me.","Du skremmer meg."
"ashamed","Ashamed","skamfull"
"ashamed_2","I'm ashamed.","Jeg skammer meg."
"ashamed_3","I feel ashamed.","Jeg skammer meg."
"ashamed_4","Do you feel ashamed?","Føler du deg skamfull?"
"ashamed_5","I don't want to feel ashamed.","Jeg vil ikke skamme meg."
"shocked","Shocked","sjokkert"
"shocked_2","I'm shocked.","Jeg er sjokkert."
"shocked_3","I feel shocked.","Jeg føler meg sjokkert."
"shocked_4","Do you feel shocked?","Føler du deg sjokkert?"
"shocked_5","You shocked me.","Du sjokkerte meg."
"sick","Sick","Syk"
"sick_2","I'm sick.","Jeg er syk."
"sick_3","I feel sick.","Jeg føler meg syk."
"sick_4","Do you feel sick?","Føler du deg syk?"
"sick_5","I don't want to be sick.","Jeg vil ikke være syk."
"sick_6","I'm sick of the food.","Jeg er lei av maten."
"frustrated","Frustrated","frustrert"
"frustrated_2","I'm frustrated.","Jeg er frustrert."
"frustrated_3","I feel frustrated.","Jeg føler meg frustrert."
"frustrated_4","Do you feel frustrated?","Føler du deg frustrert?"
"frustrated_5","I don't want to feel frustrated.","Jeg vil ikke føle meg frustrert."
"excited","Excited","Spent"
"excited_2","I'm excited.","Jeg er spent."
"excited_3","I feel excited.","Jeg føler meg spent."
"excited_4","Do you feel excited?","Føler du deg spent?"
"excited_5","I don't want to feel excited.","Jeg vil ikke føle meg spent."
"nauseated","Nauseated","kvalm"
"nauseated_2","I'm nauseated.","Jeg er kvalm."
"nauseated_3","I feel nauseated.","Jeg føler meg kvalm."
"nauseated_4","Do you feel nauseated?","Føler du deg kvalm?"
"nauseated_5","I don't want to feel nauseated.","Jeg vil ikke føle meg kvalm."
"agitated","Agitated","agitated"
"agitated_2","I'm agitated.","Jeg er opprørt."
"agitated_3","I feel agitated.","Jeg føler meg agitert."
"agitated_4","Do you feel agitated?","Føler du deg agitert?"
"agitated_5","I don't want to feel agitated.","Jeg vil ikke føle meg agitert."
"food","Food","Mat"
"hungry","Hungry","Sulten"
"hungry_2","I'm hungry.","Jeg er sulten."
"hungry_3","Are you hungry?","Er du sulten?"
"hungry_4","Can you make me food?","Kan du lage meg mat?"
"hungry_5","What is for dinner?","Hva er det til middag?"
"thirsty","Thirsty","Tørst"
"thirsty_2","I'm thirsty.","Jeg er tørst."
"thirsty_3","Can I have some water?","Kan jeg få litt vann?"
"thirsty_4","Can I have a glass of water?","Kan jeg få et glass vann?"
"thirsty_5","I want something to drink.","Jeg vil ha noe å drikke."
"cutlery","Cutlery","bestikk"
"cutlery_2","I need cutlery.","Jeg trenger bestikk."
"cutlery_3","Help me use cutlery.","Hjelp meg å bruke bestikk."
"cutlery_4","I need a fork.","Jeg trenger en gaffel."
"cutlery_5","I need a spoon.","Jeg trenger en skje."
"cutlery_6","I need chopsticks.","Jeg trenger spisepinner."
"cutlery_7","I need a knife.","Jeg trenger en kniv."
"cutlery_8","I need a napkin.","Jeg trenger serviett."
"apple","Apple","eple"
"apple_2","I like apple.","Jeg liker eple."
"apple_3","I don't like apple.","Jeg liker ikke eple."
"apple_4","I want to eat an apple.","Jeg vil spise et eple."
"carrot","Carrot","Gulrot"
"carrot_2","I like carrot.","Jeg liker gulrot."
"carrot_3","I don't like carrot.","Jeg liker ikke gulrot."
"carrot_4","I want to eat a carrot.","Jeg vil spise en gulrot."
"beans","Beans","bønner"
"beans_2","I like beans.","Jeg liker bønner."
"beans_3","I don't like beans.","Jeg liker ikke bønner."
"beans_4","I want to eat beans.","Jeg vil spise bønner."
"chicken_5","I want fried chicken.","Jeg vil ha stekt kylling."
"chicken_6","I want boiled chicken.","Jeg vil ha kokt kylling."
"chocolate","Chocolate","Sjokolade"
"chocolate_2","I like chocolate.","Jeg liker sjokolade."
"chocolate_3","I don't like chocolate.","Jeg liker ikke sjokolade."
"chocolate_4","I want to eat chocolate.","Jeg vil spise sjokolade."
"chocolate_5","I want dark chocolate.","Jeg vil ha mørk sjokolade."
"chocolate_6","I want white chocolate.","Jeg vil ha hvit sjokolade."
"milk","Milk","Melk"
"milk_2","I like milk.","Jeg liker melk."
"milk_3","I don't like milk.","Jeg liker ikke melk."
"milk_4","I want to drink milk.","Jeg vil drikke melk."
"milk_5","Can I have a glass of milk?","Kan jeg ta et glass melk?"
"sandwich","Sandwich","Smørbrød"
"sandwich_2","I like sandwich.","Jeg liker sandwich."
"sandwich_3","I don't like sandwich.","Jeg liker ikke sandwich."
"sandwich_4","I want to eat a sandwich.","Jeg vil spise en sandwich."
"sandwich_5","Can you make me a sandwich?","Kan du lage meg en sandwich?"
"steak","Steak","biff"
"steak_2","I like steak.","Jeg liker biff."
"steak_3","I don't like steak.","Jeg liker ikke biff."
"steak_4","I want to eat steak.","Jeg vil spise biff."
"steak_5","Can you cook steak for me?","Kan du lage biff til meg?"
"banana","Banana","Banan"
"banana_2","I like banana.","Jeg liker banan."
"banana_3","I don't like banana.","Jeg liker ikke banan."
"banana_4","I want to eat a banana.","Jeg vil spise en banan."
"pie","Pie","Pai"
"pie_2","I like pie.","Jeg liker pai."
"pie_3","I don't like pie.","Jeg liker ikke kake."
"pie_4","I want to eat pie.","Jeg vil spise kake."
"pie_5","Can you bake a pie for me?","Kan du bake en kake til meg?"
"egg","Egg","Egg"
"egg_2","I like egg.","Jeg liker egg."
"egg_3","I don't like egg.","Jeg liker ikke egg."
"egg_4","I want to eat egg.","Jeg vil spise egg."
"egg_5","I want fried eggs.","Jeg vil ha stekte egg."
"egg_6","I want boiled eggs.","Jeg vil ha kokte egg."
"noodles","Noodles","nudler"
"noodles_2","I like noodles.","Jeg liker nudler."
"noodles_3","I don't like noodles.","Jeg liker ikke nudler."
"noodles_4","I want to eat noodles.","Jeg vil spise nudler."
"noodles_5","Can you cook noodles for me?","Kan du lage nudler til meg?"
"salt","Salt","Salt"
"salt_2","I want salt.","Jeg vil ha salt."
"salt_3","Can you pass me the salt?","Kan du sende meg saltet?"
"salt_4","Food is too salty.","Maten er for salt."
"salt_5","My food needs some salt.","Maten min trenger litt salt."
"spices","Spices","krydder"
"spices_2","I like spicy food.","Jeg liker krydret mat."
"spices_3","I don't like spicy food.","Jeg liker ikke krydret mat."
"spices_4","I want paprika.","Jeg vil ha paprika."
"spices_5","I want black pepper.","Jeg vil ha svart pepper."
"pizza","Pizza","pizza"
"pizza_2","I like pizza.","Jeg liker pizza."
"pizza_3","I don't like pizza.","Jeg liker ikke pizza."
"pizza_4","I want to eat pizza.","Jeg vil spise pizza."
"pizza_5","Can you cook pizza for me?","Kan du lage pizza til meg?"
"pizza_6","Can we order pizza?","Kan vi bestille pizza?"
"cheese","Cheese","Ost"
"cheese_2","I like cheese.","Jeg liker ost."
"cheese_3","I don't like cheese.","Jeg liker ikke ost."
"cheese_4","I want to eat cheese.","Jeg vil spise ost."
"ice-cream","Ice cream","Iskrem"
"ice-cream_2","I like ice cream.","Jeg liker iskrem."
"ice-cream_3","I don't like ice cream.","Jeg liker ikke is."
"ice-cream_4","I want to eat ice cream.","Jeg vil spise is."
"ice-cream_5","Can you buy ice cream for me?","Kan du kjøpe is til meg?"
"tea","Tea","Te"
"tea_2","I like tea.","Jeg liker te."
"tea_3","I don't like tea.","Jeg liker ikke te."
"tea_4","I want to drink tea.","Jeg vil drikke te."
"tea_5","Can you make tea for me?","Kan du lage te til meg?"
"coffee","Coffee","Kaffe"
"coffee_2","I like coffee.","Jeg liker kaffe."
"coffee_3","I don't like coffee.","Jeg liker ikke kaffe."
"coffee_4","I want to drink coffee.","Jeg vil drikke kaffe."
"coffee_5","Can you make coffee for me?","Kan du lage kaffe til meg?"
"tomato","Tomato","Tomat"
"tomato_2","I like tomato.","Jeg liker tomat."
"tomato_3","I don't like tomato.","Jeg liker ikke tomat."
"tomato_4","I want to eat tomato.","Jeg vil spise tomat."
"cereal","Cereal","Korn"
"cereal_2","I like cereal.","Jeg liker frokostblandinger."
"cereal_3","I don't like cereal.","Jeg liker ikke frokostblandinger."
"cereal_4","I want to eat cereal.","Jeg vil spise kornblanding."
"cereal_5","Can you make my cereal?","Kan du lage frokostblandingen min?"
"burger","Burger","burger"
"burger_2","I like burger.","Jeg liker burger."
"burger_3","I don't like burger.","Jeg liker ikke burger."
"burger_4","I want to eat burger.","Jeg vil spise burger."
"burger_5","Can you cook burger for me?","Kan du lage burger til meg?"
"burger_6","Can we order burger?","Kan vi bestille burger?"
"french-fries","French fries","pommes frites"
"french-fries_2","I like french fries.","Jeg liker pommes frites."
"french-fries_3","I don't like french fries.","Jeg liker ikke pommes frites."
"french-fries_4","I want to eat french fries.","Jeg vil spise pommes frites."
"french-fries_5","Can you cook french fries for me?","Kan du lage pommes frites til meg?"
"french-fries_6","Can we order french fries?","Kan vi bestille pommes frites?"
"spinach","Spinach","Spinat"
"spinach_2","I like spinach.","Jeg liker spinat."
"spinach_3","I don't like spinach.","Jeg liker ikke spinat."
"spinach_4","I want to eat spinach.","Jeg vil spise spinat."
"rice","Rice","Ris"
"rice_2","I like rice.","Jeg liker ris."
"rice_3","I don't like rice.","Jeg liker ikke ris."
"rice_4","I want to eat rice.","Jeg vil spise ris."
"rice_5","Can you cook rice for me?","Kan du lage ris til meg?"
"bread","Bread","Brød"
"bread_2","I like bread.","Jeg liker brød."
"bread_3","I don't like bread.","Jeg liker ikke brød."
"bread_4","I want to eat bread.","Jeg vil spise brød."
"bread_5","Can you buy some bread?","Kan du kjøpe litt brød?"
"pasta","Pasta","pasta"
"pasta_2","I like pasta.","Jeg liker pasta."
"pasta_3","I don't like pasta.","Jeg liker ikke pasta."
"pasta_4","I want to eat pasta.","Jeg vil spise pasta."
"pasta_5","Can you cook pasta for me?","Kan du lage pasta til meg?"
"sauce","Sauce","Saus"
"sauce_2","I like sauce.","Jeg liker saus."
"sauce_3","I don't like sauce.","Jeg liker ikke saus."
"sauce_4","I want some sauce.","Jeg vil ha litt saus."
"sauce_5","Can I have ketchup?","Kan jeg ha ketchup?"
"sauce_6","Can I have mayonnaise?","Kan jeg ha majones?"
"sauce_7","Can I have mustard?","Kan jeg få sennep?"
"sauce_8","Can I have ranch sauce?","Kan jeg ha ranch saus?"
"kebab","Kebab","kebab"
"kebab_2","I like kebab.","Jeg liker kebab."
"kebab_3","I don't like kebab.","Jeg liker ikke kebab."
"kebab_4","I want to eat kebab.","Jeg vil spise kebab."
"kebab_5","Can you cook kebab for me?","Kan du lage kebab til meg?"
"kebab_6","Can we order kebab?","Kan vi bestille kebab?"
"numbers","Numbers","tall"
"one","One","En"
"one_2","One comes before two.","En kommer før to."
"one_3","One comes after zero.","Den ene kommer etter null."
"one_4","I want one.","Jeg vil ha en."
"two","Two","To"
"two_2","Two comes before three.","To kommer før tre."
"two_3","Two comes after one.","To kommer etter en."
"two_4","I want two.","Jeg vil ha to."
"three","Three","Tre"
"three_2","Three comes before four.","Tre kommer før fire."
"three_3","Three comes after two.","Tre kommer etter to."
"three_4","I want three.","Jeg vil ha tre."
"four","Four","fire"
"four_2","Four comes before five.","Fire kommer før fem."
"four_3","Four comes after three.","Fire kommer etter tre."
"four_4","I want four.","Jeg vil ha fire."
"five","Five","Fem"
"five_2","Five comes before six.","Fem kommer før seks."
"five_3","Five comes after four.","Fem kommer etter fire."
"five_4","I want five.","Jeg vil ha fem."
"six","Six","Seks"
"six_2","Six comes before seven.","Seks kommer før syv."
"six_3","Six comes after five.","Seks kommer etter fem."
"six_4","I want fix.","Jeg vil fikse."
"seven","Seven","sju"
"seven_2","Seven comes before eight.","Sju kommer før åtte."
"seven_3","Seven comes after six.","Sju kommer etter seks."
"seven_4","I want seven.","Jeg vil ha syv."
"eight","Eight","Åtte"
"eight_2","Eight comes before nine.","Åtte kommer før ni."
"eight_3","Eight comes after seven.","Åtte kommer etter syv."
"eight_4","I want eight.","Jeg vil ha åtte."
"nine","Nine","Ni"
"nine_2","Nine comes before ten.","Ni kommer før ti."
"nine_3","Nine comes after eight.","Ni kommer etter åtte."
"nine_4","I want nine.","Jeg vil ha ni."
"ten","Ten","Ti"
"ten_2","Ten comes before eleven.","Ti kommer før elleve."
"ten_3","Ten comes after nine.","Ti kommer etter ni."
"ten_4","I want ten.","Jeg vil ha ti."
"eleven","Eleven","Elleve"
"eleven_2","Eleven comes before thirteen.","Elleve kommer før tretten."
"eleven_3","Eleven comes after ten.","Elleve kommer etter ti."
"eleven_4","I want eleven.","Jeg vil ha elleve."
"twenty","Twenty","tjue"
"twenty_2","I can count up to twenty.","Jeg kan telle opptil tjue."
"thirty","Thirty","Tretti"
"thirty_2","I can count up to thirty.","Jeg kan telle opptil tretti."
"forty","Forty","Førti"
"forty_2","I can count up to forty.","Jeg kan telle opptil førti."
"fifty","Fifty","Femti"
"fifty_2","I can count up to fifty.","Jeg kan telle opp til femti."
"hundred","Hundred","Hundre"
"hundred_2","I can count up to hundred.","Jeg kan telle opp til hundre."
"thousand","Thousand","Tusen"
"thousand_2","I can count up to thousand.","Jeg kan telle opptil tusen."
"calculator","Calculator","Kalkulator"
"calculator_2","I want to use a calculator.","Jeg vil bruke en kalkulator."
"calculator_3","Can you teach me how to use a calculator?","Kan du lære meg hvordan du bruker en kalkulator?"
"calculator_4","Can I barrow your calculator?","Kan jeg tømme kalkulatoren din?"
"people","People","Mennesker"
"mother","Mother","Mor"
"mother_2","Mommy!","Mamma!"
"mother_3","I love my mother.","Jeg elsker moren min."
"mother_4","I love you mom.","Jeg elsker deg mamma."
"mother_5","I miss my mom.","Jeg savner min mor."
"mother_6","Thank you for taking care of me.","Takk for at du tok vare på meg."
"mother_7","She is my mom.","Hun er min mor."
"mother_8","Can you help me find my mother?","Kan du hjelpe meg med å finne min mor?"
"father","Father","Far"
"father_2","Daddy!","Pappa!"
"father_3","I love my father.","Jeg elsker faren min."
"father_4","I love you dad.","Jeg elsker deg pappa."
"father_5","I miss my dad.","Jeg savner faren min."
"father_6","Thank you for taking care of me.","Takk for at du tok vare på meg."
"father_7","He is my dad.","Han er faren min."
"father_8","Can you help me find my father?","Kan du hjelpe meg med å finne min far?"
"parents","Parents","Foreldre"
"parents_2","I love my parents.","Jeg elsker foreldrene mine."
"parents_3","I love my parents.","Jeg elsker foreldrene mine."
"parents_4","I miss my parents.","Jeg savner foreldrene mine."
"parents_5","They are my parents.","De er foreldrene mine."
"parents_6","My parents are taking care of me.","Foreldrene mine tar vare på meg."
"parents_8","Can you help me find my parents?","Kan du hjelpe meg med å finne foreldrene mine?"
"grandparents","Grandparents","besteforeldre"
"grandparents_2","I love my grandparents.","Jeg elsker besteforeldrene mine."
"grandparents_3","I love you grandparents.","Jeg elsker deg besteforeldre."
"grandparents_4","I miss my grandparents.","Jeg savner besteforeldrene mine."
"grandparents_5","They are my grandparents.","De er besteforeldrene mine."
"grandparents_6","My grandparents are taking care of me.","Besteforeldrene mine tar vare på meg."
"grandparents_8","Can you help me find my grandparents?","Kan du hjelpe meg med å finne besteforeldrene mine?"
"brother","Brother","Bror"
"brother_2","I love my brother.","Jeg elsker broren min."
"brother_3","I love you brother.","Jeg elsker deg bror."
"brother_4","I miss my brother.","Jeg savner broren min."
"brother_5","He is my brother.","Han er min bror."
"brother_6","My brother is taking care of me.","Broren min tar vare på meg."
"brother_8","Can you help me find my brother?","Kan du hjelpe meg med å finne broren min?"
"sister","Sister","Søster"
"sister_2","I love my sister.","Jeg elsker søsteren min."
"sister_3","I love you sister.","Jeg elsker din søster."
"sister_4","I miss my sister.","Jeg savner søsteren min."
"sister_5","She is my sister.","Hun er min søster."
"sister_6","My sister is taking care of me.","Søsteren min tar vare på meg."
"sister_8","Can you help me find my sister?","Kan du hjelpe meg med å finne søsteren min?"
"uncle","Uncle","Onkel"
"uncle_2","I love my uncle.","Jeg elsker onkelen min."
"uncle_3","I love you uncle.","Jeg elsker deg onkel."
"uncle_4","I miss my uncle.","Jeg savner onkelen min."
"uncle_5","He is my uncle.","Han er onkelen min."
"uncle_8","Can you help me find my uncle?","Kan du hjelpe meg med å finne onkelen min?"
"aunt","Aunt","Tante"
"aunt_2","I love my aunt.","Jeg elsker tanten min."
"aunt_3","I love you aunt.","Jeg elsker deg tante."
"aunt_4","I miss my aunt.","Jeg savner tanten min."
"aunt_5","She is my aunt.","Hun er tanta mi."
"aunt_8","Can you help me find my aunt?","Kan du hjelpe meg med å finne tanten min?"
"teacher","Teacher","Lærer"
"teacher_2","I love my teacher.","Jeg elsker læreren min."
"teacher_3","I love you teacher.","Jeg elsker læreren din."
"teacher_4","I don't like my teacher.","Jeg liker ikke læreren min."
"teacher_5","I miss my teacher.","Jeg savner læreren min."
"teacher_6","Thank you for the lesson.","Takk for leksjonen."
"therapist","Therapist","terapeut"
"therapist_2","I love my therapist.","Jeg elsker terapeuten min."
"therapist_3","I love you therapist.","Jeg elsker deg terapeut."
"therapist_4","I don't like my therapist.","Jeg liker ikke terapeuten min."
"therapist_5","I miss my therapist.","Jeg savner terapeuten min."
"therapist_6","Thank you for the session.","Takk for økten."
"doctor","Doctor","Doktor"
"doctor_2","I love my doctor.","Jeg elsker legen min."
