"activities","Activities","أنشطة"
"yellow_4","Can you give me yellow paint?","هل يمكنك أن تعطيني طلاء أصفر؟"
"purple","Purple","أرجواني"
"purple_2","It is purple.","إنه أرجواني."
"purple_3","My favorite color is purple.","لوني المفضل هو البنفسجي."
"purple_4","Can you give me purple paint?","هل يمكنك أن تعطيني طلاء أرجواني؟"
"pink","Pink","زهري"
"pink_2","It is pink.","فمن الوردي."
"pink_3","My favorite color is pink.","لوني المفضل هو الوردي."
"pink_4","Can you give me pink paint?","هل يمكنك أن تعطيني طلاء وردي؟"
"brown","Brown","بنى"
"brown_2","It is brown.","انه بني."
"brown_3","My favorite color is brown.","لوني المفضل هو البني."
"brown_4","Can you give me brown paint?","هل يمكنك أن تعطيني طلاء بني؟"
"black","Black","أسود"
"black_2","It is black.","انه اسود."
"black_3","My favorite color is black.","لوني المفضل هو الأسود."
"black_4","Can you give me black paint?","هل يمكنك أن تعطيني طلاء أسود؟"
"white","White","أبيض"
"white_2","It is white.","انه ابيض."
"white_3","My favorite color is white.","لوني المفضل هو الأبيض."
"white_4","Can you give me white paint?","هل يمكنك أن تعطيني طلاء أبيض؟"
"gray","Gray","اللون الرمادي"
"gray_2","It is gray.","إنه رمادي."
"gray_3","My favorite color is gray.","لوني المفضل هو الرمادي."
"gray_4","Can you give me gray paint?","هل يمكنك أن تعطيني طلاء رمادي؟"
"transparent","Transparent","شفاف"
"transparent_2","It is transparent.","إنه شفاف."
"transparent_3","I can see behind transparent color.","أستطيع أن أرى وراء لون شفاف."
"transparent_4","Can you help me erase?","هل يمكنك مساعدتي في محو؟"
"cyan","Cyan","ازرق سماوي"
"cyan_2","It is cyan.","إنه سماوي."
"cyan_3","My favorite color is cyan.","لوني المفضل هو السماوي."
"cyan_4","Can you give me cyan paint?","هل يمكنك أن تعطيني طلاء سماوي؟"
"violet","Violet","البنفسجي"
"violet_2","It is violet.","إنه بنفسجي."
"violet_3","My favorite color is violet.","لوني المفضل هو البنفسج."
"violet_4","Can you give me violet paint?","هل يمكنك أن تعطيني الطلاء البنفسجي؟"
"turquoise","Turquoise","الفيروز"
"turquoise_2","It is turquoise.","إنه فيروزي."
"turquoise_3","My favorite color is turquoise.","لوني المفضل هو الفيروز."
"turquoise_4","Can you give me turquoise paint?","هل يمكنك أن تعطيني طلاء فيروز؟"
"lime","Lime","جير"
"lime_2","It is lime.","إنه الجير."
"lime_3","My favorite color is lime.","لوني المفضل هو الجير."
"lime_4","Can you give me lime paint?","هل يمكنك أن تعطيني طلاء الجير؟"
"plum","Plum","وظيفة محترمة"
"plum_2","It is plum.","إنه برقوق."
"plum_3","My favorite color is plum.","لوني المفضل هو البرقوق."
"plum_4","Can you give me plum paint?","هل يمكنك أن تعطيني طلاء البرقوق؟"
"tan","Tan","تان"
"tan_2","It is tan color.","إنه لون أسمر."
"tan_3","My favorite color is tan color.","لوني المفضل هو لون تان."
"tan_4","Can you give me tan color paint?","هل يمكن أن تعطيني طلاء ملون تان؟"
"avocado","Avocado","أفوكادو"
"avocado_2","It is avocado color.","إنه لون الأفوكادو."
"avocado_3","My favorite color is avocado color.","لوني المفضل هو لون الأفوكادو."
"avocado_4","Can you give me avocado color paint?","هل يمكنك أن تعطيني طلاء ألوان الأفوكادو؟"
"barbie-pink","Barbie pink","باربي الوردي"
"barbie-pink_2","It is barbie pink color.","إنه اللون الوردي باربي."
"barbie-pink_3","My favorite color is barbie pink.","لوني المفضل هو الوردي باربي."
"barbie-pink_4","Can you give me barbie pink paint?","هل يمكن أن تعطيني طلاء وردي باربي؟"
"blizzard-blue","Blizzard blue","عاصفة ثلجية زرقاء"
"blizzard-blue_2","It is blizzard blue color.","إنه لون أزرق عاصف."
"blizzard-blue_3","My favorite color is blizzard blue color.","لوني المفضل هو اللون الأزرق العاصف."
"blizzard-blue_4","Can you give me blizzard blue paint?","هل يمكنك أن تعطيني طلاء أزرق عاصف؟"
"conversation","Conversation","محادثة"
"me","Me","أنا"
"me_2","My name is {name}","اسمي {name}"
"me_3","I'm {name}","اسمي}"
"me_4","Do you know my name?","هل تعرف اسمي؟"
"me_5","What is your name?","ما اسمك؟"
"me_6","Nice to meet you!","تشرفت بمقابلتك!"
"me_7","Do you like me?","هل أعجبك؟"
"me_8","Can we be friends?","هل يمكننا أن نكون أصدقاء؟"
"me_9","I'm using assistive communication app.","أنا أستخدم تطبيق الاتصالات المساعدة."
"me_10","Who are you?","من أنت؟"
"hello","Hello","مرحبا"
"hello_2","Hello.","مرحبا."
"hello_3","Hi.","مرحبا."
"hello_4","Greetings.","تحية طيبة."
"hello_5","How are you?","كيف حالك؟"
"hello_6","Nice to meet you!","تشرفت بمقابلتك!"
"help","Help","مساعدة"
"help_2","Help me.","ساعدني."
"help_3","Can you help me?","هل بإمكانك مساعدتي؟"
"help_4","I need help","انا بحاجة الى مساعدة"
"help_5","Do you need help?","هل تحتاج مساعدة؟"
"yes","Yes","نعم"
"yes_2","Yes.","نعم."
"yes_3","Yes please.","نعم من فضلك."
"yes_4","Alright.","حسنا."
"yes_5","Agreed.","متفق عليه."
"yes_6","I want to.","أريد أن."
"yes_7","I would like to.","وأود أن."
"no","No","لا"
"no_2","No.","لا."
"no_3","Nope.","لا."
"no_4","Never.","أبدا."
"no_5","I don't want to.","لا اريد ذلك."
"no_6","I don't like it.","لا يعجبني."
"no_7","You don't like it?","لا تحبه؟"
"no_8","Why you don't like it?","لماذا لا تحبه؟"
"toilet","Toilet","الحمام"
"toilet_2","I need to go to the toilet.","أحتاج للذهاب إلى المرحاض."
"toilet_3","I need to pee.","أنا بحاجة إلى التبول."
"toilet_4","I need to poop.","أنا بحاجة إلى البراز."
"toilet_5","Can you help me go to the toilet?","هل يمكنك مساعدتي في الذهاب إلى المرحاض؟"
"toilet_6","Can you help me clean?","هل يمكنك مساعدتي في التنظيف؟"
"toilet_7","I peed myself.","لقد تبولت."
"toilet_8","I pooped myself.","أنا بوعبيد نفسي."
"what","What","ماذا"
"what_2","What is that?","ما هذا؟"
"what_3","What does it mean?","ماذا تعني؟"
"what_4","What do you mean?","ماذا تعني؟"
"what_5","Can you explain it?","هل يمكنك تفسير ذلك؟"
"what_6","Can you repeat what you said?","هل يمكنك تكرار ما قلته؟"
"what_7","I don't understand.","أنا لا أفهم."
"sleep","Sleep","ينام"
"sleep_2","I want to sleep.","أريد أن أنام."
"sleep_3","I don't want to sleep.","لا اريد النوم"
"sleep_4","I'm tired.","أنا مجهد."
"sleep_5","Are you tired?","هل انت مرهق؟"
"sleep_6","When am I going to sleep?","متى سأنام؟"
"sleep_7","I want to take a nap.","أريد أن أخذ غفوة."
"bath","Bath","حمام"
"bath_2","I want to take a bath.","اريد ان استحم."
"bath_3","I like taking a bath.","أحب الاستحمام."
"bath_4","I want to wash my hands.","أريد أن أغسل يدي."
"bath_5","I want to take a shower.","أريد أن أستحم."
"bath_6","I want to clean myself.","أريد أن أنظف نفسي."
"bath_7","Can you help me take a bath?","هل يمكنك مساعدتي في الاستحمام؟"
"bath_8","I don't want to take a bath.","لا أريد أن أستحم."
"listen","Listen","استمع"
"listen_2","Listen to me.","استمع لي."
"listen_3","Can you listen to me?","يمكنك الاستماع إلى لي؟"
"listen_4","Listen to music.","استمع إلى الموسيقى."
"listen_5","Listening to my parents.","الاستماع إلى والدي."
"listen_6","Listen to what my application is saying!","الاستماع إلى ما يقوله طلبي!"
"morning","Morning","صباح"
"morning_2","Good morning.","صباح الخير."
"morning_3","I like mornings.","أنا أحب الصباح."
"morning_4","In the morning.","في الصباح."
"morning_5","Morning time.","وقت الصباح."
"morning_6","Is it morning?","هل هو الصباح؟"
"night","Night","ليل"
"night_2","Good night!","تصبح على خير!"
"night_3","I like nights.","احب الليالي."
"night_4","At night.","بالمساء."
"night_5","Night time.","وقت الليل."
"night_6","Is it night?","هل الليل؟"
"look","Look","نظرة"
"look_2","Look at me.","انظر إلي."
"look_3","Look at this.","انظر إلى هذا."
"look_4","Are you looking?","هل تبحث؟"
"look_5","Look at my drawing.","انظر إلى رسومي."
"look_6","How do I look?","كيف ابدو؟"
"look_7","Look what I did.","أنظر ماذا فعلت."
"look_8","Let's look at that.","دعونا نلقي نظرة على ذلك."
"speak","Speak","تحدث"
"speak_2","I'm learning how to speak.","أنا أتعلم كيف أتكلم."
"speak_3","I want to speak.","أريد أن أتكلم."
"speak_4","Can I speak with you?","هل استطيع التحدث اليك؟"
"speak_5","I like speaking.","أحب التحدث."
"speak_6","I'm using assistive communication app.","أنا أستخدم تطبيق الاتصالات المساعدة."
"play","Play","لعب"
"play_2","I love playing.","أحب اللعب."
"play_3","Can you play with me?","هل يمكنك اللعب معي؟"
"play_4","I want to play with you!","اريدان العب معك!"
"play_5","I want to play with my friends.","أريد أن ألعب مع أصدقائي."
"play_6","I don't want to play with you.","لا اريد ان العب معك."
"outside","Outside","في الخارج"
"outside_2","I love going outside.","أحب الخروج."
"outside_3","I want to go outside.","انا اريد ان اذهب الى الخارج."
"outside_4","Is it cold outside?","هل الجو بارد في الخارج؟"
"outside_5","I don't like outside.","أنا لا أحب الخارج."
"outside_6","Can I go outside?","هل يمكنني الخروج؟"
"home","Home","الصفحة الرئيسية"
"home_2","I love my home.","أنا أحب بيتي."
"home_3","I want to go home.","أريد العودة إلى ديارهم."
"home_4","Where is your home?","اين هو منزلك؟"
"home_5","Home sweet home.","البيت السعيد."
"home_6","I'm in the house.","انا في المنزل."
"home_7","I'm not in the house.","أنا لست في المنزل."
"hurt","Hurt","جرح"
"hurt_2","I'm hurt.","أنا أتألم."
"hurt_3","Are you hurt?","هل تأذيت؟"
"hurt_4","Did I hurt you?","هل آذيتك؟"
"hurt_5","I didn't mean to hurt you!","لم أقصد إيذائك!"
"hurt_6","Is it going to hurt?","هل سيؤلمك؟"
"hurt_7","I have a headache.","عندي صداع."
"hurt_8","I have a stomach ache.","عندي مغص."
"hurt_9","My genitals hurt.","يصب أعضائي التناسلية."
"hurt_10","My foot hurts.","قدمي تألمني."
"feelings","Feelings","مشاعر"
"happy","Happy","سعيدة"
"happy_2","I'm happy.","أنا سعيد."
"happy_3","I feel happy.","أشعر بالسعادة."
"happy_4","Do you feel happy?","هل تشعر بالسعادة؟"
"happy_5","I want to feel happy.","اريد ان اشعر بالسعادة."
"happy_6","You are making me happy.","انت تجعلني سعيدا"
"sad","Sad","حزين"
"sad_2","I'm sad.","اشعر بالحزن."
"sad_3","I feel sad.","أنا أشعر بالحزن."
"sad_4","Do you feel sad?","هل تشعرين بالحزن؟"
"sad_5","I don't want to feel sad.","لا أريد أن أشعر بالحزن."
"sad_6","You are making me sad.","كنت صنع لي حزين."
"exhausted","Exhausted","أرهق"
"exhausted_2","I'm exhausted.","أنا مرهق."
"exhausted_3","I feel exhausted.","أشعر بالإرهاق."
"exhausted_4","Do you feel exhausted?","هل تشعر بالإرهاق؟"
"exhausted_5","I don't want to be exhausted.","لا اريد ان استنفد."
"relaxed","Relaxed","استرخاء"
"relaxed_2","I'm relaxed.","أنا مرتاح."
"relaxed_3","I feel relaxed.","أشعر بالإسترخاء."
"relaxed_4","Do you feel relaxed?","هل تشعر بالراحة؟"
"relaxed_5","I want to feel relaxed.","أريد أن أشعر بالراحة."
"in-love","In love","يعشق"
"in-love_2","I'm in love.","انى أحب."
"in-love_3","I feel in love.","أشعر أني أحب."
"in-love_4","Are you in love?","هل تحب"
"in-love_5","I want to fall in love.","أريد الوقوع في الحب."
"in-love_6","Do you love me?","هل تحبني؟"
"stressed","Stressed","مضغوط"
"stressed_2","I'm stressed.","انا مضغوط."
"stressed_3","I feel stressed.","انا اشعر بتوتر."
"stressed_4","Do you feel stressed?","هل تشعر بالتوتر؟"
"stressed_5","I don't want to feel stressed.","لا أريد أن أشعر بالتوتر."
"thankful","Thankful","شاكرين"
"thankful_2","I'm thankful.","أنا ممتن."
"thankful_3","I feel thankful.","أشعر بالامتنان."
"thankful_4","Do you feel thankful?","هل تشعر بالامتنان؟"
"thankful_5","I want to feel thankful.","أريد أن أشعر بالامتنان."
"confused","Confused","مشوش"
"confused_2","I'm confused.","انا مرتبك."
"confused_3","I feel confused.","أنا في حيرة."
"confused_4","Do you feel confused?","هل تشعر بالارتباك؟"
"confused_5","You are confusing me.","أنت تربكني."
"joyful","Joyful","بهيجة"
"joyful_2","I'm joyful.","أنا سعيد."
"joyful_3","I feel joyful.","أشعر بالبهجة."
"joyful_4","Do you feel joyful?","هل تشعر بالبهجة؟"
"joyful_5","I want to feel joyful.","أريد أن أشعر بالفرح."
"angry","Angry","غاضب"
"angry_2","I'm angry.","انا غاضب."
"angry_3","I feel angry.","أشعر بالغضب."
"angry_4","Do you feel angry?","هل تشعر بالغضب؟"
"angry_5","I'm angry at you.","انا غاضبة منك."
"angry_6","You are making me angry.","أنت تجعلني اغضب."
"smart","Smart","ذكي"
"smart_2","I'm smart.","أنا ذكي."
"smart_3","I feel smart.","أشعر بالذكاء."
"smart_4","Do you feel smart?","هل تشعر بالذكاء؟"
"smart_5","Am I smart?","هل أنا ذكي؟"
"smart_6","You are smart!","انت ذكي!"
"afraid","Afraid","خائف"
"afraid_2","I'm afraid.","أنا خائف."
"afraid_3","I feel afraid.","اشعر بالخوف."
"afraid_4","Do you feel afraid?","هل تشعر بالخوف؟"
"afraid_5","I don't want to feel afraid.","لا أريد أن أشعر بالخوف."
"afraid_6","You are scaring me.","انت تخيفني."
"ashamed","Ashamed","تخجل"
"ashamed_2","I'm ashamed.","أشعر بالخجل."
"ashamed_3","I feel ashamed.","اشعر بالخجل."
"ashamed_4","Do you feel ashamed?","هل تشعر بالخجل؟"
"ashamed_5","I don't want to feel ashamed.","لا أريد أن أشعر بالخجل."
"shocked","Shocked","صدمت"
"shocked_2","I'm shocked.","أنا مصدوم."
"shocked_3","I feel shocked.","أشعر بالصدمة."
"shocked_4","Do you feel shocked?","هل تشعر بالصدمة؟"
"shocked_5","You shocked me.","لقد افزعتني."
"sick","Sick","مرض"
"sick_2","I'm sick.","انا مريض."
"sick_3","I feel sick.","أشعر بالمرض."
"sick_4","Do you feel sick?","هل تشعر بالمرض؟"
"sick_5","I don't want to be sick.","لا اريد ان امرض."
"sick_6","I'm sick of the food.","لقد سئمت من الطعام."
"frustrated","Frustrated","محبط"
"frustrated_2","I'm frustrated.","أنا محبط."
"frustrated_3","I feel frustrated.","اشعر بالاحباط."
"frustrated_4","Do you feel frustrated?","هل تشعر بالإحباط؟"
"frustrated_5","I don't want to feel frustrated.","لا أريد أن أشعر بالإحباط."
"excited","Excited","فرح"
"excited_2","I'm excited.","أنا متحمس."
"excited_3","I feel excited.","أشعر بالإثارة."
"excited_4","Do you feel excited?","هل تشعر بالإثارة؟"
"excited_5","I don't want to feel excited.","لا أريد أن أشعر بالحماس."
"nauseated","Nauseated","قرفان"
"nauseated_2","I'm nauseated.","أشعر بالغثيان."
"nauseated_3","I feel nauseated.","أشعر بالغثيان."
"nauseated_4","Do you feel nauseated?","هل تشعر بالغثيان؟"
"nauseated_5","I don't want to feel nauseated.","لا أريد أن أشعر بالغثيان."
"agitated","Agitated","مضطرب"
"agitated_2","I'm agitated.","أنا مستاء."
"agitated_3","I feel agitated.","أشعر بالإثارة."
"agitated_4","Do you feel agitated?","هل تشعر بالإثارة؟"
"agitated_5","I don't want to feel agitated.","لا أريد أن أشعر بالاضطراب."
"food","Food","طعام"
"hungry","Hungry","جوعان"
"hungry_2","I'm hungry.","إنني جائع أنا جوعان."
"hungry_3","Are you hungry?","هل انت جوعان؟"
"hungry_4","Can you make me food?","هل يمكنك أن تصنع لي الطعام؟"
"hungry_5","What is for dinner?","ماذا اعددتم للعشاء؟"
"thirsty","Thirsty","متعطش"
"thirsty_2","I'm thirsty.","عطشان."
"thirsty_3","Can I have some water?","هل أستطيع الحصول على بعض الماء؟"
"thirsty_4","Can I have a glass of water?","هل يمكنني الحصول على كوب من الماء؟"
"thirsty_5","I want something to drink.","أريد شيئا للشرب."
"cutlery","Cutlery","أدوات المائدة"
"cutlery_2","I need cutlery.","أحتاج إلى أدوات المائدة."
"cutlery_3","Help me use cutlery.","ساعدني في استخدام أدوات المائدة."
"cutlery_4","I need a fork.","أحتاج شوكة."
"cutlery_5","I need a spoon.","أحتاج ملعقة."
"cutlery_6","I need chopsticks.","أحتاج إلى عيدان تناول الطعام."
"cutlery_7","I need a knife.","انا بحاجة الى سكين."
"cutlery_8","I need a napkin.","أنا بحاجة إلى منديل."
"apple","Apple","تفاحة"
"apple_2","I like apple.","انا احب التفاح."
"apple_3","I don't like apple.","أنا لا أحب التفاح."
"apple_4","I want to eat an apple.","أريد أن أكل تفاحة."
"carrot","Carrot","جزرة"
"carrot_2","I like carrot.","أنا أحب الجزرة."
"carrot_3","I don't like carrot.","أنا لا أحب الجزرة."
"carrot_4","I want to eat a carrot.","أريد أن آكل جزرة."
"beans","Beans","فاصوليا"
"beans_2","I like beans.","احب الفاصوليا."
"beans_3","I don't like beans.","أنا لا أحب الفاصوليا."
"beans_4","I want to eat beans.","أريد أكل الفاصوليا."
"chicken_5","I want fried chicken.","اريد دجاج مقلي."
"chicken_6","I want boiled chicken.","اريد دجاج مسلوق"
"chocolate","Chocolate","شوكولاتة"
"chocolate_2","I like chocolate.","احب الشكولاته."
"chocolate_3","I don't like chocolate.","لا أحب الشوكولاتة."
"chocolate_4","I want to eat chocolate.","أريد أكل الشوكولاتة."
"chocolate_5","I want dark chocolate.","اريد الشوكولاته الداكنة."
"chocolate_6","I want white chocolate.","اريد الشوكولاته البيضاء."
"milk","Milk","حليب"
"milk_2","I like milk.","انا احب الحليب."
"milk_3","I don't like milk.","لا احب الحليب."
"milk_4","I want to drink milk.","اريد ان اشرب الحليب."
"milk_5","Can I have a glass of milk?","هل يمكنني الحصول على كوب من الحليب؟"
"sandwich","Sandwich","ساندويتش"
"sandwich_2","I like sandwich.","أنا أحب الساندويتش."
"sandwich_3","I don't like sandwich.","أنا لا أحب الساندويتش."
"sandwich_4","I want to eat a sandwich.","أريد أكل شطيرة."
"sandwich_5","Can you make me a sandwich?","هل يمكنك أن تصنع لي شطيرة؟"
"steak","Steak","شريحة لحم"
"steak_2","I like steak.","أنا أحب شريحة لحم."
"steak_3","I don't like steak.","لا أحب شريحة اللحم."
"steak_4","I want to eat steak.","أريد أكل شريحة لحم."
"steak_5","Can you cook steak for me?","يمكنك طهي شريحة لحم بالنسبة لي؟"
"banana","Banana","موز"
"banana_2","I like banana.","أحب الموز."
"banana_3","I don't like banana.","لا أحب الموز."
"banana_4","I want to eat a banana.","أريد أكل موزة."
"pie","Pie","فطيرة"
"pie_2","I like pie.","أحب الفطيرة."
"pie_3","I don't like pie.","أنا لا أحب الفطيرة."
"pie_4","I want to eat pie.","أريد أكل فطيرة."
"pie_5","Can you bake a pie for me?","هل يمكنك خبز فطيرة لي؟"
"egg","Egg","بيضة"
"egg_2","I like egg.","احب البيض."
"egg_3","I don't like egg.","أنا لا أحب البيض."
"egg_4","I want to eat egg.","أريد أكل البيض."
"egg_5","I want fried eggs.","اريد بيض مقلي"
"egg_6","I want boiled eggs.","أريد بيض مسلوق."
"noodles","Noodles","المعكرونة"
"noodles_2","I like noodles.","أحب الشعرية."
"noodles_3","I don't like noodles.","أنا لا أحب المعكرونة."
"noodles_4","I want to eat noodles.","أريد أكل المعكرونة."
"noodles_5","Can you cook noodles for me?","هل يمكنك طهي المعكرونة من أجلي؟"
"salt","Salt","ملح"
"salt_2","I want salt.","اريد ملح."
"salt_3","Can you pass me the salt?","هل يمكنك تمرير الملح لي؟"
"salt_4","Food is too salty.","الطعام مالح للغاية."
"salt_5","My food needs some salt.","طعامي يحتاج إلى بعض الملح."
"spices","Spices","التوابل"
"spices_2","I like spicy food.","أنا أحب الطعام حار."
"spices_3","I don't like spicy food.","لا أحب الطعام الحار."
"spices_4","I want paprika.","أريد الفلفل الأحمر."
"spices_5","I want black pepper.","اريد فلفل اسود."
"pizza","Pizza","بيتزا"
"pizza_2","I like pizza.","أنا أحب البيتزا."
"pizza_3","I don't like pizza.","لا أحب البيتزا."
"pizza_4","I want to eat pizza.","أريد أن أكل البيتزا."
"pizza_5","Can you cook pizza for me?","هل يمكنك طهي البيتزا لي؟"
"pizza_6","Can we order pizza?","هل يمكننا طلب بيتزا؟"
"cheese","Cheese","جبنه"
"cheese_2","I like cheese.","أنا أحب الجبن."
"cheese_3","I don't like cheese.","لا أحب الجبن."
"cheese_4","I want to eat cheese.","أريد أكل الجبن."
"ice-cream","Ice cream","بوظة"
"ice-cream_2","I like ice cream.","أحب الآيس كريم."
"ice-cream_3","I don't like ice cream.","أنا لا أحب الآيس كريم."
"ice-cream_4","I want to eat ice cream.","أريد أن أكل الآيس كريم."
"ice-cream_5","Can you buy ice cream for me?","هل يمكنك شراء الآيس كريم لي؟"
"tea","Tea","شاي"
"tea_2","I like tea.","انا احب الشاي."
"tea_3","I don't like tea.","لا أحب الشاي."
"tea_4","I want to drink tea.","انا اريد ان اشرب الشاي."
"tea_5","Can you make tea for me?","هل يمكنك صنع الشاي لي؟"
"coffee","Coffee","قهوة"
"coffee_2","I like coffee.","أنا أحب القهوة."
"coffee_3","I don't like coffee.","أنا لا أحب القهوة."
"coffee_4","I want to drink coffee.","أريد أن شرب القهوة."
"coffee_5","Can you make coffee for me?","هل يمكنك صنع قهوة لي؟"
"tomato","Tomato","طماطم"
"tomato_2","I like tomato.","أنا أحب الطماطم."
"tomato_3","I don't like tomato.","أنا لا أحب الطماطم."
"tomato_4","I want to eat tomato.","أريد أكل الطماطم."
"cereal","Cereal","حبوب"
"cereal_2","I like cereal.","أحب الحبوب."
"cereal_3","I don't like cereal.","أنا لا أحب الحبوب."
"cereal_4","I want to eat cereal.","أريد أكل الحبوب."
"cereal_5","Can you make my cereal?","هل يمكنك صنع الحبوب الخاصة بي؟"
"burger","Burger","برجر"
"burger_2","I like burger.","أنا أحب البرجر."
"burger_3","I don't like burger.","أنا لا أحب البرجر."
"burger_4","I want to eat burger.","أريد أكل البرغر."
"burger_5","Can you cook burger for me?","هل يمكنك طهي البرغر لي؟"
"burger_6","Can we order burger?","هل يمكننا طلب البرغر؟"
"french-fries","French fries","البطاطس المقلية"
"french-fries_2","I like french fries.","أحب البطاطا المقلية."
"french-fries_3","I don't like french fries.","أنا لا أحب البطاطس المقلية."
"french-fries_4","I want to eat french fries.","أريد أكل البطاطس المقلية."
"french-fries_5","Can you cook french fries for me?","هل يمكنك طهي البطاطس المقلية لي؟"
"french-fries_6","Can we order french fries?","هل يمكننا طلب بطاطس مقلية؟"
"spinach","Spinach","سبانخ"
"spinach_2","I like spinach.","أحب السبانخ."
"spinach_3","I don't like spinach.","لا أحب السبانخ."
"spinach_4","I want to eat spinach.","أريد أكل السبانخ."
"rice","Rice","أرز"
"rice_2","I like rice.","انا أحب الأرز."
"rice_3","I don't like rice.","لا أحب الأرز."
"rice_4","I want to eat rice.","اريد اكل الرز."
"rice_5","Can you cook rice for me?","هل يمكنك طهي الأرز لي؟"
"bread","Bread","خبز"
"bread_2","I like bread.","أنا أحب الخبز."
"bread_3","I don't like bread.","لا أحب الخبز."
"bread_4","I want to eat bread.","أريد أكل الخبز."
"bread_5","Can you buy some bread?","هل يمكنك شراء بعض الخبز؟"
"pasta","Pasta","معكرونة"
"pasta_2","I like pasta.","انا احب المعكرونة."
"pasta_3","I don't like pasta.","لا أحب المعكرونة."
"pasta_4","I want to eat pasta.","أريد أكل المعكرونة."
"pasta_5","Can you cook pasta for me?","هل يمكنك طهي المعكرونة لي؟"
"sauce","Sauce","صلصة"
"sauce_2","I like sauce.","أحب الصلصة."
"sauce_3","I don't like sauce.","لا أحب الصلصة."
"sauce_4","I want some sauce.","اريد بعض الصلصة."
"sauce_5","Can I have ketchup?","هل يمكنني الحصول على الكاتشب؟"
"sauce_6","Can I have mayonnaise?","هل يمكنني الحصول على المايونيز؟"
"sauce_7","Can I have mustard?","هل يمكنني الحصول على الخردل؟"
"sauce_8","Can I have ranch sauce?","هل يمكنني الحصول على صلصة الرانش؟"
"kebab","Kebab","كباب"
"kebab_2","I like kebab.","أنا أحب الكباب."
"kebab_3","I don't like kebab.","أنا لا أحب الكباب."
"kebab_4","I want to eat kebab.","اريد ان اكل كباب."
"kebab_5","Can you cook kebab for me?","هل يمكنك طهي الكباب لي؟"
"kebab_6","Can we order kebab?","هل يمكننا طلب كباب؟"
"numbers","Numbers","أعداد"
"one","One","واحد"
"one_2","One comes before two.","يأتي قبل اثنين."
"one_3","One comes after zero.","يأتي المرء بعد الصفر."
"one_4","I want one.","أريد واحد."
"two","Two","اثنان"
"two_2","Two comes before three.","يأتي اثنان قبل ثلاثة."
"two_3","Two comes after one.","يأتي اثنان بعد الآخر."
"two_4","I want two.","اريد اثنتين."
"three","Three","ثلاثة"
"three_2","Three comes before four.","ثلاثة يأتي قبل أربعة."
"three_3","Three comes after two.","ثلاثة يأتي بعد اثنين."
"three_4","I want three.","اريد ثلاثة."
"four","Four","أربعة"
"four_2","Four comes before five.","أربعة تأتي قبل الخامسة."
"four_3","Four comes after three.","يأتي أربعة بعد ثلاثة."
"four_4","I want four.","اريد اربع."
"five","Five","خمسة"
"five_2","Five comes before six.","خمسة يأتي قبل ستة."
"five_3","Five comes after four.","خمسة يأتي بعد أربعة."
"five_4","I want five.","اريد خمسة."
"six","Six","ستة"
"six_2","Six comes before seven.","يأتي ستة قبل سبعة."
"six_3","Six comes after five.","يأتي ستة بعد خمسة."
"six_4","I want fix.","اريد اصلاح."
"seven","Seven","سبعة"
"seven_2","Seven comes before eight.","يأتي سبعة قبل ثمانية."
"seven_3","Seven comes after six.","سبعة تأتي بعد السادسة."
"seven_4","I want seven.","اريد سبعة."
"eight","Eight","ثمانية"
"eight_2","Eight comes before nine.","ثمانية تأتي قبل الساعة التاسعة."
"eight_3","Eight comes after seven.","ثمانية تأتي بعد السابعة."
"eight_4","I want eight.","اريد ثمانية."
"nine","Nine","تسع"
"nine_2","Nine comes before ten.","تسعة يأتي قبل العاشرة."
"nine_3","Nine comes after eight.","تسعة يأتي بعد ثمانية."
"nine_4","I want nine.","اريد تسعة."
"ten","Ten","عشرة"
"ten_2","Ten comes before eleven.","عشرة تأتي قبل الحادية عشرة."
"ten_3","Ten comes after nine.","يأتي عشرة بعد تسعة."
"ten_4","I want ten.","اريد عشرة."
"eleven","Eleven","أحد عشر"
"eleven_2","Eleven comes before thirteen.","يأتي أحد عشر قبل الثالثة عشر."
"eleven_3","Eleven comes after ten.","يأتي أحد عشر بعد عشرة."
"eleven_4","I want eleven.","أريد أحد عشر."
"twenty","Twenty","عشرون"
"twenty_2","I can count up to twenty.","يمكنني العد حتى عشرين."
"thirty","Thirty","ثلاثون"
"thirty_2","I can count up to thirty.","يمكنني العد حتى ثلاثين."
"forty","Forty","أربعين"
"forty_2","I can count up to forty.","يمكنني العد حتى أربعين."
"fifty","Fifty","خمسون"
"fifty_2","I can count up to fifty.","يمكنني العد حتى خمسين."
"hundred","Hundred","مائة"
"hundred_2","I can count up to hundred.","يمكنني العد حتى مائة."
"thousand","Thousand","ألف"
"thousand_2","I can count up to thousand.","يمكنني العد حتى ألف."
"calculator","Calculator","آلة حاسبة"
"calculator_2","I want to use a calculator.","أريد استخدام آلة حاسبة."
"calculator_3","Can you teach me how to use a calculator?","هل يمكنك أن تعلمني كيفية استخدام الآلة الحاسبة؟"
"calculator_4","Can I barrow your calculator?","هل يمكنني تحضير الآلة الحاسبة الخاصة بك؟"
"people","People","اشخاص"
"mother","Mother","أم"
"mother_2","Mommy!","أمي!"
"mother_3","I love my mother.","أحب أمي."
"mother_4","I love you mom.","احبك يا امي."
"mother_5","I miss my mom.","أنا أفتقد أمي."
"mother_6","Thank you for taking care of me.","شكرا لك لاعتنائك بي."
"mother_7","She is my mom.","هي أمي."
