"activities","Activities","Mga Aktibidad"
"crayons_4","I want to draw using my crayons.","Nais kong gumuhit gamit ang aking mga krayola."
"red","Red","Pula"
"red_2","It is red.","Pula ito."
"red_3","My favorite color is red.","Ang aking paboritong kulay ay pula."
"red_4","Can you give me red paint?","Maaari mo bang bigyan ako ng pulang pintura?"
"blue","Blue","Bughaw"
"blue_2","It is blue.","Ito ay asul."
"blue_3","My favorite color is blue.","Ang paborito kong kulay ay asul."
"blue_4","Can you give me blue paint?","Maaari mo bang bigyan ako ng asul na pintura?"
"orange","Orange","Orange"
"orange_2","It is orange color.","Ito ay kulay kahel."
"orange_3","My favorite color is orange.","Ang aking paboritong kulay ay orange."
"orange_4","Can you give me orange paint?","Maaari mo bang bigyan ako ng orange na pintura?"
"green","Green","Berde"
"green_2","It is green.","Ito ay berde."
"green_3","My favorite color is green.","Ang aking paboritong kulay ay berde."
"green_4","Can you give me green paint?","Maaari mo bang bigyan ako ng berdeng pintura?"
"yellow","Yellow","Dilaw"
"yellow_2","It is yellow.","Ito ay dilaw."
"yellow_3","My favorite color is yellow.","Ang aking paboritong kulay ay dilaw."
"yellow_4","Can you give me yellow paint?","Maaari mo bang bigyan ako ng dilaw na pintura?"
"purple","Purple","Lila"
"purple_2","It is purple.","Ito ay lilang."
"purple_3","My favorite color is purple.","Ang aking paboritong kulay ay lilang."
"purple_4","Can you give me purple paint?","Maaari mo bang bigyan ako ng lilang pintura?"
"pink","Pink","Rosas"
"pink_2","It is pink.","Ito ay kulay rosas."
"pink_3","My favorite color is pink.","Kulay rosas ang aking paboritong kulay."
"pink_4","Can you give me pink paint?","Maaari mo bang bigyan ako ng kulay-rosas na pintura?"
"brown","Brown","Kayumanggi"
"brown_2","It is brown.","Ito ay kayumanggi."
"brown_3","My favorite color is brown.","Ang paborito kong kulay ay kayumanggi."
"brown_4","Can you give me brown paint?","Maaari mo bang bigyan ako ng brown pintura?"
"black","Black","Itim"
"black_2","It is black.","Itim."
"black_3","My favorite color is black.","Itim ang paborito kong kulay."
"black_4","Can you give me black paint?","Maaari mo bang bigyan ako ng itim na pintura?"
"white","White","Puti"
"white_2","It is white.","Puti ito."
"white_3","My favorite color is white.","Puti ang aking paboritong kulay."
"white_4","Can you give me white paint?","Maaari mo bang bigyan ako ng puting pintura?"
"gray","Gray","kulay-abo"
"gray_2","It is gray.","Ito ay kulay-abo."
"gray_3","My favorite color is gray.","Ang aking paboritong kulay ay kulay abo."
"gray_4","Can you give me gray paint?","Maaari mo bang bigyan ako ng kulay-abo na pintura?"
"transparent","Transparent","Transparent"
"transparent_2","It is transparent.","Ito ay malinaw."
"transparent_3","I can see behind transparent color.","Nakikita ko sa likod ng transparent na kulay."
"transparent_4","Can you help me erase?","Maaari mo bang tulungan akong burahin?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","Ito ay cyan."
"cyan_3","My favorite color is cyan.","Ang paborito kong kulay ay cyan."
"cyan_4","Can you give me cyan paint?","Maaari mo bang bigyan ako ng cyan pintura?"
"violet","Violet","Lila"
"violet_2","It is violet.","Ito ay violet."
"violet_3","My favorite color is violet.","Ang aking paboritong kulay ay kulay-lila."
"violet_4","Can you give me violet paint?","Maaari mo bang bigyan ako ng pintura ng violet?"
"turquoise","Turquoise","Turkesa"
"turquoise_2","It is turquoise.","Ito ay turkesa."
"turquoise_3","My favorite color is turquoise.","Ang aking paboritong kulay ay turkesa."
"turquoise_4","Can you give me turquoise paint?","Maaari mo bang bigyan ako ng pintura ng turkesa?"
"lime","Lime","Lime"
"lime_2","It is lime.","Ito ay dayap."
"lime_3","My favorite color is lime.","Ang paborito kong kulay ay dayap."
"lime_4","Can you give me lime paint?","Maaari mo bang bigyan ako ng pintura ng dayap?"
"plum","Plum","Plum"
"plum_2","It is plum.","Ito ay plum."
"plum_3","My favorite color is plum.","Ang aking paboritong kulay ay plum."
"plum_4","Can you give me plum paint?","Maaari mo bang bigyan ako ng plum pintura?"
"tan","Tan","kulay-balat"
"tan_2","It is tan color.","Ito ay kulay tan."
"tan_3","My favorite color is tan color.","Ang paborito kong kulay ay kulay tan."
"tan_4","Can you give me tan color paint?","Maaari mo bang bigyan ako ng kulay ng kulay ng tan?"
"avocado","Avocado","Avocado"
"avocado_2","It is avocado color.","Ito ay kulay abukado."
"avocado_3","My favorite color is avocado color.","Ang aking paboritong kulay ay kulay abukado."
"avocado_4","Can you give me avocado color paint?","Maaari mo bang bigyan ako ng pintura ng kulay ng abukado?"
"barbie-pink","Barbie pink","Rosas na rosas"
"barbie-pink_2","It is barbie pink color.","Ito ay kulay barbie pink."
"barbie-pink_3","My favorite color is barbie pink.","Ang aking paboritong kulay ay barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Maaari mo bang bigyan ako ng barbie pink na pintura?"
"blizzard-blue","Blizzard blue","Asul na blizzard"
"blizzard-blue_2","It is blizzard blue color.","Ito ay kulay rosas na kulay asul."
"blizzard-blue_3","My favorite color is blizzard blue color.","Ang aking paboritong kulay ay kulay rosas na kulay asul na kulay."
"blizzard-blue_4","Can you give me blizzard blue paint?","Maaari mo bang bigyan ako ng blizzard asul na pintura?"
"conversation","Conversation","Pag-uusap"
"me","Me","Ako"
"me_2","My name is {name}","Ang pangalan ko ay"
"me_3","I'm {name}","Ako ay pangalan"
"me_4","Do you know my name?","Alam mo ba ang pangalan ko?"
"me_5","What is your name?","Ano ang pangalan mo?"
"me_6","Nice to meet you!","Nice to meet you!"
"me_7","Do you like me?","Gusto mo ba ako?"
"me_8","Can we be friends?","Maaari ba tayong maging magkaibigan?"
"me_9","I'm using assistive communication app.","Gumagamit ako ng helpive na app ng komunikasyon."
"me_10","Who are you?","Sino ka?"
"hello","Hello","Kamusta"
"hello_2","Hello.","Kamusta."
"hello_3","Hi.","Kumusta"
"hello_4","Greetings.","Pagbati."
"hello_5","How are you?","Kumusta ka?"
"hello_6","Nice to meet you!","Nice to meet you!"
"help","Help","Tulong"
"help_2","Help me.","Tulungan mo ako."
"help_3","Can you help me?","Maaari mo ba akong tulungan?"
"help_4","I need help","kailangan ko ng tulong"
"help_5","Do you need help?","Kailangan mo ba ng tulong?"
"yes","Yes","Oo"
"yes_2","Yes.","Oo."
"yes_3","Yes please.","Oo pakiusap."
"yes_4","Alright.","Sige."
"yes_5","Agreed.","Sumang-ayon."
"yes_6","I want to.","Gusto ko."
"yes_7","I would like to.","Gusto kong."
"no","No","Hindi"
"no_2","No.","Hindi."
"no_3","Nope.","Nope."
"no_4","Never.","Huwag kailanman."
"no_5","I don't want to.","Ayaw ko."
"no_6","I don't like it.","Ayaw ko ito."
"no_7","You don't like it?","Hindi mo gusto ito?"
"no_8","Why you don't like it?","Bakit hindi mo gusto ito?"
"toilet","Toilet","Bata"
"toilet_2","I need to go to the toilet.","Kailangan kong pumunta sa banyo."
"toilet_3","I need to pee.","Kailangan kong umihi."
"toilet_4","I need to poop.","Kailangan kong mag-poop."
"toilet_5","Can you help me go to the toilet?","Maaari mo bang tulungan akong pumunta sa banyo?"
"toilet_6","Can you help me clean?","Maaari mo bang tulungan akong malinis?"
"toilet_7","I peed myself.","Sinilip ko ang sarili ko."
"toilet_8","I pooped myself.","Ako pooped ang aking sarili."
"what","What","Ano"
"what_2","What is that?","Ano yan?"
"what_3","What does it mean?","Ano ang ibig sabihin nito?"
"what_4","What do you mean?","Anong ibig mong sabihin?"
"what_5","Can you explain it?","Maaari mo bang ipaliwanag ito?"
"what_6","Can you repeat what you said?","Maaari mo bang ulitin ang sinabi mo?"
"what_7","I don't understand.","Hindi ko maintindihan"
"sleep","Sleep","Matulog"
"sleep_2","I want to sleep.","Gusto kong matulog."
"sleep_3","I don't want to sleep.","Ayokong matulog."
"sleep_4","I'm tired.","Pagod na ako."
"sleep_5","Are you tired?","Pagod ka ba?"
"sleep_6","When am I going to sleep?","Kailan ako matutulog?"
"sleep_7","I want to take a nap.","Gusto kong matulog."
"bath","Bath","Maligo"
"bath_2","I want to take a bath.","Gusto ko maligo."
"bath_3","I like taking a bath.","Gusto ko maligo."
"bath_4","I want to wash my hands.","Gusto kong maghugas ng kamay."
"bath_5","I want to take a shower.","Gusto kong maligo."
"bath_6","I want to clean myself.","Gusto kong linisin ang aking sarili."
"bath_7","Can you help me take a bath?","Matutulungan mo ba akong maligo?"
"bath_8","I don't want to take a bath.","Ayokong maligo."
"listen","Listen","Makinig"
"listen_2","Listen to me.","Makinig ka sa akin."
"listen_3","Can you listen to me?","Maaari mo akong pakinggan?"
"listen_4","Listen to music.","Makinig sa musika."
"listen_5","Listening to my parents.","Pakikinig sa aking mga magulang."
"listen_6","Listen to what my application is saying!","Makinig sa kung ano ang sinasabi ng aking application!"
"morning","Morning","Umaga"
"morning_2","Good morning.","Magandang umaga."
"morning_3","I like mornings.","Gusto ko ng umaga."
"morning_4","In the morning.","Sa umaga."
"morning_5","Morning time.","Oras ng umaga."
"morning_6","Is it morning?","Umaga ba?"
"night","Night","Gabi"
"night_2","Good night!","Magandang gabi!"
"night_3","I like nights.","Gusto ko ng gabi."
"night_4","At night.","Sa gabi."
"night_5","Night time.","Oras ng gabi."
"night_6","Is it night?","Gabi na ba?"
"look","Look","Tumingin"
"look_2","Look at me.","Tingnan mo ako."
"look_3","Look at this.","Tignan mo to."
"look_4","Are you looking?","Naghahanap ka ba?"
"look_5","Look at my drawing.","Tingnan mo ang pagguhit ko."
"look_6","How do I look?","Ano ang itsura ko?"
"look_7","Look what I did.","Tingnan kung ano ang ginawa ko."
"look_8","Let's look at that.","Tingnan natin iyan."
"speak","Speak","Magsalita"
"speak_2","I'm learning how to speak.","Natututo akong magsalita."
"speak_3","I want to speak.","Gusto kong magsalita."
"speak_4","Can I speak with you?","Maaari ba kitang makausap?"
"speak_5","I like speaking.","Gusto kong magsalita."
"speak_6","I'm using assistive communication app.","Gumagamit ako ng helpive na app ng komunikasyon."
"play","Play","Maglaro"
"play_2","I love playing.","Mahilig akong maglaro."
"play_3","Can you play with me?","Maaari kang makipaglaro sa akin?"
"play_4","I want to play with you!","Gusto kong makipaglaro sayo!"
"play_5","I want to play with my friends.","Gusto kong makipaglaro sa aking mga kaibigan."
"play_6","I don't want to play with you.","Ayokong makipaglaro sayo."
"outside","Outside","Sa labas"
"outside_2","I love going outside.","Mahilig akong lumabas sa labas."
"outside_3","I want to go outside.","Gusto kong lumabas sa labas."
"outside_4","Is it cold outside?","Malamig ba sa labas?"
"outside_5","I don't like outside.","Hindi ko gusto sa labas."
"outside_6","Can I go outside?","Maaari ba akong pumunta sa labas?"
"home","Home","Bahay"
"home_2","I love my home.","Mahal ko ang bahay ko."
"home_3","I want to go home.","Gusto ko nang umuwi."
"home_4","Where is your home?","Saan ang bahay mo?"
"home_5","Home sweet home.","Home sweet home."
"home_6","I'm in the house.","Ako ay nasa bahay."
"home_7","I'm not in the house.","Wala ako sa bahay."
"hurt","Hurt","Sakit"
"hurt_2","I'm hurt.","Nasasaktan ako."
"hurt_3","Are you hurt?","Nasaktan ka ba?"
"hurt_4","Did I hurt you?","Nasaktan ba kita?"
"hurt_5","I didn't mean to hurt you!","Hindi ko ibig sabihin na saktan ka!"
"hurt_6","Is it going to hurt?","Masasaktan ba ito?"
"hurt_7","I have a headache.","Masakit ang ulo ko."
"hurt_8","I have a stomach ache.","Masakit ang tiyan ko."
"hurt_9","My genitals hurt.","Masakit ang aking maselang bahagi ng katawan."
"hurt_10","My foot hurts.","Masakit ang aking paa."
"feelings","Feelings","Mga Damdamin"
"happy","Happy","Masaya"
"happy_2","I'm happy.","Masaya ako."
"happy_3","I feel happy.","Masaya ako."
"happy_4","Do you feel happy?","Masaya ka ba?"
"happy_5","I want to feel happy.","Gusto kong makaramdam ng kasiyahan."
"happy_6","You are making me happy.","Pinapasaya mo ako."
"sad","Sad","Malungkot"
"sad_2","I'm sad.","Malungkot ako."
"sad_3","I feel sad.","Nakaramdam ako ng lungkot."
"sad_4","Do you feel sad?","Nalulungkot ka ba?"
"sad_5","I don't want to feel sad.","Ayokong makaramdam ng lungkot."
"sad_6","You are making me sad.","Ginagawa mo akong malungkot."
"exhausted","Exhausted","Napapaso"
"exhausted_2","I'm exhausted.","Pagod na ako."
"exhausted_3","I feel exhausted.","Nakakapagod na ako."
"exhausted_4","Do you feel exhausted?","Nakakapagod ka ba?"
"exhausted_5","I don't want to be exhausted.","Ayaw kong pagod."
"relaxed","Relaxed","Nakakarelaks"
"relaxed_2","I'm relaxed.","Ako ay payapa."
"relaxed_3","I feel relaxed.","Nakakarelax ako."
"relaxed_4","Do you feel relaxed?","Nagpapahinga ka ba?"
"relaxed_5","I want to feel relaxed.","Gusto kong makaramdam ng lundo."
"in-love","In love","Umiibig"
"in-love_2","I'm in love.","In love ako."
"in-love_3","I feel in love.","Umiibig ako."
"in-love_4","Are you in love?","Umiibig ka ba?"
"in-love_5","I want to fall in love.","Nais kong umibig."
"in-love_6","Do you love me?","Mahal mo ba ako?"
"stressed","Stressed","Na-stress"
"stressed_2","I'm stressed.","Nai-stress ako."
"stressed_3","I feel stressed.","Nakaramdam ako ng stress."
"stressed_4","Do you feel stressed?","Pakiramdam mo ba ay nai-stress?"
"stressed_5","I don't want to feel stressed.","Ayokong makaramdam ng pagkabalisa."
"thankful","Thankful","Mapagpasalamat"
"thankful_2","I'm thankful.","Nagpapasalamat ako."
"thankful_3","I feel thankful.","Pakiramdam ko ay nagpapasalamat ako."
"thankful_4","Do you feel thankful?","Nagpapasalamat ka ba?"
"thankful_5","I want to feel thankful.","Gusto kong makaramdam ng pasasalamat."
"confused","Confused","Nalilito"
"confused_2","I'm confused.","Nalilito ako."
"confused_3","I feel confused.","Para akong naguguluhan."
"confused_4","Do you feel confused?","Pakiramdam mo ay nalilito ka?"
"confused_5","You are confusing me.","Nalilito mo ako."
"joyful","Joyful","Masaya"
"joyful_2","I'm joyful.","Masaya ako."
"joyful_3","I feel joyful.","Nakakatuwa ang pakiramdam ko."
"joyful_4","Do you feel joyful?","Masaya ba ang pakiramdam mo?"
"joyful_5","I want to feel joyful.","Gusto kong makaramdam ng kasiyahan."
"angry","Angry","Galit"
"angry_2","I'm angry.","Galit ako."
"angry_3","I feel angry.","Nagagalit ako."
"angry_4","Do you feel angry?","Galit ka ba?"
"angry_5","I'm angry at you.","Galit ako sayo."
"angry_6","You are making me angry.","Ginagalit mo ako."
"smart","Smart","Matalino"
"smart_2","I'm smart.","Matalino ako."
"smart_3","I feel smart.","Pakiramdam ko ay matalino."
"smart_4","Do you feel smart?","Masarap ba ang pakiramdam mo?"
"smart_5","Am I smart?","Matalino ba ako?"
"smart_6","You are smart!","Ikaw ay matalino!"
"afraid","Afraid","Takot"
"afraid_2","I'm afraid.","Takot ako."
"afraid_3","I feel afraid.","Ramdam ko ang takot."
"afraid_4","Do you feel afraid?","Ramdam mo ba ang takot?"
"afraid_5","I don't want to feel afraid.","Ayokong makaramdam ng takot."
"afraid_6","You are scaring me.","Tinatakot mo ako."
"ashamed","Ashamed","Nahihiya"
"ashamed_2","I'm ashamed.","Ako ay nahihiya."
"ashamed_3","I feel ashamed.","Nahihiya ako."
"ashamed_4","Do you feel ashamed?","Nahihiya ka ba?"
"ashamed_5","I don't want to feel ashamed.","Ayokong makaramdam ng hiya."
"shocked","Shocked","Nagulat"
"shocked_2","I'm shocked.","Nagulat ako."
"shocked_3","I feel shocked.","Nakaramdam ako ng pagkabigla."
"shocked_4","Do you feel shocked?","Nakakagulat ka ba?"
"shocked_5","You shocked me.","Nabigla mo ako."
"sick","Sick","May sakit"
"sick_2","I'm sick.","May sakit ako."
"sick_3","I feel sick.","May sakit ako."
"sick_4","Do you feel sick?","May sakit ka ba?"
"sick_5","I don't want to be sick.","Ayokong magkasakit."
"sick_6","I'm sick of the food.","May sakit ako sa pagkain."
"frustrated","Frustrated","Galit"
"frustrated_2","I'm frustrated.","Nabigo ako."
"frustrated_3","I feel frustrated.","Nakaramdam ako ng pagkabigo."
"frustrated_4","Do you feel frustrated?","Nakaramdam ka ba ng pagkabigo?"
"frustrated_5","I don't want to feel frustrated.","Ayokong makaramdam ng pagkabigo."
"excited","Excited","Nakakatuwa"
"excited_2","I'm excited.","Excited ako."
"excited_3","I feel excited.","Pakiramdam ko ay nasasabik ako."
"excited_4","Do you feel excited?","Nagpaparamdam ka ba?"
"excited_5","I don't want to feel excited.","Ayokong makaramdam ako ng excited."
"nauseated","Nauseated","Nakabuga"
"nauseated_2","I'm nauseated.","Nasusuka ako."
"nauseated_3","I feel nauseated.","Naiinis ako."
"nauseated_4","Do you feel nauseated?","Nakaramdam ka ba ng pagkahilo?"
"nauseated_5","I don't want to feel nauseated.","Ayokong makaramdam ng pagduduwal."
"agitated","Agitated","Nakakainis"
"agitated_2","I'm agitated.","Naiinis ako."
"agitated_3","I feel agitated.","Nakaramdam ako ng gulo."
"agitated_4","Do you feel agitated?","Nahihirapan ka ba?"
"agitated_5","I don't want to feel agitated.","Ayokong makaramdam ng gulo."
"food","Food","Pagkain"
"hungry","Hungry","Gutom"
"hungry_2","I'm hungry.","Gutom na ako."
"hungry_3","Are you hungry?","Nagugutom ka ba?"
"hungry_4","Can you make me food?","Maaari mo ba akong gawing pagkain?"
"hungry_5","What is for dinner?","Ano ang para sa hapunan?"
"thirsty","Thirsty","Nauhaw"
"thirsty_2","I'm thirsty.","Uhaw ako."
"thirsty_3","Can I have some water?","Maaari ba akong magkaroon ng tubig?"
"thirsty_4","Can I have a glass of water?","Maaari ba akong magkaroon ng isang basong tubig?"
"thirsty_5","I want something to drink.","Gusto kong uminom."
"cutlery","Cutlery","Cutlery"
"cutlery_2","I need cutlery.","Kailangan ko ng kubyertos."
"cutlery_3","Help me use cutlery.","Tulungan mo akong gumamit ng cutlery."
"cutlery_4","I need a fork.","Kailangan ko ng tinidor."
"cutlery_5","I need a spoon.","Kailangan ko ng kutsara."
"cutlery_6","I need chopsticks.","Kailangan ko ng mga chopstick."
"cutlery_7","I need a knife.","Kailangan ko ng kutsilyo."
"cutlery_8","I need a napkin.","Kailangan ko ng isang napkin."
"apple","Apple","Apple"
"apple_2","I like apple.","Gusto ko ng mansanas."
"apple_3","I don't like apple.","Hindi ko gusto ang mansanas."
"apple_4","I want to eat an apple.","Gusto kong kumain ng mansanas."
"carrot","Carrot","Karot"
"carrot_2","I like carrot.","Gusto ko ng karot."
"carrot_3","I don't like carrot.","Hindi ko gusto ang karot."
"carrot_4","I want to eat a carrot.","Gusto kong kumain ng isang karot."
"beans","Beans","Mga Beans"
"beans_2","I like beans.","Gusto ko ng beans."
"beans_3","I don't like beans.","Ayaw ko ng beans."
"beans_4","I want to eat beans.","Gusto kong kumain ng beans."
"chicken_5","I want fried chicken.","Gusto ko ng fried chicken."
"chicken_6","I want boiled chicken.","Gusto ko ng pinakuluang manok."
"chocolate","Chocolate","Tsokolate"
"chocolate_2","I like chocolate.","Gusto ko ng tsokolate."
"chocolate_3","I don't like chocolate.","Hindi ko gusto ang tsokolate."
"chocolate_4","I want to eat chocolate.","Gusto kong kumain ng tsokolate."
"chocolate_5","I want dark chocolate.","Gusto ko ng madilim na tsokolate."
"chocolate_6","I want white chocolate.","Gusto ko ng puting tsokolate."
"milk","Milk","Gatas"
"milk_2","I like milk.","Gusto ko ng gatas."
"milk_3","I don't like milk.","Hindi ko gusto ang gatas."
"milk_4","I want to drink milk.","Gusto kong uminom ng gatas."
"milk_5","Can I have a glass of milk?","Maaari ba akong magkaroon ng isang baso ng gatas?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Gusto ko ng sandwich."
"sandwich_3","I don't like sandwich.","Ayaw ko ng sandwich."
"sandwich_4","I want to eat a sandwich.","Gusto kong kumain ng sandwich."
"sandwich_5","Can you make me a sandwich?","Maaari mo ba akong gawing sandwich?"
"steak","Steak","Steak"
"steak_2","I like steak.","Gusto ko ng steak."
"steak_3","I don't like steak.","Hindi ko gusto ang steak."
"steak_4","I want to eat steak.","Gusto kong kumain ng steak."
"steak_5","Can you cook steak for me?","Maaari kang magluto ng steak para sa akin?"
"banana","Banana","Saging"
"banana_2","I like banana.","Gusto ko ng saging."
"banana_3","I don't like banana.","Hindi ko gusto ang saging."
"banana_4","I want to eat a banana.","Gusto kong kumain ng saging."
"pie","Pie","Pie"
"pie_2","I like pie.","Gusto ko ng pie."
"pie_3","I don't like pie.","Hindi ko gusto ang pie."
"pie_4","I want to eat pie.","Gusto kong kumain ng pie."
"pie_5","Can you bake a pie for me?","Maaari ka bang maghurno ng pie para sa akin?"
"egg","Egg","Itlog"
"egg_2","I like egg.","Gusto ko ng itlog."
"egg_3","I don't like egg.","Ayaw ko ng itlog."
"egg_4","I want to eat egg.","Gusto kong kumain ng itlog."
"egg_5","I want fried eggs.","Gusto ko ng mga piniritong itlog."
"egg_6","I want boiled eggs.","Gusto ko ng mga pinakuluang itlog."
"noodles","Noodles","Mga bihon"
"noodles_2","I like noodles.","Gusto ko ng pansit."
"noodles_3","I don't like noodles.","Hindi ko gusto ang mga pansit."
"noodles_4","I want to eat noodles.","Gusto kong kumain ng pansit."
"noodles_5","Can you cook noodles for me?","Maaari kang magluto ng pansit para sa akin?"
"salt","Salt","Asin"
"salt_2","I want salt.","Gusto ko ng asin."
"salt_3","Can you pass me the salt?","Maaari mo bang ipasa sa akin ang asin?"
"salt_4","Food is too salty.","Maalat ang pagkain."
"salt_5","My food needs some salt.","Ang aking pagkain ay nangangailangan ng kaunting asin."
"spices","Spices","Mga pampalasa"
"spices_2","I like spicy food.","Gusto ko ng maanghang na pagkain."
"spices_3","I don't like spicy food.","Hindi ko gusto ang maanghang na pagkain."
"spices_4","I want paprika.","Gusto ko ng paprika."
"spices_5","I want black pepper.","Gusto ko ng black pepper."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Gusto ko ng pizza."
"pizza_3","I don't like pizza.","Ayaw ko ng pizza."
"pizza_4","I want to eat pizza.","Gusto kong kumain ng pizza."
"pizza_5","Can you cook pizza for me?","Maaari kang magluto ng pizza para sa akin?"
"pizza_6","Can we order pizza?","Maaari ba tayong mag-order ng pizza?"
"cheese","Cheese","Keso"
"cheese_2","I like cheese.","Gusto ko ang keso."
"cheese_3","I don't like cheese.","Hindi ko gusto ang keso."
"cheese_4","I want to eat cheese.","Gusto kong kumain ng keso."
"ice-cream","Ice cream","Sorbetes"
"ice-cream_2","I like ice cream.","Gusto ko ng ice cream."
"ice-cream_3","I don't like ice cream.","Hindi ko gusto ang sorbetes."
"ice-cream_4","I want to eat ice cream.","Gusto kong kumain ng sorbetes."
"ice-cream_5","Can you buy ice cream for me?","Maaari kang bumili ng sorbetes para sa akin?"
"tea","Tea","Tsaa"
"tea_2","I like tea.","Gusto ko nang tsaa."
"tea_3","I don't like tea.","Ayaw ko ng tsaa."
"tea_4","I want to drink tea.","Gusto kong uminom ng tsaa."
"tea_5","Can you make tea for me?","Maaari kang gumawa ng tsaa para sa akin?"
"coffee","Coffee","Kape"
"coffee_2","I like coffee.","Gusto ko ng kape."
"coffee_3","I don't like coffee.","Ayaw ko ng kape."
"coffee_4","I want to drink coffee.","Gusto kong uminom ng kape."
"coffee_5","Can you make coffee for me?","Maaari kang gumawa ng kape para sa akin?"
"tomato","Tomato","Tomato"
"tomato_2","I like tomato.","Gusto ko ng kamatis."
"tomato_3","I don't like tomato.","Hindi ko gusto ang kamatis."
"tomato_4","I want to eat tomato.","Gusto kong kumain ng kamatis."
"cereal","Cereal","Sereal"
"cereal_2","I like cereal.","Gusto ko ng cereal."
"cereal_3","I don't like cereal.","Hindi ko gusto ang cereal."
"cereal_4","I want to eat cereal.","Gusto kong kumain ng cereal."
"cereal_5","Can you make my cereal?","Maaari mong gawin ang aking cereal?"
"burger","Burger","Burger"
"burger_2","I like burger.","Gusto ko ng burger."
"burger_3","I don't like burger.","Ayaw ko ng burger."
"burger_4","I want to eat burger.","Gusto kong kumain ng burger."
"burger_5","Can you cook burger for me?","Maaari kang magluto ng burger para sa akin?"
"burger_6","Can we order burger?","Maaari ba tayong mag-order ng burger?"
"french-fries","French fries","French fries"
"french-fries_2","I like french fries.","Gusto ko ng french fries."
"french-fries_3","I don't like french fries.","Hindi ko gusto ang mga french fries."
"french-fries_4","I want to eat french fries.","Gusto kong kumain ng pranses na fries."
"french-fries_5","Can you cook french fries for me?","Maaari kang magluto ng french fries para sa akin?"
"french-fries_6","Can we order french fries?","Maaari ba tayong mag-order ng french fries?"
"spinach","Spinach","Spinach"
"spinach_2","I like spinach.","Gusto ko ng spinach."
"spinach_3","I don't like spinach.","Hindi ko gusto ang spinach."
"spinach_4","I want to eat spinach.","Gusto kong kumain ng spinach."
"rice","Rice","Rice"
"rice_2","I like rice.","Mahilig ako sa kanin."
"rice_3","I don't like rice.","Hindi ko gusto ang bigas."
"rice_4","I want to eat rice.","Gusto kong kumain ng kanin."
"rice_5","Can you cook rice for me?","Maaari kang magluto ng bigas para sa akin?"
"bread","Bread","Tinapay"
"bread_2","I like bread.","Gusto ko ng tinapay."
"bread_3","I don't like bread.","Hindi ko gusto ang tinapay."
"bread_4","I want to eat bread.","Gusto kong kumain ng tinapay."
"bread_5","Can you buy some bread?","Maaari kang bumili ng ilang tinapay?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Gusto ko ng pasta."
"pasta_3","I don't like pasta.","Hindi ko gusto ang pasta."
"pasta_4","I want to eat pasta.","Gusto kong kumain ng pasta."
"pasta_5","Can you cook pasta for me?","Maaari kang magluto ng pasta para sa akin?"
"sauce","Sauce","Sarsa"
"sauce_2","I like sauce.","Gusto ko ng sarsa."
"sauce_3","I don't like sauce.","Hindi ko gusto ang sarsa."
"sauce_4","I want some sauce.","Gusto ko ng sarsa."
"sauce_5","Can I have ketchup?","Maaari ba akong magkaroon ng ketchup?"
"sauce_6","Can I have mayonnaise?","Maaari ba akong magkaroon ng mayonesa?"
"sauce_7","Can I have mustard?","Maaari ba akong magkaroon ng mustasa?"
"sauce_8","Can I have ranch sauce?","Maaari ba akong magkaroon ng sarsa?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Gusto ko ng kebab."
"kebab_3","I don't like kebab.","Hindi ko gusto ang kebab."
"kebab_4","I want to eat kebab.","Gusto kong kumain ng kebab."
"kebab_5","Can you cook kebab for me?","Maaari kang magluto ng kebab para sa akin?"
"kebab_6","Can we order kebab?","Maaari ba tayong mag-order ng kebab?"
"numbers","Numbers","Numero"
"one","One","Isa"
"one_2","One comes before two.","May darating bago dalawa."
"one_3","One comes after zero.","Ang isa ay darating pagkatapos ng zero."
"one_4","I want one.","Gusto ko ng isa."
"two","Two","Dalawa"
"two_2","Two comes before three.","Dalawa ang dumating bago tatlo."
"two_3","Two comes after one.","Dalawa ang dumating pagkatapos ng isa."
"two_4","I want two.","Gusto ko dalawa."
"three","Three","Tatlo"
"three_2","Three comes before four.","Ang tatlo ay bago ang apat."
"three_3","Three comes after two.","Dumating ang tatlo pagkatapos ng dalawa."
"three_4","I want three.","Gusto ko tatlo."
"four","Four","Apat"
"four_2","Four comes before five.","Apat ang dumating bago ang lima."
"four_3","Four comes after three.","Apat ang dumating pagkatapos ng tatlo."
"four_4","I want four.","Gusto ko ng apat."
"five","Five","Limang"
"five_2","Five comes before six.","Limang dumating bago anim."
"five_3","Five comes after four.","Limang dumating pagkatapos ng apat."
"five_4","I want five.","Gusto ko ng lima."
"six","Six","Anim"
"six_2","Six comes before seven.","Anim ay bago ang pitong."
"six_3","Six comes after five.","Anim ang dumating pagkatapos ng lima."
"six_4","I want fix.","Gusto kong ayusin."
"seven","Seven","Pito"
"seven_2","Seven comes before eight.","Dumating ang pitong bago ang walong."
"seven_3","Seven comes after six.","Pitong darating pagkatapos ng anim."
"seven_4","I want seven.","Gusto ko ng pito."
