"activities","Activities","Atividades"
"lime_2","It is lime.","É limão."
"lime_3","My favorite color is lime.","Minha cor favorita é limão."
"lime_4","Can you give me lime paint?","Você pode me dar tinta de limão?"
"plum","Plum","ameixa"
"plum_2","It is plum.","É ameixa."
"plum_3","My favorite color is plum.","Minha cor favorita é ameixa."
"plum_4","Can you give me plum paint?","Você pode me dar tinta de ameixa?"
"tan","Tan","bronzeado"
"tan_2","It is tan color.","É cor marrom."
"tan_3","My favorite color is tan color.","Minha cor favorita é a cor marrom."
"tan_4","Can you give me tan color paint?","Você pode me dar tinta de cor marrom?"
"avocado","Avocado","Abacate"
"avocado_2","It is avocado color.","É cor de abacate."
"avocado_3","My favorite color is avocado color.","Minha cor favorita é a cor abacate."
"avocado_4","Can you give me avocado color paint?","Você pode me dar tinta de abacate?"
"barbie-pink","Barbie pink","Barbie rosa"
"barbie-pink_2","It is barbie pink color.","É a cor rosa barbie."
"barbie-pink_3","My favorite color is barbie pink.","Minha cor favorita é rosa barbie."
"barbie-pink_4","Can you give me barbie pink paint?","Você pode me dar tinta rosa barbie?"
"blizzard-blue","Blizzard blue","Blizzard blue"
"blizzard-blue_2","It is blizzard blue color.","É uma cor azul nevasca."
"blizzard-blue_3","My favorite color is blizzard blue color.","Minha cor favorita é a cor azul nevasca."
"blizzard-blue_4","Can you give me blizzard blue paint?","Você pode me dar tinta azul nevasca?"
"conversation","Conversation","Conversação"
"me","Me","Eu"
"me_2","My name is {name}","Meu nome é {nome}"
"me_3","I'm {name}","Eu sou {nome}"
"me_4","Do you know my name?","você sabe meu nome?"
"me_5","What is your name?","Qual é o seu nome?"
"me_6","Nice to meet you!","Prazer em conhecê-lo!"
"me_7","Do you like me?","Você gosta de mim?"
"me_8","Can we be friends?","Podemos ser amigos?"
"me_9","I'm using assistive communication app.","Estou usando o aplicativo de comunicação assistida."
"me_10","Who are you?","Quem é Você?"
"hello","Hello","Olá"
"hello_2","Hello.","Olá."
"hello_3","Hi.","Oi."
"hello_4","Greetings.","Saudações."
"hello_5","How are you?","Como você está?"
"hello_6","Nice to meet you!","Prazer em conhecê-lo!"
"help","Help","Socorro"
"help_2","Help me.","Ajude-me."
"help_3","Can you help me?","Pode me ajudar?"
"help_4","I need help","eu preciso de ajuda"
"help_5","Do you need help?","Você precisa de ajuda?"
"yes","Yes","sim"
"yes_2","Yes.","Sim."
"yes_3","Yes please.","Sim por favor."
"yes_4","Alright.","Bem."
"yes_5","Agreed.","Acordado."
"yes_6","I want to.","Eu quero."
"yes_7","I would like to.","Eu gostaria de."
"no","No","Não"
"no_2","No.","Não."
"no_3","Nope.","Não."
"no_4","Never.","Nunca."
"no_5","I don't want to.","Eu não quero"
"no_6","I don't like it.","Eu não gosto disso"
"no_7","You don't like it?","Você não gosta disso?"
"no_8","Why you don't like it?","Por que você não gosta?"
"toilet","Toilet","Banheiro"
"toilet_2","I need to go to the toilet.","Eu preciso ir ao banheiro."
"toilet_3","I need to pee.","Preciso de urinar."
"toilet_4","I need to poop.","Eu preciso cocô."
"toilet_5","Can you help me go to the toilet?","Você pode me ajudar a ir ao banheiro?"
"toilet_6","Can you help me clean?","Você pode me ajudar a limpar?"
"toilet_7","I peed myself.","Eu me mijei."
"toilet_8","I pooped myself.","Eu me fiz cocô."
"what","What","o que"
"what_2","What is that?","O que é isso?"
"what_3","What does it mean?","O que isso significa?"
"what_4","What do you mean?","O que você quer dizer?"
"what_5","Can you explain it?","Você pode explicar isso?"
"what_6","Can you repeat what you said?","Você pode repetir o que disse?"
"what_7","I don't understand.","Eu não entendo"
"sleep","Sleep","Dormir"
"sleep_2","I want to sleep.","Quero dormir."
"sleep_3","I don't want to sleep.","Eu não quero dormir"
"sleep_4","I'm tired.","Estou cansado."
"sleep_5","Are you tired?","Você está cansado?"
"sleep_6","When am I going to sleep?","Quando vou dormir?"
"sleep_7","I want to take a nap.","Eu quero tirar uma soneca."
"bath","Bath","Banho"
"bath_2","I want to take a bath.","Eu quero tomar um banho."
"bath_3","I like taking a bath.","Eu gosto de tomar banho."
"bath_4","I want to wash my hands.","Eu quero lavar minhas mãos."
"bath_5","I want to take a shower.","Eu quero tomar um banho."
"bath_6","I want to clean myself.","Eu quero me limpar."
"bath_7","Can you help me take a bath?","Você pode me ajudar a tomar um banho?"
"bath_8","I don't want to take a bath.","Eu não quero tomar banho."
"listen","Listen","Ouço"
"listen_2","Listen to me.","Me escute."
"listen_3","Can you listen to me?","Você consegue me ouvir?"
"listen_4","Listen to music.","Escutar musica."
"listen_5","Listening to my parents.","Ouvindo meus pais."
"listen_6","Listen to what my application is saying!","Ouça o que minha inscrição está dizendo!"
"morning","Morning","Manhã"
"morning_2","Good morning.","Bom Dia."
"morning_3","I like mornings.","Eu gosto de manhãs."
"morning_4","In the morning.","De manhã."
"morning_5","Morning time.","Hora da manhã."
"morning_6","Is it morning?","É de manhã?"
"night","Night","Noite"
"night_2","Good night!","Boa noite!"
"night_3","I like nights.","Eu gosto de noites"
"night_4","At night.","À noite."
"night_5","Night time.","Período noturno."
"night_6","Is it night?","É noite?"
"look","Look","Veja"
"look_2","Look at me.","Olhe para mim."
"look_3","Look at this.","Veja isso."
"look_4","Are you looking?","Você está procurando?"
"look_5","Look at my drawing.","Olhe para o meu desenho."
"look_6","How do I look?","Como estou?"
"look_7","Look what I did.","Olha o que eu fiz."
"look_8","Let's look at that.","Vamos olhar para isso."
"speak","Speak","Falar"
"speak_2","I'm learning how to speak.","Estou aprendendo a falar."
"speak_3","I want to speak.","Eu quero falar."
"speak_4","Can I speak with you?","Posso falar com você?"
"speak_5","I like speaking.","Eu gosto de falar"
"speak_6","I'm using assistive communication app.","Estou usando o aplicativo de comunicação assistida."
"play","Play","Toque"
"play_2","I love playing.","Eu amo jogar."
"play_3","Can you play with me?","Você pode jogar comigo?"
"play_4","I want to play with you!","Quero jogar com você!"
"play_5","I want to play with my friends.","Eu quero brincar com meus amigos."
"play_6","I don't want to play with you.","Eu não quero brincar com você."
"outside","Outside","Lado de fora"
"outside_2","I love going outside.","Eu amo ir lá fora."
"outside_3","I want to go outside.","Eu quero ir lá fora"
"outside_4","Is it cold outside?","Esta Frio la fora?"
"outside_5","I don't like outside.","Eu não gosto de fora."
"outside_6","Can I go outside?","Posso ir lá fora?"
"home","Home","Casa"
"home_2","I love my home.","Eu amo meu lar."
"home_3","I want to go home.","Eu quero ir para casa."
"home_4","Where is your home?","Onde fica sua casa?"
"home_5","Home sweet home.","Lar Doce Lar."
"home_6","I'm in the house.","Estou na casa."
"home_7","I'm not in the house.","Eu não estou em casa."
"hurt","Hurt","Doeu"
"hurt_2","I'm hurt.","Estou ferido."
"hurt_3","Are you hurt?","Você está machucado?"
"hurt_4","Did I hurt you?","Te machuquei?"
"hurt_5","I didn't mean to hurt you!","Eu não quis te machucar!"
"hurt_6","Is it going to hurt?","Vai doer?"
"hurt_7","I have a headache.","Estou com dor de cabeça."
"hurt_8","I have a stomach ache.","Estou com dor de barriga."
"hurt_9","My genitals hurt.","Meus órgãos genitais doem."
"hurt_10","My foot hurts.","Meu pé dói."
"feelings","Feelings","Sentimentos"
"happy","Happy","Feliz"
"happy_2","I'm happy.","Eu estou feliz."
"happy_3","I feel happy.","Eu me sinto feliz."
"happy_4","Do you feel happy?","Você se sente feliz?"
"happy_5","I want to feel happy.","Eu quero me sentir feliz."
"happy_6","You are making me happy.","Você está me fazendo feliz."
"sad","Sad","Triste"
"sad_2","I'm sad.","Estou triste."
"sad_3","I feel sad.","Eu me sinto triste."
"sad_4","Do you feel sad?","Você se sente triste?"
"sad_5","I don't want to feel sad.","Eu não quero me sentir triste."
"sad_6","You are making me sad.","Você está me deixando triste."
"exhausted","Exhausted","Exausta"
"exhausted_2","I'm exhausted.","Estou exausto."
"exhausted_3","I feel exhausted.","Eu me sinto exausto."
"exhausted_4","Do you feel exhausted?","Você se sente exausto?"
"exhausted_5","I don't want to be exhausted.","Eu não quero estar exausta."
"relaxed","Relaxed","Relaxado"
"relaxed_2","I'm relaxed.","Estou relaxado."
"relaxed_3","I feel relaxed.","Me sinto relaxado."
"relaxed_4","Do you feel relaxed?","Você se sente relaxado?"
"relaxed_5","I want to feel relaxed.","Eu quero me sentir relaxado."
"in-love","In love","Apaixonado"
"in-love_2","I'm in love.","Estou apaixonado."
"in-love_3","I feel in love.","Eu me apaixonei."
"in-love_4","Are you in love?","Você está apaixonado?"
"in-love_5","I want to fall in love.","Eu quero me apaixonar."
"in-love_6","Do you love me?","Você me ama?"
"stressed","Stressed","Estressado"
"stressed_2","I'm stressed.","Eu estou estressado."
"stressed_3","I feel stressed.","Me sinto estressado."
"stressed_4","Do you feel stressed?","Você se sente estressado?"
"stressed_5","I don't want to feel stressed.","Não quero me sentir estressado."
"thankful","Thankful","Grato"
"thankful_2","I'm thankful.","Eu sou grato."
"thankful_3","I feel thankful.","Eu me sinto agradecido."
"thankful_4","Do you feel thankful?","Você se sente agradecido?"
"thankful_5","I want to feel thankful.","Eu quero me sentir agradecido."
"confused","Confused","Confuso"
"confused_2","I'm confused.","Estou confuso."
"confused_3","I feel confused.","Eu me sinto confuso."
"confused_4","Do you feel confused?","Você se sente confuso?"
"confused_5","You are confusing me.","Você está me confundindo."
"joyful","Joyful","Alegre"
"joyful_2","I'm joyful.","Eu estou alegre"
"joyful_3","I feel joyful.","Eu me sinto alegre."
"joyful_4","Do you feel joyful?","Você se sente alegre?"
"joyful_5","I want to feel joyful.","Eu quero me sentir alegre."
"angry","Angry","Bravo"
"angry_2","I'm angry.","Estou com fome."
"angry_3","I feel angry.","Eu sinto raiva."
"angry_4","Do you feel angry?","Você sente raiva?"
"angry_5","I'm angry at you.","Estou zangado contigo."
"angry_6","You are making me angry.","Você está me deixando com raiva."
"smart","Smart","Inteligente"
"smart_2","I'm smart.","Eu sou esperto."
"smart_3","I feel smart.","Eu me sinto inteligente."
"smart_4","Do you feel smart?","Você se sente inteligente?"
"smart_5","Am I smart?","Eu sou esperto?"
"smart_6","You are smart!","Você é inteligente!"
"afraid","Afraid","Receoso"
"afraid_2","I'm afraid.","Estou com medo."
"afraid_3","I feel afraid.","Eu sinto medo."
"afraid_4","Do you feel afraid?","Você sente medo?"
"afraid_5","I don't want to feel afraid.","Eu não quero sentir medo."
"afraid_6","You are scaring me.","Estás a assustar-me."
"ashamed","Ashamed","Envergonhado"
"ashamed_2","I'm ashamed.","Estou envergonhado."
"ashamed_3","I feel ashamed.","Eu me sinto envergonhado."
"ashamed_4","Do you feel ashamed?","Você sente vergonha?"
"ashamed_5","I don't want to feel ashamed.","Eu não quero sentir vergonha."
"shocked","Shocked","Chocado"
"shocked_2","I'm shocked.","Estou chocado."
"shocked_3","I feel shocked.","Eu me sinto chocado."
"shocked_4","Do you feel shocked?","Você se sente chocado?"
"shocked_5","You shocked me.","Você me chocou."
"sick","Sick","Doente"
"sick_2","I'm sick.","Eu estou doente."
"sick_3","I feel sick.","Estou enjoado."
"sick_4","Do you feel sick?","Você se sente doente?"
"sick_5","I don't want to be sick.","Eu não quero ficar doente."
"sick_6","I'm sick of the food.","Estou farto da comida."
"frustrated","Frustrated","Frustrado"
"frustrated_2","I'm frustrated.","Estou frustrado."
"frustrated_3","I feel frustrated.","Me sinto frustrado."
"frustrated_4","Do you feel frustrated?","Você se sente frustrado?"
"frustrated_5","I don't want to feel frustrated.","Eu não quero me sentir frustrado."
"excited","Excited","Animado"
"excited_2","I'm excited.","Estou animado."
"excited_3","I feel excited.","Eu me sinto animado."
"excited_4","Do you feel excited?","Você se sente animado?"
"excited_5","I don't want to feel excited.","Eu não quero me sentir animado."
"nauseated","Nauseated","Nauseado"
"nauseated_2","I'm nauseated.","Estou enjoada."
"nauseated_3","I feel nauseated.","Sinto náuseas."
"nauseated_4","Do you feel nauseated?","Você se sente enjoado?"
"nauseated_5","I don't want to feel nauseated.","Não quero me sentir enjoada."
"agitated","Agitated","Agitado"
"agitated_2","I'm agitated.","Estou agitado."
"agitated_3","I feel agitated.","Eu me sinto agitado."
"agitated_4","Do you feel agitated?","Você se sente agitado?"
"agitated_5","I don't want to feel agitated.","Não quero me sentir agitado."
"food","Food","Comida"
"hungry","Hungry","com fome"
"hungry_2","I'm hungry.","Eu estou com fome."
"hungry_3","Are you hungry?","Está com fome?"
"hungry_4","Can you make me food?","Você pode me fazer comida?"
"hungry_5","What is for dinner?","O que tem para o jantar?"
"thirsty","Thirsty","Com sede"
"thirsty_2","I'm thirsty.","Estou com sede."
"thirsty_3","Can I have some water?","Posso beber um pouco de água?"
"thirsty_4","Can I have a glass of water?","Posso tomar um copo de água?"
"thirsty_5","I want something to drink.","Eu quero algo para beber."
"cutlery","Cutlery","Talheres"
"cutlery_2","I need cutlery.","Eu preciso de talheres."
"cutlery_3","Help me use cutlery.","Ajude-me a usar talheres."
"cutlery_4","I need a fork.","Eu preciso de um garfo."
"cutlery_5","I need a spoon.","Eu preciso de uma colher"
"cutlery_6","I need chopsticks.","Eu preciso de pauzinhos."
"cutlery_7","I need a knife.","Eu preciso de uma faca"
"cutlery_8","I need a napkin.","Eu preciso de um guardanapo."
"apple","Apple","maçã"
"apple_2","I like apple.","Eu gosto de maçã."
"apple_3","I don't like apple.","Eu não gosto de maça"
"apple_4","I want to eat an apple.","Eu quero comer uma maça"
"carrot","Carrot","Cenoura"
"carrot_2","I like carrot.","Eu gosto de cenoura."
"carrot_3","I don't like carrot.","Eu não gosto de cenoura."
"carrot_4","I want to eat a carrot.","Eu quero comer uma cenoura."
"beans","Beans","Feijões"
"beans_2","I like beans.","Eu gosto de feijão"
"beans_3","I don't like beans.","Eu não gosto de feijão"
"beans_4","I want to eat beans.","Eu quero comer feijão"
"chicken_5","I want fried chicken.","Eu quero frango frito."
"chicken_6","I want boiled chicken.","Eu quero frango cozido."
"chocolate","Chocolate","Chocolate"
"chocolate_2","I like chocolate.","Eu gosto de chocolate."
"chocolate_3","I don't like chocolate.","Eu não gosto de chocolate"
"chocolate_4","I want to eat chocolate.","Eu quero comer chocolate"
"chocolate_5","I want dark chocolate.","Eu quero chocolate preto."
"chocolate_6","I want white chocolate.","Eu quero chocolate branco."
"milk","Milk","Leite"
"milk_2","I like milk.","Eu gosto de leite."
"milk_3","I don't like milk.","Eu não gosto de leite"
"milk_4","I want to drink milk.","Eu quero beber leite"
"milk_5","Can I have a glass of milk?","Posso tomar um copo de leite?"
"sandwich","Sandwich","Sanduíche"
"sandwich_2","I like sandwich.","Eu gosto de sanduíche."
"sandwich_3","I don't like sandwich.","Eu não gosto de sanduíche."
"sandwich_4","I want to eat a sandwich.","Eu quero comer um sanduíche."
"sandwich_5","Can you make me a sandwich?","Você pode me fazer um sanduíche?"
"steak","Steak","Bife"
"steak_2","I like steak.","Eu gosto de bife."
"steak_3","I don't like steak.","Eu não gosto de bife."
"steak_4","I want to eat steak.","Eu quero comer bife."
"steak_5","Can you cook steak for me?","Você pode cozinhar bife para mim?"
"banana","Banana","Banana"
"banana_2","I like banana.","Eu gosto de banana."
"banana_3","I don't like banana.","Eu não gosto de banana"
"banana_4","I want to eat a banana.","Eu quero comer uma banana"
"pie","Pie","Torta"
"pie_2","I like pie.","Eu gosto de torta."
"pie_3","I don't like pie.","Eu não gosto de torta."
"pie_4","I want to eat pie.","Eu quero comer torta."
"pie_5","Can you bake a pie for me?","Você pode fazer uma torta para mim?"
"egg","Egg","Ovo"
"egg_2","I like egg.","Eu gosto de ovo"
"egg_3","I don't like egg.","Eu não gosto de ovo"
"egg_4","I want to eat egg.","Eu quero comer ovo"
"egg_5","I want fried eggs.","Eu quero ovos fritos."
"egg_6","I want boiled eggs.","Eu quero ovos cozidos."
"noodles","Noodles","Macarrão"
"noodles_2","I like noodles.","Eu gosto de macarrão."
"noodles_3","I don't like noodles.","Eu não gosto de macarrão."
"noodles_4","I want to eat noodles.","Eu quero comer macarrão."
"noodles_5","Can you cook noodles for me?","Você pode cozinhar macarrão para mim?"
"salt","Salt","Sal"
"salt_2","I want salt.","Eu quero sal"
"salt_3","Can you pass me the salt?","Você pode me passar o sal?"
"salt_4","Food is too salty.","A comida é muito salgada."
"salt_5","My food needs some salt.","Minha comida precisa de um pouco de sal."
"spices","Spices","Especiarias"
"spices_2","I like spicy food.","Eu gosto de comida apimentada."
"spices_3","I don't like spicy food.","Eu não gosto de comida apimentada."
"spices_4","I want paprika.","Eu quero páprica."
"spices_5","I want black pepper.","Eu quero pimenta preta."
"pizza","Pizza","pizza"
"pizza_2","I like pizza.","Eu gosto de pizza."
"pizza_3","I don't like pizza.","Eu não gosto de pizza"
"pizza_4","I want to eat pizza.","Eu quero comer pizza."
"pizza_5","Can you cook pizza for me?","Você pode cozinhar pizza para mim?"
"pizza_6","Can we order pizza?","Podemos pedir pizza?"
"cheese","Cheese","Queijo"
"cheese_2","I like cheese.","Eu gosto de queijo."
"cheese_3","I don't like cheese.","Eu não gosto de queijo"
"cheese_4","I want to eat cheese.","Eu quero comer queijo"
"ice-cream","Ice cream","Sorvete"
"ice-cream_2","I like ice cream.","Eu gosto de sorvete."
"ice-cream_3","I don't like ice cream.","Eu não gosto de sorvete."
"ice-cream_4","I want to eat ice cream.","Eu quero comer sorvete."
"ice-cream_5","Can you buy ice cream for me?","Você pode comprar sorvete para mim?"
"tea","Tea","Chá"
"tea_2","I like tea.","Eu gosto de chá."
"tea_3","I don't like tea.","Eu não gosto de chá"
"tea_4","I want to drink tea.","Eu quero beber chá"
"tea_5","Can you make tea for me?","Você pode fazer chá para mim?"
"coffee","Coffee","Café"
"coffee_2","I like coffee.","Eu gosto de café."
"coffee_3","I don't like coffee.","Eu não gosto de café"
"coffee_4","I want to drink coffee.","Eu quero beber café."
"coffee_5","Can you make coffee for me?","Você pode fazer café para mim?"
"tomato","Tomato","Tomate"
"tomato_2","I like tomato.","Eu gosto de tomate"
"tomato_3","I don't like tomato.","Eu não gosto de tomate"
"tomato_4","I want to eat tomato.","Eu quero comer tomate"
"cereal","Cereal","Cereal"
"cereal_2","I like cereal.","Eu gosto de cereais"
"cereal_3","I don't like cereal.","Eu não gosto de cereais"
"cereal_4","I want to eat cereal.","Eu quero comer cereal"
"cereal_5","Can you make my cereal?","Você pode fazer meu cereal?"
"burger","Burger","Hamburguer"
"burger_2","I like burger.","Eu gosto de hambúrguer."
"burger_3","I don't like burger.","Eu não gosto de hambúrguer."
"burger_4","I want to eat burger.","Eu quero comer hambúrguer."
"burger_5","Can you cook burger for me?","Você pode cozinhar hambúrguer para mim?"
"burger_6","Can we order burger?","Podemos pedir hambúrguer?"
"french-fries","French fries","batatas fritas"
"french-fries_2","I like french fries.","Eu gosto de batatas fritas."
"french-fries_3","I don't like french fries.","Eu não gosto de batatas fritas."
"french-fries_4","I want to eat french fries.","Eu quero comer batatas fritas."
"french-fries_5","Can you cook french fries for me?","Você pode cozinhar batatas fritas para mim?"
"french-fries_6","Can we order french fries?","Podemos pedir batatas fritas?"
"spinach","Spinach","Espinafre"
"spinach_2","I like spinach.","Eu gosto de espinafre."
"spinach_3","I don't like spinach.","Eu não gosto de espinafre."
"spinach_4","I want to eat spinach.","Eu quero comer espinafre."
"rice","Rice","Arroz"
"rice_2","I like rice.","Eu gosto de arroz."
"rice_3","I don't like rice.","Eu não gosto de arroz"
"rice_4","I want to eat rice.","Eu quero comer arroz."
"rice_5","Can you cook rice for me?","Você pode cozinhar arroz para mim?"
"bread","Bread","Pão"
"bread_2","I like bread.","Eu gosto de pão."
"bread_3","I don't like bread.","Eu não gosto de pão"
"bread_4","I want to eat bread.","Eu quero comer pão"
"bread_5","Can you buy some bread?","Você pode comprar pão?"
"pasta","Pasta","Massa"
"pasta_2","I like pasta.","Eu gosto de massas."
"pasta_3","I don't like pasta.","Eu não gosto de macarrão"
"pasta_4","I want to eat pasta.","Eu quero comer macarrão"
"pasta_5","Can you cook pasta for me?","Você pode cozinhar macarrão para mim?"
"sauce","Sauce","Molho"
"sauce_2","I like sauce.","Eu gosto de molho"
"sauce_3","I don't like sauce.","Eu não gosto de molho."
"sauce_4","I want some sauce.","Eu quero um pouco de molho."
"sauce_5","Can I have ketchup?","Posso tomar ketchup?"
"sauce_6","Can I have mayonnaise?","Posso comer maionese?"
"sauce_7","Can I have mustard?","Posso ter mostarda?"
"sauce_8","Can I have ranch sauce?","Posso tomar molho no rancho?"
"kebab","Kebab","Churrasquinho"
"kebab_2","I like kebab.","Eu gosto de kebab."
"kebab_3","I don't like kebab.","Eu não gosto de kebab."
"kebab_4","I want to eat kebab.","Eu quero comer kebab."
"kebab_5","Can you cook kebab for me?","Você pode cozinhar kebab para mim?"
"kebab_6","Can we order kebab?","Podemos pedir kebab?"
"numbers","Numbers","Números"
"one","One","1"
"one_2","One comes before two.","Um vem antes dos dois."
"one_3","One comes after zero.","Um vem depois de zero."
"one_4","I want one.","Eu quero um."
"two","Two","Dois"
"two_2","Two comes before three.","Dois vem antes das três."
"two_3","Two comes after one.","Dois vem depois de um."
"two_4","I want two.","Eu quero dois"
"three","Three","Três"
"three_2","Three comes before four.","Três vem antes das quatro."
"three_3","Three comes after two.","Três vem depois das duas."
"three_4","I want three.","Eu quero tres."
"four","Four","Quatro"
"four_2","Four comes before five.","Quatro vem antes das cinco."
"four_3","Four comes after three.","Quatro vem depois das três."
"four_4","I want four.","Eu quero quatro."
"five","Five","Cinco"
"five_2","Five comes before six.","Cinco vem antes das seis."
"five_3","Five comes after four.","Cinco vem depois das quatro."
"five_4","I want five.","Eu quero cinco."
"six","Six","Seis"
"six_2","Six comes before seven.","Seis vem antes das sete."
"six_3","Six comes after five.","Seis vem depois das cinco."
"six_4","I want fix.","Eu quero consertar."
"seven","Seven","Sete"
"seven_2","Seven comes before eight.","Sete vem antes das oito."
"seven_3","Seven comes after six.","Sete vem depois das seis."
"seven_4","I want seven.","Eu quero sete."
"eight","Eight","Oito"
"eight_2","Eight comes before nine.","Oito vem antes das nove."
"eight_3","Eight comes after seven.","Oito vem depois das sete."
"eight_4","I want eight.","Eu quero oito."
"nine","Nine","Nove"
"nine_2","Nine comes before ten.","Nove vem antes das dez."
"nine_3","Nine comes after eight.","Nove vem depois das oito."
"nine_4","I want nine.","Eu quero nove."
"ten","Ten","Dez"
"ten_2","Ten comes before eleven.","Dez vem antes das onze."
"ten_3","Ten comes after nine.","Dez vem depois das nove."
"ten_4","I want ten.","Eu quero dez."
"eleven","Eleven","Onze"
"eleven_2","Eleven comes before thirteen.","Onze vem antes das treze."
"eleven_3","Eleven comes after ten.","Onze depois das dez."
"eleven_4","I want eleven.","Eu quero onze."
"twenty","Twenty","Vinte"
"twenty_2","I can count up to twenty.","Eu posso contar até vinte."
"thirty","Thirty","Trinta"
"thirty_2","I can count up to thirty.","Eu posso contar até trinta."
"forty","Forty","Quarenta"
"forty_2","I can count up to forty.","Eu posso contar até quarenta."
"fifty","Fifty","Cinquenta"
"fifty_2","I can count up to fifty.","Eu posso contar até cinquenta."
"hundred","Hundred","Cem"
"hundred_2","I can count up to hundred.","Eu posso contar até cem."
"thousand","Thousand","Mil"
"thousand_2","I can count up to thousand.","Eu posso contar até mil."
"calculator","Calculator","Calculadora"
"calculator_2","I want to use a calculator.","Eu quero usar uma calculadora."
"calculator_3","Can you teach me how to use a calculator?","Você pode me ensinar como usar uma calculadora?"
"calculator_4","Can I barrow your calculator?","Posso carregar sua calculadora?"
"people","People","Pessoas"
"mother","Mother","Mãe"
"mother_2","Mommy!","Mamãe!"
"mother_3","I love my mother.","Eu amo minha mãe."
"mother_4","I love you mom.","Eu te amo, mãe."
"mother_5","I miss my mom.","Sinto falta da minha mãe."
"mother_6","Thank you for taking care of me.","Obrigado por cuidar de mim."
"mother_7","She is my mom.","Ela é minha mãe."
"mother_8","Can you help me find my mother?","Você pode me ajudar a encontrar minha mãe?"
"father","Father","Pai"
"father_2","Daddy!","Papai!"
"father_3","I love my father.","Eu amo meu pai."
"father_4","I love you dad.","Eu amo você pai."
"father_5","I miss my dad.","Sinto falta do meu pai."
"father_6","Thank you for taking care of me.","Obrigado por cuidar de mim."
"father_7","He is my dad.","Ele é meu pai."
"father_8","Can you help me find my father?","Você pode me ajudar a encontrar meu pai?"
"parents","Parents","Pais"
"parents_2","I love my parents.","Eu amo meus pais."
"parents_3","I love my parents.","Eu amo meus pais."
"parents_4","I miss my parents.","Sinto saudade dos meus pais."
"parents_5","They are my parents.","Eles são meus pais."
"parents_6","My parents are taking care of me.","Meus pais estão cuidando de mim."
"parents_8","Can you help me find my parents?","Você pode me ajudar a encontrar meus pais?"
"grandparents","Grandparents","Avós"
"grandparents_2","I love my grandparents.","Eu amo meus avós."
"grandparents_3","I love you grandparents.","Eu te amo avós."
"grandparents_4","I miss my grandparents.","Sinto falta dos meus avós."
"grandparents_5","They are my grandparents.","Eles são meus avós."
"grandparents_6","My grandparents are taking care of me.","Meus avós estão cuidando de mim."
"grandparents_8","Can you help me find my grandparents?","Você pode me ajudar a encontrar meus avós?"
"brother","Brother","Irmão"
"brother_2","I love my brother.","Eu amo meu irmão."
"brother_3","I love you brother.","Eu te amo, irmão."
"brother_4","I miss my brother.","Sinto falta do meu irmão."
"brother_5","He is my brother.","Ele é meu irmão."
"brother_6","My brother is taking care of me.","Meu irmão está cuidando de mim."
"brother_8","Can you help me find my brother?","Você pode me ajudar a encontrar meu irmão?"
"sister","Sister","Irmã"
"sister_2","I love my sister.","Eu amo minha irmã."
"sister_3","I love you sister.","Eu te amo, irmã."
"sister_4","I miss my sister.","Sinto saudades da minha irmã."
"sister_5","She is my sister.","Ela é minha irmã."
"sister_6","My sister is taking care of me.","Minha irmã está cuidando de mim."
"sister_8","Can you help me find my sister?","Você pode me ajudar a encontrar minha irmã?"
"uncle","Uncle","Tio"
"uncle_2","I love my uncle.","Eu amo meu tio."
"uncle_3","I love you uncle.","Eu te amo tio."
"uncle_4","I miss my uncle.","Sinto falta do meu tio."
"uncle_5","He is my uncle.","Ele é meu tio."
"uncle_8","Can you help me find my uncle?","Você pode me ajudar a encontrar meu tio?"
"aunt","Aunt","Tia"
"aunt_2","I love my aunt.","Eu amo minha tia."
"aunt_3","I love you aunt.","Eu te amo tia."
"aunt_4","I miss my aunt.","Sinto falta da minha tia."
"aunt_5","She is my aunt.","Ela é minha tia."
"aunt_8","Can you help me find my aunt?","Você pode me ajudar a encontrar minha tia?"
"teacher","Teacher","Professor"
"teacher_2","I love my teacher.","Eu amo meu professor."
"teacher_3","I love you teacher.","Eu te amo, professor."
"teacher_4","I don't like my teacher.","Eu não gosto da minha professora."
"teacher_5","I miss my teacher.","Sinto falta da minha professora."
"teacher_6","Thank you for the lesson.","Obrigado pela lição."
"therapist","Therapist","Terapeuta"
"therapist_2","I love my therapist.","Eu amo meu terapeuta."
"therapist_3","I love you therapist.","Eu te amo terapeuta."
"therapist_4","I don't like my therapist.","Eu não gosto do meu terapeuta."
"therapist_5","I miss my therapist.","Sinto falta do meu terapeuta."
"therapist_6","Thank you for the session.","Obrigado pela sessão."
"doctor","Doctor","Médico"
"doctor_2","I love my doctor.","Eu amo meu médico."
"doctor_3","I love you doctor.","Eu te amo doutor"
"doctor_4","I don't like my doctor.","Eu não gosto do meu médico."
"doctor_5","I miss my doctor.","Sinto falta do meu médico."
"doctor_6","Thank you for healing me.","Obrigado por me curar."
"friends","Friends","Amigos"
"friends_2","I love my friends.","Eu amo meus amigos."
"friends_3","Do you want to be my friend?","Você quer ser meu amigo?"
"friends_4","I don't like my friends.","Eu não gosto dos meus amigos."
"friends_5","I miss my friends.","Eu sinto falta dos meus amigos."
"friends_6","They are my friends.","Eles são meus amigos."
"friends_7","Thank you for playing with me.","Obrigado por brincar comigo."
"cousins","Cousins","Primos"
"cousins_2","I love my cousins.","Eu amo meus primos."
"cousins_3","I don't have cousins.","Eu não tenho primos."
