"activities","Activities","attività"
"violet_3","My favorite color is violet.","Il mio colore preferito è il viola."
"violet_4","Can you give me violet paint?","Puoi darmi la vernice viola?"
"turquoise","Turquoise","Turchese"
"turquoise_2","It is turquoise.","È turchese"
"turquoise_3","My favorite color is turquoise.","Il mio colore preferito è il turchese."
"turquoise_4","Can you give me turquoise paint?","Puoi darmi una vernice turchese?"
"lime","Lime","Lime"
"lime_2","It is lime.","È lime."
"lime_3","My favorite color is lime.","Il mio colore preferito è il lime."
"lime_4","Can you give me lime paint?","Puoi darmi vernice al lime?"
"plum","Plum","prugna"
"plum_2","It is plum.","È prugna."
"plum_3","My favorite color is plum.","Il mio colore preferito è la prugna."
"plum_4","Can you give me plum paint?","Puoi darmi la vernice di prugna?"
"tan","Tan","abbronzatura"
"tan_2","It is tan color.","È di colore marrone chiaro."
"tan_3","My favorite color is tan color.","Il mio colore preferito è il colore marrone chiaro."
"tan_4","Can you give me tan color paint?","Puoi darmi una vernice color marrone chiaro?"
"avocado","Avocado","Avocado"
"avocado_2","It is avocado color.","È di colore avocado."
"avocado_3","My favorite color is avocado color.","Il mio colore preferito è il colore avocado."
"avocado_4","Can you give me avocado color paint?","Puoi darmi una vernice color avocado?"
"barbie-pink","Barbie pink","Rosa Barbie"
"barbie-pink_2","It is barbie pink color.","È di colore rosa barbie."
"barbie-pink_3","My favorite color is barbie pink.","Il mio colore preferito è il rosa barbie."
"barbie-pink_4","Can you give me barbie pink paint?","Puoi darmi una vernice rosa barbie?"
"blizzard-blue","Blizzard blue","Blizzard blue"
"blizzard-blue_2","It is blizzard blue color.","È di colore blu blizzard."
"blizzard-blue_3","My favorite color is blizzard blue color.","Il mio colore preferito è il colore blu blizzard."
"blizzard-blue_4","Can you give me blizzard blue paint?","Puoi darmi la vernice blu blizzard?"
"conversation","Conversation","Conversazione"
"me","Me","Me"
"me_2","My name is {name}","Il mio nome è {name}"
"me_3","I'm {name}","Sono {name}"
"me_4","Do you know my name?","Conosci il mio nome?"
"me_5","What is your name?","Come ti chiami?"
"me_6","Nice to meet you!","Piacere di conoscerti!"
"me_7","Do you like me?","Ti piaccio?"
"me_8","Can we be friends?","Possiamo essere amici?"
"me_9","I'm using assistive communication app.","Sto usando l'app di comunicazione assistiva."
"me_10","Who are you?","Tu chi sei?"
"hello","Hello","Ciao"
"hello_2","Hello.","Ciao."
"hello_3","Hi.","Ciao."
"hello_4","Greetings.","Saluti."
"hello_5","How are you?","Come stai?"
"hello_6","Nice to meet you!","Piacere di conoscerti!"
"help","Help","Aiuto"
"help_2","Help me.","Aiutami."
"help_3","Can you help me?","Mi potete aiutare?"
"help_4","I need help","ho bisogno di aiuto"
"help_5","Do you need help?","Hai bisogno di aiuto?"
"yes","Yes","sì"
"yes_2","Yes.","Sì."
"yes_3","Yes please.","Sì grazie."
"yes_4","Alright.","Tutto a posto."
"yes_5","Agreed.","Concordato."
"yes_6","I want to.","Voglio."
"yes_7","I would like to.","Mi piacerebbe."
"no","No","No"
"no_2","No.","No."
"no_3","Nope.","No."
"no_4","Never.","Mai."
"no_5","I don't want to.","Non voglio"
"no_6","I don't like it.","Non mi piace"
"no_7","You don't like it?","Non ti piace?"
"no_8","Why you don't like it?","Perché non ti piace?"
"toilet","Toilet","Gabinetto"
"toilet_2","I need to go to the toilet.","Ho bisogno di andare in bagno."
"toilet_3","I need to pee.","Devo fare pipì."
"toilet_4","I need to poop.","Ho bisogno di fare la cacca."
"toilet_5","Can you help me go to the toilet?","Potete aiutarmi ad andare in bagno?"
"toilet_6","Can you help me clean?","Mi potete aiutare a pulire?"
"toilet_7","I peed myself.","Mi sono fatto la pipì."
"toilet_8","I pooped myself.","Mi sono fatto la cacca."
"what","What","Che cosa"
"what_2","What is that?","Cos'è quello?"
"what_3","What does it mean?","Cosa significa?"
"what_4","What do you mean?","Cosa intendi?"
"what_5","Can you explain it?","Puoi spiegarlo?"
"what_6","Can you repeat what you said?","Puoi ripetere quello che hai detto?"
"what_7","I don't understand.","Non capisco."
"sleep","Sleep","Dormire"
"sleep_2","I want to sleep.","Voglio dormire."
"sleep_3","I don't want to sleep.","Non voglio dormire"
"sleep_4","I'm tired.","Sono stanco."
"sleep_5","Are you tired?","Sei stanco?"
"sleep_6","When am I going to sleep?","Quando vado a dormire?"
"sleep_7","I want to take a nap.","Voglio farmi un sonnellino."
"bath","Bath","Bagno"
"bath_2","I want to take a bath.","Voglio fare un bagno."
"bath_3","I like taking a bath.","Mi piace fare il bagno."
"bath_4","I want to wash my hands.","Voglio lavarmi le mani."
"bath_5","I want to take a shower.","Voglio farmi una doccia."
"bath_6","I want to clean myself.","Voglio pulirmi."
"bath_7","Can you help me take a bath?","Potete aiutarmi a fare un bagno?"
"bath_8","I don't want to take a bath.","Non voglio fare un bagno."
"listen","Listen","Ascolta"
"listen_2","Listen to me.","Ascoltami."
"listen_3","Can you listen to me?","Mi ascolti?"
"listen_4","Listen to music.","Ascoltare la musica."
"listen_5","Listening to my parents.","Ascoltando i miei genitori."
"listen_6","Listen to what my application is saying!","Ascolta cosa dice la mia applicazione!"
"morning","Morning","Mattina"
"morning_2","Good morning.","Buongiorno."
"morning_3","I like mornings.","Mi piacciono le mattine."
"morning_4","In the morning.","Di mattina."
"morning_5","Morning time.","Mattina."
"morning_6","Is it morning?","È mattina?"
"night","Night","Notte"
"night_2","Good night!","Buona notte!"
"night_3","I like nights.","Mi piacciono le notti."
"night_4","At night.","Di notte."
"night_5","Night time.","Notte"
"night_6","Is it night?","È notte?"
"look","Look","Guarda"
"look_2","Look at me.","Guardami."
"look_3","Look at this.","Guarda questo."
"look_4","Are you looking?","Stai guardando?"
"look_5","Look at my drawing.","Guarda il mio disegno."
"look_6","How do I look?","Come ti sembro?"
"look_7","Look what I did.","Guarda cosa ho fatto."
"look_8","Let's look at that.","Diamo un'occhiata a quello."
"speak","Speak","Parlare"
"speak_2","I'm learning how to speak.","Sto imparando a parlare."
"speak_3","I want to speak.","Voglio parlare."
"speak_4","Can I speak with you?","Posso parlarti?"
"speak_5","I like speaking.","Mi piace parlare"
"speak_6","I'm using assistive communication app.","Sto usando l'app di comunicazione assistiva."
"play","Play","Giocare"
"play_2","I love playing.","Adoro giocare."
"play_3","Can you play with me?","Puoi giocare con me?"
"play_4","I want to play with you!","Voglio giocare con te!"
"play_5","I want to play with my friends.","Voglio giocare con i miei amici."
"play_6","I don't want to play with you.","Non voglio giocare con te."
"outside","Outside","Al di fuori"
"outside_2","I love going outside.","Adoro uscire."
"outside_3","I want to go outside.","Voglio andare fuori."
"outside_4","Is it cold outside?","Fa freddo fuori?"
"outside_5","I don't like outside.","Non mi piace fuori."
"outside_6","Can I go outside?","Posso andare fuori?"
"home","Home","Casa"
"home_2","I love my home.","Adoro la mia casa."
"home_3","I want to go home.","Voglio andare a casa."
"home_4","Where is your home?","Dove si trova la tua casa?"
"home_5","Home sweet home.","Casa dolce casa."
"home_6","I'm in the house.","Sono nella casa."
"home_7","I'm not in the house.","Non sono in casa."
"hurt","Hurt","Male"
"hurt_2","I'm hurt.","Sono ferito."
"hurt_3","Are you hurt?","Sei ferito?"
"hurt_4","Did I hurt you?","Ti ho fatto male?"
"hurt_5","I didn't mean to hurt you!","Non volevo ferirti!"
"hurt_6","Is it going to hurt?","Farà male?"
"hurt_7","I have a headache.","Ho mal di testa."
"hurt_8","I have a stomach ache.","Ho mal di stomaco."
"hurt_9","My genitals hurt.","I miei genitali fanno male."
"hurt_10","My foot hurts.","Mi fa male il piede."
"feelings","Feelings","sentimenti"
"happy","Happy","Contento"
"happy_2","I'm happy.","Sono felice."
"happy_3","I feel happy.","Mi sento felice."
"happy_4","Do you feel happy?","Ti senti felice?"
"happy_5","I want to feel happy.","Voglio sentirmi felice."
"happy_6","You are making me happy.","Mi stai rendendo felice."
"sad","Sad","Triste"
"sad_2","I'm sad.","Sono triste."
"sad_3","I feel sad.","Mi sento triste."
"sad_4","Do you feel sad?","Ti senti triste?"
"sad_5","I don't want to feel sad.","Non voglio sentirmi triste."
"sad_6","You are making me sad.","Mi stai rendendo triste."
"exhausted","Exhausted","Esausto"
"exhausted_2","I'm exhausted.","Sono esausto."
"exhausted_3","I feel exhausted.","Mi sento esausto."
"exhausted_4","Do you feel exhausted?","Ti senti esausto?"
"exhausted_5","I don't want to be exhausted.","Non voglio essere esausto."
"relaxed","Relaxed","Rilassato"
"relaxed_2","I'm relaxed.","Sono rilassato."
"relaxed_3","I feel relaxed.","Mi sento rilassato."
"relaxed_4","Do you feel relaxed?","Ti senti rilassato?"
"relaxed_5","I want to feel relaxed.","Voglio sentirmi rilassato."
"in-love","In love","Innamorato"
"in-love_2","I'm in love.","Sono innamorato."
"in-love_3","I feel in love.","Sono innamorato."
"in-love_4","Are you in love?","Sei innamorato?"
"in-love_5","I want to fall in love.","Voglio innamorarmi."
"in-love_6","Do you love me?","Mi ami?"
"stressed","Stressed","Stressato"
"stressed_2","I'm stressed.","Sono stressato."
"stressed_3","I feel stressed.","Mi sento stressato."
"stressed_4","Do you feel stressed?","Ti senti stressato?"
"stressed_5","I don't want to feel stressed.","Non voglio sentirmi stressato."
"thankful","Thankful","Grato"
"thankful_2","I'm thankful.","Sono grato."
"thankful_3","I feel thankful.","Mi sento grato."
"thankful_4","Do you feel thankful?","Ti senti grato?"
"thankful_5","I want to feel thankful.","Voglio sentirmi grato."
"confused","Confused","Confuso"
"confused_2","I'm confused.","Non ho capito bene."
"confused_3","I feel confused.","Mi sento confuso."
"confused_4","Do you feel confused?","Ti senti confuso?"
"confused_5","You are confusing me.","Mi stai confondendo."
"joyful","Joyful","gioioso"
"joyful_2","I'm joyful.","Sono gioiosa."
"joyful_3","I feel joyful.","Mi sento felice."
"joyful_4","Do you feel joyful?","Ti senti gioioso?"
"joyful_5","I want to feel joyful.","Voglio sentirmi felice."
"angry","Angry","Arrabbiato"
"angry_2","I'm angry.","Sono arrabbiato."
"angry_3","I feel angry.","Mi sento arrabbiato."
"angry_4","Do you feel angry?","Ti senti arrabbiato?"
"angry_5","I'm angry at you.","Sono arrabbiato con te."
"angry_6","You are making me angry.","Mi stai facendo arrabbiare."
"smart","Smart","Inteligente"
"smart_2","I'm smart.","Sono intelligente."
"smart_3","I feel smart.","Mi sento intelligente."
"smart_4","Do you feel smart?","Ti senti intelligente?"
"smart_5","Am I smart?","Sono intelligente?"
"smart_6","You are smart!","Tu sei furba!"
"afraid","Afraid","impaurito"
"afraid_2","I'm afraid.","Ho paura."
"afraid_3","I feel afraid.","Ho paura."
"afraid_4","Do you feel afraid?","Hai paura?"
"afraid_5","I don't want to feel afraid.","Non voglio avere paura."
"afraid_6","You are scaring me.","Mi stai spaventando."
"ashamed","Ashamed","Si vergogna"
"ashamed_2","I'm ashamed.","Mi vergogno."
"ashamed_3","I feel ashamed.","Mi vergogno."
"ashamed_4","Do you feel ashamed?","Ti vergogni?"
"ashamed_5","I don't want to feel ashamed.","Non voglio vergognarmi."
"shocked","Shocked","scioccato"
"shocked_2","I'm shocked.","Sono scioccato."
"shocked_3","I feel shocked.","Mi sento scioccato."
"shocked_4","Do you feel shocked?","Ti senti scioccato?"
"shocked_5","You shocked me.","Mi hai scioccato."
"sick","Sick","malato"
"sick_2","I'm sick.","Sono malato."
"sick_3","I feel sick.","Mi sento male."
"sick_4","Do you feel sick?","Ti senti male?"
"sick_5","I don't want to be sick.","Non voglio essere ammalato."
"sick_6","I'm sick of the food.","Sono stufo del cibo."
"frustrated","Frustrated","frustrato"
"frustrated_2","I'm frustrated.","Sono frustrato."
"frustrated_3","I feel frustrated.","Mi sento frustrato."
"frustrated_4","Do you feel frustrated?","Ti senti frustrato?"
"frustrated_5","I don't want to feel frustrated.","Non voglio sentirmi frustrato."
"excited","Excited","Eccitato"
"excited_2","I'm excited.","Sono emozionato."
"excited_3","I feel excited.","Mi sento eccitato."
"excited_4","Do you feel excited?","Ti senti eccitato?"
"excited_5","I don't want to feel excited.","Non voglio sentirmi eccitato."
"nauseated","Nauseated","nauseato"
"nauseated_2","I'm nauseated.","Sono nauseato."
"nauseated_3","I feel nauseated.","Mi sento nauseato."
"nauseated_4","Do you feel nauseated?","Ti senti nauseato?"
"nauseated_5","I don't want to feel nauseated.","Non voglio sentirmi nauseato."
"agitated","Agitated","Agitato"
"agitated_2","I'm agitated.","Sono agitato."
"agitated_3","I feel agitated.","Mi sento agitato."
"agitated_4","Do you feel agitated?","Ti senti agitato?"
"agitated_5","I don't want to feel agitated.","Non voglio sentirmi agitato."
"food","Food","Cibo"
"hungry","Hungry","Affamato"
"hungry_2","I'm hungry.","Ho fame."
"hungry_3","Are you hungry?","Hai fame?"
"hungry_4","Can you make me food?","Puoi farmi da mangiare?"
"hungry_5","What is for dinner?","Cosa c'è per cena?"
"thirsty","Thirsty","assetato"
"thirsty_2","I'm thirsty.","Sono assetato."
"thirsty_3","Can I have some water?","Posso avere dell'acqua?"
"thirsty_4","Can I have a glass of water?","Posso avere un bicchiere d'acqua?"
"thirsty_5","I want something to drink.","Voglio qualcosa da bere."
"cutlery","Cutlery","Posate"
"cutlery_2","I need cutlery.","Ho bisogno di posate."
"cutlery_3","Help me use cutlery.","Aiutami a usare le posate."
"cutlery_4","I need a fork.","Ho bisogno di una forchetta."
"cutlery_5","I need a spoon.","Ho bisogno di un cucchiaio."
"cutlery_6","I need chopsticks.","Ho bisogno di bacchette."
"cutlery_7","I need a knife.","Ho bisogno di un coltello."
"cutlery_8","I need a napkin.","Ho bisogno di un tovagliolo."
"apple","Apple","Mela"
"apple_2","I like apple.","Mi piace la mela."
"apple_3","I don't like apple.","Non mi piace la mela."
"apple_4","I want to eat an apple.","Voglio mangiare una mela."
"carrot","Carrot","Carota"
"carrot_2","I like carrot.","Mi piace la carota."
"carrot_3","I don't like carrot.","Non mi piace la carota."
"carrot_4","I want to eat a carrot.","Voglio mangiare una carota."
"beans","Beans","fagioli"
"beans_2","I like beans.","Mi piacciono i fagioli."
"beans_3","I don't like beans.","Non mi piacciono i fagioli."
"beans_4","I want to eat beans.","Voglio mangiare fagioli."
"chicken_5","I want fried chicken.","Voglio pollo fritto."
"chicken_6","I want boiled chicken.","Voglio pollo bollito."
"chocolate","Chocolate","Cioccolato"
"chocolate_2","I like chocolate.","Mi piace il cioccolato."
"chocolate_3","I don't like chocolate.","Non mi piace il cioccolato."
"chocolate_4","I want to eat chocolate.","Voglio mangiare cioccolato."
"chocolate_5","I want dark chocolate.","Voglio cioccolato fondente."
"chocolate_6","I want white chocolate.","Voglio cioccolato bianco."
"milk","Milk","latte"
"milk_2","I like milk.","Mi piace il latte."
"milk_3","I don't like milk.","Non mi piace il latte."
"milk_4","I want to drink milk.","Voglio bere latte"
"milk_5","Can I have a glass of milk?","Posso avere un bicchiere di latte?"
"sandwich","Sandwich","Sandwich"
"sandwich_2","I like sandwich.","Mi piace il sandwich."
"sandwich_3","I don't like sandwich.","Non mi piace il panino."
"sandwich_4","I want to eat a sandwich.","Voglio mangiare un panino."
"sandwich_5","Can you make me a sandwich?","Puoi farmi un panino?"
"steak","Steak","Bistecca"
"steak_2","I like steak.","Mi piace la bistecca."
"steak_3","I don't like steak.","Non mi piace la bistecca."
"steak_4","I want to eat steak.","Voglio mangiare una bistecca."
"steak_5","Can you cook steak for me?","Puoi cucinare una bistecca per me?"
"banana","Banana","Banana"
"banana_2","I like banana.","Mi piace la banana."
"banana_3","I don't like banana.","Non mi piace la banana."
"banana_4","I want to eat a banana.","Voglio mangiare una banana."
"pie","Pie","Torta"
"pie_2","I like pie.","Mi piacciono le torte."
"pie_3","I don't like pie.","Non mi piace la torta."
"pie_4","I want to eat pie.","Voglio mangiare una torta."
"pie_5","Can you bake a pie for me?","Puoi preparare una torta per me?"
"egg","Egg","Uovo"
"egg_2","I like egg.","Mi piace l'uovo."
"egg_3","I don't like egg.","Non mi piace l'uovo."
"egg_4","I want to eat egg.","Voglio mangiare l'uovo."
"egg_5","I want fried eggs.","Voglio uova fritte."
"egg_6","I want boiled eggs.","Voglio uova sode."
"noodles","Noodles","Tagliatelle"
"noodles_2","I like noodles.","Mi piacciono le tagliatelle."
"noodles_3","I don't like noodles.","Non mi piacciono le tagliatelle."
"noodles_4","I want to eat noodles.","Voglio mangiare noodles."
"noodles_5","Can you cook noodles for me?","Puoi cucinare noodles per me?"
"salt","Salt","sale"
"salt_2","I want salt.","Voglio sale."
"salt_3","Can you pass me the salt?","Puoi passarmi il sale?"
"salt_4","Food is too salty.","Il cibo è troppo salato."
"salt_5","My food needs some salt.","Il mio cibo ha bisogno di sale."
"spices","Spices","Spezie"
"spices_2","I like spicy food.","Mi piace il cibo piccante."
"spices_3","I don't like spicy food.","Non mi piace il cibo piccante."
"spices_4","I want paprika.","Voglio la paprika."
"spices_5","I want black pepper.","Voglio il pepe nero."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Mi piace la pizza."
"pizza_3","I don't like pizza.","Non mi piace la pizza."
"pizza_4","I want to eat pizza.","Voglio mangiare pizza."
"pizza_5","Can you cook pizza for me?","Sai cucinare la pizza per me?"
"pizza_6","Can we order pizza?","Possiamo ordinare la pizza?"
"cheese","Cheese","Formaggio"
"cheese_2","I like cheese.","Mi piace il formaggio."
"cheese_3","I don't like cheese.","Non mi piace il formaggio."
"cheese_4","I want to eat cheese.","Voglio mangiare formaggio"
"ice-cream","Ice cream","Gelato"
"ice-cream_2","I like ice cream.","Mi piace il gelato."
"ice-cream_3","I don't like ice cream.","Non mi piace il gelato."
"ice-cream_4","I want to eat ice cream.","Voglio mangiare del gelato."
"ice-cream_5","Can you buy ice cream for me?","Puoi comprare un gelato per me?"
"tea","Tea","Tè"
"tea_2","I like tea.","Mi piace il te."
"tea_3","I don't like tea.","Non mi piace il tè."
"tea_4","I want to drink tea.","Voglio bere il tè."
"tea_5","Can you make tea for me?","Puoi preparare il tè per me?"
"coffee","Coffee","caffè"
"coffee_2","I like coffee.","Mi piace il caffè."
"coffee_3","I don't like coffee.","Non mi piace il caffè."
"coffee_4","I want to drink coffee.","Voglio bere un caffè."
"coffee_5","Can you make coffee for me?","Puoi preparare un caffè per me?"
"tomato","Tomato","Pomodoro"
"tomato_2","I like tomato.","Mi piace il pomodoro"
"tomato_3","I don't like tomato.","Non mi piace il pomodoro."
"tomato_4","I want to eat tomato.","Voglio mangiare il pomodoro."
"cereal","Cereal","Cereale"
"cereal_2","I like cereal.","Mi piacciono i cereali."
"cereal_3","I don't like cereal.","Non mi piacciono i cereali."
"cereal_4","I want to eat cereal.","Voglio mangiare cereali."
"cereal_5","Can you make my cereal?","Puoi preparare i miei cereali?"
"burger","Burger","Burger"
"burger_2","I like burger.","Mi piace l'hamburger."
"burger_3","I don't like burger.","Non mi piace l'hamburger."
"burger_4","I want to eat burger.","Voglio mangiare hamburger."
"burger_5","Can you cook burger for me?","Puoi cucinare hamburger per me?"
"burger_6","Can we order burger?","Possiamo ordinare hamburger?"
"french-fries","French fries","patatine fritte"
"french-fries_2","I like french fries.","Mi piacciono le patatine fritte."
"french-fries_3","I don't like french fries.","Non mi piacciono le patatine fritte."
"french-fries_4","I want to eat french fries.","Voglio mangiare patatine fritte."
"french-fries_5","Can you cook french fries for me?","Puoi cucinare patatine fritte per me?"
"french-fries_6","Can we order french fries?","Possiamo ordinare patatine fritte?"
"spinach","Spinach","Spinaci"
"spinach_2","I like spinach.","Mi piacciono gli spinaci."
"spinach_3","I don't like spinach.","Non mi piacciono gli spinaci."
"spinach_4","I want to eat spinach.","Voglio mangiare spinaci."
"rice","Rice","Riso"
"rice_2","I like rice.","Mi piace il riso."
"rice_3","I don't like rice.","Non mi piace il riso."
"rice_4","I want to eat rice.","Voglio mangiare riso."
"rice_5","Can you cook rice for me?","Puoi cucinare il riso per me?"
"bread","Bread","Pane"
"bread_2","I like bread.","Mi piace il pane."
"bread_3","I don't like bread.","Non mi piace il pane."
"bread_4","I want to eat bread.","Voglio mangiare il pane."
"bread_5","Can you buy some bread?","Puoi comprare del pane?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Mi piace la pasta"
"pasta_3","I don't like pasta.","Non mi piace la pasta."
"pasta_4","I want to eat pasta.","Voglio mangiare la pasta."
"pasta_5","Can you cook pasta for me?","Puoi cucinare la pasta per me?"
"sauce","Sauce","salsa"
"sauce_2","I like sauce.","Mi piace la salsa."
"sauce_3","I don't like sauce.","Non mi piace la salsa."
"sauce_4","I want some sauce.","Voglio un po 'di salsa."
"sauce_5","Can I have ketchup?","Posso avere il ketchup?"
"sauce_6","Can I have mayonnaise?","Posso avere la maionese?"
"sauce_7","Can I have mustard?","Posso avere la senape?"
"sauce_8","Can I have ranch sauce?","Posso avere la salsa ranch?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Mi piace il kebab."
"kebab_3","I don't like kebab.","Non mi piace il kebab."
"kebab_4","I want to eat kebab.","Voglio mangiare il kebab."
"kebab_5","Can you cook kebab for me?","Puoi cucinare il kebab per me?"
"kebab_6","Can we order kebab?","Possiamo ordinare il kebab?"
"numbers","Numbers","Numeri"
"one","One","Uno"
"one_2","One comes before two.","Uno viene prima delle due."
"one_3","One comes after zero.","Uno viene dopo lo zero."
"one_4","I want one.","Ne voglio uno."
"two","Two","Due"
"two_2","Two comes before three.","Due vengono prima delle tre."
"two_3","Two comes after one.","Due vengono dopo uno."
"two_4","I want two.","Ne voglio due."
"three","Three","Tre"
"three_2","Three comes before four.","Tre vengono prima delle quattro."
"three_3","Three comes after two.","Tre vengono dopo le due."
"three_4","I want three.","Ne voglio tre."
"four","Four","quattro"
"four_2","Four comes before five.","Quattro arriva prima delle cinque."
"four_3","Four comes after three.","Quattro vengono dopo le tre."
"four_4","I want four.","Ne voglio quattro."
"five","Five","Cinque"
"five_2","Five comes before six.","Cinque arrivano prima delle sei."
"five_3","Five comes after four.","Cinque vengono dopo le quattro."
"five_4","I want five.","Ne voglio cinque."
"six","Six","Sei"
"six_2","Six comes before seven.","Sei viene prima delle sette."
"six_3","Six comes after five.","Sei viene dopo le cinque."
"six_4","I want fix.","Voglio una soluzione."
"seven","Seven","Sette"
"seven_2","Seven comes before eight.","Sette vengono prima delle otto."
"seven_3","Seven comes after six.","Sette vengono dopo le sei."
"seven_4","I want seven.","Ne voglio sette."
"eight","Eight","Otto"
"eight_2","Eight comes before nine.","Otto vengono prima delle nove."
"eight_3","Eight comes after seven.","Otto vengono dopo le sette."
"eight_4","I want eight.","Ne voglio otto."
"nine","Nine","Nove"
"nine_2","Nine comes before ten.","Nove vengono prima delle dieci."
"nine_3","Nine comes after eight.","Nove vengono dopo le otto."
"nine_4","I want nine.","Ne voglio nove."
"ten","Ten","Dieci"
"ten_2","Ten comes before eleven.","Dieci vengono prima delle undici."
"ten_3","Ten comes after nine.","Dieci vengono dopo le nove."
"ten_4","I want ten.","Ne voglio dieci."
"eleven","Eleven","Undici"
"eleven_2","Eleven comes before thirteen.","Undici viene prima di tredici."
"eleven_3","Eleven comes after ten.","Le undici vengono dopo le dieci."
"eleven_4","I want eleven.","Ne voglio undici."
"twenty","Twenty","Venti"
"twenty_2","I can count up to twenty.","Posso contare fino a venti."
"thirty","Thirty","Trenta"
"thirty_2","I can count up to thirty.","Posso contare fino a trenta."
"forty","Forty","Quaranta"
"forty_2","I can count up to forty.","Posso contare fino a quaranta."
"fifty","Fifty","Cinquanta"
"fifty_2","I can count up to fifty.","Posso contare fino a cinquanta."
"hundred","Hundred","Centinaio"
"hundred_2","I can count up to hundred.","Ne posso contare fino a cento."
"thousand","Thousand","Mille"
"thousand_2","I can count up to thousand.","Posso contare fino a mille."
"calculator","Calculator","Calcolatrice"
"calculator_2","I want to use a calculator.","Voglio usare una calcolatrice."
"calculator_3","Can you teach me how to use a calculator?","Puoi insegnarmi come usare una calcolatrice?"
"calculator_4","Can I barrow your calculator?","Posso derubare la tua calcolatrice?"
"people","People","Persone"
"mother","Mother","Madre"
"mother_2","Mommy!","Mammina!"
"mother_3","I love my mother.","Amo mia madre."
"mother_4","I love you mom.","Voglio bene alla tua mamma."
"mother_5","I miss my mom.","Mi manca mia mamma."
"mother_6","Thank you for taking care of me.","Grazie per esserti preso cura di me."
"mother_7","She is my mom.","Lei è mia mamma."
"mother_8","Can you help me find my mother?","Potete aiutarmi a trovare mia madre?"
"father","Father","Padre"
"father_2","Daddy!","Papà!"
"father_3","I love my father.","Amo mio padre."
"father_4","I love you dad.","Ti amo papà."
"father_5","I miss my dad.","Ho perso mio padre."
"father_6","Thank you for taking care of me.","Grazie per esserti preso cura di me."
"father_7","He is my dad.","Lui è mio papà."
"father_8","Can you help me find my father?","Potete aiutarmi a trovare mio padre?"
"parents","Parents","genitori"
"parents_2","I love my parents.","Amo i miei genitori."
"parents_3","I love my parents.","Amo i miei genitori."
"parents_4","I miss my parents.","Mi mancano i miei genitori."
"parents_5","They are my parents.","Loro sono i miei genitori."
"parents_6","My parents are taking care of me.","I miei genitori si stanno prendendo cura di me."
"parents_8","Can you help me find my parents?","Potete aiutarmi a trovare i miei genitori?"
"grandparents","Grandparents","Nonni"
"grandparents_2","I love my grandparents.","Adoro i miei nonni."
"grandparents_3","I love you grandparents.","Ti amo nonni."
"grandparents_4","I miss my grandparents.","Mi mancano i miei nonni."
"grandparents_5","They are my grandparents.","Sono i miei nonni."
"grandparents_6","My grandparents are taking care of me.","I miei nonni si prendono cura di me."
"grandparents_8","Can you help me find my grandparents?","Potete aiutarmi a trovare i miei nonni?"
"brother","Brother","Fratello"
"brother_2","I love my brother.","Amo mio fratello."
"brother_3","I love you brother.","Amo tuo fratello."
"brother_4","I miss my brother.","Mi manca mio fratello."
"brother_5","He is my brother.","Lui è mio fratello."
"brother_6","My brother is taking care of me.","Mio fratello si sta prendendo cura di me."
"brother_8","Can you help me find my brother?","Potete aiutarmi a trovare mio fratello?"
"sister","Sister","Sorella"
"sister_2","I love my sister.","Adoro mia sorella."
"sister_3","I love you sister.","Ti amo sorella."
"sister_4","I miss my sister.","Mi manca mia sorella."
"sister_5","She is my sister.","Lei è mia sorella."
"sister_6","My sister is taking care of me.","Mia sorella si sta prendendo cura di me."
"sister_8","Can you help me find my sister?","Potete aiutarmi a trovare mia sorella?"
"uncle","Uncle","Zio"
"uncle_2","I love my uncle.","Adoro mio zio."
"uncle_3","I love you uncle.","Ti voglio bene zio."
"uncle_4","I miss my uncle.","Mi manca mio zio."
"uncle_5","He is my uncle.","Lui è mio zio."
"uncle_8","Can you help me find my uncle?","Potete aiutarmi a trovare mio zio?"
"aunt","Aunt","Zia"
"aunt_2","I love my aunt.","Adoro mia zia."
"aunt_3","I love you aunt.","Ti voglio bene zia."
"aunt_4","I miss my aunt.","Mi manca mia zia."
"aunt_5","She is my aunt.","Lei è la mia zia."
"aunt_8","Can you help me find my aunt?","Potete aiutarmi a trovare mia zia?"
"teacher","Teacher","Insegnante"
"teacher_2","I love my teacher.","Amo la mia insegnante."
"teacher_3","I love you teacher.","Ti amo insegnante."
"teacher_4","I don't like my teacher.","Non mi piace la mia insegnante."
"teacher_5","I miss my teacher.","Mi manca il mio insegnante."
"teacher_6","Thank you for the lesson.","Grazie per la lezione"
"therapist","Therapist","Terapista"
"therapist_2","I love my therapist.","Adoro il mio terapista."
"therapist_3","I love you therapist.","Ti amo terapeuta."
"therapist_4","I don't like my therapist.","Non mi piace il mio terapista."
"therapist_5","I miss my therapist.","Mi manca il mio terapista."
"therapist_6","Thank you for the session.","Grazie per la sessione"
"doctor","Doctor","Medico"
"doctor_2","I love my doctor.","Adoro il mio dottore."
"doctor_3","I love you doctor.","Ti voglio bene dottore."
"doctor_4","I don't like my doctor.","Non mi piace il mio dottore."
"doctor_5","I miss my doctor.","Mi manca il mio dottore."
"doctor_6","Thank you for healing me.","Grazie per avermi guarito."
