"activities","Activities","мероприятия"
"tan","Tan","загар"
"tan_2","It is tan color.","Это цвет загара."
"tan_3","My favorite color is tan color.","Мой любимый цвет - коричневый."
"tan_4","Can you give me tan color paint?","Можете ли вы дать мне загар цвет краски?"
"avocado","Avocado","Авокадо"
"avocado_2","It is avocado color.","Это цвет авокадо."
"avocado_3","My favorite color is avocado color.","Мой любимый цвет - это цвет авокадо."
"avocado_4","Can you give me avocado color paint?","Можете ли вы дать мне авокадо цвет краски?"
"barbie-pink","Barbie pink","Барби розовый"
"barbie-pink_2","It is barbie pink color.","Это барби розового цвета."
"barbie-pink_3","My favorite color is barbie pink.","Мой любимый цвет - розовый Барби."
"barbie-pink_4","Can you give me barbie pink paint?","Можете ли вы дать мне Барби розовую краску?"
"blizzard-blue","Blizzard blue","Метель синий"
"blizzard-blue_2","It is blizzard blue color.","Это метель синего цвета."
"blizzard-blue_3","My favorite color is blizzard blue color.","Мой любимый цвет - метель синего цвета."
"blizzard-blue_4","Can you give me blizzard blue paint?","Можете ли вы дать мне метель синюю краску?"
"conversation","Conversation","разговор"
"me","Me","меня"
"me_2","My name is {name}","Меня зовут {имя}"
"me_3","I'm {name}","Я {имя}"
"me_4","Do you know my name?","Ты знаешь мое имя?"
"me_5","What is your name?","Как тебя зовут?"
"me_6","Nice to meet you!","Приятно с Вами познакомиться!"
"me_7","Do you like me?","Я вам нравлюсь?"
"me_8","Can we be friends?","Мы можем быть друзьями?"
"me_9","I'm using assistive communication app.","Я использую приложение вспомогательной связи."
"me_10","Who are you?","Кто ты?"
"hello","Hello","Привет"
"hello_2","Hello.","Привет."
"hello_3","Hi.","Привет."
"hello_4","Greetings.","Приветствую."
"hello_5","How are you?","Как ты?"
"hello_6","Nice to meet you!","Приятно с Вами познакомиться!"
"help","Help","Помогите"
"help_2","Help me.","Помоги мне."
"help_3","Can you help me?","Вы можете помочь мне?"
"help_4","I need help","Мне нужна помощь"
"help_5","Do you need help?","Тебе нужна помощь?"
"yes","Yes","да"
"yes_2","Yes.","Да."
"yes_3","Yes please.","Да, пожалуйста."
"yes_4","Alright.","Хорошо."
"yes_5","Agreed.","Согласовано."
"yes_6","I want to.","Я бы хотел."
"yes_7","I would like to.","Я бы хотел."
"no","No","нет"
"no_2","No.","Нет."
"no_3","Nope.","Нет."
"no_4","Never.","Никогда."
"no_5","I don't want to.","Я не хочу"
"no_6","I don't like it.","Мне это не нравится"
"no_7","You don't like it?","Тебе это не нравится?"
"no_8","Why you don't like it?","Почему тебе это не нравится?"
"toilet","Toilet","Туалет"
"toilet_2","I need to go to the toilet.","Мне нужно пойти в туалет."
"toilet_3","I need to pee.","Мне надо пописать."
"toilet_4","I need to poop.","Мне нужно покакать."
"toilet_5","Can you help me go to the toilet?","Можете ли вы помочь мне пойти в туалет?"
"toilet_6","Can you help me clean?","Вы можете помочь мне убрать?"
"toilet_7","I peed myself.","Я мочился сам."
"toilet_8","I pooped myself.","Я измотал себя."
"what","What","какая"
"what_2","What is that?","Что это?"
"what_3","What does it mean?","Что это значит?"
"what_4","What do you mean?","Что вы имеете в виду?"
"what_5","Can you explain it?","Вы можете это объяснить?"
"what_6","Can you repeat what you said?","Можете ли вы повторить то, что вы сказали?"
"what_7","I don't understand.","Я не понимаю"
"sleep","Sleep","Спать"
"sleep_2","I want to sleep.","Я хочу спать."
"sleep_3","I don't want to sleep.","Я не хочу спать."
"sleep_4","I'm tired.","Я устал."
"sleep_5","Are you tired?","Ты усталый?"
"sleep_6","When am I going to sleep?","Когда я иду спать?"
"sleep_7","I want to take a nap.","Я хочу вздремнуть."
"bath","Bath","ванна"
"bath_2","I want to take a bath.","Я хочу принять ванну."
"bath_3","I like taking a bath.","Мне нравится принимать ванну."
"bath_4","I want to wash my hands.","Я хочу помыть руки."
"bath_5","I want to take a shower.","Я хочу принять душ."
"bath_6","I want to clean myself.","Я хочу очистить себя."
"bath_7","Can you help me take a bath?","Можете ли вы помочь мне принять ванну?"
"bath_8","I don't want to take a bath.","Я не хочу принимать ванну."
"listen","Listen","Слушать"
"listen_2","Listen to me.","Послушай меня."
"listen_3","Can you listen to me?","Ты можешь слушать меня?"
"listen_4","Listen to music.","Слушай музыку."
"listen_5","Listening to my parents.","Слушаю моих родителей."
"listen_6","Listen to what my application is saying!","Послушайте, что говорит мое приложение!"
"morning","Morning","утро"
"morning_2","Good morning.","Доброе утро."
"morning_3","I like mornings.","Я люблю по утрам."
"morning_4","In the morning.","Утром."
"morning_5","Morning time.","Утреннее время."
"morning_6","Is it morning?","Это утро?"
"night","Night","Ночь"
"night_2","Good night!","Спокойной ночи!"
"night_3","I like nights.","Мне нравятся ночи."
"night_4","At night.","Ночью, вечером."
"night_5","Night time.","Ночное время"
"night_6","Is it night?","Это ночь?"
"look","Look","Смотреть"
"look_2","Look at me.","Смотри на меня."
"look_3","Look at this.","Посмотри на это."
"look_4","Are you looking?","Ты смотришь?"
"look_5","Look at my drawing.","Посмотри на мой рисунок."
"look_6","How do I look?","Как я выгляжу?"
"look_7","Look what I did.","Посмотри, что я сделал."
"look_8","Let's look at that.","Давайте посмотрим на это."
"speak","Speak","Разговаривать"
"speak_2","I'm learning how to speak.","Я учусь говорить."
"speak_3","I want to speak.","Я хочу говорить"
"speak_4","Can I speak with you?","Могу ли я поговорить с тобой?"
"speak_5","I like speaking.","Мне нравится говорить."
"speak_6","I'm using assistive communication app.","Я использую приложение вспомогательной связи."
"play","Play","Играть в"
"play_2","I love playing.","Я люблю играть."
"play_3","Can you play with me?","Вы можете играть со мной?"
"play_4","I want to play with you!","Я хочу поиграть с тобой!"
"play_5","I want to play with my friends.","Я хочу играть с моими друзьями."
"play_6","I don't want to play with you.","Я не хочу играть с тобой."
"outside","Outside","за пределами"
"outside_2","I love going outside.","Я люблю выходить на улицу."
"outside_3","I want to go outside.","Я хочу выйти на улицу."
"outside_4","Is it cold outside?","Снаружи холодно?"
"outside_5","I don't like outside.","Я не люблю на улице."
"outside_6","Can I go outside?","Могу ли я выйти на улицу?"
"home","Home","Дом"
"home_2","I love my home.","Я люблю свой дом."
"home_3","I want to go home.","Я хочу домой."
"home_4","Where is your home?","Где твой дом?"
"home_5","Home sweet home.","Дом, милый дом."
"home_6","I'm in the house.","Я в доме."
"home_7","I'm not in the house.","Я не в доме."
"hurt","Hurt","Причинить боль"
"hurt_2","I'm hurt.","Мне больно."
"hurt_3","Are you hurt?","Вы ударились?"
"hurt_4","Did I hurt you?","Я сделал тебе больно?"
"hurt_5","I didn't mean to hurt you!","Я не хотел тебя обидеть!"
"hurt_6","Is it going to hurt?","Будет больно?"
"hurt_7","I have a headache.","У меня болит голова."
"hurt_8","I have a stomach ache.","У меня болит желудок."
"hurt_9","My genitals hurt.","Мои гениталии болят."
"hurt_10","My foot hurts.","У меня болит ступня."
"feelings","Feelings","Чувства"
"happy","Happy","Счастливый"
"happy_2","I'm happy.","Я счастлив."
"happy_3","I feel happy.","Я чувствую себя счастливым."
"happy_4","Do you feel happy?","Вы чувствуете себя счастливым?"
"happy_5","I want to feel happy.","Я хочу чувствовать себя счастливым."
"happy_6","You are making me happy.","Ты делаешь меня счастливым."
"sad","Sad","Печальный"
"sad_2","I'm sad.","Мне грустно."
"sad_3","I feel sad.","Мне грустно."
"sad_4","Do you feel sad?","Тебе грустно?"
"sad_5","I don't want to feel sad.","Я не хочу грустить."
"sad_6","You are making me sad.","Вы меня расстраиваете."
"exhausted","Exhausted","Измученные"
"exhausted_2","I'm exhausted.","Я изможден."
"exhausted_3","I feel exhausted.","Я чувствую себя измотанным."
"exhausted_4","Do you feel exhausted?","Вы чувствуете себя измотанным?"
"exhausted_5","I don't want to be exhausted.","Я не хочу быть измученным."
"relaxed","Relaxed","Relaxed"
"relaxed_2","I'm relaxed.","Я расслаблен."
"relaxed_3","I feel relaxed.","Я чувствую себя расслабленным."
"relaxed_4","Do you feel relaxed?","Вы чувствуете себя расслабленным?"
"relaxed_5","I want to feel relaxed.","Я хочу чувствовать себя расслабленным."
"in-love","In love","Влюблена"
"in-love_2","I'm in love.","Я влюбился."
"in-love_3","I feel in love.","Я чувствую себя влюбленным."
"in-love_4","Are you in love?","Ты влюблен?"
"in-love_5","I want to fall in love.","Я хочу влюбиться."
"in-love_6","Do you love me?","Ты любишь меня?"
"stressed","Stressed","Подчеркнул"
"stressed_2","I'm stressed.","У меня стресс."
"stressed_3","I feel stressed.","У меня стресс."
"stressed_4","Do you feel stressed?","Вы чувствуете стресс?"
"stressed_5","I don't want to feel stressed.","Я не хочу чувствовать стресс."
"thankful","Thankful","благодарный"
"thankful_2","I'm thankful.","Я благодарен."
"thankful_3","I feel thankful.","Я чувствую себя благодарным."
"thankful_4","Do you feel thankful?","Вы чувствуете себя благодарным?"
"thankful_5","I want to feel thankful.","Я хочу чувствовать себя благодарным."
"confused","Confused","Смущенный"
"confused_2","I'm confused.","Я смущен."
"confused_3","I feel confused.","Я чувствую себя смущенным."
"confused_4","Do you feel confused?","Вы чувствуете смущение?"
"confused_5","You are confusing me.","Ты смущаешь меня."
"joyful","Joyful","радостный"
"joyful_2","I'm joyful.","Я радостен"
"joyful_3","I feel joyful.","Я чувствую радость"
"joyful_4","Do you feel joyful?","Вы чувствуете себя радостным?"
"joyful_5","I want to feel joyful.","Я хочу чувствовать себя радостным."
"angry","Angry","Сердитый"
"angry_2","I'm angry.","Я зол."
"angry_3","I feel angry.","Я зол."
"angry_4","Do you feel angry?","Ты злишься?"
"angry_5","I'm angry at you.","Я зол на тебя."
"angry_6","You are making me angry.","Ты меня злишь."
"smart","Smart","Умный"
"smart_2","I'm smart.","Я умный."
"smart_3","I feel smart.","Я чувствую себя умным"
"smart_4","Do you feel smart?","Ты чувствуешь себя умным?"
"smart_5","Am I smart?","Я умный?"
"smart_6","You are smart!","Ты умный!"
"afraid","Afraid","Боятся"
"afraid_2","I'm afraid.","Боюсь."
"afraid_3","I feel afraid.","Я боюсь"
"afraid_4","Do you feel afraid?","Ты боишься?"
"afraid_5","I don't want to feel afraid.","Я не хочу бояться."
"afraid_6","You are scaring me.","Ты меня пугаешь."
"ashamed","Ashamed","совестно"
"ashamed_2","I'm ashamed.","Мне стыдно."
"ashamed_3","I feel ashamed.","Мне стыдно."
"ashamed_4","Do you feel ashamed?","Тебе стыдно?"
"ashamed_5","I don't want to feel ashamed.","Я не хочу стыдиться."
"shocked","Shocked","В шоке"
"shocked_2","I'm shocked.","Я в шоке."
"shocked_3","I feel shocked.","Я в шоке."
"shocked_4","Do you feel shocked?","Вы чувствуете себя в шоке?"
"shocked_5","You shocked me.","Вы шокировали меня."
"sick","Sick","больной"
"sick_2","I'm sick.","Я болен."
"sick_3","I feel sick.","Я заболел."
"sick_4","Do you feel sick?","Вы заболели?"
"sick_5","I don't want to be sick.","Я не хочу быть больным."
"sick_6","I'm sick of the food.","Я устал от еды."
"frustrated","Frustrated","Разбитый"
"frustrated_2","I'm frustrated.","Я разочарован."
"frustrated_3","I feel frustrated.","Я расстроен"
"frustrated_4","Do you feel frustrated?","Вы чувствуете разочарование?"
"frustrated_5","I don't want to feel frustrated.","Я не хочу чувствовать разочарование"
"excited","Excited","В восторге"
"excited_2","I'm excited.","Я взволнован."
"excited_3","I feel excited.","Я взволнован."
"excited_4","Do you feel excited?","Вы взволнованы?"
"excited_5","I don't want to feel excited.","Я не хочу чувствовать себя взволнованным."
"nauseated","Nauseated","тошнит"
"nauseated_2","I'm nauseated.","Меня тошнит."
"nauseated_3","I feel nauseated.","Я чувствую тошноту"
"nauseated_4","Do you feel nauseated?","Вы чувствуете тошноту?"
"nauseated_5","I don't want to feel nauseated.","Я не хочу чувствовать тошноту."
"agitated","Agitated","взволнованный"
"agitated_2","I'm agitated.","Я взволнован."
"agitated_3","I feel agitated.","Я взволнован."
"agitated_4","Do you feel agitated?","Вы взволнованы?"
"agitated_5","I don't want to feel agitated.","Я не хочу волноваться."
"food","Food","питание"
"hungry","Hungry","голодным"
"hungry_2","I'm hungry.","Я хочу есть."
"hungry_3","Are you hungry?","Ты голоден?"
"hungry_4","Can you make me food?","Ты можешь приготовить мне еду?"
"hungry_5","What is for dinner?","Что на ужин?"
"thirsty","Thirsty","Жаждущий"
"thirsty_2","I'm thirsty.","Я хочу пить."
"thirsty_3","Can I have some water?","Можно ли мне немного воды?"
"thirsty_4","Can I have a glass of water?","Могу я попросить стакан воды?"
"thirsty_5","I want something to drink.","Я хочу что-нибудь выпить."
"cutlery","Cutlery","ножевые изделия"
"cutlery_2","I need cutlery.","Мне нужны столовые приборы."
"cutlery_3","Help me use cutlery.","Помоги мне использовать столовые приборы."
"cutlery_4","I need a fork.","Мне нужна вилка."
"cutlery_5","I need a spoon.","Мне нужна ложка"
"cutlery_6","I need chopsticks.","Мне нужны палочки для еды."
"cutlery_7","I need a knife.","Мне нужен нож"
"cutlery_8","I need a napkin.","Мне нужна салфетка"
"apple","Apple","яблоко"
"apple_2","I like apple.","Я люблю яблоко."
"apple_3","I don't like apple.","Я не люблю яблоко."
"apple_4","I want to eat an apple.","Я хочу съесть яблоко."
"carrot","Carrot","Морковь"
"carrot_2","I like carrot.","Мне нравится морковь."
"carrot_3","I don't like carrot.","Я не люблю морковь."
"carrot_4","I want to eat a carrot.","Я хочу съесть морковку."
"beans","Beans","Фасоль"
"beans_2","I like beans.","Я люблю бобы."
"beans_3","I don't like beans.","Я не люблю бобы."
"beans_4","I want to eat beans.","Я хочу есть бобы."
"chicken_5","I want fried chicken.","Я хочу жареную курицу."
"chicken_6","I want boiled chicken.","Я хочу вареную курицу."
"chocolate","Chocolate","Шоколад"
"chocolate_2","I like chocolate.","Мне нравится шоколад."
"chocolate_3","I don't like chocolate.","Я не люблю шоколад."
"chocolate_4","I want to eat chocolate.","Я хочу есть шоколад."
"chocolate_5","I want dark chocolate.","Я хочу темный шоколад."
"chocolate_6","I want white chocolate.","Я хочу белый шоколад."
"milk","Milk","Молоко"
"milk_2","I like milk.","Я люблю молоко."
"milk_3","I don't like milk.","Я не люблю молоко."
"milk_4","I want to drink milk.","Я хочу пить молоко."
"milk_5","Can I have a glass of milk?","Можно мне стакан молока?"
"sandwich","Sandwich","сандвич"
"sandwich_2","I like sandwich.","Мне нравится бутерброд."
"sandwich_3","I don't like sandwich.","Я не люблю бутерброд."
"sandwich_4","I want to eat a sandwich.","Я хочу съесть бутерброд."
"sandwich_5","Can you make me a sandwich?","Ты можешь сделать мне бутерброд?"
"steak","Steak","стейк"
"steak_2","I like steak.","Мне нравится стейк."
"steak_3","I don't like steak.","Я не люблю стейк."
"steak_4","I want to eat steak.","Я хочу съесть стейк."
"steak_5","Can you cook steak for me?","Вы можете приготовить для меня стейк?"
"banana","Banana","Банан"
"banana_2","I like banana.","Мне нравится банан."
"banana_3","I don't like banana.","Я не люблю банан."
"banana_4","I want to eat a banana.","Я хочу съесть банан."
"pie","Pie","пирог"
"pie_2","I like pie.","Мне нравится пирог"
"pie_3","I don't like pie.","Я не люблю пирог."
"pie_4","I want to eat pie.","Я хочу съесть пирог."
"pie_5","Can you bake a pie for me?","Ты можешь испечь пирог для меня?"
"egg","Egg","Яйцо"
"egg_2","I like egg.","Я люблю яйцо."
"egg_3","I don't like egg.","Я не люблю яйцо."
"egg_4","I want to eat egg.","Я хочу съесть яйцо."
"egg_5","I want fried eggs.","Я хочу жареные яйца."
"egg_6","I want boiled eggs.","Я хочу вареные яйца."
"noodles","Noodles","лапша"
"noodles_2","I like noodles.","Я люблю лапшу."
"noodles_3","I don't like noodles.","Я не люблю лапшу."
"noodles_4","I want to eat noodles.","Я хочу есть лапшу."
"noodles_5","Can you cook noodles for me?","Ты можешь приготовить для меня лапшу?"
"salt","Salt","Соль"
"salt_2","I want salt.","Я хочу соль."
"salt_3","Can you pass me the salt?","Мог бы ты передать мне соль?"
"salt_4","Food is too salty.","Еда слишком соленая."
"salt_5","My food needs some salt.","Моя еда нуждается в соли."
"spices","Spices","специи"
"spices_2","I like spicy food.","Я люблю острую еду."
"spices_3","I don't like spicy food.","Я не люблю острую еду."
"spices_4","I want paprika.","Я хочу паприку."
"spices_5","I want black pepper.","Я хочу черный перец."
"pizza","Pizza","Пицца"
"pizza_2","I like pizza.","Я люблю пиццу."
"pizza_3","I don't like pizza.","Я не люблю пиццу."
"pizza_4","I want to eat pizza.","Я хочу есть пиццу."
"pizza_5","Can you cook pizza for me?","Ты можешь приготовить пиццу для меня?"
"pizza_6","Can we order pizza?","Можем ли мы заказать пиццу?"
"cheese","Cheese","Сыр"
"cheese_2","I like cheese.","Я люблю сыр."
"cheese_3","I don't like cheese.","Я не люблю сыр."
"cheese_4","I want to eat cheese.","Я хочу есть сыр."
"ice-cream","Ice cream","Мороженое"
"ice-cream_2","I like ice cream.","Я люблю мороженое."
"ice-cream_3","I don't like ice cream.","Я не люблю мороженое."
"ice-cream_4","I want to eat ice cream.","Я хочу есть мороженое."
"ice-cream_5","Can you buy ice cream for me?","Вы можете купить мороженое для меня?"
"tea","Tea","Чай"
"tea_2","I like tea.","Я люблю чай."
"tea_3","I don't like tea.","Я не люблю чай"
"tea_4","I want to drink tea.","Я хочу пить чай."
"tea_5","Can you make tea for me?","Ты можешь сделать чай для меня?"
"coffee","Coffee","Кофе"
"coffee_2","I like coffee.","Мне нравится кофе."
"coffee_3","I don't like coffee.","Я не люблю кофе."
"coffee_4","I want to drink coffee.","Я хочу пить кофе."
"coffee_5","Can you make coffee for me?","Вы можете сделать кофе для меня?"
"tomato","Tomato","Помидор"
"tomato_2","I like tomato.","Я люблю помидоры."
"tomato_3","I don't like tomato.","Я не люблю помидоры."
"tomato_4","I want to eat tomato.","Я хочу есть помидор."
"cereal","Cereal","Крупа"
"cereal_2","I like cereal.","Я люблю хлопья."
"cereal_3","I don't like cereal.","Я не люблю хлопья."
"cereal_4","I want to eat cereal.","Я хочу есть хлопья."
"cereal_5","Can you make my cereal?","Ты можешь сделать мои хлопья?"
"burger","Burger","бутерброд"
"burger_2","I like burger.","Мне нравится гамбургер."
"burger_3","I don't like burger.","Я не люблю гамбургер."
"burger_4","I want to eat burger.","Я хочу съесть гамбургер."
"burger_5","Can you cook burger for me?","Ты можешь приготовить для меня гамбургер?"
"burger_6","Can we order burger?","Можем ли мы заказать гамбургер?"
"french-fries","French fries","картофель-фри"
"french-fries_2","I like french fries.","Я люблю картофель фри."
"french-fries_3","I don't like french fries.","Я не люблю картофель фри."
"french-fries_4","I want to eat french fries.","Я хочу есть картофель фри."
"french-fries_5","Can you cook french fries for me?","Вы можете приготовить картофель фри для меня?"
"french-fries_6","Can we order french fries?","Можем ли мы заказать картофель фри?"
"spinach","Spinach","Шпинат"
"spinach_2","I like spinach.","Я люблю шпинат"
"spinach_3","I don't like spinach.","Я не люблю шпинат."
"spinach_4","I want to eat spinach.","Я хочу есть шпинат."
"rice","Rice","Рис"
"rice_2","I like rice.","Я люблю рис."
"rice_3","I don't like rice.","Я не люблю рис."
"rice_4","I want to eat rice.","Я хочу есть рис."
"rice_5","Can you cook rice for me?","Ты можешь приготовить рис для меня?"
"bread","Bread","Хлеб"
"bread_2","I like bread.","Мне нравится хлеб."
"bread_3","I don't like bread.","Я не люблю хлеб."
"bread_4","I want to eat bread.","Я хочу есть хлеб."
"bread_5","Can you buy some bread?","Вы можете купить хлеб?"
"pasta","Pasta","Макаронные изделия"
"pasta_2","I like pasta.","Я люблю макароны"
"pasta_3","I don't like pasta.","Я не люблю макароны."
"pasta_4","I want to eat pasta.","Я хочу есть макароны."
"pasta_5","Can you cook pasta for me?","Вы можете приготовить пасту для меня?"
"sauce","Sauce","Соус"
"sauce_2","I like sauce.","Я люблю соус."
"sauce_3","I don't like sauce.","Я не люблю соус."
"sauce_4","I want some sauce.","Я хочу немного соуса."
"sauce_5","Can I have ketchup?","Можно мне кетчуп?"
"sauce_6","Can I have mayonnaise?","Можно мне майонез?"
"sauce_7","Can I have mustard?","Можно мне горчицу?"
"sauce_8","Can I have ranch sauce?","Могу ли я иметь соус ранчо?"
"kebab","Kebab","Кебаб"
"kebab_2","I like kebab.","Мне нравится шашлык."
"kebab_3","I don't like kebab.","Я не люблю шашлык."
"kebab_4","I want to eat kebab.","Я хочу съесть шашлык."
"kebab_5","Can you cook kebab for me?","Ты можешь приготовить для меня шашлык?"
"kebab_6","Can we order kebab?","Можем ли мы заказать шашлык?"
"numbers","Numbers","чисел"
"one","One","Один"
"one_2","One comes before two.","Один предшествует двум."
"one_3","One comes after zero.","Один приходит после нуля."
"one_4","I want one.","Я хочу один."
"two","Two","Два"
"two_2","Two comes before three.","Два предшествует трем."
"two_3","Two comes after one.","Два приходит после одного."
"two_4","I want two.","Я хочу два."
"three","Three","Три"
"three_2","Three comes before four.","Три приходит до четырех."
"three_3","Three comes after two.","Три приходит после двух."
"three_4","I want three.","Я хочу три."
"four","Four","четыре"
"four_2","Four comes before five.","Четыре приходит до пяти."
"four_3","Four comes after three.","Четыре приходит после трех."
"four_4","I want four.","Я хочу четыре."
"five","Five","Пять"
"five_2","Five comes before six.","Пять приходит раньше шести."
"five_3","Five comes after four.","Пять приходит после четырех."
"five_4","I want five.","Я хочу пять."
"six","Six","Шесть"
"six_2","Six comes before seven.","Шесть идет раньше семи."
"six_3","Six comes after five.","Шесть идет после пяти."
"six_4","I want fix.","Я хочу исправить."
"seven","Seven","Семь"
"seven_2","Seven comes before eight.","Семь приходит раньше восьми."
"seven_3","Seven comes after six.","Семь приходит после шести."
"seven_4","I want seven.","Я хочу семь."
"eight","Eight","Восемь"
"eight_2","Eight comes before nine.","Восемь приходит раньше девяти."
"eight_3","Eight comes after seven.","Восемь приходит после семи."
"eight_4","I want eight.","Я хочу восемь."
"nine","Nine","Девять"
"nine_2","Nine comes before ten.","Девять идет раньше десяти."
"nine_3","Nine comes after eight.","Девять приходит после восьми."
"nine_4","I want nine.","Я хочу девять."
"ten","Ten","Десять"
"ten_2","Ten comes before eleven.","Десять предшествует одиннадцати."
"ten_3","Ten comes after nine.","Десять идут после девяти."
"ten_4","I want ten.","Я хочу десять"
"eleven","Eleven","11"
"eleven_2","Eleven comes before thirteen.","Одиннадцать предшествует тринадцати."
"eleven_3","Eleven comes after ten.","Одиннадцать приходит после десяти."
"eleven_4","I want eleven.","Я хочу одиннадцать."
"twenty","Twenty","Двадцать"
"twenty_2","I can count up to twenty.","Я могу сосчитать до двадцати."
"thirty","Thirty","30"
"thirty_2","I can count up to thirty.","Я могу сосчитать до тридцати."
"forty","Forty","Сорок"
"forty_2","I can count up to forty.","Я могу сосчитать до сорока."
"fifty","Fifty","50"
"fifty_2","I can count up to fifty.","Я могу сосчитать до пятидесяти."
"hundred","Hundred","сто"
"hundred_2","I can count up to hundred.","Я могу сосчитать до ста."
"thousand","Thousand","Тысяча"
"thousand_2","I can count up to thousand.","Я могу сосчитать до тысячи."
"calculator","Calculator","Калькулятор"
"calculator_2","I want to use a calculator.","Я хочу использовать калькулятор."
"calculator_3","Can you teach me how to use a calculator?","Можете ли вы научить меня, как пользоваться калькулятором?"
"calculator_4","Can I barrow your calculator?","Могу ли я взять ваш калькулятор?"
"people","People","люди"
"mother","Mother","Мама"
"mother_2","Mommy!","Мамочка!"
"mother_3","I love my mother.","Я люблю мою маму."
"mother_4","I love you mom.","Я люблю тебя мамуля."
"mother_5","I miss my mom.","Скучаю по маме."
"mother_6","Thank you for taking care of me.","Спасибо за заботу обо мне."
"mother_7","She is my mom.","Она моя мама."
"mother_8","Can you help me find my mother?","Вы можете помочь мне найти мою маму?"
"father","Father","Отец"
"father_2","Daddy!","Папа!"
"father_3","I love my father.","Я люблю своего отца."
"father_4","I love you dad.","Я люблю тебя, папа."
"father_5","I miss my dad.","Я скучаю по отцу."
"father_6","Thank you for taking care of me.","Спасибо за заботу обо мне."
"father_7","He is my dad.","Он мой папа."
"father_8","Can you help me find my father?","Вы можете помочь мне найти моего отца?"
"parents","Parents","Родители"
"parents_2","I love my parents.","Я люблю своих родителей."
"parents_3","I love my parents.","Я люблю своих родителей."
"parents_4","I miss my parents.","Я скучаю по своим родителям."
"parents_5","They are my parents.","Они мои родители."
"parents_6","My parents are taking care of me.","Мои родители заботятся обо мне."
"parents_8","Can you help me find my parents?","Можете ли вы помочь мне найти моих родителей?"
"grandparents","Grandparents","дедушка и бабушка"
"grandparents_2","I love my grandparents.","Я люблю своих бабушек и дедушек."
"grandparents_3","I love you grandparents.","Я люблю тебя, бабушку и дедушку."
"grandparents_4","I miss my grandparents.","Я скучаю по бабушке и дедушке."
"grandparents_5","They are my grandparents.","Они мои бабушка и дедушка."
"grandparents_6","My grandparents are taking care of me.","Мои бабушка и дедушка заботятся обо мне."
"grandparents_8","Can you help me find my grandparents?","Можете ли вы помочь мне найти моих бабушку и дедушку?"
"brother","Brother","Брат"
"brother_2","I love my brother.","Я люблю своего брата."
"brother_3","I love you brother.","Я люблю твоего брата."
"brother_4","I miss my brother.","Я скучаю по своему брату."
"brother_5","He is my brother.","Он мой брат."
"brother_6","My brother is taking care of me.","Мой брат заботится обо мне."
"brother_8","Can you help me find my brother?","Вы можете помочь мне найти моего брата?"
"sister","Sister","Сестра"
"sister_2","I love my sister.","Я люблю свою сестру."
"sister_3","I love you sister.","Я люблю тебя, сестра."
"sister_4","I miss my sister.","Я скучаю по своей сестре."
"sister_5","She is my sister.","Она моя сестра."
"sister_6","My sister is taking care of me.","Моя сестра заботится обо мне."
"sister_8","Can you help me find my sister?","Вы можете помочь мне найти мою сестру?"
"uncle","Uncle","Дядя"
"uncle_2","I love my uncle.","Я люблю своего дядю."
"uncle_3","I love you uncle.","Я люблю тебя, дядя."
"uncle_4","I miss my uncle.","Я скучаю по своему дяде."
"uncle_5","He is my uncle.","Он - мой дядя."
"uncle_8","Can you help me find my uncle?","Вы можете помочь мне найти моего дядю?"
"aunt","Aunt","Тетя"
"aunt_2","I love my aunt.","Я люблю свою тетю."
"aunt_3","I love you aunt.","Я люблю тебя, тетя."
"aunt_4","I miss my aunt.","Я скучаю по своей тете."
"aunt_5","She is my aunt.","Она моя тетя."
"aunt_8","Can you help me find my aunt?","Вы можете помочь мне найти мою тетю?"
"teacher","Teacher","учитель"
"teacher_2","I love my teacher.","Я люблю своего учителя."
"teacher_3","I love you teacher.","Я люблю тебя, учитель."
"teacher_4","I don't like my teacher.","Мне не нравится мой учитель."
"teacher_5","I miss my teacher.","Я скучаю по своему учителю."
"teacher_6","Thank you for the lesson.","Спасибо за урок."
"therapist","Therapist","Терапевт"
"therapist_2","I love my therapist.","Я люблю своего терапевта."
"therapist_3","I love you therapist.","Я люблю тебя терапевт."
"therapist_4","I don't like my therapist.","Мне не нравится мой терапевт."
"therapist_5","I miss my therapist.","Я скучаю по своему терапевту."
"therapist_6","Thank you for the session.","Спасибо за сессию."
"doctor","Doctor","Доктор"
"doctor_2","I love my doctor.","Я люблю своего доктора."
"doctor_3","I love you doctor.","Я люблю тебя, доктор."
"doctor_4","I don't like my doctor.","Мне не нравится мой доктор."
"doctor_5","I miss my doctor.","Я скучаю по своему доктору."
"doctor_6","Thank you for healing me.","Спасибо за исцеление меня."
"friends","Friends","друзья"
"friends_2","I love my friends.","Я люблю моих друзей."
"friends_3","Do you want to be my friend?","Хочешь быть моим другом?"
"friends_4","I don't like my friends.","Я не люблю своих друзей."
"friends_5","I miss my friends.","Я скучаю по своим друзьям."
"friends_6","They are my friends.","Они мои друзья."
"friends_7","Thank you for playing with me.","Спасибо за игру со мной."
"cousins","Cousins","Кузены"
"cousins_2","I love my cousins.","Я люблю своих кузенов."
"cousins_3","I don't have cousins.","У меня нет кузенов."
"cousins_4","I miss my cousins.","Я скучаю по своим двоюродным братьям."
"cousins_5","They are my cousins.","Они мои кузены."
"grandmother","Grandmother","Бабушка"
"grandmother_2","I love my grandmother.","Я люблю свою бабушку."
