"activities","Activities","verksamhet"
"plum_2","It is plum.","Det är plommon."
"plum_3","My favorite color is plum.","Min favoritfärg är plommon."
"plum_4","Can you give me plum paint?","Kan du ge mig plommonfärg?"
"tan","Tan","Solbränna"
"tan_2","It is tan color.","Det är solbränd färg."
"tan_3","My favorite color is tan color.","Min favoritfärg är solbränd färg."
"tan_4","Can you give me tan color paint?","Kan du ge mig solbränna färg?"
"avocado","Avocado","Avokado"
"avocado_2","It is avocado color.","Det är avokadofärg."
"avocado_3","My favorite color is avocado color.","Min favoritfärg är avokadofärg."
"avocado_4","Can you give me avocado color paint?","Kan du ge mig avokadofärgfärg?"
"barbie-pink","Barbie pink","Barbie rosa"
"barbie-pink_2","It is barbie pink color.","Det är barbie rosa färg."
"barbie-pink_3","My favorite color is barbie pink.","Min favoritfärg är barbie pink."
"barbie-pink_4","Can you give me barbie pink paint?","Kan du ge mig barbie pink paint?"
"blizzard-blue","Blizzard blue","Snöstormblått"
"blizzard-blue_2","It is blizzard blue color.","Det är snöstormblå färg."
"blizzard-blue_3","My favorite color is blizzard blue color.","Min favoritfärg är snöstormblå färg."
"blizzard-blue_4","Can you give me blizzard blue paint?","Kan du ge mig snöstormblå färg?"
"conversation","Conversation","Konversation"
"me","Me","Mig"
"me_2","My name is {name}","Mitt namn är {namn}"
"me_3","I'm {name}","Jag är {name}"
"me_4","Do you know my name?","Vet du vad jag heter?"
"me_5","What is your name?","Vad heter du?"
"me_6","Nice to meet you!","Trevligt att träffas!"
"me_7","Do you like me?","Gillar du mig?"
"me_8","Can we be friends?","Kan vi vara vänner?"
"me_9","I'm using assistive communication app.","Jag använder app för hjälpkommunikation."
"me_10","Who are you?","Vem är du?"
"hello","Hello","Hej"
"hello_2","Hello.","Hallå."
"hello_3","Hi.","Hej."
"hello_4","Greetings.","Hälsningar."
"hello_5","How are you?","Hur mår du?"
"hello_6","Nice to meet you!","Trevligt att träffas!"
"help","Help","Hjälp"
"help_2","Help me.","Hjälp mig."
"help_3","Can you help me?","Kan du hjälpa mig?"
"help_4","I need help","jag behöver hjälp"
"help_5","Do you need help?","Behöver du hjälp?"
"yes","Yes","Ja"
"yes_2","Yes.","Ja."
"yes_3","Yes please.","Ja tack."
"yes_4","Alright.","OK."
"yes_5","Agreed.","Gick med på."
"yes_6","I want to.","Jag vill."
"yes_7","I would like to.","Jag skulle vilja."
"no","No","Nej"
"no_2","No.","Nej."
"no_3","Nope.","Nej."
"no_4","Never.","Aldrig."
"no_5","I don't want to.","Jag vill inte."
"no_6","I don't like it.","Jag gillar det inte."
"no_7","You don't like it?","Gillar du inte det?"
"no_8","Why you don't like it?","Varför tycker du inte om det?"
"toilet","Toilet","Toalett"
"toilet_2","I need to go to the toilet.","Jag behöver gå på toaletten."
"toilet_3","I need to pee.","Jag måste kissa."
"toilet_4","I need to poop.","Jag måste bajsa."
"toilet_5","Can you help me go to the toilet?","Kan du hjälpa mig gå på toaletten?"
"toilet_6","Can you help me clean?","Kan du hjälpa mig att rensa?"
"toilet_7","I peed myself.","Jag kissa mig själv."
"toilet_8","I pooped myself.","Jag pooped själv."
"what","What","Vad"
"what_2","What is that?","Vad är det där?"
"what_3","What does it mean?","Vad betyder det?"
"what_4","What do you mean?","Vad menar du?"
"what_5","Can you explain it?","Kan du förklara det?"
"what_6","Can you repeat what you said?","Kan du upprepa det du sa?"
"what_7","I don't understand.","jag förstår inte."
"sleep","Sleep","Sömn"
"sleep_2","I want to sleep.","Jag vill sova."
"sleep_3","I don't want to sleep.","Jag vill inte sova."
"sleep_4","I'm tired.","Jag är trött."
"sleep_5","Are you tired?","Är du trött?"
"sleep_6","When am I going to sleep?","När ska jag sova?"
"sleep_7","I want to take a nap.","Jag vill ta en tupplur."
"bath","Bath","Bad"
"bath_2","I want to take a bath.","Jag vill ta ett bad."
"bath_3","I like taking a bath.","Jag gillar att ta ett bad."
"bath_4","I want to wash my hands.","Jag vill tvätta händerna."
"bath_5","I want to take a shower.","Jag vill ta en dusch."
"bath_6","I want to clean myself.","Jag vill städa mig själv."
"bath_7","Can you help me take a bath?","Kan du hjälpa mig att bada?"
"bath_8","I don't want to take a bath.","Jag vill inte ta ett bad."
"listen","Listen","Lyssna"
"listen_2","Listen to me.","Lyssna på mig."
"listen_3","Can you listen to me?","Kan du lyssna på mig?"
"listen_4","Listen to music.","Lyssna på musik."
"listen_5","Listening to my parents.","Lyssnar på mina föräldrar."
"listen_6","Listen to what my application is saying!","Lyssna på vad min ansökan säger!"
"morning","Morning","Morgon"
"morning_2","Good morning.","God morgon."
"morning_3","I like mornings.","Jag gillar morgnar."
"morning_4","In the morning.","På morgonen."
"morning_5","Morning time.","Morgon tid."
"morning_6","Is it morning?","Är det morgon?"
"night","Night","Natt"
"night_2","Good night!","Godnatt!"
"night_3","I like nights.","Jag gillar nätter."
"night_4","At night.","På natten."
"night_5","Night time.","Natttid."
"night_6","Is it night?","Är det natt?"
"look","Look","Se"
"look_2","Look at me.","Titta på mig."
"look_3","Look at this.","Titta på det här."
"look_4","Are you looking?","Tittar du?"
"look_5","Look at my drawing.","Titta på min ritning."
"look_6","How do I look?","Hur ser jag ut?"
"look_7","Look what I did.","Titta vad jag gjorde."
"look_8","Let's look at that.","Låt oss titta på det."
"speak","Speak","Tala"
"speak_2","I'm learning how to speak.","Jag lär mig att tala."
"speak_3","I want to speak.","Jag vill prata."
"speak_4","Can I speak with you?","Kan jag prata med dig?"
"speak_5","I like speaking.","Jag gillar att prata."
"speak_6","I'm using assistive communication app.","Jag använder app för hjälpkommunikation."
"play","Play","Spela"
"play_2","I love playing.","Jag älskar att spela."
"play_3","Can you play with me?","Kan du leka med mig?"
"play_4","I want to play with you!","Jag vill leka med dig!"
"play_5","I want to play with my friends.","Jag vill spela med mina vänner."
"play_6","I don't want to play with you.","Jag vill inte spela med dig."
"outside","Outside","Utanför"
"outside_2","I love going outside.","Jag älskar att gå utanför."
"outside_3","I want to go outside.","Jag vill gå ut."
"outside_4","Is it cold outside?","Det är kallt ute?"
"outside_5","I don't like outside.","Jag gillar inte utanför."
"outside_6","Can I go outside?","Kan jag gå utanför?"
"home","Home","Hem"
"home_2","I love my home.","Jag älskar mitt hem."
"home_3","I want to go home.","Jag vill gå hem."
"home_4","Where is your home?","Var är ditt hem?"
"home_5","Home sweet home.","Hem kära hem."
"home_6","I'm in the house.","Jag är i huset."
"home_7","I'm not in the house.","Jag är inte i huset."
"hurt","Hurt","Ont"
"hurt_2","I'm hurt.","Jag är sårad."
"hurt_3","Are you hurt?","Är du sårad?"
"hurt_4","Did I hurt you?","Sårade jag dig?"
"hurt_5","I didn't mean to hurt you!","Jag tänkte inte skada dig!"
"hurt_6","Is it going to hurt?","Kommer det att göra ont?"
"hurt_7","I have a headache.","Jag har huvudvärk."
"hurt_8","I have a stomach ache.","Jag har ont i magen."
"hurt_9","My genitals hurt.","Mina könsorgan ont."
"hurt_10","My foot hurts.","Min fot gör ont."
"feelings","Feelings","känslor"
"happy","Happy","Lycklig"
"happy_2","I'm happy.","Jag är glad."
"happy_3","I feel happy.","Jag känner mig glad."
"happy_4","Do you feel happy?","Känner du dig lycklig?"
"happy_5","I want to feel happy.","Jag vill känna mig lycklig."
"happy_6","You are making me happy.","Du gör mig lycklig."
"sad","Sad","Ledsen"
"sad_2","I'm sad.","Jag är ledsen."
"sad_3","I feel sad.","Jag känner mig ledsen."
"sad_4","Do you feel sad?","Känner du dig ledsen?"
"sad_5","I don't want to feel sad.","Jag vill inte känna mig ledsen."
"sad_6","You are making me sad.","Du gör mig ledsen."
"exhausted","Exhausted","Utmattad"
"exhausted_2","I'm exhausted.","Jag är utmattad."
"exhausted_3","I feel exhausted.","Jag känner mig utmattad."
"exhausted_4","Do you feel exhausted?","Känner du dig utmattad?"
"exhausted_5","I don't want to be exhausted.","Jag vill inte vara utmattad."
"relaxed","Relaxed","Avslappnad"
"relaxed_2","I'm relaxed.","Jag är avslappnad."
"relaxed_3","I feel relaxed.","Jag känner mig avslappnad."
"relaxed_4","Do you feel relaxed?","Känner du dig avslappnad?"
"relaxed_5","I want to feel relaxed.","Jag vill känna mig avslappnad."
"in-love","In love","Förälskad"
"in-love_2","I'm in love.","Jag är kär."
"in-love_3","I feel in love.","Jag känner mig förälskad."
"in-love_4","Are you in love?","Är du kär?"
"in-love_5","I want to fall in love.","Jag vill bli kär."
"in-love_6","Do you love me?","Älskar du mig?"
"stressed","Stressed","stressad"
"stressed_2","I'm stressed.","Jag är stressad."
"stressed_3","I feel stressed.","Jag känner mig stressad."
"stressed_4","Do you feel stressed?","Känner du dig stressad?"
"stressed_5","I don't want to feel stressed.","Jag vill inte känna mig stressad."
"thankful","Thankful","Tacksam"
"thankful_2","I'm thankful.","Jag är tacksam."
"thankful_3","I feel thankful.","Jag känner mig tacksam."
"thankful_4","Do you feel thankful?","Känner du dig tacksam?"
"thankful_5","I want to feel thankful.","Jag vill känna mig tacksam."
"confused","Confused","Förvirrad"
"confused_2","I'm confused.","Jag är förvirrad."
"confused_3","I feel confused.","Jag känner mig förvirrad."
"confused_4","Do you feel confused?","Känner du dig förvirrad?"
"confused_5","You are confusing me.","Du förvirrar mig."
"joyful","Joyful","Glad"
"joyful_2","I'm joyful.","Jag är glad."
"joyful_3","I feel joyful.","Jag känner mig glad."
"joyful_4","Do you feel joyful?","Känner du dig glad?"
"joyful_5","I want to feel joyful.","Jag vill känna mig glad."
"angry","Angry","Arg"
"angry_2","I'm angry.","Jag är arg."
"angry_3","I feel angry.","Jag känner mig arg."
"angry_4","Do you feel angry?","Känner du dig arg?"
"angry_5","I'm angry at you.","Jag är arg på dig."
"angry_6","You are making me angry.","Du gör mig arg."
"smart","Smart","Smart"
"smart_2","I'm smart.","Jag är smart."
"smart_3","I feel smart.","Jag känner mig smart."
"smart_4","Do you feel smart?","Känner du dig smart?"
"smart_5","Am I smart?","Är jag smart?"
"smart_6","You are smart!","Du är smart!"
"afraid","Afraid","Rädd"
"afraid_2","I'm afraid.","Jag är rädd."
"afraid_3","I feel afraid.","Jag känner mig rädd."
"afraid_4","Do you feel afraid?","Känner du dig rädd?"
"afraid_5","I don't want to feel afraid.","Jag vill inte känna mig rädd."
"afraid_6","You are scaring me.","Du skrämmer mig."
"ashamed","Ashamed","Skamsen"
"ashamed_2","I'm ashamed.","Jag skäms."
"ashamed_3","I feel ashamed.","Jag skäms."
"ashamed_4","Do you feel ashamed?","Känner du dig skäms?"
"ashamed_5","I don't want to feel ashamed.","Jag vill inte skämmas."
"shocked","Shocked","chockad"
"shocked_2","I'm shocked.","Jag är chockad."
"shocked_3","I feel shocked.","Jag känner mig chockad."
"shocked_4","Do you feel shocked?","Känner du dig chockad?"
"shocked_5","You shocked me.","Du chockade mig."
"sick","Sick","Sjuk"
"sick_2","I'm sick.","Jag är sjuk."
"sick_3","I feel sick.","Jag mår illa."
"sick_4","Do you feel sick?","Känner du dig sjuk?"
"sick_5","I don't want to be sick.","Jag vill inte vara sjuk."
"sick_6","I'm sick of the food.","Jag är trött på maten."
"frustrated","Frustrated","Frustrerad"
"frustrated_2","I'm frustrated.","Jag är frustrerad."
"frustrated_3","I feel frustrated.","Jag känner mig frustrerad."
"frustrated_4","Do you feel frustrated?","Känner du dig frustrerad?"
"frustrated_5","I don't want to feel frustrated.","Jag vill inte känna mig frustrerad."
"excited","Excited","Upphetsad"
"excited_2","I'm excited.","Jag är glad."
"excited_3","I feel excited.","Jag känner mig exalterad."
"excited_4","Do you feel excited?","Känner du dig upphetsad?"
"excited_5","I don't want to feel excited.","Jag vill inte känna mig upphetsad."
"nauseated","Nauseated","illamående"
"nauseated_2","I'm nauseated.","Jag är illamående."
"nauseated_3","I feel nauseated.","Jag känner mig illamående."
"nauseated_4","Do you feel nauseated?","Känner du dig illamående?"
"nauseated_5","I don't want to feel nauseated.","Jag vill inte känna mig illamående."
"agitated","Agitated","upprörd"
"agitated_2","I'm agitated.","Jag är upprörd."
"agitated_3","I feel agitated.","Jag känner mig upprörd."
"agitated_4","Do you feel agitated?","Känner du dig upprörd?"
"agitated_5","I don't want to feel agitated.","Jag vill inte känna agiterad."
"food","Food","Mat"
"hungry","Hungry","Hungrig"
"hungry_2","I'm hungry.","Jag är hungrig."
"hungry_3","Are you hungry?","Är du hungrig?"
"hungry_4","Can you make me food?","Kan du göra mig mat?"
"hungry_5","What is for dinner?","Vad blir det till middag?"
"thirsty","Thirsty","Törstig"
"thirsty_2","I'm thirsty.","Jag är törstig."
"thirsty_3","Can I have some water?","Kan jag få lite vatten?"
"thirsty_4","Can I have a glass of water?","Kan jag få ett glas vatten?"
"thirsty_5","I want something to drink.","Jag vill ha något att dricka."
"cutlery","Cutlery","Bestick"
"cutlery_2","I need cutlery.","Jag behöver bestick."
"cutlery_3","Help me use cutlery.","Hjälp mig att använda bestick."
"cutlery_4","I need a fork.","Jag behöver en gaffel."
"cutlery_5","I need a spoon.","Jag behöver en sked."
"cutlery_6","I need chopsticks.","Jag behöver pinnar."
"cutlery_7","I need a knife.","Jag behöver en kniv."
"cutlery_8","I need a napkin.","Jag behöver en servett."
"apple","Apple","Äpple"
"apple_2","I like apple.","Jag gillar äpple."
"apple_3","I don't like apple.","Jag gillar inte äpple."
"apple_4","I want to eat an apple.","Jag vill äta ett äpple."
"carrot","Carrot","Morot"
"carrot_2","I like carrot.","Jag gillar morot."
"carrot_3","I don't like carrot.","Jag gillar inte morot."
"carrot_4","I want to eat a carrot.","Jag vill äta en morot."
"beans","Beans","bönor"
"beans_2","I like beans.","Jag gillar bönor."
"beans_3","I don't like beans.","Jag gillar inte bönor."
"beans_4","I want to eat beans.","Jag vill äta bönor."
"chicken_5","I want fried chicken.","Jag vill ha stekt kyckling."
"chicken_6","I want boiled chicken.","Jag vill ha kokt kyckling."
"chocolate","Chocolate","Choklad"
"chocolate_2","I like chocolate.","Jag gillar choklad."
"chocolate_3","I don't like chocolate.","Jag gillar inte choklad."
"chocolate_4","I want to eat chocolate.","Jag vill äta choklad."
"chocolate_5","I want dark chocolate.","Jag vill ha mörk choklad."
"chocolate_6","I want white chocolate.","Jag vill ha vit choklad."
"milk","Milk","Mjölk"
"milk_2","I like milk.","Jag gillar mjölk."
"milk_3","I don't like milk.","Jag gillar inte mjölk."
"milk_4","I want to drink milk.","Jag vill dricka mjölk."
"milk_5","Can I have a glass of milk?","Kan jag ta ett glas mjölk?"
"sandwich","Sandwich","Smörgås"
"sandwich_2","I like sandwich.","Jag gillar smörgås."
"sandwich_3","I don't like sandwich.","Jag gillar inte smörgås."
"sandwich_4","I want to eat a sandwich.","Jag vill äta en smörgås."
"sandwich_5","Can you make me a sandwich?","Kan du göra mig en smörgås?"
"steak","Steak","Biff"
"steak_2","I like steak.","Jag gillar biff."
"steak_3","I don't like steak.","Jag gillar inte biff."
"steak_4","I want to eat steak.","Jag vill äta biff."
"steak_5","Can you cook steak for me?","Kan du laga stek för mig?"
"banana","Banana","Banan"
"banana_2","I like banana.","Jag gillar banan."
"banana_3","I don't like banana.","Jag gillar inte banan."
"banana_4","I want to eat a banana.","Jag vill äta en banan."
"pie","Pie","Paj"
"pie_2","I like pie.","Jag gillar paj."
"pie_3","I don't like pie.","Jag gillar inte paj."
"pie_4","I want to eat pie.","Jag vill äta paj."
"pie_5","Can you bake a pie for me?","Kan du baka en paj för mig?"
"egg","Egg","Ägg"
"egg_2","I like egg.","Jag gillar ägg."
"egg_3","I don't like egg.","Jag gillar inte ägg."
"egg_4","I want to eat egg.","Jag vill äta ägg."
"egg_5","I want fried eggs.","Jag vill ha stekt ägg."
"egg_6","I want boiled eggs.","Jag vill ha kokta ägg."
"noodles","Noodles","Spaghetti"
"noodles_2","I like noodles.","Jag gillar nudlar."
"noodles_3","I don't like noodles.","Jag gillar inte nudlar."
"noodles_4","I want to eat noodles.","Jag vill äta nudlar."
"noodles_5","Can you cook noodles for me?","Kan du laga nudlar till mig?"
"salt","Salt","Salt"
"salt_2","I want salt.","Jag vill ha salt."
"salt_3","Can you pass me the salt?","Kan du skicka mig saltet?"
"salt_4","Food is too salty.","Maten är för salt."
"salt_5","My food needs some salt.","Min mat behöver lite salt."
"spices","Spices","Kryddor"
"spices_2","I like spicy food.","Jag gillar kryddig mat."
"spices_3","I don't like spicy food.","Jag gillar inte kryddig mat."
"spices_4","I want paprika.","Jag vill ha paprika."
"spices_5","I want black pepper.","Jag vill ha svartpeppar."
"pizza","Pizza","Pizza"
"pizza_2","I like pizza.","Jag gillar pizza."
"pizza_3","I don't like pizza.","Jag gillar inte pizza."
"pizza_4","I want to eat pizza.","Jag vill äta pizza."
"pizza_5","Can you cook pizza for me?","Kan du laga pizza för mig?"
"pizza_6","Can we order pizza?","Kan vi beställa pizza?"
"cheese","Cheese","Ost"
"cheese_2","I like cheese.","Jag gillar ost."
"cheese_3","I don't like cheese.","Jag gillar inte ost."
"cheese_4","I want to eat cheese.","Jag vill äta ost."
"ice-cream","Ice cream","Glass"
"ice-cream_2","I like ice cream.","Jag gillar glass."
"ice-cream_3","I don't like ice cream.","Jag gillar inte glass."
"ice-cream_4","I want to eat ice cream.","Jag vill äta glass."
"ice-cream_5","Can you buy ice cream for me?","Kan du köpa glass till mig?"
"tea","Tea","Te"
"tea_2","I like tea.","Jag gillar te."
"tea_3","I don't like tea.","Jag gillar inte te."
"tea_4","I want to drink tea.","Jag vill dricka te."
"tea_5","Can you make tea for me?","Kan du laga te för mig?"
"coffee","Coffee","Kaffe"
"coffee_2","I like coffee.","Jag tycker om kaffe."
"coffee_3","I don't like coffee.","Jag gillar inte kaffe."
"coffee_4","I want to drink coffee.","Jag vill dricka kaffe."
"coffee_5","Can you make coffee for me?","Kan du laga kaffe till mig?"
"tomato","Tomato","Tomat"
"tomato_2","I like tomato.","Jag gillar tomat."
"tomato_3","I don't like tomato.","Jag gillar inte tomat."
"tomato_4","I want to eat tomato.","Jag vill äta tomat."
"cereal","Cereal","Flingor"
"cereal_2","I like cereal.","Jag gillar spannmål."
"cereal_3","I don't like cereal.","Jag gillar inte spannmål."
"cereal_4","I want to eat cereal.","Jag vill äta spannmål."
"cereal_5","Can you make my cereal?","Kan du göra mitt spannmål?"
"burger","Burger","Burger"
"burger_2","I like burger.","Jag gillar hamburgare."
"burger_3","I don't like burger.","Jag gillar inte hamburgare."
"burger_4","I want to eat burger.","Jag vill äta hamburgare."
"burger_5","Can you cook burger for me?","Kan du laga hamburgare för mig?"
"burger_6","Can we order burger?","Kan vi beställa hamburgare?"
"french-fries","French fries","pommes frites"
"french-fries_2","I like french fries.","Jag gillar pommes frites."
"french-fries_3","I don't like french fries.","Jag gillar inte pommes frites."
"french-fries_4","I want to eat french fries.","Jag vill äta pommes frites."
"french-fries_5","Can you cook french fries for me?","Kan du laga pommes frites för mig?"
"french-fries_6","Can we order french fries?","Kan vi beställa pommes frites?"
"spinach","Spinach","Spenat"
"spinach_2","I like spinach.","Jag gillar spenat."
"spinach_3","I don't like spinach.","Jag gillar inte spenat."
"spinach_4","I want to eat spinach.","Jag vill äta spenat."
"rice","Rice","Ris"
"rice_2","I like rice.","Jag gillar ris."
"rice_3","I don't like rice.","Jag gillar inte ris."
"rice_4","I want to eat rice.","Jag vill äta ris."
"rice_5","Can you cook rice for me?","Kan du laga ris för mig?"
"bread","Bread","Bröd"
"bread_2","I like bread.","Jag gillar bröd."
"bread_3","I don't like bread.","Jag gillar inte bröd."
"bread_4","I want to eat bread.","Jag vill äta bröd."
"bread_5","Can you buy some bread?","Kan du köpa lite bröd?"
"pasta","Pasta","Pasta"
"pasta_2","I like pasta.","Jag gillar pasta."
"pasta_3","I don't like pasta.","Jag gillar inte pasta."
"pasta_4","I want to eat pasta.","Jag vill äta pasta."
"pasta_5","Can you cook pasta for me?","Kan du laga pasta för mig?"
"sauce","Sauce","Sås"
"sauce_2","I like sauce.","Jag gillar sås."
"sauce_3","I don't like sauce.","Jag gillar inte sås."
"sauce_4","I want some sauce.","Jag vill ha sås."
"sauce_5","Can I have ketchup?","Kan jag få ketchup?"
"sauce_6","Can I have mayonnaise?","Kan jag få majonnäs?"
"sauce_7","Can I have mustard?","Kan jag få senap?"
"sauce_8","Can I have ranch sauce?","Kan jag få ranch sås?"
"kebab","Kebab","Kebab"
"kebab_2","I like kebab.","Jag gillar kebab."
"kebab_3","I don't like kebab.","Jag gillar inte kebab."
"kebab_4","I want to eat kebab.","Jag vill äta kebab."
"kebab_5","Can you cook kebab for me?","Kan du laga kebab för mig?"
"kebab_6","Can we order kebab?","Kan vi beställa kebab?"
"numbers","Numbers","Tal"
"one","One","Ett"
"one_2","One comes before two.","En kommer före två."
"one_3","One comes after zero.","En kommer efter noll."
"one_4","I want one.","Jag vill ha en."
"two","Two","Två"
"two_2","Two comes before three.","Två kommer före tre."
"two_3","Two comes after one.","Två kommer efter en."
"two_4","I want two.","Jag vill ha två."
"three","Three","Tre"
"three_2","Three comes before four.","Tre kommer före fyra."
"three_3","Three comes after two.","Tre kommer efter två."
"three_4","I want three.","Jag vill ha tre."
"four","Four","fyra"
"four_2","Four comes before five.","Fyra kommer före fem."
"four_3","Four comes after three.","Fyra kommer efter tre."
"four_4","I want four.","Jag vill ha fyra."
"five","Five","Fem"
"five_2","Five comes before six.","Fem kommer före sex."
"five_3","Five comes after four.","Fem kommer efter fyra."
"five_4","I want five.","Jag vill ha fem."
"six","Six","Sex"
"six_2","Six comes before seven.","Sex kommer före sju."
"six_3","Six comes after five.","Sex kommer efter fem."
"six_4","I want fix.","Jag vill fixa."
"seven","Seven","sju"
"seven_2","Seven comes before eight.","Sju kommer före åtta."
"seven_3","Seven comes after six.","Sju kommer efter sex."
"seven_4","I want seven.","Jag vill ha sju."
"eight","Eight","Åtta"
"eight_2","Eight comes before nine.","Åtta kommer före nio."
"eight_3","Eight comes after seven.","Åtta kommer efter sju."
"eight_4","I want eight.","Jag vill ha åtta."
"nine","Nine","Nio"
"nine_2","Nine comes before ten.","Nio kommer före tio."
"nine_3","Nine comes after eight.","Nio kommer efter åtta."
"nine_4","I want nine.","Jag vill ha nio."
"ten","Ten","Tio"
"ten_2","Ten comes before eleven.","Tio kommer före elva."
"ten_3","Ten comes after nine.","Tio kommer efter nio."
"ten_4","I want ten.","Jag vill ha tio."
"eleven","Eleven","Elva"
"eleven_2","Eleven comes before thirteen.","Elva kommer före tretton."
"eleven_3","Eleven comes after ten.","Elva kommer efter tio."
"eleven_4","I want eleven.","Jag vill ha elva."
"twenty","Twenty","Tjugo"
"twenty_2","I can count up to twenty.","Jag kan räkna upp till tjugo."
"thirty","Thirty","Trettio"
"thirty_2","I can count up to thirty.","Jag kan räkna upp till trettio."
"forty","Forty","Fyrtio"
"forty_2","I can count up to forty.","Jag kan räkna upp till fyrtio."
"fifty","Fifty","Femtio"
"fifty_2","I can count up to fifty.","Jag kan räkna upp till femtio."
"hundred","Hundred","Hundra"
"hundred_2","I can count up to hundred.","Jag kan räkna upp till hundra."
"thousand","Thousand","Tusen"
"thousand_2","I can count up to thousand.","Jag kan räkna upp till tusen."
"calculator","Calculator","Kalkylator"
"calculator_2","I want to use a calculator.","Jag vill använda en miniräknare."
"calculator_3","Can you teach me how to use a calculator?","Kan du lära mig att använda en miniräknare?"
"calculator_4","Can I barrow your calculator?","Kan jag spärra din miniräknare?"
"people","People","människor"
"mother","Mother","Mor"
"mother_2","Mommy!","Mamma!"
"mother_3","I love my mother.","Jag älskar min mamma."
"mother_4","I love you mom.","Jag älskar dig mamma."
"mother_5","I miss my mom.","Jag saknar min mamma."
"mother_6","Thank you for taking care of me.","Tack för att du har tagit hand om mig."
"mother_7","She is my mom.","Hon är min mamma."
"mother_8","Can you help me find my mother?","Kan du hjälpa mig hitta min mamma?"
"father","Father","Far"
"father_2","Daddy!","Pappa!"
"father_3","I love my father.","Jag älskar min pappa."
"father_4","I love you dad.","Jag älskar dig pappa."
"father_5","I miss my dad.","Jag saknar min pappa."
"father_6","Thank you for taking care of me.","Tack för att du har tagit hand om mig."
"father_7","He is my dad.","Han är min pappa."
"father_8","Can you help me find my father?","Kan du hjälpa mig hitta min far?"
"parents","Parents","Föräldrar"
"parents_2","I love my parents.","Jag älskar mina föräldrar."
"parents_3","I love my parents.","Jag älskar mina föräldrar."
"parents_4","I miss my parents.","Jag saknar mina föräldrar."
"parents_5","They are my parents.","De är mina föräldrar."
"parents_6","My parents are taking care of me.","Mina föräldrar tar hand om mig."
"parents_8","Can you help me find my parents?","Kan du hjälpa mig hitta mina föräldrar?"
"grandparents","Grandparents","Farföräldrar"
"grandparents_2","I love my grandparents.","Jag älskar mina morföräldrar."
"grandparents_3","I love you grandparents.","Jag älskar er morföräldrar."
"grandparents_4","I miss my grandparents.","Jag saknar mina morföräldrar."
"grandparents_5","They are my grandparents.","De är mina morföräldrar."
"grandparents_6","My grandparents are taking care of me.","Mina morföräldrar tar hand om mig."
"grandparents_8","Can you help me find my grandparents?","Kan du hjälpa mig hitta mina morföräldrar?"
"brother","Brother","bror"
"brother_2","I love my brother.","Jag älskar min bror."
"brother_3","I love you brother.","Jag älskar dig bror."
"brother_4","I miss my brother.","Jag saknar min bror."
"brother_5","He is my brother.","Han är min bror."
"brother_6","My brother is taking care of me.","Min bror tar hand om mig."
"brother_8","Can you help me find my brother?","Kan du hjälpa mig hitta min bror?"
"sister","Sister","Syster"
"sister_2","I love my sister.","Jag älskar min syster."
"sister_3","I love you sister.","Jag älskar dig syster."
"sister_4","I miss my sister.","Jag saknar min syster."
"sister_5","She is my sister.","Hon är min syster."
"sister_6","My sister is taking care of me.","Min syster tar hand om mig."
"sister_8","Can you help me find my sister?","Kan du hjälpa mig hitta min syster?"
"uncle","Uncle","Farbror"
"uncle_2","I love my uncle.","Jag älskar min farbror."
"uncle_3","I love you uncle.","Jag älskar dig farbror."
"uncle_4","I miss my uncle.","Jag saknar min farbror."
"uncle_5","He is my uncle.","Han är min farbror."
"uncle_8","Can you help me find my uncle?","Kan du hjälpa mig hitta min farbror?"
"aunt","Aunt","Moster"
"aunt_2","I love my aunt.","Jag älskar min moster."
"aunt_3","I love you aunt.","Jag älskar dig moster."
"aunt_4","I miss my aunt.","Jag saknar min moster."
"aunt_5","She is my aunt.","Hon är min moster."
"aunt_8","Can you help me find my aunt?","Kan du hjälpa mig hitta min moster?"
"teacher","Teacher","Lärare"
"teacher_2","I love my teacher.","Jag älskar min lärare."
"teacher_3","I love you teacher.","Jag älskar dig lärare."
"teacher_4","I don't like my teacher.","Jag gillar inte min lärare."
"teacher_5","I miss my teacher.","Jag saknar min lärare."
"teacher_6","Thank you for the lesson.","Tack för lektionen."
"therapist","Therapist","Terapeut"
"therapist_2","I love my therapist.","Jag älskar min terapeut."
"therapist_3","I love you therapist.","Jag älskar dig terapeut."
"therapist_4","I don't like my therapist.","Jag gillar inte min terapeut."
"therapist_5","I miss my therapist.","Jag saknar min terapeut."
"therapist_6","Thank you for the session.","Tack för sessionen."
"doctor","Doctor","Läkare"
"doctor_2","I love my doctor.","Jag älskar min läkare."
"doctor_3","I love you doctor.","Jag älskar dig läkare."
"doctor_4","I don't like my doctor.","Jag gillar inte min läkare."
"doctor_5","I miss my doctor.","Jag saknar min läkare."
"doctor_6","Thank you for healing me.","Tack för att du läkt mig."
"friends","Friends","Vänner"
"friends_2","I love my friends.","Jag älskar mina vänner."
"friends_3","Do you want to be my friend?","Vill du bli min vän?"
"friends_4","I don't like my friends.","Jag gillar inte mina vänner."
"friends_5","I miss my friends.","Jag saknar mina kompisar."
"friends_6","They are my friends.","De är mina vänner."
"friends_7","Thank you for playing with me.","Tack för att du spelade med mig."
"cousins","Cousins","Cousins"
"cousins_2","I love my cousins.","Jag älskar mina kusiner."
"cousins_3","I don't have cousins.","Jag har inte kusiner."
